t=,1, id=,B00, PRDE,actvstrat=,0.629145, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.099481, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.293514, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.673253, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.100464, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.561653, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.895857, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.792509, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.841175, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.809918, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.485584, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.997327, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.747858, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.493208, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.670911, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.413549, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.989321, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.641109, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.360177, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.363390, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.629145, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.485584, 
t=,3600, id=,B00, PRDE,actvstrat=,0.629145, actvprof=,2.495000, id=,B01, PRDE,actvstrat=,0.099481, actvprof=,1.962500, id=,B02, PRDE,actvstrat=,-0.293514, actvprof=,1.613333, id=,B03, PRDE,actvstrat=,0.673253, actvprof=,2.634444, id=,B04, PRDE,actvstrat=,-0.100464, actvprof=,1.970833, id=,B05, PRDE,actvstrat=,-0.561653, actvprof=,1.769722, id=,B06, PRDE,actvstrat=,-0.895857, actvprof=,2.777222, id=,B07, PRDE,actvstrat=,-0.792509, actvprof=,2.213889, id=,B08, PRDE,actvstrat=,-0.841175, actvprof=,2.745833, id=,B09, PRDE,actvstrat=,0.809918, actvprof=,2.594722, id=,S00, PRDE,actvstrat=,0.485584, actvprof=,7.363333, id=,S01, PRDE,actvstrat=,-0.997327, actvprof=,4.742500, id=,S02, PRDE,actvstrat=,0.747858, actvprof=,9.472500, id=,S03, PRDE,actvstrat=,-0.493208, actvprof=,2.854722, id=,S04, PRDE,actvstrat=,0.670911, actvprof=,8.920278, id=,S05, PRDE,actvstrat=,0.413549, actvprof=,7.408889, id=,S06, PRDE,actvstrat=,-0.989321, actvprof=,2.361667, id=,S07, PRDE,actvstrat=,-0.641109, actvprof=,2.442778, id=,S08, PRDE,actvstrat=,0.360177, actvprof=,6.469444, id=,S09, PRDE,actvstrat=,-0.363390, actvprof=,3.141944, best_B_id=,B06, best_B_prof=,2.777222, best_B_strat=,-0.895857, best_S_id=,S02, best_S_prof=,9.472500, best_S_strat=,0.747858, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.700042, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.934085, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.300272, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.276223, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.776271, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.278721, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.794227, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.707504, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.082172, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.499977, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.751630, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.128166, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.310591, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.198803, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.149804, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.153564, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.876315, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.957081, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.593966, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.466558, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.700042, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.751630, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.700042, actvprof=,1.319185, id=,B01, PRDE,actvstrat=,0.934085, actvprof=,1.253629, id=,B02, PRDE,actvstrat=,0.300272, actvprof=,1.410853, id=,B03, PRDE,actvstrat=,-0.276223, actvprof=,0.941124, id=,B04, PRDE,actvstrat=,-0.776271, actvprof=,1.916138, id=,B05, PRDE,actvstrat=,-0.278721, actvprof=,0.970569, id=,B06, PRDE,actvstrat=,0.794227, actvprof=,1.812525, id=,B07, PRDE,actvstrat=,0.707504, actvprof=,1.730857, id=,B08, PRDE,actvstrat=,-0.082172, actvprof=,0.977791, id=,B09, PRDE,actvstrat=,-0.499977, actvprof=,1.075570, id=,S00, PRDE,actvstrat=,-0.751630, actvprof=,2.600314, id=,S01, PRDE,actvstrat=,0.128166, actvprof=,7.153710, id=,S02, PRDE,actvstrat=,0.310591, actvprof=,7.926777, id=,S03, PRDE,actvstrat=,0.198803, actvprof=,7.319546, id=,S04, PRDE,actvstrat=,0.149804, actvprof=,6.882596, id=,S05, PRDE,actvstrat=,-0.153564, actvprof=,4.649787, id=,S06, PRDE,actvstrat=,-0.876315, actvprof=,0.631398, id=,S07, PRDE,actvstrat=,-0.957081, actvprof=,0.798067, id=,S08, PRDE,actvstrat=,-0.593966, actvprof=,3.487548, id=,S09, PRDE,actvstrat=,0.466558, actvprof=,8.698454, best_B_id=,B04, best_B_prof=,1.916138, best_B_strat=,-0.776271, best_S_id=,S09, best_S_prof=,8.698454, best_S_strat=,0.466558, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.700042, actvprof=,1.357778, id=,B01, PRDE,actvstrat=,0.934085, actvprof=,1.228472, id=,B02, PRDE,actvstrat=,0.300272, actvprof=,1.298750, id=,B03, PRDE,actvstrat=,-0.276223, actvprof=,0.952639, id=,B04, PRDE,actvstrat=,-0.776271, actvprof=,1.662917, id=,B05, PRDE,actvstrat=,-0.278721, actvprof=,0.958611, id=,B06, PRDE,actvstrat=,0.794227, actvprof=,1.836389, id=,B07, PRDE,actvstrat=,0.707504, actvprof=,1.747361, id=,B08, PRDE,actvstrat=,-0.082172, actvprof=,0.978750, id=,B09, PRDE,actvstrat=,-0.499977, actvprof=,1.039583, id=,S00, PRDE,actvstrat=,-0.751630, actvprof=,2.355556, id=,S01, PRDE,actvstrat=,0.128166, actvprof=,6.900278, id=,S02, PRDE,actvstrat=,0.310591, actvprof=,7.873889, id=,S03, PRDE,actvstrat=,0.198803, actvprof=,7.254722, id=,S04, PRDE,actvstrat=,0.149804, actvprof=,7.006667, id=,S05, PRDE,actvstrat=,-0.153564, actvprof=,4.458889, id=,S06, PRDE,actvstrat=,-0.876315, actvprof=,0.673056, id=,S07, PRDE,actvstrat=,-0.957081, actvprof=,0.708889, id=,S08, PRDE,actvstrat=,-0.593966, actvprof=,3.303889, id=,S09, PRDE,actvstrat=,0.466558, actvprof=,8.758472, best_B_id=,B06, best_B_prof=,1.836389, best_B_strat=,0.794227, best_S_id=,S09, best_S_prof=,8.758472, best_S_strat=,0.466558, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.611711, actvprof=,1.867552, id=,B01, PRDE,actvstrat=,-0.472823, actvprof=,1.343093, id=,B02, PRDE,actvstrat=,0.330406, actvprof=,2.020612, id=,B03, PRDE,actvstrat=,-0.163099, actvprof=,1.418373, id=,B04, PRDE,actvstrat=,-0.815437, actvprof=,2.301731, id=,B05, PRDE,actvstrat=,0.138475, actvprof=,1.720603, id=,B06, PRDE,actvstrat=,-0.355849, actvprof=,1.638101, id=,B07, PRDE,actvstrat=,-0.001988, actvprof=,1.566988, id=,B08, PRDE,actvstrat=,-0.841175, actvprof=,2.681741, id=,B09, PRDE,actvstrat=,-0.374086, actvprof=,1.385872, id=,S00, PRDE,actvstrat=,0.935189, actvprof=,9.607489, id=,S01, PRDE,actvstrat=,-0.377187, actvprof=,2.506459, id=,S02, PRDE,actvstrat=,-0.538519, actvprof=,2.396733, id=,S03, PRDE,actvstrat=,-0.557442, actvprof=,2.627017, id=,S04, PRDE,actvstrat=,0.149804, actvprof=,5.700158, id=,S05, PRDE,actvstrat=,-0.984360, actvprof=,1.343648, id=,S06, PRDE,actvstrat=,-0.144566, actvprof=,3.806495, id=,S07, PRDE,actvstrat=,-0.898558, actvprof=,0.408345, id=,S08, PRDE,actvstrat=,-0.886355, actvprof=,0.348065, id=,S09, PRDE,actvstrat=,0.689523, actvprof=,8.379122, best_B_id=,B08, best_B_prof=,2.681741, best_B_strat=,-0.841175, best_S_id=,S00, best_S_prof=,9.607489, best_S_strat=,0.935189, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.611711, actvprof=,1.707639, id=,B01, PRDE,actvstrat=,-0.472823, actvprof=,1.322500, id=,B02, PRDE,actvstrat=,0.330406, actvprof=,1.938750, id=,B03, PRDE,actvstrat=,-0.163099, actvprof=,1.486806, id=,B04, PRDE,actvstrat=,-0.815437, actvprof=,2.304722, id=,B05, PRDE,actvstrat=,0.138475, actvprof=,1.754861, id=,B06, PRDE,actvstrat=,-0.355849, actvprof=,1.516667, id=,B07, PRDE,actvstrat=,-0.001988, actvprof=,1.515972, id=,B08, PRDE,actvstrat=,-0.841175, actvprof=,2.414444, id=,B09, PRDE,actvstrat=,-0.374086, actvprof=,1.370833, id=,S00, PRDE,actvstrat=,0.935189, actvprof=,9.678889, id=,S01, PRDE,actvstrat=,-0.377187, actvprof=,2.502778, id=,S02, PRDE,actvstrat=,-0.538519, actvprof=,2.360000, id=,S03, PRDE,actvstrat=,-0.557442, actvprof=,2.477778, id=,S04, PRDE,actvstrat=,0.149804, actvprof=,5.638889, id=,S05, PRDE,actvstrat=,-0.984360, actvprof=,1.455694, id=,S06, PRDE,actvstrat=,-0.144566, actvprof=,3.659028, id=,S07, PRDE,actvstrat=,-0.898558, actvprof=,0.309583, id=,S08, PRDE,actvstrat=,-0.886355, actvprof=,0.347083, id=,S09, PRDE,actvstrat=,0.689523, actvprof=,8.348194, best_B_id=,B08, best_B_prof=,2.414444, best_B_strat=,-0.841175, best_S_id=,S00, best_S_prof=,9.678889, best_S_strat=,0.935189, 
t=,25200, id=,B00, PRDE,actvstrat=,0.724439, actvprof=,1.570899, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.671695, id=,B02, PRDE,actvstrat=,0.090382, actvprof=,1.120602, id=,B03, PRDE,actvstrat=,0.443057, actvprof=,1.419781, id=,B04, PRDE,actvstrat=,0.650382, actvprof=,1.585622, id=,B05, PRDE,actvstrat=,-0.397753, actvprof=,0.874759, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.628957, id=,B07, PRDE,actvstrat=,-0.107616, actvprof=,0.827257, id=,B08, PRDE,actvstrat=,0.644143, actvprof=,1.653402, id=,B09, PRDE,actvstrat=,0.600027, actvprof=,1.504507, id=,S00, PRDE,actvstrat=,-0.144832, actvprof=,4.740198, id=,S01, PRDE,actvstrat=,0.415313, actvprof=,9.021487, id=,S02, PRDE,actvstrat=,-0.224877, actvprof=,4.556579, id=,S03, PRDE,actvstrat=,-0.390217, actvprof=,4.081003, id=,S04, PRDE,actvstrat=,0.601700, actvprof=,10.265706, id=,S05, PRDE,actvstrat=,-0.622978, actvprof=,3.276525, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,4.482131, id=,S07, PRDE,actvstrat=,-0.775446, actvprof=,2.677612, id=,S08, PRDE,actvstrat=,0.935582, actvprof=,12.121894, id=,S09, PRDE,actvstrat=,0.420788, actvprof=,9.411503, best_B_id=,B08, best_B_prof=,1.653402, best_B_strat=,0.644143, best_S_id=,S08, best_S_prof=,12.121894, best_S_strat=,0.935582, 
t=,28800, id=,B00, PRDE,actvstrat=,0.724439, actvprof=,1.509615, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.542789, id=,B02, PRDE,actvstrat=,0.090382, actvprof=,1.006132, id=,B03, PRDE,actvstrat=,0.443057, actvprof=,1.355028, id=,B04, PRDE,actvstrat=,0.650382, actvprof=,1.543504, id=,B05, PRDE,actvstrat=,-0.397753, actvprof=,0.854879, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.522254, id=,B07, PRDE,actvstrat=,-0.107616, actvprof=,0.796961, id=,B08, PRDE,actvstrat=,0.644143, actvprof=,1.579616, id=,B09, PRDE,actvstrat=,0.600027, actvprof=,1.487531, id=,S00, PRDE,actvstrat=,-0.144832, actvprof=,4.927047, id=,S01, PRDE,actvstrat=,0.415313, actvprof=,9.098523, id=,S02, PRDE,actvstrat=,-0.224877, actvprof=,4.639263, id=,S03, PRDE,actvstrat=,-0.390217, actvprof=,3.980083, id=,S04, PRDE,actvstrat=,0.601700, actvprof=,10.382161, id=,S05, PRDE,actvstrat=,-0.622978, actvprof=,3.389654, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,4.032306, id=,S07, PRDE,actvstrat=,-0.775446, actvprof=,2.509913, id=,S08, PRDE,actvstrat=,0.935582, actvprof=,12.381508, id=,S09, PRDE,actvstrat=,0.420788, actvprof=,9.273943, best_B_id=,B08, best_B_prof=,1.579616, best_B_strat=,0.644143, best_S_id=,S08, best_S_prof=,12.381508, best_S_strat=,0.935582, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.700042, actvprof=,2.028752, id=,B01, PRDE,actvstrat=,-0.691587, actvprof=,2.125981, id=,B02, PRDE,actvstrat=,0.002668, actvprof=,1.717341, id=,B03, PRDE,actvstrat=,0.673253, actvprof=,2.499618, id=,B04, PRDE,actvstrat=,-0.776271, actvprof=,2.543788, id=,B05, PRDE,actvstrat=,0.169342, actvprof=,1.862907, id=,B06, PRDE,actvstrat=,0.149165, actvprof=,2.083478, id=,B07, PRDE,actvstrat=,0.247624, actvprof=,1.980415, id=,B08, PRDE,actvstrat=,0.762124, actvprof=,2.401833, id=,B09, PRDE,actvstrat=,-0.234744, actvprof=,1.690117, id=,S00, PRDE,actvstrat=,0.245516, actvprof=,6.407667, id=,S01, PRDE,actvstrat=,-0.152282, actvprof=,3.737760, id=,S02, PRDE,actvstrat=,0.106765, actvprof=,5.906799, id=,S03, PRDE,actvstrat=,0.197293, actvprof=,6.525453, id=,S04, PRDE,actvstrat=,0.601700, actvprof=,7.918050, id=,S05, PRDE,actvstrat=,-0.436749, actvprof=,3.223835, id=,S06, PRDE,actvstrat=,-0.989321, actvprof=,2.924925, id=,S07, PRDE,actvstrat=,0.163926, actvprof=,5.992361, id=,S08, PRDE,actvstrat=,-0.061414, actvprof=,4.631155, id=,S09, PRDE,actvstrat=,0.230083, actvprof=,6.869644, best_B_id=,B04, best_B_prof=,2.543788, best_B_strat=,-0.776271, best_S_id=,S04, best_S_prof=,7.918050, best_S_strat=,0.601700, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.700042, actvprof=,2.007861, id=,B01, PRDE,actvstrat=,-0.691587, actvprof=,2.083003, id=,B02, PRDE,actvstrat=,0.002668, actvprof=,1.836604, id=,B03, PRDE,actvstrat=,0.673253, actvprof=,2.418573, id=,B04, PRDE,actvstrat=,-0.776271, actvprof=,2.503160, id=,B05, PRDE,actvstrat=,0.169342, actvprof=,1.906746, id=,B06, PRDE,actvstrat=,0.149165, actvprof=,1.968138, id=,B07, PRDE,actvstrat=,0.247624, actvprof=,2.040779, id=,B08, PRDE,actvstrat=,0.762124, actvprof=,2.362876, id=,B09, PRDE,actvstrat=,-0.234744, actvprof=,1.694098, id=,S00, PRDE,actvstrat=,0.245516, actvprof=,6.399294, id=,S01, PRDE,actvstrat=,-0.152282, actvprof=,4.070725, id=,S02, PRDE,actvstrat=,0.106765, actvprof=,5.682876, id=,S03, PRDE,actvstrat=,0.197293, actvprof=,6.392211, id=,S04, PRDE,actvstrat=,0.601700, actvprof=,8.081309, id=,S05, PRDE,actvstrat=,-0.436749, actvprof=,3.301804, id=,S06, PRDE,actvstrat=,-0.989321, actvprof=,2.959846, id=,S07, PRDE,actvstrat=,0.163926, actvprof=,6.117199, id=,S08, PRDE,actvstrat=,-0.061414, actvprof=,4.595608, id=,S09, PRDE,actvstrat=,0.230083, actvprof=,6.613748, best_B_id=,B04, best_B_prof=,2.503160, best_B_strat=,-0.776271, best_S_id=,S04, best_S_prof=,8.081309, best_S_strat=,0.601700, 
