t=,1, id=,B00, PRDE,actvstrat=,-0.975056, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.784682, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.894302, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.757839, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.584719, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.043808, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.383795, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.954026, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.936419, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.794300, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.245213, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.216015, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.868460, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.565093, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.711786, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.093395, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.139251, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.150689, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.626736, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.634327, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.975056, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.245213, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.975056, actvprof=,2.231913, id=,B01, PRDE,actvstrat=,-0.784682, actvprof=,1.724698, id=,B02, PRDE,actvstrat=,0.894302, actvprof=,1.538590, id=,B03, PRDE,actvstrat=,-0.757839, actvprof=,1.534145, id=,B04, PRDE,actvstrat=,-0.584719, actvprof=,1.203594, id=,B05, PRDE,actvstrat=,-0.043808, actvprof=,1.216928, id=,B06, PRDE,actvstrat=,0.383795, actvprof=,1.616644, id=,B07, PRDE,actvstrat=,-0.954026, actvprof=,2.397189, id=,B08, PRDE,actvstrat=,0.936419, actvprof=,1.400536, id=,B09, PRDE,actvstrat=,-0.794300, actvprof=,1.608867, id=,S00, PRDE,actvstrat=,0.245213, actvprof=,7.538506, id=,S01, PRDE,actvstrat=,-0.216015, actvprof=,4.095499, id=,S02, PRDE,actvstrat=,-0.868460, actvprof=,0.603881, id=,S03, PRDE,actvstrat=,0.565093, actvprof=,9.531534, id=,S04, PRDE,actvstrat=,0.711786, actvprof=,10.238747, id=,S05, PRDE,actvstrat=,-0.093395, actvprof=,5.119929, id=,S06, PRDE,actvstrat=,-0.139251, actvprof=,4.792156, id=,S07, PRDE,actvstrat=,-0.150689, actvprof=,4.516882, id=,S08, PRDE,actvstrat=,-0.626736, actvprof=,3.342176, id=,S09, PRDE,actvstrat=,0.634327, actvprof=,9.479868, best_B_id=,B07, best_B_prof=,2.397189, best_B_strat=,-0.954026, best_S_id=,S04, best_S_prof=,10.238747, best_S_strat=,0.711786, 
t=,7200, id=,B00, PRDE,actvstrat=,0.354671, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.685851, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.432287, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.755499, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.537838, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.791277, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.794006, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.527602, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.389333, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.473094, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.189164, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.784202, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.476896, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.763603, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.533251, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.373348, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.750017, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.307472, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.797350, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.339473, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.354671, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.189164, 
t=,10800, id=,B00, PRDE,actvstrat=,0.354671, actvprof=,1.664167, id=,B01, PRDE,actvstrat=,-0.685851, actvprof=,1.727778, id=,B02, PRDE,actvstrat=,-0.432287, actvprof=,1.333611, id=,B03, PRDE,actvstrat=,0.755499, actvprof=,2.045278, id=,B04, PRDE,actvstrat=,0.537838, actvprof=,1.886944, id=,B05, PRDE,actvstrat=,-0.791277, actvprof=,2.207222, id=,B06, PRDE,actvstrat=,0.794006, actvprof=,2.071944, id=,B07, PRDE,actvstrat=,0.527602, actvprof=,1.778333, id=,B08, PRDE,actvstrat=,0.389333, actvprof=,1.753333, id=,B09, PRDE,actvstrat=,-0.473094, actvprof=,1.522778, id=,S00, PRDE,actvstrat=,0.189164, actvprof=,6.996667, id=,S01, PRDE,actvstrat=,0.784202, actvprof=,10.697500, id=,S02, PRDE,actvstrat=,-0.476896, actvprof=,3.387222, id=,S03, PRDE,actvstrat=,0.763603, actvprof=,10.372500, id=,S04, PRDE,actvstrat=,-0.533251, actvprof=,3.335000, id=,S05, PRDE,actvstrat=,0.373348, actvprof=,8.115278, id=,S06, PRDE,actvstrat=,-0.750017, actvprof=,2.318611, id=,S07, PRDE,actvstrat=,0.307472, actvprof=,7.313611, id=,S08, PRDE,actvstrat=,-0.797350, actvprof=,1.506667, id=,S09, PRDE,actvstrat=,-0.339473, actvprof=,3.543333, best_B_id=,B05, best_B_prof=,2.207222, best_B_strat=,-0.791277, best_S_id=,S01, best_S_prof=,10.697500, best_S_strat=,0.784202, 
t=,14400, id=,B00, PRDE,actvstrat=,0.576341, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.685851, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.856547, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.993203, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.537838, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.791277, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.181543, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.174598, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.778408, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.520487, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.972496, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.764836, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.515277, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.471475, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.356629, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.943105, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.380271, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.564644, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.256199, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.100887, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.576341, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.972496, 
t=,18000, id=,B00, PRDE,actvstrat=,0.576341, actvprof=,1.601689, id=,B01, PRDE,actvstrat=,-0.685851, actvprof=,1.378908, id=,B02, PRDE,actvstrat=,0.856547, actvprof=,1.658912, id=,B03, PRDE,actvstrat=,-0.993203, actvprof=,2.151141, id=,B04, PRDE,actvstrat=,0.537838, actvprof=,1.744746, id=,B05, PRDE,actvstrat=,-0.791277, actvprof=,1.722524, id=,B06, PRDE,actvstrat=,-0.181543, actvprof=,1.110571, id=,B07, PRDE,actvstrat=,-0.174598, actvprof=,0.956680, id=,B08, PRDE,actvstrat=,0.778408, actvprof=,2.065306, id=,B09, PRDE,actvstrat=,-0.520487, actvprof=,1.085293, id=,S00, PRDE,actvstrat=,-0.972496, actvprof=,1.139460, id=,S01, PRDE,actvstrat=,0.764836, actvprof=,10.750705, id=,S02, PRDE,actvstrat=,0.515277, actvprof=,8.900124, id=,S03, PRDE,actvstrat=,-0.471475, actvprof=,3.531160, id=,S04, PRDE,actvstrat=,0.356629, actvprof=,8.024556, id=,S05, PRDE,actvstrat=,-0.943105, actvprof=,0.563619, id=,S06, PRDE,actvstrat=,-0.380271, actvprof=,3.707274, id=,S07, PRDE,actvstrat=,-0.564644, actvprof=,3.561716, id=,S08, PRDE,actvstrat=,0.256199, actvprof=,7.226211, id=,S09, PRDE,actvstrat=,0.100887, actvprof=,6.698149, best_B_id=,B03, best_B_prof=,2.151141, best_B_strat=,-0.993203, best_S_id=,S01, best_S_prof=,10.750705, best_S_strat=,0.764836, 
t=,21600, id=,B00, PRDE,actvstrat=,0.576341, actvprof=,1.608067, id=,B01, PRDE,actvstrat=,-0.685851, actvprof=,1.313204, id=,B02, PRDE,actvstrat=,0.856547, actvprof=,1.646678, id=,B03, PRDE,actvstrat=,-0.993203, actvprof=,2.085848, id=,B04, PRDE,actvstrat=,0.537838, actvprof=,1.685706, id=,B05, PRDE,actvstrat=,-0.791277, actvprof=,1.591261, id=,B06, PRDE,actvstrat=,-0.181543, actvprof=,1.115980, id=,B07, PRDE,actvstrat=,-0.174598, actvprof=,0.982923, id=,B08, PRDE,actvstrat=,0.778408, actvprof=,1.921819, id=,B09, PRDE,actvstrat=,-0.520487, actvprof=,0.983479, id=,S00, PRDE,actvstrat=,-0.972496, actvprof=,1.173480, id=,S01, PRDE,actvstrat=,0.764836, actvprof=,10.840909, id=,S02, PRDE,actvstrat=,0.515277, actvprof=,8.995757, id=,S03, PRDE,actvstrat=,-0.471475, actvprof=,3.596969, id=,S04, PRDE,actvstrat=,0.356629, actvprof=,8.078112, id=,S05, PRDE,actvstrat=,-0.943105, actvprof=,0.486114, id=,S06, PRDE,actvstrat=,-0.380271, actvprof=,3.626970, id=,S07, PRDE,actvstrat=,-0.564644, actvprof=,3.538080, id=,S08, PRDE,actvstrat=,0.256199, actvprof=,7.486441, id=,S09, PRDE,actvstrat=,0.100887, actvprof=,6.864909, best_B_id=,B03, best_B_prof=,2.085848, best_B_strat=,-0.993203, best_S_id=,S01, best_S_prof=,10.840909, best_S_strat=,0.764836, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.372781, actvprof=,1.330259, id=,B01, PRDE,actvstrat=,0.766311, actvprof=,1.985250, id=,B02, PRDE,actvstrat=,0.046379, actvprof=,1.271927, id=,B03, PRDE,actvstrat=,-0.309163, actvprof=,1.292760, id=,B04, PRDE,actvstrat=,0.824455, actvprof=,1.796919, id=,B05, PRDE,actvstrat=,0.212019, actvprof=,1.547479, id=,B06, PRDE,actvstrat=,0.027639, actvprof=,1.331648, id=,B07, PRDE,actvstrat=,-0.252971, actvprof=,1.191095, id=,B08, PRDE,actvstrat=,-0.855129, actvprof=,2.385522, id=,B09, PRDE,actvstrat=,0.093405, actvprof=,1.339148, id=,S00, PRDE,actvstrat=,0.189164, actvprof=,6.987125, id=,S01, PRDE,actvstrat=,0.794611, actvprof=,10.370412, id=,S02, PRDE,actvstrat=,-0.180838, actvprof=,3.628561, id=,S03, PRDE,actvstrat=,-0.499031, actvprof=,3.468285, id=,S04, PRDE,actvstrat=,-0.937010, actvprof=,0.338606, id=,S05, PRDE,actvstrat=,-0.607606, actvprof=,2.953570, id=,S06, PRDE,actvstrat=,-0.471797, actvprof=,3.576061, id=,S07, PRDE,actvstrat=,-0.348221, actvprof=,3.467730, id=,S08, PRDE,actvstrat=,-0.255933, actvprof=,3.648560, id=,S09, PRDE,actvstrat=,0.997437, actvprof=,10.554853, best_B_id=,B08, best_B_prof=,2.385522, best_B_strat=,-0.855129, best_S_id=,S09, best_S_prof=,10.554853, best_S_strat=,0.997437, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.372781, actvprof=,1.281962, id=,B01, PRDE,actvstrat=,0.766311, actvprof=,2.006278, id=,B02, PRDE,actvstrat=,0.046379, actvprof=,1.299601, id=,B03, PRDE,actvstrat=,-0.309163, actvprof=,1.269879, id=,B04, PRDE,actvstrat=,0.824455, actvprof=,1.833775, id=,B05, PRDE,actvstrat=,0.212019, actvprof=,1.593355, id=,B06, PRDE,actvstrat=,0.027639, actvprof=,1.359324, id=,B07, PRDE,actvstrat=,-0.252971, actvprof=,1.252795, id=,B08, PRDE,actvstrat=,-0.855129, actvprof=,2.437395, id=,B09, PRDE,actvstrat=,0.093405, actvprof=,1.315296, id=,S00, PRDE,actvstrat=,0.189164, actvprof=,7.029681, id=,S01, PRDE,actvstrat=,0.794611, actvprof=,10.460423, id=,S02, PRDE,actvstrat=,-0.180838, actvprof=,4.048528, id=,S03, PRDE,actvstrat=,-0.499031, actvprof=,3.281851, id=,S04, PRDE,actvstrat=,-0.937010, actvprof=,0.470701, id=,S05, PRDE,actvstrat=,-0.607606, actvprof=,2.835178, id=,S06, PRDE,actvstrat=,-0.471797, actvprof=,3.509910, id=,S07, PRDE,actvstrat=,-0.348221, actvprof=,3.287407, id=,S08, PRDE,actvstrat=,-0.255933, actvprof=,3.774080, id=,S09, PRDE,actvstrat=,0.997437, actvprof=,10.664593, best_B_id=,B08, best_B_prof=,2.437395, best_B_strat=,-0.855129, best_S_id=,S09, best_S_prof=,10.664593, best_S_strat=,0.997437, 
t=,32400, id=,B00, PRDE,actvstrat=,0.948244, actvprof=,0.820323, id=,B01, PRDE,actvstrat=,-0.903444, actvprof=,1.307017, id=,B02, PRDE,actvstrat=,0.999933, actvprof=,0.381132, id=,B03, PRDE,actvstrat=,0.103413, actvprof=,0.536696, id=,B04, PRDE,actvstrat=,0.303611, actvprof=,0.802267, id=,B05, PRDE,actvstrat=,0.803968, actvprof=,1.194511, id=,B06, PRDE,actvstrat=,-0.373108, actvprof=,0.446969, id=,B07, PRDE,actvstrat=,0.765532, actvprof=,1.036724, id=,B08, PRDE,actvstrat=,-0.855129, actvprof=,1.103672, id=,B09, PRDE,actvstrat=,0.855717, actvprof=,0.990055, id=,S00, PRDE,actvstrat=,0.189164, actvprof=,8.474915, id=,S01, PRDE,actvstrat=,0.015819, actvprof=,7.689316, id=,S02, PRDE,actvstrat=,-0.640726, actvprof=,3.211012, id=,S03, PRDE,actvstrat=,0.169716, actvprof=,8.775765, id=,S04, PRDE,actvstrat=,0.356629, actvprof=,9.843602, id=,S05, PRDE,actvstrat=,0.146928, actvprof=,8.627146, id=,S06, PRDE,actvstrat=,-0.168396, actvprof=,5.608645, id=,S07, PRDE,actvstrat=,0.276924, actvprof=,9.006611, id=,S08, PRDE,actvstrat=,-0.844976, actvprof=,0.890049, id=,S09, PRDE,actvstrat=,-0.425711, actvprof=,4.368854, best_B_id=,B01, best_B_prof=,1.307017, best_B_strat=,-0.903444, best_S_id=,S04, best_S_prof=,9.843602, best_S_strat=,0.356629, 
t=,36000, id=,B00, PRDE,actvstrat=,0.948244, actvprof=,0.775160, id=,B01, PRDE,actvstrat=,-0.903444, actvprof=,1.335870, id=,B02, PRDE,actvstrat=,0.999933, actvprof=,0.391816, id=,B03, PRDE,actvstrat=,0.103413, actvprof=,0.585711, id=,B04, PRDE,actvstrat=,0.303611, actvprof=,0.768355, id=,B05, PRDE,actvstrat=,0.803968, actvprof=,1.130587, id=,B06, PRDE,actvstrat=,-0.373108, actvprof=,0.451401, id=,B07, PRDE,actvstrat=,0.765532, actvprof=,1.099892, id=,B08, PRDE,actvstrat=,-0.855129, actvprof=,1.125865, id=,B09, PRDE,actvstrat=,0.855717, actvprof=,1.044473, id=,S00, PRDE,actvstrat=,0.189164, actvprof=,8.575655, id=,S01, PRDE,actvstrat=,0.015819, actvprof=,7.596044, id=,S02, PRDE,actvstrat=,-0.640726, actvprof=,3.497319, id=,S03, PRDE,actvstrat=,0.169716, actvprof=,8.575933, id=,S04, PRDE,actvstrat=,0.356629, actvprof=,9.678880, id=,S05, PRDE,actvstrat=,0.146928, actvprof=,8.426484, id=,S06, PRDE,actvstrat=,-0.168396, actvprof=,5.507514, id=,S07, PRDE,actvstrat=,0.276924, actvprof=,8.934137, id=,S08, PRDE,actvstrat=,-0.844976, actvprof=,1.016973, id=,S09, PRDE,actvstrat=,-0.425711, actvprof=,4.395122, best_B_id=,B01, best_B_prof=,1.335870, best_B_strat=,-0.903444, best_S_id=,S04, best_S_prof=,9.678880, best_S_strat=,0.356629, 
