t=,1, id=,B00, PRDE,actvstrat=,0.502249, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.415202, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.533705, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.679974, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.173020, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.022295, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.184805, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.231533, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.135300, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.194098, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.870109, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.529268, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.401360, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.413430, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.791159, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.024452, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.794766, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.367034, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.678928, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.949595, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.502249, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.870109, 
t=,3600, id=,B00, PRDE,actvstrat=,0.502249, actvprof=,3.588611, id=,B01, PRDE,actvstrat=,-0.415202, actvprof=,2.820000, id=,B02, PRDE,actvstrat=,-0.533705, actvprof=,3.497500, id=,B03, PRDE,actvstrat=,-0.679974, actvprof=,3.869444, id=,B04, PRDE,actvstrat=,0.173020, actvprof=,3.085556, id=,B05, PRDE,actvstrat=,0.022295, actvprof=,2.929444, id=,B06, PRDE,actvstrat=,-0.184805, actvprof=,2.875000, id=,B07, PRDE,actvstrat=,0.231533, actvprof=,3.249444, id=,B08, PRDE,actvstrat=,-0.135300, actvprof=,2.998056, id=,B09, PRDE,actvstrat=,0.194098, actvprof=,3.156389, id=,S00, PRDE,actvstrat=,-0.870109, actvprof=,1.457778, id=,S01, PRDE,actvstrat=,0.529268, actvprof=,7.767500, id=,S02, PRDE,actvstrat=,-0.401360, actvprof=,3.753889, id=,S03, PRDE,actvstrat=,0.413430, actvprof=,6.741944, id=,S04, PRDE,actvstrat=,0.791159, actvprof=,8.821944, id=,S05, PRDE,actvstrat=,-0.024452, actvprof=,5.510278, id=,S06, PRDE,actvstrat=,-0.794766, actvprof=,2.107500, id=,S07, PRDE,actvstrat=,0.367034, actvprof=,6.937500, id=,S08, PRDE,actvstrat=,-0.678928, actvprof=,2.925833, id=,S09, PRDE,actvstrat=,0.949595, actvprof=,8.617500, best_B_id=,B03, best_B_prof=,3.869444, best_B_strat=,-0.679974, best_S_id=,S04, best_S_prof=,8.821944, best_S_strat=,0.791159, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.742517, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.993516, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.236805, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.526429, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.054862, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.874636, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.922252, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.078747, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.586912, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.585730, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.037949, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.315590, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.106723, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.314211, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.538373, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.501146, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.360470, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.705718, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.158661, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.492798, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.742517, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.037949, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.742517, actvprof=,1.622477, id=,B01, PRDE,actvstrat=,0.993516, actvprof=,0.723323, id=,B02, PRDE,actvstrat=,0.236805, actvprof=,1.486646, id=,B03, PRDE,actvstrat=,0.526429, actvprof=,1.763864, id=,B04, PRDE,actvstrat=,-0.054862, actvprof=,1.161928, id=,B05, PRDE,actvstrat=,-0.874636, actvprof=,2.183859, id=,B06, PRDE,actvstrat=,-0.922252, actvprof=,2.381911, id=,B07, PRDE,actvstrat=,-0.078747, actvprof=,1.138318, id=,B08, PRDE,actvstrat=,0.586912, actvprof=,1.859696, id=,B09, PRDE,actvstrat=,-0.585730, actvprof=,1.394147, id=,S00, PRDE,actvstrat=,-0.037949, actvprof=,6.274635, id=,S01, PRDE,actvstrat=,0.315590, actvprof=,7.762670, id=,S02, PRDE,actvstrat=,0.106723, actvprof=,7.139901, id=,S03, PRDE,actvstrat=,0.314211, actvprof=,8.165998, id=,S04, PRDE,actvstrat=,0.538373, actvprof=,8.813766, id=,S05, PRDE,actvstrat=,-0.501146, actvprof=,3.480507, id=,S06, PRDE,actvstrat=,-0.360470, actvprof=,3.669393, id=,S07, PRDE,actvstrat=,-0.705718, actvprof=,2.626075, id=,S08, PRDE,actvstrat=,-0.158661, actvprof=,4.397717, id=,S09, PRDE,actvstrat=,-0.492798, actvprof=,3.396619, best_B_id=,B06, best_B_prof=,2.381911, best_B_strat=,-0.922252, best_S_id=,S04, best_S_prof=,8.813766, best_S_strat=,0.538373, 
t=,14400, id=,B00, PRDE,actvstrat=,0.192056, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.285505, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.081448, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.806252, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.297028, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.340236, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.387084, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.231533, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.848162, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.505413, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.794871, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.881610, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.503078, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.957937, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.538373, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.105776, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.675253, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.749103, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.681623, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.386241, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.192056, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.794871, 
t=,18000, id=,B00, PRDE,actvstrat=,0.192056, actvprof=,2.685833, id=,B01, PRDE,actvstrat=,-0.285505, actvprof=,2.746667, id=,B02, PRDE,actvstrat=,0.081448, actvprof=,2.510000, id=,B03, PRDE,actvstrat=,0.806252, actvprof=,2.595278, id=,B04, PRDE,actvstrat=,-0.297028, actvprof=,2.567222, id=,B05, PRDE,actvstrat=,0.340236, actvprof=,2.450000, id=,B06, PRDE,actvstrat=,0.387084, actvprof=,2.934167, id=,B07, PRDE,actvstrat=,0.231533, actvprof=,3.002500, id=,B08, PRDE,actvstrat=,0.848162, actvprof=,2.486389, id=,B09, PRDE,actvstrat=,-0.505413, actvprof=,2.841389, id=,S00, PRDE,actvstrat=,-0.794871, actvprof=,1.514722, id=,S01, PRDE,actvstrat=,0.881610, actvprof=,10.128611, id=,S02, PRDE,actvstrat=,0.503078, actvprof=,7.972500, id=,S03, PRDE,actvstrat=,0.957937, actvprof=,9.747222, id=,S04, PRDE,actvstrat=,0.538373, actvprof=,8.358889, id=,S05, PRDE,actvstrat=,-0.105776, actvprof=,4.943611, id=,S06, PRDE,actvstrat=,-0.675253, actvprof=,2.653056, id=,S07, PRDE,actvstrat=,0.749103, actvprof=,9.541944, id=,S08, PRDE,actvstrat=,-0.681623, actvprof=,2.257222, id=,S09, PRDE,actvstrat=,0.386241, actvprof=,7.618333, best_B_id=,B07, best_B_prof=,3.002500, best_B_strat=,0.231533, best_S_id=,S01, best_S_prof=,10.128611, best_S_strat=,0.881610, 
t=,21600, id=,B00, PRDE,actvstrat=,0.192056, actvprof=,2.690694, id=,B01, PRDE,actvstrat=,-0.285505, actvprof=,2.566528, id=,B02, PRDE,actvstrat=,0.081448, actvprof=,2.506944, id=,B03, PRDE,actvstrat=,0.806252, actvprof=,2.576667, id=,B04, PRDE,actvstrat=,-0.297028, actvprof=,2.528333, id=,B05, PRDE,actvstrat=,0.340236, actvprof=,2.607639, id=,B06, PRDE,actvstrat=,0.387084, actvprof=,2.947917, id=,B07, PRDE,actvstrat=,0.231533, actvprof=,2.877639, id=,B08, PRDE,actvstrat=,0.848162, actvprof=,2.554028, id=,B09, PRDE,actvstrat=,-0.505413, actvprof=,2.737222, id=,S00, PRDE,actvstrat=,-0.794871, actvprof=,1.495000, id=,S01, PRDE,actvstrat=,0.881610, actvprof=,10.107639, id=,S02, PRDE,actvstrat=,0.503078, actvprof=,7.908472, id=,S03, PRDE,actvstrat=,0.957937, actvprof=,9.814583, id=,S04, PRDE,actvstrat=,0.538373, actvprof=,8.099028, id=,S05, PRDE,actvstrat=,-0.105776, actvprof=,4.745833, id=,S06, PRDE,actvstrat=,-0.675253, actvprof=,2.601528, id=,S07, PRDE,actvstrat=,0.749103, actvprof=,9.573611, id=,S08, PRDE,actvstrat=,-0.681623, actvprof=,2.354861, id=,S09, PRDE,actvstrat=,0.386241, actvprof=,7.550278, best_B_id=,B06, best_B_prof=,2.947917, best_B_strat=,0.387084, best_S_id=,S01, best_S_prof=,10.107639, best_S_strat=,0.881610, 
t=,25200, id=,B00, PRDE,actvstrat=,0.226512, actvprof=,2.698574, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,1.080541, id=,B02, PRDE,actvstrat=,0.182133, actvprof=,2.673018, id=,B03, PRDE,actvstrat=,0.449863, actvprof=,2.942737, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,3.087179, id=,B05, PRDE,actvstrat=,-0.638330, actvprof=,3.571617, id=,B06, PRDE,actvstrat=,0.090900, actvprof=,2.742740, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.014430, id=,B08, PRDE,actvstrat=,-0.183727, actvprof=,2.535798, id=,B09, PRDE,actvstrat=,0.683964, actvprof=,3.133290, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,3.822169, id=,S01, PRDE,actvstrat=,0.139718, actvprof=,6.692129, id=,S02, PRDE,actvstrat=,-0.560923, actvprof=,3.309676, id=,S03, PRDE,actvstrat=,0.675377, actvprof=,9.652644, id=,S04, PRDE,actvstrat=,-0.191607, actvprof=,4.046610, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,10.440688, id=,S06, PRDE,actvstrat=,0.531113, actvprof=,9.103485, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,10.358745, id=,S08, PRDE,actvstrat=,0.151679, actvprof=,7.009347, id=,S09, PRDE,actvstrat=,0.861967, actvprof=,11.016514, best_B_id=,B05, best_B_prof=,3.571617, best_B_strat=,-0.638330, best_S_id=,S09, best_S_prof=,11.016514, best_S_strat=,0.861967, 
t=,28800, id=,B00, PRDE,actvstrat=,0.226512, actvprof=,2.807917, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,1.216389, id=,B02, PRDE,actvstrat=,0.182133, actvprof=,2.735556, id=,B03, PRDE,actvstrat=,0.449863, actvprof=,3.126806, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,2.903611, id=,B05, PRDE,actvstrat=,-0.638330, actvprof=,3.633472, id=,B06, PRDE,actvstrat=,0.090900, actvprof=,2.803194, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.155000, id=,B08, PRDE,actvstrat=,-0.183727, actvprof=,2.449861, id=,B09, PRDE,actvstrat=,0.683964, actvprof=,3.092917, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,3.898194, id=,S01, PRDE,actvstrat=,0.139718, actvprof=,6.751528, id=,S02, PRDE,actvstrat=,-0.560923, actvprof=,3.025139, id=,S03, PRDE,actvstrat=,0.675377, actvprof=,9.644583, id=,S04, PRDE,actvstrat=,-0.191607, actvprof=,3.946667, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,10.399722, id=,S06, PRDE,actvstrat=,0.531113, actvprof=,8.819583, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,10.281528, id=,S08, PRDE,actvstrat=,0.151679, actvprof=,6.804583, id=,S09, PRDE,actvstrat=,0.861967, actvprof=,10.770417, best_B_id=,B05, best_B_prof=,3.633472, best_B_strat=,-0.638330, best_S_id=,S09, best_S_prof=,10.770417, best_S_strat=,0.861967, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.032494, actvprof=,2.217191, id=,B01, PRDE,actvstrat=,0.570612, actvprof=,2.766906, id=,B02, PRDE,actvstrat=,-0.260389, actvprof=,2.080249, id=,B03, PRDE,actvstrat=,0.174796, actvprof=,2.178859, id=,B04, PRDE,actvstrat=,-0.775852, actvprof=,2.672463, id=,B05, PRDE,actvstrat=,-0.874636, actvprof=,3.241344, id=,B06, PRDE,actvstrat=,0.295325, actvprof=,2.430800, id=,B07, PRDE,actvstrat=,0.163611, actvprof=,2.243024, id=,B08, PRDE,actvstrat=,0.488784, actvprof=,2.722184, id=,B09, PRDE,actvstrat=,-0.583445, actvprof=,2.223302, id=,S00, PRDE,actvstrat=,0.451590, actvprof=,7.402675, id=,S01, PRDE,actvstrat=,-0.021280, actvprof=,4.994653, id=,S02, PRDE,actvstrat=,-0.176117, actvprof=,3.524118, id=,S03, PRDE,actvstrat=,-0.756856, actvprof=,1.474424, id=,S04, PRDE,actvstrat=,-0.614653, actvprof=,2.386356, id=,S05, PRDE,actvstrat=,0.867373, actvprof=,9.531534, id=,S06, PRDE,actvstrat=,-0.392596, actvprof=,2.973292, id=,S07, PRDE,actvstrat=,-0.118519, actvprof=,4.019111, id=,S08, PRDE,actvstrat=,0.815737, actvprof=,9.323204, id=,S09, PRDE,actvstrat=,0.861967, actvprof=,9.593200, best_B_id=,B05, best_B_prof=,3.241344, best_B_strat=,-0.874636, best_S_id=,S09, best_S_prof=,9.593200, best_S_strat=,0.861967, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.032494, actvprof=,2.192669, id=,B01, PRDE,actvstrat=,0.570612, actvprof=,2.741010, id=,B02, PRDE,actvstrat=,-0.260389, actvprof=,1.986833, id=,B03, PRDE,actvstrat=,0.174796, actvprof=,2.114613, id=,B04, PRDE,actvstrat=,-0.775852, actvprof=,2.732399, id=,B05, PRDE,actvstrat=,-0.874636, actvprof=,3.341019, id=,B06, PRDE,actvstrat=,0.295325, actvprof=,2.419339, id=,B07, PRDE,actvstrat=,0.163611, actvprof=,2.296282, id=,B08, PRDE,actvstrat=,0.488784, actvprof=,2.544896, id=,B09, PRDE,actvstrat=,-0.583445, actvprof=,2.128502, id=,S00, PRDE,actvstrat=,0.451590, actvprof=,7.522743, id=,S01, PRDE,actvstrat=,-0.021280, actvprof=,4.743677, id=,S02, PRDE,actvstrat=,-0.176117, actvprof=,3.419353, id=,S03, PRDE,actvstrat=,-0.756856, actvprof=,1.517382, id=,S04, PRDE,actvstrat=,-0.614653, actvprof=,2.421561, id=,S05, PRDE,actvstrat=,0.867373, actvprof=,9.674023, id=,S06, PRDE,actvstrat=,-0.392596, actvprof=,2.806845, id=,S07, PRDE,actvstrat=,-0.118519, actvprof=,3.914915, id=,S08, PRDE,actvstrat=,0.815737, actvprof=,9.593605, id=,S09, PRDE,actvstrat=,0.861967, actvprof=,9.578327, best_B_id=,B05, best_B_prof=,3.341019, best_B_strat=,-0.874636, best_S_id=,S05, best_S_prof=,9.674023, best_S_strat=,0.867373, 
