B00, 100
B00, Trade, 4319299.943, 69, B00, S03, 1
B00, Trade, 4319308.243, 102, B00, S03, 1
B00, Trade, 4319312.993, 98, B00, S00, 1
B00, Trade, 4319318.193, 112, B00, S04, 1
B00, Trade, 4319326.643, 84, B00, S05, 1
B00, Trade, 4319334.293, 60, S08, B00, 1
B00, Trade, 4319342.593, 73, B00, S09, 1
B00, Trade, 4319347.193, 86, B00, S09, 1
B00, Trade, 4319352.993, 73, B00, S04, 1
B00, Trade, 4319356.793, 60, B00, S05, 1
B00, Trade, 4319361.543, 92, B00, S04, 1
B00, Trade, 4319369.143, 92, B00, S04, 1
B00, Trade, 4319379.243, 72, B00, S03, 1
B00, Trade, 4319387.843, 92, B00, S07, 1
B00, Trade, 4319393.093, 91, B00, S00, 1
B00, Trade, 4319401.593, 68, B00, S02, 1
B00, Trade, 4319406.543, 118, B00, S01, 1
B00, Trade, 4319418.793, 85, B00, S00, 1
B00, Trade, 4319429.743, 101, B00, S03, 1
B00, Trade, 4319442.093, 82, B00, S09, 1
B00, Trade, 4319448.293, 64, S05, B00, 1
B00, Trade, 4319453.693, 108, B00, S05, 1
B00, Trade, 4319462.793, 72, B00, S03, 1
B00, Trade, 4319471.143, 106, B00, S08, 1
B00, Trade, 4319475.843, 108, B00, S02, 1
B00, Trade, 4319476.393, 81, B00, S08, 1
B00, Trade, 4319485.843, 87, B00, S03, 1
B00, Trade, 4319497.393, 99, B00, S03, 1
B00, Trade, 4319504.843, 72, B00, S03, 1
B00, Trade, 4319511.043, 100, B00, S01, 1
B00, Trade, 4319517.843, 76, S06, B00, 1
B00, Trade, 4319522.943, 64, B00, S08, 1
B00, Trade, 4319534.693, 114, B00, S02, 1
B00, Trade, 4319536.893, 67, S06, B00, 1
B00, Trade, 4319545.843, 64, B00, S09, 1
B00, Trade, 4319552.343, 90, B00, S03, 1
B00, Trade, 4319556.093, 82, B00, S09, 1
B00, Trade, 4319560.743, 60, S09, B00, 1
B00, Trade, 4319573.493, 76, S02, B00, 1
B00, Trade, 4319579.193, 70, B00, S02, 1
B00, Trade, 4319590.343, 91, B00, S07, 1
B00, Trade, 4319592.193, 73, B00, S09, 1
B00, Trade, 4319597.093, 101, B00, S07, 1
B00, Trade, 4319601.343, 75, B00, S06, 1
B00, Trade, 4319623.793, 89, B00, S08, 1
B00, Trade, 4319631.793, 69, B00, S09, 1
B00, Trade, 4319635.543, 72, B00, S05, 1
B00, Trade, 4319643.393, 96, S01, B00, 1
B00, Trade, 4319650.343, 97, B00, S02, 1
B00, Trade, 4319653.793, 79, B00, S03, 1
B00, Trade, 4319667.793, 65, B00, S02, 1
B00, Trade, 4319671.643, 66, B00, S05, 1
B00, Trade, 4319673.693, 62, B00, S05, 1
B00, Trade, 4319679.293, 83, B00, S04, 1
B00, Trade, 4319692.843, 90, B00, S01, 1
B00, Trade, 4319697.293, 61, S08, B00, 1
B00, Trade, 4319702.693, 108, B00, S03, 1
B00, Trade, 4319711.493, 60, S00, B00, 1
B00, Trade, 4319720.443, 96, B00, S00, 1
B00, Trade, 4319736.843, 92, B00, S00, 1
B00, Trade, 4319741.343, 78, B00, S03, 1
B00, Trade, 4319745.693, 78, B00, S04, 1
B00, Trade, 4319749.543, 89, B00, S05, 1
B00, Trade, 4319754.993, 109, B00, S01, 1
B00, Trade, 4319762.043, 102, B00, S01, 1
B00, Trade, 4319771.293, 92, B00, S08, 1
B00, Trade, 4319777.193, 104, B00, S03, 1
B00, Trade, 4319780.643, 103, B00, S08, 1
B00, Trade, 4319787.293, 70, B00, S05, 1
B00, Trade, 4319792.143, 70, B00, S00, 1
B00, Trade, 4319794.293, 81, B00, S01, 1
B00, Trade, 4319801.843, 74, B00, S00, 1
B00, Trade, 4319803.443, 89, B00, S05, 1
B00, Trade, 4319810.843, 106, B00, S05, 1
B00, Trade, 4319815.543, 82, B00, S06, 1
B00, Trade, 4319831.743, 63, B00, S08, 1
B00, Trade, 4319834.643, 63, S05, B00, 1
B00, Trade, 4319840.643, 88, B00, S09, 1
B00, Trade, 4319845.243, 77, B00, S08, 1
B00, Trade, 4319853.393, 113, B00, S03, 1
B00, Trade, 4319862.543, 107, B00, S00, 1
B00, Trade, 4319874.593, 111, B00, S05, 1
B00, Trade, 4319879.693, 91, B00, S09, 1
B00, Trade, 4319883.643, 88, B00, S05, 1
B00, Trade, 4319888.793, 112, B00, S04, 1
