t=,1, id=,B00, PRDE,actvstrat=,0.106935, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.058725, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.535446, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.910788, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.281759, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.219106, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.318413, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.506259, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.719700, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.816930, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.896967, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.328333, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.722520, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.597917, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.077420, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.760832, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.008084, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.860244, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.785354, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.069640, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.106935, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.896967, 
t=,3600, id=,B00, PRDE,actvstrat=,0.106935, actvprof=,2.098611, id=,B01, PRDE,actvstrat=,-0.058725, actvprof=,2.039167, id=,B02, PRDE,actvstrat=,-0.535446, actvprof=,2.382222, id=,B03, PRDE,actvstrat=,0.910788, actvprof=,1.808611, id=,B04, PRDE,actvstrat=,-0.281759, actvprof=,2.192500, id=,B05, PRDE,actvstrat=,-0.219106, actvprof=,1.898056, id=,B06, PRDE,actvstrat=,-0.318413, actvprof=,2.055833, id=,B07, PRDE,actvstrat=,0.506259, actvprof=,2.704722, id=,B08, PRDE,actvstrat=,0.719700, actvprof=,2.514444, id=,B09, PRDE,actvstrat=,0.816930, actvprof=,2.386111, id=,S00, PRDE,actvstrat=,0.896967, actvprof=,10.207222, id=,S01, PRDE,actvstrat=,-0.328333, actvprof=,4.225556, id=,S02, PRDE,actvstrat=,-0.722520, actvprof=,2.760833, id=,S03, PRDE,actvstrat=,-0.597917, actvprof=,2.989722, id=,S04, PRDE,actvstrat=,0.077420, actvprof=,6.735833, id=,S05, PRDE,actvstrat=,0.760832, actvprof=,10.260278, id=,S06, PRDE,actvstrat=,-0.008084, actvprof=,6.113056, id=,S07, PRDE,actvstrat=,0.860244, actvprof=,10.669444, id=,S08, PRDE,actvstrat=,-0.785354, actvprof=,2.069167, id=,S09, PRDE,actvstrat=,-0.069640, actvprof=,5.977500, best_B_id=,B07, best_B_prof=,2.704722, best_B_strat=,0.506259, best_S_id=,S07, best_S_prof=,10.669444, best_S_strat=,0.860244, 
t=,7200, id=,B00, PRDE,actvstrat=,0.688110, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.788108, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.266761, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.357887, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.843613, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.430195, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.279658, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.898616, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.198927, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.642508, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.936556, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.947320, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.269097, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.781971, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.290253, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.509896, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.801843, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.760198, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.895717, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.516344, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.688110, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.936556, 
t=,10800, id=,B00, PRDE,actvstrat=,0.688110, actvprof=,1.305260, id=,B01, PRDE,actvstrat=,0.788108, actvprof=,1.248594, id=,B02, PRDE,actvstrat=,-0.266761, actvprof=,0.652769, id=,B03, PRDE,actvstrat=,-0.357887, actvprof=,0.533326, id=,B04, PRDE,actvstrat=,0.843613, actvprof=,1.302482, id=,B05, PRDE,actvstrat=,-0.430195, actvprof=,0.761378, id=,B06, PRDE,actvstrat=,0.279658, actvprof=,0.815544, id=,B07, PRDE,actvstrat=,0.898616, actvprof=,1.201650, id=,B08, PRDE,actvstrat=,0.198927, actvprof=,0.891654, id=,B09, PRDE,actvstrat=,-0.642508, actvprof=,1.037208, id=,S00, PRDE,actvstrat=,-0.936556, actvprof=,0.489993, id=,S01, PRDE,actvstrat=,-0.947320, actvprof=,0.564437, id=,S02, PRDE,actvstrat=,-0.269097, actvprof=,4.743267, id=,S03, PRDE,actvstrat=,0.781971, actvprof=,11.563451, id=,S04, PRDE,actvstrat=,-0.290253, actvprof=,4.625491, id=,S05, PRDE,actvstrat=,-0.509896, actvprof=,4.417161, id=,S06, PRDE,actvstrat=,0.801843, actvprof=,12.200108, id=,S07, PRDE,actvstrat=,-0.760198, actvprof=,2.327745, id=,S08, PRDE,actvstrat=,-0.895717, actvprof=,0.443883, id=,S09, PRDE,actvstrat=,0.516344, actvprof=,9.784864, best_B_id=,B00, best_B_prof=,1.305260, best_B_strat=,0.688110, best_S_id=,S06, best_S_prof=,12.200108, best_S_strat=,0.801843, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.993353, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.847739, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.923926, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.910788, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.885203, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.741773, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.651021, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.978653, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.274366, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.816930, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.082798, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.113300, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.269097, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.906913, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.290253, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.227689, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.278689, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.050013, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.351612, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.939570, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.993353, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.082798, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.993353, actvprof=,1.188350, id=,B01, PRDE,actvstrat=,0.847739, actvprof=,1.129182, id=,B02, PRDE,actvstrat=,-0.923926, actvprof=,1.521688, id=,B03, PRDE,actvstrat=,0.910788, actvprof=,1.100015, id=,B04, PRDE,actvstrat=,-0.885203, actvprof=,1.243073, id=,B05, PRDE,actvstrat=,-0.741773, actvprof=,0.803900, id=,B06, PRDE,actvstrat=,-0.651021, actvprof=,0.630564, id=,B07, PRDE,actvstrat=,0.978653, actvprof=,0.503618, id=,B08, PRDE,actvstrat=,-0.274366, actvprof=,0.511118, id=,B09, PRDE,actvstrat=,0.816930, actvprof=,1.141683, id=,S00, PRDE,actvstrat=,0.082798, actvprof=,7.689273, id=,S01, PRDE,actvstrat=,-0.113300, actvprof=,5.876471, id=,S02, PRDE,actvstrat=,-0.269097, actvprof=,4.675065, id=,S03, PRDE,actvstrat=,0.906913, actvprof=,12.831845, id=,S04, PRDE,actvstrat=,-0.290253, actvprof=,4.746177, id=,S05, PRDE,actvstrat=,0.227689, actvprof=,8.417061, id=,S06, PRDE,actvstrat=,-0.278689, actvprof=,4.738955, id=,S07, PRDE,actvstrat=,0.050013, actvprof=,7.826775, id=,S08, PRDE,actvstrat=,0.351612, actvprof=,9.041237, id=,S09, PRDE,actvstrat=,-0.939570, actvprof=,0.473895, best_B_id=,B02, best_B_prof=,1.521688, best_B_strat=,-0.923926, best_S_id=,S03, best_S_prof=,12.831845, best_S_strat=,0.906913, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.993353, actvprof=,1.219314, id=,B01, PRDE,actvstrat=,0.847739, actvprof=,1.185564, id=,B02, PRDE,actvstrat=,-0.923926, actvprof=,1.440149, id=,B03, PRDE,actvstrat=,0.910788, actvprof=,1.057091, id=,B04, PRDE,actvstrat=,-0.885203, actvprof=,1.266675, id=,B05, PRDE,actvstrat=,-0.741773, actvprof=,0.715977, id=,B06, PRDE,actvstrat=,-0.651021, actvprof=,0.658755, id=,B07, PRDE,actvstrat=,0.978653, actvprof=,0.498892, id=,B08, PRDE,actvstrat=,-0.274366, actvprof=,0.486531, id=,B09, PRDE,actvstrat=,0.816930, actvprof=,1.151119, id=,S00, PRDE,actvstrat=,0.082798, actvprof=,7.746582, id=,S01, PRDE,actvstrat=,-0.113300, actvprof=,5.632122, id=,S02, PRDE,actvstrat=,-0.269097, actvprof=,4.643782, id=,S03, PRDE,actvstrat=,0.906913, actvprof=,12.859534, id=,S04, PRDE,actvstrat=,-0.290253, actvprof=,4.529615, id=,S05, PRDE,actvstrat=,0.227689, actvprof=,8.218668, id=,S06, PRDE,actvstrat=,-0.278689, actvprof=,4.700866, id=,S07, PRDE,actvstrat=,0.050013, actvprof=,7.768110, id=,S08, PRDE,actvstrat=,0.351612, actvprof=,9.096730, id=,S09, PRDE,actvstrat=,-0.939570, actvprof=,0.424447, best_B_id=,B02, best_B_prof=,1.440149, best_B_strat=,-0.923926, best_S_id=,S03, best_S_prof=,12.859534, best_S_strat=,0.906913, 
t=,25200, id=,B00, PRDE,actvstrat=,0.567446, actvprof=,3.667880, id=,B01, PRDE,actvstrat=,0.905009, actvprof=,3.050085, id=,B02, PRDE,actvstrat=,-0.611569, actvprof=,4.066224, id=,B03, PRDE,actvstrat=,-0.010520, actvprof=,3.156754, id=,B04, PRDE,actvstrat=,-0.165986, actvprof=,3.389539, id=,B05, PRDE,actvstrat=,0.610796, actvprof=,3.595100, id=,B06, PRDE,actvstrat=,0.314505, actvprof=,3.385650, id=,B07, PRDE,actvstrat=,0.683222, actvprof=,3.676491, id=,B08, PRDE,actvstrat=,0.698749, actvprof=,3.603989, id=,B09, PRDE,actvstrat=,-0.953898, actvprof=,3.421484, id=,S00, PRDE,actvstrat=,0.669914, actvprof=,8.563293, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,9.432484, id=,S02, PRDE,actvstrat=,0.342597, actvprof=,6.604072, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,9.239701, id=,S04, PRDE,actvstrat=,0.638855, actvprof=,7.773271, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,4.682630, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,4.817634, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,9.542765, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,4.780411, id=,S09, PRDE,actvstrat=,0.076422, actvprof=,5.886830, best_B_id=,B02, best_B_prof=,4.066224, best_B_strat=,-0.611569, best_S_id=,S07, best_S_prof=,9.542765, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.567446, actvprof=,3.754635, id=,B01, PRDE,actvstrat=,0.905009, actvprof=,2.886568, id=,B02, PRDE,actvstrat=,-0.611569, actvprof=,4.078668, id=,B03, PRDE,actvstrat=,-0.010520, actvprof=,3.199767, id=,B04, PRDE,actvstrat=,-0.165986, actvprof=,3.392547, id=,B05, PRDE,actvstrat=,0.610796, actvprof=,3.719913, id=,B06, PRDE,actvstrat=,0.314505, actvprof=,3.462687, id=,B07, PRDE,actvstrat=,0.683222, actvprof=,3.628662, id=,B08, PRDE,actvstrat=,0.698749, actvprof=,3.602550, id=,B09, PRDE,actvstrat=,-0.953898, actvprof=,3.530049, id=,S00, PRDE,actvstrat=,0.669914, actvprof=,8.608175, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,9.509993, id=,S02, PRDE,actvstrat=,0.342597, actvprof=,6.630787, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,9.366519, id=,S04, PRDE,actvstrat=,0.638855, actvprof=,8.173864, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,4.517146, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,4.983958, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,9.356658, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,4.836873, id=,S09, PRDE,actvstrat=,0.076422, actvprof=,5.750358, best_B_id=,B02, best_B_prof=,4.078668, best_B_strat=,-0.611569, best_S_id=,S01, best_S_prof=,9.509993, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.181367, actvprof=,2.693483, id=,B01, PRDE,actvstrat=,0.788108, actvprof=,3.288794, id=,B02, PRDE,actvstrat=,-0.611569, actvprof=,3.151564, id=,B03, PRDE,actvstrat=,0.391230, actvprof=,3.246291, id=,B04, PRDE,actvstrat=,-0.066567, actvprof=,2.721540, id=,B05, PRDE,actvstrat=,-0.325200, actvprof=,2.477638, id=,B06, PRDE,actvstrat=,0.880688, actvprof=,2.756820, id=,B07, PRDE,actvstrat=,-0.764621, actvprof=,3.499917, id=,B08, PRDE,actvstrat=,-0.820156, actvprof=,3.863826, id=,B09, PRDE,actvstrat=,-0.776182, actvprof=,3.561865, id=,S00, PRDE,actvstrat=,0.547052, actvprof=,6.938163, id=,S01, PRDE,actvstrat=,0.590197, actvprof=,7.008167, id=,S02, PRDE,actvstrat=,-0.197569, actvprof=,2.673204, id=,S03, PRDE,actvstrat=,0.781971, actvprof=,8.573810, id=,S04, PRDE,actvstrat=,0.712522, actvprof=,8.189066, id=,S05, PRDE,actvstrat=,-0.399156, actvprof=,2.187899, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,5.135563, id=,S07, PRDE,actvstrat=,0.860244, actvprof=,8.736041, id=,S08, PRDE,actvstrat=,-0.528237, actvprof=,2.102061, id=,S09, PRDE,actvstrat=,0.382689, actvprof=,6.354797, best_B_id=,B08, best_B_prof=,3.863826, best_B_strat=,-0.820156, best_S_id=,S07, best_S_prof=,8.736041, best_S_strat=,0.860244, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.181367, actvprof=,2.733826, id=,B01, PRDE,actvstrat=,0.788108, actvprof=,3.275091, id=,B02, PRDE,actvstrat=,-0.611569, actvprof=,3.069807, id=,B03, PRDE,actvstrat=,0.391230, actvprof=,3.261757, id=,B04, PRDE,actvstrat=,-0.066567, actvprof=,2.803828, id=,B05, PRDE,actvstrat=,-0.325200, actvprof=,2.474513, id=,B06, PRDE,actvstrat=,0.880688, actvprof=,2.791189, id=,B07, PRDE,actvstrat=,-0.764621, actvprof=,3.536626, id=,B08, PRDE,actvstrat=,-0.820156, actvprof=,4.026779, id=,B09, PRDE,actvstrat=,-0.776182, actvprof=,3.608572, id=,S00, PRDE,actvstrat=,0.547052, actvprof=,7.043251, id=,S01, PRDE,actvstrat=,0.590197, actvprof=,7.197144, id=,S02, PRDE,actvstrat=,-0.197569, actvprof=,2.859524, id=,S03, PRDE,actvstrat=,0.781971, actvprof=,8.604822, id=,S04, PRDE,actvstrat=,0.712522, actvprof=,8.175227, id=,S05, PRDE,actvstrat=,-0.399156, actvprof=,2.323120, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,5.194450, id=,S07, PRDE,actvstrat=,0.860244, actvprof=,8.859691, id=,S08, PRDE,actvstrat=,-0.528237, actvprof=,2.175199, id=,S09, PRDE,actvstrat=,0.382689, actvprof=,6.288091, best_B_id=,B08, best_B_prof=,4.026779, best_B_strat=,-0.820156, best_S_id=,S07, best_S_prof=,8.859691, best_S_strat=,0.860244, 
