B00, 100
B00, Trade, 4319281.043, 70, S04, B00, 1
B00, Trade, 4319287.293, 87, B00, S04, 1
B00, Trade, 4319291.743, 78, S05, B00, 1
B00, Trade, 4319298.743, 115, S02, B00, 1
B00, Trade, 4319305.043, 65, S07, B00, 1
B00, Trade, 4319318.793, 84, B00, S01, 1
B00, Trade, 4319322.093, 61, S00, B00, 1
B00, Trade, 4319327.543, 116, B00, S00, 1
B00, Trade, 4319336.643, 60, S07, B00, 1
B00, Trade, 4319342.693, 106, S04, B00, 1
B00, Trade, 4319351.593, 114, B00, S02, 1
B00, Trade, 4319361.843, 106, B00, S09, 1
B00, Trade, 4319368.343, 121, B00, S01, 1
B00, Trade, 4319384.443, 109, B00, S04, 1
B00, Trade, 4319388.943, 116, B00, S07, 1
B00, Trade, 4319399.043, 122, B00, S08, 1
B00, Trade, 4319405.093, 131, B00, S04, 1
B00, Trade, 4319413.393, 104, B00, S06, 1
B00, Trade, 4319417.343, 93, S02, B00, 1
B00, Trade, 4319428.843, 71, B00, S07, 1
B00, Trade, 4319441.193, 111, B00, S00, 1
B00, Trade, 4319454.043, 125, S01, B00, 1
B00, Trade, 4319458.943, 109, B00, S07, 1
B00, Trade, 4319462.193, 94, B00, S06, 1
B00, Trade, 4319469.543, 119, B00, S05, 1
B00, Trade, 4319476.393, 64, B00, S09, 1
B00, Trade, 4319481.193, 105, B00, S05, 1
B00, Trade, 4319488.793, 106, B00, S06, 1
B00, Trade, 4319491.393, 109, B00, S01, 1
B00, Trade, 4319502.743, 107, B00, S05, 1
B00, Trade, 4319513.943, 109, B00, S09, 1
B00, Trade, 4319515.143, 110, B00, S07, 1
B00, Trade, 4319517.443, 132, B00, S03, 1
B00, Trade, 4319528.343, 89, B00, S06, 1
B00, Trade, 4319535.893, 90, B00, S05, 1
B00, Trade, 4319544.993, 78, B00, S01, 1
B00, Trade, 4319551.843, 92, B00, S05, 1
B00, Trade, 4319555.593, 65, B00, S00, 1
B00, Trade, 4319559.793, 61, S09, B00, 1
B00, Trade, 4319563.593, 63, S07, B00, 1
B00, Trade, 4319581.743, 85, B00, S09, 1
B00, Trade, 4319583.593, 84, B00, S07, 1
B00, Trade, 4319595.693, 91, B00, S00, 1
B00, Trade, 4319605.143, 112, B00, S02, 1
B00, Trade, 4319623.543, 95, B00, S01, 1
B00, Trade, 4319630.593, 88, B00, S05, 1
B00, Trade, 4319637.543, 92, B00, S07, 1
B00, Trade, 4319639.743, 117, S05, B00, 1
B00, Trade, 4319648.793, 65, B00, S09, 1
B00, Trade, 4319654.343, 74, S01, B00, 1
B00, Trade, 4319664.443, 64, S09, B00, 1
B00, Trade, 4319671.293, 123, B00, S00, 1
B00, Trade, 4319676.843, 72, S04, B00, 1
B00, Trade, 4319685.843, 121, B00, S01, 1
B00, Trade, 4319706.793, 119, B00, S02, 1
B00, Trade, 4319715.143, 61, S00, B00, 1
B00, Trade, 4319722.393, 116, S04, B00, 1
B00, Trade, 4319732.093, 114, B00, S04, 1
B00, Trade, 4319741.843, 111, B00, S04, 1
B00, Trade, 4319745.193, 136, B00, S00, 1
B00, Trade, 4319762.343, 127, B00, S02, 1
B00, Trade, 4319765.493, 108, S02, B00, 1
B00, Trade, 4319767.793, 100, B00, S03, 1
B00, Trade, 4319774.843, 91, S02, B00, 1
B00, Trade, 4319779.943, 100, S01, B00, 1
B00, Trade, 4319789.693, 86, B00, S01, 1
B00, Trade, 4319793.743, 70, B00, S00, 1
B00, Trade, 4319796.743, 101, S03, B00, 1
B00, Trade, 4319802.843, 86, S01, B00, 1
B00, Trade, 4319805.843, 76, S01, B00, 1
B00, Trade, 4319811.943, 61, S09, B00, 1
B00, Trade, 4319823.293, 61, B00, S02, 1
B00, Trade, 4319829.543, 71, B00, S06, 1
B00, Trade, 4319837.343, 102, S03, B00, 1
B00, Trade, 4319841.893, 85, B00, S02, 1
B00, Trade, 4319846.393, 91, B00, S02, 1
B00, Trade, 4319851.043, 60, S00, B00, 1
B00, Trade, 4319854.343, 89, B00, S06, 1
B00, Trade, 4319866.543, 78, B00, S01, 1
B00, Trade, 4319868.143, 63, S07, B00, 1
B00, Trade, 4319869.693, 61, S00, B00, 1
B00, Trade, 4319881.343, 79, B00, S06, 1
B00, Trade, 4319884.493, 115, S08, B00, 1
B00, Trade, 4319887.143, 82, S04, B00, 1
B00, Trade, 4319889.043, 87, B00, S05, 1
B00, Trade, 4319904.293, 61, S09, B00, 1
B00, Trade, 4319905.643, 78, S00, B00, 1
B00, Trade, 4319915.993, 120, B00, S00, 1
B00, Trade, 4319923.193, 85, B00, S05, 1
B00, Trade, 4319925.393, 115, B00, S09, 1
B00, Trade, 4319934.393, 123, B00, S01, 1
B00, Trade, 4319935.993, 68, S02, B00, 1
B00, Trade, 4319947.643, 121, B00, S05, 1
B00, Trade, 4319955.543, 99, B00, S08, 1
B00, Trade, 4319962.143, 124, B00, S07, 1
B00, Trade, 4319967.343, 74, B00, S09, 1
B00, Trade, 4319973.993, 118, B00, S08, 1
B00, Trade, 4319982.893, 74, B00, S04, 1
B00, Trade, 4319990.643, 114, B00, S01, 1
B00, Trade, 4319993.443, 134, B00, S02, 1
B01, 100
B01, Trade, 4319275.693, 102, B01, S09, 1
B01, Trade, 4319285.793, 114, B01, S02, 1
B01, Trade, 4319290.593, 60, S06, B01, 1
B01, Trade, 4319297.693, 72, B01, S07, 1
B01, Trade, 4319302.293, 127, B01, S01, 1
B01, Trade, 4319305.493, 99, B01, S01, 1
B01, Trade, 4319314.443, 108, B01, S08, 1
B01, Trade, 4319321.193, 86, S02, B01, 1
B01, Trade, 4319330.193, 97, B01, S06, 1
B01, Trade, 4319338.643, 63, S06, B01, 1
B01, Trade, 4319346.743, 69, B01, S05, 1
B01, Trade, 4319361.743, 106, B01, S06, 1
B01, Trade, 4319366.293, 109, B01, S09, 1
B01, Trade, 4319374.243, 76, S01, B01, 1
B01, Trade, 4319380.393, 77, S01, B01, 1
B01, Trade, 4319389.993, 86, B01, S09, 1
B01, Trade, 4319401.843, 101, S01, B01, 1
B01, Trade, 4319408.693, 98, S03, B01, 1
B01, Trade, 4319415.543, 89, S02, B01, 1
B01, Trade, 4319419.943, 68, S01, B01, 1
B01, Trade, 4319423.343, 79, S05, B01, 1
B01, Trade, 4319429.393, 96, B01, S02, 1
B01, Trade, 4319436.093, 75, B01, S05, 1
B01, Trade, 4319452.343, 75, B01, S00, 1
B01, Trade, 4319456.593, 135, B01, S09, 1
B01, Trade, 4319467.193, 82, B01, S02, 1
B01, Trade, 4319473.643, 85, B01, S06, 1
B01, Trade, 4319479.043, 60, B01, S00, 1
B01, Trade, 4319483.243, 120, B01, S04, 1
B01, Trade, 4319488.243, 76, B01, S09, 1
B01, Trade, 4319496.243, 90, B01, S09, 1
B01, Trade, 4319498.893, 110, B01, S07, 1
B01, Trade, 4319503.293, 129, B01, S00, 1
B01, Trade, 4319514.393, 96, B01, S04, 1
B01, Trade, 4319525.693, 71, B01, S04, 1
B01, Trade, 4319532.293, 119, B01, S04, 1
B01, Trade, 4319539.993, 91, S02, B01, 1
B01, Trade, 4319546.743, 88, B01, S02, 1
B01, Trade, 4319552.693, 95, S01, B01, 1
B01, Trade, 4319560.193, 60, S06, B01, 1
B01, Trade, 4319565.743, 71, S00, B01, 1
B01, Trade, 4319571.043, 98, B01, S06, 1
B01, Trade, 4319580.743, 68, S07, B01, 1
B01, Trade, 4319583.493, 90, B01, S01, 1
B01, Trade, 4319597.643, 116, B01, S06, 1
B01, Trade, 4319608.143, 105, B01, S07, 1
B01, Trade, 4319613.193, 69, S03, B01, 1
B01, Trade, 4319628.143, 81, B01, S00, 1
B01, Trade, 4319637.143, 103, B01, S02, 1
B01, Trade, 4319638.993, 113, S08, B01, 1
B01, Trade, 4319645.543, 61, S00, B01, 1
B01, Trade, 4319651.693, 63, S09, B01, 1
B01, Trade, 4319666.243, 73, S09, B01, 1
B01, Trade, 4319674.443, 111, B01, S06, 1
B01, Trade, 4319677.243, 81, B01, S09, 1
B01, Trade, 4319690.143, 106, B01, S06, 1
B01, Trade, 4319699.943, 78, B01, S06, 1
B01, Trade, 4319705.893, 94, S03, B01, 1
B01, Trade, 4319711.993, 63, S07, B01, 1
B01, Trade, 4319718.693, 103, B01, S03, 1
B01, Trade, 4319728.793, 86, S04, B01, 1
B01, Trade, 4319739.393, 98, B01, S00, 1
B01, Trade, 4319748.243, 98, B01, S07, 1
B01, Trade, 4319751.293, 108, B01, S03, 1
B01, Trade, 4319753.593, 107, B01, S08, 1
B01, Trade, 4319765.193, 103, B01, S04, 1
B01, Trade, 4319773.043, 109, B01, S03, 1
B01, Trade, 4319782.243, 101, B01, S04, 1
B01, Trade, 4319784.193, 72, S06, B01, 1
B01, Trade, 4319787.643, 64, S07, B01, 1
B01, Trade, 4319803.943, 71, B01, S06, 1
B01, Trade, 4319807.393, 63, S00, B01, 1
B01, Trade, 4319817.443, 101, B01, S01, 1
B01, Trade, 4319823.943, 63, S09, B01, 1
B01, Trade, 4319832.293, 120, S05, B01, 1
B01, Trade, 4319833.643, 61, S07, B01, 1
B01, Trade, 4319841.043, 64, S00, B01, 1
B01, Trade, 4319856.243, 63, S00, B01, 1
B01, Trade, 4319861.943, 64, B01, S06, 1
B01, Trade, 4319865.043, 128, B01, S06, 1
B01, Trade, 4319874.243, 97, B01, S07, 1
B01, Trade, 4319883.793, 72, B01, S07, 1
B01, Trade, 4319895.043, 79, B01, S06, 1
B01, Trade, 4319900.243, 107, B01, S07, 1
B01, Trade, 4319909.343, 79, S04, B01, 1
B01, Trade, 4319916.293, 95, B01, S07, 1
B01, Trade, 4319923.293, 97, S01, B01, 1
B01, Trade, 4319924.993, 99, S02, B01, 1
B01, Trade, 4319927.143, 90, B01, S09, 1
B01, Trade, 4319930.443, 118, B01, S03, 1
B01, Trade, 4319941.643, 107, S08, B01, 1
B01, Trade, 4319949.093, 113, B01, S07, 1
B01, Trade, 4319953.543, 85, B01, S09, 1
B01, Trade, 4319960.993, 111, B01, S04, 1
B01, Trade, 4319967.643, 70, B01, S06, 1
B01, Trade, 4319975.993, 60, S09, B01, 1
B01, Trade, 4319981.093, 88, B01, S02, 1
B01, Trade, 4319984.093, 66, S01, B01, 1
B01, Trade, 4319989.243, 82, S02, B01, 1
B01, Trade, 4319995.343, 113, B01, S05, 1
B02, 100
B02, Trade, 4319374.893, 60, S06, B02, 1
B02, Trade, 4319381.393, 99, B02, S07, 1
B02, Trade, 4319386.643, 118, B02, S00, 1
B02, Trade, 4319391.243, 125, B02, S05, 1
B02, Trade, 4319395.193, 115, S04, B02, 1
B02, Trade, 4319411.793, 77, S06, B02, 1
B02, Trade, 4319416.543, 97, S08, B02, 1
B02, Trade, 4319423.243, 78, B02, S07, 1
