t=,1, id=,B00, PRDE,actvstrat=,0.848355, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.601842, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.640195, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.480368, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.818494, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.177868, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.959359, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.548343, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.710206, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.105826, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.585924, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.745654, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.130932, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.260292, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.354034, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.282517, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.393460, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.831381, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.387270, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.432796, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.848355, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.585924, 
t=,3600, id=,B00, PRDE,actvstrat=,0.848355, actvprof=,1.971917, id=,B01, PRDE,actvstrat=,-0.601842, actvprof=,1.651922, id=,B02, PRDE,actvstrat=,-0.640195, actvprof=,1.759976, id=,B03, PRDE,actvstrat=,0.480368, actvprof=,2.017194, id=,B04, PRDE,actvstrat=,0.818494, actvprof=,2.006917, id=,B05, PRDE,actvstrat=,0.177868, actvprof=,1.671921, id=,B06, PRDE,actvstrat=,-0.959359, actvprof=,2.512465, id=,B07, PRDE,actvstrat=,-0.548343, actvprof=,1.304149, id=,B08, PRDE,actvstrat=,0.710206, actvprof=,2.124137, id=,B09, PRDE,actvstrat=,-0.105826, actvprof=,1.603311, id=,S00, PRDE,actvstrat=,-0.585924, actvprof=,4.072721, id=,S01, PRDE,actvstrat=,-0.745654, actvprof=,3.417730, id=,S02, PRDE,actvstrat=,0.130932, actvprof=,7.869335, id=,S03, PRDE,actvstrat=,0.260292, actvprof=,8.534048, id=,S04, PRDE,actvstrat=,-0.354034, actvprof=,5.463257, id=,S05, PRDE,actvstrat=,0.282517, actvprof=,8.137109, id=,S06, PRDE,actvstrat=,0.393460, actvprof=,8.825433, id=,S07, PRDE,actvstrat=,-0.831381, actvprof=,1.859696, id=,S08, PRDE,actvstrat=,0.387270, actvprof=,9.116818, id=,S09, PRDE,actvstrat=,-0.432796, actvprof=,4.901043, best_B_id=,B06, best_B_prof=,2.512465, best_B_strat=,-0.959359, best_S_id=,S08, best_S_prof=,9.116818, best_S_strat=,0.387270, 
t=,7200, id=,B00, PRDE,actvstrat=,0.994709, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.040887, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.557144, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.831857, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.676247, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.680282, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.401390, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.968271, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.976378, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.375457, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.024387, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.064673, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.239860, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.652446, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.797764, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.192789, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.438202, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.286333, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.449572, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.917181, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.994709, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.024387, 
t=,10800, id=,B00, PRDE,actvstrat=,0.994709, actvprof=,0.963902, id=,B01, PRDE,actvstrat=,0.040887, actvprof=,2.286421, id=,B02, PRDE,actvstrat=,0.557144, actvprof=,2.676148, id=,B03, PRDE,actvstrat=,0.831857, actvprof=,2.523646, id=,B04, PRDE,actvstrat=,-0.676247, actvprof=,2.940041, id=,B05, PRDE,actvstrat=,0.680282, actvprof=,2.724205, id=,B06, PRDE,actvstrat=,-0.401390, actvprof=,2.280865, id=,B07, PRDE,actvstrat=,0.968271, actvprof=,1.194739, id=,B08, PRDE,actvstrat=,0.976378, actvprof=,1.056404, id=,B09, PRDE,actvstrat=,0.375457, actvprof=,2.538646, id=,S00, PRDE,actvstrat=,0.024387, actvprof=,7.061765, id=,S01, PRDE,actvstrat=,-0.064673, actvprof=,6.210642, id=,S02, PRDE,actvstrat=,0.239860, actvprof=,8.006778, id=,S03, PRDE,actvstrat=,0.652446, actvprof=,10.354033, id=,S04, PRDE,actvstrat=,0.797764, actvprof=,11.338769, id=,S05, PRDE,actvstrat=,0.192789, actvprof=,7.657606, id=,S06, PRDE,actvstrat=,-0.438202, actvprof=,3.870054, id=,S07, PRDE,actvstrat=,0.286333, actvprof=,8.184836, id=,S08, PRDE,actvstrat=,0.449572, actvprof=,9.032625, id=,S09, PRDE,actvstrat=,0.917181, actvprof=,11.477104, best_B_id=,B04, best_B_prof=,2.940041, best_B_strat=,-0.676247, best_S_id=,S09, best_S_prof=,11.477104, best_S_strat=,0.917181, 
t=,14400, id=,B00, PRDE,actvstrat=,0.547038, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.971546, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.296954, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.327625, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.761008, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.583675, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.141581, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.048016, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.253097, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.911432, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.024387, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.005002, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.239860, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.283533, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.797764, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.403289, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.393460, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.547651, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.029618, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.588086, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.547038, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.024387, 
t=,18000, id=,B00, PRDE,actvstrat=,0.547038, actvprof=,2.585941, id=,B01, PRDE,actvstrat=,0.971546, actvprof=,1.293665, id=,B02, PRDE,actvstrat=,0.296954, actvprof=,2.399822, id=,B03, PRDE,actvstrat=,0.327625, actvprof=,2.498160, id=,B04, PRDE,actvstrat=,-0.761008, actvprof=,2.908732, id=,B05, PRDE,actvstrat=,-0.583675, actvprof=,2.348153, id=,B06, PRDE,actvstrat=,-0.141581, actvprof=,2.091198, id=,B07, PRDE,actvstrat=,-0.048016, actvprof=,2.208148, id=,B08, PRDE,actvstrat=,0.253097, actvprof=,2.399544, id=,B09, PRDE,actvstrat=,-0.911432, actvprof=,3.260414, id=,S00, PRDE,actvstrat=,0.024387, actvprof=,5.863300, id=,S01, PRDE,actvstrat=,0.005002, actvprof=,6.017751, id=,S02, PRDE,actvstrat=,0.239860, actvprof=,6.519716, id=,S03, PRDE,actvstrat=,0.283533, actvprof=,6.819729, id=,S04, PRDE,actvstrat=,0.797764, actvprof=,9.770129, id=,S05, PRDE,actvstrat=,-0.403289, actvprof=,3.237357, id=,S06, PRDE,actvstrat=,0.393460, actvprof=,7.322250, id=,S07, PRDE,actvstrat=,-0.547651, actvprof=,2.927344, id=,S08, PRDE,actvstrat=,0.029618, actvprof=,5.777741, id=,S09, PRDE,actvstrat=,0.588086, actvprof=,8.376738, best_B_id=,B09, best_B_prof=,3.260414, best_B_strat=,-0.911432, best_S_id=,S04, best_S_prof=,9.770129, best_S_strat=,0.797764, 
t=,21600, id=,B00, PRDE,actvstrat=,0.547038, actvprof=,2.799225, id=,B01, PRDE,actvstrat=,0.971546, actvprof=,1.310166, id=,B02, PRDE,actvstrat=,0.296954, actvprof=,2.361577, id=,B03, PRDE,actvstrat=,0.327625, actvprof=,2.496719, id=,B04, PRDE,actvstrat=,-0.761008, actvprof=,2.908811, id=,B05, PRDE,actvstrat=,-0.583675, actvprof=,2.329910, id=,B06, PRDE,actvstrat=,-0.141581, actvprof=,2.213379, id=,B07, PRDE,actvstrat=,-0.048016, actvprof=,2.187268, id=,B08, PRDE,actvstrat=,0.253097, actvprof=,2.523386, id=,B09, PRDE,actvstrat=,-0.911432, actvprof=,3.392154, id=,S00, PRDE,actvstrat=,0.024387, actvprof=,5.899151, id=,S01, PRDE,actvstrat=,0.005002, actvprof=,5.838316, id=,S02, PRDE,actvstrat=,0.239860, actvprof=,6.381105, id=,S03, PRDE,actvstrat=,0.283533, actvprof=,6.716668, id=,S04, PRDE,actvstrat=,0.797764, actvprof=,9.743120, id=,S05, PRDE,actvstrat=,-0.403289, actvprof=,3.130899, id=,S06, PRDE,actvstrat=,0.393460, actvprof=,7.460294, id=,S07, PRDE,actvstrat=,-0.547651, actvprof=,2.841309, id=,S08, PRDE,actvstrat=,0.029618, actvprof=,5.794704, id=,S09, PRDE,actvstrat=,0.588086, actvprof=,8.462537, best_B_id=,B09, best_B_prof=,3.392154, best_B_strat=,-0.911432, best_S_id=,S04, best_S_prof=,9.743120, best_S_strat=,0.797764, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,6.337750, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,6.516654, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,11.559574, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,6.756952, id=,B04, PRDE,actvstrat=,0.965503, actvprof=,11.582354, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,11.587632, id=,B06, PRDE,actvstrat=,-0.970081, actvprof=,4.952079, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,11.679862, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,6.772787, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.546934, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,0.403645, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.132205, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,0.417535, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,3.244159, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,3.234436, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,3.099147, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,3.071089, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,3.031364, id=,S08, PRDE,actvstrat=,0.904649, actvprof=,3.461955, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,3.176654, best_B_id=,B07, best_B_prof=,11.679862, best_B_strat=,1.000000, best_S_id=,S08, best_S_prof=,3.461955, best_S_strat=,0.904649, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,6.471242, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,6.658889, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,11.601039, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,6.619165, id=,B04, PRDE,actvstrat=,0.965503, actvprof=,11.675764, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,11.726322, id=,B06, PRDE,actvstrat=,-0.970081, actvprof=,5.097990, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,11.759379, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,6.723336, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.452352, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,0.380849, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.087073, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,0.362654, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,3.041655, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,2.995680, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,3.013459, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,2.956095, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,3.037488, id=,S08, PRDE,actvstrat=,0.904649, actvprof=,3.452088, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,3.125408, best_B_id=,B07, best_B_prof=,11.759379, best_B_strat=,1.000000, best_S_id=,S08, best_S_prof=,3.452088, best_S_strat=,0.904649, 
t=,32400, id=,B00, PRDE,actvstrat=,0.454236, actvprof=,0.777363, id=,B01, PRDE,actvstrat=,-0.235795, actvprof=,0.461194, id=,B02, PRDE,actvstrat=,0.675330, actvprof=,0.975732, id=,B03, PRDE,actvstrat=,0.670798, actvprof=,0.900440, id=,B04, PRDE,actvstrat=,0.965503, actvprof=,0.527595, id=,B05, PRDE,actvstrat=,0.718316, actvprof=,1.108256, id=,B06, PRDE,actvstrat=,-0.970081, actvprof=,1.122425, id=,B07, PRDE,actvstrat=,0.687744, actvprof=,0.949338, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.054913, id=,B09, PRDE,actvstrat=,0.375457, actvprof=,0.763749, id=,S00, PRDE,actvstrat=,-0.793730, actvprof=,1.866448, id=,S01, PRDE,actvstrat=,0.670350, actvprof=,11.470682, id=,S02, PRDE,actvstrat=,-0.719813, actvprof=,2.674927, id=,S03, PRDE,actvstrat=,-0.767961, actvprof=,2.597969, id=,S04, PRDE,actvstrat=,0.519895, actvprof=,10.498007, id=,S05, PRDE,actvstrat=,-0.105534, actvprof=,6.290302, id=,S06, PRDE,actvstrat=,-0.159117, actvprof=,5.455152, id=,S07, PRDE,actvstrat=,-0.435890, actvprof=,4.494700, id=,S08, PRDE,actvstrat=,0.904649, actvprof=,13.151263, id=,S09, PRDE,actvstrat=,0.045702, actvprof=,7.428563, best_B_id=,B06, best_B_prof=,1.122425, best_B_strat=,-0.970081, best_S_id=,S08, best_S_prof=,13.151263, best_S_strat=,0.904649, 
t=,36000, id=,B00, PRDE,actvstrat=,0.454236, actvprof=,0.899115, id=,B01, PRDE,actvstrat=,-0.235795, actvprof=,0.427264, id=,B02, PRDE,actvstrat=,0.675330, actvprof=,0.935369, id=,B03, PRDE,actvstrat=,0.670798, actvprof=,0.915506, id=,B04, PRDE,actvstrat=,0.965503, actvprof=,0.567277, id=,B05, PRDE,actvstrat=,0.718316, actvprof=,1.019544, id=,B06, PRDE,actvstrat=,-0.970081, actvprof=,1.129415, id=,B07, PRDE,actvstrat=,0.687744, actvprof=,0.938286, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.045241, id=,B09, PRDE,actvstrat=,0.375457, actvprof=,0.796466, id=,S00, PRDE,actvstrat=,-0.793730, actvprof=,1.867959, id=,S01, PRDE,actvstrat=,0.670350, actvprof=,11.556818, id=,S02, PRDE,actvstrat=,-0.719813, actvprof=,2.678594, id=,S03, PRDE,actvstrat=,-0.767961, actvprof=,2.448294, id=,S04, PRDE,actvstrat=,0.519895, actvprof=,10.592002, id=,S05, PRDE,actvstrat=,-0.105534, actvprof=,6.264637, id=,S06, PRDE,actvstrat=,-0.159117, actvprof=,5.546650, id=,S07, PRDE,actvstrat=,-0.435890, actvprof=,4.371536, id=,S08, PRDE,actvstrat=,0.904649, actvprof=,13.110302, id=,S09, PRDE,actvstrat=,0.045702, actvprof=,7.641437, best_B_id=,B06, best_B_prof=,1.129415, best_B_strat=,-0.970081, best_S_id=,S08, best_S_prof=,13.110302, best_S_strat=,0.904649, 
