t=,0, id=,B00, PRDE,actvstrat=,-0.662047, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.513167, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.094706, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.811077, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.790010, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.909559, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.320959, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.205405, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.048311, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.492319, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.355161, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.817883, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.468064, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.758282, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.001329, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.959159, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.154658, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.536398, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.177866, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.695899, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.662047, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.355161, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.662047, actvprof=,3.355231, id=,B01, PRDE,actvstrat=,0.513167, actvprof=,3.416897, id=,B02, PRDE,actvstrat=,0.094706, actvprof=,3.024125, id=,B03, PRDE,actvstrat=,0.811077, actvprof=,2.971625, id=,B04, PRDE,actvstrat=,0.790010, actvprof=,3.138568, id=,B05, PRDE,actvstrat=,0.909559, actvprof=,2.335801, id=,B06, PRDE,actvstrat=,-0.320959, actvprof=,2.551353, id=,B07, PRDE,actvstrat=,-0.205405, actvprof=,2.715518, id=,B08, PRDE,actvstrat=,0.048311, actvprof=,2.555798, id=,B09, PRDE,actvstrat=,-0.492319, actvprof=,2.739962, id=,S00, PRDE,actvstrat=,-0.355161, actvprof=,4.147720, id=,S01, PRDE,actvstrat=,0.817883, actvprof=,9.866807, id=,S02, PRDE,actvstrat=,0.468064, actvprof=,8.244608, id=,S03, PRDE,actvstrat=,0.758282, actvprof=,9.672643, id=,S04, PRDE,actvstrat=,-0.001329, actvprof=,6.398244, id=,S05, PRDE,actvstrat=,0.959159, actvprof=,9.510979, id=,S06, PRDE,actvstrat=,-0.154658, actvprof=,5.078818, id=,S07, PRDE,actvstrat=,-0.536398, actvprof=,3.741615, id=,S08, PRDE,actvstrat=,0.177866, actvprof=,6.761295, id=,S09, PRDE,actvstrat=,-0.695899, actvprof=,3.348842, best_B_id=,B01, best_B_prof=,3.416897, best_B_strat=,0.513167, best_S_id=,S01, best_S_prof=,9.866807, best_S_strat=,0.817883, 
t=,7200, id=,B00, PRDE,actvstrat=,0.051248, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.522189, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.420906, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.412081, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.345237, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.655815, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.771995, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.083592, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.849784, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.804220, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.065907, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.468923, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.777555, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.734184, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.276440, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.581211, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.217401, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.593726, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.822545, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.949334, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.051248, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.065907, 
t=,10800, id=,B00, PRDE,actvstrat=,0.051248, actvprof=,1.788939, id=,B01, PRDE,actvstrat=,-0.522189, actvprof=,2.002000, id=,B02, PRDE,actvstrat=,-0.420906, actvprof=,1.690880, id=,B03, PRDE,actvstrat=,-0.412081, actvprof=,1.741159, id=,B04, PRDE,actvstrat=,0.345237, actvprof=,2.345065, id=,B05, PRDE,actvstrat=,-0.655815, actvprof=,2.374788, id=,B06, PRDE,actvstrat=,0.771995, actvprof=,2.461457, id=,B07, PRDE,actvstrat=,-0.083592, actvprof=,1.893108, id=,B08, PRDE,actvstrat=,-0.849784, actvprof=,3.197589, id=,B09, PRDE,actvstrat=,-0.804220, actvprof=,2.631740, id=,S00, PRDE,actvstrat=,0.065907, actvprof=,5.419039, id=,S01, PRDE,actvstrat=,-0.468923, actvprof=,2.831190, id=,S02, PRDE,actvstrat=,-0.777555, actvprof=,1.729492, id=,S03, PRDE,actvstrat=,-0.734184, actvprof=,1.840329, id=,S04, PRDE,actvstrat=,-0.276440, actvprof=,2.889525, id=,S05, PRDE,actvstrat=,0.581211, actvprof=,7.953554, id=,S06, PRDE,actvstrat=,0.217401, actvprof=,6.103225, id=,S07, PRDE,actvstrat=,0.593726, actvprof=,7.986055, id=,S08, PRDE,actvstrat=,-0.822545, actvprof=,0.994750, id=,S09, PRDE,actvstrat=,0.949334, actvprof=,9.883608, best_B_id=,B08, best_B_prof=,3.197589, best_B_strat=,-0.849784, best_S_id=,S09, best_S_prof=,9.883608, best_S_strat=,0.949334, 
t=,14400, id=,B00, PRDE,actvstrat=,0.051248, actvprof=,1.827652, id=,B01, PRDE,actvstrat=,-0.522189, actvprof=,1.943069, id=,B02, PRDE,actvstrat=,-0.420906, actvprof=,1.771540, id=,B03, PRDE,actvstrat=,-0.412081, actvprof=,1.742929, id=,B04, PRDE,actvstrat=,0.345237, actvprof=,2.313905, id=,B05, PRDE,actvstrat=,-0.655815, actvprof=,2.276544, id=,B06, PRDE,actvstrat=,0.771995, actvprof=,2.509184, id=,B07, PRDE,actvstrat=,-0.083592, actvprof=,1.939458, id=,B08, PRDE,actvstrat=,-0.849784, actvprof=,3.042104, id=,B09, PRDE,actvstrat=,-0.804220, actvprof=,2.682658, id=,S00, PRDE,actvstrat=,0.065907, actvprof=,5.397399, id=,S01, PRDE,actvstrat=,-0.468923, actvprof=,2.789880, id=,S02, PRDE,actvstrat=,-0.777555, actvprof=,1.657512, id=,S03, PRDE,actvstrat=,-0.734184, actvprof=,1.878902, id=,S04, PRDE,actvstrat=,-0.276440, actvprof=,2.804742, id=,S05, PRDE,actvstrat=,0.581211, actvprof=,8.022556, id=,S06, PRDE,actvstrat=,0.217401, actvprof=,6.409767, id=,S07, PRDE,actvstrat=,0.593726, actvprof=,8.076028, id=,S08, PRDE,actvstrat=,-0.822545, actvprof=,0.993201, id=,S09, PRDE,actvstrat=,0.949334, actvprof=,9.710345, best_B_id=,B08, best_B_prof=,3.042104, best_B_strat=,-0.849784, best_S_id=,S09, best_S_prof=,9.710345, best_S_strat=,0.949334, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.956959, actvprof=,2.442947, id=,B01, PRDE,actvstrat=,0.350222, actvprof=,1.532329, id=,B02, PRDE,actvstrat=,-0.893140, actvprof=,2.059032, id=,B03, PRDE,actvstrat=,-0.145123, actvprof=,1.076464, id=,B04, PRDE,actvstrat=,0.917536, actvprof=,1.411209, id=,B05, PRDE,actvstrat=,0.445622, actvprof=,1.664838, id=,B06, PRDE,actvstrat=,-0.329061, actvprof=,0.980624, id=,B07, PRDE,actvstrat=,-0.477628, actvprof=,1.132301, id=,B08, PRDE,actvstrat=,0.582986, actvprof=,1.855684, id=,B09, PRDE,actvstrat=,0.670574, actvprof=,1.783179, id=,S00, PRDE,actvstrat=,-0.940424, actvprof=,0.641433, id=,S01, PRDE,actvstrat=,-0.541663, actvprof=,3.446073, id=,S02, PRDE,actvstrat=,0.418853, actvprof=,8.685881, id=,S03, PRDE,actvstrat=,0.188487, actvprof=,7.474686, id=,S04, PRDE,actvstrat=,0.498464, actvprof=,8.990902, id=,S05, PRDE,actvstrat=,-0.414560, actvprof=,3.772484, id=,S06, PRDE,actvstrat=,-0.366567, actvprof=,3.731648, id=,S07, PRDE,actvstrat=,-0.127237, actvprof=,5.413987, id=,S08, PRDE,actvstrat=,0.062640, actvprof=,6.678242, id=,S09, PRDE,actvstrat=,0.697411, actvprof=,10.053476, best_B_id=,B00, best_B_prof=,2.442947, best_B_strat=,-0.956959, best_S_id=,S09, best_S_prof=,10.053476, best_S_strat=,0.697411, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.956959, actvprof=,2.425918, id=,B01, PRDE,actvstrat=,0.350222, actvprof=,1.505469, id=,B02, PRDE,actvstrat=,-0.893140, actvprof=,2.111184, id=,B03, PRDE,actvstrat=,-0.145123, actvprof=,1.079343, id=,B04, PRDE,actvstrat=,0.917536, actvprof=,1.438105, id=,B05, PRDE,actvstrat=,0.445622, actvprof=,1.622417, id=,B06, PRDE,actvstrat=,-0.329061, actvprof=,0.999201, id=,B07, PRDE,actvstrat=,-0.477628, actvprof=,1.096983, id=,B08, PRDE,actvstrat=,0.582986, actvprof=,1.812841, id=,B09, PRDE,actvstrat=,0.670574, actvprof=,1.817702, id=,S00, PRDE,actvstrat=,-0.940424, actvprof=,0.699469, id=,S01, PRDE,actvstrat=,-0.541663, actvprof=,3.370534, id=,S02, PRDE,actvstrat=,0.418853, actvprof=,8.656134, id=,S03, PRDE,actvstrat=,0.188487, actvprof=,7.592764, id=,S04, PRDE,actvstrat=,0.498464, actvprof=,8.920588, id=,S05, PRDE,actvstrat=,-0.414560, actvprof=,3.812771, id=,S06, PRDE,actvstrat=,-0.366567, actvprof=,3.780270, id=,S07, PRDE,actvstrat=,-0.127237, actvprof=,5.121567, id=,S08, PRDE,actvstrat=,0.062640, actvprof=,6.810653, id=,S09, PRDE,actvstrat=,0.697411, actvprof=,10.206466, best_B_id=,B00, best_B_prof=,2.425918, best_B_strat=,-0.956959, best_S_id=,S09, best_S_prof=,10.206466, best_S_strat=,0.697411, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.445263, actvprof=,4.602756, id=,B01, PRDE,actvstrat=,0.100268, actvprof=,4.039947, id=,B02, PRDE,actvstrat=,-0.351014, actvprof=,4.403856, id=,B03, PRDE,actvstrat=,-0.867262, actvprof=,5.354186, id=,B04, PRDE,actvstrat=,0.088687, actvprof=,4.103561, id=,B05, PRDE,actvstrat=,0.453507, actvprof=,4.478582, id=,B06, PRDE,actvstrat=,-0.003208, actvprof=,3.921329, id=,B07, PRDE,actvstrat=,-0.460370, actvprof=,4.474971, id=,B08, PRDE,actvstrat=,0.718851, actvprof=,4.093561, id=,B09, PRDE,actvstrat=,-0.308949, actvprof=,4.324407, id=,S00, PRDE,actvstrat=,0.869086, actvprof=,7.999611, id=,S01, PRDE,actvstrat=,-0.754827, actvprof=,1.352020, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,7.586533, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,7.442358, id=,S04, PRDE,actvstrat=,-0.566395, actvprof=,1.788433, id=,S05, PRDE,actvstrat=,0.356851, actvprof=,5.727540, id=,S06, PRDE,actvstrat=,0.395270, actvprof=,5.999778, id=,S07, PRDE,actvstrat=,0.235889, actvprof=,5.031391, id=,S08, PRDE,actvstrat=,0.790100, actvprof=,7.689872, id=,S09, PRDE,actvstrat=,0.624422, actvprof=,6.968720, best_B_id=,B03, best_B_prof=,5.354186, best_B_strat=,-0.867262, best_S_id=,S00, best_S_prof=,7.999611, best_S_strat=,0.869086, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.445263, actvprof=,4.367543, id=,B01, PRDE,actvstrat=,0.100268, actvprof=,3.991972, id=,B02, PRDE,actvstrat=,-0.351014, actvprof=,4.266844, id=,B03, PRDE,actvstrat=,-0.867262, actvprof=,5.364946, id=,B04, PRDE,actvstrat=,0.088687, actvprof=,4.022807, id=,B05, PRDE,actvstrat=,0.453507, actvprof=,4.344903, id=,B06, PRDE,actvstrat=,-0.003208, actvprof=,3.951137, id=,B07, PRDE,actvstrat=,-0.460370, actvprof=,4.490465, id=,B08, PRDE,actvstrat=,0.718851, actvprof=,4.169063, id=,B09, PRDE,actvstrat=,-0.308949, actvprof=,4.378655, id=,S00, PRDE,actvstrat=,0.869086, actvprof=,8.088254, id=,S01, PRDE,actvstrat=,-0.754827, actvprof=,1.195605, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,7.634763, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,7.488506, id=,S04, PRDE,actvstrat=,-0.566395, actvprof=,1.870911, id=,S05, PRDE,actvstrat=,0.356851, actvprof=,5.664819, id=,S06, PRDE,actvstrat=,0.395270, actvprof=,5.810798, id=,S07, PRDE,actvstrat=,0.235889, actvprof=,4.906316, id=,S08, PRDE,actvstrat=,0.790100, actvprof=,7.801158, id=,S09, PRDE,actvstrat=,0.624422, actvprof=,6.961401, best_B_id=,B03, best_B_prof=,5.364946, best_B_strat=,-0.867262, best_S_id=,S00, best_S_prof=,8.088254, best_S_strat=,0.869086, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.811847, actvprof=,2.953857, id=,B01, PRDE,actvstrat=,0.744012, actvprof=,2.836070, id=,B02, PRDE,actvstrat=,-0.264176, actvprof=,2.369920, id=,B03, PRDE,actvstrat=,-0.412081, actvprof=,1.950996, id=,B04, PRDE,actvstrat=,-0.487864, actvprof=,2.456038, id=,B05, PRDE,actvstrat=,-0.655815, actvprof=,2.705503, id=,B06, PRDE,actvstrat=,-0.015501, actvprof=,2.334361, id=,B07, PRDE,actvstrat=,0.213541, actvprof=,2.482985, id=,B08, PRDE,actvstrat=,-0.960966, actvprof=,3.268328, id=,B09, PRDE,actvstrat=,-0.308949, actvprof=,2.100453, id=,S00, PRDE,actvstrat=,0.783817, actvprof=,8.868239, id=,S01, PRDE,actvstrat=,-0.541663, actvprof=,2.159902, id=,S02, PRDE,actvstrat=,-0.513349, actvprof=,2.450482, id=,S03, PRDE,actvstrat=,-0.821946, actvprof=,0.863127, id=,S04, PRDE,actvstrat=,0.281847, actvprof=,5.769647, id=,S05, PRDE,actvstrat=,0.845363, actvprof=,9.259938, id=,S06, PRDE,actvstrat=,-0.069399, actvprof=,4.497875, id=,S07, PRDE,actvstrat=,0.211728, actvprof=,5.624635, id=,S08, PRDE,actvstrat=,0.726934, actvprof=,8.362086, id=,S09, PRDE,actvstrat=,-0.638120, actvprof=,2.091841, best_B_id=,B08, best_B_prof=,3.268328, best_B_strat=,-0.960966, best_S_id=,S05, best_S_prof=,9.259938, best_S_strat=,0.845363, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.811847, actvprof=,3.125569, id=,B01, PRDE,actvstrat=,0.744012, actvprof=,2.883751, id=,B02, PRDE,actvstrat=,-0.264176, actvprof=,2.061906, id=,B03, PRDE,actvstrat=,-0.412081, actvprof=,2.067184, id=,B04, PRDE,actvstrat=,-0.487864, actvprof=,2.277750, id=,B05, PRDE,actvstrat=,-0.655815, actvprof=,2.495538, id=,B06, PRDE,actvstrat=,-0.015501, actvprof=,2.224553, id=,B07, PRDE,actvstrat=,0.213541, actvprof=,2.548041, id=,B08, PRDE,actvstrat=,-0.960966, actvprof=,3.556423, id=,B09, PRDE,actvstrat=,-0.308949, actvprof=,2.152327, id=,S00, PRDE,actvstrat=,0.783817, actvprof=,8.915156, id=,S01, PRDE,actvstrat=,-0.541663, actvprof=,2.260388, id=,S02, PRDE,actvstrat=,-0.513349, actvprof=,2.478176, id=,S03, PRDE,actvstrat=,-0.821946, actvprof=,0.874487, id=,S04, PRDE,actvstrat=,0.281847, actvprof=,5.894870, id=,S05, PRDE,actvstrat=,0.845363, actvprof=,9.228365, id=,S06, PRDE,actvstrat=,-0.069399, actvprof=,4.264374, id=,S07, PRDE,actvstrat=,0.211728, actvprof=,5.869174, id=,S08, PRDE,actvstrat=,0.726934, actvprof=,8.439716, id=,S09, PRDE,actvstrat=,-0.638120, actvprof=,2.108158, best_B_id=,B08, best_B_prof=,3.556423, best_B_strat=,-0.960966, best_S_id=,S05, best_S_prof=,9.228365, best_S_strat=,0.845363, 
