t=,0, id=,B00, PRDE,actvstrat=,-0.900812, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.174692, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.622680, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.520361, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.701680, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.778345, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.958696, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.391221, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.128291, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.538017, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.564221, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.657116, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.214799, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.071534, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.828303, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.786540, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.951146, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.156769, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.243153, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.919110, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.900812, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.564221, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.900812, actvprof=,1.465217, id=,B01, PRDE,actvstrat=,-0.174692, actvprof=,0.588587, id=,B02, PRDE,actvstrat=,-0.622680, actvprof=,0.716915, id=,B03, PRDE,actvstrat=,-0.520361, actvprof=,0.674416, id=,B04, PRDE,actvstrat=,0.701680, actvprof=,1.386053, id=,B05, PRDE,actvstrat=,0.778345, actvprof=,1.375776, id=,B06, PRDE,actvstrat=,-0.958696, actvprof=,1.773815, id=,B07, PRDE,actvstrat=,0.391221, actvprof=,1.019124, id=,B08, PRDE,actvstrat=,-0.128291, actvprof=,0.613308, id=,B09, PRDE,actvstrat=,0.538017, actvprof=,1.197172, id=,S00, PRDE,actvstrat=,-0.564221, actvprof=,3.669569, id=,S01, PRDE,actvstrat=,-0.657116, actvprof=,3.316528, id=,S02, PRDE,actvstrat=,-0.214799, actvprof=,4.500646, id=,S03, PRDE,actvstrat=,0.071534, actvprof=,7.379137, id=,S04, PRDE,actvstrat=,-0.828303, actvprof=,1.066900, id=,S05, PRDE,actvstrat=,0.786540, actvprof=,11.272864, id=,S06, PRDE,actvstrat=,-0.951146, actvprof=,0.532478, id=,S07, PRDE,actvstrat=,-0.156769, actvprof=,5.463939, id=,S08, PRDE,actvstrat=,0.243153, actvprof=,7.839396, id=,S09, PRDE,actvstrat=,-0.919110, actvprof=,0.256934, best_B_id=,B06, best_B_prof=,1.773815, best_B_strat=,-0.958696, best_S_id=,S05, best_S_prof=,11.272864, best_S_strat=,0.786540, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.474951, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.778681, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.248464, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.655431, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.902045, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.090001, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.331623, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.757754, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.365405, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.217404, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.977477, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.673249, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.331476, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.227420, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.998360, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.016728, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.961339, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.146692, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.474413, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.678828, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.474951, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.977477, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.474951, actvprof=,1.197483, id=,B01, PRDE,actvstrat=,-0.778681, actvprof=,1.710810, id=,B02, PRDE,actvstrat=,-0.248464, actvprof=,1.123873, id=,B03, PRDE,actvstrat=,0.655431, actvprof=,2.066360, id=,B04, PRDE,actvstrat=,-0.902045, actvprof=,2.409133, id=,B05, PRDE,actvstrat=,0.090001, actvprof=,1.628033, id=,B06, PRDE,actvstrat=,0.331623, actvprof=,1.885807, id=,B07, PRDE,actvstrat=,-0.757754, actvprof=,1.626089, id=,B08, PRDE,actvstrat=,-0.365405, actvprof=,1.287204, id=,B09, PRDE,actvstrat=,-0.217404, actvprof=,1.040819, id=,S00, PRDE,actvstrat=,0.977477, actvprof=,9.982917, id=,S01, PRDE,actvstrat=,-0.673249, actvprof=,2.259135, id=,S02, PRDE,actvstrat=,-0.331476, actvprof=,3.217178, id=,S03, PRDE,actvstrat=,0.227420, actvprof=,6.179081, id=,S04, PRDE,actvstrat=,-0.998360, actvprof=,3.343842, id=,S05, PRDE,actvstrat=,0.016728, actvprof=,5.502424, id=,S06, PRDE,actvstrat=,-0.961339, actvprof=,0.718879, id=,S07, PRDE,actvstrat=,-0.146692, actvprof=,3.404953, id=,S08, PRDE,actvstrat=,-0.474413, actvprof=,2.881071, id=,S09, PRDE,actvstrat=,-0.678828, actvprof=,2.356356, best_B_id=,B04, best_B_prof=,2.409133, best_B_strat=,-0.902045, best_S_id=,S00, best_S_prof=,9.982917, best_S_strat=,0.977477, 
t=,14400, id=,B00, PRDE,actvstrat=,0.474724, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.153299, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.272862, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.290379, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.147862, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.213921, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.809248, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.823078, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.237271, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.136740, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.228703, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.143807, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.257069, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.306525, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.285657, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.368901, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.207323, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.200062, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.758488, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.222193, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.474724, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.228703, 
t=,18000, id=,B00, PRDE,actvstrat=,0.474724, actvprof=,1.987778, id=,B01, PRDE,actvstrat=,-0.153299, actvprof=,1.310000, id=,B02, PRDE,actvstrat=,0.272862, actvprof=,1.575833, id=,B03, PRDE,actvstrat=,0.290379, actvprof=,1.793333, id=,B04, PRDE,actvstrat=,-0.147862, actvprof=,1.274167, id=,B05, PRDE,actvstrat=,0.213921, actvprof=,1.692222, id=,B06, PRDE,actvstrat=,0.809248, actvprof=,2.037500, id=,B07, PRDE,actvstrat=,-0.823078, actvprof=,2.315000, id=,B08, PRDE,actvstrat=,0.237271, actvprof=,1.694167, id=,B09, PRDE,actvstrat=,0.136740, actvprof=,1.414167, id=,S00, PRDE,actvstrat=,0.228703, actvprof=,6.920278, id=,S01, PRDE,actvstrat=,-0.143807, actvprof=,4.295000, id=,S02, PRDE,actvstrat=,0.257069, actvprof=,7.230000, id=,S03, PRDE,actvstrat=,-0.306525, actvprof=,3.188611, id=,S04, PRDE,actvstrat=,0.285657, actvprof=,7.294722, id=,S05, PRDE,actvstrat=,-0.368901, actvprof=,2.857500, id=,S06, PRDE,actvstrat=,0.207323, actvprof=,6.960833, id=,S07, PRDE,actvstrat=,0.200062, actvprof=,6.861944, id=,S08, PRDE,actvstrat=,-0.758488, actvprof=,2.161944, id=,S09, PRDE,actvstrat=,0.222193, actvprof=,6.890556, best_B_id=,B07, best_B_prof=,2.315000, best_B_strat=,-0.823078, best_S_id=,S04, best_S_prof=,7.294722, best_S_strat=,0.285657, 
t=,21600, id=,B00, PRDE,actvstrat=,0.474724, actvprof=,2.047375, id=,B01, PRDE,actvstrat=,-0.153299, actvprof=,1.316259, id=,B02, PRDE,actvstrat=,0.272862, actvprof=,1.686956, id=,B03, PRDE,actvstrat=,0.290379, actvprof=,1.833068, id=,B04, PRDE,actvstrat=,-0.147862, actvprof=,1.307231, id=,B05, PRDE,actvstrat=,0.213921, actvprof=,1.700012, id=,B06, PRDE,actvstrat=,0.809248, actvprof=,2.047375, id=,B07, PRDE,actvstrat=,-0.823078, actvprof=,2.545712, id=,B08, PRDE,actvstrat=,0.237271, actvprof=,1.651817, id=,B09, PRDE,actvstrat=,0.136740, actvprof=,1.587511, id=,S00, PRDE,actvstrat=,0.228703, actvprof=,6.705463, id=,S01, PRDE,actvstrat=,-0.143807, actvprof=,4.381419, id=,S02, PRDE,actvstrat=,0.257069, actvprof=,7.119633, id=,S03, PRDE,actvstrat=,-0.306525, actvprof=,3.373218, id=,S04, PRDE,actvstrat=,0.285657, actvprof=,7.457691, id=,S05, PRDE,actvstrat=,-0.368901, actvprof=,3.025438, id=,S06, PRDE,actvstrat=,0.207323, actvprof=,6.968521, id=,S07, PRDE,actvstrat=,0.200062, actvprof=,6.787130, id=,S08, PRDE,actvstrat=,-0.758488, actvprof=,2.054875, id=,S09, PRDE,actvstrat=,0.222193, actvprof=,7.014910, best_B_id=,B07, best_B_prof=,2.545712, best_B_strat=,-0.823078, best_S_id=,S04, best_S_prof=,7.457691, best_S_strat=,0.285657, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,3.195089, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,3.107309, id=,B02, PRDE,actvstrat=,0.132375, actvprof=,2.180616, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,3.254535, id=,B04, PRDE,actvstrat=,-0.826838, actvprof=,1.486708, id=,B05, PRDE,actvstrat=,-0.513210, actvprof=,1.383094, id=,B06, PRDE,actvstrat=,-0.735095, actvprof=,1.511986, id=,B07, PRDE,actvstrat=,-0.421040, actvprof=,1.451985, id=,B08, PRDE,actvstrat=,-0.128394, actvprof=,1.519487, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,3.124809, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.373483, id=,S01, PRDE,actvstrat=,-0.205360, actvprof=,3.157032, id=,S02, PRDE,actvstrat=,-0.948443, actvprof=,0.296953, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,5.415984, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,5.529876, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,9.885275, id=,S06, PRDE,actvstrat=,0.559646, actvprof=,7.154643, id=,S07, PRDE,actvstrat=,0.437639, actvprof=,6.537126, id=,S08, PRDE,actvstrat=,-0.702025, actvprof=,1.811717, id=,S09, PRDE,actvstrat=,0.011664, actvprof=,4.957638, best_B_id=,B03, best_B_prof=,3.254535, best_B_strat=,-1.000000, best_S_id=,S05, best_S_prof=,9.885275, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,3.259929, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,3.118259, id=,B02, PRDE,actvstrat=,0.132375, actvprof=,2.131433, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,3.217706, id=,B04, PRDE,actvstrat=,-0.826838, actvprof=,1.547810, id=,B05, PRDE,actvstrat=,-0.513210, actvprof=,1.416141, id=,B06, PRDE,actvstrat=,-0.735095, actvprof=,1.584755, id=,B07, PRDE,actvstrat=,-0.421040, actvprof=,1.464475, id=,B08, PRDE,actvstrat=,-0.128394, actvprof=,1.706980, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,3.250623, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.529976, id=,S01, PRDE,actvstrat=,-0.205360, actvprof=,3.154788, id=,S02, PRDE,actvstrat=,-0.948443, actvprof=,0.365285, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,5.403168, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,5.534421, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,9.796454, id=,S06, PRDE,actvstrat=,0.559646, actvprof=,7.267929, id=,S07, PRDE,actvstrat=,0.437639, actvprof=,6.612777, id=,S08, PRDE,actvstrat=,-0.702025, actvprof=,1.808371, id=,S09, PRDE,actvstrat=,0.011664, actvprof=,4.841351, best_B_id=,B00, best_B_prof=,3.259929, best_B_strat=,-1.000000, best_S_id=,S05, best_S_prof=,9.796454, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.584994, actvprof=,1.407003, id=,B01, PRDE,actvstrat=,-0.676543, actvprof=,1.011431, id=,B02, PRDE,actvstrat=,0.810695, actvprof=,1.573121, id=,B03, PRDE,actvstrat=,0.655431, actvprof=,1.585344, id=,B04, PRDE,actvstrat=,0.203933, actvprof=,1.036432, id=,B05, PRDE,actvstrat=,0.882307, actvprof=,1.447005, id=,B06, PRDE,actvstrat=,-0.752668, actvprof=,1.329778, id=,B07, PRDE,actvstrat=,-0.942772, actvprof=,2.097865, id=,B08, PRDE,actvstrat=,0.099113, actvprof=,1.076434, id=,B09, PRDE,actvstrat=,0.630384, actvprof=,1.539231, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.518799, id=,S01, PRDE,actvstrat=,-0.387654, actvprof=,3.734878, id=,S02, PRDE,actvstrat=,-0.400919, actvprof=,3.405142, id=,S03, PRDE,actvstrat=,0.881909, actvprof=,11.787436, id=,S04, PRDE,actvstrat=,-0.416487, actvprof=,3.661264, id=,S05, PRDE,actvstrat=,0.377550, actvprof=,8.395350, id=,S06, PRDE,actvstrat=,0.559646, actvprof=,9.507341, id=,S07, PRDE,actvstrat=,-0.086384, actvprof=,5.648846, id=,S08, PRDE,actvstrat=,0.243153, actvprof=,7.951720, id=,S09, PRDE,actvstrat=,-0.373882, actvprof=,3.777657, best_B_id=,B07, best_B_prof=,2.097865, best_B_strat=,-0.942772, best_S_id=,S03, best_S_prof=,11.787436, best_S_strat=,0.881909, 
t=,36000, id=,B00, PRDE,actvstrat=,0.584994, actvprof=,1.447957, id=,B01, PRDE,actvstrat=,-0.676543, actvprof=,0.991833, id=,B02, PRDE,actvstrat=,0.810695, actvprof=,1.512959, id=,B03, PRDE,actvstrat=,0.655431, actvprof=,1.479069, id=,B04, PRDE,actvstrat=,0.203933, actvprof=,1.115309, id=,B05, PRDE,actvstrat=,0.882307, actvprof=,1.434068, id=,B06, PRDE,actvstrat=,-0.752668, actvprof=,1.317259, id=,B07, PRDE,actvstrat=,-0.942772, actvprof=,2.042001, id=,B08, PRDE,actvstrat=,0.099113, actvprof=,1.060307, id=,B09, PRDE,actvstrat=,0.630384, actvprof=,1.527265, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.265396, id=,S01, PRDE,actvstrat=,-0.387654, actvprof=,3.627740, id=,S02, PRDE,actvstrat=,-0.400919, actvprof=,3.574544, id=,S03, PRDE,actvstrat=,0.881909, actvprof=,11.891719, id=,S04, PRDE,actvstrat=,-0.416487, actvprof=,3.533154, id=,S05, PRDE,actvstrat=,0.377550, actvprof=,8.468291, id=,S06, PRDE,actvstrat=,0.559646, actvprof=,9.686936, id=,S07, PRDE,actvstrat=,-0.086384, actvprof=,5.780299, id=,S08, PRDE,actvstrat=,0.243153, actvprof=,7.836607, id=,S09, PRDE,actvstrat=,-0.373882, actvprof=,3.753854, best_B_id=,B07, best_B_prof=,2.042001, best_B_strat=,-0.942772, best_S_id=,S03, best_S_prof=,11.891719, best_S_strat=,0.881909, 
