t=,0, id=,B00, PRDE,actvstrat=,0.852377, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.236167, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.995352, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.104366, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.819440, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.016400, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.139685, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.178259, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.874960, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.015853, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.724185, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.110548, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.361384, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.825648, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.391438, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.538965, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.767293, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.623262, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.689398, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.528129, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.852377, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.724185, 
t=,3600, id=,B00, PRDE,actvstrat=,0.852377, actvprof=,2.151051, id=,B01, PRDE,actvstrat=,0.236167, actvprof=,2.006889, id=,B02, PRDE,actvstrat=,0.995352, actvprof=,0.887753, id=,B03, PRDE,actvstrat=,0.104366, actvprof=,1.869393, id=,B04, PRDE,actvstrat=,-0.819440, actvprof=,2.761312, id=,B05, PRDE,actvstrat=,0.016400, actvprof=,1.823838, id=,B06, PRDE,actvstrat=,0.139685, actvprof=,1.958279, id=,B07, PRDE,actvstrat=,-0.178259, actvprof=,1.700508, id=,B08, PRDE,actvstrat=,0.874960, actvprof=,2.019944, id=,B09, PRDE,actvstrat=,-0.015853, actvprof=,1.799117, id=,S00, PRDE,actvstrat=,0.724185, actvprof=,10.156662, id=,S01, PRDE,actvstrat=,-0.110548, actvprof=,6.044832, id=,S02, PRDE,actvstrat=,-0.361384, actvprof=,4.714313, id=,S03, PRDE,actvstrat=,0.825648, actvprof=,10.957473, id=,S04, PRDE,actvstrat=,-0.391438, actvprof=,4.282381, id=,S05, PRDE,actvstrat=,0.538965, actvprof=,9.241410, id=,S06, PRDE,actvstrat=,-0.767293, actvprof=,2.802700, id=,S07, PRDE,actvstrat=,-0.623262, actvprof=,3.835449, id=,S08, PRDE,actvstrat=,0.689398, actvprof=,10.223049, id=,S09, PRDE,actvstrat=,-0.528129, actvprof=,3.805728, best_B_id=,B04, best_B_prof=,2.761312, best_B_strat=,-0.819440, best_S_id=,S03, best_S_prof=,10.957473, best_S_strat=,0.825648, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.236709, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.742057, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.975921, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.654649, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.483606, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.321774, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.181415, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.172665, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.149805, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.446552, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.939935, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.915983, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.052974, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.548372, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.039995, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.607524, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.586339, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.107295, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.432439, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.815547, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.236709, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.939935, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.236709, actvprof=,2.147222, id=,B01, PRDE,actvstrat=,0.742057, actvprof=,2.606111, id=,B02, PRDE,actvstrat=,0.975921, actvprof=,1.185000, id=,B03, PRDE,actvstrat=,-0.654649, actvprof=,2.710833, id=,B04, PRDE,actvstrat=,0.483606, actvprof=,2.649722, id=,B05, PRDE,actvstrat=,0.321774, actvprof=,2.411111, id=,B06, PRDE,actvstrat=,0.181415, actvprof=,2.171944, id=,B07, PRDE,actvstrat=,-0.172665, actvprof=,2.243889, id=,B08, PRDE,actvstrat=,-0.149805, actvprof=,1.943889, id=,B09, PRDE,actvstrat=,-0.446552, actvprof=,2.034167, id=,S00, PRDE,actvstrat=,-0.939935, actvprof=,1.353611, id=,S01, PRDE,actvstrat=,0.915983, actvprof=,10.206944, id=,S02, PRDE,actvstrat=,-0.052974, actvprof=,5.723333, id=,S03, PRDE,actvstrat=,-0.548372, actvprof=,3.746944, id=,S04, PRDE,actvstrat=,-0.039995, actvprof=,5.895833, id=,S05, PRDE,actvstrat=,0.607524, actvprof=,8.722222, id=,S06, PRDE,actvstrat=,-0.586339, actvprof=,3.294444, id=,S07, PRDE,actvstrat=,0.107295, actvprof=,6.397222, id=,S08, PRDE,actvstrat=,-0.432439, actvprof=,2.995278, id=,S09, PRDE,actvstrat=,0.815547, actvprof=,10.026944, best_B_id=,B03, best_B_prof=,2.710833, best_B_strat=,-0.654649, best_S_id=,S01, best_S_prof=,10.206944, best_S_strat=,0.915983, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.236709, actvprof=,1.963194, id=,B01, PRDE,actvstrat=,0.742057, actvprof=,2.632500, id=,B02, PRDE,actvstrat=,0.975921, actvprof=,1.193611, id=,B03, PRDE,actvstrat=,-0.654649, actvprof=,2.644861, id=,B04, PRDE,actvstrat=,0.483606, actvprof=,2.601806, id=,B05, PRDE,actvstrat=,0.321774, actvprof=,2.302083, id=,B06, PRDE,actvstrat=,0.181415, actvprof=,2.148056, id=,B07, PRDE,actvstrat=,-0.172665, actvprof=,2.132639, id=,B08, PRDE,actvstrat=,-0.149805, actvprof=,1.966806, id=,B09, PRDE,actvstrat=,-0.446552, actvprof=,2.139306, id=,S00, PRDE,actvstrat=,-0.939935, actvprof=,1.345139, id=,S01, PRDE,actvstrat=,0.915983, actvprof=,10.280139, id=,S02, PRDE,actvstrat=,-0.052974, actvprof=,5.654306, id=,S03, PRDE,actvstrat=,-0.548372, actvprof=,3.850833, id=,S04, PRDE,actvstrat=,-0.039995, actvprof=,5.739306, id=,S05, PRDE,actvstrat=,0.607524, actvprof=,8.777917, id=,S06, PRDE,actvstrat=,-0.586339, actvprof=,3.133750, id=,S07, PRDE,actvstrat=,0.107295, actvprof=,6.405000, id=,S08, PRDE,actvstrat=,-0.432439, actvprof=,3.366528, id=,S09, PRDE,actvstrat=,0.815547, actvprof=,10.100000, best_B_id=,B03, best_B_prof=,2.644861, best_B_strat=,-0.654649, best_S_id=,S01, best_S_prof=,10.280139, best_S_strat=,0.915983, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.250161, actvprof=,2.111140, id=,B01, PRDE,actvstrat=,0.330606, actvprof=,2.697260, id=,B02, PRDE,actvstrat=,-0.720271, actvprof=,2.975875, id=,B03, PRDE,actvstrat=,-0.843099, actvprof=,3.506438, id=,B04, PRDE,actvstrat=,-0.310523, actvprof=,2.036417, id=,B05, PRDE,actvstrat=,0.321774, actvprof=,2.779761, id=,B06, PRDE,actvstrat=,0.073836, actvprof=,2.129474, id=,B07, PRDE,actvstrat=,-0.469764, actvprof=,2.277532, id=,B08, PRDE,actvstrat=,-0.551676, actvprof=,2.235309, id=,B09, PRDE,actvstrat=,-0.297053, actvprof=,2.172808, id=,S00, PRDE,actvstrat=,0.341767, actvprof=,6.475368, id=,S01, PRDE,actvstrat=,0.085113, actvprof=,5.223128, id=,S02, PRDE,actvstrat=,-0.052688, actvprof=,4.450062, id=,S03, PRDE,actvstrat=,-0.605193, actvprof=,2.112807, id=,S04, PRDE,actvstrat=,-0.599809, actvprof=,2.354477, id=,S05, PRDE,actvstrat=,-0.316664, actvprof=,2.961708, id=,S06, PRDE,actvstrat=,-0.482125, actvprof=,2.572258, id=,S07, PRDE,actvstrat=,0.117640, actvprof=,5.263406, id=,S08, PRDE,actvstrat=,0.923228, actvprof=,8.953735, id=,S09, PRDE,actvstrat=,0.103156, actvprof=,5.200906, best_B_id=,B03, best_B_prof=,3.506438, best_B_strat=,-0.843099, best_S_id=,S08, best_S_prof=,8.953735, best_S_strat=,0.923228, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.250161, actvprof=,2.153348, id=,B01, PRDE,actvstrat=,0.330606, actvprof=,2.583629, id=,B02, PRDE,actvstrat=,-0.720271, actvprof=,2.869325, id=,B03, PRDE,actvstrat=,-0.843099, actvprof=,3.339329, id=,B04, PRDE,actvstrat=,-0.310523, actvprof=,2.025292, id=,B05, PRDE,actvstrat=,0.321774, actvprof=,2.698352, id=,B06, PRDE,actvstrat=,0.073836, actvprof=,2.217238, id=,B07, PRDE,actvstrat=,-0.469764, actvprof=,2.193904, id=,B08, PRDE,actvstrat=,-0.551676, actvprof=,2.155293, id=,B09, PRDE,actvstrat=,-0.297053, actvprof=,2.160848, id=,S00, PRDE,actvstrat=,0.341767, actvprof=,6.420183, id=,S01, PRDE,actvstrat=,0.085113, actvprof=,5.217953, id=,S02, PRDE,actvstrat=,-0.052688, actvprof=,4.524615, id=,S03, PRDE,actvstrat=,-0.605193, actvprof=,2.149876, id=,S04, PRDE,actvstrat=,-0.599809, actvprof=,2.286683, id=,S05, PRDE,actvstrat=,-0.316664, actvprof=,2.918215, id=,S06, PRDE,actvstrat=,-0.482125, actvprof=,2.391961, id=,S07, PRDE,actvstrat=,0.117640, actvprof=,5.502955, id=,S08, PRDE,actvstrat=,0.923228, actvprof=,9.124924, id=,S09, PRDE,actvstrat=,0.103156, actvprof=,5.199897, best_B_id=,B03, best_B_prof=,3.339329, best_B_strat=,-0.843099, best_S_id=,S08, best_S_prof=,9.124924, best_S_strat=,0.923228, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.381399, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.415567, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.393622, id=,B03, PRDE,actvstrat=,0.941651, actvprof=,0.659463, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.395289, id=,B05, PRDE,actvstrat=,0.820521, actvprof=,0.879469, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.431401, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.435012, id=,B08, PRDE,actvstrat=,-0.054421, actvprof=,0.759743, id=,B09, PRDE,actvstrat=,0.096744, actvprof=,0.643907, id=,S00, PRDE,actvstrat=,0.984841, actvprof=,13.913720, id=,S01, PRDE,actvstrat=,0.916916, actvprof=,14.225951, id=,S02, PRDE,actvstrat=,0.204191, actvprof=,9.429706, id=,S03, PRDE,actvstrat=,-0.625726, actvprof=,4.416512, id=,S04, PRDE,actvstrat=,-0.291509, actvprof=,5.303203, id=,S05, PRDE,actvstrat=,0.700746, actvprof=,12.762299, id=,S06, PRDE,actvstrat=,-0.066018, actvprof=,7.330481, id=,S07, PRDE,actvstrat=,-0.790481, actvprof=,2.457846, id=,S08, PRDE,actvstrat=,0.811980, actvprof=,13.593711, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,2.485347, best_B_id=,B05, best_B_prof=,0.879469, best_B_strat=,0.820521, best_S_id=,S01, best_S_prof=,14.225951, best_S_strat=,0.916916, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.324863, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.432086, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.378892, id=,B03, PRDE,actvstrat=,0.941651, actvprof=,0.668199, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.394031, id=,B05, PRDE,actvstrat=,0.820521, actvprof=,0.936395, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.455003, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.403475, id=,B08, PRDE,actvstrat=,-0.054421, actvprof=,0.662643, id=,B09, PRDE,actvstrat=,0.096744, actvprof=,0.615838, id=,S00, PRDE,actvstrat=,0.984841, actvprof=,13.868013, id=,S01, PRDE,actvstrat=,0.916916, actvprof=,14.111765, id=,S02, PRDE,actvstrat=,0.204191, actvprof=,9.512844, id=,S03, PRDE,actvstrat=,-0.625726, actvprof=,4.361836, id=,S04, PRDE,actvstrat=,-0.291509, actvprof=,5.515594, id=,S05, PRDE,actvstrat=,0.700746, actvprof=,12.771616, id=,S06, PRDE,actvstrat=,-0.066018, actvprof=,7.521719, id=,S07, PRDE,actvstrat=,-0.790481, actvprof=,2.508906, id=,S08, PRDE,actvstrat=,0.811980, actvprof=,13.616622, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,2.729186, best_B_id=,B05, best_B_prof=,0.936395, best_B_strat=,0.820521, best_S_id=,S01, best_S_prof=,14.111765, best_S_strat=,0.916916, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.044721, actvprof=,2.471283, id=,B01, PRDE,actvstrat=,0.330606, actvprof=,2.860476, id=,B02, PRDE,actvstrat=,-0.671138, actvprof=,3.300229, id=,B03, PRDE,actvstrat=,0.016099, actvprof=,2.446559, id=,B04, PRDE,actvstrat=,-0.483857, actvprof=,2.693520, id=,B05, PRDE,actvstrat=,0.122216, actvprof=,2.565734, id=,B06, PRDE,actvstrat=,0.181415, actvprof=,2.722133, id=,B07, PRDE,actvstrat=,0.496734, actvprof=,3.137440, id=,B08, PRDE,actvstrat=,-0.489454, actvprof=,2.742968, id=,B09, PRDE,actvstrat=,-0.446552, actvprof=,2.394889, id=,S00, PRDE,actvstrat=,0.984841, actvprof=,8.711716, id=,S01, PRDE,actvstrat=,-0.974867, actvprof=,1.879575, id=,S02, PRDE,actvstrat=,0.127829, actvprof=,5.481770, id=,S03, PRDE,actvstrat=,-0.641070, actvprof=,1.985138, id=,S04, PRDE,actvstrat=,0.721662, actvprof=,8.471977, id=,S05, PRDE,actvstrat=,0.645477, actvprof=,7.702202, id=,S06, PRDE,actvstrat=,-0.586339, actvprof=,2.389888, id=,S07, PRDE,actvstrat=,-0.319519, actvprof=,2.370442, id=,S08, PRDE,actvstrat=,0.622265, actvprof=,7.751927, id=,S09, PRDE,actvstrat=,0.200863, actvprof=,5.859018, best_B_id=,B02, best_B_prof=,3.300229, best_B_strat=,-0.671138, best_S_id=,S00, best_S_prof=,8.711716, best_S_strat=,0.984841, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.044721, actvprof=,2.590941, id=,B01, PRDE,actvstrat=,0.330606, actvprof=,2.951234, id=,B02, PRDE,actvstrat=,-0.671138, actvprof=,3.496812, id=,B03, PRDE,actvstrat=,0.016099, actvprof=,2.577607, id=,B04, PRDE,actvstrat=,-0.483857, actvprof=,2.755809, id=,B05, PRDE,actvstrat=,0.122216, actvprof=,2.753865, id=,B06, PRDE,actvstrat=,0.181415, actvprof=,2.776643, id=,B07, PRDE,actvstrat=,0.496734, actvprof=,3.072489, id=,B08, PRDE,actvstrat=,-0.489454, actvprof=,2.787477, id=,B09, PRDE,actvstrat=,-0.446552, actvprof=,2.547189, id=,S00, PRDE,actvstrat=,0.984841, actvprof=,8.782866, id=,S01, PRDE,actvstrat=,-0.974867, actvprof=,1.949248, id=,S02, PRDE,actvstrat=,0.127829, actvprof=,5.473423, id=,S03, PRDE,actvstrat=,-0.641070, actvprof=,2.010362, id=,S04, PRDE,actvstrat=,0.721662, actvprof=,8.505215, id=,S05, PRDE,actvstrat=,0.645477, actvprof=,8.052974, id=,S06, PRDE,actvstrat=,-0.586339, actvprof=,2.291901, id=,S07, PRDE,actvstrat=,-0.319519, actvprof=,2.502049, id=,S08, PRDE,actvstrat=,0.622265, actvprof=,7.701988, id=,S09, PRDE,actvstrat=,0.200863, actvprof=,5.889968, best_B_id=,B02, best_B_prof=,3.496812, best_B_strat=,-0.671138, best_S_id=,S00, best_S_prof=,8.782866, best_S_strat=,0.984841, 
