t=,1, id=,B00, PRDE,actvstrat=,0.975406, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.918824, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.233106, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.689192, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.933252, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.502018, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.612624, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.306216, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.418083, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.318685, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.084312, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.164917, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.220299, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.648921, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.157608, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.756137, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.701502, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.633915, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.950985, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.831688, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.975406, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.084312, 
t=,3600, id=,B00, PRDE,actvstrat=,0.975406, actvprof=,1.077222, id=,B01, PRDE,actvstrat=,-0.918824, actvprof=,2.756667, id=,B02, PRDE,actvstrat=,-0.233106, actvprof=,1.546944, id=,B03, PRDE,actvstrat=,0.689192, actvprof=,2.286389, id=,B04, PRDE,actvstrat=,0.933252, actvprof=,1.390556, id=,B05, PRDE,actvstrat=,-0.502018, actvprof=,1.945833, id=,B06, PRDE,actvstrat=,0.612624, actvprof=,2.440000, id=,B07, PRDE,actvstrat=,0.306216, actvprof=,2.227778, id=,B08, PRDE,actvstrat=,0.418083, actvprof=,2.226389, id=,B09, PRDE,actvstrat=,-0.318685, actvprof=,1.879722, id=,S00, PRDE,actvstrat=,-0.084312, actvprof=,6.262222, id=,S01, PRDE,actvstrat=,-0.164917, actvprof=,5.801111, id=,S02, PRDE,actvstrat=,0.220299, actvprof=,8.173333, id=,S03, PRDE,actvstrat=,-0.648921, actvprof=,4.215000, id=,S04, PRDE,actvstrat=,-0.157608, actvprof=,5.768056, id=,S05, PRDE,actvstrat=,-0.756137, actvprof=,3.185833, id=,S06, PRDE,actvstrat=,-0.701502, actvprof=,3.751667, id=,S07, PRDE,actvstrat=,0.633915, actvprof=,10.233056, id=,S08, PRDE,actvstrat=,0.950985, actvprof=,11.198056, id=,S09, PRDE,actvstrat=,0.831688, actvprof=,10.767500, best_B_id=,B01, best_B_prof=,2.756667, best_B_strat=,-0.918824, best_S_id=,S08, best_S_prof=,11.198056, best_S_strat=,0.950985, 
t=,7200, id=,B00, PRDE,actvstrat=,0.689026, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.853973, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.589431, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.015627, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.346190, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.283353, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.148309, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.328566, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.567287, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.052278, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.654424, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.351498, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.639875, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.229756, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.561628, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.434152, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.087870, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.286302, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.039845, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.055120, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.689026, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.654424, 
t=,10800, id=,B00, PRDE,actvstrat=,0.689026, actvprof=,2.213303, id=,B01, PRDE,actvstrat=,-0.853973, actvprof=,2.681074, id=,B02, PRDE,actvstrat=,-0.589431, actvprof=,1.526368, id=,B03, PRDE,actvstrat=,-0.015627, actvprof=,1.426369, id=,B04, PRDE,actvstrat=,0.346190, actvprof=,2.014139, id=,B05, PRDE,actvstrat=,0.283353, actvprof=,1.985528, id=,B06, PRDE,actvstrat=,-0.148309, actvprof=,1.565812, id=,B07, PRDE,actvstrat=,0.328566, actvprof=,1.991083, id=,B08, PRDE,actvstrat=,0.567287, actvprof=,2.238858, id=,B09, PRDE,actvstrat=,0.052278, actvprof=,1.759698, id=,S00, PRDE,actvstrat=,-0.654424, actvprof=,2.859405, id=,S01, PRDE,actvstrat=,-0.351498, actvprof=,3.248010, id=,S02, PRDE,actvstrat=,0.639875, actvprof=,8.805155, id=,S03, PRDE,actvstrat=,0.229756, actvprof=,7.301010, id=,S04, PRDE,actvstrat=,-0.561628, actvprof=,2.983014, id=,S05, PRDE,actvstrat=,0.434152, actvprof=,8.123221, id=,S06, PRDE,actvstrat=,0.087870, actvprof=,6.086582, id=,S07, PRDE,actvstrat=,-0.286302, actvprof=,3.323843, id=,S08, PRDE,actvstrat=,0.039845, actvprof=,6.075471, id=,S09, PRDE,actvstrat=,0.055120, actvprof=,6.124359, best_B_id=,B01, best_B_prof=,2.681074, best_B_strat=,-0.853973, best_S_id=,S02, best_S_prof=,8.805155, best_S_strat=,0.639875, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.348947, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.676856, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.589431, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.961506, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.785007, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.555503, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.795659, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.025805, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.380778, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.601405, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.228722, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.886738, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.013710, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.003562, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.366522, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.508712, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.291289, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.825601, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.142050, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.345147, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.348947, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.228722, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.348947, actvprof=,2.193858, id=,B01, PRDE,actvstrat=,-0.676856, actvprof=,2.739962, id=,B02, PRDE,actvstrat=,-0.589431, actvprof=,2.423855, id=,B03, PRDE,actvstrat=,-0.961506, actvprof=,3.728837, id=,B04, PRDE,actvstrat=,0.785007, actvprof=,2.817739, id=,B05, PRDE,actvstrat=,-0.555503, actvprof=,2.479410, id=,B06, PRDE,actvstrat=,-0.795659, actvprof=,3.218289, id=,B07, PRDE,actvstrat=,0.025805, actvprof=,2.259135, id=,B08, PRDE,actvstrat=,0.380778, actvprof=,2.862182, id=,B09, PRDE,actvstrat=,-0.601405, actvprof=,2.678852, id=,S00, PRDE,actvstrat=,0.228722, actvprof=,5.483535, id=,S01, PRDE,actvstrat=,0.886738, actvprof=,9.155151, id=,S02, PRDE,actvstrat=,-0.013710, actvprof=,4.915765, id=,S03, PRDE,actvstrat=,0.003562, actvprof=,4.960764, id=,S04, PRDE,actvstrat=,-0.366522, actvprof=,2.631352, id=,S05, PRDE,actvstrat=,-0.508712, actvprof=,2.163026, id=,S06, PRDE,actvstrat=,0.291289, actvprof=,5.591033, id=,S07, PRDE,actvstrat=,0.825601, actvprof=,8.805711, id=,S08, PRDE,actvstrat=,0.142050, actvprof=,5.351315, id=,S09, PRDE,actvstrat=,-0.345147, actvprof=,2.605797, best_B_id=,B03, best_B_prof=,3.728837, best_B_strat=,-0.961506, best_S_id=,S01, best_S_prof=,9.155151, best_S_strat=,0.886738, 
t=,21600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.449065, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.225178, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.382157, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.133390, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.281700, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.567404, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.410292, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,1.000000, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,4.427839, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,4.318116, id=,B02, PRDE,actvstrat=,-0.449065, actvprof=,5.567300, id=,B03, PRDE,actvstrat=,-0.225178, actvprof=,5.524243, id=,B04, PRDE,actvstrat=,-0.382157, actvprof=,5.440909, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,4.568119, id=,B06, PRDE,actvstrat=,-0.133390, actvprof=,5.367297, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.835331, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.332560, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,3.881165, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.843442, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,8.239837, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,7.997611, id=,S03, PRDE,actvstrat=,-0.281700, actvprof=,2.710315, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.085598, id=,S05, PRDE,actvstrat=,0.567404, actvprof=,7.486493, id=,S06, PRDE,actvstrat=,0.410292, actvprof=,6.160919, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,2.930041, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,7.764830, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,7.763997, best_B_id=,B02, best_B_prof=,5.567300, best_B_strat=,-0.449065, best_S_id=,S01, best_S_prof=,8.239837, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,4.561111, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,4.426806, id=,B02, PRDE,actvstrat=,-0.449065, actvprof=,5.628472, id=,B03, PRDE,actvstrat=,-0.225178, actvprof=,5.526806, id=,B04, PRDE,actvstrat=,-0.382157, actvprof=,5.512917, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,4.434861, id=,B06, PRDE,actvstrat=,-0.133390, actvprof=,5.202361, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.889722, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.250556, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,3.826944, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.899444, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,8.089444, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,8.001667, id=,S03, PRDE,actvstrat=,-0.281700, actvprof=,2.604028, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,2.825556, id=,S05, PRDE,actvstrat=,0.567404, actvprof=,7.210833, id=,S06, PRDE,actvstrat=,0.410292, actvprof=,6.296111, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,2.865278, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,7.892222, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,7.921528, best_B_id=,B02, best_B_prof=,5.628472, best_B_strat=,-0.449065, best_S_id=,S01, best_S_prof=,8.089444, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.351589, actvprof=,2.698131, id=,B01, PRDE,actvstrat=,0.484965, actvprof=,2.975638, id=,B02, PRDE,actvstrat=,-0.312391, actvprof=,2.560071, id=,B03, PRDE,actvstrat=,-0.408831, actvprof=,2.704520, id=,B04, PRDE,actvstrat=,-0.382157, actvprof=,2.445623, id=,B05, PRDE,actvstrat=,-0.122251, actvprof=,2.439512, id=,B06, PRDE,actvstrat=,0.055065, actvprof=,2.682575, id=,B07, PRDE,actvstrat=,0.191766, actvprof=,2.702853, id=,B08, PRDE,actvstrat=,-0.106834, actvprof=,2.663407, id=,B09, PRDE,actvstrat=,0.434248, actvprof=,3.086197, id=,S00, PRDE,actvstrat=,-0.747019, actvprof=,1.596155, id=,S01, PRDE,actvstrat=,0.537420, actvprof=,7.258535, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,9.038584, id=,S03, PRDE,actvstrat=,-0.815783, actvprof=,1.031418, id=,S04, PRDE,actvstrat=,-0.790112, actvprof=,1.259202, id=,S05, PRDE,actvstrat=,0.641212, actvprof=,8.014945, id=,S06, PRDE,actvstrat=,0.313003, actvprof=,6.298231, id=,S07, PRDE,actvstrat=,0.375895, actvprof=,6.321287, id=,S08, PRDE,actvstrat=,-0.792505, actvprof=,0.896969, id=,S09, PRDE,actvstrat=,0.756386, actvprof=,8.506070, best_B_id=,B09, best_B_prof=,3.086197, best_B_strat=,0.434248, best_S_id=,S02, best_S_prof=,9.038584, best_S_strat=,1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.351589, actvprof=,2.703112, id=,B01, PRDE,actvstrat=,0.484965, actvprof=,3.034230, id=,B02, PRDE,actvstrat=,-0.312391, actvprof=,2.545331, id=,B03, PRDE,actvstrat=,-0.408831, actvprof=,2.629499, id=,B04, PRDE,actvstrat=,-0.382157, actvprof=,2.596860, id=,B05, PRDE,actvstrat=,-0.122251, actvprof=,2.503941, id=,B06, PRDE,actvstrat=,0.055065, actvprof=,2.550470, id=,B07, PRDE,actvstrat=,0.191766, actvprof=,2.748252, id=,B08, PRDE,actvstrat=,-0.106834, actvprof=,2.641583, id=,B09, PRDE,actvstrat=,0.434248, actvprof=,3.066314, id=,S00, PRDE,actvstrat=,-0.747019, actvprof=,1.661007, id=,S01, PRDE,actvstrat=,0.537420, actvprof=,7.184594, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,9.053105, id=,S03, PRDE,actvstrat=,-0.815783, actvprof=,1.050577, id=,S04, PRDE,actvstrat=,-0.790112, actvprof=,1.351139, id=,S05, PRDE,actvstrat=,0.641212, actvprof=,7.973916, id=,S06, PRDE,actvstrat=,0.313003, actvprof=,6.224296, id=,S07, PRDE,actvstrat=,0.375895, actvprof=,6.264436, id=,S08, PRDE,actvstrat=,-0.792505, actvprof=,0.965020, id=,S09, PRDE,actvstrat=,0.756386, actvprof=,8.653930, best_B_id=,B09, best_B_prof=,3.066314, best_B_strat=,0.434248, best_S_id=,S02, best_S_prof=,9.053105, best_S_strat=,1.000000, 
