t=,0, id=,B00, PRDE,actvstrat=,-0.961129, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.666793, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.782370, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.902428, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.666189, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.226372, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.461880, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.836638, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.865823, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.013761, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.880756, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.982117, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.784030, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.134464, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.941011, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.027968, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.171197, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.876317, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.771976, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.903402, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.961129, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.880756, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.961129, actvprof=,1.294167, id=,B01, PRDE,actvstrat=,-0.666793, actvprof=,0.378889, id=,B02, PRDE,actvstrat=,0.782370, actvprof=,0.933889, id=,B03, PRDE,actvstrat=,0.902428, actvprof=,0.975833, id=,B04, PRDE,actvstrat=,-0.666189, actvprof=,0.511389, id=,B05, PRDE,actvstrat=,-0.226372, actvprof=,0.343889, id=,B06, PRDE,actvstrat=,0.461880, actvprof=,0.686667, id=,B07, PRDE,actvstrat=,-0.836638, actvprof=,0.608333, id=,B08, PRDE,actvstrat=,0.865823, actvprof=,1.003333, id=,B09, PRDE,actvstrat=,0.013761, actvprof=,0.434722, id=,S00, PRDE,actvstrat=,-0.880756, actvprof=,0.844167, id=,S01, PRDE,actvstrat=,-0.982117, actvprof=,1.078333, id=,S02, PRDE,actvstrat=,-0.784030, actvprof=,3.135556, id=,S03, PRDE,actvstrat=,0.134464, actvprof=,8.548889, id=,S04, PRDE,actvstrat=,-0.941011, actvprof=,0.333056, id=,S05, PRDE,actvstrat=,0.027968, actvprof=,8.158889, id=,S06, PRDE,actvstrat=,-0.171197, actvprof=,6.573333, id=,S07, PRDE,actvstrat=,-0.876317, actvprof=,1.108333, id=,S08, PRDE,actvstrat=,-0.771976, actvprof=,2.646111, id=,S09, PRDE,actvstrat=,0.903402, actvprof=,12.802222, best_B_id=,B00, best_B_prof=,1.294167, best_B_strat=,-0.961129, best_S_id=,S09, best_S_prof=,12.802222, best_S_strat=,0.903402, 
t=,7200, id=,B00, PRDE,actvstrat=,0.586846, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.106272, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.104486, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.036283, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.878184, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.676033, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.137028, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.121359, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.067021, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.058250, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.427186, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.613583, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.862722, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.022221, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.554989, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.326081, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.981805, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.190008, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.871610, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.441260, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.586846, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.427186, 
t=,10800, id=,B00, PRDE,actvstrat=,0.586846, actvprof=,2.913015, id=,B01, PRDE,actvstrat=,0.106272, actvprof=,2.434411, id=,B02, PRDE,actvstrat=,-0.104486, actvprof=,2.529409, id=,B03, PRDE,actvstrat=,-0.036283, actvprof=,2.187747, id=,B04, PRDE,actvstrat=,0.878184, actvprof=,2.174692, id=,B05, PRDE,actvstrat=,-0.676033, actvprof=,3.145234, id=,B06, PRDE,actvstrat=,0.137028, actvprof=,2.478577, id=,B07, PRDE,actvstrat=,-0.121359, actvprof=,2.253580, id=,B08, PRDE,actvstrat=,-0.067021, actvprof=,2.347467, id=,B09, PRDE,actvstrat=,0.058250, actvprof=,2.109693, id=,S00, PRDE,actvstrat=,-0.427186, actvprof=,3.116623, id=,S01, PRDE,actvstrat=,0.613583, actvprof=,8.488215, id=,S02, PRDE,actvstrat=,0.862722, actvprof=,9.856530, id=,S03, PRDE,actvstrat=,0.022221, actvprof=,5.790197, id=,S04, PRDE,actvstrat=,-0.554989, actvprof=,2.739962, id=,S05, PRDE,actvstrat=,-0.326081, actvprof=,2.876904, id=,S06, PRDE,actvstrat=,0.981805, actvprof=,9.902362, id=,S07, PRDE,actvstrat=,0.190008, actvprof=,6.474632, id=,S08, PRDE,actvstrat=,-0.871610, actvprof=,0.653602, id=,S09, PRDE,actvstrat=,0.441260, actvprof=,7.726004, best_B_id=,B05, best_B_prof=,3.145234, best_B_strat=,-0.676033, best_S_id=,S06, best_S_prof=,9.902362, best_S_strat=,0.981805, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.361993, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.143215, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.104486, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.169811, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.603235, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.807883, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.677184, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.970425, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.374311, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.345396, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.629201, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.640248, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.492703, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.913528, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.161613, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.394940, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.229061, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.712444, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.579566, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.236411, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.361993, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.629201, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.361993, actvprof=,2.068084, id=,B01, PRDE,actvstrat=,0.143215, actvprof=,2.060584, id=,B02, PRDE,actvstrat=,-0.104486, actvprof=,1.770302, id=,B03, PRDE,actvstrat=,-0.169811, actvprof=,1.866137, id=,B04, PRDE,actvstrat=,0.603235, actvprof=,2.400589, id=,B05, PRDE,actvstrat=,0.807883, actvprof=,2.398367, id=,B06, PRDE,actvstrat=,-0.677184, actvprof=,2.598092, id=,B07, PRDE,actvstrat=,0.970425, actvprof=,1.070293, id=,B08, PRDE,actvstrat=,0.374311, actvprof=,2.193919, id=,B09, PRDE,actvstrat=,0.345396, actvprof=,2.337810, id=,S00, PRDE,actvstrat=,0.629201, actvprof=,9.548466, id=,S01, PRDE,actvstrat=,-0.640248, actvprof=,2.924485, id=,S02, PRDE,actvstrat=,0.492703, actvprof=,8.356227, id=,S03, PRDE,actvstrat=,0.913528, actvprof=,10.278476, id=,S04, PRDE,actvstrat=,0.161613, actvprof=,6.466201, id=,S05, PRDE,actvstrat=,-0.394940, actvprof=,3.568105, id=,S06, PRDE,actvstrat=,0.229061, actvprof=,7.269268, id=,S07, PRDE,actvstrat=,-0.712444, actvprof=,2.465034, id=,S08, PRDE,actvstrat=,0.579566, actvprof=,9.034570, id=,S09, PRDE,actvstrat=,-0.236411, actvprof=,3.503938, best_B_id=,B06, best_B_prof=,2.598092, best_B_strat=,-0.677184, best_S_id=,S03, best_S_prof=,10.278476, best_S_strat=,0.913528, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.361993, actvprof=,1.911819, id=,B01, PRDE,actvstrat=,0.143215, actvprof=,2.087653, id=,B02, PRDE,actvstrat=,-0.104486, actvprof=,1.824874, id=,B03, PRDE,actvstrat=,-0.169811, actvprof=,1.904874, id=,B04, PRDE,actvstrat=,0.603235, actvprof=,2.461406, id=,B05, PRDE,actvstrat=,0.807883, actvprof=,2.401267, id=,B06, PRDE,actvstrat=,-0.677184, actvprof=,2.612796, id=,B07, PRDE,actvstrat=,0.970425, actvprof=,1.092091, id=,B08, PRDE,actvstrat=,0.374311, actvprof=,2.295294, id=,B09, PRDE,actvstrat=,0.345396, actvprof=,2.335433, id=,S00, PRDE,actvstrat=,0.629201, actvprof=,9.408676, id=,S01, PRDE,actvstrat=,-0.640248, actvprof=,2.908631, id=,S02, PRDE,actvstrat=,0.492703, actvprof=,8.452836, id=,S03, PRDE,actvstrat=,0.913528, actvprof=,10.539657, id=,S04, PRDE,actvstrat=,0.161613, actvprof=,6.835742, id=,S05, PRDE,actvstrat=,-0.394940, actvprof=,3.282384, id=,S06, PRDE,actvstrat=,0.229061, actvprof=,7.274356, id=,S07, PRDE,actvstrat=,-0.712444, actvprof=,2.552934, id=,S08, PRDE,actvstrat=,0.579566, actvprof=,8.750200, id=,S09, PRDE,actvstrat=,-0.236411, actvprof=,3.778776, best_B_id=,B06, best_B_prof=,2.612796, best_B_strat=,-0.677184, best_S_id=,S03, best_S_prof=,10.539657, best_S_strat=,0.913528, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,2.243920, id=,B01, PRDE,actvstrat=,-0.074636, actvprof=,2.079196, id=,B02, PRDE,actvstrat=,0.160547, actvprof=,2.306143, id=,B03, PRDE,actvstrat=,-0.423779, actvprof=,2.079751, id=,B04, PRDE,actvstrat=,0.715990, actvprof=,2.695037, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.772261, id=,B06, PRDE,actvstrat=,-0.636091, actvprof=,2.191419, id=,B07, PRDE,actvstrat=,-0.562654, actvprof=,2.205864, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,2.240864, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,2.770872, id=,S00, PRDE,actvstrat=,-0.972489, actvprof=,1.160849, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,6.595369, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,9.805692, id=,S03, PRDE,actvstrat=,-0.706895, actvprof=,2.461145, id=,S04, PRDE,actvstrat=,0.309914, actvprof=,6.379811, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,6.788428, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,9.993750, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,6.862595, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,6.843706, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,7.057876, best_B_id=,B05, best_B_prof=,2.772261, best_B_strat=,-1.000000, best_S_id=,S06, best_S_prof=,9.993750, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,2.231127, id=,B01, PRDE,actvstrat=,-0.074636, actvprof=,1.990708, id=,B02, PRDE,actvstrat=,0.160547, actvprof=,2.308072, id=,B03, PRDE,actvstrat=,-0.423779, actvprof=,2.042653, id=,B04, PRDE,actvstrat=,0.715990, actvprof=,2.761547, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.782103, id=,B06, PRDE,actvstrat=,-0.636091, actvprof=,2.119737, id=,B07, PRDE,actvstrat=,-0.562654, actvprof=,2.241127, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,2.192237, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,2.846825, id=,S00, PRDE,actvstrat=,-0.972489, actvprof=,1.249592, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,6.556573, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,9.916874, id=,S03, PRDE,actvstrat=,-0.706895, actvprof=,2.375711, id=,S04, PRDE,actvstrat=,0.309914, actvprof=,6.661018, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,6.693380, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,9.989375, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,6.840881, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,6.775741, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,7.091994, best_B_id=,B09, best_B_prof=,2.846825, best_B_strat=,-1.000000, best_S_id=,S06, best_S_prof=,9.989375, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.586846, actvprof=,1.889801, id=,B01, PRDE,actvstrat=,-0.416851, actvprof=,1.303943, id=,B02, PRDE,actvstrat=,-0.925844, actvprof=,2.371210, id=,B03, PRDE,actvstrat=,-0.590673, actvprof=,1.214217, id=,B04, PRDE,actvstrat=,-0.028951, actvprof=,1.336722, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.868731, id=,B06, PRDE,actvstrat=,-0.724169, actvprof=,1.571177, id=,B07, PRDE,actvstrat=,0.114095, actvprof=,1.465894, id=,B08, PRDE,actvstrat=,0.271444, actvprof=,1.460616, id=,B09, PRDE,actvstrat=,-0.690133, actvprof=,1.612845, id=,S00, PRDE,actvstrat=,-0.816164, actvprof=,0.812534, id=,S01, PRDE,actvstrat=,-0.829955, actvprof=,0.705307, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,10.432101, id=,S03, PRDE,actvstrat=,-0.642786, actvprof=,2.825673, id=,S04, PRDE,actvstrat=,0.467082, actvprof=,7.838382, id=,S05, PRDE,actvstrat=,-0.858239, actvprof=,0.595858, id=,S06, PRDE,actvstrat=,-0.181795, actvprof=,3.687376, id=,S07, PRDE,actvstrat=,0.511467, actvprof=,8.279512, id=,S08, PRDE,actvstrat=,-0.771976, actvprof=,1.623123, id=,S09, PRDE,actvstrat=,0.685184, actvprof=,9.196494, best_B_id=,B05, best_B_prof=,2.868731, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,10.432101, best_S_strat=,1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,0.586846, actvprof=,1.908360, id=,B01, PRDE,actvstrat=,-0.416851, actvprof=,1.162794, id=,B02, PRDE,actvstrat=,-0.925844, actvprof=,2.360172, id=,B03, PRDE,actvstrat=,-0.590673, actvprof=,1.273907, id=,B04, PRDE,actvstrat=,-0.028951, actvprof=,1.309602, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.886985, id=,B06, PRDE,actvstrat=,-0.724169, actvprof=,1.646134, id=,B07, PRDE,actvstrat=,0.114095, actvprof=,1.441131, id=,B08, PRDE,actvstrat=,0.271444, actvprof=,1.500715, id=,B09, PRDE,actvstrat=,-0.690133, actvprof=,1.553910, id=,S00, PRDE,actvstrat=,-0.816164, actvprof=,0.978764, id=,S01, PRDE,actvstrat=,-0.829955, actvprof=,0.816261, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,10.533202, id=,S03, PRDE,actvstrat=,-0.642786, actvprof=,2.724343, id=,S04, PRDE,actvstrat=,0.467082, actvprof=,7.986083, id=,S05, PRDE,actvstrat=,-0.858239, actvprof=,0.508479, id=,S06, PRDE,actvstrat=,-0.181795, actvprof=,3.586300, id=,S07, PRDE,actvstrat=,0.511467, actvprof=,8.117891, id=,S08, PRDE,actvstrat=,-0.771976, actvprof=,1.522382, id=,S09, PRDE,actvstrat=,0.685184, actvprof=,9.205683, best_B_id=,B05, best_B_prof=,2.886985, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,10.533202, best_S_strat=,1.000000, 
