t=,1, id=,B00, PRDE,actvstrat=,0.038886, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.862762, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.801757, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.494430, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.801729, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.983270, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.767023, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.433642, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.734188, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.529742, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.758008, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.428350, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.866729, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.190816, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.423652, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.680251, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.539527, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.163463, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.470144, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.465332, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.038886, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.758008, 
t=,3600, id=,B00, PRDE,actvstrat=,0.038886, actvprof=,2.517986, id=,B01, PRDE,actvstrat=,-0.862762, actvprof=,3.507125, id=,B02, PRDE,actvstrat=,-0.801757, actvprof=,3.256298, id=,B03, PRDE,actvstrat=,-0.494430, actvprof=,2.526319, id=,B04, PRDE,actvstrat=,-0.801729, actvprof=,3.069637, id=,B05, PRDE,actvstrat=,0.983270, actvprof=,1.546068, id=,B06, PRDE,actvstrat=,0.767023, actvprof=,3.238799, id=,B07, PRDE,actvstrat=,-0.433642, actvprof=,2.506875, id=,B08, PRDE,actvstrat=,-0.734188, actvprof=,3.262132, id=,B09, PRDE,actvstrat=,-0.529742, actvprof=,2.826866, id=,S00, PRDE,actvstrat=,-0.758008, actvprof=,2.454376, id=,S01, PRDE,actvstrat=,0.428350, actvprof=,7.568679, id=,S02, PRDE,actvstrat=,0.866729, actvprof=,9.404739, id=,S03, PRDE,actvstrat=,0.190816, actvprof=,6.193439, id=,S04, PRDE,actvstrat=,-0.423652, actvprof=,3.395183, id=,S05, PRDE,actvstrat=,-0.680251, actvprof=,2.893531, id=,S06, PRDE,actvstrat=,0.539527, actvprof=,7.637566, id=,S07, PRDE,actvstrat=,0.163463, actvprof=,6.350379, id=,S08, PRDE,actvstrat=,0.470144, actvprof=,7.696453, id=,S09, PRDE,actvstrat=,-0.465332, actvprof=,3.211855, best_B_id=,B01, best_B_prof=,3.507125, best_B_strat=,-0.862762, best_S_id=,S02, best_S_prof=,9.404739, best_S_strat=,0.866729, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.277308, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.870168, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.284780, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.168885, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.134857, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.905433, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.420321, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.119839, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.733154, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.720156, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.546892, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.456453, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.161178, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.498143, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.632430, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.043811, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.927926, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.517709, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.026859, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.876025, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.277308, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.546892, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.277308, actvprof=,1.279409, id=,B01, PRDE,actvstrat=,0.870168, actvprof=,1.834116, id=,B02, PRDE,actvstrat=,-0.284780, actvprof=,1.218855, id=,B03, PRDE,actvstrat=,0.168885, actvprof=,1.629121, id=,B04, PRDE,actvstrat=,0.134857, actvprof=,1.691342, id=,B05, PRDE,actvstrat=,-0.905433, actvprof=,2.537707, id=,B06, PRDE,actvstrat=,-0.420321, actvprof=,1.313019, id=,B07, PRDE,actvstrat=,-0.119839, actvprof=,1.371351, id=,B08, PRDE,actvstrat=,-0.733154, actvprof=,1.813283, id=,B09, PRDE,actvstrat=,0.720156, actvprof=,2.134941, id=,S00, PRDE,actvstrat=,0.546892, actvprof=,8.648926, id=,S01, PRDE,actvstrat=,0.456453, actvprof=,8.282270, id=,S02, PRDE,actvstrat=,-0.161178, actvprof=,4.250715, id=,S03, PRDE,actvstrat=,-0.498143, actvprof=,3.637677, id=,S04, PRDE,actvstrat=,-0.632430, actvprof=,2.804922, id=,S05, PRDE,actvstrat=,-0.043811, actvprof=,5.646232, id=,S06, PRDE,actvstrat=,-0.927926, actvprof=,0.731369, id=,S07, PRDE,actvstrat=,0.517709, actvprof=,8.409211, id=,S08, PRDE,actvstrat=,0.026859, actvprof=,6.488431, id=,S09, PRDE,actvstrat=,-0.876025, actvprof=,0.675259, best_B_id=,B05, best_B_prof=,2.537707, best_B_strat=,-0.905433, best_S_id=,S00, best_S_prof=,8.648926, best_S_strat=,0.546892, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.277308, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.536366, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.992457, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.839236, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.737209, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.911601, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.234290, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.599483, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.223160, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.300678, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.745829, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.456453, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.083476, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.684826, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.453006, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.664611, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.785352, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.517709, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.438421, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.559304, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.277308, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.745829, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.277308, actvprof=,2.056389, id=,B01, PRDE,actvstrat=,0.536366, actvprof=,2.663889, id=,B02, PRDE,actvstrat=,0.992457, actvprof=,0.971111, id=,B03, PRDE,actvstrat=,0.839236, actvprof=,2.287778, id=,B04, PRDE,actvstrat=,-0.737209, actvprof=,3.038889, id=,B05, PRDE,actvstrat=,0.911601, actvprof=,1.976111, id=,B06, PRDE,actvstrat=,0.234290, actvprof=,2.349444, id=,B07, PRDE,actvstrat=,-0.599483, actvprof=,2.341944, id=,B08, PRDE,actvstrat=,0.223160, actvprof=,2.290278, id=,B09, PRDE,actvstrat=,-0.300678, actvprof=,2.278611, id=,S00, PRDE,actvstrat=,0.745829, actvprof=,10.134444, id=,S01, PRDE,actvstrat=,0.456453, actvprof=,8.144722, id=,S02, PRDE,actvstrat=,-0.083476, actvprof=,5.300833, id=,S03, PRDE,actvstrat=,-0.684826, actvprof=,2.292500, id=,S04, PRDE,actvstrat=,-0.453006, actvprof=,3.677500, id=,S05, PRDE,actvstrat=,0.664611, actvprof=,9.755000, id=,S06, PRDE,actvstrat=,0.785352, actvprof=,10.365278, id=,S07, PRDE,actvstrat=,0.517709, actvprof=,8.376667, id=,S08, PRDE,actvstrat=,0.438421, actvprof=,8.343889, id=,S09, PRDE,actvstrat=,-0.559304, actvprof=,3.399167, best_B_id=,B04, best_B_prof=,3.038889, best_B_strat=,-0.737209, best_S_id=,S06, best_S_prof=,10.365278, best_S_strat=,0.785352, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.277308, actvprof=,2.091667, id=,B01, PRDE,actvstrat=,0.536366, actvprof=,2.725139, id=,B02, PRDE,actvstrat=,0.992457, actvprof=,1.041250, id=,B03, PRDE,actvstrat=,0.839236, actvprof=,2.320833, id=,B04, PRDE,actvstrat=,-0.737209, actvprof=,3.095972, id=,B05, PRDE,actvstrat=,0.911601, actvprof=,2.012222, id=,B06, PRDE,actvstrat=,0.234290, actvprof=,2.548333, id=,B07, PRDE,actvstrat=,-0.599483, actvprof=,2.479444, id=,B08, PRDE,actvstrat=,0.223160, actvprof=,2.439306, id=,B09, PRDE,actvstrat=,-0.300678, actvprof=,2.180139, id=,S00, PRDE,actvstrat=,0.745829, actvprof=,9.970000, id=,S01, PRDE,actvstrat=,0.456453, actvprof=,8.242639, id=,S02, PRDE,actvstrat=,-0.083476, actvprof=,5.260833, id=,S03, PRDE,actvstrat=,-0.684826, actvprof=,2.594306, id=,S04, PRDE,actvstrat=,-0.453006, actvprof=,3.481389, id=,S05, PRDE,actvstrat=,0.664611, actvprof=,9.542778, id=,S06, PRDE,actvstrat=,0.785352, actvprof=,10.295000, id=,S07, PRDE,actvstrat=,0.517709, actvprof=,8.473750, id=,S08, PRDE,actvstrat=,0.438421, actvprof=,8.276111, id=,S09, PRDE,actvstrat=,-0.559304, actvprof=,3.406667, best_B_id=,B04, best_B_prof=,3.095972, best_B_strat=,-0.737209, best_S_id=,S06, best_S_prof=,10.295000, best_S_strat=,0.785352, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.594601, actvprof=,1.577800, id=,B01, PRDE,actvstrat=,0.978544, actvprof=,0.454729, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.520563, id=,B03, PRDE,actvstrat=,0.610173, actvprof=,1.750580, id=,B04, PRDE,actvstrat=,-0.276568, actvprof=,1.101682, id=,B05, PRDE,actvstrat=,0.746131, actvprof=,1.838637, id=,B06, PRDE,actvstrat=,0.777327, actvprof=,1.719468, id=,B07, PRDE,actvstrat=,0.064439, actvprof=,1.031681, id=,B08, PRDE,actvstrat=,-0.568263, actvprof=,1.378352, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.522507, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,12.098224, id=,S01, PRDE,actvstrat=,0.520765, actvprof=,10.176252, id=,S02, PRDE,actvstrat=,-0.005726, actvprof=,7.303157, id=,S03, PRDE,actvstrat=,-0.167941, actvprof=,5.260073, id=,S04, PRDE,actvstrat=,-0.673960, actvprof=,3.635328, id=,S05, PRDE,actvstrat=,-0.596302, actvprof=,3.755330, id=,S06, PRDE,actvstrat=,-0.039005, actvprof=,6.940374, id=,S07, PRDE,actvstrat=,0.517176, actvprof=,10.251809, id=,S08, PRDE,actvstrat=,-0.390307, actvprof=,4.412561, id=,S09, PRDE,actvstrat=,0.176474, actvprof=,8.916513, best_B_id=,B05, best_B_prof=,1.838637, best_B_strat=,0.746131, best_S_id=,S00, best_S_prof=,12.098224, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.594601, actvprof=,1.477659, id=,B01, PRDE,actvstrat=,0.978544, actvprof=,0.542508, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.502507, id=,B03, PRDE,actvstrat=,0.610173, actvprof=,1.681690, id=,B04, PRDE,actvstrat=,-0.276568, actvprof=,1.183905, id=,B05, PRDE,actvstrat=,0.746131, actvprof=,1.754330, id=,B06, PRDE,actvstrat=,0.777327, actvprof=,1.775441, id=,B07, PRDE,actvstrat=,0.064439, actvprof=,1.104460, id=,B08, PRDE,actvstrat=,-0.568263, actvprof=,1.389325, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.462784, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,12.128363, id=,S01, PRDE,actvstrat=,0.520765, actvprof=,10.058890, id=,S02, PRDE,actvstrat=,-0.005726, actvprof=,7.335657, id=,S03, PRDE,actvstrat=,-0.167941, actvprof=,5.528132, id=,S04, PRDE,actvstrat=,-0.673960, actvprof=,3.665051, id=,S05, PRDE,actvstrat=,-0.596302, actvprof=,3.740469, id=,S06, PRDE,actvstrat=,-0.039005, actvprof=,7.038709, id=,S07, PRDE,actvstrat=,0.517176, actvprof=,10.152780, id=,S08, PRDE,actvstrat=,-0.390307, actvprof=,4.190475, id=,S09, PRDE,actvstrat=,0.176474, actvprof=,8.721371, best_B_id=,B06, best_B_prof=,1.775441, best_B_strat=,0.777327, best_S_id=,S00, best_S_prof=,12.128363, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.937293, actvprof=,2.712651, id=,B01, PRDE,actvstrat=,0.870168, actvprof=,1.797044, id=,B02, PRDE,actvstrat=,-0.801757, actvprof=,1.968998, id=,B03, PRDE,actvstrat=,0.468488, actvprof=,1.750097, id=,B04, PRDE,actvstrat=,-0.801807, actvprof=,1.863715, id=,B05, PRDE,actvstrat=,-0.777995, actvprof=,1.755931, id=,B06, PRDE,actvstrat=,-0.298661, actvprof=,1.366187, id=,B07, PRDE,actvstrat=,0.863721, actvprof=,1.877327, id=,B08, PRDE,actvstrat=,-0.568263, actvprof=,1.396466, id=,B09, PRDE,actvstrat=,0.348768, actvprof=,1.649536, id=,S00, PRDE,actvstrat=,-0.574755, actvprof=,3.181288, id=,S01, PRDE,actvstrat=,0.213299, actvprof=,7.212901, id=,S02, PRDE,actvstrat=,0.943613, actvprof=,10.840602, id=,S03, PRDE,actvstrat=,-0.498143, actvprof=,3.411578, id=,S04, PRDE,actvstrat=,0.426724, actvprof=,7.952108, id=,S05, PRDE,actvstrat=,-0.033315, actvprof=,6.110062, id=,S06, PRDE,actvstrat=,-0.189613, actvprof=,4.064115, id=,S07, PRDE,actvstrat=,-0.786585, actvprof=,1.517307, id=,S08, PRDE,actvstrat=,0.564562, actvprof=,8.734930, id=,S09, PRDE,actvstrat=,-0.173905, actvprof=,3.996889, best_B_id=,B00, best_B_prof=,2.712651, best_B_strat=,-0.937293, best_S_id=,S02, best_S_prof=,10.840602, best_S_strat=,0.943613, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.937293, actvprof=,2.706186, id=,B01, PRDE,actvstrat=,0.870168, actvprof=,1.865468, id=,B02, PRDE,actvstrat=,-0.801757, actvprof=,1.927692, id=,B03, PRDE,actvstrat=,0.468488, actvprof=,1.820051, id=,B04, PRDE,actvstrat=,-0.801807, actvprof=,1.951999, id=,B05, PRDE,actvstrat=,-0.777995, actvprof=,1.760882, id=,B06, PRDE,actvstrat=,-0.298661, actvprof=,1.225312, id=,B07, PRDE,actvstrat=,0.863721, actvprof=,1.798383, id=,B08, PRDE,actvstrat=,-0.568263, actvprof=,1.383233, id=,B09, PRDE,actvstrat=,0.348768, actvprof=,1.612823, id=,S00, PRDE,actvstrat=,-0.574755, actvprof=,3.173005, id=,S01, PRDE,actvstrat=,0.213299, actvprof=,7.103392, id=,S02, PRDE,actvstrat=,0.943613, actvprof=,10.931693, id=,S03, PRDE,actvstrat=,-0.498143, actvprof=,3.279674, id=,S04, PRDE,actvstrat=,0.426724, actvprof=,8.018834, id=,S05, PRDE,actvstrat=,-0.033315, actvprof=,5.754049, id=,S06, PRDE,actvstrat=,-0.189613, actvprof=,3.979972, id=,S07, PRDE,actvstrat=,-0.786585, actvprof=,1.539071, id=,S08, PRDE,actvstrat=,0.564562, actvprof=,8.718576, id=,S09, PRDE,actvstrat=,-0.173905, actvprof=,4.051779, best_B_id=,B00, best_B_prof=,2.706186, best_B_strat=,-0.937293, best_S_id=,S02, best_S_prof=,10.931693, best_S_strat=,0.943613, 
