t=,0, id=,B00, PRDE,actvstrat=,-0.952604, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.910016, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.747210, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.288216, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.722299, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.378701, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.065152, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.869362, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.221932, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.345095, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.998081, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.337323, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.345116, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.813309, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.875286, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.785206, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.375903, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.806060, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.026696, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.925411, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.952604, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.998081, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.952604, actvprof=,1.991917, id=,B01, PRDE,actvstrat=,0.910016, actvprof=,1.388314, id=,B02, PRDE,actvstrat=,0.747210, actvprof=,1.624700, id=,B03, PRDE,actvstrat=,-0.288216, actvprof=,0.767212, id=,B04, PRDE,actvstrat=,-0.722299, actvprof=,1.076374, id=,B05, PRDE,actvstrat=,0.378701, actvprof=,1.195539, id=,B06, PRDE,actvstrat=,-0.065152, actvprof=,0.895265, id=,B07, PRDE,actvstrat=,-0.869362, actvprof=,1.786364, id=,B08, PRDE,actvstrat=,0.221932, actvprof=,1.169706, id=,B09, PRDE,actvstrat=,0.345095, actvprof=,1.172206, id=,S00, PRDE,actvstrat=,-0.998081, actvprof=,3.009403, id=,S01, PRDE,actvstrat=,0.337323, actvprof=,8.196275, id=,S02, PRDE,actvstrat=,0.345116, actvprof=,8.358495, id=,S03, PRDE,actvstrat=,-0.813309, actvprof=,1.640255, id=,S04, PRDE,actvstrat=,-0.875286, actvprof=,0.696657, id=,S05, PRDE,actvstrat=,-0.785206, actvprof=,2.240247, id=,S06, PRDE,actvstrat=,0.375903, actvprof=,8.036555, id=,S07, PRDE,actvstrat=,-0.806060, actvprof=,1.442202, id=,S08, PRDE,actvstrat=,0.026696, actvprof=,6.858794, id=,S09, PRDE,actvstrat=,0.925411, actvprof=,11.652616, best_B_id=,B00, best_B_prof=,1.991917, best_B_strat=,-0.952604, best_S_id=,S09, best_S_prof=,11.652616, best_S_strat=,0.925411, 
t=,7200, id=,B00, PRDE,actvstrat=,0.662498, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.290769, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.582743, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.525883, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.655728, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.302183, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.451850, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.689472, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.868029, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.311291, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.259052, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.590375, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.496022, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.519754, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.149126, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.620194, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.625273, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.165256, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.480809, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.009352, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.662498, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.259052, 
t=,10800, id=,B00, PRDE,actvstrat=,0.662498, actvprof=,2.313857, id=,B01, PRDE,actvstrat=,-0.290769, actvprof=,1.573034, id=,B02, PRDE,actvstrat=,0.582743, actvprof=,2.352467, id=,B03, PRDE,actvstrat=,0.525883, actvprof=,2.088027, id=,B04, PRDE,actvstrat=,0.655728, actvprof=,2.202469, id=,B05, PRDE,actvstrat=,0.302183, actvprof=,2.250247, id=,B06, PRDE,actvstrat=,-0.451850, actvprof=,1.830530, id=,B07, PRDE,actvstrat=,0.689472, actvprof=,2.232191, id=,B08, PRDE,actvstrat=,0.868029, actvprof=,2.091638, id=,B09, PRDE,actvstrat=,0.311291, actvprof=,2.098582, id=,S00, PRDE,actvstrat=,-0.259052, actvprof=,3.792170, id=,S01, PRDE,actvstrat=,0.590375, actvprof=,9.803197, id=,S02, PRDE,actvstrat=,0.496022, actvprof=,8.772100, id=,S03, PRDE,actvstrat=,0.519754, actvprof=,8.820155, id=,S04, PRDE,actvstrat=,-0.149126, actvprof=,4.642713, id=,S05, PRDE,actvstrat=,0.620194, actvprof=,9.740976, id=,S06, PRDE,actvstrat=,0.625273, actvprof=,9.456813, id=,S07, PRDE,actvstrat=,0.165256, actvprof=,7.126290, id=,S08, PRDE,actvstrat=,-0.480809, actvprof=,3.006903, id=,S09, PRDE,actvstrat=,0.009352, actvprof=,6.137693, best_B_id=,B02, best_B_prof=,2.352467, best_B_strat=,0.582743, best_S_id=,S01, best_S_prof=,9.803197, best_S_strat=,0.590375, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.780372, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.572832, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.633969, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.902745, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.413138, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.347421, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.725363, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.195969, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.179543, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.107224, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.609466, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.729321, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.309332, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.284873, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.312312, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.066667, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.681928, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.820078, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.248777, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.148412, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.780372, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.609466, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.780372, actvprof=,1.871163, id=,B01, PRDE,actvstrat=,-0.572832, actvprof=,1.266702, id=,B02, PRDE,actvstrat=,0.633969, actvprof=,1.874774, id=,B03, PRDE,actvstrat=,0.902745, actvprof=,1.606989, id=,B04, PRDE,actvstrat=,-0.413138, actvprof=,1.121976, id=,B05, PRDE,actvstrat=,0.347421, actvprof=,1.718381, id=,B06, PRDE,actvstrat=,-0.725363, actvprof=,1.472819, id=,B07, PRDE,actvstrat=,-0.195969, actvprof=,1.173644, id=,B08, PRDE,actvstrat=,0.179543, actvprof=,1.380594, id=,B09, PRDE,actvstrat=,-0.107224, actvprof=,1.313925, id=,S00, PRDE,actvstrat=,-0.609466, actvprof=,2.882858, id=,S01, PRDE,actvstrat=,0.729321, actvprof=,10.170005, id=,S02, PRDE,actvstrat=,0.309332, actvprof=,7.321592, id=,S03, PRDE,actvstrat=,-0.284873, actvprof=,3.038973, id=,S04, PRDE,actvstrat=,-0.312312, actvprof=,3.439262, id=,S05, PRDE,actvstrat=,0.066667, actvprof=,6.336009, id=,S06, PRDE,actvstrat=,-0.681928, actvprof=,2.651463, id=,S07, PRDE,actvstrat=,-0.820078, actvprof=,0.962527, id=,S08, PRDE,actvstrat=,-0.248777, actvprof=,3.938721, id=,S09, PRDE,actvstrat=,0.148412, actvprof=,6.126004, best_B_id=,B02, best_B_prof=,1.874774, best_B_strat=,0.633969, best_S_id=,S01, best_S_prof=,10.170005, best_S_strat=,0.729321, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.780372, actvprof=,1.869470, id=,B01, PRDE,actvstrat=,-0.572832, actvprof=,1.294601, id=,B02, PRDE,actvstrat=,0.633969, actvprof=,1.916832, id=,B03, PRDE,actvstrat=,0.902745, actvprof=,1.544605, id=,B04, PRDE,actvstrat=,-0.413138, actvprof=,1.039042, id=,B05, PRDE,actvstrat=,0.347421, actvprof=,1.721274, id=,B06, PRDE,actvstrat=,-0.725363, actvprof=,1.633078, id=,B07, PRDE,actvstrat=,-0.195969, actvprof=,1.083626, id=,B08, PRDE,actvstrat=,0.179543, actvprof=,1.428770, id=,B09, PRDE,actvstrat=,-0.107224, actvprof=,1.262379, id=,S00, PRDE,actvstrat=,-0.609466, actvprof=,2.825595, id=,S01, PRDE,actvstrat=,0.729321, actvprof=,9.938194, id=,S02, PRDE,actvstrat=,0.309332, actvprof=,7.278712, id=,S03, PRDE,actvstrat=,-0.284873, actvprof=,3.300046, id=,S04, PRDE,actvstrat=,-0.312312, actvprof=,3.381436, id=,S05, PRDE,actvstrat=,0.066667, actvprof=,6.224948, id=,S06, PRDE,actvstrat=,-0.681928, actvprof=,2.636009, id=,S07, PRDE,actvstrat=,-0.820078, actvprof=,1.116960, id=,S08, PRDE,actvstrat=,-0.248777, actvprof=,3.782691, id=,S09, PRDE,actvstrat=,0.148412, actvprof=,6.222586, best_B_id=,B02, best_B_prof=,1.916832, best_B_strat=,0.633969, best_S_id=,S01, best_S_prof=,9.938194, best_S_strat=,0.729321, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.229573, actvprof=,2.703611, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,1.591667, id=,B02, PRDE,actvstrat=,0.017113, actvprof=,2.791111, id=,B03, PRDE,actvstrat=,-0.602480, actvprof=,3.078333, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.536111, id=,B05, PRDE,actvstrat=,-0.252921, actvprof=,2.852500, id=,B06, PRDE,actvstrat=,-0.858478, actvprof=,3.905556, id=,B07, PRDE,actvstrat=,0.064961, actvprof=,2.782222, id=,B08, PRDE,actvstrat=,0.890016, actvprof=,2.413611, id=,B09, PRDE,actvstrat=,-0.417548, actvprof=,2.963333, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,9.887778, id=,S01, PRDE,actvstrat=,0.845315, actvprof=,9.879722, id=,S02, PRDE,actvstrat=,0.344698, actvprof=,6.904444, id=,S03, PRDE,actvstrat=,-0.091644, actvprof=,4.650833, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,5.355000, id=,S05, PRDE,actvstrat=,0.051270, actvprof=,5.766111, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,9.459722, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,5.287500, id=,S08, PRDE,actvstrat=,-0.676159, actvprof=,2.693611, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,5.675000, best_B_id=,B06, best_B_prof=,3.905556, best_B_strat=,-0.858478, best_S_id=,S00, best_S_prof=,9.887778, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.229573, actvprof=,2.643250, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,1.534893, id=,B02, PRDE,actvstrat=,0.017113, actvprof=,2.767558, id=,B03, PRDE,actvstrat=,-0.602480, actvprof=,3.314236, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.594617, id=,B05, PRDE,actvstrat=,-0.252921, actvprof=,2.771308, id=,B06, PRDE,actvstrat=,-0.858478, actvprof=,3.924804, id=,B07, PRDE,actvstrat=,0.064961, actvprof=,2.790197, id=,B08, PRDE,actvstrat=,0.890016, actvprof=,2.434356, id=,B09, PRDE,actvstrat=,-0.417548, actvprof=,2.986034, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,9.700341, id=,S01, PRDE,actvstrat=,0.845315, actvprof=,9.747564, id=,S02, PRDE,actvstrat=,0.344698, actvprof=,6.981395, id=,S03, PRDE,actvstrat=,-0.091644, actvprof=,4.510094, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,5.258304, id=,S05, PRDE,actvstrat=,0.051270, actvprof=,5.618311, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,9.558949, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,5.443030, id=,S08, PRDE,actvstrat=,-0.676159, actvprof=,2.692417, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,5.663590, best_B_id=,B06, best_B_prof=,3.924804, best_B_strat=,-0.858478, best_S_id=,S01, best_S_prof=,9.747564, best_S_strat=,0.845315, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.366321, actvprof=,1.153691, id=,B01, PRDE,actvstrat=,0.136650, actvprof=,1.285367, id=,B02, PRDE,actvstrat=,0.361649, actvprof=,1.550663, id=,B03, PRDE,actvstrat=,0.749585, actvprof=,1.800403, id=,B04, PRDE,actvstrat=,-0.711611, actvprof=,1.626780, id=,B05, PRDE,actvstrat=,-0.717173, actvprof=,1.813737, id=,B06, PRDE,actvstrat=,0.547892, actvprof=,1.736509, id=,B07, PRDE,actvstrat=,-0.528485, actvprof=,1.013959, id=,B08, PRDE,actvstrat=,0.967154, actvprof=,0.743663, id=,B09, PRDE,actvstrat=,0.038984, actvprof=,1.187305, id=,S00, PRDE,actvstrat=,-0.266196, actvprof=,4.088895, id=,S01, PRDE,actvstrat=,-0.045449, actvprof=,6.161261, id=,S02, PRDE,actvstrat=,-0.869417, actvprof=,0.570873, id=,S03, PRDE,actvstrat=,0.614165, actvprof=,9.667060, id=,S04, PRDE,actvstrat=,-0.112719, actvprof=,4.983957, id=,S05, PRDE,actvstrat=,0.051270, actvprof=,6.776304, id=,S06, PRDE,actvstrat=,-0.679823, actvprof=,3.058824, id=,S07, PRDE,actvstrat=,-0.388393, actvprof=,4.000556, id=,S08, PRDE,actvstrat=,0.982620, actvprof=,11.224668, id=,S09, PRDE,actvstrat=,-0.767152, actvprof=,1.471213, best_B_id=,B05, best_B_prof=,1.813737, best_B_strat=,-0.717173, best_S_id=,S08, best_S_prof=,11.224668, best_S_strat=,0.982620, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.366321, actvprof=,1.049481, id=,B01, PRDE,actvstrat=,0.136650, actvprof=,1.233932, id=,B02, PRDE,actvstrat=,0.361649, actvprof=,1.471718, id=,B03, PRDE,actvstrat=,0.749585, actvprof=,1.830064, id=,B04, PRDE,actvstrat=,-0.711611, actvprof=,1.599917, id=,B05, PRDE,actvstrat=,-0.717173, actvprof=,1.690336, id=,B06, PRDE,actvstrat=,0.547892, actvprof=,1.586166, id=,B07, PRDE,actvstrat=,-0.528485, actvprof=,1.041008, id=,B08, PRDE,actvstrat=,0.967154, actvprof=,0.749748, id=,B09, PRDE,actvstrat=,0.038984, actvprof=,1.177680, id=,S00, PRDE,actvstrat=,-0.266196, actvprof=,3.961943, id=,S01, PRDE,actvstrat=,-0.045449, actvprof=,5.962429, id=,S02, PRDE,actvstrat=,-0.869417, actvprof=,0.584326, id=,S03, PRDE,actvstrat=,0.614165, actvprof=,9.667419, id=,S04, PRDE,actvstrat=,-0.112719, actvprof=,5.026286, id=,S05, PRDE,actvstrat=,0.051270, actvprof=,6.744262, id=,S06, PRDE,actvstrat=,-0.679823, actvprof=,2.785374, id=,S07, PRDE,actvstrat=,-0.388393, actvprof=,3.720963, id=,S08, PRDE,actvstrat=,0.982620, actvprof=,11.401507, id=,S09, PRDE,actvstrat=,-0.767152, actvprof=,1.773256, best_B_id=,B03, best_B_prof=,1.830064, best_B_strat=,0.749585, best_S_id=,S08, best_S_prof=,11.401507, best_S_strat=,0.982620, 
