t=,0, id=,B00, PRDE,actvstrat=,-0.323504, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.340858, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.238804, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.096357, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.988823, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.858788, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.785143, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.058285, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.327468, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.434524, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.073455, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.870977, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.327659, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.770640, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.724532, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.383280, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.540376, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.838285, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.348293, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.561650, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.323504, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.073455, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.323504, actvprof=,2.358546, id=,B01, PRDE,actvstrat=,0.340858, actvprof=,3.356573, id=,B02, PRDE,actvstrat=,0.238804, actvprof=,2.819922, id=,B03, PRDE,actvstrat=,-0.096357, actvprof=,2.799089, id=,B04, PRDE,actvstrat=,-0.988823, actvprof=,3.687953, id=,B05, PRDE,actvstrat=,-0.858788, actvprof=,3.942668, id=,B06, PRDE,actvstrat=,-0.785143, actvprof=,3.397128, id=,B07, PRDE,actvstrat=,0.058285, actvprof=,2.763812, id=,B08, PRDE,actvstrat=,0.327468, actvprof=,3.094358, id=,B09, PRDE,actvstrat=,0.434524, actvprof=,3.285742, id=,S00, PRDE,actvstrat=,0.073455, actvprof=,5.684842, id=,S01, PRDE,actvstrat=,0.870977, actvprof=,9.324185, id=,S02, PRDE,actvstrat=,-0.327659, actvprof=,3.119636, id=,S03, PRDE,actvstrat=,0.770640, actvprof=,8.746424, id=,S04, PRDE,actvstrat=,-0.724532, actvprof=,1.935224, id=,S05, PRDE,actvstrat=,-0.383280, actvprof=,3.672398, id=,S06, PRDE,actvstrat=,0.540376, actvprof=,7.568123, id=,S07, PRDE,actvstrat=,0.838285, actvprof=,9.021972, id=,S08, PRDE,actvstrat=,-0.348293, actvprof=,2.879364, id=,S09, PRDE,actvstrat=,0.561650, actvprof=,7.606178, best_B_id=,B05, best_B_prof=,3.942668, best_B_strat=,-0.858788, best_S_id=,S01, best_S_prof=,9.324185, best_S_strat=,0.870977, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.124733, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.871331, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.844691, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.625111, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.612333, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.688167, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.368226, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.023816, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.646314, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.464511, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.496106, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.911454, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.298353, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.187506, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.895277, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.784214, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.475186, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.272085, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.919290, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.409613, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.124733, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.496106, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.124733, actvprof=,1.719444, id=,B01, PRDE,actvstrat=,-0.871331, actvprof=,2.856667, id=,B02, PRDE,actvstrat=,-0.844691, actvprof=,2.636944, id=,B03, PRDE,actvstrat=,0.625111, actvprof=,2.301667, id=,B04, PRDE,actvstrat=,0.612333, actvprof=,2.274722, id=,B05, PRDE,actvstrat=,-0.688167, actvprof=,1.885556, id=,B06, PRDE,actvstrat=,-0.368226, actvprof=,1.488611, id=,B07, PRDE,actvstrat=,0.023816, actvprof=,1.625000, id=,B08, PRDE,actvstrat=,0.646314, actvprof=,2.327222, id=,B09, PRDE,actvstrat=,-0.464511, actvprof=,1.522222, id=,S00, PRDE,actvstrat=,-0.496106, actvprof=,3.157222, id=,S01, PRDE,actvstrat=,0.911454, actvprof=,10.082222, id=,S02, PRDE,actvstrat=,0.298353, actvprof=,7.080000, id=,S03, PRDE,actvstrat=,-0.187506, actvprof=,4.073333, id=,S04, PRDE,actvstrat=,-0.895277, actvprof=,0.432500, id=,S05, PRDE,actvstrat=,-0.784214, actvprof=,1.393889, id=,S06, PRDE,actvstrat=,-0.475186, actvprof=,3.465000, id=,S07, PRDE,actvstrat=,-0.272085, actvprof=,3.342222, id=,S08, PRDE,actvstrat=,0.919290, actvprof=,10.385000, id=,S09, PRDE,actvstrat=,0.409613, actvprof=,7.772778, best_B_id=,B01, best_B_prof=,2.856667, best_B_strat=,-0.871331, best_S_id=,S08, best_S_prof=,10.385000, best_S_strat=,0.919290, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.124733, actvprof=,1.658889, id=,B01, PRDE,actvstrat=,-0.871331, actvprof=,2.743333, id=,B02, PRDE,actvstrat=,-0.844691, actvprof=,2.573194, id=,B03, PRDE,actvstrat=,0.625111, actvprof=,2.268750, id=,B04, PRDE,actvstrat=,0.612333, actvprof=,2.278194, id=,B05, PRDE,actvstrat=,-0.688167, actvprof=,1.925556, id=,B06, PRDE,actvstrat=,-0.368226, actvprof=,1.456111, id=,B07, PRDE,actvstrat=,0.023816, actvprof=,1.586111, id=,B08, PRDE,actvstrat=,0.646314, actvprof=,2.259722, id=,B09, PRDE,actvstrat=,-0.464511, actvprof=,1.612500, id=,S00, PRDE,actvstrat=,-0.496106, actvprof=,3.121667, id=,S01, PRDE,actvstrat=,0.911454, actvprof=,10.108333, id=,S02, PRDE,actvstrat=,0.298353, actvprof=,7.114306, id=,S03, PRDE,actvstrat=,-0.187506, actvprof=,4.084583, id=,S04, PRDE,actvstrat=,-0.895277, actvprof=,0.437083, id=,S05, PRDE,actvstrat=,-0.784214, actvprof=,1.610417, id=,S06, PRDE,actvstrat=,-0.475186, actvprof=,3.288611, id=,S07, PRDE,actvstrat=,-0.272085, actvprof=,3.194306, id=,S08, PRDE,actvstrat=,0.919290, actvprof=,10.239028, id=,S09, PRDE,actvstrat=,0.409613, actvprof=,7.628194, best_B_id=,B01, best_B_prof=,2.743333, best_B_strat=,-0.871331, best_S_id=,S08, best_S_prof=,10.239028, best_S_strat=,0.919290, 
t=,18000, id=,B00, PRDE,actvstrat=,0.484134, actvprof=,1.167516, id=,B01, PRDE,actvstrat=,0.894133, actvprof=,1.133349, id=,B02, PRDE,actvstrat=,0.798895, actvprof=,1.452798, id=,B03, PRDE,actvstrat=,0.996806, actvprof=,0.428895, id=,B04, PRDE,actvstrat=,0.280917, actvprof=,0.923346, id=,B05, PRDE,actvstrat=,0.593092, actvprof=,1.253351, id=,B06, PRDE,actvstrat=,-0.888640, actvprof=,1.829470, id=,B07, PRDE,actvstrat=,-0.187327, actvprof=,0.714732, id=,B08, PRDE,actvstrat=,0.645979, actvprof=,1.489187, id=,B09, PRDE,actvstrat=,-0.437699, actvprof=,0.865290, id=,S00, PRDE,actvstrat=,0.712756, actvprof=,11.306546, id=,S01, PRDE,actvstrat=,-0.263201, actvprof=,5.138960, id=,S02, PRDE,actvstrat=,-0.315643, actvprof=,4.815345, id=,S03, PRDE,actvstrat=,0.177961, actvprof=,8.460395, id=,S04, PRDE,actvstrat=,-0.723931, actvprof=,3.180878, id=,S05, PRDE,actvstrat=,-0.684966, actvprof=,3.785053, id=,S06, PRDE,actvstrat=,-0.901857, actvprof=,0.627231, id=,S07, PRDE,actvstrat=,0.838285, actvprof=,12.340727, id=,S08, PRDE,actvstrat=,0.560764, actvprof=,10.289587, id=,S09, PRDE,actvstrat=,-0.722156, actvprof=,3.309490, best_B_id=,B06, best_B_prof=,1.829470, best_B_strat=,-0.888640, best_S_id=,S07, best_S_prof=,12.340727, best_S_strat=,0.838285, 
t=,21600, id=,B00, PRDE,actvstrat=,0.484134, actvprof=,1.162655, id=,B01, PRDE,actvstrat=,0.894133, actvprof=,1.183489, id=,B02, PRDE,actvstrat=,0.798895, actvprof=,1.440437, id=,B03, PRDE,actvstrat=,0.996806, actvprof=,0.448617, id=,B04, PRDE,actvstrat=,0.280917, actvprof=,0.992930, id=,B05, PRDE,actvstrat=,0.593092, actvprof=,1.167238, id=,B06, PRDE,actvstrat=,-0.888640, actvprof=,1.738080, id=,B07, PRDE,actvstrat=,-0.187327, actvprof=,0.732788, id=,B08, PRDE,actvstrat=,0.645979, actvprof=,1.338630, id=,B09, PRDE,actvstrat=,-0.437699, actvprof=,0.718482, id=,S00, PRDE,actvstrat=,0.712756, actvprof=,11.363769, id=,S01, PRDE,actvstrat=,-0.263201, actvprof=,5.230073, id=,S02, PRDE,actvstrat=,-0.315643, actvprof=,4.742983, id=,S03, PRDE,actvstrat=,0.177961, actvprof=,8.193725, id=,S04, PRDE,actvstrat=,-0.723931, actvprof=,3.240739, id=,S05, PRDE,actvstrat=,-0.684966, actvprof=,3.757552, id=,S06, PRDE,actvstrat=,-0.901857, actvprof=,0.544591, id=,S07, PRDE,actvstrat=,0.838285, actvprof=,12.317254, id=,S08, PRDE,actvstrat=,0.560764, actvprof=,10.396533, id=,S09, PRDE,actvstrat=,-0.722156, actvprof=,3.057126, best_B_id=,B06, best_B_prof=,1.738080, best_B_strat=,-0.888640, best_S_id=,S07, best_S_prof=,12.317254, best_S_strat=,0.838285, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.595186, actvprof=,1.579788, id=,B01, PRDE,actvstrat=,-0.437493, actvprof=,1.593955, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,2.568163, id=,B03, PRDE,actvstrat=,-0.125130, actvprof=,1.448116, id=,B04, PRDE,actvstrat=,0.703284, actvprof=,2.473992, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.558162, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.574552, id=,B07, PRDE,actvstrat=,0.299175, actvprof=,2.201758, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.742892, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,2.553995, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.256052, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,10.634610, id=,S02, PRDE,actvstrat=,-0.253237, actvprof=,3.537925, id=,S03, PRDE,actvstrat=,0.007852, actvprof=,6.064697, id=,S04, PRDE,actvstrat=,-0.265430, actvprof=,3.140409, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,10.740170, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,5.131603, id=,S07, PRDE,actvstrat=,0.142518, actvprof=,6.448880, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,4.985486, id=,S09, PRDE,actvstrat=,0.578200, actvprof=,8.168396, best_B_id=,B08, best_B_prof=,2.742892, best_B_strat=,-1.000000, best_S_id=,S05, best_S_prof=,10.740170, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.595186, actvprof=,1.577661, id=,B01, PRDE,actvstrat=,-0.437493, actvprof=,1.661551, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,2.513646, id=,B03, PRDE,actvstrat=,-0.125130, actvprof=,1.537660, id=,B04, PRDE,actvstrat=,0.703284, actvprof=,2.415311, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.555174, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.557674, id=,B07, PRDE,actvstrat=,0.299175, actvprof=,2.174336, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.746149, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,2.541146, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.386464, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,10.694454, id=,S02, PRDE,actvstrat=,-0.253237, actvprof=,3.333102, id=,S03, PRDE,actvstrat=,0.007852, actvprof=,5.806470, id=,S04, PRDE,actvstrat=,-0.265430, actvprof=,3.082265, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,10.633620, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,5.419242, id=,S07, PRDE,actvstrat=,0.142518, actvprof=,6.206197, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,5.029375, id=,S09, PRDE,actvstrat=,0.578200, actvprof=,8.440812, best_B_id=,B08, best_B_prof=,2.746149, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,10.694454, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.060105, actvprof=,1.593144, id=,B01, PRDE,actvstrat=,-0.629428, actvprof=,1.919551, id=,B02, PRDE,actvstrat=,-0.366955, actvprof=,1.414801, id=,B03, PRDE,actvstrat=,-0.460327, actvprof=,1.577588, id=,B04, PRDE,actvstrat=,-0.253570, actvprof=,1.352297, id=,B05, PRDE,actvstrat=,-0.532056, actvprof=,1.452858, id=,B06, PRDE,actvstrat=,0.968136, actvprof=,1.152008, id=,B07, PRDE,actvstrat=,0.128595, actvprof=,1.770654, id=,B08, PRDE,actvstrat=,0.326950, actvprof=,1.956775, id=,B09, PRDE,actvstrat=,0.381572, actvprof=,2.060948, id=,S00, PRDE,actvstrat=,-0.599799, actvprof=,2.932385, id=,S01, PRDE,actvstrat=,-0.961412, actvprof=,0.948664, id=,S02, PRDE,actvstrat=,0.616676, actvprof=,8.659092, id=,S03, PRDE,actvstrat=,-0.962868, actvprof=,1.413134, id=,S04, PRDE,actvstrat=,-0.976209, actvprof=,1.832602, id=,S05, PRDE,actvstrat=,0.533939, actvprof=,8.269348, id=,S06, PRDE,actvstrat=,0.218366, actvprof=,6.886216, id=,S07, PRDE,actvstrat=,0.088266, actvprof=,5.828379, id=,S08, PRDE,actvstrat=,0.563542, actvprof=,8.668815, id=,S09, PRDE,actvstrat=,-0.795788, actvprof=,1.780932, best_B_id=,B09, best_B_prof=,2.060948, best_B_strat=,0.381572, best_S_id=,S08, best_S_prof=,8.668815, best_S_strat=,0.563542, 
t=,36000, id=,B00, PRDE,actvstrat=,0.060105, actvprof=,1.643495, id=,B01, PRDE,actvstrat=,-0.629428, actvprof=,1.887526, id=,B02, PRDE,actvstrat=,-0.366955, actvprof=,1.322379, id=,B03, PRDE,actvstrat=,-0.460327, actvprof=,1.613356, id=,B04, PRDE,actvstrat=,-0.253570, actvprof=,1.396131, id=,B05, PRDE,actvstrat=,-0.532056, actvprof=,1.530993, id=,B06, PRDE,actvstrat=,0.968136, actvprof=,1.145294, id=,B07, PRDE,actvstrat=,0.128595, actvprof=,1.752663, id=,B08, PRDE,actvstrat=,0.326950, actvprof=,2.001417, id=,B09, PRDE,actvstrat=,0.381572, actvprof=,2.068223, id=,S00, PRDE,actvstrat=,-0.599799, actvprof=,2.945319, id=,S01, PRDE,actvstrat=,-0.961412, actvprof=,0.891540, id=,S02, PRDE,actvstrat=,0.616676, actvprof=,8.722482, id=,S03, PRDE,actvstrat=,-0.962868, actvprof=,1.307101, id=,S04, PRDE,actvstrat=,-0.976209, actvprof=,1.772802, id=,S05, PRDE,actvstrat=,0.533939, actvprof=,8.457062, id=,S06, PRDE,actvstrat=,0.218366, actvprof=,7.013986, id=,S07, PRDE,actvstrat=,0.088266, actvprof=,6.072168, id=,S08, PRDE,actvstrat=,0.563542, actvprof=,8.599842, id=,S09, PRDE,actvstrat=,-0.795788, actvprof=,1.757108, best_B_id=,B09, best_B_prof=,2.068223, best_B_strat=,0.381572, best_S_id=,S02, best_S_prof=,8.722482, best_S_strat=,0.616676, 
