t=,0, id=,B00, PRDE,actvstrat=,0.168804, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.709001, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.968923, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.436455, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.259967, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.438630, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.092781, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.584501, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.114754, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.119280, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.456587, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.743522, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.734697, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.560151, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.558562, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.444310, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.949602, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.291028, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.900584, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.414332, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.168804, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.456587, 
t=,3600, id=,B00, PRDE,actvstrat=,0.168804, actvprof=,3.323750, id=,B01, PRDE,actvstrat=,0.709001, actvprof=,3.609572, id=,B02, PRDE,actvstrat=,-0.968923, actvprof=,3.704012, id=,B03, PRDE,actvstrat=,0.436455, actvprof=,3.762899, id=,B04, PRDE,actvstrat=,0.259967, actvprof=,3.307918, id=,B05, PRDE,actvstrat=,-0.438630, actvprof=,3.584017, id=,B06, PRDE,actvstrat=,-0.092781, actvprof=,3.080149, id=,B07, PRDE,actvstrat=,0.584501, actvprof=,3.627071, id=,B08, PRDE,actvstrat=,-0.114754, actvprof=,3.201256, id=,B09, PRDE,actvstrat=,0.119280, actvprof=,3.395970, id=,S00, PRDE,actvstrat=,0.456587, actvprof=,7.638293, id=,S01, PRDE,actvstrat=,0.743522, actvprof=,8.856575, id=,S02, PRDE,actvstrat=,0.734697, actvprof=,8.536589, id=,S03, PRDE,actvstrat=,-0.560151, actvprof=,2.911268, id=,S04, PRDE,actvstrat=,0.558562, actvprof=,7.700235, id=,S05, PRDE,actvstrat=,-0.444310, actvprof=,2.978209, id=,S06, PRDE,actvstrat=,0.949602, actvprof=,9.013513, id=,S07, PRDE,actvstrat=,0.291028, actvprof=,6.716109, id=,S08, PRDE,actvstrat=,0.900584, actvprof=,9.324611, id=,S09, PRDE,actvstrat=,-0.414332, actvprof=,2.812661, best_B_id=,B03, best_B_prof=,3.762899, best_B_strat=,0.436455, best_S_id=,S08, best_S_prof=,9.324611, best_S_strat=,0.900584, 
t=,7200, id=,B00, PRDE,actvstrat=,0.173025, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.787349, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.286218, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.979769, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.082689, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.245387, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.720794, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.243209, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.692497, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.591135, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.766451, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.339172, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.841141, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.459409, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.869658, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.349731, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.611142, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.136944, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.421479, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.661238, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.173025, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.766451, 
t=,10800, id=,B00, PRDE,actvstrat=,0.173025, actvprof=,3.560129, id=,B01, PRDE,actvstrat=,-0.787349, actvprof=,4.233712, id=,B02, PRDE,actvstrat=,0.286218, actvprof=,3.715123, id=,B03, PRDE,actvstrat=,-0.979769, actvprof=,4.157049, id=,B04, PRDE,actvstrat=,-0.082689, actvprof=,3.249031, id=,B05, PRDE,actvstrat=,0.245387, actvprof=,3.487355, id=,B06, PRDE,actvstrat=,-0.720794, actvprof=,4.012333, id=,B07, PRDE,actvstrat=,0.243209, actvprof=,3.334583, id=,B08, PRDE,actvstrat=,-0.692497, actvprof=,3.714012, id=,B09, PRDE,actvstrat=,0.591135, actvprof=,3.537630, id=,S00, PRDE,actvstrat=,0.766451, actvprof=,8.078830, id=,S01, PRDE,actvstrat=,0.339172, actvprof=,5.930308, id=,S02, PRDE,actvstrat=,0.841141, actvprof=,8.738247, id=,S03, PRDE,actvstrat=,-0.459409, actvprof=,2.576559, id=,S04, PRDE,actvstrat=,0.869658, actvprof=,8.608530, id=,S05, PRDE,actvstrat=,-0.349731, actvprof=,2.230740, id=,S06, PRDE,actvstrat=,0.611142, actvprof=,7.517742, id=,S07, PRDE,actvstrat=,0.136944, actvprof=,5.124509, id=,S08, PRDE,actvstrat=,0.421479, actvprof=,6.093357, id=,S09, PRDE,actvstrat=,0.661238, actvprof=,7.651626, best_B_id=,B01, best_B_prof=,4.233712, best_B_strat=,-0.787349, best_S_id=,S02, best_S_prof=,8.738247, best_S_strat=,0.841141, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.679448, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.345251, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.041068, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.195247, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.285255, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.662928, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.281660, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.655318, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.146750, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.261468, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.766451, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.585085, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.123439, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.508161, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.261590, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.498566, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.602067, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.665118, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.307425, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.427728, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.679448, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.766451, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.679448, actvprof=,4.950069, id=,B01, PRDE,actvstrat=,-0.345251, actvprof=,4.236726, id=,B02, PRDE,actvstrat=,0.041068, actvprof=,4.055890, id=,B03, PRDE,actvstrat=,-0.195247, actvprof=,4.118668, id=,B04, PRDE,actvstrat=,-0.285255, actvprof=,4.078946, id=,B05, PRDE,actvstrat=,0.662928, actvprof=,4.288671, id=,B06, PRDE,actvstrat=,-0.281660, actvprof=,3.975889, id=,B07, PRDE,actvstrat=,-0.655318, actvprof=,4.530341, id=,B08, PRDE,actvstrat=,-0.146750, actvprof=,4.299504, id=,B09, PRDE,actvstrat=,0.261468, actvprof=,4.235892, id=,S00, PRDE,actvstrat=,0.766451, actvprof=,7.020653, id=,S01, PRDE,actvstrat=,0.585085, actvprof=,5.928138, id=,S02, PRDE,actvstrat=,-0.123439, actvprof=,2.758094, id=,S03, PRDE,actvstrat=,0.508161, actvprof=,5.935082, id=,S04, PRDE,actvstrat=,0.261590, actvprof=,4.783678, id=,S05, PRDE,actvstrat=,0.498566, actvprof=,5.823136, id=,S06, PRDE,actvstrat=,0.602067, actvprof=,5.982028, id=,S07, PRDE,actvstrat=,0.665118, actvprof=,6.612036, id=,S08, PRDE,actvstrat=,0.307425, actvprof=,4.962291, id=,S09, PRDE,actvstrat=,0.427728, actvprof=,5.381186, best_B_id=,B00, best_B_prof=,4.950069, best_B_strat=,-0.679448, best_S_id=,S00, best_S_prof=,7.020653, best_S_strat=,0.766451, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.770707, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.941440, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.750816, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.096225, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.914582, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.529667, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.121127, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.459414, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.923845, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.196493, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.991653, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.599282, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.381931, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.039259, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.793138, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.562402, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.502442, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.394368, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.421479, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.634937, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.770707, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.991653, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.770707, actvprof=,1.944302, id=,B01, PRDE,actvstrat=,0.941440, actvprof=,1.542329, id=,B02, PRDE,actvstrat=,-0.750816, actvprof=,1.901799, id=,B03, PRDE,actvstrat=,0.096225, actvprof=,1.779568, id=,B04, PRDE,actvstrat=,-0.914582, actvprof=,2.772415, id=,B05, PRDE,actvstrat=,0.529667, actvprof=,2.143204, id=,B06, PRDE,actvstrat=,-0.121127, actvprof=,1.525384, id=,B07, PRDE,actvstrat=,-0.459414, actvprof=,1.667894, id=,B08, PRDE,actvstrat=,0.923845, actvprof=,1.679005, id=,B09, PRDE,actvstrat=,-0.196493, actvprof=,1.460379, id=,S00, PRDE,actvstrat=,-0.991653, actvprof=,2.717967, id=,S01, PRDE,actvstrat=,-0.599282, actvprof=,3.031877, id=,S02, PRDE,actvstrat=,0.381931, actvprof=,7.494132, id=,S03, PRDE,actvstrat=,0.039259, actvprof=,6.669630, id=,S04, PRDE,actvstrat=,-0.793138, actvprof=,1.634002, id=,S05, PRDE,actvstrat=,-0.562402, actvprof=,2.635183, id=,S06, PRDE,actvstrat=,0.502442, actvprof=,8.215015, id=,S07, PRDE,actvstrat=,0.394368, actvprof=,7.724148, id=,S08, PRDE,actvstrat=,0.421479, actvprof=,8.093618, id=,S09, PRDE,actvstrat=,0.634937, actvprof=,9.395652, best_B_id=,B04, best_B_prof=,2.772415, best_B_strat=,-0.914582, best_S_id=,S09, best_S_prof=,9.395652, best_S_strat=,0.634937, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.770707, actvprof=,2.122018, id=,B01, PRDE,actvstrat=,0.941440, actvprof=,1.586861, id=,B02, PRDE,actvstrat=,-0.750816, actvprof=,2.050071, id=,B03, PRDE,actvstrat=,0.096225, actvprof=,1.715893, id=,B04, PRDE,actvstrat=,-0.914582, actvprof=,2.793708, id=,B05, PRDE,actvstrat=,0.529667, actvprof=,2.164381, id=,B06, PRDE,actvstrat=,-0.121127, actvprof=,1.499913, id=,B07, PRDE,actvstrat=,-0.459414, actvprof=,1.717421, id=,B08, PRDE,actvstrat=,0.923845, actvprof=,1.679503, id=,B09, PRDE,actvstrat=,-0.196493, actvprof=,1.471579, id=,S00, PRDE,actvstrat=,-0.991653, actvprof=,2.786208, id=,S01, PRDE,actvstrat=,-0.599282, actvprof=,2.942741, id=,S02, PRDE,actvstrat=,0.381931, actvprof=,7.588319, id=,S03, PRDE,actvstrat=,0.039259, actvprof=,6.416334, id=,S04, PRDE,actvstrat=,-0.793138, actvprof=,1.625334, id=,S05, PRDE,actvstrat=,-0.562402, actvprof=,2.718567, id=,S06, PRDE,actvstrat=,0.502442, actvprof=,8.376680, id=,S07, PRDE,actvstrat=,0.394368, actvprof=,7.840133, id=,S08, PRDE,actvstrat=,0.421479, actvprof=,8.019028, id=,S09, PRDE,actvstrat=,0.634937, actvprof=,9.387965, best_B_id=,B04, best_B_prof=,2.793708, best_B_strat=,-0.914582, best_S_id=,S09, best_S_prof=,9.387965, best_S_strat=,0.634937, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.770707, actvprof=,3.360233, id=,B01, PRDE,actvstrat=,0.338554, actvprof=,2.657129, id=,B02, PRDE,actvstrat=,-0.768711, actvprof=,3.254948, id=,B03, PRDE,actvstrat=,0.947680, actvprof=,1.583721, id=,B04, PRDE,actvstrat=,0.950979, actvprof=,1.702063, id=,B05, PRDE,actvstrat=,0.013481, actvprof=,2.489617, id=,B06, PRDE,actvstrat=,-0.272685, actvprof=,2.412668, id=,B07, PRDE,actvstrat=,0.165849, actvprof=,2.262657, id=,B08, PRDE,actvstrat=,-0.146750, actvprof=,2.249878, id=,B09, PRDE,actvstrat=,0.351868, actvprof=,2.877144, id=,S00, PRDE,actvstrat=,0.802466, actvprof=,10.090423, id=,S01, PRDE,actvstrat=,0.612592, actvprof=,8.948121, id=,S02, PRDE,actvstrat=,0.582557, actvprof=,8.743941, id=,S03, PRDE,actvstrat=,0.745240, actvprof=,9.558997, id=,S04, PRDE,actvstrat=,-0.867041, actvprof=,0.779499, id=,S05, PRDE,actvstrat=,0.006345, actvprof=,5.808459, id=,S06, PRDE,actvstrat=,0.288326, actvprof=,6.697410, id=,S07, PRDE,actvstrat=,0.136944, actvprof=,5.782068, id=,S08, PRDE,actvstrat=,-0.513351, actvprof=,3.210501, id=,S09, PRDE,actvstrat=,0.127977, actvprof=,5.892354, best_B_id=,B00, best_B_prof=,3.360233, best_B_strat=,-0.770707, best_S_id=,S00, best_S_prof=,10.090423, best_S_strat=,0.802466, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.770707, actvprof=,3.330833, id=,B01, PRDE,actvstrat=,0.338554, actvprof=,2.647749, id=,B02, PRDE,actvstrat=,-0.768711, actvprof=,3.295693, id=,B03, PRDE,actvstrat=,0.947680, actvprof=,1.589927, id=,B04, PRDE,actvstrat=,0.950979, actvprof=,1.632568, id=,B05, PRDE,actvstrat=,0.013481, actvprof=,2.349542, id=,B06, PRDE,actvstrat=,-0.272685, actvprof=,2.305096, id=,B07, PRDE,actvstrat=,0.165849, actvprof=,2.345931, id=,B08, PRDE,actvstrat=,-0.146750, actvprof=,2.366487, id=,B09, PRDE,actvstrat=,0.351868, actvprof=,2.755948, id=,S00, PRDE,actvstrat=,0.802466, actvprof=,9.994166, id=,S01, PRDE,actvstrat=,0.612592, actvprof=,8.781477, id=,S02, PRDE,actvstrat=,0.582557, actvprof=,8.636332, id=,S03, PRDE,actvstrat=,0.745240, actvprof=,9.566093, id=,S04, PRDE,actvstrat=,-0.867041, actvprof=,0.754059, id=,S05, PRDE,actvstrat=,0.006345, actvprof=,5.874689, id=,S06, PRDE,actvstrat=,0.288326, actvprof=,7.013348, id=,S07, PRDE,actvstrat=,0.136944, actvprof=,6.044835, id=,S08, PRDE,actvstrat=,-0.513351, actvprof=,3.113880, id=,S09, PRDE,actvstrat=,0.127977, actvprof=,6.127339, best_B_id=,B00, best_B_prof=,3.330833, best_B_strat=,-0.770707, best_S_id=,S00, best_S_prof=,9.994166, best_S_strat=,0.802466, 
