t=,3600, id=,B00, PRDE,actvstrat=,-0.428165, actvprof=,1.129444, id=,B01, PRDE,actvstrat=,-0.292943, actvprof=,1.015000, id=,B02, PRDE,actvstrat=,0.942553, actvprof=,1.295000, id=,B03, PRDE,actvstrat=,-0.855388, actvprof=,1.961944, id=,B04, PRDE,actvstrat=,0.539149, actvprof=,1.504167, id=,B05, PRDE,actvstrat=,0.791434, actvprof=,1.771944, id=,B06, PRDE,actvstrat=,0.229974, actvprof=,1.328889, id=,B07, PRDE,actvstrat=,0.046652, actvprof=,1.236944, id=,B08, PRDE,actvstrat=,0.664508, actvprof=,1.724722, id=,B09, PRDE,actvstrat=,-0.241928, actvprof=,0.958333, id=,S00, PRDE,actvstrat=,0.241104, actvprof=,7.574722, id=,S01, PRDE,actvstrat=,-0.414707, actvprof=,3.725278, id=,S02, PRDE,actvstrat=,-0.670378, actvprof=,2.607222, id=,S03, PRDE,actvstrat=,-0.072074, actvprof=,5.731389, id=,S04, PRDE,actvstrat=,-0.122775, actvprof=,4.742778, id=,S05, PRDE,actvstrat=,-0.990826, actvprof=,2.504167, id=,S06, PRDE,actvstrat=,0.702181, actvprof=,10.332222, id=,S07, PRDE,actvstrat=,0.644555, actvprof=,9.887222, id=,S08, PRDE,actvstrat=,-0.077880, actvprof=,5.689167, id=,S09, PRDE,actvstrat=,-0.753616, actvprof=,2.146111, best_B_id=,B03, best_B_prof=,1.961944, best_B_strat=,-0.855388, best_S_id=,S06, best_S_prof=,10.332222, best_S_strat=,0.702181, 
t=,7200, id=,B00, PRDE,actvstrat=,0.909045, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.995336, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.343514, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.863942, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.725504, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.606948, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.094699, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.846291, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.249567, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.467256, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.008585, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.911399, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.258517, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.775195, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.718594, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.461015, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.434118, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.834353, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.731746, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.232575, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.909045, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.008585, 
t=,10800, id=,B00, PRDE,actvstrat=,0.909045, actvprof=,1.344963, id=,B01, PRDE,actvstrat=,0.995336, actvprof=,0.490820, id=,B02, PRDE,actvstrat=,-0.343514, actvprof=,1.051082, id=,B03, PRDE,actvstrat=,0.863942, actvprof=,1.538291, id=,B04, PRDE,actvstrat=,-0.725504, actvprof=,1.623288, id=,B05, PRDE,actvstrat=,-0.606948, actvprof=,1.361629, id=,B06, PRDE,actvstrat=,-0.094699, actvprof=,1.194133, id=,B07, PRDE,actvstrat=,0.846291, actvprof=,1.608289, id=,B08, PRDE,actvstrat=,0.249567, actvprof=,1.489125, id=,B09, PRDE,actvstrat=,0.467256, actvprof=,1.555235, id=,S00, PRDE,actvstrat=,-0.008585, actvprof=,6.914808, id=,S01, PRDE,actvstrat=,0.911399, actvprof=,12.089664, id=,S02, PRDE,actvstrat=,-0.258517, actvprof=,4.395433, id=,S03, PRDE,actvstrat=,0.775195, actvprof=,11.497458, id=,S04, PRDE,actvstrat=,0.718594, actvprof=,11.128302, id=,S05, PRDE,actvstrat=,-0.461015, actvprof=,3.806561, id=,S06, PRDE,actvstrat=,-0.434118, actvprof=,3.784062, id=,S07, PRDE,actvstrat=,-0.834353, actvprof=,1.282187, id=,S08, PRDE,actvstrat=,-0.731746, actvprof=,2.262715, id=,S09, PRDE,actvstrat=,0.232575, actvprof=,7.935335, best_B_id=,B04, best_B_prof=,1.623288, best_B_strat=,-0.725504, best_S_id=,S01, best_S_prof=,12.089664, best_S_strat=,0.911399, 
t=,14400, id=,B00, PRDE,actvstrat=,0.613251, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.672305, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.687150, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.755763, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.806029, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.545867, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.849397, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.185836, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.336637, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.049761, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.149770, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.547156, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.289100, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.447999, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.708515, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.018359, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.689248, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.339505, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.375999, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.350105, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.613251, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.149770, 
t=,18000, id=,B00, PRDE,actvstrat=,0.613251, actvprof=,1.445576, id=,B01, PRDE,actvstrat=,0.672305, actvprof=,1.618634, id=,B02, PRDE,actvstrat=,-0.687150, actvprof=,1.221684, id=,B03, PRDE,actvstrat=,0.755763, actvprof=,1.572522, id=,B04, PRDE,actvstrat=,-0.806029, actvprof=,1.640301, id=,B05, PRDE,actvstrat=,0.545867, actvprof=,1.493076, id=,B06, PRDE,actvstrat=,-0.849397, actvprof=,1.726413, id=,B07, PRDE,actvstrat=,-0.185836, actvprof=,0.896124, id=,B08, PRDE,actvstrat=,0.336637, actvprof=,1.311407, id=,B09, PRDE,actvstrat=,-0.049761, actvprof=,0.955013, id=,S00, PRDE,actvstrat=,-0.149770, actvprof=,4.543396, id=,S01, PRDE,actvstrat=,0.547156, actvprof=,8.822623, id=,S02, PRDE,actvstrat=,0.289100, actvprof=,7.505104, id=,S03, PRDE,actvstrat=,-0.447999, actvprof=,3.235600, id=,S04, PRDE,actvstrat=,-0.708515, actvprof=,2.511979, id=,S05, PRDE,actvstrat=,0.018359, actvprof=,6.337310, id=,S06, PRDE,actvstrat=,-0.689248, actvprof=,3.001431, id=,S07, PRDE,actvstrat=,-0.339505, actvprof=,3.535049, id=,S08, PRDE,actvstrat=,-0.375999, actvprof=,3.211156, id=,S09, PRDE,actvstrat=,0.350105, actvprof=,7.927610, best_B_id=,B06, best_B_prof=,1.726413, best_B_strat=,-0.849397, best_S_id=,S01, best_S_prof=,8.822623, best_S_strat=,0.547156, 
t=,21600, id=,B00, PRDE,actvstrat=,0.613251, actvprof=,1.520566, id=,B01, PRDE,actvstrat=,0.672305, actvprof=,1.630845, id=,B02, PRDE,actvstrat=,-0.687150, actvprof=,1.135980, id=,B03, PRDE,actvstrat=,0.755763, actvprof=,1.592233, id=,B04, PRDE,actvstrat=,-0.806029, actvprof=,1.613206, id=,B05, PRDE,actvstrat=,0.545867, actvprof=,1.489733, id=,B06, PRDE,actvstrat=,-0.849397, actvprof=,1.773485, id=,B07, PRDE,actvstrat=,-0.185836, actvprof=,0.872506, id=,B08, PRDE,actvstrat=,0.336637, actvprof=,1.336537, id=,B09, PRDE,actvstrat=,-0.049761, actvprof=,1.000563, id=,S00, PRDE,actvstrat=,-0.149770, actvprof=,4.656560, id=,S01, PRDE,actvstrat=,0.547156, actvprof=,9.236036, id=,S02, PRDE,actvstrat=,0.289100, actvprof=,7.320190, id=,S03, PRDE,actvstrat=,-0.447999, actvprof=,3.335995, id=,S04, PRDE,actvstrat=,-0.708515, actvprof=,2.527795, id=,S05, PRDE,actvstrat=,0.018359, actvprof=,6.412406, id=,S06, PRDE,actvstrat=,-0.689248, actvprof=,2.686963, id=,S07, PRDE,actvstrat=,-0.339505, actvprof=,3.490580, id=,S08, PRDE,actvstrat=,-0.375999, actvprof=,3.363773, id=,S09, PRDE,actvstrat=,0.350105, actvprof=,7.826721, best_B_id=,B06, best_B_prof=,1.773485, best_B_strat=,-0.849397, best_S_id=,S01, best_S_prof=,9.236036, best_S_strat=,0.547156, 
t=,25200, id=,B00, PRDE,actvstrat=,0.926308, actvprof=,1.595322, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,1.187533, id=,B02, PRDE,actvstrat=,-0.357437, actvprof=,1.821995, id=,B03, PRDE,actvstrat=,0.456545, actvprof=,2.359232, id=,B04, PRDE,actvstrat=,-0.122870, actvprof=,1.671713, id=,B05, PRDE,actvstrat=,0.864607, actvprof=,2.038946, id=,B06, PRDE,actvstrat=,-0.308970, actvprof=,1.547543, id=,B07, PRDE,actvstrat=,0.915715, actvprof=,1.690047, id=,B08, PRDE,actvstrat=,0.309127, actvprof=,2.335898, id=,B09, PRDE,actvstrat=,0.206296, actvprof=,1.943943, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.464874, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.857940, id=,S02, PRDE,actvstrat=,-0.028178, actvprof=,6.059057, id=,S03, PRDE,actvstrat=,0.469268, actvprof=,9.001917, id=,S04, PRDE,actvstrat=,-0.635063, actvprof=,3.749271, id=,S05, PRDE,actvstrat=,-0.561113, actvprof=,3.563432, id=,S06, PRDE,actvstrat=,0.500466, actvprof=,8.924415, id=,S07, PRDE,actvstrat=,0.441753, actvprof=,8.911914, id=,S08, PRDE,actvstrat=,0.834172, actvprof=,11.195867, id=,S09, PRDE,actvstrat=,0.727227, actvprof=,10.792800, best_B_id=,B03, best_B_prof=,2.359232, best_B_strat=,0.456545, best_S_id=,S08, best_S_prof=,11.195867, best_S_strat=,0.834172, 
t=,28800, id=,B00, PRDE,actvstrat=,0.926308, actvprof=,1.701690, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,1.083209, id=,B02, PRDE,actvstrat=,-0.357437, actvprof=,1.729607, id=,B03, PRDE,actvstrat=,0.456545, actvprof=,2.374755, id=,B04, PRDE,actvstrat=,-0.122870, actvprof=,1.730163, id=,B05, PRDE,actvstrat=,0.864607, actvprof=,2.096418, id=,B06, PRDE,actvstrat=,-0.308970, actvprof=,1.639467, id=,B07, PRDE,actvstrat=,0.915715, actvprof=,1.703357, id=,B08, PRDE,actvstrat=,0.309127, actvprof=,2.240170, id=,B09, PRDE,actvstrat=,0.206296, actvprof=,2.031000, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.585633, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.753135, id=,S02, PRDE,actvstrat=,-0.028178, actvprof=,6.152724, id=,S03, PRDE,actvstrat=,0.469268, actvprof=,9.073320, id=,S04, PRDE,actvstrat=,-0.635063, actvprof=,3.535188, id=,S05, PRDE,actvstrat=,-0.561113, actvprof=,3.582689, id=,S06, PRDE,actvstrat=,0.500466, actvprof=,8.971375, id=,S07, PRDE,actvstrat=,0.441753, actvprof=,8.787622, id=,S08, PRDE,actvstrat=,0.834172, actvprof=,11.260156, id=,S09, PRDE,actvstrat=,0.727227, actvprof=,10.669593, best_B_id=,B03, best_B_prof=,2.374755, best_B_strat=,0.456545, best_S_id=,S08, best_S_prof=,11.260156, best_S_strat=,0.834172, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.231207, actvprof=,0.625321, id=,B01, PRDE,actvstrat=,0.307221, actvprof=,0.990624, id=,B02, PRDE,actvstrat=,-0.039219, actvprof=,0.771720, id=,B03, PRDE,actvstrat=,0.742596, actvprof=,1.392041, id=,B04, PRDE,actvstrat=,-0.402627, actvprof=,0.723661, id=,B05, PRDE,actvstrat=,-0.858675, actvprof=,1.511772, id=,B06, PRDE,actvstrat=,-0.765750, actvprof=,1.189805, id=,B07, PRDE,actvstrat=,0.881162, actvprof=,1.185638, id=,B08, PRDE,actvstrat=,0.249567, actvprof=,0.885339, id=,B09, PRDE,actvstrat=,0.979404, actvprof=,0.646434, id=,S00, PRDE,actvstrat=,-0.556099, actvprof=,3.840822, id=,S01, PRDE,actvstrat=,0.036436, actvprof=,7.414959, id=,S02, PRDE,actvstrat=,-0.699395, actvprof=,3.322731, id=,S03, PRDE,actvstrat=,0.775195, actvprof=,11.428016, id=,S04, PRDE,actvstrat=,0.753547, actvprof=,11.543857, id=,S05, PRDE,actvstrat=,-0.862627, actvprof=,0.958122, id=,S06, PRDE,actvstrat=,-0.891864, actvprof=,0.539760, id=,S07, PRDE,actvstrat=,-0.976483, actvprof=,0.937843, id=,S08, PRDE,actvstrat=,-0.832167, actvprof=,1.353150, id=,S09, PRDE,actvstrat=,0.477458, actvprof=,9.609278, best_B_id=,B05, best_B_prof=,1.511772, best_B_strat=,-0.858675, best_S_id=,S04, best_S_prof=,11.543857, best_S_strat=,0.753547, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.231207, actvprof=,0.664051, id=,B01, PRDE,actvstrat=,0.307221, actvprof=,0.967950, id=,B02, PRDE,actvstrat=,-0.039219, actvprof=,0.699052, id=,B03, PRDE,actvstrat=,0.742596, actvprof=,1.379353, id=,B04, PRDE,actvstrat=,-0.402627, actvprof=,0.656967, id=,B05, PRDE,actvstrat=,-0.858675, actvprof=,1.494496, id=,B06, PRDE,actvstrat=,-0.765750, actvprof=,1.190041, id=,B07, PRDE,actvstrat=,0.881162, actvprof=,1.191708, id=,B08, PRDE,actvstrat=,0.249567, actvprof=,0.867252, id=,B09, PRDE,actvstrat=,0.979404, actvprof=,0.610299, id=,S00, PRDE,actvstrat=,-0.556099, actvprof=,3.799021, id=,S01, PRDE,actvstrat=,0.036436, actvprof=,7.261085, id=,S02, PRDE,actvstrat=,-0.699395, actvprof=,3.097052, id=,S03, PRDE,actvstrat=,0.775195, actvprof=,11.427619, id=,S04, PRDE,actvstrat=,0.753547, actvprof=,11.412618, id=,S05, PRDE,actvstrat=,-0.862627, actvprof=,0.974339, id=,S06, PRDE,actvstrat=,-0.891864, actvprof=,0.431682, id=,S07, PRDE,actvstrat=,-0.976483, actvprof=,0.968367, id=,S08, PRDE,actvstrat=,-0.832167, actvprof=,1.443245, id=,S09, PRDE,actvstrat=,0.477458, actvprof=,9.532553, best_B_id=,B05, best_B_prof=,1.494496, best_B_strat=,-0.858675, best_S_id=,S03, best_S_prof=,11.427619, best_S_strat=,0.775195, 
t=,39600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.911743, id=,B01, PRDE,actvstrat=,0.811189, actvprof=,2.290746, id=,B02, PRDE,actvstrat=,0.476962, actvprof=,2.312693, id=,B03, PRDE,actvstrat=,-0.107362, actvprof=,2.119621, id=,B04, PRDE,actvstrat=,-0.250510, actvprof=,1.761813, id=,B05, PRDE,actvstrat=,0.307387, actvprof=,2.097675, id=,B06, PRDE,actvstrat=,0.824262, actvprof=,2.320193, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.993694, id=,B08, PRDE,actvstrat=,0.148194, actvprof=,2.037670, id=,B09, PRDE,actvstrat=,0.269288, actvprof=,2.128789, id=,S00, PRDE,actvstrat=,0.098398, actvprof=,7.315610, id=,S01, PRDE,actvstrat=,0.292487, actvprof=,7.880101, id=,S02, PRDE,actvstrat=,0.140018, actvprof=,7.474790, id=,S03, PRDE,actvstrat=,-0.977440, actvprof=,1.734311, id=,S04, PRDE,actvstrat=,-0.048715, actvprof=,6.043837, id=,S05, PRDE,actvstrat=,0.183017, actvprof=,7.460900, id=,S06, PRDE,actvstrat=,0.158109, actvprof=,7.412840, id=,S07, PRDE,actvstrat=,0.804982, actvprof=,11.299831, id=,S08, PRDE,actvstrat=,-0.016203, actvprof=,6.661388, id=,S09, PRDE,actvstrat=,0.972169, actvprof=,11.771814, best_B_id=,B06, best_B_prof=,2.320193, best_B_strat=,0.824262, best_S_id=,S09, best_S_prof=,11.771814, best_S_strat=,0.972169, 
