t=,0, id=,B00, PRDE,actvstrat=,0.774579, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.472427, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.341772, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.839431, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.863053, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.877033, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.645543, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.599496, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.228417, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.293233, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.102163, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.129219, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.631419, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.170671, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.693336, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.526603, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.901659, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.132289, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.675244, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.167194, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.774579, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.102163, 
t=,3600, id=,B00, PRDE,actvstrat=,0.774579, actvprof=,2.926667, id=,B01, PRDE,actvstrat=,0.472427, actvprof=,3.352222, id=,B02, PRDE,actvstrat=,0.341772, actvprof=,3.059722, id=,B03, PRDE,actvstrat=,0.839431, actvprof=,2.903611, id=,B04, PRDE,actvstrat=,0.863053, actvprof=,2.681944, id=,B05, PRDE,actvstrat=,-0.877033, actvprof=,4.134722, id=,B06, PRDE,actvstrat=,-0.645543, actvprof=,3.276667, id=,B07, PRDE,actvstrat=,-0.599496, actvprof=,3.045833, id=,B08, PRDE,actvstrat=,-0.228417, actvprof=,2.627222, id=,B09, PRDE,actvstrat=,-0.293233, actvprof=,2.715833, id=,S00, PRDE,actvstrat=,0.102163, actvprof=,6.857222, id=,S01, PRDE,actvstrat=,-0.129219, actvprof=,5.629444, id=,S02, PRDE,actvstrat=,-0.631419, actvprof=,3.982500, id=,S03, PRDE,actvstrat=,0.170671, actvprof=,7.309444, id=,S04, PRDE,actvstrat=,0.693336, actvprof=,9.322778, id=,S05, PRDE,actvstrat=,-0.526603, actvprof=,4.299722, id=,S06, PRDE,actvstrat=,0.901659, actvprof=,9.463889, id=,S07, PRDE,actvstrat=,0.132289, actvprof=,7.119722, id=,S08, PRDE,actvstrat=,0.675244, actvprof=,9.522500, id=,S09, PRDE,actvstrat=,-0.167194, actvprof=,5.546111, best_B_id=,B05, best_B_prof=,4.134722, best_B_strat=,-0.877033, best_S_id=,S08, best_S_prof=,9.522500, best_S_strat=,0.675244, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.247052, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.830114, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.384376, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.931186, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.568225, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.700786, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.836504, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.870220, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.081656, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.288681, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.298150, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.826666, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.160513, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.832434, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.664447, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.628383, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.958830, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.324460, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.121552, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.994753, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.247052, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.298150, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.247052, actvprof=,1.030819, id=,B01, PRDE,actvstrat=,-0.830114, actvprof=,1.630533, id=,B02, PRDE,actvstrat=,-0.384376, actvprof=,0.885821, id=,B03, PRDE,actvstrat=,0.931186, actvprof=,1.584145, id=,B04, PRDE,actvstrat=,0.568225, actvprof=,1.663588, id=,B05, PRDE,actvstrat=,-0.700786, actvprof=,1.343592, id=,B06, PRDE,actvstrat=,0.836504, actvprof=,1.766920, id=,B07, PRDE,actvstrat=,-0.870220, actvprof=,1.905529, id=,B08, PRDE,actvstrat=,-0.081656, actvprof=,1.248594, id=,B09, PRDE,actvstrat=,-0.288681, actvprof=,0.915543, id=,S00, PRDE,actvstrat=,0.298150, actvprof=,7.248510, id=,S01, PRDE,actvstrat=,-0.826666, actvprof=,1.541090, id=,S02, PRDE,actvstrat=,0.160513, actvprof=,7.041847, id=,S03, PRDE,actvstrat=,-0.832434, actvprof=,1.286649, id=,S04, PRDE,actvstrat=,0.664447, actvprof=,9.837919, id=,S05, PRDE,actvstrat=,-0.628383, actvprof=,3.244399, id=,S06, PRDE,actvstrat=,-0.958830, actvprof=,0.853877, id=,S07, PRDE,actvstrat=,0.324460, actvprof=,7.997111, id=,S08, PRDE,actvstrat=,-0.121552, actvprof=,5.262427, id=,S09, PRDE,actvstrat=,-0.994753, actvprof=,3.332454, best_B_id=,B07, best_B_prof=,1.905529, best_B_strat=,-0.870220, best_S_id=,S04, best_S_prof=,9.837919, best_S_strat=,0.664447, 
t=,14400, id=,B00, PRDE,actvstrat=,0.746704, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.161850, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.341772, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.311811, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.546325, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.958181, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.756375, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.599395, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.579446, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.429913, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.597717, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.637002, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.694027, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.647983, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.159894, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.323721, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.351595, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.188252, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.656989, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.770177, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.746704, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.597717, 
t=,18000, id=,B00, PRDE,actvstrat=,0.746704, actvprof=,2.179752, id=,B01, PRDE,actvstrat=,-0.161850, actvprof=,1.305851, id=,B02, PRDE,actvstrat=,0.341772, actvprof=,1.797247, id=,B03, PRDE,actvstrat=,-0.311811, actvprof=,1.227795, id=,B04, PRDE,actvstrat=,0.546325, actvprof=,1.885026, id=,B05, PRDE,actvstrat=,0.958181, actvprof=,1.181128, id=,B06, PRDE,actvstrat=,-0.756375, actvprof=,2.201975, id=,B07, PRDE,actvstrat=,0.599395, actvprof=,1.890304, id=,B08, PRDE,actvstrat=,-0.579446, actvprof=,1.391408, id=,B09, PRDE,actvstrat=,-0.429913, actvprof=,1.292796, id=,S00, PRDE,actvstrat=,-0.597717, actvprof=,3.445326, id=,S01, PRDE,actvstrat=,-0.637002, actvprof=,3.520327, id=,S02, PRDE,actvstrat=,-0.694027, actvprof=,3.175044, id=,S03, PRDE,actvstrat=,-0.647983, actvprof=,3.395325, id=,S04, PRDE,actvstrat=,0.159894, actvprof=,7.459270, id=,S05, PRDE,actvstrat=,-0.323721, actvprof=,4.381450, id=,S06, PRDE,actvstrat=,-0.351595, actvprof=,3.769219, id=,S07, PRDE,actvstrat=,0.188252, actvprof=,7.288157, id=,S08, PRDE,actvstrat=,0.656989, actvprof=,9.738469, id=,S09, PRDE,actvstrat=,0.770177, actvprof=,10.608481, best_B_id=,B06, best_B_prof=,2.201975, best_B_strat=,-0.756375, best_S_id=,S09, best_S_prof=,10.608481, best_S_strat=,0.770177, 
t=,21600, id=,B00, PRDE,actvstrat=,0.746704, actvprof=,2.104444, id=,B01, PRDE,actvstrat=,-0.161850, actvprof=,1.404722, id=,B02, PRDE,actvstrat=,0.341772, actvprof=,1.726806, id=,B03, PRDE,actvstrat=,-0.311811, actvprof=,1.257500, id=,B04, PRDE,actvstrat=,0.546325, actvprof=,1.891111, id=,B05, PRDE,actvstrat=,0.958181, actvprof=,1.162500, id=,B06, PRDE,actvstrat=,-0.756375, actvprof=,2.024861, id=,B07, PRDE,actvstrat=,0.599395, actvprof=,1.904444, id=,B08, PRDE,actvstrat=,-0.579446, actvprof=,1.399583, id=,B09, PRDE,actvstrat=,-0.429913, actvprof=,1.395694, id=,S00, PRDE,actvstrat=,-0.597717, actvprof=,3.451528, id=,S01, PRDE,actvstrat=,-0.637002, actvprof=,3.476806, id=,S02, PRDE,actvstrat=,-0.694027, actvprof=,3.055972, id=,S03, PRDE,actvstrat=,-0.647983, actvprof=,3.313611, id=,S04, PRDE,actvstrat=,0.159894, actvprof=,7.266111, id=,S05, PRDE,actvstrat=,-0.323721, actvprof=,4.208750, id=,S06, PRDE,actvstrat=,-0.351595, actvprof=,3.960000, id=,S07, PRDE,actvstrat=,0.188252, actvprof=,7.337917, id=,S08, PRDE,actvstrat=,0.656989, actvprof=,9.705972, id=,S09, PRDE,actvstrat=,0.770177, actvprof=,10.640556, best_B_id=,B00, best_B_prof=,2.104444, best_B_strat=,0.746704, best_S_id=,S09, best_S_prof=,10.640556, best_S_strat=,0.770177, 
t=,25200, id=,B00, PRDE,actvstrat=,0.894650, actvprof=,2.419234, id=,B01, PRDE,actvstrat=,-0.397126, actvprof=,2.401733, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,1.312259, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,3.013417, id=,B04, PRDE,actvstrat=,-0.601453, actvprof=,3.118698, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.968694, id=,B06, PRDE,actvstrat=,0.434633, actvprof=,2.893691, id=,B07, PRDE,actvstrat=,0.149546, actvprof=,2.738965, id=,B08, PRDE,actvstrat=,-0.346219, actvprof=,2.987305, id=,B09, PRDE,actvstrat=,0.611194, actvprof=,2.836190, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.110281, id=,S01, PRDE,actvstrat=,0.625956, actvprof=,9.059696, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,10.143893, id=,S03, PRDE,actvstrat=,-0.871203, actvprof=,0.965582, id=,S04, PRDE,actvstrat=,0.786186, actvprof=,10.118059, id=,S05, PRDE,actvstrat=,-0.494958, actvprof=,3.294536, id=,S06, PRDE,actvstrat=,0.221449, actvprof=,6.972416, id=,S07, PRDE,actvstrat=,-0.516910, actvprof=,3.141198, id=,S08, PRDE,actvstrat=,0.524458, actvprof=,8.639962, id=,S09, PRDE,actvstrat=,0.733980, actvprof=,9.844718, best_B_id=,B04, best_B_prof=,3.118698, best_B_strat=,-0.601453, best_S_id=,S02, best_S_prof=,10.143893, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.894650, actvprof=,2.391128, id=,B01, PRDE,actvstrat=,-0.397126, actvprof=,2.393628, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,1.190980, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,3.010576, id=,B04, PRDE,actvstrat=,-0.601453, actvprof=,3.124883, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.970298, id=,B06, PRDE,actvstrat=,0.434633, actvprof=,2.904742, id=,B07, PRDE,actvstrat=,0.149546, actvprof=,2.579323, id=,B08, PRDE,actvstrat=,-0.346219, actvprof=,2.625296, id=,B09, PRDE,actvstrat=,0.611194, actvprof=,2.847936, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.346739, id=,S01, PRDE,actvstrat=,0.625956, actvprof=,9.176453, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,10.240210, id=,S03, PRDE,actvstrat=,-0.871203, actvprof=,0.837784, id=,S04, PRDE,actvstrat=,0.786186, actvprof=,10.199654, id=,S05, PRDE,actvstrat=,-0.494958, actvprof=,3.243911, id=,S06, PRDE,actvstrat=,0.221449, actvprof=,6.854214, id=,S07, PRDE,actvstrat=,-0.516910, actvprof=,2.940715, id=,S08, PRDE,actvstrat=,0.524458, actvprof=,8.609504, id=,S09, PRDE,actvstrat=,0.733980, actvprof=,9.979375, best_B_id=,B04, best_B_prof=,3.124883, best_B_strat=,-0.601453, best_S_id=,S00, best_S_prof=,10.346739, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.525399, actvprof=,1.685927, id=,B01, PRDE,actvstrat=,-0.054164, actvprof=,1.259792, id=,B02, PRDE,actvstrat=,-0.632053, actvprof=,1.407856, id=,B03, PRDE,actvstrat=,0.931186, actvprof=,1.454247, id=,B04, PRDE,actvstrat=,-0.423356, actvprof=,1.277293, id=,B05, PRDE,actvstrat=,-0.844412, actvprof=,1.794822, id=,B06, PRDE,actvstrat=,-0.277693, actvprof=,0.881438, id=,B07, PRDE,actvstrat=,-0.972007, actvprof=,2.161509, id=,B08, PRDE,actvstrat=,0.452796, actvprof=,1.678149, id=,B09, PRDE,actvstrat=,-0.293233, actvprof=,0.870882, id=,S00, PRDE,actvstrat=,0.298150, actvprof=,7.290961, id=,S01, PRDE,actvstrat=,-0.981553, actvprof=,1.616756, id=,S02, PRDE,actvstrat=,-0.323395, actvprof=,3.371021, id=,S03, PRDE,actvstrat=,-0.236161, actvprof=,3.924940, id=,S04, PRDE,actvstrat=,0.390071, actvprof=,7.862103, id=,S05, PRDE,actvstrat=,0.180046, actvprof=,6.618145, id=,S06, PRDE,actvstrat=,0.211817, actvprof=,7.269293, id=,S07, PRDE,actvstrat=,-0.710895, actvprof=,2.688760, id=,S08, PRDE,actvstrat=,-0.064831, actvprof=,5.101117, id=,S09, PRDE,actvstrat=,-0.498374, actvprof=,3.277404, best_B_id=,B07, best_B_prof=,2.161509, best_B_strat=,-0.972007, best_S_id=,S04, best_S_prof=,7.862103, best_S_strat=,0.390071, 
t=,36000, id=,B00, PRDE,actvstrat=,0.525399, actvprof=,1.605322, id=,B01, PRDE,actvstrat=,-0.054164, actvprof=,1.241146, id=,B02, PRDE,actvstrat=,-0.632053, actvprof=,1.336009, id=,B03, PRDE,actvstrat=,0.931186, actvprof=,1.446429, id=,B04, PRDE,actvstrat=,-0.423356, actvprof=,1.181283, id=,B05, PRDE,actvstrat=,-0.844412, actvprof=,1.805328, id=,B06, PRDE,actvstrat=,-0.277693, actvprof=,0.916692, id=,B07, PRDE,actvstrat=,-0.972007, actvprof=,2.152838, id=,B08, PRDE,actvstrat=,0.452796, actvprof=,1.663518, id=,B09, PRDE,actvstrat=,-0.293233, actvprof=,0.983361, id=,S00, PRDE,actvstrat=,0.298150, actvprof=,7.294092, id=,S01, PRDE,actvstrat=,-0.981553, actvprof=,1.503097, id=,S02, PRDE,actvstrat=,-0.323395, actvprof=,3.584822, id=,S03, PRDE,actvstrat=,-0.236161, actvprof=,3.781772, id=,S04, PRDE,actvstrat=,0.390071, actvprof=,7.903970, id=,S05, PRDE,actvstrat=,0.180046, actvprof=,6.674769, id=,S06, PRDE,actvstrat=,0.211817, actvprof=,6.809772, id=,S07, PRDE,actvstrat=,-0.710895, actvprof=,2.680213, id=,S08, PRDE,actvstrat=,-0.064831, actvprof=,5.240423, id=,S09, PRDE,actvstrat=,-0.498374, actvprof=,3.196894, best_B_id=,B07, best_B_prof=,2.152838, best_B_strat=,-0.972007, best_S_id=,S04, best_S_prof=,7.903970, best_S_strat=,0.390071, 
