t=,1, id=,B00, PRDE,actvstrat=,0.471463, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.489048, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.198759, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.723952, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.464059, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.820461, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.217835, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.421562, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.860710, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.451790, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.262771, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.213476, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.469205, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.815799, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.163297, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.410941, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.070095, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.148526, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.873425, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.357855, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.471463, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.262771, 
t=,3600, id=,B00, PRDE,actvstrat=,0.471463, actvprof=,1.961362, id=,B01, PRDE,actvstrat=,0.489048, actvprof=,1.939695, id=,B02, PRDE,actvstrat=,-0.198759, actvprof=,1.409703, id=,B03, PRDE,actvstrat=,-0.723952, actvprof=,1.958306, id=,B04, PRDE,actvstrat=,0.464059, actvprof=,1.826641, id=,B05, PRDE,actvstrat=,-0.820461, actvprof=,2.075805, id=,B06, PRDE,actvstrat=,0.217835, actvprof=,1.657755, id=,B07, PRDE,actvstrat=,0.421562, actvprof=,1.738865, id=,B08, PRDE,actvstrat=,0.860710, actvprof=,1.814975, id=,B09, PRDE,actvstrat=,0.451790, actvprof=,1.829419, id=,S00, PRDE,actvstrat=,-0.262771, actvprof=,4.827711, id=,S01, PRDE,actvstrat=,-0.213476, actvprof=,4.954098, id=,S02, PRDE,actvstrat=,0.469205, actvprof=,9.112096, id=,S03, PRDE,actvstrat=,0.815799, actvprof=,10.750128, id=,S04, PRDE,actvstrat=,-0.163297, actvprof=,5.597700, id=,S05, PRDE,actvstrat=,-0.410941, actvprof=,4.347440, id=,S06, PRDE,actvstrat=,-0.070095, actvprof=,5.862141, id=,S07, PRDE,actvstrat=,0.148526, actvprof=,7.644338, id=,S08, PRDE,actvstrat=,-0.873425, actvprof=,1.414425, id=,S09, PRDE,actvstrat=,-0.357855, actvprof=,4.387439, best_B_id=,B05, best_B_prof=,2.075805, best_B_strat=,-0.820461, best_S_id=,S03, best_S_prof=,10.750128, best_S_strat=,0.815799, 
t=,7200, id=,B00, PRDE,actvstrat=,0.894284, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.192212, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.844118, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.394527, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.821918, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.817750, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.947421, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.829742, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.492326, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.962424, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.528496, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.302868, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.679302, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.738486, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.890242, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.751766, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.533368, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.871832, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.216867, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.333492, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.894284, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.528496, 
t=,10800, id=,B00, PRDE,actvstrat=,0.894284, actvprof=,1.295833, id=,B01, PRDE,actvstrat=,0.192212, actvprof=,1.483056, id=,B02, PRDE,actvstrat=,0.844118, actvprof=,1.477778, id=,B03, PRDE,actvstrat=,-0.394527, actvprof=,1.236389, id=,B04, PRDE,actvstrat=,0.821918, actvprof=,1.681667, id=,B05, PRDE,actvstrat=,0.817750, actvprof=,1.695833, id=,B06, PRDE,actvstrat=,0.947421, actvprof=,1.003056, id=,B07, PRDE,actvstrat=,0.829742, actvprof=,1.636667, id=,B08, PRDE,actvstrat=,0.492326, actvprof=,1.606944, id=,B09, PRDE,actvstrat=,-0.962424, actvprof=,1.798889, id=,S00, PRDE,actvstrat=,-0.528496, actvprof=,3.868889, id=,S01, PRDE,actvstrat=,-0.302868, actvprof=,4.691111, id=,S02, PRDE,actvstrat=,0.679302, actvprof=,11.565556, id=,S03, PRDE,actvstrat=,0.738486, actvprof=,11.533333, id=,S04, PRDE,actvstrat=,0.890242, actvprof=,12.374167, id=,S05, PRDE,actvstrat=,0.751766, actvprof=,11.988333, id=,S06, PRDE,actvstrat=,-0.533368, actvprof=,3.978333, id=,S07, PRDE,actvstrat=,0.871832, actvprof=,12.462500, id=,S08, PRDE,actvstrat=,0.216867, actvprof=,8.224722, id=,S09, PRDE,actvstrat=,-0.333492, actvprof=,4.685833, best_B_id=,B09, best_B_prof=,1.798889, best_B_strat=,-0.962424, best_S_id=,S07, best_S_prof=,12.462500, best_S_strat=,0.871832, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.169803, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.192212, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.970689, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.062461, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.209197, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.191136, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.371498, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.164363, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.353117, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.962424, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.408546, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.824979, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.038693, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.651027, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.890242, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.563406, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.209488, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.871832, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.806314, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.434842, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.169803, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.408546, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.169803, actvprof=,3.613106, id=,B01, PRDE,actvstrat=,0.192212, actvprof=,3.403381, id=,B02, PRDE,actvstrat=,0.970689, actvprof=,2.216975, id=,B03, PRDE,actvstrat=,-0.062461, actvprof=,2.869207, id=,B04, PRDE,actvstrat=,0.209197, actvprof=,3.778108, id=,B05, PRDE,actvstrat=,-0.191136, actvprof=,3.407547, id=,B06, PRDE,actvstrat=,-0.371498, actvprof=,3.570327, id=,B07, PRDE,actvstrat=,-0.164363, actvprof=,3.362824, id=,B08, PRDE,actvstrat=,-0.353117, actvprof=,3.316157, id=,B09, PRDE,actvstrat=,-0.962424, actvprof=,3.721718, id=,S00, PRDE,actvstrat=,0.408546, actvprof=,5.914249, id=,S01, PRDE,actvstrat=,-0.824979, actvprof=,1.005570, id=,S02, PRDE,actvstrat=,0.038693, actvprof=,4.844790, id=,S03, PRDE,actvstrat=,0.651027, actvprof=,7.568438, id=,S04, PRDE,actvstrat=,0.890242, actvprof=,8.739288, id=,S05, PRDE,actvstrat=,0.563406, actvprof=,7.486771, id=,S06, PRDE,actvstrat=,-0.209488, actvprof=,3.094487, id=,S07, PRDE,actvstrat=,0.871832, actvprof=,8.765122, id=,S08, PRDE,actvstrat=,0.806314, actvprof=,8.560952, id=,S09, PRDE,actvstrat=,-0.434842, actvprof=,2.673370, best_B_id=,B04, best_B_prof=,3.778108, best_B_strat=,0.209197, best_S_id=,S07, best_S_prof=,8.765122, best_S_strat=,0.871832, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.169803, actvprof=,3.481135, id=,B01, PRDE,actvstrat=,0.192212, actvprof=,3.447663, id=,B02, PRDE,actvstrat=,0.970689, actvprof=,2.159182, id=,B03, PRDE,actvstrat=,-0.062461, actvprof=,3.138911, id=,B04, PRDE,actvstrat=,0.209197, actvprof=,3.713359, id=,B05, PRDE,actvstrat=,-0.191136, actvprof=,3.264884, id=,B06, PRDE,actvstrat=,-0.371498, actvprof=,3.440163, id=,B07, PRDE,actvstrat=,-0.164363, actvprof=,3.525719, id=,B08, PRDE,actvstrat=,-0.353117, actvprof=,3.421274, id=,B09, PRDE,actvstrat=,-0.962424, actvprof=,3.856138, id=,S00, PRDE,actvstrat=,0.408546, actvprof=,6.129904, id=,S01, PRDE,actvstrat=,-0.824979, actvprof=,0.995285, id=,S02, PRDE,actvstrat=,0.038693, actvprof=,4.946840, id=,S03, PRDE,actvstrat=,0.651027, actvprof=,7.670053, id=,S04, PRDE,actvstrat=,0.890242, actvprof=,8.698116, id=,S05, PRDE,actvstrat=,0.563406, actvprof=,7.407551, id=,S06, PRDE,actvstrat=,-0.209488, actvprof=,3.043216, id=,S07, PRDE,actvstrat=,0.871832, actvprof=,8.634227, id=,S08, PRDE,actvstrat=,0.806314, actvprof=,8.535754, id=,S09, PRDE,actvstrat=,-0.434842, actvprof=,2.624602, best_B_id=,B09, best_B_prof=,3.856138, best_B_strat=,-0.962424, best_S_id=,S04, best_S_prof=,8.698116, best_S_strat=,0.890242, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.036390, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.014723, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.036390, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.054725, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.022779, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.086948, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.045280, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.027779, id=,B08, PRDE,actvstrat=,0.448271, actvprof=,0.098893, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.032779, id=,S00, PRDE,actvstrat=,-0.196325, actvprof=,6.510271, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,15.095907, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.964332, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,4.635471, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,14.890343, id=,S05, PRDE,actvstrat=,-0.827405, actvprof=,1.863689, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,15.057572, id=,S07, PRDE,actvstrat=,-0.531424, actvprof=,4.797978, id=,S08, PRDE,actvstrat=,-0.340040, actvprof=,5.748573, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,15.071739, best_B_id=,B08, best_B_prof=,0.098893, best_B_strat=,0.448271, best_S_id=,S01, best_S_prof=,15.095907, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.024445, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.029167, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.066112, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.054584, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.017639, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.093474, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.032640, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.032362, id=,B08, PRDE,actvstrat=,0.448271, actvprof=,0.108752, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.061807, id=,S00, PRDE,actvstrat=,-0.196325, actvprof=,6.339854, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,15.038508, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.070085, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,4.411897, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,15.005313, id=,S05, PRDE,actvstrat=,-0.827405, actvprof=,1.896984, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,14.986562, id=,S07, PRDE,actvstrat=,-0.531424, actvprof=,4.871907, id=,S08, PRDE,actvstrat=,-0.340040, actvprof=,5.786371, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,14.951145, best_B_id=,B08, best_B_prof=,0.108752, best_B_strat=,0.448271, best_S_id=,S01, best_S_prof=,15.038508, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.169803, actvprof=,1.339797, id=,B01, PRDE,actvstrat=,-0.806770, actvprof=,2.390133, id=,B02, PRDE,actvstrat=,0.970689, actvprof=,0.992833, id=,B03, PRDE,actvstrat=,-0.062461, actvprof=,1.466193, id=,B04, PRDE,actvstrat=,0.821918, actvprof=,2.112617, id=,B05, PRDE,actvstrat=,-0.080514, actvprof=,1.642036, id=,B06, PRDE,actvstrat=,-0.371498, actvprof=,1.219234, id=,B07, PRDE,actvstrat=,0.829742, actvprof=,1.928718, id=,B08, PRDE,actvstrat=,0.690028, actvprof=,2.271237, id=,B09, PRDE,actvstrat=,0.849083, actvprof=,1.946497, id=,S00, PRDE,actvstrat=,-0.205570, actvprof=,4.227179, id=,S01, PRDE,actvstrat=,0.505735, actvprof=,8.805489, id=,S02, PRDE,actvstrat=,-0.200432, actvprof=,4.159398, id=,S03, PRDE,actvstrat=,0.738486, actvprof=,10.403356, id=,S04, PRDE,actvstrat=,0.115526, actvprof=,6.818712, id=,S05, PRDE,actvstrat=,0.563406, actvprof=,9.255792, id=,S06, PRDE,actvstrat=,-0.037946, actvprof=,5.781432, id=,S07, PRDE,actvstrat=,-0.093188, actvprof=,5.419468, id=,S08, PRDE,actvstrat=,-0.569507, actvprof=,3.648258, id=,S09, PRDE,actvstrat=,0.713882, actvprof=,10.309739, best_B_id=,B01, best_B_prof=,2.390133, best_B_strat=,-0.806770, best_S_id=,S03, best_S_prof=,10.403356, best_S_strat=,0.738486, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.169803, actvprof=,1.382380, id=,B01, PRDE,actvstrat=,-0.806770, actvprof=,2.398783, id=,B02, PRDE,actvstrat=,0.970689, actvprof=,1.018486, id=,B03, PRDE,actvstrat=,-0.062461, actvprof=,1.465576, id=,B04, PRDE,actvstrat=,0.821918, actvprof=,2.033084, id=,B05, PRDE,actvstrat=,-0.080514, actvprof=,1.531827, id=,B06, PRDE,actvstrat=,-0.371498, actvprof=,1.307935, id=,B07, PRDE,actvstrat=,0.829742, actvprof=,1.979055, id=,B08, PRDE,actvstrat=,0.690028, actvprof=,2.214614, id=,B09, PRDE,actvstrat=,0.849083, actvprof=,1.992805, id=,S00, PRDE,actvstrat=,-0.205570, actvprof=,4.088946, id=,S01, PRDE,actvstrat=,0.505735, actvprof=,8.977764, id=,S02, PRDE,actvstrat=,-0.200432, actvprof=,4.242281, id=,S03, PRDE,actvstrat=,0.738486, actvprof=,10.611397, id=,S04, PRDE,actvstrat=,0.115526, actvprof=,7.030514, id=,S05, PRDE,actvstrat=,0.563406, actvprof=,9.126932, id=,S06, PRDE,actvstrat=,-0.037946, actvprof=,5.909527, id=,S07, PRDE,actvstrat=,-0.093188, actvprof=,5.309379, id=,S08, PRDE,actvstrat=,-0.569507, actvprof=,3.393658, id=,S09, PRDE,actvstrat=,0.713882, actvprof=,10.364033, best_B_id=,B01, best_B_prof=,2.398783, best_B_strat=,-0.806770, best_S_id=,S03, best_S_prof=,10.611397, best_S_strat=,0.738486, 
