t=,1, id=,B00, PRDE,actvstrat=,-0.967361, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.000535, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.080114, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.342005, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.558650, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.897166, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.952704, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.906321, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.850899, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.886191, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.995291, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.289021, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.074726, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.958544, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.107067, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.059605, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.956216, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.982963, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.073861, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.298015, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.967361, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.995291, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.967361, actvprof=,4.656667, id=,B01, PRDE,actvstrat=,-0.000535, actvprof=,4.431944, id=,B02, PRDE,actvstrat=,-0.080114, actvprof=,4.493333, id=,B03, PRDE,actvstrat=,0.342005, actvprof=,4.769167, id=,B04, PRDE,actvstrat=,-0.558650, actvprof=,4.936111, id=,B05, PRDE,actvstrat=,-0.897166, actvprof=,5.017778, id=,B06, PRDE,actvstrat=,0.952704, actvprof=,2.903611, id=,B07, PRDE,actvstrat=,-0.906321, actvprof=,5.097500, id=,B08, PRDE,actvstrat=,0.850899, actvprof=,3.720278, id=,B09, PRDE,actvstrat=,-0.886191, actvprof=,5.025000, id=,S00, PRDE,actvstrat=,0.995291, actvprof=,8.154167, id=,S01, PRDE,actvstrat=,0.289021, actvprof=,6.545000, id=,S02, PRDE,actvstrat=,0.074726, actvprof=,5.835000, id=,S03, PRDE,actvstrat=,0.958544, actvprof=,7.781667, id=,S04, PRDE,actvstrat=,0.107067, actvprof=,5.872500, id=,S05, PRDE,actvstrat=,0.059605, actvprof=,5.982500, id=,S06, PRDE,actvstrat=,0.956216, actvprof=,8.232222, id=,S07, PRDE,actvstrat=,0.982963, actvprof=,7.986111, id=,S08, PRDE,actvstrat=,-0.073861, actvprof=,5.116944, id=,S09, PRDE,actvstrat=,-0.298015, actvprof=,3.953611, best_B_id=,B07, best_B_prof=,5.097500, best_B_strat=,-0.906321, best_S_id=,S06, best_S_prof=,8.232222, best_S_strat=,0.956216, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.534913, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.740622, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.897013, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.132032, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.362329, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.007328, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.394559, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.198029, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.080795, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.902524, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.324127, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.078506, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.563893, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.409059, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.042526, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.518811, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.100867, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.696695, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.303695, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.385577, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.534913, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.324127, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.534913, actvprof=,3.097179, id=,B01, PRDE,actvstrat=,-0.740622, actvprof=,3.835780, id=,B02, PRDE,actvstrat=,0.897013, actvprof=,2.635797, id=,B03, PRDE,actvstrat=,-0.132032, actvprof=,2.839405, id=,B04, PRDE,actvstrat=,-0.362329, actvprof=,2.918848, id=,B05, PRDE,actvstrat=,-0.007328, actvprof=,2.910237, id=,B06, PRDE,actvstrat=,0.394559, actvprof=,3.481063, id=,B07, PRDE,actvstrat=,0.198029, actvprof=,3.142456, id=,B08, PRDE,actvstrat=,-0.080795, actvprof=,2.961348, id=,B09, PRDE,actvstrat=,0.902524, actvprof=,2.610242, id=,S00, PRDE,actvstrat=,0.324127, actvprof=,7.384342, id=,S01, PRDE,actvstrat=,-0.078506, actvprof=,5.007708, id=,S02, PRDE,actvstrat=,0.563893, actvprof=,8.017666, id=,S03, PRDE,actvstrat=,0.409059, actvprof=,7.273510, id=,S04, PRDE,actvstrat=,-0.042526, actvprof=,5.030486, id=,S05, PRDE,actvstrat=,0.518811, actvprof=,7.507396, id=,S06, PRDE,actvstrat=,-0.100867, actvprof=,4.880210, id=,S07, PRDE,actvstrat=,0.696695, actvprof=,8.935709, id=,S08, PRDE,actvstrat=,0.303695, actvprof=,6.747129, id=,S09, PRDE,actvstrat=,-0.385577, actvprof=,3.337731, best_B_id=,B01, best_B_prof=,3.835780, best_B_strat=,-0.740622, best_S_id=,S07, best_S_prof=,8.935709, best_S_strat=,0.696695, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.882114, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.026759, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.897013, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.786341, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.790625, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.891758, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.706995, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.587230, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.022598, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.988256, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.191560, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.177015, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.888781, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.437494, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.848799, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.567416, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.100867, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.634310, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.819215, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.539950, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.882114, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.191560, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.882114, actvprof=,2.238827, id=,B01, PRDE,actvstrat=,0.026759, actvprof=,1.177190, id=,B02, PRDE,actvstrat=,0.897013, actvprof=,1.794395, id=,B03, PRDE,actvstrat=,0.786341, actvprof=,2.100219, id=,B04, PRDE,actvstrat=,-0.790625, actvprof=,1.843282, id=,B05, PRDE,actvstrat=,-0.891758, actvprof=,2.224383, id=,B06, PRDE,actvstrat=,-0.706995, actvprof=,1.573290, id=,B07, PRDE,actvstrat=,-0.587230, actvprof=,1.463570, id=,B08, PRDE,actvstrat=,0.022598, actvprof=,1.535791, id=,B09, PRDE,actvstrat=,-0.988256, actvprof=,2.656037, id=,S00, PRDE,actvstrat=,0.191560, actvprof=,7.186745, id=,S01, PRDE,actvstrat=,0.177015, actvprof=,7.071748, id=,S02, PRDE,actvstrat=,-0.888781, actvprof=,0.758590, id=,S03, PRDE,actvstrat=,0.437494, actvprof=,8.589484, id=,S04, PRDE,actvstrat=,-0.848799, actvprof=,1.261354, id=,S05, PRDE,actvstrat=,-0.567416, actvprof=,3.505458, id=,S06, PRDE,actvstrat=,-0.100867, actvprof=,5.703730, id=,S07, PRDE,actvstrat=,0.634310, actvprof=,9.375017, id=,S08, PRDE,actvstrat=,0.819215, actvprof=,10.232216, id=,S09, PRDE,actvstrat=,-0.539950, actvprof=,3.706564, best_B_id=,B09, best_B_prof=,2.656037, best_B_strat=,-0.988256, best_S_id=,S08, best_S_prof=,10.232216, best_S_strat=,0.819215, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.882114, actvprof=,2.138194, id=,B01, PRDE,actvstrat=,0.026759, actvprof=,1.156111, id=,B02, PRDE,actvstrat=,0.897013, actvprof=,1.699444, id=,B03, PRDE,actvstrat=,0.786341, actvprof=,2.070556, id=,B04, PRDE,actvstrat=,-0.790625, actvprof=,1.738472, id=,B05, PRDE,actvstrat=,-0.891758, actvprof=,2.215139, id=,B06, PRDE,actvstrat=,-0.706995, actvprof=,1.419444, id=,B07, PRDE,actvstrat=,-0.587230, actvprof=,1.322500, id=,B08, PRDE,actvstrat=,0.022598, actvprof=,1.342500, id=,B09, PRDE,actvstrat=,-0.988256, actvprof=,2.578750, id=,S00, PRDE,actvstrat=,0.191560, actvprof=,6.999167, id=,S01, PRDE,actvstrat=,0.177015, actvprof=,6.872361, id=,S02, PRDE,actvstrat=,-0.888781, actvprof=,0.584444, id=,S03, PRDE,actvstrat=,0.437494, actvprof=,8.321111, id=,S04, PRDE,actvstrat=,-0.848799, actvprof=,1.066528, id=,S05, PRDE,actvstrat=,-0.567416, actvprof=,3.191528, id=,S06, PRDE,actvstrat=,-0.100867, actvprof=,5.370694, id=,S07, PRDE,actvstrat=,0.634310, actvprof=,9.548333, id=,S08, PRDE,actvstrat=,0.819215, actvprof=,10.437083, id=,S09, PRDE,actvstrat=,-0.539950, actvprof=,3.338750, best_B_id=,B09, best_B_prof=,2.578750, best_B_strat=,-0.988256, best_S_id=,S08, best_S_prof=,10.437083, best_S_strat=,0.819215, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.629722, actvprof=,1.843107, id=,B01, PRDE,actvstrat=,0.186420, actvprof=,1.833384, id=,B02, PRDE,actvstrat=,-0.365691, actvprof=,1.467263, id=,B03, PRDE,actvstrat=,-0.699812, actvprof=,1.830606, id=,B04, PRDE,actvstrat=,0.169947, actvprof=,1.871163, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,3.165088, id=,B06, PRDE,actvstrat=,-0.203806, actvprof=,1.609489, id=,B07, PRDE,actvstrat=,0.313811, actvprof=,1.977833, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.132587, id=,B09, PRDE,actvstrat=,0.075781, actvprof=,1.771438, id=,S00, PRDE,actvstrat=,0.042995, actvprof=,5.761271, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.732354, id=,S02, PRDE,actvstrat=,0.044681, actvprof=,5.656824, id=,S03, PRDE,actvstrat=,0.386680, actvprof=,7.436873, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,4.724853, id=,S05, PRDE,actvstrat=,0.024219, actvprof=,5.639879, id=,S06, PRDE,actvstrat=,-0.589724, actvprof=,2.890080, id=,S07, PRDE,actvstrat=,-0.574259, actvprof=,2.457568, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,10.031945, id=,S09, PRDE,actvstrat=,-0.804106, actvprof=,1.479486, best_B_id=,B05, best_B_prof=,3.165088, best_B_strat=,-1.000000, best_S_id=,S08, best_S_prof=,10.031945, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.629722, actvprof=,1.934610, id=,B01, PRDE,actvstrat=,0.186420, actvprof=,1.868498, id=,B02, PRDE,actvstrat=,-0.365691, actvprof=,1.486548, id=,B03, PRDE,actvstrat=,-0.699812, actvprof=,1.907943, id=,B04, PRDE,actvstrat=,0.169947, actvprof=,1.930305, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,3.151572, id=,B06, PRDE,actvstrat=,-0.203806, actvprof=,1.491687, id=,B07, PRDE,actvstrat=,0.313811, actvprof=,2.083501, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.109349, id=,B09, PRDE,actvstrat=,0.075781, actvprof=,1.735024, id=,S00, PRDE,actvstrat=,0.042995, actvprof=,5.527299, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.677287, id=,S02, PRDE,actvstrat=,0.044681, actvprof=,5.497854, id=,S03, PRDE,actvstrat=,0.386680, actvprof=,7.507882, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,4.758538, id=,S05, PRDE,actvstrat=,0.024219, actvprof=,5.705635, id=,S06, PRDE,actvstrat=,-0.589724, actvprof=,2.841567, id=,S07, PRDE,actvstrat=,-0.574259, actvprof=,2.624620, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,9.943888, id=,S09, PRDE,actvstrat=,-0.804106, actvprof=,1.372936, best_B_id=,B05, best_B_prof=,3.151572, best_B_strat=,-1.000000, best_S_id=,S08, best_S_prof=,9.943888, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.629722, actvprof=,2.103728, id=,B01, PRDE,actvstrat=,0.608249, actvprof=,2.445136, id=,B02, PRDE,actvstrat=,-0.365691, actvprof=,1.822046, id=,B03, PRDE,actvstrat=,-0.699812, actvprof=,2.508750, id=,B04, PRDE,actvstrat=,0.169947, actvprof=,2.127063, id=,B05, PRDE,actvstrat=,-0.113298, actvprof=,1.943997, id=,B06, PRDE,actvstrat=,-0.203806, actvprof=,1.945664, id=,B07, PRDE,actvstrat=,0.437386, actvprof=,2.731541, id=,B08, PRDE,actvstrat=,-0.080795, actvprof=,1.935108, id=,B09, PRDE,actvstrat=,0.592515, actvprof=,2.539030, id=,S00, PRDE,actvstrat=,0.042995, actvprof=,5.699206, id=,S01, PRDE,actvstrat=,0.935318, actvprof=,9.834991, id=,S02, PRDE,actvstrat=,0.548307, actvprof=,7.756542, id=,S03, PRDE,actvstrat=,-0.087722, actvprof=,4.380799, id=,S04, PRDE,actvstrat=,-0.358142, actvprof=,2.750986, id=,S05, PRDE,actvstrat=,-0.346036, actvprof=,2.970721, id=,S06, PRDE,actvstrat=,-0.275368, actvprof=,3.285460, id=,S07, PRDE,actvstrat=,0.183305, actvprof=,6.065893, id=,S08, PRDE,actvstrat=,0.303695, actvprof=,6.613145, id=,S09, PRDE,actvstrat=,-0.592446, actvprof=,2.722096, best_B_id=,B07, best_B_prof=,2.731541, best_B_strat=,0.437386, best_S_id=,S01, best_S_prof=,9.834991, best_S_strat=,0.935318, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.629722, actvprof=,2.263519, id=,B01, PRDE,actvstrat=,0.608249, actvprof=,2.586304, id=,B02, PRDE,actvstrat=,-0.365691, actvprof=,1.965874, id=,B03, PRDE,actvstrat=,-0.699812, actvprof=,2.592415, id=,B04, PRDE,actvstrat=,0.169947, actvprof=,2.058793, id=,B05, PRDE,actvstrat=,-0.113298, actvprof=,1.897262, id=,B06, PRDE,actvstrat=,-0.203806, actvprof=,1.877678, id=,B07, PRDE,actvstrat=,0.437386, actvprof=,2.587276, id=,B08, PRDE,actvstrat=,-0.080795, actvprof=,1.847955, id=,B09, PRDE,actvstrat=,0.592515, actvprof=,2.587971, id=,S00, PRDE,actvstrat=,0.042995, actvprof=,5.764009, id=,S01, PRDE,actvstrat=,0.935318, actvprof=,9.851039, id=,S02, PRDE,actvstrat=,0.548307, actvprof=,7.775301, id=,S03, PRDE,actvstrat=,-0.087722, actvprof=,4.204532, id=,S04, PRDE,actvstrat=,-0.358142, actvprof=,2.893533, id=,S05, PRDE,actvstrat=,-0.346036, actvprof=,2.861587, id=,S06, PRDE,actvstrat=,-0.275368, actvprof=,2.952839, id=,S07, PRDE,actvstrat=,0.183305, actvprof=,6.025126, id=,S08, PRDE,actvstrat=,0.303695, actvprof=,6.589998, id=,S09, PRDE,actvstrat=,-0.592446, actvprof=,2.507413, best_B_id=,B03, best_B_prof=,2.592415, best_B_strat=,-0.699812, best_S_id=,S01, best_S_prof=,9.851039, best_S_strat=,0.935318, 
