t=,0, id=,B00, PRDE,actvstrat=,-0.446555, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.829657, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.184464, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.744689, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.464149, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.203038, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.200786, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.360955, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.865867, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.851093, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.076492, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.149801, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.012556, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.700373, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.743804, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.626309, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.398011, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.816481, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.043037, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.874373, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.446555, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.076492, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.446555, actvprof=,2.638611, id=,B01, PRDE,actvstrat=,-0.829657, actvprof=,3.369444, id=,B02, PRDE,actvstrat=,0.184464, actvprof=,2.673611, id=,B03, PRDE,actvstrat=,-0.744689, actvprof=,3.020556, id=,B04, PRDE,actvstrat=,-0.464149, actvprof=,2.348889, id=,B05, PRDE,actvstrat=,0.203038, actvprof=,2.840556, id=,B06, PRDE,actvstrat=,0.200786, actvprof=,2.721389, id=,B07, PRDE,actvstrat=,-0.360955, actvprof=,2.355278, id=,B08, PRDE,actvstrat=,-0.865867, actvprof=,3.488611, id=,B09, PRDE,actvstrat=,-0.851093, actvprof=,3.451667, id=,S00, PRDE,actvstrat=,-0.076492, actvprof=,3.686944, id=,S01, PRDE,actvstrat=,0.149801, actvprof=,5.164444, id=,S02, PRDE,actvstrat=,0.012556, actvprof=,4.847778, id=,S03, PRDE,actvstrat=,-0.700373, actvprof=,1.622778, id=,S04, PRDE,actvstrat=,0.743804, actvprof=,8.050833, id=,S05, PRDE,actvstrat=,0.626309, actvprof=,7.397222, id=,S06, PRDE,actvstrat=,-0.398011, actvprof=,2.417500, id=,S07, PRDE,actvstrat=,-0.816481, actvprof=,0.945833, id=,S08, PRDE,actvstrat=,-0.043037, actvprof=,4.403333, id=,S09, PRDE,actvstrat=,0.874373, actvprof=,8.554722, best_B_id=,B08, best_B_prof=,3.488611, best_B_strat=,-0.865867, best_S_id=,S09, best_S_prof=,8.554722, best_S_strat=,0.874373, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.307066, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.581924, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.374982, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.298169, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.844703, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.177927, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.310327, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.070515, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.391489, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.061851, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.260252, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.393454, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.289729, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.112052, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.081616, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.017409, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.247880, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.256137, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.453899, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.309310, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.307066, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.260252, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.307066, actvprof=,1.227222, id=,B01, PRDE,actvstrat=,-0.581924, actvprof=,1.276667, id=,B02, PRDE,actvstrat=,0.374982, actvprof=,1.856111, id=,B03, PRDE,actvstrat=,-0.298169, actvprof=,1.160556, id=,B04, PRDE,actvstrat=,-0.844703, actvprof=,2.108611, id=,B05, PRDE,actvstrat=,0.177927, actvprof=,1.671111, id=,B06, PRDE,actvstrat=,0.310327, actvprof=,1.803611, id=,B07, PRDE,actvstrat=,0.070515, actvprof=,1.355278, id=,B08, PRDE,actvstrat=,0.391489, actvprof=,1.934167, id=,B09, PRDE,actvstrat=,-0.061851, actvprof=,1.432222, id=,S00, PRDE,actvstrat=,-0.260252, actvprof=,3.679722, id=,S01, PRDE,actvstrat=,-0.393454, actvprof=,3.108611, id=,S02, PRDE,actvstrat=,0.289729, actvprof=,6.908889, id=,S03, PRDE,actvstrat=,-0.112052, actvprof=,4.306111, id=,S04, PRDE,actvstrat=,0.081616, actvprof=,6.133333, id=,S05, PRDE,actvstrat=,0.017409, actvprof=,5.646111, id=,S06, PRDE,actvstrat=,-0.247880, actvprof=,3.426389, id=,S07, PRDE,actvstrat=,-0.256137, actvprof=,3.458889, id=,S08, PRDE,actvstrat=,-0.453899, actvprof=,3.410000, id=,S09, PRDE,actvstrat=,-0.309310, actvprof=,3.363056, best_B_id=,B04, best_B_prof=,2.108611, best_B_strat=,-0.844703, best_S_id=,S02, best_S_prof=,6.908889, best_S_strat=,0.289729, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.307066, actvprof=,1.240139, id=,B01, PRDE,actvstrat=,-0.581924, actvprof=,1.302639, id=,B02, PRDE,actvstrat=,0.374982, actvprof=,1.785833, id=,B03, PRDE,actvstrat=,-0.298169, actvprof=,1.170417, id=,B04, PRDE,actvstrat=,-0.844703, actvprof=,2.230139, id=,B05, PRDE,actvstrat=,0.177927, actvprof=,1.686667, id=,B06, PRDE,actvstrat=,0.310327, actvprof=,1.680417, id=,B07, PRDE,actvstrat=,0.070515, actvprof=,1.363750, id=,B08, PRDE,actvstrat=,0.391489, actvprof=,1.830694, id=,B09, PRDE,actvstrat=,-0.061851, actvprof=,1.266250, id=,S00, PRDE,actvstrat=,-0.260252, actvprof=,3.649861, id=,S01, PRDE,actvstrat=,-0.393454, actvprof=,3.305139, id=,S02, PRDE,actvstrat=,0.289729, actvprof=,6.840417, id=,S03, PRDE,actvstrat=,-0.112052, actvprof=,4.399722, id=,S04, PRDE,actvstrat=,0.081616, actvprof=,6.274306, id=,S05, PRDE,actvstrat=,0.017409, actvprof=,5.780694, id=,S06, PRDE,actvstrat=,-0.247880, actvprof=,3.531944, id=,S07, PRDE,actvstrat=,-0.256137, actvprof=,3.513889, id=,S08, PRDE,actvstrat=,-0.453899, actvprof=,3.102500, id=,S09, PRDE,actvstrat=,-0.309310, actvprof=,3.522361, best_B_id=,B04, best_B_prof=,2.230139, best_B_strat=,-0.844703, best_S_id=,S02, best_S_prof=,6.840417, best_S_strat=,0.289729, 
t=,18000, id=,B00, PRDE,actvstrat=,0.362884, actvprof=,2.323056, id=,B01, PRDE,actvstrat=,-0.597602, actvprof=,2.279167, id=,B02, PRDE,actvstrat=,0.148998, actvprof=,1.948889, id=,B03, PRDE,actvstrat=,-0.354786, actvprof=,1.843056, id=,B04, PRDE,actvstrat=,-0.301829, actvprof=,1.812222, id=,B05, PRDE,actvstrat=,-0.058132, actvprof=,1.985278, id=,B06, PRDE,actvstrat=,-0.083189, actvprof=,1.823611, id=,B07, PRDE,actvstrat=,0.148387, actvprof=,1.723889, id=,B08, PRDE,actvstrat=,0.497072, actvprof=,2.464722, id=,B09, PRDE,actvstrat=,0.621224, actvprof=,2.337778, id=,S00, PRDE,actvstrat=,-0.832500, actvprof=,0.917500, id=,S01, PRDE,actvstrat=,0.961554, actvprof=,9.991944, id=,S02, PRDE,actvstrat=,-0.257390, actvprof=,3.514722, id=,S03, PRDE,actvstrat=,-0.573593, actvprof=,3.058889, id=,S04, PRDE,actvstrat=,0.133698, actvprof=,6.489167, id=,S05, PRDE,actvstrat=,0.067663, actvprof=,5.928611, id=,S06, PRDE,actvstrat=,0.945750, actvprof=,10.119444, id=,S07, PRDE,actvstrat=,0.189067, actvprof=,6.491944, id=,S08, PRDE,actvstrat=,-0.453899, actvprof=,3.075278, id=,S09, PRDE,actvstrat=,-0.951283, actvprof=,0.981944, best_B_id=,B08, best_B_prof=,2.464722, best_B_strat=,0.497072, best_S_id=,S06, best_S_prof=,10.119444, best_S_strat=,0.945750, 
t=,21600, id=,B00, PRDE,actvstrat=,0.362884, actvprof=,2.356405, id=,B01, PRDE,actvstrat=,-0.597602, actvprof=,2.338766, id=,B02, PRDE,actvstrat=,0.148998, actvprof=,1.965847, id=,B03, PRDE,actvstrat=,-0.354786, actvprof=,1.887096, id=,B04, PRDE,actvstrat=,-0.301829, actvprof=,1.767651, id=,B05, PRDE,actvstrat=,-0.058132, actvprof=,1.933347, id=,B06, PRDE,actvstrat=,-0.083189, actvprof=,1.986264, id=,B07, PRDE,actvstrat=,0.148387, actvprof=,1.750290, id=,B08, PRDE,actvstrat=,0.497072, actvprof=,2.391405, id=,B09, PRDE,actvstrat=,0.621224, actvprof=,2.487934, id=,S00, PRDE,actvstrat=,-0.832500, actvprof=,0.932645, id=,S01, PRDE,actvstrat=,0.961554, actvprof=,9.996875, id=,S02, PRDE,actvstrat=,-0.257390, actvprof=,3.425163, id=,S03, PRDE,actvstrat=,-0.573593, actvprof=,3.003771, id=,S04, PRDE,actvstrat=,0.133698, actvprof=,6.323516, id=,S05, PRDE,actvstrat=,0.067663, actvprof=,5.978097, id=,S06, PRDE,actvstrat=,0.945750, actvprof=,10.105487, id=,S07, PRDE,actvstrat=,0.189067, actvprof=,6.351155, id=,S08, PRDE,actvstrat=,-0.453899, actvprof=,3.040716, id=,S09, PRDE,actvstrat=,-0.951283, actvprof=,0.966951, best_B_id=,B09, best_B_prof=,2.487934, best_B_strat=,0.621224, best_S_id=,S06, best_S_prof=,10.105487, best_S_strat=,0.945750, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.333763, actvprof=,1.012528, id=,B01, PRDE,actvstrat=,-0.290807, actvprof=,1.097253, id=,B02, PRDE,actvstrat=,-0.051239, actvprof=,1.108364, id=,B03, PRDE,actvstrat=,0.608189, actvprof=,1.777827, id=,B04, PRDE,actvstrat=,0.300813, actvprof=,1.561988, id=,B05, PRDE,actvstrat=,0.177927, actvprof=,1.427817, id=,B06, PRDE,actvstrat=,-0.193676, actvprof=,1.202256, id=,B07, PRDE,actvstrat=,0.111485, actvprof=,1.330870, id=,B08, PRDE,actvstrat=,-0.172993, actvprof=,1.071419, id=,B09, PRDE,actvstrat=,-0.851093, actvprof=,2.149226, id=,S00, PRDE,actvstrat=,-0.260252, actvprof=,3.010639, id=,S01, PRDE,actvstrat=,0.553887, actvprof=,8.193005, id=,S02, PRDE,actvstrat=,-0.292614, actvprof=,3.314814, id=,S03, PRDE,actvstrat=,-0.872270, actvprof=,0.681408, id=,S04, PRDE,actvstrat=,0.126851, actvprof=,6.631295, id=,S05, PRDE,actvstrat=,-0.551724, actvprof=,2.622295, id=,S06, PRDE,actvstrat=,-0.566390, actvprof=,3.117587, id=,S07, PRDE,actvstrat=,-0.309993, actvprof=,2.895358, id=,S08, PRDE,actvstrat=,-0.778237, actvprof=,1.454207, id=,S09, PRDE,actvstrat=,0.352533, actvprof=,7.407984, best_B_id=,B09, best_B_prof=,2.149226, best_B_strat=,-0.851093, best_S_id=,S01, best_S_prof=,8.193005, best_S_strat=,0.553887, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.333763, actvprof=,1.048070, id=,B01, PRDE,actvstrat=,-0.290807, actvprof=,1.216267, id=,B02, PRDE,actvstrat=,-0.051239, actvprof=,1.077932, id=,B03, PRDE,actvstrat=,0.608189, actvprof=,1.752802, id=,B04, PRDE,actvstrat=,0.300813, actvprof=,1.513077, id=,B05, PRDE,actvstrat=,0.177927, actvprof=,1.330852, id=,B06, PRDE,actvstrat=,-0.193676, actvprof=,1.198350, id=,B07, PRDE,actvstrat=,0.111485, actvprof=,1.355019, id=,B08, PRDE,actvstrat=,-0.172993, actvprof=,1.085571, id=,B09, PRDE,actvstrat=,-0.851093, actvprof=,2.064473, id=,S00, PRDE,actvstrat=,-0.260252, actvprof=,3.232962, id=,S01, PRDE,actvstrat=,0.553887, actvprof=,8.266920, id=,S02, PRDE,actvstrat=,-0.292614, actvprof=,3.317824, id=,S03, PRDE,actvstrat=,-0.872270, actvprof=,0.676954, id=,S04, PRDE,actvstrat=,0.126851, actvprof=,6.266754, id=,S05, PRDE,actvstrat=,-0.551724, actvprof=,2.804622, id=,S06, PRDE,actvstrat=,-0.566390, actvprof=,2.936152, id=,S07, PRDE,actvstrat=,-0.309993, actvprof=,3.187961, id=,S08, PRDE,actvstrat=,-0.778237, actvprof=,1.451270, id=,S09, PRDE,actvstrat=,0.352533, actvprof=,7.350241, best_B_id=,B09, best_B_prof=,2.064473, best_B_strat=,-0.851093, best_S_id=,S01, best_S_prof=,8.266920, best_S_strat=,0.553887, 
t=,32400, id=,B00, PRDE,actvstrat=,0.521364, actvprof=,2.312564, id=,B01, PRDE,actvstrat=,-0.290807, actvprof=,1.769494, id=,B02, PRDE,actvstrat=,-0.781709, actvprof=,2.777022, id=,B03, PRDE,actvstrat=,-0.220081, actvprof=,1.454485, id=,B04, PRDE,actvstrat=,0.560423, actvprof=,2.243951, id=,B05, PRDE,actvstrat=,0.177927, actvprof=,2.007000, id=,B06, PRDE,actvstrat=,0.645817, actvprof=,2.592294, id=,B07, PRDE,actvstrat=,0.100120, actvprof=,1.787272, id=,B08, PRDE,actvstrat=,-0.439997, actvprof=,1.706159, id=,B09, PRDE,actvstrat=,-0.851093, actvprof=,3.062863, id=,S00, PRDE,actvstrat=,0.442521, actvprof=,7.653268, id=,S01, PRDE,actvstrat=,-0.114290, actvprof=,3.885941, id=,S02, PRDE,actvstrat=,0.289729, actvprof=,6.334898, id=,S03, PRDE,actvstrat=,-0.872270, actvprof=,0.713075, id=,S04, PRDE,actvstrat=,0.723701, actvprof=,9.243590, id=,S05, PRDE,actvstrat=,0.613691, actvprof=,8.717742, id=,S06, PRDE,actvstrat=,-0.809108, actvprof=,1.152810, id=,S07, PRDE,actvstrat=,-0.403675, actvprof=,3.323703, id=,S08, PRDE,actvstrat=,-0.453899, actvprof=,2.832856, id=,S09, PRDE,actvstrat=,0.974402, actvprof=,10.297786, best_B_id=,B09, best_B_prof=,3.062863, best_B_strat=,-0.851093, best_S_id=,S09, best_S_prof=,10.297786, best_S_strat=,0.974402, 
t=,36000, id=,B00, PRDE,actvstrat=,0.362884, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.994243, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.466816, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.817506, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.879736, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.091383, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.527277, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.070515, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.391489, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.108311, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.260252, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.338124, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.292614, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.491219, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.126851, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.746619, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.398728, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.352486, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.007506, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.821328, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.362884, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.260252, 
