t=,0, id=,B00, PRDE,actvstrat=,0.755434, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.729603, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.950567, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.441091, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.388567, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.273558, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.378499, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.399216, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.214751, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.158764, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.105976, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.061916, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.798575, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.834605, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.270467, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.263849, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.300094, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.321770, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.884843, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.840734, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.755434, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.105976, 
t=,3600, id=,B00, PRDE,actvstrat=,0.755434, actvprof=,1.587200, id=,B01, PRDE,actvstrat=,0.729603, actvprof=,1.386370, id=,B02, PRDE,actvstrat=,-0.950567, actvprof=,1.776642, id=,B03, PRDE,actvstrat=,-0.441091, actvprof=,0.610269, id=,B04, PRDE,actvstrat=,0.388567, actvprof=,1.188595, id=,B05, PRDE,actvstrat=,0.273558, actvprof=,1.119707, id=,B06, PRDE,actvstrat=,-0.378499, actvprof=,0.536381, id=,B07, PRDE,actvstrat=,-0.399216, actvprof=,0.804711, id=,B08, PRDE,actvstrat=,-0.214751, actvprof=,0.691102, id=,B09, PRDE,actvstrat=,0.158764, actvprof=,0.921098, id=,S00, PRDE,actvstrat=,0.105976, actvprof=,7.494340, id=,S01, PRDE,actvstrat=,-0.061916, actvprof=,6.686296, id=,S02, PRDE,actvstrat=,-0.798575, actvprof=,2.068582, id=,S03, PRDE,actvstrat=,-0.834605, actvprof=,1.361370, id=,S04, PRDE,actvstrat=,-0.270467, actvprof=,5.042152, id=,S05, PRDE,actvstrat=,-0.263849, actvprof=,5.226316, id=,S06, PRDE,actvstrat=,-0.300094, actvprof=,4.666046, id=,S07, PRDE,actvstrat=,0.321770, actvprof=,8.598492, id=,S08, PRDE,actvstrat=,-0.884843, actvprof=,0.771100, id=,S09, PRDE,actvstrat=,-0.840734, actvprof=,1.106929, best_B_id=,B02, best_B_prof=,1.776642, best_B_strat=,-0.950567, best_S_id=,S07, best_S_prof=,8.598492, best_S_strat=,0.321770, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.443729, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.464654, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.518104, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.281707, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.234607, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.947483, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.991107, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.497952, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.123691, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.473858, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.899214, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.323416, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.406436, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.301484, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.115876, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.172481, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.485327, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.742398, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.788655, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.924608, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.443729, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.899214, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.443729, actvprof=,1.607200, id=,B01, PRDE,actvstrat=,0.464654, actvprof=,2.089138, id=,B02, PRDE,actvstrat=,0.518104, actvprof=,2.241636, id=,B03, PRDE,actvstrat=,0.281707, actvprof=,1.791364, id=,B04, PRDE,actvstrat=,-0.234607, actvprof=,1.529979, id=,B05, PRDE,actvstrat=,-0.947483, actvprof=,2.700796, id=,B06, PRDE,actvstrat=,0.991107, actvprof=,0.974431, id=,B07, PRDE,actvstrat=,-0.497952, actvprof=,1.634700, id=,B08, PRDE,actvstrat=,-0.123691, actvprof=,1.582756, id=,B09, PRDE,actvstrat=,-0.473858, actvprof=,1.718587, id=,S00, PRDE,actvstrat=,-0.899214, actvprof=,0.610825, id=,S01, PRDE,actvstrat=,-0.323416, actvprof=,4.484938, id=,S02, PRDE,actvstrat=,-0.406436, actvprof=,4.137443, id=,S03, PRDE,actvstrat=,-0.301484, actvprof=,4.114665, id=,S04, PRDE,actvstrat=,0.115876, actvprof=,7.167678, id=,S05, PRDE,actvstrat=,0.172481, actvprof=,7.328787, id=,S06, PRDE,actvstrat=,-0.485327, actvprof=,4.149387, id=,S07, PRDE,actvstrat=,0.742398, actvprof=,10.038472, id=,S08, PRDE,actvstrat=,-0.788655, actvprof=,2.311912, id=,S09, PRDE,actvstrat=,0.924608, actvprof=,10.628741, best_B_id=,B05, best_B_prof=,2.700796, best_B_strat=,-0.947483, best_S_id=,S09, best_S_prof=,10.628741, best_S_strat=,0.924608, 
t=,14400, id=,B00, PRDE,actvstrat=,0.688400, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.572205, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.791785, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.448172, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.234607, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.245458, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.725096, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.730625, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.611370, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.053328, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.573821, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.323416, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.759862, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.082518, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.002993, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.481715, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.118959, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.699245, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.563874, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.454442, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.688400, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.573821, 
t=,18000, id=,B00, PRDE,actvstrat=,0.688400, actvprof=,2.271389, id=,B01, PRDE,actvstrat=,-0.572205, actvprof=,1.747500, id=,B02, PRDE,actvstrat=,0.791785, actvprof=,2.245000, id=,B03, PRDE,actvstrat=,0.448172, actvprof=,2.152778, id=,B04, PRDE,actvstrat=,-0.234607, actvprof=,1.725000, id=,B05, PRDE,actvstrat=,0.245458, actvprof=,1.832778, id=,B06, PRDE,actvstrat=,0.725096, actvprof=,2.275278, id=,B07, PRDE,actvstrat=,0.730625, actvprof=,2.216389, id=,B08, PRDE,actvstrat=,-0.611370, actvprof=,1.756944, id=,B09, PRDE,actvstrat=,0.053328, actvprof=,1.742222, id=,S00, PRDE,actvstrat=,0.573821, actvprof=,9.443889, id=,S01, PRDE,actvstrat=,-0.323416, actvprof=,4.344722, id=,S02, PRDE,actvstrat=,0.759862, actvprof=,10.526389, id=,S03, PRDE,actvstrat=,0.082518, actvprof=,6.755556, id=,S04, PRDE,actvstrat=,-0.002993, actvprof=,6.511944, id=,S05, PRDE,actvstrat=,-0.481715, actvprof=,4.198889, id=,S06, PRDE,actvstrat=,0.118959, actvprof=,6.878889, id=,S07, PRDE,actvstrat=,-0.699245, actvprof=,3.267222, id=,S08, PRDE,actvstrat=,-0.563874, actvprof=,3.808333, id=,S09, PRDE,actvstrat=,0.454442, actvprof=,8.565556, best_B_id=,B06, best_B_prof=,2.275278, best_B_strat=,0.725096, best_S_id=,S02, best_S_prof=,10.526389, best_S_strat=,0.759862, 
t=,21600, id=,B00, PRDE,actvstrat=,0.688400, actvprof=,2.223889, id=,B01, PRDE,actvstrat=,-0.572205, actvprof=,1.628889, id=,B02, PRDE,actvstrat=,0.791785, actvprof=,2.152222, id=,B03, PRDE,actvstrat=,0.448172, actvprof=,2.094167, id=,B04, PRDE,actvstrat=,-0.234607, actvprof=,1.608194, id=,B05, PRDE,actvstrat=,0.245458, actvprof=,1.817639, id=,B06, PRDE,actvstrat=,0.725096, actvprof=,2.250278, id=,B07, PRDE,actvstrat=,0.730625, actvprof=,2.244306, id=,B08, PRDE,actvstrat=,-0.611370, actvprof=,1.727500, id=,B09, PRDE,actvstrat=,0.053328, actvprof=,1.703472, id=,S00, PRDE,actvstrat=,0.573821, actvprof=,9.446111, id=,S01, PRDE,actvstrat=,-0.323416, actvprof=,4.251528, id=,S02, PRDE,actvstrat=,0.759862, actvprof=,10.554028, id=,S03, PRDE,actvstrat=,0.082518, actvprof=,6.785278, id=,S04, PRDE,actvstrat=,-0.002993, actvprof=,6.542917, id=,S05, PRDE,actvstrat=,-0.481715, actvprof=,4.054167, id=,S06, PRDE,actvstrat=,0.118959, actvprof=,6.707222, id=,S07, PRDE,actvstrat=,-0.699245, actvprof=,3.202917, id=,S08, PRDE,actvstrat=,-0.563874, actvprof=,3.665139, id=,S09, PRDE,actvstrat=,0.454442, actvprof=,8.884583, best_B_id=,B06, best_B_prof=,2.250278, best_B_strat=,0.725096, best_S_id=,S02, best_S_prof=,10.554028, best_S_strat=,0.759862, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.444994, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.522493, id=,B02, PRDE,actvstrat=,0.323756, actvprof=,1.317759, id=,B03, PRDE,actvstrat=,0.859485, actvprof=,1.475813, id=,B04, PRDE,actvstrat=,-0.734695, actvprof=,1.716643, id=,B05, PRDE,actvstrat=,-0.052230, actvprof=,1.078596, id=,B06, PRDE,actvstrat=,-0.799752, actvprof=,1.610255, id=,B07, PRDE,actvstrat=,-0.887819, actvprof=,2.139137, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.436938, id=,B09, PRDE,actvstrat=,0.174462, actvprof=,1.179428, id=,S00, PRDE,actvstrat=,-0.665981, actvprof=,3.535506, id=,S01, PRDE,actvstrat=,-0.744698, actvprof=,2.738573, id=,S02, PRDE,actvstrat=,-0.183148, actvprof=,5.262427, id=,S03, PRDE,actvstrat=,0.065434, actvprof=,7.585450, id=,S04, PRDE,actvstrat=,0.161447, actvprof=,8.505437, id=,S05, PRDE,actvstrat=,0.297004, actvprof=,8.841822, id=,S06, PRDE,actvstrat=,0.210361, actvprof=,8.601547, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,12.615936, id=,S08, PRDE,actvstrat=,-0.472877, actvprof=,3.886890, id=,S09, PRDE,actvstrat=,0.459671, actvprof=,10.169859, best_B_id=,B07, best_B_prof=,2.139137, best_B_strat=,-0.887819, best_S_id=,S07, best_S_prof=,12.615936, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.488476, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.513476, id=,B02, PRDE,actvstrat=,0.323756, actvprof=,1.258759, id=,B03, PRDE,actvstrat=,0.859485, actvprof=,1.494733, id=,B04, PRDE,actvstrat=,-0.734695, actvprof=,1.570150, id=,B05, PRDE,actvstrat=,-0.052230, actvprof=,1.048618, id=,B06, PRDE,actvstrat=,-0.799752, actvprof=,1.753484, id=,B07, PRDE,actvstrat=,-0.887819, actvprof=,1.995431, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.481392, id=,B09, PRDE,actvstrat=,0.174462, actvprof=,1.198342, id=,S00, PRDE,actvstrat=,-0.665981, actvprof=,3.379746, id=,S01, PRDE,actvstrat=,-0.744698, actvprof=,2.642796, id=,S02, PRDE,actvstrat=,-0.183148, actvprof=,5.406149, id=,S03, PRDE,actvstrat=,0.065434, actvprof=,7.600886, id=,S04, PRDE,actvstrat=,0.161447, actvprof=,8.345336, id=,S05, PRDE,actvstrat=,0.297004, actvprof=,9.009646, id=,S06, PRDE,actvstrat=,0.210361, actvprof=,8.426725, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,12.481753, id=,S08, PRDE,actvstrat=,-0.472877, actvprof=,4.105167, id=,S09, PRDE,actvstrat=,0.459671, actvprof=,10.110626, best_B_id=,B07, best_B_prof=,1.995431, best_B_strat=,-0.887819, best_S_id=,S07, best_S_prof=,12.481753, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.688400, actvprof=,2.307041, id=,B01, PRDE,actvstrat=,0.464654, actvprof=,2.168146, id=,B02, PRDE,actvstrat=,0.518104, actvprof=,2.237315, id=,B03, PRDE,actvstrat=,0.192926, actvprof=,1.844244, id=,B04, PRDE,actvstrat=,-0.356676, actvprof=,1.667014, id=,B05, PRDE,actvstrat=,0.592680, actvprof=,2.067031, id=,B06, PRDE,actvstrat=,-0.160304, actvprof=,1.472839, id=,B07, PRDE,actvstrat=,0.182627, actvprof=,1.853966, id=,B08, PRDE,actvstrat=,0.017339, actvprof=,1.508118, id=,B09, PRDE,actvstrat=,-0.537564, actvprof=,1.913691, id=,S00, PRDE,actvstrat=,0.135566, actvprof=,6.742503, id=,S01, PRDE,actvstrat=,-0.700524, actvprof=,2.352876, id=,S02, PRDE,actvstrat=,-0.183148, actvprof=,4.488520, id=,S03, PRDE,actvstrat=,-0.410796, actvprof=,3.430699, id=,S04, PRDE,actvstrat=,0.085787, actvprof=,6.479437, id=,S05, PRDE,actvstrat=,0.172481, actvprof=,6.711669, id=,S06, PRDE,actvstrat=,0.346789, actvprof=,7.410309, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,10.246816, id=,S08, PRDE,actvstrat=,-0.472877, actvprof=,2.975957, id=,S09, PRDE,actvstrat=,-0.228198, actvprof=,3.569315, best_B_id=,B00, best_B_prof=,2.307041, best_B_strat=,0.688400, best_S_id=,S07, best_S_prof=,10.246816, best_S_strat=,1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,0.688400, actvprof=,2.281992, id=,B01, PRDE,actvstrat=,0.464654, actvprof=,2.059765, id=,B02, PRDE,actvstrat=,0.518104, actvprof=,2.275186, id=,B03, PRDE,actvstrat=,0.192926, actvprof=,1.788509, id=,B04, PRDE,actvstrat=,-0.356676, actvprof=,1.550866, id=,B05, PRDE,actvstrat=,0.592680, actvprof=,2.097960, id=,B06, PRDE,actvstrat=,-0.160304, actvprof=,1.550588, id=,B07, PRDE,actvstrat=,0.182627, actvprof=,1.878234, id=,B08, PRDE,actvstrat=,0.017339, actvprof=,1.450864, id=,B09, PRDE,actvstrat=,-0.537564, actvprof=,1.948791, id=,S00, PRDE,actvstrat=,0.135566, actvprof=,6.806392, id=,S01, PRDE,actvstrat=,-0.700524, actvprof=,2.475052, id=,S02, PRDE,actvstrat=,-0.183148, actvprof=,4.373286, id=,S03, PRDE,actvstrat=,-0.410796, actvprof=,3.314375, id=,S04, PRDE,actvstrat=,0.085787, actvprof=,6.456523, id=,S05, PRDE,actvstrat=,0.172481, actvprof=,6.841809, id=,S06, PRDE,actvstrat=,0.346789, actvprof=,7.409460, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,10.394244, id=,S08, PRDE,actvstrat=,-0.472877, actvprof=,2.972701, id=,S09, PRDE,actvstrat=,-0.228198, actvprof=,3.586047, best_B_id=,B00, best_B_prof=,2.281992, best_B_strat=,0.688400, best_S_id=,S07, best_S_prof=,10.394244, best_S_strat=,1.000000, 
