t=,1, id=,B00, PRDE,actvstrat=,0.569608, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.153278, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.586041, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.314401, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.081024, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.819288, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.482807, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.944669, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.271825, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.109501, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.892761, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.514865, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.900735, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.518086, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.980968, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.433802, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.157848, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.990567, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.661821, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.543091, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.569608, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.892761, 
t=,3600, id=,B00, PRDE,actvstrat=,0.569608, actvprof=,1.959112, id=,B01, PRDE,actvstrat=,-0.153278, actvprof=,1.334130, id=,B02, PRDE,actvstrat=,-0.586041, actvprof=,1.305242, id=,B03, PRDE,actvstrat=,0.314401, actvprof=,1.757173, id=,B04, PRDE,actvstrat=,0.081024, actvprof=,1.657176, id=,B05, PRDE,actvstrat=,0.819288, actvprof=,2.102164, id=,B06, PRDE,actvstrat=,-0.482807, actvprof=,1.445793, id=,B07, PRDE,actvstrat=,-0.944669, actvprof=,2.387989, id=,B08, PRDE,actvstrat=,-0.271825, actvprof=,1.192189, id=,B09, PRDE,actvstrat=,0.109501, actvprof=,1.399683, id=,S00, PRDE,actvstrat=,-0.892761, actvprof=,0.745535, id=,S01, PRDE,actvstrat=,-0.514865, actvprof=,3.612677, id=,S02, PRDE,actvstrat=,0.900735, actvprof=,10.720536, id=,S03, PRDE,actvstrat=,0.518086, actvprof=,8.780034, id=,S04, PRDE,actvstrat=,-0.980968, actvprof=,1.741896, id=,S05, PRDE,actvstrat=,-0.433802, actvprof=,3.499347, id=,S06, PRDE,actvstrat=,-0.157848, actvprof=,3.912669, id=,S07, PRDE,actvstrat=,-0.990567, actvprof=,2.524097, id=,S08, PRDE,actvstrat=,0.661821, actvprof=,9.377240, id=,S09, PRDE,actvstrat=,-0.543091, actvprof=,3.543513, best_B_id=,B07, best_B_prof=,2.387989, best_B_strat=,-0.944669, best_S_id=,S02, best_S_prof=,10.720536, best_S_strat=,0.900735, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.313735, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.417476, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.827624, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.812755, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.170791, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.974049, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.625687, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.403131, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.966546, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.321489, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.800556, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.292548, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.592883, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.766099, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.773392, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.498371, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.272832, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.776097, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.814054, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.704041, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.313735, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.800556, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.313735, actvprof=,0.655269, id=,B01, PRDE,actvstrat=,0.417476, actvprof=,0.969431, id=,B02, PRDE,actvstrat=,-0.827624, actvprof=,1.059152, id=,B03, PRDE,actvstrat=,0.812755, actvprof=,1.335815, id=,B04, PRDE,actvstrat=,0.170791, actvprof=,0.719712, id=,B05, PRDE,actvstrat=,-0.974049, actvprof=,1.846919, id=,B06, PRDE,actvstrat=,-0.625687, actvprof=,0.747490, id=,B07, PRDE,actvstrat=,0.403131, actvprof=,1.051652, id=,B08, PRDE,actvstrat=,-0.966546, actvprof=,1.700532, id=,B09, PRDE,actvstrat=,0.321489, actvprof=,0.813322, id=,S00, PRDE,actvstrat=,0.800556, actvprof=,11.684004, id=,S01, PRDE,actvstrat=,0.292548, actvprof=,8.232663, id=,S02, PRDE,actvstrat=,-0.592883, actvprof=,3.107735, id=,S03, PRDE,actvstrat=,-0.766099, actvprof=,2.004972, id=,S04, PRDE,actvstrat=,-0.773392, actvprof=,1.779420, id=,S05, PRDE,actvstrat=,-0.498371, actvprof=,3.341065, id=,S06, PRDE,actvstrat=,-0.272832, actvprof=,4.162720, id=,S07, PRDE,actvstrat=,-0.776097, actvprof=,1.733031, id=,S08, PRDE,actvstrat=,-0.814054, actvprof=,1.451924, id=,S09, PRDE,actvstrat=,0.704041, actvprof=,10.535687, best_B_id=,B05, best_B_prof=,1.846919, best_B_strat=,-0.974049, best_S_id=,S00, best_S_prof=,11.684004, best_S_strat=,0.800556, 
t=,14400, id=,B00, PRDE,actvstrat=,0.023989, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.534190, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.982386, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.583969, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.678440, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.183453, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.202758, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.467332, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.718093, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.136190, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.617685, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.373426, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.295385, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.967983, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.305516, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.412639, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.773267, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.776097, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.468518, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.485470, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.023989, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.617685, 
t=,18000, id=,B00, PRDE,actvstrat=,0.023989, actvprof=,2.200278, id=,B01, PRDE,actvstrat=,0.534190, actvprof=,2.616667, id=,B02, PRDE,actvstrat=,0.982386, actvprof=,1.051111, id=,B03, PRDE,actvstrat=,-0.583969, actvprof=,2.666389, id=,B04, PRDE,actvstrat=,-0.678440, actvprof=,3.146111, id=,B05, PRDE,actvstrat=,-0.183453, actvprof=,2.002500, id=,B06, PRDE,actvstrat=,-0.202758, actvprof=,2.033611, id=,B07, PRDE,actvstrat=,-0.467332, actvprof=,2.260000, id=,B08, PRDE,actvstrat=,0.718093, actvprof=,2.733889, id=,B09, PRDE,actvstrat=,-0.136190, actvprof=,2.274167, id=,S00, PRDE,actvstrat=,0.617685, actvprof=,8.533333, id=,S01, PRDE,actvstrat=,-0.373426, actvprof=,3.216111, id=,S02, PRDE,actvstrat=,-0.295385, actvprof=,3.303611, id=,S03, PRDE,actvstrat=,0.967983, actvprof=,9.548056, id=,S04, PRDE,actvstrat=,-0.305516, actvprof=,3.254167, id=,S05, PRDE,actvstrat=,0.412639, actvprof=,7.194167, id=,S06, PRDE,actvstrat=,0.773267, actvprof=,9.818333, id=,S07, PRDE,actvstrat=,-0.776097, actvprof=,1.328333, id=,S08, PRDE,actvstrat=,0.468518, actvprof=,7.654444, id=,S09, PRDE,actvstrat=,-0.485470, actvprof=,2.786944, best_B_id=,B04, best_B_prof=,3.146111, best_B_strat=,-0.678440, best_S_id=,S06, best_S_prof=,9.818333, best_S_strat=,0.773267, 
t=,21600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.460405, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.225278, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.205880, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.235333, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.203614, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.534743, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.569150, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,1.000000, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,1.383908, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,1.440853, id=,B02, PRDE,actvstrat=,0.460405, actvprof=,2.941985, id=,B03, PRDE,actvstrat=,-0.225278, actvprof=,2.378366, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,1.375575, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.279184, id=,B06, PRDE,actvstrat=,0.205880, actvprof=,2.601703, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.297518, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.563077, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.359463, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,12.244615, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,12.313782, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.645606, id=,S03, PRDE,actvstrat=,0.235333, actvprof=,8.519841, id=,S04, PRDE,actvstrat=,0.203614, actvprof=,8.604286, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,3.708385, id=,S06, PRDE,actvstrat=,0.534743, actvprof=,10.226531, id=,S07, PRDE,actvstrat=,-0.569150, actvprof=,4.152002, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,12.066001, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,12.409895, best_B_id=,B02, best_B_prof=,2.941985, best_B_strat=,0.460405, best_S_id=,S09, best_S_prof=,12.409895, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,1.326824, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,1.378630, id=,B02, PRDE,actvstrat=,0.460405, actvprof=,2.799344, id=,B03, PRDE,actvstrat=,-0.225278, actvprof=,2.347394, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,1.288073, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.254740, id=,B06, PRDE,actvstrat=,0.205880, actvprof=,2.544619, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.303907, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.304601, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.238767, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,12.459479, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,12.307532, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.684079, id=,S03, PRDE,actvstrat=,0.235333, actvprof=,8.635814, id=,S04, PRDE,actvstrat=,0.203614, actvprof=,8.309282, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,3.688107, id=,S06, PRDE,actvstrat=,0.534743, actvprof=,10.404728, id=,S07, PRDE,actvstrat=,-0.569150, actvprof=,4.118252, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,12.183364, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,12.379477, best_B_id=,B02, best_B_prof=,2.799344, best_B_strat=,0.460405, best_S_id=,S00, best_S_prof=,12.459479, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.151541, actvprof=,1.343648, id=,B01, PRDE,actvstrat=,0.252971, actvprof=,1.669491, id=,B02, PRDE,actvstrat=,-0.827624, actvprof=,2.415345, id=,B03, PRDE,actvstrat=,0.097257, actvprof=,1.448651, id=,B04, PRDE,actvstrat=,-0.381306, actvprof=,1.391428, id=,B05, PRDE,actvstrat=,0.787184, actvprof=,1.833384, id=,B06, PRDE,actvstrat=,0.178435, actvprof=,1.412261, id=,B07, PRDE,actvstrat=,0.940987, actvprof=,1.129754, id=,B08, PRDE,actvstrat=,0.984152, actvprof=,0.647518, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.586683, id=,S00, PRDE,actvstrat=,-0.102634, actvprof=,5.712381, id=,S01, PRDE,actvstrat=,-0.092657, actvprof=,5.697936, id=,S02, PRDE,actvstrat=,0.509028, actvprof=,10.038334, id=,S03, PRDE,actvstrat=,0.057319, actvprof=,7.758827, id=,S04, PRDE,actvstrat=,-0.748448, actvprof=,2.322009, id=,S05, PRDE,actvstrat=,-0.498371, actvprof=,3.607600, id=,S06, PRDE,actvstrat=,0.381146, actvprof=,8.937193, id=,S07, PRDE,actvstrat=,0.252433, actvprof=,8.438290, id=,S08, PRDE,actvstrat=,0.145260, actvprof=,7.221312, id=,S09, PRDE,actvstrat=,0.935982, actvprof=,12.012556, best_B_id=,B02, best_B_prof=,2.415345, best_B_strat=,-0.827624, best_S_id=,S09, best_S_prof=,12.012556, best_S_strat=,0.935982, 
t=,36000, id=,B00, PRDE,actvstrat=,0.552280, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.714081, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.237220, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.362642, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.281825, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.351661, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.043730, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.316700, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.439100, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.552280, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-1.000000, 
