t=,3600, id=,B00, PRDE,actvstrat=,-0.531131, actvprof=,1.825000, id=,B01, PRDE,actvstrat=,0.178347, actvprof=,2.196667, id=,B02, PRDE,actvstrat=,-0.143641, actvprof=,1.853333, id=,B03, PRDE,actvstrat=,0.847700, actvprof=,2.397500, id=,B04, PRDE,actvstrat=,-0.077833, actvprof=,2.150278, id=,B05, PRDE,actvstrat=,-0.585155, actvprof=,2.157500, id=,B06, PRDE,actvstrat=,-0.720304, actvprof=,2.377222, id=,B07, PRDE,actvstrat=,-0.400113, actvprof=,1.870556, id=,B08, PRDE,actvstrat=,0.702618, actvprof=,2.890000, id=,B09, PRDE,actvstrat=,-0.716519, actvprof=,2.483889, id=,S00, PRDE,actvstrat=,0.542117, actvprof=,8.110556, id=,S01, PRDE,actvstrat=,-0.363179, actvprof=,4.390833, id=,S02, PRDE,actvstrat=,0.329328, actvprof=,7.744722, id=,S03, PRDE,actvstrat=,-0.519519, actvprof=,3.940556, id=,S04, PRDE,actvstrat=,-0.414281, actvprof=,4.544444, id=,S05, PRDE,actvstrat=,-0.685194, actvprof=,3.311389, id=,S06, PRDE,actvstrat=,0.648140, actvprof=,8.806389, id=,S07, PRDE,actvstrat=,-0.478054, actvprof=,4.333889, id=,S08, PRDE,actvstrat=,-0.629673, actvprof=,3.381389, id=,S09, PRDE,actvstrat=,-0.786879, actvprof=,2.700556, best_B_id=,B08, best_B_prof=,2.890000, best_B_strat=,0.702618, best_S_id=,S06, best_S_prof=,8.806389, best_S_strat=,0.648140, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.237349, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.098081, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.179289, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.512335, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.017144, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.932631, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.738574, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.373345, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.392944, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.424893, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.627533, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.699907, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.445045, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.034727, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.384532, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.474706, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.721563, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.620098, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.451046, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.588340, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.237349, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.627533, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.237349, actvprof=,2.448022, id=,B01, PRDE,actvstrat=,-0.098081, actvprof=,2.694963, id=,B02, PRDE,actvstrat=,0.179289, actvprof=,3.028847, id=,B03, PRDE,actvstrat=,-0.512335, actvprof=,2.654130, id=,B04, PRDE,actvstrat=,0.017144, actvprof=,2.535798, id=,B05, PRDE,actvstrat=,-0.932631, actvprof=,4.024944, id=,B06, PRDE,actvstrat=,-0.738574, actvprof=,3.274677, id=,B07, PRDE,actvstrat=,-0.373345, actvprof=,2.452466, id=,B08, PRDE,actvstrat=,-0.392944, actvprof=,2.696629, id=,B09, PRDE,actvstrat=,-0.424893, actvprof=,2.709129, id=,S00, PRDE,actvstrat=,0.627533, actvprof=,7.241288, id=,S01, PRDE,actvstrat=,0.699907, actvprof=,8.219053, id=,S02, PRDE,actvstrat=,-0.445045, actvprof=,2.325245, id=,S03, PRDE,actvstrat=,-0.034727, actvprof=,4.463549, id=,S04, PRDE,actvstrat=,-0.384532, actvprof=,2.989958, id=,S05, PRDE,actvstrat=,-0.474706, actvprof=,2.729129, id=,S06, PRDE,actvstrat=,-0.721563, actvprof=,2.196358, id=,S07, PRDE,actvstrat=,0.620098, actvprof=,7.707671, id=,S08, PRDE,actvstrat=,0.451046, actvprof=,6.681296, id=,S09, PRDE,actvstrat=,-0.588340, actvprof=,2.659130, best_B_id=,B05, best_B_prof=,4.024944, best_B_strat=,-0.932631, best_S_id=,S01, best_S_prof=,8.219053, best_S_strat=,0.699907, 
t=,14400, id=,B00, PRDE,actvstrat=,0.669193, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.232015, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.278713, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.512335, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.160432, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.466269, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.344810, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.729629, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.113110, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.719487, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.219112, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.361996, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.329328, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.019716, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.968103, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.404009, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.648140, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.642346, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.496324, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.251878, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.669193, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.219112, 
t=,18000, id=,B00, PRDE,actvstrat=,0.669193, actvprof=,2.266048, id=,B01, PRDE,actvstrat=,0.232015, actvprof=,1.907447, id=,B02, PRDE,actvstrat=,-0.278713, actvprof=,1.660509, id=,B03, PRDE,actvstrat=,-0.512335, actvprof=,1.636343, id=,B04, PRDE,actvstrat=,0.160432, actvprof=,1.647176, id=,B05, PRDE,actvstrat=,0.466269, actvprof=,2.346046, id=,B06, PRDE,actvstrat=,-0.344810, actvprof=,1.370517, id=,B07, PRDE,actvstrat=,0.729629, actvprof=,2.354657, id=,B08, PRDE,actvstrat=,0.113110, actvprof=,1.717175, id=,B09, PRDE,actvstrat=,0.719487, actvprof=,2.404378, id=,S00, PRDE,actvstrat=,-0.219112, actvprof=,4.349324, id=,S01, PRDE,actvstrat=,0.361996, actvprof=,7.883670, id=,S02, PRDE,actvstrat=,0.329328, actvprof=,8.004500, id=,S03, PRDE,actvstrat=,-0.019716, actvprof=,6.845088, id=,S04, PRDE,actvstrat=,-0.968103, actvprof=,1.687731, id=,S05, PRDE,actvstrat=,-0.404009, actvprof=,3.781562, id=,S06, PRDE,actvstrat=,0.648140, actvprof=,9.532235, id=,S07, PRDE,actvstrat=,-0.642346, actvprof=,3.507125, id=,S08, PRDE,actvstrat=,0.496324, actvprof=,8.996972, id=,S09, PRDE,actvstrat=,-0.251878, actvprof=,4.521541, best_B_id=,B09, best_B_prof=,2.404378, best_B_strat=,0.719487, best_S_id=,S06, best_S_prof=,9.532235, best_S_strat=,0.648140, 
t=,21600, id=,B00, PRDE,actvstrat=,0.261059, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.961229, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.526592, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.542119, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.005659, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.202540, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.995262, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.772718, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.143320, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.659231, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.084541, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.584493, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.290418, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.261059, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-1.000000, 
t=,25200, id=,B00, PRDE,actvstrat=,0.261059, actvprof=,2.543298, id=,B01, PRDE,actvstrat=,0.961229, actvprof=,1.951084, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,2.716073, id=,B03, PRDE,actvstrat=,-0.526592, actvprof=,2.327468, id=,B04, PRDE,actvstrat=,0.542119, actvprof=,2.529132, id=,B05, PRDE,actvstrat=,0.005659, actvprof=,2.344690, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.303579, id=,B07, PRDE,actvstrat=,-0.202540, actvprof=,2.151915, id=,B08, PRDE,actvstrat=,0.995262, actvprof=,1.724143, id=,B09, PRDE,actvstrat=,0.772718, actvprof=,2.507465, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.691574, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.917696, id=,S02, PRDE,actvstrat=,-0.143320, actvprof=,4.591047, id=,S03, PRDE,actvstrat=,0.659231, actvprof=,8.896265, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,6.467132, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,10.107915, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,6.169914, id=,S07, PRDE,actvstrat=,0.084541, actvprof=,6.286579, id=,S08, PRDE,actvstrat=,0.584493, actvprof=,8.712657, id=,S09, PRDE,actvstrat=,0.290418, actvprof=,7.370175, best_B_id=,B02, best_B_prof=,2.716073, best_B_strat=,-1.000000, best_S_id=,S05, best_S_prof=,10.107915, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.261059, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.250041, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.815942, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.775000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.916107, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.488500, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.185549, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.342037, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.226899, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.424893, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.627533, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.327323, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.321341, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.034727, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.098859, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.613252, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.171412, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.258943, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.602182, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.072810, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.261059, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.627533, 
t=,32400, id=,B00, PRDE,actvstrat=,0.261059, actvprof=,2.046474, id=,B01, PRDE,actvstrat=,0.250041, actvprof=,1.935636, id=,B02, PRDE,actvstrat=,-0.815942, actvprof=,2.745392, id=,B03, PRDE,actvstrat=,0.775000, actvprof=,2.444546, id=,B04, PRDE,actvstrat=,0.916107, actvprof=,1.782574, id=,B05, PRDE,actvstrat=,-0.488500, actvprof=,1.797297, id=,B06, PRDE,actvstrat=,-0.185549, actvprof=,1.648680, id=,B07, PRDE,actvstrat=,0.342037, actvprof=,2.063419, id=,B08, PRDE,actvstrat=,-0.226899, actvprof=,1.432004, id=,B09, PRDE,actvstrat=,-0.424893, actvprof=,1.863411, id=,S00, PRDE,actvstrat=,0.627533, actvprof=,8.937595, id=,S01, PRDE,actvstrat=,-0.327323, actvprof=,3.486256, id=,S02, PRDE,actvstrat=,0.321341, actvprof=,7.661430, id=,S03, PRDE,actvstrat=,-0.034727, actvprof=,5.081601, id=,S04, PRDE,actvstrat=,-0.098859, actvprof=,4.151006, id=,S05, PRDE,actvstrat=,0.613252, actvprof=,8.613414, id=,S06, PRDE,actvstrat=,0.171412, actvprof=,6.722780, id=,S07, PRDE,actvstrat=,-0.258943, actvprof=,3.216245, id=,S08, PRDE,actvstrat=,-0.602182, actvprof=,2.656500, id=,S09, PRDE,actvstrat=,0.072810, actvprof=,6.294707, best_B_id=,B02, best_B_prof=,2.745392, best_B_strat=,-0.815942, best_S_id=,S00, best_S_prof=,8.937595, best_S_strat=,0.627533, 
t=,36000, id=,B00, PRDE,actvstrat=,0.261059, actvprof=,2.046862, id=,B01, PRDE,actvstrat=,0.250041, actvprof=,1.995333, id=,B02, PRDE,actvstrat=,-0.815942, actvprof=,2.790772, id=,B03, PRDE,actvstrat=,0.775000, actvprof=,2.437429, id=,B04, PRDE,actvstrat=,0.916107, actvprof=,1.730048, id=,B05, PRDE,actvstrat=,-0.488500, actvprof=,1.745743, id=,B06, PRDE,actvstrat=,-0.185549, actvprof=,1.697964, id=,B07, PRDE,actvstrat=,0.342037, actvprof=,2.128948, id=,B08, PRDE,actvstrat=,-0.226899, actvprof=,1.558932, id=,B09, PRDE,actvstrat=,-0.424893, actvprof=,1.755327, id=,S00, PRDE,actvstrat=,0.627533, actvprof=,8.880386, id=,S01, PRDE,actvstrat=,-0.327323, actvprof=,3.355788, id=,S02, PRDE,actvstrat=,0.321341, actvprof=,7.519098, id=,S03, PRDE,actvstrat=,-0.034727, actvprof=,4.957499, id=,S04, PRDE,actvstrat=,-0.098859, actvprof=,4.306231, id=,S05, PRDE,actvstrat=,0.613252, actvprof=,8.661213, id=,S06, PRDE,actvstrat=,0.171412, actvprof=,6.578933, id=,S07, PRDE,actvstrat=,-0.258943, actvprof=,3.370233, id=,S08, PRDE,actvstrat=,-0.602182, actvprof=,2.879802, id=,S09, PRDE,actvstrat=,0.072810, actvprof=,6.350038, best_B_id=,B02, best_B_prof=,2.790772, best_B_strat=,-0.815942, best_S_id=,S00, best_S_prof=,8.880386, best_S_strat=,0.627533, 
t=,39600, id=,B00, PRDE,actvstrat=,-0.637215, actvprof=,1.223299, id=,B01, PRDE,actvstrat=,-0.724732, actvprof=,1.194411, id=,B02, PRDE,actvstrat=,0.262627, actvprof=,1.543846, id=,B03, PRDE,actvstrat=,-0.812953, actvprof=,1.406628, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,2.352157, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.379684, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.388573, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.241049, id=,B08, PRDE,actvstrat=,-0.866466, actvprof=,1.523569, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,2.201050, id=,S00, PRDE,actvstrat=,-0.609956, actvprof=,2.808533, id=,S01, PRDE,actvstrat=,0.242097, actvprof=,7.591734, id=,S02, PRDE,actvstrat=,0.750547, actvprof=,10.815533, id=,S03, PRDE,actvstrat=,-0.426406, actvprof=,3.480737, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,6.031221, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,6.041777, id=,S06, PRDE,actvstrat=,-0.699305, actvprof=,2.861865, id=,S07, PRDE,actvstrat=,0.945801, actvprof=,11.682731, id=,S08, PRDE,actvstrat=,0.708810, actvprof=,10.664148, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,5.742896, best_B_id=,B04, best_B_prof=,2.352157, best_B_strat=,-1.000000, best_S_id=,S07, best_S_prof=,11.682731, best_S_strat=,0.945801, 
