t=,1, id=,B00, PRDE,actvstrat=,-0.082369, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.368875, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.946334, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.753053, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.375584, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.165721, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.132446, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.467043, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.289944, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.519967, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.307011, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.675971, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.452096, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.686256, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.686219, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.024547, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.654406, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.516243, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.951736, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.021703, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.082369, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.307011, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.082369, actvprof=,2.655000, id=,B01, PRDE,actvstrat=,-0.368875, actvprof=,2.631111, id=,B02, PRDE,actvstrat=,-0.946334, actvprof=,3.501111, id=,B03, PRDE,actvstrat=,0.753053, actvprof=,2.944444, id=,B04, PRDE,actvstrat=,0.375584, actvprof=,2.961111, id=,B05, PRDE,actvstrat=,0.165721, actvprof=,2.757778, id=,B06, PRDE,actvstrat=,0.132446, actvprof=,2.563333, id=,B07, PRDE,actvstrat=,0.467043, actvprof=,2.970556, id=,B08, PRDE,actvstrat=,-0.289944, actvprof=,2.518056, id=,B09, PRDE,actvstrat=,0.519967, actvprof=,2.808889, id=,S00, PRDE,actvstrat=,0.307011, actvprof=,7.373889, id=,S01, PRDE,actvstrat=,0.675971, actvprof=,9.066944, id=,S02, PRDE,actvstrat=,-0.452096, actvprof=,3.236111, id=,S03, PRDE,actvstrat=,-0.686256, actvprof=,2.766667, id=,S04, PRDE,actvstrat=,-0.686219, actvprof=,3.074722, id=,S05, PRDE,actvstrat=,0.024547, actvprof=,6.178611, id=,S06, PRDE,actvstrat=,0.654406, actvprof=,8.744167, id=,S07, PRDE,actvstrat=,0.516243, actvprof=,8.154167, id=,S08, PRDE,actvstrat=,0.951736, actvprof=,9.673333, id=,S09, PRDE,actvstrat=,0.021703, actvprof=,5.753333, best_B_id=,B02, best_B_prof=,3.501111, best_B_strat=,-0.946334, best_S_id=,S08, best_S_prof=,9.673333, best_S_strat=,0.951736, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.196307, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.618606, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.465836, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.467401, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.460147, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.727139, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.637320, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.161322, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.592660, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.117467, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.222143, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.071209, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.942231, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.310713, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.592064, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.539604, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.200788, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.860354, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.837684, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.672914, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.196307, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.222143, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.196307, actvprof=,2.441077, id=,B01, PRDE,actvstrat=,-0.618606, actvprof=,2.956348, id=,B02, PRDE,actvstrat=,0.465836, actvprof=,2.851905, id=,B03, PRDE,actvstrat=,0.467401, actvprof=,2.684963, id=,B04, PRDE,actvstrat=,0.460147, actvprof=,2.944126, id=,B05, PRDE,actvstrat=,-0.727139, actvprof=,3.189122, id=,B06, PRDE,actvstrat=,-0.637320, actvprof=,2.743573, id=,B07, PRDE,actvstrat=,-0.161322, actvprof=,2.226636, id=,B08, PRDE,actvstrat=,0.592660, actvprof=,3.036624, id=,B09, PRDE,actvstrat=,-0.117467, actvprof=,2.520243, id=,S00, PRDE,actvstrat=,0.222143, actvprof=,6.183247, id=,S01, PRDE,actvstrat=,-0.071209, actvprof=,4.200219, id=,S02, PRDE,actvstrat=,0.942231, actvprof=,9.344592, id=,S03, PRDE,actvstrat=,-0.310713, actvprof=,2.762462, id=,S04, PRDE,actvstrat=,0.592064, actvprof=,7.747392, id=,S05, PRDE,actvstrat=,0.539604, actvprof=,7.373509, id=,S06, PRDE,actvstrat=,0.200788, actvprof=,5.995472, id=,S07, PRDE,actvstrat=,-0.860354, actvprof=,0.807767, id=,S08, PRDE,actvstrat=,0.837684, actvprof=,9.249594, id=,S09, PRDE,actvstrat=,-0.672914, actvprof=,2.539965, best_B_id=,B05, best_B_prof=,3.189122, best_B_strat=,-0.727139, best_S_id=,S02, best_S_prof=,9.344592, best_S_strat=,0.942231, 
t=,14400, id=,B00, PRDE,actvstrat=,0.544261, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.414829, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.559545, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.920827, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.620877, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.318454, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.235562, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.877209, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.373571, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.438768, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.246009, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.064432, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.835248, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.689279, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.818598, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.745680, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.670766, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.290280, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.837684, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.999689, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.544261, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.246009, 
t=,18000, id=,B00, PRDE,actvstrat=,0.544261, actvprof=,2.133611, id=,B01, PRDE,actvstrat=,-0.414829, actvprof=,1.831111, id=,B02, PRDE,actvstrat=,0.559545, actvprof=,2.067500, id=,B03, PRDE,actvstrat=,0.920827, actvprof=,1.575000, id=,B04, PRDE,actvstrat=,0.620877, actvprof=,2.287500, id=,B05, PRDE,actvstrat=,0.318454, actvprof=,1.899444, id=,B06, PRDE,actvstrat=,0.235562, actvprof=,1.835556, id=,B07, PRDE,actvstrat=,0.877209, actvprof=,1.804444, id=,B08, PRDE,actvstrat=,-0.373571, actvprof=,1.478611, id=,B09, PRDE,actvstrat=,-0.438768, actvprof=,1.425000, id=,S00, PRDE,actvstrat=,0.246009, actvprof=,7.760000, id=,S01, PRDE,actvstrat=,-0.064432, actvprof=,5.383333, id=,S02, PRDE,actvstrat=,-0.835248, actvprof=,1.649444, id=,S03, PRDE,actvstrat=,0.689279, actvprof=,9.861667, id=,S04, PRDE,actvstrat=,0.818598, actvprof=,10.726111, id=,S05, PRDE,actvstrat=,-0.745680, actvprof=,2.602222, id=,S06, PRDE,actvstrat=,-0.670766, actvprof=,3.190278, id=,S07, PRDE,actvstrat=,0.290280, actvprof=,7.526111, id=,S08, PRDE,actvstrat=,0.837684, actvprof=,11.061944, id=,S09, PRDE,actvstrat=,-0.999689, actvprof=,4.790000, best_B_id=,B04, best_B_prof=,2.287500, best_B_strat=,0.620877, best_S_id=,S08, best_S_prof=,11.061944, best_S_strat=,0.837684, 
t=,21600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.736404, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.959024, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.877686, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.591354, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.774685, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.534394, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.163111, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-1.000000, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.748889, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.375278, id=,B02, PRDE,actvstrat=,0.736404, actvprof=,1.046389, id=,B03, PRDE,actvstrat=,0.959024, actvprof=,0.708889, id=,B04, PRDE,actvstrat=,0.877686, actvprof=,1.031111, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.696111, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.319167, id=,B07, PRDE,actvstrat=,0.591354, actvprof=,0.929722, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.450278, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.798056, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,7.475833, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,6.901111, id=,S02, PRDE,actvstrat=,0.774685, actvprof=,13.334722, id=,S03, PRDE,actvstrat=,-0.534394, actvprof=,4.323333, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,13.588611, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,7.131667, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,7.103056, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,7.363889, id=,S08, PRDE,actvstrat=,0.163111, actvprof=,8.448611, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,13.669722, best_B_id=,B02, best_B_prof=,1.046389, best_B_strat=,0.736404, best_S_id=,S09, best_S_prof=,13.669722, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.585682, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.224348, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.027942, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.272640, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.666915, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.987843, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.590197, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.591354, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.470783, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.994067, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.496467, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.503307, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.879866, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.373773, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.741216, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.147806, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.512029, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.185362, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.992472, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.100882, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.585682, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.496467, 
t=,32400, id=,B00, PRDE,actvstrat=,0.585682, actvprof=,1.794266, id=,B01, PRDE,actvstrat=,0.224348, actvprof=,1.314240, id=,B02, PRDE,actvstrat=,-0.027942, actvprof=,1.077560, id=,B03, PRDE,actvstrat=,0.272640, actvprof=,1.338130, id=,B04, PRDE,actvstrat=,-0.666915, actvprof=,1.276182, id=,B05, PRDE,actvstrat=,0.987843, actvprof=,0.723651, id=,B06, PRDE,actvstrat=,0.590197, actvprof=,1.573699, id=,B07, PRDE,actvstrat=,0.591354, actvprof=,1.812601, id=,B08, PRDE,actvstrat=,-0.470783, actvprof=,1.055892, id=,B09, PRDE,actvstrat=,-0.994067, actvprof=,1.602867, id=,S00, PRDE,actvstrat=,-0.496467, actvprof=,3.315740, id=,S01, PRDE,actvstrat=,-0.503307, actvprof=,3.500472, id=,S02, PRDE,actvstrat=,0.879866, actvprof=,11.750653, id=,S03, PRDE,actvstrat=,0.373773, actvprof=,8.781043, id=,S04, PRDE,actvstrat=,0.741216, actvprof=,10.479749, id=,S05, PRDE,actvstrat=,-0.147806, actvprof=,5.043614, id=,S06, PRDE,actvstrat=,-0.512029, actvprof=,3.485749, id=,S07, PRDE,actvstrat=,-0.185362, actvprof=,4.538030, id=,S08, PRDE,actvstrat=,-0.992472, actvprof=,2.204289, id=,S09, PRDE,actvstrat=,0.100882, actvprof=,6.802322, best_B_id=,B07, best_B_prof=,1.812601, best_B_strat=,0.591354, best_S_id=,S02, best_S_prof=,11.750653, best_S_strat=,0.879866, 
t=,36000, id=,B00, PRDE,actvstrat=,0.585682, actvprof=,1.682535, id=,B01, PRDE,actvstrat=,0.224348, actvprof=,1.257804, id=,B02, PRDE,actvstrat=,-0.027942, actvprof=,1.093495, id=,B03, PRDE,actvstrat=,0.272640, actvprof=,1.302110, id=,B04, PRDE,actvstrat=,-0.666915, actvprof=,1.360723, id=,B05, PRDE,actvstrat=,0.987843, actvprof=,0.692653, id=,B06, PRDE,actvstrat=,0.590197, actvprof=,1.640173, id=,B07, PRDE,actvstrat=,0.591354, actvprof=,1.639895, id=,B08, PRDE,actvstrat=,-0.470783, actvprof=,1.052383, id=,B09, PRDE,actvstrat=,-0.994067, actvprof=,1.563366, id=,S00, PRDE,actvstrat=,-0.496467, actvprof=,3.476184, id=,S01, PRDE,actvstrat=,-0.503307, actvprof=,3.326597, id=,S02, PRDE,actvstrat=,0.879866, actvprof=,11.727189, id=,S03, PRDE,actvstrat=,0.373773, actvprof=,8.742127, id=,S04, PRDE,actvstrat=,0.741216, actvprof=,10.699945, id=,S05, PRDE,actvstrat=,-0.147806, actvprof=,4.919825, id=,S06, PRDE,actvstrat=,-0.512029, actvprof=,3.558546, id=,S07, PRDE,actvstrat=,-0.185362, actvprof=,4.573984, id=,S08, PRDE,actvstrat=,-0.992472, actvprof=,2.127822, id=,S09, PRDE,actvstrat=,0.100882, actvprof=,7.008618, best_B_id=,B00, best_B_prof=,1.682535, best_B_strat=,0.585682, best_S_id=,S02, best_S_prof=,11.727189, best_S_strat=,0.879866, 
