t=,3600, id=,B00, PRDE,actvstrat=,0.861812, actvprof=,1.557222, id=,B01, PRDE,actvstrat=,0.234134, actvprof=,1.111944, id=,B02, PRDE,actvstrat=,0.683302, actvprof=,1.547778, id=,B03, PRDE,actvstrat=,-0.802176, actvprof=,1.440556, id=,B04, PRDE,actvstrat=,0.614474, actvprof=,1.701667, id=,B05, PRDE,actvstrat=,0.713921, actvprof=,1.550278, id=,B06, PRDE,actvstrat=,-0.156278, actvprof=,0.822222, id=,B07, PRDE,actvstrat=,-0.406475, actvprof=,0.921111, id=,B08, PRDE,actvstrat=,-0.377537, actvprof=,0.840278, id=,B09, PRDE,actvstrat=,0.547009, actvprof=,1.455556, id=,S00, PRDE,actvstrat=,-0.490683, actvprof=,4.156389, id=,S01, PRDE,actvstrat=,-0.593581, actvprof=,4.142222, id=,S02, PRDE,actvstrat=,0.173339, actvprof=,8.456944, id=,S03, PRDE,actvstrat=,-0.596241, actvprof=,4.050278, id=,S04, PRDE,actvstrat=,-0.811413, actvprof=,2.439722, id=,S05, PRDE,actvstrat=,0.490324, actvprof=,9.547778, id=,S06, PRDE,actvstrat=,-0.363163, actvprof=,4.873611, id=,S07, PRDE,actvstrat=,-0.575381, actvprof=,4.633889, id=,S08, PRDE,actvstrat=,0.423424, actvprof=,9.314167, id=,S09, PRDE,actvstrat=,-0.966105, actvprof=,1.480833, best_B_id=,B04, best_B_prof=,1.701667, best_B_strat=,0.614474, best_S_id=,S05, best_S_prof=,9.547778, best_S_strat=,0.490324, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.540316, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.990438, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.183444, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.898275, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.065789, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.171297, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.036889, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.702418, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.211509, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.534499, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.895165, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.336257, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.575890, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.237665, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.064583, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.310284, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.354470, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.018494, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.381718, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.040011, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.540316, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.895165, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.540316, actvprof=,2.254229, id=,B01, PRDE,actvstrat=,-0.990438, actvprof=,2.668130, id=,B02, PRDE,actvstrat=,0.183444, actvprof=,2.397289, id=,B03, PRDE,actvstrat=,0.898275, actvprof=,1.923109, id=,B04, PRDE,actvstrat=,-0.065789, actvprof=,1.922831, id=,B05, PRDE,actvstrat=,0.171297, actvprof=,2.077280, id=,B06, PRDE,actvstrat=,0.036889, actvprof=,1.731993, id=,B07, PRDE,actvstrat=,0.702418, actvprof=,2.412567, id=,B08, PRDE,actvstrat=,0.211509, actvprof=,2.063391, id=,B09, PRDE,actvstrat=,-0.534499, actvprof=,2.262563, id=,S00, PRDE,actvstrat=,0.895165, actvprof=,10.551960, id=,S01, PRDE,actvstrat=,0.336257, actvprof=,7.674658, id=,S02, PRDE,actvstrat=,-0.575890, actvprof=,3.061474, id=,S03, PRDE,actvstrat=,-0.237665, actvprof=,4.000389, id=,S04, PRDE,actvstrat=,0.064583, actvprof=,6.270730, id=,S05, PRDE,actvstrat=,0.310284, actvprof=,7.422984, id=,S06, PRDE,actvstrat=,-0.354470, actvprof=,3.460929, id=,S07, PRDE,actvstrat=,-0.018494, actvprof=,6.106836, id=,S08, PRDE,actvstrat=,0.381718, actvprof=,7.568544, id=,S09, PRDE,actvstrat=,0.040011, actvprof=,6.148226, best_B_id=,B01, best_B_prof=,2.668130, best_B_strat=,-0.990438, best_S_id=,S00, best_S_prof=,10.551960, best_S_strat=,0.895165, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.540316, actvprof=,2.158086, id=,B01, PRDE,actvstrat=,-0.990438, actvprof=,2.537674, id=,B02, PRDE,actvstrat=,0.183444, actvprof=,2.241420, id=,B03, PRDE,actvstrat=,0.898275, actvprof=,1.943777, id=,B04, PRDE,actvstrat=,-0.065789, actvprof=,1.853220, id=,B05, PRDE,actvstrat=,0.171297, actvprof=,2.000583, id=,B06, PRDE,actvstrat=,0.036889, actvprof=,1.791553, id=,B07, PRDE,actvstrat=,0.702418, actvprof=,2.452673, id=,B08, PRDE,actvstrat=,0.211509, actvprof=,2.125446, id=,B09, PRDE,actvstrat=,-0.534499, actvprof=,2.145169, id=,S00, PRDE,actvstrat=,0.895165, actvprof=,10.503340, id=,S01, PRDE,actvstrat=,0.336257, actvprof=,7.690940, id=,S02, PRDE,actvstrat=,-0.575890, actvprof=,3.052959, id=,S03, PRDE,actvstrat=,-0.237665, actvprof=,3.749774, id=,S04, PRDE,actvstrat=,0.064583, actvprof=,6.335782, id=,S05, PRDE,actvstrat=,0.310284, actvprof=,7.396075, id=,S06, PRDE,actvstrat=,-0.354470, actvprof=,3.500188, id=,S07, PRDE,actvstrat=,-0.018494, actvprof=,6.061334, id=,S08, PRDE,actvstrat=,0.381718, actvprof=,7.763580, id=,S09, PRDE,actvstrat=,0.040011, actvprof=,5.953138, best_B_id=,B01, best_B_prof=,2.537674, best_B_strat=,-0.990438, best_S_id=,S00, best_S_prof=,10.503340, best_S_strat=,0.895165, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.540316, actvprof=,1.919273, id=,B01, PRDE,actvstrat=,-0.957125, actvprof=,3.243236, id=,B02, PRDE,actvstrat=,0.546550, actvprof=,2.400967, id=,B03, PRDE,actvstrat=,0.752024, actvprof=,2.460692, id=,B04, PRDE,actvstrat=,-0.451338, actvprof=,1.593144, id=,B05, PRDE,actvstrat=,-0.080990, actvprof=,1.742875, id=,B06, PRDE,actvstrat=,0.036889, actvprof=,1.728707, id=,B07, PRDE,actvstrat=,0.534687, actvprof=,2.298183, id=,B08, PRDE,actvstrat=,-0.263311, actvprof=,1.684538, id=,B09, PRDE,actvstrat=,-0.850427, actvprof=,2.607089, id=,S00, PRDE,actvstrat=,0.665929, actvprof=,8.811045, id=,S01, PRDE,actvstrat=,0.336257, actvprof=,7.079560, id=,S02, PRDE,actvstrat=,-0.348533, actvprof=,3.276015, id=,S03, PRDE,actvstrat=,-0.603448, actvprof=,2.917662, id=,S04, PRDE,actvstrat=,0.064583, actvprof=,5.856714, id=,S05, PRDE,actvstrat=,0.584322, actvprof=,8.452692, id=,S06, PRDE,actvstrat=,0.378773, actvprof=,7.308462, id=,S07, PRDE,actvstrat=,-0.682363, actvprof=,2.319296, id=,S08, PRDE,actvstrat=,0.381718, actvprof=,7.376243, id=,S09, PRDE,actvstrat=,-0.518819, actvprof=,2.550142, best_B_id=,B01, best_B_prof=,3.243236, best_B_strat=,-0.957125, best_S_id=,S00, best_S_prof=,8.811045, best_S_strat=,0.665929, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.540316, actvprof=,1.905192, id=,B01, PRDE,actvstrat=,-0.957125, actvprof=,3.238007, id=,B02, PRDE,actvstrat=,0.546550, actvprof=,2.465902, id=,B03, PRDE,actvstrat=,0.752024, actvprof=,2.433540, id=,B04, PRDE,actvstrat=,-0.451338, actvprof=,1.744632, id=,B05, PRDE,actvstrat=,-0.080990, actvprof=,1.731715, id=,B06, PRDE,actvstrat=,0.036889, actvprof=,1.798661, id=,B07, PRDE,actvstrat=,0.534687, actvprof=,2.389094, id=,B08, PRDE,actvstrat=,-0.263311, actvprof=,1.690186, id=,B09, PRDE,actvstrat=,-0.850427, actvprof=,2.593128, id=,S00, PRDE,actvstrat=,0.665929, actvprof=,8.836218, id=,S01, PRDE,actvstrat=,0.336257, actvprof=,7.057002, id=,S02, PRDE,actvstrat=,-0.348533, actvprof=,3.392316, id=,S03, PRDE,actvstrat=,-0.603448, actvprof=,2.877997, id=,S04, PRDE,actvstrat=,0.064583, actvprof=,5.813356, id=,S05, PRDE,actvstrat=,0.584322, actvprof=,8.365927, id=,S06, PRDE,actvstrat=,0.378773, actvprof=,7.222145, id=,S07, PRDE,actvstrat=,-0.682363, actvprof=,2.416178, id=,S08, PRDE,actvstrat=,0.381718, actvprof=,7.210339, id=,S09, PRDE,actvstrat=,-0.518819, actvprof=,2.698408, best_B_id=,B01, best_B_prof=,3.238007, best_B_strat=,-0.957125, best_S_id=,S00, best_S_prof=,8.836218, best_S_strat=,0.665929, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.338357, id=,B01, PRDE,actvstrat=,-0.568855, actvprof=,0.224182, id=,B02, PRDE,actvstrat=,-0.791365, actvprof=,0.206125, id=,B03, PRDE,actvstrat=,0.214954, actvprof=,0.423085, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.313355, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.335579, id=,B06, PRDE,actvstrat=,-0.267396, actvprof=,0.193625, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.243628, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.329745, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,0.285575, id=,S00, PRDE,actvstrat=,-0.603207, actvprof=,5.288978, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,8.126675, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,8.261685, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,8.189180, id=,S04, PRDE,actvstrat=,-0.480340, actvprof=,5.223418, id=,S05, PRDE,actvstrat=,-0.148346, actvprof=,6.114591, id=,S06, PRDE,actvstrat=,-0.820426, actvprof=,2.142093, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,8.252795, id=,S08, PRDE,actvstrat=,-0.470261, actvprof=,5.456490, id=,S09, PRDE,actvstrat=,0.417996, actvprof=,10.300160, best_B_id=,B03, best_B_prof=,0.423085, best_B_strat=,0.214954, best_S_id=,S09, best_S_prof=,10.300160, best_S_strat=,0.417996, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.310289, id=,B01, PRDE,actvstrat=,-0.568855, actvprof=,0.229730, id=,B02, PRDE,actvstrat=,-0.791365, actvprof=,0.283621, id=,B03, PRDE,actvstrat=,0.214954, actvprof=,0.386125, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.317928, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.339040, id=,B06, PRDE,actvstrat=,-0.267396, actvprof=,0.220980, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.295149, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.323067, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,0.342373, id=,S00, PRDE,actvstrat=,-0.603207, actvprof=,5.076843, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,8.160978, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,8.502517, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,8.315428, id=,S04, PRDE,actvstrat=,-0.480340, actvprof=,5.190736, id=,S05, PRDE,actvstrat=,-0.148346, actvprof=,6.264106, id=,S06, PRDE,actvstrat=,-0.820426, actvprof=,2.346054, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,8.210980, id=,S08, PRDE,actvstrat=,-0.470261, actvprof=,5.124761, id=,S09, PRDE,actvstrat=,0.417996, actvprof=,10.595090, best_B_id=,B03, best_B_prof=,0.386125, best_B_strat=,0.214954, best_S_id=,S09, best_S_prof=,10.595090, best_S_strat=,0.417996, 
t=,32400, id=,B00, PRDE,actvstrat=,0.094607, actvprof=,1.641503, id=,B01, PRDE,actvstrat=,-0.334157, actvprof=,1.442600, id=,B02, PRDE,actvstrat=,0.162184, actvprof=,1.645670, id=,B03, PRDE,actvstrat=,0.898275, actvprof=,1.762900, id=,B04, PRDE,actvstrat=,-0.509378, actvprof=,1.449267, id=,B05, PRDE,actvstrat=,-0.080990, actvprof=,1.510383, id=,B06, PRDE,actvstrat=,0.740129, actvprof=,2.207376, id=,B07, PRDE,actvstrat=,-0.882682, actvprof=,2.719078, id=,B08, PRDE,actvstrat=,0.438134, actvprof=,2.144593, id=,B09, PRDE,actvstrat=,0.496856, actvprof=,2.017918, id=,S00, PRDE,actvstrat=,0.396433, actvprof=,7.729703, id=,S01, PRDE,actvstrat=,-0.867454, actvprof=,0.691992, id=,S02, PRDE,actvstrat=,0.635272, actvprof=,9.091187, id=,S03, PRDE,actvstrat=,-0.500308, actvprof=,3.295507, id=,S04, PRDE,actvstrat=,0.671239, actvprof=,9.700396, id=,S05, PRDE,actvstrat=,0.310284, actvprof=,8.019724, id=,S06, PRDE,actvstrat=,-0.880919, actvprof=,0.577262, id=,S07, PRDE,actvstrat=,0.422751, actvprof=,7.910827, id=,S08, PRDE,actvstrat=,-0.606261, actvprof=,3.119383, id=,S09, PRDE,actvstrat=,0.417996, actvprof=,8.416973, best_B_id=,B07, best_B_prof=,2.719078, best_B_strat=,-0.882682, best_S_id=,S04, best_S_prof=,9.700396, best_S_strat=,0.671239, 
t=,36000, id=,B00, PRDE,actvstrat=,0.094607, actvprof=,1.624084, id=,B01, PRDE,actvstrat=,-0.334157, actvprof=,1.446300, id=,B02, PRDE,actvstrat=,0.162184, actvprof=,1.603389, id=,B03, PRDE,actvstrat=,0.898275, actvprof=,1.744505, id=,B04, PRDE,actvstrat=,-0.509378, actvprof=,1.547415, id=,B05, PRDE,actvstrat=,-0.080990, actvprof=,1.496024, id=,B06, PRDE,actvstrat=,0.740129, actvprof=,2.102990, id=,B07, PRDE,actvstrat=,-0.882682, actvprof=,2.781347, id=,B08, PRDE,actvstrat=,0.438134, actvprof=,2.107990, id=,B09, PRDE,actvstrat=,0.496856, actvprof=,2.049932, id=,S00, PRDE,actvstrat=,0.396433, actvprof=,7.861662, id=,S01, PRDE,actvstrat=,-0.867454, actvprof=,0.776416, id=,S02, PRDE,actvstrat=,0.635272, actvprof=,9.449217, id=,S03, PRDE,actvstrat=,-0.500308, actvprof=,3.099552, id=,S04, PRDE,actvstrat=,0.671239, actvprof=,9.839647, id=,S05, PRDE,actvstrat=,0.310284, actvprof=,7.847772, id=,S06, PRDE,actvstrat=,-0.880919, actvprof=,0.544741, id=,S07, PRDE,actvstrat=,0.422751, actvprof=,8.049585, id=,S08, PRDE,actvstrat=,-0.606261, actvprof=,3.043717, id=,S09, PRDE,actvstrat=,0.417996, actvprof=,8.341956, best_B_id=,B07, best_B_prof=,2.781347, best_B_strat=,-0.882682, best_S_id=,S04, best_S_prof=,9.839647, best_S_strat=,0.671239, 
t=,39600, id=,B00, PRDE,actvstrat=,-0.996724, actvprof=,2.820274, id=,B01, PRDE,actvstrat=,-0.635314, actvprof=,2.126318, id=,B02, PRDE,actvstrat=,-0.478934, actvprof=,1.593488, id=,B03, PRDE,actvstrat=,-0.144698, actvprof=,1.819344, id=,B04, PRDE,actvstrat=,0.548414, actvprof=,2.299390, id=,B05, PRDE,actvstrat=,-0.294102, actvprof=,1.667662, id=,B06, PRDE,actvstrat=,0.443607, actvprof=,2.127985, id=,B07, PRDE,actvstrat=,-0.349751, actvprof=,1.552929, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.417916, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,2.741655, id=,S00, PRDE,actvstrat=,0.010061, actvprof=,5.353576, id=,S01, PRDE,actvstrat=,0.674475, actvprof=,9.157279, id=,S02, PRDE,actvstrat=,-0.866572, actvprof=,0.926479, id=,S03, PRDE,actvstrat=,0.279480, actvprof=,6.972345, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,5.249677, id=,S05, PRDE,actvstrat=,-0.131237, actvprof=,3.700082, id=,S06, PRDE,actvstrat=,0.207209, actvprof=,6.737599, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,5.420249, id=,S08, PRDE,actvstrat=,0.012808, actvprof=,5.689164, id=,S09, PRDE,actvstrat=,0.605476, actvprof=,8.634173, best_B_id=,B00, best_B_prof=,2.820274, best_B_strat=,-0.996724, best_S_id=,S01, best_S_prof=,9.157279, best_S_strat=,0.674475, 
t=,43200, id=,B00, PRDE,actvstrat=,-0.996724, actvprof=,2.839999, id=,B01, PRDE,actvstrat=,-0.635314, actvprof=,1.963707, id=,B02, PRDE,actvstrat=,-0.478934, actvprof=,1.595772, id=,B03, PRDE,actvstrat=,-0.144698, actvprof=,1.747585, id=,B04, PRDE,actvstrat=,0.548414, actvprof=,2.369421, id=,B05, PRDE,actvstrat=,-0.294102, actvprof=,1.720639, id=,B06, PRDE,actvstrat=,0.443607, actvprof=,2.296223, id=,B07, PRDE,actvstrat=,-0.349751, actvprof=,1.580632, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.388956, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,2.715132, id=,S00, PRDE,actvstrat=,0.010061, actvprof=,5.370122, id=,S01, PRDE,actvstrat=,0.674475, actvprof=,9.036273, id=,S02, PRDE,actvstrat=,-0.866572, actvprof=,0.843235, id=,S03, PRDE,actvstrat=,0.279480, actvprof=,6.988812, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,5.533602, id=,S05, PRDE,actvstrat=,-0.131237, actvprof=,3.930052, id=,S06, PRDE,actvstrat=,0.207209, actvprof=,6.679075, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,5.606523, id=,S08, PRDE,actvstrat=,0.012808, actvprof=,5.483183, id=,S09, PRDE,actvstrat=,0.605476, actvprof=,8.714868, best_B_id=,B00, best_B_prof=,2.839999, best_B_strat=,-0.996724, best_S_id=,S01, best_S_prof=,9.036273, best_S_strat=,0.674475, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.168574, actvprof=,0.957593, id=,B01, PRDE,actvstrat=,0.531154, actvprof=,1.705721, id=,B02, PRDE,actvstrat=,0.112352, actvprof=,1.172336, id=,B03, PRDE,actvstrat=,0.752024, actvprof=,1.924076, id=,B04, PRDE,actvstrat=,-0.517975, actvprof=,1.182615, id=,B05, PRDE,actvstrat=,-0.139471, actvprof=,0.878697, id=,B06, PRDE,actvstrat=,-0.176138, actvprof=,0.964816, id=,B07, PRDE,actvstrat=,-0.745401, actvprof=,1.786563, id=,B08, PRDE,actvstrat=,0.300330, actvprof=,1.415415, id=,B09, PRDE,actvstrat=,0.936401, actvprof=,1.179004, id=,S00, PRDE,actvstrat=,0.463363, actvprof=,8.884197, id=,S01, PRDE,actvstrat=,0.748849, actvprof=,10.780770, id=,S02, PRDE,actvstrat=,-0.503303, actvprof=,3.226980, id=,S03, PRDE,actvstrat=,-0.461760, actvprof=,3.144195, id=,S04, PRDE,actvstrat=,-0.235294, actvprof=,4.122345, id=,S05, PRDE,actvstrat=,-0.382923, actvprof=,3.535344, id=,S06, PRDE,actvstrat=,0.659884, actvprof=,10.350729, id=,S07, PRDE,actvstrat=,-0.931390, actvprof=,0.355035, id=,S08, PRDE,actvstrat=,-0.531939, actvprof=,3.332824, id=,S09, PRDE,actvstrat=,-0.690389, actvprof=,2.640257, best_B_id=,B03, best_B_prof=,1.924076, best_B_strat=,0.752024, best_S_id=,S01, best_S_prof=,10.780770, best_S_strat=,0.748849, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.168574, actvprof=,1.018800, id=,B01, PRDE,actvstrat=,0.531154, actvprof=,1.636191, id=,B02, PRDE,actvstrat=,0.112352, actvprof=,1.155751, id=,B03, PRDE,actvstrat=,0.752024, actvprof=,1.871063, id=,B04, PRDE,actvstrat=,-0.517975, actvprof=,1.139222, id=,B05, PRDE,actvstrat=,-0.139471, actvprof=,0.949213, id=,B06, PRDE,actvstrat=,-0.176138, actvprof=,0.999771, id=,B07, PRDE,actvstrat=,-0.745401, actvprof=,1.668137, id=,B08, PRDE,actvstrat=,0.300330, actvprof=,1.376317, id=,B09, PRDE,actvstrat=,0.936401, actvprof=,1.203253, id=,S00, PRDE,actvstrat=,0.463363, actvprof=,8.521525, id=,S01, PRDE,actvstrat=,0.748849, actvprof=,10.672880, id=,S02, PRDE,actvstrat=,-0.503303, actvprof=,3.288493, id=,S03, PRDE,actvstrat=,-0.461760, actvprof=,3.265437, id=,S04, PRDE,actvstrat=,-0.235294, actvprof=,4.311737, id=,S05, PRDE,actvstrat=,-0.382923, actvprof=,3.414749, id=,S06, PRDE,actvstrat=,0.659884, actvprof=,10.095630, id=,S07, PRDE,actvstrat=,-0.931390, actvprof=,0.357517, id=,S08, PRDE,actvstrat=,-0.531939, actvprof=,3.183627, id=,S09, PRDE,actvstrat=,-0.690389, actvprof=,2.573736, best_B_id=,B03, best_B_prof=,1.871063, best_B_strat=,0.752024, best_S_id=,S01, best_S_prof=,10.672880, best_S_strat=,0.748849, 
t=,54000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.853428, id=,B01, PRDE,actvstrat=,-0.518260, actvprof=,2.791699, id=,B02, PRDE,actvstrat=,0.179468, actvprof=,2.542783, id=,B03, PRDE,actvstrat=,0.037195, actvprof=,2.208857, id=,B04, PRDE,actvstrat=,0.241429, actvprof=,2.370541, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.758362, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.800645, id=,B07, PRDE,actvstrat=,-0.402051, actvprof=,2.778364, id=,B08, PRDE,actvstrat=,0.020116, actvprof=,2.404156, id=,B09, PRDE,actvstrat=,-0.403014, actvprof=,2.391932, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.715635, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,10.601178, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.612624, id=,S03, PRDE,actvstrat=,-0.765909, actvprof=,2.153573, id=,S04, PRDE,actvstrat=,-0.842884, actvprof=,1.108456, id=,S05, PRDE,actvstrat=,0.247676, actvprof=,7.418880, id=,S06, PRDE,actvstrat=,0.087284, actvprof=,6.451272, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,10.686465, id=,S08, PRDE,actvstrat=,-0.222610, actvprof=,3.866819, id=,S09, PRDE,actvstrat=,0.521302, actvprof=,8.894044, best_B_id=,B01, best_B_prof=,2.791699, best_B_strat=,-0.518260, best_S_id=,S00, best_S_prof=,10.715635, best_S_strat=,1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.860320, id=,B01, PRDE,actvstrat=,-0.518260, actvprof=,2.859861, id=,B02, PRDE,actvstrat=,0.179468, actvprof=,2.502066, id=,B03, PRDE,actvstrat=,0.037195, actvprof=,2.237748, id=,B04, PRDE,actvstrat=,0.241429, actvprof=,2.560541, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.811664, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.828374, id=,B07, PRDE,actvstrat=,-0.402051, actvprof=,2.523734, id=,B08, PRDE,actvstrat=,0.020116, actvprof=,2.342058, id=,B09, PRDE,actvstrat=,-0.403014, actvprof=,2.447063, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.826915, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,10.755523, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.607814, id=,S03, PRDE,actvstrat=,-0.765909, actvprof=,1.995236, id=,S04, PRDE,actvstrat=,-0.842884, actvprof=,1.170890, id=,S05, PRDE,actvstrat=,0.247676, actvprof=,7.231046, id=,S06, PRDE,actvstrat=,0.087284, actvprof=,6.413367, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,10.678714, id=,S08, PRDE,actvstrat=,-0.222610, actvprof=,3.812546, id=,S09, PRDE,actvstrat=,0.521302, actvprof=,8.794316, best_B_id=,B01, best_B_prof=,2.859861, best_B_strat=,-0.518260, best_S_id=,S00, best_S_prof=,10.826915, best_S_strat=,1.000000, 
