t=,3600, id=,B00, PRDE,actvstrat=,-0.346008, actvprof=,2.645797, id=,B01, PRDE,actvstrat=,-0.686692, actvprof=,3.091068, id=,B02, PRDE,actvstrat=,-0.821582, actvprof=,3.728282, id=,B03, PRDE,actvstrat=,-0.199705, actvprof=,2.643852, id=,B04, PRDE,actvstrat=,-0.538932, actvprof=,2.993292, id=,B05, PRDE,actvstrat=,0.858359, actvprof=,2.938293, id=,B06, PRDE,actvstrat=,0.684587, actvprof=,3.228566, id=,B07, PRDE,actvstrat=,-0.223871, actvprof=,2.629130, id=,B08, PRDE,actvstrat=,-0.580226, actvprof=,2.761906, id=,B09, PRDE,actvstrat=,0.104672, actvprof=,2.809405, id=,S00, PRDE,actvstrat=,-0.510055, actvprof=,3.749948, id=,S01, PRDE,actvstrat=,-0.267240, actvprof=,4.450494, id=,S02, PRDE,actvstrat=,0.037749, actvprof=,6.015194, id=,S03, PRDE,actvstrat=,0.006792, actvprof=,5.956306, id=,S04, PRDE,actvstrat=,0.315633, actvprof=,6.892960, id=,S05, PRDE,actvstrat=,-0.177244, actvprof=,4.487160, id=,S06, PRDE,actvstrat=,0.874592, actvprof=,8.853210, id=,S07, PRDE,actvstrat=,-0.393419, actvprof=,3.804392, id=,S08, PRDE,actvstrat=,-0.518814, actvprof=,3.512729, id=,S09, PRDE,actvstrat=,0.217872, actvprof=,6.962403, best_B_id=,B02, best_B_prof=,3.728282, best_B_strat=,-0.821582, best_S_id=,S06, best_S_prof=,8.853210, best_S_strat=,0.874592, 
t=,7200, id=,B00, PRDE,actvstrat=,0.913589, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.226775, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.734542, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.559031, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.489357, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.413493, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.293709, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.929768, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.640830, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.314204, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.941449, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.111577, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.814634, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.490309, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.463787, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.173972, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.173383, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.283435, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.548761, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.202486, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.913589, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.941449, 
t=,10800, id=,B00, PRDE,actvstrat=,0.913589, actvprof=,1.236372, id=,B01, PRDE,actvstrat=,0.226775, actvprof=,1.376092, id=,B02, PRDE,actvstrat=,-0.734542, actvprof=,1.553312, id=,B03, PRDE,actvstrat=,0.559031, actvprof=,1.355537, id=,B04, PRDE,actvstrat=,-0.489357, actvprof=,1.113596, id=,B05, PRDE,actvstrat=,0.413493, actvprof=,1.451924, id=,B06, PRDE,actvstrat=,0.293709, actvprof=,1.257760, id=,B07, PRDE,actvstrat=,0.929768, actvprof=,1.189706, id=,B08, PRDE,actvstrat=,0.640830, actvprof=,1.608867, id=,B09, PRDE,actvstrat=,-0.314204, actvprof=,0.931932, id=,S00, PRDE,actvstrat=,-0.941449, actvprof=,1.052208, id=,S01, PRDE,actvstrat=,-0.111577, actvprof=,6.376300, id=,S02, PRDE,actvstrat=,-0.814634, actvprof=,1.927473, id=,S03, PRDE,actvstrat=,0.490309, actvprof=,9.705699, id=,S04, PRDE,actvstrat=,-0.463787, actvprof=,4.137998, id=,S05, PRDE,actvstrat=,-0.173972, actvprof=,5.322426, id=,S06, PRDE,actvstrat=,-0.173383, actvprof=,5.247983, id=,S07, PRDE,actvstrat=,0.283435, actvprof=,8.707935, id=,S08, PRDE,actvstrat=,0.548761, actvprof=,10.014305, id=,S09, PRDE,actvstrat=,0.202486, actvprof=,7.742670, best_B_id=,B08, best_B_prof=,1.608867, best_B_strat=,0.640830, best_S_id=,S08, best_S_prof=,10.014305, best_S_strat=,0.548761, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.204747, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.150678, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.766578, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.098084, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.371788, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.255035, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.255793, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.916664, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.320809, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.788929, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.006822, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.474951, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.781851, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.618538, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.278539, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.798366, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.999984, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.041972, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.981836, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.762893, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.204747, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.006822, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.204747, actvprof=,1.820833, id=,B01, PRDE,actvstrat=,-0.150678, actvprof=,1.861944, id=,B02, PRDE,actvstrat=,0.766578, actvprof=,2.466111, id=,B03, PRDE,actvstrat=,0.098084, actvprof=,2.116667, id=,B04, PRDE,actvstrat=,0.371788, actvprof=,2.547222, id=,B05, PRDE,actvstrat=,-0.255035, actvprof=,1.754722, id=,B06, PRDE,actvstrat=,0.255793, actvprof=,2.266389, id=,B07, PRDE,actvstrat=,-0.916664, actvprof=,3.648889, id=,B08, PRDE,actvstrat=,0.320809, actvprof=,2.555000, id=,B09, PRDE,actvstrat=,-0.788929, actvprof=,2.983056, id=,S00, PRDE,actvstrat=,0.006822, actvprof=,5.730556, id=,S01, PRDE,actvstrat=,-0.474951, actvprof=,2.816389, id=,S02, PRDE,actvstrat=,0.781851, actvprof=,9.528611, id=,S03, PRDE,actvstrat=,0.618538, actvprof=,8.185556, id=,S04, PRDE,actvstrat=,0.278539, actvprof=,6.401389, id=,S05, PRDE,actvstrat=,-0.798366, actvprof=,1.318611, id=,S06, PRDE,actvstrat=,-0.999984, actvprof=,4.303333, id=,S07, PRDE,actvstrat=,0.041972, actvprof=,5.540278, id=,S08, PRDE,actvstrat=,0.981836, actvprof=,9.765000, id=,S09, PRDE,actvstrat=,-0.762893, actvprof=,2.011667, best_B_id=,B07, best_B_prof=,3.648889, best_B_strat=,-0.916664, best_S_id=,S08, best_S_prof=,9.765000, best_S_strat=,0.981836, 
t=,21600, id=,B00, PRDE,actvstrat=,0.921513, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.537616, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.821582, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.859029, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.506833, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.148120, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.737935, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.133879, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.614588, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.103417, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.193739, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.310345, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.993427, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.323302, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.366868, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.709780, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.284424, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.159982, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.394042, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.504020, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.921513, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.193739, 
t=,25200, id=,B00, PRDE,actvstrat=,0.921513, actvprof=,1.326130, id=,B01, PRDE,actvstrat=,-0.537616, actvprof=,1.071682, id=,B02, PRDE,actvstrat=,-0.821582, actvprof=,1.681690, id=,B03, PRDE,actvstrat=,-0.859029, actvprof=,2.226975, id=,B04, PRDE,actvstrat=,0.506833, actvprof=,1.672245, id=,B05, PRDE,actvstrat=,0.148120, actvprof=,1.196683, id=,B06, PRDE,actvstrat=,0.737935, actvprof=,1.800303, id=,B07, PRDE,actvstrat=,-0.133879, actvprof=,1.043626, id=,B08, PRDE,actvstrat=,0.614588, actvprof=,1.823359, id=,B09, PRDE,actvstrat=,0.103417, actvprof=,1.142794, id=,S00, PRDE,actvstrat=,0.193739, actvprof=,6.901207, id=,S01, PRDE,actvstrat=,0.310345, actvprof=,8.021778, id=,S02, PRDE,actvstrat=,-0.993427, actvprof=,3.374214, id=,S03, PRDE,actvstrat=,-0.323302, actvprof=,3.673940, id=,S04, PRDE,actvstrat=,0.366868, actvprof=,7.894554, id=,S05, PRDE,actvstrat=,-0.709780, actvprof=,2.550035, id=,S06, PRDE,actvstrat=,-0.284424, actvprof=,3.297824, id=,S07, PRDE,actvstrat=,-0.159982, actvprof=,4.145058, id=,S08, PRDE,actvstrat=,0.394042, actvprof=,7.962611, id=,S09, PRDE,actvstrat=,0.504020, actvprof=,8.838734, best_B_id=,B03, best_B_prof=,2.226975, best_B_strat=,-0.859029, best_S_id=,S09, best_S_prof=,8.838734, best_S_strat=,0.504020, 
t=,28800, id=,B00, PRDE,actvstrat=,0.921513, actvprof=,1.430982, id=,B01, PRDE,actvstrat=,-0.537616, actvprof=,1.094174, id=,B02, PRDE,actvstrat=,-0.821582, actvprof=,1.726401, id=,B03, PRDE,actvstrat=,-0.859029, actvprof=,2.149876, id=,B04, PRDE,actvstrat=,0.506833, actvprof=,1.714179, id=,B05, PRDE,actvstrat=,0.148120, actvprof=,1.382510, id=,B06, PRDE,actvstrat=,0.737935, actvprof=,1.866402, id=,B07, PRDE,actvstrat=,-0.133879, actvprof=,1.096397, id=,B08, PRDE,actvstrat=,0.614588, actvprof=,1.822929, id=,B09, PRDE,actvstrat=,0.103417, actvprof=,1.146258, id=,S00, PRDE,actvstrat=,0.193739, actvprof=,6.903798, id=,S01, PRDE,actvstrat=,0.310345, actvprof=,7.872416, id=,S02, PRDE,actvstrat=,-0.993427, actvprof=,3.135022, id=,S03, PRDE,actvstrat=,-0.323302, actvprof=,3.628359, id=,S04, PRDE,actvstrat=,0.366868, actvprof=,7.769360, id=,S05, PRDE,actvstrat=,-0.709780, actvprof=,2.471406, id=,S06, PRDE,actvstrat=,-0.284424, actvprof=,3.341968, id=,S07, PRDE,actvstrat=,-0.159982, actvprof=,4.359614, id=,S08, PRDE,actvstrat=,0.394042, actvprof=,8.098528, id=,S09, PRDE,actvstrat=,0.504020, actvprof=,8.945479, best_B_id=,B03, best_B_prof=,2.149876, best_B_strat=,-0.859029, best_S_id=,S09, best_S_prof=,8.945479, best_S_strat=,0.504020, 
t=,32400, id=,B00, PRDE,actvstrat=,0.277477, actvprof=,2.207839, id=,B01, PRDE,actvstrat=,-0.421929, actvprof=,1.861441, id=,B02, PRDE,actvstrat=,0.162832, actvprof=,1.972277, id=,B03, PRDE,actvstrat=,-0.751739, actvprof=,2.593405, id=,B04, PRDE,actvstrat=,0.796553, actvprof=,2.395067, id=,B05, PRDE,actvstrat=,-0.456050, actvprof=,1.909220, id=,B06, PRDE,actvstrat=,-0.929933, actvprof=,3.285091, id=,B07, PRDE,actvstrat=,-0.133879, actvprof=,1.896442, id=,B08, PRDE,actvstrat=,-0.521807, actvprof=,1.787827, id=,B09, PRDE,actvstrat=,-0.788929, actvprof=,2.700353, id=,S00, PRDE,actvstrat=,-0.810101, actvprof=,1.029195, id=,S01, PRDE,actvstrat=,-0.212557, actvprof=,3.088697, id=,S02, PRDE,actvstrat=,-0.927112, actvprof=,0.458902, id=,S03, PRDE,actvstrat=,0.300921, actvprof=,6.523792, id=,S04, PRDE,actvstrat=,-0.103380, actvprof=,4.052890, id=,S05, PRDE,actvstrat=,-0.409167, actvprof=,2.558682, id=,S06, PRDE,actvstrat=,0.280324, actvprof=,6.169060, id=,S07, PRDE,actvstrat=,0.971993, actvprof=,9.704992, id=,S08, PRDE,actvstrat=,0.751984, actvprof=,9.060252, id=,S09, PRDE,actvstrat=,0.371218, actvprof=,6.968805, best_B_id=,B06, best_B_prof=,3.285091, best_B_strat=,-0.929933, best_S_id=,S07, best_S_prof=,9.704992, best_S_strat=,0.971993, 
t=,36000, id=,B00, PRDE,actvstrat=,0.277477, actvprof=,2.211142, id=,B01, PRDE,actvstrat=,-0.421929, actvprof=,1.809192, id=,B02, PRDE,actvstrat=,0.162832, actvprof=,1.941138, id=,B03, PRDE,actvstrat=,-0.751739, actvprof=,2.549619, id=,B04, PRDE,actvstrat=,0.796553, actvprof=,2.441562, id=,B05, PRDE,actvstrat=,-0.456050, actvprof=,1.893499, id=,B06, PRDE,actvstrat=,-0.929933, actvprof=,3.292407, id=,B07, PRDE,actvstrat=,-0.133879, actvprof=,1.919193, id=,B08, PRDE,actvstrat=,-0.521807, actvprof=,1.848081, id=,B09, PRDE,actvstrat=,-0.788929, actvprof=,2.665870, id=,S00, PRDE,actvstrat=,-0.810101, actvprof=,1.013903, id=,S01, PRDE,actvstrat=,-0.212557, actvprof=,3.142544, id=,S02, PRDE,actvstrat=,-0.927112, actvprof=,0.507229, id=,S03, PRDE,actvstrat=,0.300921, actvprof=,6.356616, id=,S04, PRDE,actvstrat=,-0.103380, actvprof=,4.001583, id=,S05, PRDE,actvstrat=,-0.409167, actvprof=,2.632259, id=,S06, PRDE,actvstrat=,0.280324, actvprof=,6.167030, id=,S07, PRDE,actvstrat=,0.971993, actvprof=,9.765136, id=,S08, PRDE,actvstrat=,0.751984, actvprof=,9.147627, id=,S09, PRDE,actvstrat=,0.371218, actvprof=,6.906485, best_B_id=,B06, best_B_prof=,3.292407, best_B_strat=,-0.929933, best_S_id=,S07, best_S_prof=,9.765136, best_S_strat=,0.971993, 
t=,39600, id=,B00, PRDE,actvstrat=,-0.789106, actvprof=,1.601433, id=,B01, PRDE,actvstrat=,0.568157, actvprof=,1.735048, id=,B02, PRDE,actvstrat=,-0.317230, actvprof=,0.967249, id=,B03, PRDE,actvstrat=,0.559031, actvprof=,1.889775, id=,B04, PRDE,actvstrat=,0.999143, actvprof=,0.728076, id=,B05, PRDE,actvstrat=,-0.941229, actvprof=,2.335065, id=,B06, PRDE,actvstrat=,0.737935, actvprof=,1.833940, id=,B07, PRDE,actvstrat=,-0.424675, actvprof=,1.015306, id=,B08, PRDE,actvstrat=,0.222647, actvprof=,1.461152, id=,B09, PRDE,actvstrat=,-0.931455, actvprof=,2.322565, id=,S00, PRDE,actvstrat=,0.531899, actvprof=,9.263591, id=,S01, PRDE,actvstrat=,0.131337, actvprof=,6.952971, id=,S02, PRDE,actvstrat=,0.050308, actvprof=,6.777966, id=,S03, PRDE,actvstrat=,0.723537, actvprof=,10.601683, id=,S04, PRDE,actvstrat=,-0.463787, actvprof=,3.348982, id=,S05, PRDE,actvstrat=,-0.709780, actvprof=,2.695630, id=,S06, PRDE,actvstrat=,-0.133346, actvprof=,4.541237, id=,S07, PRDE,actvstrat=,0.189934, actvprof=,7.463541, id=,S08, PRDE,actvstrat=,0.047198, actvprof=,6.532681, id=,S09, PRDE,actvstrat=,-0.365541, actvprof=,3.578711, best_B_id=,B05, best_B_prof=,2.335065, best_B_strat=,-0.941229, best_S_id=,S03, best_S_prof=,10.601683, best_S_strat=,0.723537, 
t=,43200, id=,B00, PRDE,actvstrat=,-0.789106, actvprof=,1.687813, id=,B01, PRDE,actvstrat=,0.568157, actvprof=,1.782676, id=,B02, PRDE,actvstrat=,-0.317230, actvprof=,0.983493, id=,B03, PRDE,actvstrat=,0.559031, actvprof=,1.753370, id=,B04, PRDE,actvstrat=,0.999143, actvprof=,0.696542, id=,B05, PRDE,actvstrat=,-0.941229, actvprof=,2.307409, id=,B06, PRDE,actvstrat=,0.737935, actvprof=,1.799204, id=,B07, PRDE,actvstrat=,-0.424675, actvprof=,1.030299, id=,B08, PRDE,actvstrat=,0.222647, actvprof=,1.426696, id=,B09, PRDE,actvstrat=,-0.931455, actvprof=,2.253936, id=,S00, PRDE,actvstrat=,0.531899, actvprof=,9.012271, id=,S01, PRDE,actvstrat=,0.131337, actvprof=,7.033619, id=,S02, PRDE,actvstrat=,0.050308, actvprof=,6.568609, id=,S03, PRDE,actvstrat=,0.723537, actvprof=,10.738974, id=,S04, PRDE,actvstrat=,-0.463787, actvprof=,3.396876, id=,S05, PRDE,actvstrat=,-0.709780, actvprof=,2.582970, id=,S06, PRDE,actvstrat=,-0.133346, actvprof=,4.765099, id=,S07, PRDE,actvstrat=,0.189934, actvprof=,7.518768, id=,S08, PRDE,actvstrat=,0.047198, actvprof=,6.638611, id=,S09, PRDE,actvstrat=,-0.365541, actvprof=,3.735494, best_B_id=,B05, best_B_prof=,2.307409, best_B_strat=,-0.941229, best_S_id=,S03, best_S_prof=,10.738974, best_S_strat=,0.723537, 
t=,46800, id=,B00, PRDE,actvstrat=,0.921513, actvprof=,1.245607, id=,B01, PRDE,actvstrat=,-0.686692, actvprof=,0.795589, id=,B02, PRDE,actvstrat=,-0.317230, actvprof=,0.685862, id=,B03, PRDE,actvstrat=,-0.859029, actvprof=,1.384780, id=,B04, PRDE,actvstrat=,-0.538932, actvprof=,0.754754, id=,B05, PRDE,actvstrat=,0.443684, actvprof=,1.235607, id=,B06, PRDE,actvstrat=,0.762474, actvprof=,1.560065, id=,B07, PRDE,actvstrat=,-0.886908, actvprof=,1.681181, id=,B08, PRDE,actvstrat=,0.313278, actvprof=,1.050599, id=,B09, PRDE,actvstrat=,0.103417, actvprof=,0.774755, id=,S00, PRDE,actvstrat=,0.193739, actvprof=,7.023348, id=,S01, PRDE,actvstrat=,-0.111577, actvprof=,4.600192, id=,S02, PRDE,actvstrat=,0.385056, actvprof=,8.443407, id=,S03, PRDE,actvstrat=,-0.008078, actvprof=,6.302207, id=,S04, PRDE,actvstrat=,-0.463787, actvprof=,3.674042, id=,S05, PRDE,actvstrat=,-0.817310, actvprof=,1.469506, id=,S06, PRDE,actvstrat=,-0.173383, actvprof=,4.431574, id=,S07, PRDE,actvstrat=,0.189934, actvprof=,7.296971, id=,S08, PRDE,actvstrat=,-0.875121, actvprof=,0.558357, id=,S09, PRDE,actvstrat=,-0.562919, actvprof=,3.278470, best_B_id=,B07, best_B_prof=,1.681181, best_B_strat=,-0.886908, best_S_id=,S02, best_S_prof=,8.443407, best_S_strat=,0.385056, 
t=,50400, id=,B00, PRDE,actvstrat=,0.921513, actvprof=,1.260026, id=,B01, PRDE,actvstrat=,-0.686692, actvprof=,0.780988, id=,B02, PRDE,actvstrat=,-0.317230, actvprof=,0.648069, id=,B03, PRDE,actvstrat=,-0.859029, actvprof=,1.467114, id=,B04, PRDE,actvstrat=,-0.538932, actvprof=,0.701265, id=,B05, PRDE,actvstrat=,0.443684, actvprof=,1.241415, id=,B06, PRDE,actvstrat=,0.762474, actvprof=,1.550727, id=,B07, PRDE,actvstrat=,-0.886908, actvprof=,1.741286, id=,B08, PRDE,actvstrat=,0.313278, actvprof=,1.037244, id=,B09, PRDE,actvstrat=,0.103417, actvprof=,0.759044, id=,S00, PRDE,actvstrat=,0.193739, actvprof=,7.170427, id=,S01, PRDE,actvstrat=,-0.111577, actvprof=,4.916352, id=,S02, PRDE,actvstrat=,0.385056, actvprof=,8.528233, id=,S03, PRDE,actvstrat=,-0.008078, actvprof=,6.298603, id=,S04, PRDE,actvstrat=,-0.463787, actvprof=,3.615909, id=,S05, PRDE,actvstrat=,-0.817310, actvprof=,1.408363, id=,S06, PRDE,actvstrat=,-0.173383, actvprof=,4.369813, id=,S07, PRDE,actvstrat=,0.189934, actvprof=,7.298208, id=,S08, PRDE,actvstrat=,-0.875121, actvprof=,0.447093, id=,S09, PRDE,actvstrat=,-0.562919, actvprof=,3.461044, best_B_id=,B07, best_B_prof=,1.741286, best_B_strat=,-0.886908, best_S_id=,S02, best_S_prof=,8.528233, best_S_strat=,0.385056, 
