t=,0, id=,B00, PRDE,actvstrat=,-0.122064, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.299555, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.695047, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.263377, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.775732, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.292977, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.541043, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.719069, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.045796, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.468889, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.901065, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.659418, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.608396, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.348935, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.685360, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.900236, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.220291, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.656892, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.706418, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.404713, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.122064, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.901065, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.122064, actvprof=,2.416078, id=,B01, PRDE,actvstrat=,0.299555, actvprof=,2.591075, id=,B02, PRDE,actvstrat=,0.695047, actvprof=,2.712185, id=,B03, PRDE,actvstrat=,-0.263377, actvprof=,2.071360, id=,B04, PRDE,actvstrat=,-0.775732, actvprof=,3.083013, id=,B05, PRDE,actvstrat=,0.292977, actvprof=,2.396078, id=,B06, PRDE,actvstrat=,-0.541043, actvprof=,2.391911, id=,B07, PRDE,actvstrat=,0.719069, actvprof=,2.813294, id=,B08, PRDE,actvstrat=,0.045796, actvprof=,2.332745, id=,B09, PRDE,actvstrat=,-0.468889, actvprof=,2.498021, id=,S00, PRDE,actvstrat=,-0.901065, actvprof=,0.726101, id=,S01, PRDE,actvstrat=,0.659418, actvprof=,8.670713, id=,S02, PRDE,actvstrat=,0.608396, actvprof=,8.444049, id=,S03, PRDE,actvstrat=,-0.348935, actvprof=,3.116623, id=,S04, PRDE,actvstrat=,0.685360, actvprof=,8.849599, id=,S05, PRDE,actvstrat=,0.900236, actvprof=,9.644588, id=,S06, PRDE,actvstrat=,-0.220291, actvprof=,3.356064, id=,S07, PRDE,actvstrat=,0.656892, actvprof=,8.597936, id=,S08, PRDE,actvstrat=,-0.706418, actvprof=,1.974695, id=,S09, PRDE,actvstrat=,-0.404713, actvprof=,3.112735, best_B_id=,B04, best_B_prof=,3.083013, best_B_strat=,-0.775732, best_S_id=,S05, best_S_prof=,9.644588, best_S_strat=,0.900236, 
t=,7200, id=,B00, PRDE,actvstrat=,0.889011, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.894461, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.630114, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.509688, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.022030, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.878851, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.777179, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.816629, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.934722, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.465534, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.796347, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.575283, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.395394, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.250895, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.114604, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.275805, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.830456, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.542833, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.449190, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.805781, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.889011, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.796347, 
t=,10800, id=,B00, PRDE,actvstrat=,0.889011, actvprof=,1.826919, id=,B01, PRDE,actvstrat=,0.894461, actvprof=,1.915807, id=,B02, PRDE,actvstrat=,0.630114, actvprof=,2.341912, id=,B03, PRDE,actvstrat=,0.509688, actvprof=,2.183581, id=,B04, PRDE,actvstrat=,-0.022030, actvprof=,1.768309, id=,B05, PRDE,actvstrat=,0.878851, actvprof=,2.152748, id=,B06, PRDE,actvstrat=,-0.777179, actvprof=,2.539965, id=,B07, PRDE,actvstrat=,-0.816629, actvprof=,2.804405, id=,B08, PRDE,actvstrat=,-0.934722, actvprof=,2.942459, id=,B09, PRDE,actvstrat=,0.465534, actvprof=,2.165525, id=,S00, PRDE,actvstrat=,0.796347, actvprof=,10.843461, id=,S01, PRDE,actvstrat=,0.575283, actvprof=,9.019597, id=,S02, PRDE,actvstrat=,-0.395394, actvprof=,3.538840, id=,S03, PRDE,actvstrat=,0.250895, actvprof=,7.605450, id=,S04, PRDE,actvstrat=,-0.114604, actvprof=,4.885765, id=,S05, PRDE,actvstrat=,0.275805, actvprof=,7.912946, id=,S06, PRDE,actvstrat=,0.830456, actvprof=,10.847905, id=,S07, PRDE,actvstrat=,-0.542833, actvprof=,3.211900, id=,S08, PRDE,actvstrat=,0.449190, actvprof=,8.420994, id=,S09, PRDE,actvstrat=,0.805781, actvprof=,10.603464, best_B_id=,B08, best_B_prof=,2.942459, best_B_strat=,-0.934722, best_S_id=,S06, best_S_prof=,10.847905, best_S_strat=,0.830456, 
t=,14400, id=,B00, PRDE,actvstrat=,0.516707, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.583878, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.076197, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.047001, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.944410, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.540023, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.777179, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.207838, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.958767, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.975441, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.364151, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.575321, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.166771, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.862142, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.125625, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.271532, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.661031, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.204976, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.210948, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.020494, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.516707, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.364151, 
t=,18000, id=,B00, PRDE,actvstrat=,0.516707, actvprof=,1.940332, id=,B01, PRDE,actvstrat=,-0.583878, actvprof=,1.428929, id=,B02, PRDE,actvstrat=,-0.076197, actvprof=,1.487264, id=,B03, PRDE,actvstrat=,-0.047001, actvprof=,1.586155, id=,B04, PRDE,actvstrat=,0.944410, actvprof=,1.366427, id=,B05, PRDE,actvstrat=,0.540023, actvprof=,2.093391, id=,B06, PRDE,actvstrat=,-0.777179, actvprof=,1.928665, id=,B07, PRDE,actvstrat=,-0.207838, actvprof=,1.296147, id=,B08, PRDE,actvstrat=,-0.958767, actvprof=,2.537293, id=,B09, PRDE,actvstrat=,-0.975441, actvprof=,2.608128, id=,S00, PRDE,actvstrat=,0.364151, actvprof=,7.430762, id=,S01, PRDE,actvstrat=,0.575321, actvprof=,9.383038, id=,S02, PRDE,actvstrat=,0.166771, actvprof=,6.407678, id=,S03, PRDE,actvstrat=,0.862142, actvprof=,10.755854, id=,S04, PRDE,actvstrat=,-0.125625, actvprof=,4.297064, id=,S05, PRDE,actvstrat=,-0.271532, actvprof=,3.651213, id=,S06, PRDE,actvstrat=,-0.661031, actvprof=,2.629795, id=,S07, PRDE,actvstrat=,-0.204976, actvprof=,3.692880, id=,S08, PRDE,actvstrat=,-0.210948, actvprof=,3.657046, id=,S09, PRDE,actvstrat=,-0.020494, actvprof=,6.112948, best_B_id=,B09, best_B_prof=,2.608128, best_B_strat=,-0.975441, best_S_id=,S03, best_S_prof=,10.755854, best_S_strat=,0.862142, 
t=,21600, id=,B00, PRDE,actvstrat=,0.516707, actvprof=,2.014750, id=,B01, PRDE,actvstrat=,-0.583878, actvprof=,1.497521, id=,B02, PRDE,actvstrat=,-0.076197, actvprof=,1.529327, id=,B03, PRDE,actvstrat=,-0.047001, actvprof=,1.544049, id=,B04, PRDE,actvstrat=,0.944410, actvprof=,1.378630, id=,B05, PRDE,actvstrat=,0.540023, actvprof=,2.111418, id=,B06, PRDE,actvstrat=,-0.777179, actvprof=,2.029195, id=,B07, PRDE,actvstrat=,-0.207838, actvprof=,1.320713, id=,B08, PRDE,actvstrat=,-0.958767, actvprof=,2.559897, id=,B09, PRDE,actvstrat=,-0.975441, actvprof=,2.583508, id=,S00, PRDE,actvstrat=,0.364151, actvprof=,7.442464, id=,S01, PRDE,actvstrat=,0.575321, actvprof=,9.216795, id=,S02, PRDE,actvstrat=,0.166771, actvprof=,6.600231, id=,S03, PRDE,actvstrat=,0.862142, actvprof=,10.734594, id=,S04, PRDE,actvstrat=,-0.125625, actvprof=,4.357144, id=,S05, PRDE,actvstrat=,-0.271532, actvprof=,3.779080, id=,S06, PRDE,actvstrat=,-0.661031, actvprof=,2.769066, id=,S07, PRDE,actvstrat=,-0.204976, actvprof=,3.875470, id=,S08, PRDE,actvstrat=,-0.210948, actvprof=,3.662690, id=,S09, PRDE,actvstrat=,-0.020494, actvprof=,5.950083, best_B_id=,B09, best_B_prof=,2.583508, best_B_strat=,-0.975441, best_S_id=,S03, best_S_prof=,10.734594, best_S_strat=,0.862142, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.277591, actvprof=,1.721738, id=,B01, PRDE,actvstrat=,0.651326, actvprof=,2.217870, id=,B02, PRDE,actvstrat=,0.435492, actvprof=,2.142867, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.872259, id=,B04, PRDE,actvstrat=,-0.515250, actvprof=,1.993694, id=,B05, PRDE,actvstrat=,0.798482, actvprof=,1.958415, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.406767, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.278428, id=,B08, PRDE,actvstrat=,0.011607, actvprof=,1.623679, id=,B09, PRDE,actvstrat=,-0.608413, actvprof=,2.079531, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,11.057127, id=,S01, PRDE,actvstrat=,0.098312, actvprof=,6.900565, id=,S02, PRDE,actvstrat=,0.576517, actvprof=,9.627346, id=,S03, PRDE,actvstrat=,-0.555012, actvprof=,3.522647, id=,S04, PRDE,actvstrat=,0.295834, actvprof=,7.730878, id=,S05, PRDE,actvstrat=,-0.326736, actvprof=,3.938497, id=,S06, PRDE,actvstrat=,-0.338859, actvprof=,3.607650, id=,S07, PRDE,actvstrat=,0.541357, actvprof=,9.183438, id=,S08, PRDE,actvstrat=,-0.631951, actvprof=,2.800394, id=,S09, PRDE,actvstrat=,0.867406, actvprof=,10.962123, best_B_id=,B06, best_B_prof=,2.406767, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,11.057127, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.277591, actvprof=,1.703496, id=,B01, PRDE,actvstrat=,0.651326, actvprof=,2.247115, id=,B02, PRDE,actvstrat=,0.435492, actvprof=,2.112390, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.900013, id=,B04, PRDE,actvstrat=,-0.515250, actvprof=,1.855026, id=,B05, PRDE,actvstrat=,0.798482, actvprof=,2.103363, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.400172, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.337671, id=,B08, PRDE,actvstrat=,0.011607, actvprof=,1.686135, id=,B09, PRDE,actvstrat=,-0.608413, actvprof=,2.163641, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.892790, id=,S01, PRDE,actvstrat=,0.098312, actvprof=,6.923429, id=,S02, PRDE,actvstrat=,0.576517, actvprof=,9.503326, id=,S03, PRDE,actvstrat=,-0.555012, actvprof=,3.336157, id=,S04, PRDE,actvstrat=,0.295834, actvprof=,7.868859, id=,S05, PRDE,actvstrat=,-0.326736, actvprof=,4.024223, id=,S06, PRDE,actvstrat=,-0.338859, actvprof=,3.609911, id=,S07, PRDE,actvstrat=,0.541357, actvprof=,9.119571, id=,S08, PRDE,actvstrat=,-0.631951, actvprof=,2.970875, id=,S09, PRDE,actvstrat=,0.867406, actvprof=,11.120849, best_B_id=,B06, best_B_prof=,2.400172, best_B_strat=,-1.000000, best_S_id=,S09, best_S_prof=,11.120849, best_S_strat=,0.867406, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.637469, actvprof=,0.956998, id=,B01, PRDE,actvstrat=,-0.645834, actvprof=,0.920051, id=,B02, PRDE,actvstrat=,0.618987, actvprof=,1.602589, id=,B03, PRDE,actvstrat=,0.724542, actvprof=,1.678149, id=,B04, PRDE,actvstrat=,-0.650705, actvprof=,1.124507, id=,B05, PRDE,actvstrat=,0.878851, actvprof=,1.715095, id=,B06, PRDE,actvstrat=,-0.775896, actvprof=,1.350908, id=,B07, PRDE,actvstrat=,-0.391301, actvprof=,0.913940, id=,B08, PRDE,actvstrat=,-0.534796, actvprof=,1.035613, id=,B09, PRDE,actvstrat=,-0.969786, actvprof=,2.129007, id=,S00, PRDE,actvstrat=,-0.686440, actvprof=,2.602922, id=,S01, PRDE,actvstrat=,-0.605444, actvprof=,2.936552, id=,S02, PRDE,actvstrat=,0.302768, actvprof=,7.606811, id=,S03, PRDE,actvstrat=,-0.402429, actvprof=,3.000167, id=,S04, PRDE,actvstrat=,-0.308317, actvprof=,3.847714, id=,S05, PRDE,actvstrat=,-0.656167, actvprof=,2.706539, id=,S06, PRDE,actvstrat=,0.432913, actvprof=,8.095450, id=,S07, PRDE,actvstrat=,-0.395969, actvprof=,3.529085, id=,S08, PRDE,actvstrat=,0.549575, actvprof=,9.135508, id=,S09, PRDE,actvstrat=,-0.160030, actvprof=,4.449136, best_B_id=,B09, best_B_prof=,2.129007, best_B_strat=,-0.969786, best_S_id=,S08, best_S_prof=,9.135508, best_S_strat=,0.549575, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.637469, actvprof=,0.936693, id=,B01, PRDE,actvstrat=,-0.645834, actvprof=,0.985166, id=,B02, PRDE,actvstrat=,0.618987, actvprof=,1.600739, id=,B03, PRDE,actvstrat=,0.724542, actvprof=,1.689214, id=,B04, PRDE,actvstrat=,-0.650705, actvprof=,1.021139, id=,B05, PRDE,actvstrat=,0.878851, actvprof=,1.651990, id=,B06, PRDE,actvstrat=,-0.775896, actvprof=,1.306147, id=,B07, PRDE,actvstrat=,-0.391301, actvprof=,0.882525, id=,B08, PRDE,actvstrat=,-0.534796, actvprof=,0.962943, id=,B09, PRDE,actvstrat=,-0.969786, actvprof=,2.202978, id=,S00, PRDE,actvstrat=,-0.686440, actvprof=,2.545210, id=,S01, PRDE,actvstrat=,-0.605444, actvprof=,2.916331, id=,S02, PRDE,actvstrat=,0.302768, actvprof=,7.590350, id=,S03, PRDE,actvstrat=,-0.402429, actvprof=,3.326759, id=,S04, PRDE,actvstrat=,-0.308317, actvprof=,3.806495, id=,S05, PRDE,actvstrat=,-0.656167, actvprof=,2.628406, id=,S06, PRDE,actvstrat=,0.432913, actvprof=,8.177310, id=,S07, PRDE,actvstrat=,-0.395969, actvprof=,3.503847, id=,S08, PRDE,actvstrat=,0.549575, actvprof=,9.085113, id=,S09, PRDE,actvstrat=,-0.160030, actvprof=,4.337898, best_B_id=,B09, best_B_prof=,2.202978, best_B_strat=,-0.969786, best_S_id=,S08, best_S_prof=,9.085113, best_S_strat=,0.549575, 
