t=,1, id=,B00, PRDE,actvstrat=,-0.045094, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.547563, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.295576, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.444971, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.641752, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.747296, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.389948, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.990458, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.467348, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.217553, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.853278, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.709799, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.888140, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.092089, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.082674, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.504418, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.327765, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.441634, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.783174, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.500472, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.045094, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.853278, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.045094, actvprof=,2.021111, id=,B01, PRDE,actvstrat=,0.547563, actvprof=,2.701389, id=,B02, PRDE,actvstrat=,0.295576, actvprof=,2.281111, id=,B03, PRDE,actvstrat=,0.444971, actvprof=,2.580833, id=,B04, PRDE,actvstrat=,-0.641752, actvprof=,2.492500, id=,B05, PRDE,actvstrat=,0.747296, actvprof=,2.677500, id=,B06, PRDE,actvstrat=,-0.389948, actvprof=,2.056389, id=,B07, PRDE,actvstrat=,-0.990458, actvprof=,2.945000, id=,B08, PRDE,actvstrat=,-0.467348, actvprof=,2.136111, id=,B09, PRDE,actvstrat=,0.217553, actvprof=,2.483889, id=,S00, PRDE,actvstrat=,0.853278, actvprof=,10.219167, id=,S01, PRDE,actvstrat=,-0.709799, actvprof=,2.735556, id=,S02, PRDE,actvstrat=,-0.888140, actvprof=,0.770000, id=,S03, PRDE,actvstrat=,-0.092089, actvprof=,5.340833, id=,S04, PRDE,actvstrat=,0.082674, actvprof=,6.546944, id=,S05, PRDE,actvstrat=,0.504418, actvprof=,8.609167, id=,S06, PRDE,actvstrat=,0.327765, actvprof=,7.330000, id=,S07, PRDE,actvstrat=,0.441634, actvprof=,8.424722, id=,S08, PRDE,actvstrat=,-0.783174, actvprof=,2.097500, id=,S09, PRDE,actvstrat=,0.500472, actvprof=,8.705833, best_B_id=,B07, best_B_prof=,2.945000, best_B_strat=,-0.990458, best_S_id=,S00, best_S_prof=,10.219167, best_S_strat=,0.853278, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.339212, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.359608, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.906512, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.144898, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.495730, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.243109, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.098321, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.763851, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.745997, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.267014, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.746767, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.687165, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.205937, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.240996, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.292295, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.202139, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.642002, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.176016, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.516826, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.295126, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.339212, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.746767, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.339212, actvprof=,2.267469, id=,B01, PRDE,actvstrat=,-0.359608, actvprof=,2.260246, id=,B02, PRDE,actvstrat=,-0.906512, actvprof=,3.638283, id=,B03, PRDE,actvstrat=,-0.144898, actvprof=,2.118304, id=,B04, PRDE,actvstrat=,0.495730, actvprof=,2.919959, id=,B05, PRDE,actvstrat=,-0.243109, actvprof=,2.139137, id=,B06, PRDE,actvstrat=,0.098321, actvprof=,2.204692, id=,B07, PRDE,actvstrat=,0.763851, actvprof=,2.804683, id=,B08, PRDE,actvstrat=,-0.745997, actvprof=,2.906349, id=,B09, PRDE,actvstrat=,-0.267014, actvprof=,2.152192, id=,S00, PRDE,actvstrat=,0.746767, actvprof=,8.705712, id=,S01, PRDE,actvstrat=,0.687165, actvprof=,8.616825, id=,S02, PRDE,actvstrat=,0.205937, actvprof=,6.332690, id=,S03, PRDE,actvstrat=,-0.240996, actvprof=,3.744115, id=,S04, PRDE,actvstrat=,0.292295, actvprof=,6.484632, id=,S05, PRDE,actvstrat=,-0.202139, actvprof=,3.529951, id=,S06, PRDE,actvstrat=,-0.642002, actvprof=,2.486632, id=,S07, PRDE,actvstrat=,0.176016, actvprof=,6.203525, id=,S08, PRDE,actvstrat=,-0.516826, actvprof=,3.153290, id=,S09, PRDE,actvstrat=,-0.295126, actvprof=,3.174678, best_B_id=,B02, best_B_prof=,3.638283, best_B_strat=,-0.906512, best_S_id=,S00, best_S_prof=,8.705712, best_S_strat=,0.746767, 
t=,14400, id=,B00, PRDE,actvstrat=,0.507115, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.369332, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.883216, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.705446, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.475914, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.804790, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.919053, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.441273, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.206485, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.908419, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.823698, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.105456, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.027913, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.419472, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.832163, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.331170, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.172806, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.523825, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.391742, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.886253, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.507115, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.823698, 
t=,18000, id=,B00, PRDE,actvstrat=,0.507115, actvprof=,1.467222, id=,B01, PRDE,actvstrat=,-0.369332, actvprof=,0.800000, id=,B02, PRDE,actvstrat=,0.883216, actvprof=,1.560556, id=,B03, PRDE,actvstrat=,-0.705446, actvprof=,1.116667, id=,B04, PRDE,actvstrat=,0.475914, actvprof=,1.269444, id=,B05, PRDE,actvstrat=,-0.804790, actvprof=,1.384444, id=,B06, PRDE,actvstrat=,-0.919053, actvprof=,2.172778, id=,B07, PRDE,actvstrat=,0.441273, actvprof=,1.459722, id=,B08, PRDE,actvstrat=,0.206485, actvprof=,1.090556, id=,B09, PRDE,actvstrat=,0.908419, actvprof=,1.433889, id=,S00, PRDE,actvstrat=,-0.823698, actvprof=,1.715833, id=,S01, PRDE,actvstrat=,0.105456, actvprof=,7.503056, id=,S02, PRDE,actvstrat=,0.027913, actvprof=,6.868333, id=,S03, PRDE,actvstrat=,-0.419472, actvprof=,4.041111, id=,S04, PRDE,actvstrat=,0.832163, actvprof=,11.627500, id=,S05, PRDE,actvstrat=,-0.331170, actvprof=,4.440833, id=,S06, PRDE,actvstrat=,0.172806, actvprof=,7.992778, id=,S07, PRDE,actvstrat=,0.523825, actvprof=,9.530000, id=,S08, PRDE,actvstrat=,-0.391742, actvprof=,4.582222, id=,S09, PRDE,actvstrat=,-0.886253, actvprof=,0.520833, best_B_id=,B06, best_B_prof=,2.172778, best_B_strat=,-0.919053, best_S_id=,S04, best_S_prof=,11.627500, best_S_strat=,0.832163, 
t=,21600, id=,B00, PRDE,actvstrat=,0.507115, actvprof=,1.469861, id=,B01, PRDE,actvstrat=,-0.369332, actvprof=,0.835278, id=,B02, PRDE,actvstrat=,0.883216, actvprof=,1.534444, id=,B03, PRDE,actvstrat=,-0.705446, actvprof=,1.200694, id=,B04, PRDE,actvstrat=,0.475914, actvprof=,1.317778, id=,B05, PRDE,actvstrat=,-0.804790, actvprof=,1.410972, id=,B06, PRDE,actvstrat=,-0.919053, actvprof=,2.225139, id=,B07, PRDE,actvstrat=,0.441273, actvprof=,1.420139, id=,B08, PRDE,actvstrat=,0.206485, actvprof=,1.176111, id=,B09, PRDE,actvstrat=,0.908419, actvprof=,1.384583, id=,S00, PRDE,actvstrat=,-0.823698, actvprof=,1.721667, id=,S01, PRDE,actvstrat=,0.105456, actvprof=,7.475556, id=,S02, PRDE,actvstrat=,0.027913, actvprof=,7.146944, id=,S03, PRDE,actvstrat=,-0.419472, actvprof=,3.924722, id=,S04, PRDE,actvstrat=,0.832163, actvprof=,11.525972, id=,S05, PRDE,actvstrat=,-0.331170, actvprof=,4.441250, id=,S06, PRDE,actvstrat=,0.172806, actvprof=,7.933611, id=,S07, PRDE,actvstrat=,0.523825, actvprof=,9.616389, id=,S08, PRDE,actvstrat=,-0.391742, actvprof=,4.510000, id=,S09, PRDE,actvstrat=,-0.886253, actvprof=,0.606667, best_B_id=,B06, best_B_prof=,2.225139, best_B_strat=,-0.919053, best_S_id=,S04, best_S_prof=,11.525972, best_S_strat=,0.832163, 
t=,25200, id=,B00, PRDE,actvstrat=,0.938338, actvprof=,3.634722, id=,B01, PRDE,actvstrat=,0.503052, actvprof=,5.664444, id=,B02, PRDE,actvstrat=,0.675472, actvprof=,5.426389, id=,B03, PRDE,actvstrat=,-0.646712, actvprof=,6.255278, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,2.969167, id=,B05, PRDE,actvstrat=,-0.364845, actvprof=,5.650833, id=,B06, PRDE,actvstrat=,0.847575, actvprof=,4.750278, id=,B07, PRDE,actvstrat=,0.861778, actvprof=,4.286944, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.614722, id=,B09, PRDE,actvstrat=,0.531473, actvprof=,5.566944, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,8.010278, id=,S01, PRDE,actvstrat=,0.613509, actvprof=,8.247222, id=,S02, PRDE,actvstrat=,0.005325, actvprof=,5.946389, id=,S03, PRDE,actvstrat=,0.802856, actvprof=,9.243889, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,8.278056, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,8.264722, id=,S06, PRDE,actvstrat=,0.295954, actvprof=,6.796667, id=,S07, PRDE,actvstrat=,0.938404, actvprof=,8.678056, id=,S08, PRDE,actvstrat=,0.559144, actvprof=,8.016111, id=,S09, PRDE,actvstrat=,0.548787, actvprof=,8.032222, best_B_id=,B03, best_B_prof=,6.255278, best_B_strat=,-0.646712, best_S_id=,S03, best_S_prof=,9.243889, best_S_strat=,0.802856, 
t=,28800, id=,B00, PRDE,actvstrat=,0.938338, actvprof=,3.278472, id=,B01, PRDE,actvstrat=,0.503052, actvprof=,5.428056, id=,B02, PRDE,actvstrat=,0.675472, actvprof=,5.194722, id=,B03, PRDE,actvstrat=,-0.646712, actvprof=,5.927917, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,2.836389, id=,B05, PRDE,actvstrat=,-0.364845, actvprof=,5.483333, id=,B06, PRDE,actvstrat=,0.847575, actvprof=,4.353750, id=,B07, PRDE,actvstrat=,0.861778, actvprof=,4.170694, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.376111, id=,B09, PRDE,actvstrat=,0.531473, actvprof=,5.276806, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,8.562083, id=,S01, PRDE,actvstrat=,0.613509, actvprof=,8.615278, id=,S02, PRDE,actvstrat=,0.005325, actvprof=,5.704306, id=,S03, PRDE,actvstrat=,0.802856, actvprof=,9.522917, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,8.427639, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,8.446250, id=,S06, PRDE,actvstrat=,0.295954, actvprof=,7.021667, id=,S07, PRDE,actvstrat=,0.938404, actvprof=,8.937500, id=,S08, PRDE,actvstrat=,0.559144, actvprof=,8.219583, id=,S09, PRDE,actvstrat=,0.548787, actvprof=,8.172083, best_B_id=,B03, best_B_prof=,5.927917, best_B_strat=,-0.646712, best_S_id=,S03, best_S_prof=,9.522917, best_S_strat=,0.802856, 
t=,32400, id=,B00, PRDE,actvstrat=,0.801452, actvprof=,1.582244, id=,B01, PRDE,actvstrat=,0.085760, actvprof=,0.941680, id=,B02, PRDE,actvstrat=,0.152722, actvprof=,1.066959, id=,B03, PRDE,actvstrat=,-0.264760, actvprof=,0.838067, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.679176, id=,B05, PRDE,actvstrat=,-0.815781, actvprof=,1.207517, id=,B06, PRDE,actvstrat=,-0.947181, actvprof=,1.862248, id=,B07, PRDE,actvstrat=,-0.959471, actvprof=,1.778080, id=,B08, PRDE,actvstrat=,-0.963129, actvprof=,1.899193, id=,B09, PRDE,actvstrat=,0.756233, actvprof=,1.548910, id=,S00, PRDE,actvstrat=,-0.993139, actvprof=,2.432534, id=,S01, PRDE,actvstrat=,0.725766, actvprof=,11.343769, id=,S02, PRDE,actvstrat=,-0.214090, actvprof=,5.125627, id=,S03, PRDE,actvstrat=,-0.859318, actvprof=,1.320018, id=,S04, PRDE,actvstrat=,0.746315, actvprof=,11.415714, id=,S05, PRDE,actvstrat=,-0.527341, actvprof=,4.245059, id=,S06, PRDE,actvstrat=,-0.733812, actvprof=,2.952263, id=,S07, PRDE,actvstrat=,0.939292, actvprof=,12.311282, id=,S08, PRDE,actvstrat=,-0.327196, actvprof=,4.995069, id=,S09, PRDE,actvstrat=,0.529308, actvprof=,10.077918, best_B_id=,B08, best_B_prof=,1.899193, best_B_strat=,-0.963129, best_S_id=,S07, best_S_prof=,12.311282, best_S_strat=,0.939292, 
t=,36000, id=,B00, PRDE,actvstrat=,0.801452, actvprof=,1.505854, id=,B01, PRDE,actvstrat=,0.085760, actvprof=,0.941124, id=,B02, PRDE,actvstrat=,0.152722, actvprof=,0.971958, id=,B03, PRDE,actvstrat=,-0.264760, actvprof=,0.759038, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.604731, id=,B05, PRDE,actvstrat=,-0.815781, actvprof=,1.113349, id=,B06, PRDE,actvstrat=,-0.947181, actvprof=,1.791414, id=,B07, PRDE,actvstrat=,-0.959471, actvprof=,1.729191, id=,B08, PRDE,actvstrat=,-0.963129, actvprof=,1.823775, id=,B09, PRDE,actvstrat=,0.756233, actvprof=,1.408770, id=,S00, PRDE,actvstrat=,-0.993139, actvprof=,2.179475, id=,S01, PRDE,actvstrat=,0.725766, actvprof=,11.387797, id=,S02, PRDE,actvstrat=,-0.214090, actvprof=,4.837984, id=,S03, PRDE,actvstrat=,-0.859318, actvprof=,1.093071, id=,S04, PRDE,actvstrat=,0.746315, actvprof=,11.509882, id=,S05, PRDE,actvstrat=,-0.527341, actvprof=,4.117835, id=,S06, PRDE,actvstrat=,-0.733812, actvprof=,2.659620, id=,S07, PRDE,actvstrat=,0.939292, actvprof=,12.463368, id=,S08, PRDE,actvstrat=,-0.327196, actvprof=,4.502146, id=,S09, PRDE,actvstrat=,0.529308, actvprof=,9.956249, best_B_id=,B08, best_B_prof=,1.823775, best_B_strat=,-0.963129, best_S_id=,S07, best_S_prof=,12.463368, best_S_strat=,0.939292, 
