t=,3600, id=,B00, PRDE,actvstrat=,-0.830134, actvprof=,3.942500, id=,B01, PRDE,actvstrat=,-0.057540, actvprof=,2.919444, id=,B02, PRDE,actvstrat=,0.440925, actvprof=,3.461944, id=,B03, PRDE,actvstrat=,-0.731306, actvprof=,3.741111, id=,B04, PRDE,actvstrat=,-0.266153, actvprof=,2.971389, id=,B05, PRDE,actvstrat=,0.857175, actvprof=,2.936944, id=,B06, PRDE,actvstrat=,0.015946, actvprof=,2.966111, id=,B07, PRDE,actvstrat=,0.654442, actvprof=,3.489444, id=,B08, PRDE,actvstrat=,0.429275, actvprof=,3.431667, id=,B09, PRDE,actvstrat=,0.075817, actvprof=,2.900556, id=,S00, PRDE,actvstrat=,0.089320, actvprof=,6.141389, id=,S01, PRDE,actvstrat=,0.852544, actvprof=,9.449444, id=,S02, PRDE,actvstrat=,-0.587533, actvprof=,3.136944, id=,S03, PRDE,actvstrat=,0.682026, actvprof=,8.903056, id=,S04, PRDE,actvstrat=,-0.946061, actvprof=,1.903333, id=,S05, PRDE,actvstrat=,0.951663, actvprof=,9.328333, id=,S06, PRDE,actvstrat=,0.337933, actvprof=,6.764722, id=,S07, PRDE,actvstrat=,0.370127, actvprof=,7.036111, id=,S08, PRDE,actvstrat=,0.414598, actvprof=,7.380000, id=,S09, PRDE,actvstrat=,-0.054942, actvprof=,4.795556, best_B_id=,B00, best_B_prof=,3.942500, best_B_strat=,-0.830134, best_S_id=,S01, best_S_prof=,9.449444, best_S_strat=,0.852544, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.275481, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.398044, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.216242, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.606098, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.603864, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.104672, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.609071, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.458074, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.967841, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.009741, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.010592, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.290146, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.738925, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.676746, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.814574, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.130682, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.927414, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.740320, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.640232, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.631011, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.275481, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.010592, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.275481, actvprof=,2.506632, id=,B01, PRDE,actvstrat=,0.398044, actvprof=,2.920793, id=,B02, PRDE,actvstrat=,0.216242, actvprof=,2.611075, id=,B03, PRDE,actvstrat=,0.606098, actvprof=,3.071346, id=,B04, PRDE,actvstrat=,0.603864, actvprof=,3.123568, id=,B05, PRDE,actvstrat=,0.104672, actvprof=,2.411355, id=,B06, PRDE,actvstrat=,-0.609071, actvprof=,2.905237, id=,B07, PRDE,actvstrat=,0.458074, actvprof=,2.949403, id=,B08, PRDE,actvstrat=,0.967841, actvprof=,1.333870, id=,B09, PRDE,actvstrat=,-0.009741, actvprof=,2.224969, id=,S00, PRDE,actvstrat=,-0.010592, actvprof=,5.864363, id=,S01, PRDE,actvstrat=,-0.290146, actvprof=,3.650505, id=,S02, PRDE,actvstrat=,-0.738925, actvprof=,2.154137, id=,S03, PRDE,actvstrat=,0.676746, actvprof=,9.360148, id=,S04, PRDE,actvstrat=,0.814574, actvprof=,9.849863, id=,S05, PRDE,actvstrat=,0.130682, actvprof=,6.001028, id=,S06, PRDE,actvstrat=,0.927414, actvprof=,10.139859, id=,S07, PRDE,actvstrat=,0.740320, actvprof=,9.840419, id=,S08, PRDE,actvstrat=,-0.640232, actvprof=,2.690240, id=,S09, PRDE,actvstrat=,0.631011, actvprof=,8.767656, best_B_id=,B04, best_B_prof=,3.123568, best_B_strat=,0.603864, best_S_id=,S06, best_S_prof=,10.139859, best_S_strat=,0.927414, 
t=,14400, id=,B00, PRDE,actvstrat=,0.372746, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.667106, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.542084, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.496261, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.636746, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.360657, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.725368, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.458074, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.960711, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.893877, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.061074, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.707929, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.738925, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.688338, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.641097, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.054338, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.927414, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.366410, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.383083, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.702120, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.372746, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.061074, 
t=,18000, id=,B00, PRDE,actvstrat=,0.372746, actvprof=,1.362481, id=,B01, PRDE,actvstrat=,0.667106, actvprof=,1.601922, id=,B02, PRDE,actvstrat=,-0.542084, actvprof=,0.773600, id=,B03, PRDE,actvstrat=,-0.496261, actvprof=,0.840544, id=,B04, PRDE,actvstrat=,-0.636746, actvprof=,0.905543, id=,B05, PRDE,actvstrat=,-0.360657, actvprof=,0.748878, id=,B06, PRDE,actvstrat=,0.725368, actvprof=,1.683032, id=,B07, PRDE,actvstrat=,0.458074, actvprof=,1.286649, id=,B08, PRDE,actvstrat=,-0.960711, actvprof=,2.130804, id=,B09, PRDE,actvstrat=,-0.893877, actvprof=,1.896640, id=,S00, PRDE,actvstrat=,-0.061074, actvprof=,5.062430, id=,S01, PRDE,actvstrat=,-0.707929, actvprof=,2.515521, id=,S02, PRDE,actvstrat=,-0.738925, actvprof=,2.036916, id=,S03, PRDE,actvstrat=,-0.688338, actvprof=,2.748851, id=,S04, PRDE,actvstrat=,-0.641097, actvprof=,2.869960, id=,S05, PRDE,actvstrat=,0.054338, actvprof=,6.204080, id=,S06, PRDE,actvstrat=,0.927414, actvprof=,11.142901, id=,S07, PRDE,actvstrat=,0.366410, actvprof=,7.965167, id=,S08, PRDE,actvstrat=,-0.383083, actvprof=,3.313287, id=,S09, PRDE,actvstrat=,-0.702120, actvprof=,2.798850, best_B_id=,B08, best_B_prof=,2.130804, best_B_strat=,-0.960711, best_S_id=,S06, best_S_prof=,11.142901, best_S_strat=,0.927414, 
t=,21600, id=,B00, PRDE,actvstrat=,0.372746, actvprof=,1.329593, id=,B01, PRDE,actvstrat=,0.667106, actvprof=,1.572928, id=,B02, PRDE,actvstrat=,-0.542084, actvprof=,0.836534, id=,B03, PRDE,actvstrat=,-0.496261, actvprof=,0.785978, id=,B04, PRDE,actvstrat=,-0.636746, actvprof=,0.889728, id=,B05, PRDE,actvstrat=,-0.360657, actvprof=,0.809589, id=,B06, PRDE,actvstrat=,0.725368, actvprof=,1.596539, id=,B07, PRDE,actvstrat=,0.458074, actvprof=,1.328898, id=,B08, PRDE,actvstrat=,-0.960711, actvprof=,2.136543, id=,B09, PRDE,actvstrat=,-0.893877, actvprof=,1.851124, id=,S00, PRDE,actvstrat=,-0.061074, actvprof=,5.211703, id=,S01, PRDE,actvstrat=,-0.707929, actvprof=,2.594740, id=,S02, PRDE,actvstrat=,-0.738925, actvprof=,1.997931, id=,S03, PRDE,actvstrat=,-0.688338, actvprof=,2.658768, id=,S04, PRDE,actvstrat=,-0.641097, actvprof=,2.791408, id=,S05, PRDE,actvstrat=,0.054338, actvprof=,6.367266, id=,S06, PRDE,actvstrat=,0.927414, actvprof=,11.266467, id=,S07, PRDE,actvstrat=,0.366410, actvprof=,8.073945, id=,S08, PRDE,actvstrat=,-0.383083, actvprof=,3.234189, id=,S09, PRDE,actvstrat=,-0.702120, actvprof=,2.766547, best_B_id=,B08, best_B_prof=,2.136543, best_B_strat=,-0.960711, best_S_id=,S06, best_S_prof=,11.266467, best_S_strat=,0.927414, 
t=,25200, id=,B00, PRDE,actvstrat=,0.997750, actvprof=,0.345838, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.488062, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.679454, id=,B03, PRDE,actvstrat=,0.545565, actvprof=,0.813622, id=,B04, PRDE,actvstrat=,-0.436401, actvprof=,0.639176, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.704732, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.641120, id=,B07, PRDE,actvstrat=,-0.981550, actvprof=,0.558619, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.652787, id=,B09, PRDE,actvstrat=,0.167554, actvprof=,0.815567, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,13.596022, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,13.747969, id=,S02, PRDE,actvstrat=,-0.946198, actvprof=,0.417506, id=,S03, PRDE,actvstrat=,0.049315, actvprof=,8.600119, id=,S04, PRDE,actvstrat=,0.317510, actvprof=,10.063751, id=,S05, PRDE,actvstrat=,0.508907, actvprof=,10.909596, id=,S06, PRDE,actvstrat=,-0.703737, actvprof=,3.947277, id=,S07, PRDE,actvstrat=,0.356396, actvprof=,10.250142, id=,S08, PRDE,actvstrat=,-0.836962, actvprof=,1.719746, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,2.810039, best_B_id=,B09, best_B_prof=,0.815567, best_B_strat=,0.167554, best_S_id=,S01, best_S_prof=,13.747969, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.997750, actvprof=,0.330285, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.430981, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.660153, id=,B03, PRDE,actvstrat=,0.545565, actvprof=,0.787516, id=,B04, PRDE,actvstrat=,-0.436401, actvprof=,0.585290, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.597512, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.638763, id=,B07, PRDE,actvstrat=,-0.981550, actvprof=,0.558484, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.665847, id=,B09, PRDE,actvstrat=,0.167554, actvprof=,0.707793, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,13.831677, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,13.773620, id=,S02, PRDE,actvstrat=,-0.946198, actvprof=,0.341674, id=,S03, PRDE,actvstrat=,0.049315, actvprof=,8.680598, id=,S04, PRDE,actvstrat=,0.317510, actvprof=,10.230630, id=,S05, PRDE,actvstrat=,0.508907, actvprof=,10.970090, id=,S06, PRDE,actvstrat=,-0.703737, actvprof=,3.871608, id=,S07, PRDE,actvstrat=,0.356396, actvprof=,10.237852, id=,S08, PRDE,actvstrat=,-0.836962, actvprof=,1.827399, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,2.785058, best_B_id=,B03, best_B_prof=,0.787516, best_B_strat=,0.545565, best_S_id=,S00, best_S_prof=,13.831677, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.327548, actvprof=,2.235124, id=,B01, PRDE,actvstrat=,-0.225138, actvprof=,2.148175, id=,B02, PRDE,actvstrat=,0.410094, actvprof=,2.517362, id=,B03, PRDE,actvstrat=,-0.279848, actvprof=,2.113173, id=,B04, PRDE,actvstrat=,-0.713038, actvprof=,3.047947, id=,B05, PRDE,actvstrat=,-0.062114, actvprof=,2.468470, id=,B06, PRDE,actvstrat=,0.274223, actvprof=,2.409301, id=,B07, PRDE,actvstrat=,-0.253490, actvprof=,2.121229, id=,B08, PRDE,actvstrat=,0.766717, actvprof=,2.633202, id=,B09, PRDE,actvstrat=,0.338682, actvprof=,2.571810, id=,S00, PRDE,actvstrat=,0.540900, actvprof=,7.387355, id=,S01, PRDE,actvstrat=,0.413233, actvprof=,7.049281, id=,S02, PRDE,actvstrat=,0.623355, actvprof=,8.000167, id=,S03, PRDE,actvstrat=,-0.341701, actvprof=,2.719318, id=,S04, PRDE,actvstrat=,0.712326, actvprof=,8.898550, id=,S05, PRDE,actvstrat=,0.179738, actvprof=,5.786433, id=,S06, PRDE,actvstrat=,-0.887087, actvprof=,0.360020, id=,S07, PRDE,actvstrat=,0.253971, actvprof=,6.612867, id=,S08, PRDE,actvstrat=,0.057356, actvprof=,5.197511, id=,S09, PRDE,actvstrat=,-0.757710, actvprof=,1.771487, best_B_id=,B04, best_B_prof=,3.047947, best_B_strat=,-0.713038, best_S_id=,S04, best_S_prof=,8.898550, best_S_strat=,0.712326, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.327548, actvprof=,2.249785, id=,B01, PRDE,actvstrat=,-0.225138, actvprof=,2.233673, id=,B02, PRDE,actvstrat=,0.410094, actvprof=,2.725631, id=,B03, PRDE,actvstrat=,-0.279848, actvprof=,2.141726, id=,B04, PRDE,actvstrat=,-0.713038, actvprof=,3.024806, id=,B05, PRDE,actvstrat=,-0.062114, actvprof=,2.485486, id=,B06, PRDE,actvstrat=,0.274223, actvprof=,2.440484, id=,B07, PRDE,actvstrat=,-0.253490, actvprof=,2.048390, id=,B08, PRDE,actvstrat=,0.766717, actvprof=,2.622851, id=,B09, PRDE,actvstrat=,0.338682, actvprof=,2.677574, id=,S00, PRDE,actvstrat=,0.540900, actvprof=,7.399094, id=,S01, PRDE,actvstrat=,0.413233, actvprof=,7.082141, id=,S02, PRDE,actvstrat=,0.623355, actvprof=,8.161616, id=,S03, PRDE,actvstrat=,-0.341701, actvprof=,2.672852, id=,S04, PRDE,actvstrat=,0.712326, actvprof=,8.711631, id=,S05, PRDE,actvstrat=,0.179738, actvprof=,5.676963, id=,S06, PRDE,actvstrat=,-0.887087, actvprof=,0.451957, id=,S07, PRDE,actvstrat=,0.253971, actvprof=,6.296564, id=,S08, PRDE,actvstrat=,0.057356, actvprof=,5.481958, id=,S09, PRDE,actvstrat=,-0.757710, actvprof=,1.716992, best_B_id=,B04, best_B_prof=,3.024806, best_B_strat=,-0.713038, best_S_id=,S04, best_S_prof=,8.711631, best_S_strat=,0.712326, 
t=,39600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.786182, id=,B01, PRDE,actvstrat=,-0.143038, actvprof=,1.288494, id=,B02, PRDE,actvstrat=,-0.696782, actvprof=,2.020253, id=,B03, PRDE,actvstrat=,-0.642252, actvprof=,1.663819, id=,B04, PRDE,actvstrat=,0.591611, actvprof=,2.213610, id=,B05, PRDE,actvstrat=,-0.229184, actvprof=,1.461849, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.874526, id=,B07, PRDE,actvstrat=,-0.270338, actvprof=,1.319332, id=,B08, PRDE,actvstrat=,-0.044291, actvprof=,1.705213, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.500188, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.527358, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.111750, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,10.473254, id=,S03, PRDE,actvstrat=,-0.080650, actvprof=,4.740315, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,10.431304, id=,S05, PRDE,actvstrat=,0.042939, actvprof=,5.814616, id=,S06, PRDE,actvstrat=,-0.604466, actvprof=,2.801739, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,5.467906, id=,S08, PRDE,actvstrat=,-0.594939, actvprof=,2.934533, id=,S09, PRDE,actvstrat=,-0.795652, actvprof=,1.406287, best_B_id=,B06, best_B_prof=,2.874526, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,10.473254, best_S_strat=,1.000000, 
