t=,3600, id=,B00, PRDE,actvstrat=,0.826828, actvprof=,2.600000, id=,B01, PRDE,actvstrat=,0.237553, actvprof=,2.370833, id=,B02, PRDE,actvstrat=,0.335845, actvprof=,2.661111, id=,B03, PRDE,actvstrat=,-0.039264, actvprof=,2.153889, id=,B04, PRDE,actvstrat=,0.736490, actvprof=,2.806667, id=,B05, PRDE,actvstrat=,-0.540560, actvprof=,2.395556, id=,B06, PRDE,actvstrat=,-0.614852, actvprof=,2.359444, id=,B07, PRDE,actvstrat=,0.404203, actvprof=,2.602778, id=,B08, PRDE,actvstrat=,-0.922231, actvprof=,3.359722, id=,B09, PRDE,actvstrat=,-0.988555, actvprof=,3.103889, id=,S00, PRDE,actvstrat=,0.793830, actvprof=,9.750833, id=,S01, PRDE,actvstrat=,0.929721, actvprof=,10.343611, id=,S02, PRDE,actvstrat=,0.519874, actvprof=,8.139167, id=,S03, PRDE,actvstrat=,-0.052896, actvprof=,4.984444, id=,S04, PRDE,actvstrat=,0.156238, actvprof=,6.118889, id=,S05, PRDE,actvstrat=,0.749929, actvprof=,9.458889, id=,S06, PRDE,actvstrat=,-0.901385, actvprof=,0.603611, id=,S07, PRDE,actvstrat=,0.692016, actvprof=,9.271667, id=,S08, PRDE,actvstrat=,-0.706189, actvprof=,2.296944, id=,S09, PRDE,actvstrat=,-0.046531, actvprof=,5.306944, best_B_id=,B08, best_B_prof=,3.359722, best_B_strat=,-0.922231, best_S_id=,S01, best_S_prof=,10.343611, best_S_strat=,0.929721, 
t=,7200, id=,B00, PRDE,actvstrat=,0.928960, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.681113, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.948198, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.933893, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.897162, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.290478, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.519270, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.533887, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.315945, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.774029, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.940371, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.698363, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.361263, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.673511, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.541313, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.781807, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.133948, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.981118, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.797811, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.857746, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.928960, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.940371, 
t=,10800, id=,B00, PRDE,actvstrat=,0.928960, actvprof=,0.965013, id=,B01, PRDE,actvstrat=,0.681113, actvprof=,0.986958, id=,B02, PRDE,actvstrat=,-0.948198, actvprof=,1.574744, id=,B03, PRDE,actvstrat=,-0.933893, actvprof=,1.349185, id=,B04, PRDE,actvstrat=,-0.897162, actvprof=,1.020014, id=,B05, PRDE,actvstrat=,-0.290478, actvprof=,0.415006, id=,B06, PRDE,actvstrat=,-0.519270, actvprof=,0.493062, id=,B07, PRDE,actvstrat=,0.533887, actvprof=,0.864734, id=,B08, PRDE,actvstrat=,-0.315945, actvprof=,0.378061, id=,B09, PRDE,actvstrat=,0.774029, actvprof=,1.103349, id=,S00, PRDE,actvstrat=,-0.940371, actvprof=,0.225281, id=,S01, PRDE,actvstrat=,-0.698363, actvprof=,2.899207, id=,S02, PRDE,actvstrat=,0.361263, actvprof=,8.557341, id=,S03, PRDE,actvstrat=,-0.673511, actvprof=,3.738107, id=,S04, PRDE,actvstrat=,0.541313, actvprof=,9.688746, id=,S05, PRDE,actvstrat=,-0.781807, actvprof=,1.799469, id=,S06, PRDE,actvstrat=,0.133948, actvprof=,7.937610, id=,S07, PRDE,actvstrat=,-0.981118, actvprof=,0.826123, id=,S08, PRDE,actvstrat=,0.797811, actvprof=,11.599606, id=,S09, PRDE,actvstrat=,-0.857746, actvprof=,0.934735, best_B_id=,B02, best_B_prof=,1.574744, best_B_strat=,-0.948198, best_S_id=,S08, best_S_prof=,11.599606, best_S_strat=,0.797811, 
t=,14400, id=,B00, PRDE,actvstrat=,0.928960, actvprof=,0.986674, id=,B01, PRDE,actvstrat=,0.681113, actvprof=,1.004035, id=,B02, PRDE,actvstrat=,-0.948198, actvprof=,1.556400, id=,B03, PRDE,actvstrat=,-0.933893, actvprof=,1.294453, id=,B04, PRDE,actvstrat=,-0.897162, actvprof=,0.991951, id=,B05, PRDE,actvstrat=,-0.290478, actvprof=,0.411947, id=,B06, PRDE,actvstrat=,-0.519270, actvprof=,0.476392, id=,B07, PRDE,actvstrat=,0.533887, actvprof=,0.875839, id=,B08, PRDE,actvstrat=,-0.315945, actvprof=,0.418475, id=,B09, PRDE,actvstrat=,0.774029, actvprof=,1.069730, id=,S00, PRDE,actvstrat=,-0.940371, actvprof=,0.206113, id=,S01, PRDE,actvstrat=,-0.698363, actvprof=,3.036549, id=,S02, PRDE,actvstrat=,0.361263, actvprof=,8.670338, id=,S03, PRDE,actvstrat=,-0.673511, actvprof=,3.549191, id=,S04, PRDE,actvstrat=,0.541313, actvprof=,9.761734, id=,S05, PRDE,actvstrat=,-0.781807, actvprof=,2.016542, id=,S06, PRDE,actvstrat=,0.133948, actvprof=,7.718387, id=,S07, PRDE,actvstrat=,-0.981118, actvprof=,0.872367, id=,S08, PRDE,actvstrat=,0.797811, actvprof=,11.830082, id=,S09, PRDE,actvstrat=,-0.857746, actvprof=,0.908756, best_B_id=,B02, best_B_prof=,1.556400, best_B_strat=,-0.948198, best_S_id=,S08, best_S_prof=,11.830082, best_S_strat=,0.797811, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.046509, actvprof=,3.566210, id=,B01, PRDE,actvstrat=,-0.697263, actvprof=,4.671796, id=,B02, PRDE,actvstrat=,-0.186036, actvprof=,3.585933, id=,B03, PRDE,actvstrat=,0.646376, actvprof=,4.149837, id=,B04, PRDE,actvstrat=,0.139051, actvprof=,3.655657, id=,B05, PRDE,actvstrat=,0.242633, actvprof=,3.921220, id=,B06, PRDE,actvstrat=,-0.131586, actvprof=,3.987333, id=,B07, PRDE,actvstrat=,0.073118, actvprof=,3.628156, id=,B08, PRDE,actvstrat=,-0.489289, actvprof=,3.837607, id=,B09, PRDE,actvstrat=,-0.757743, actvprof=,4.977360, id=,S00, PRDE,actvstrat=,0.681819, actvprof=,7.033251, id=,S01, PRDE,actvstrat=,0.566714, actvprof=,6.447401, id=,S02, PRDE,actvstrat=,0.776106, actvprof=,7.534932, id=,S03, PRDE,actvstrat=,0.296009, actvprof=,5.274591, id=,S04, PRDE,actvstrat=,0.129942, actvprof=,4.654018, id=,S05, PRDE,actvstrat=,0.749929, actvprof=,7.377149, id=,S06, PRDE,actvstrat=,0.160173, actvprof=,4.389011, id=,S07, PRDE,actvstrat=,0.692016, actvprof=,7.148532, id=,S08, PRDE,actvstrat=,-0.186193, actvprof=,2.629517, id=,S09, PRDE,actvstrat=,0.267512, actvprof=,4.866524, best_B_id=,B09, best_B_prof=,4.977360, best_B_strat=,-0.757743, best_S_id=,S02, best_S_prof=,7.534932, best_S_strat=,0.776106, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.131298, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.685546, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.390324, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.055808, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.579365, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.188757, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.269574, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.131298, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.055808, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.131298, actvprof=,0.698085, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.629748, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.440018, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.539467, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.420295, id=,B05, PRDE,actvstrat=,0.685546, actvprof=,0.858925, id=,B06, PRDE,actvstrat=,0.390324, actvprof=,0.794478, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.458075, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.476687, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.436407, id=,S00, PRDE,actvstrat=,0.055808, actvprof=,8.160896, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.640235, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,13.897801, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,5.217717, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,13.984194, id=,S05, PRDE,actvstrat=,-0.579365, actvprof=,4.253511, id=,S06, PRDE,actvstrat=,-0.188757, actvprof=,5.912746, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,13.902246, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,5.766074, id=,S09, PRDE,actvstrat=,-0.269574, actvprof=,5.138270, best_B_id=,B05, best_B_prof=,0.858925, best_B_strat=,0.685546, best_S_id=,S04, best_S_prof=,13.984194, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.131298, actvprof=,0.679310, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.553059, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.491253, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.452364, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.462087, id=,B05, PRDE,actvstrat=,0.685546, actvprof=,0.877367, id=,B06, PRDE,actvstrat=,0.390324, actvprof=,0.829867, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.462920, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.477781, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.538615, id=,S00, PRDE,actvstrat=,0.055808, actvprof=,8.273669, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.740457, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,13.792040, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,5.436427, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,13.812318, id=,S05, PRDE,actvstrat=,-0.579365, actvprof=,4.218224, id=,S06, PRDE,actvstrat=,-0.188757, actvprof=,5.798235, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,13.800651, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,5.814346, id=,S09, PRDE,actvstrat=,-0.269574, actvprof=,5.456288, best_B_id=,B05, best_B_prof=,0.877367, best_B_strat=,0.685546, best_S_id=,S04, best_S_prof=,13.812318, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.461810, actvprof=,1.321203, id=,B01, PRDE,actvstrat=,-0.387612, actvprof=,1.300368, id=,B02, PRDE,actvstrat=,-0.181477, actvprof=,1.361761, id=,B03, PRDE,actvstrat=,0.539699, actvprof=,1.988194, id=,B04, PRDE,actvstrat=,-0.858665, actvprof=,2.326550, id=,B05, PRDE,actvstrat=,-0.541306, actvprof=,1.440378, id=,B06, PRDE,actvstrat=,-0.453603, actvprof=,1.371484, id=,B07, PRDE,actvstrat=,-0.600275, actvprof=,1.422043, id=,B08, PRDE,actvstrat=,-0.180013, actvprof=,1.487048, id=,B09, PRDE,actvstrat=,0.175600, actvprof=,1.584277, id=,S00, PRDE,actvstrat=,-0.454899, actvprof=,2.564345, id=,S01, PRDE,actvstrat=,0.593029, actvprof=,7.819154, id=,S02, PRDE,actvstrat=,-0.628243, actvprof=,2.406834, id=,S03, PRDE,actvstrat=,-0.678756, actvprof=,2.060699, id=,S04, PRDE,actvstrat=,-0.457449, actvprof=,2.473505, id=,S05, PRDE,actvstrat=,0.203239, actvprof=,5.746510, id=,S06, PRDE,actvstrat=,-0.885730, actvprof=,0.379749, id=,S07, PRDE,actvstrat=,-0.069173, actvprof=,4.232794, id=,S08, PRDE,actvstrat=,0.305270, actvprof=,6.682964, id=,S09, PRDE,actvstrat=,-0.800868, actvprof=,0.922564, best_B_id=,B04, best_B_prof=,2.326550, best_B_strat=,-0.858665, best_S_id=,S01, best_S_prof=,7.819154, best_S_strat=,0.593029, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.461810, actvprof=,1.310879, id=,B01, PRDE,actvstrat=,-0.387612, actvprof=,1.269211, id=,B02, PRDE,actvstrat=,-0.181477, actvprof=,1.288100, id=,B03, PRDE,actvstrat=,0.539699, actvprof=,2.027293, id=,B04, PRDE,actvstrat=,-0.858665, actvprof=,2.343276, id=,B05, PRDE,actvstrat=,-0.541306, actvprof=,1.400604, id=,B06, PRDE,actvstrat=,-0.453603, actvprof=,1.330880, id=,B07, PRDE,actvstrat=,-0.600275, actvprof=,1.380187, id=,B08, PRDE,actvstrat=,-0.180013, actvprof=,1.444078, id=,B09, PRDE,actvstrat=,0.175600, actvprof=,1.625334, id=,S00, PRDE,actvstrat=,-0.454899, actvprof=,2.514532, id=,S01, PRDE,actvstrat=,0.593029, actvprof=,7.899163, id=,S02, PRDE,actvstrat=,-0.628243, actvprof=,2.289802, id=,S03, PRDE,actvstrat=,-0.678756, actvprof=,2.007847, id=,S04, PRDE,actvstrat=,-0.457449, actvprof=,2.514948, id=,S05, PRDE,actvstrat=,0.203239, actvprof=,5.917150, id=,S06, PRDE,actvstrat=,-0.885730, actvprof=,0.365290, id=,S07, PRDE,actvstrat=,-0.069173, actvprof=,4.185979, id=,S08, PRDE,actvstrat=,0.305270, actvprof=,6.419945, id=,S09, PRDE,actvstrat=,-0.800868, actvprof=,0.956144, best_B_id=,B04, best_B_prof=,2.343276, best_B_strat=,-0.858665, best_S_id=,S01, best_S_prof=,7.899163, best_S_strat=,0.593029, 
t=,39600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,1.720699, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,1.700697, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,1.629858, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,1.629580, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,1.770148, id=,B05, PRDE,actvstrat=,0.638141, actvprof=,1.704864, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.762647, id=,B07, PRDE,actvstrat=,0.819406, actvprof=,1.690141, id=,B08, PRDE,actvstrat=,-0.541911, actvprof=,1.355113, id=,B09, PRDE,actvstrat=,0.071561, actvprof=,1.470678, id=,S00, PRDE,actvstrat=,0.791247, actvprof=,11.300664, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.358780, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,5.220991, id=,S03, PRDE,actvstrat=,0.726976, actvprof=,11.275384, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,12.103786, id=,S05, PRDE,actvstrat=,-0.715821, actvprof=,3.176654, id=,S06, PRDE,actvstrat=,0.022897, actvprof=,6.876962, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,5.389060, id=,S08, PRDE,actvstrat=,-0.460622, actvprof=,3.418063, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,12.186293, best_B_id=,B04, best_B_prof=,1.770148, best_B_strat=,-1.000000, best_S_id=,S09, best_S_prof=,12.186293, best_S_strat=,1.000000, 
