t=,0, id=,B00, PRDE,actvstrat=,-0.001702, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.968511, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.864839, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.723257, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.333968, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.237300, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.151322, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.891650, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.521026, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.634639, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.054620, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.815923, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.774789, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.323733, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.986587, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.479427, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.761362, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.704352, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.337171, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.292445, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.001702, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.054620, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.001702, actvprof=,1.516944, id=,B01, PRDE,actvstrat=,-0.968511, actvprof=,2.665000, id=,B02, PRDE,actvstrat=,0.864839, actvprof=,2.095833, id=,B03, PRDE,actvstrat=,0.723257, actvprof=,2.339722, id=,B04, PRDE,actvstrat=,-0.333968, actvprof=,1.497222, id=,B05, PRDE,actvstrat=,-0.237300, actvprof=,1.492500, id=,B06, PRDE,actvstrat=,-0.151322, actvprof=,1.573333, id=,B07, PRDE,actvstrat=,-0.891650, actvprof=,2.444722, id=,B08, PRDE,actvstrat=,0.521026, actvprof=,2.178889, id=,B09, PRDE,actvstrat=,-0.634639, actvprof=,1.534167, id=,S00, PRDE,actvstrat=,-0.054620, actvprof=,5.176389, id=,S01, PRDE,actvstrat=,-0.815923, actvprof=,1.568056, id=,S02, PRDE,actvstrat=,-0.774789, actvprof=,2.277222, id=,S03, PRDE,actvstrat=,0.323733, actvprof=,7.426667, id=,S04, PRDE,actvstrat=,-0.986587, actvprof=,2.242778, id=,S05, PRDE,actvstrat=,-0.479427, actvprof=,3.259444, id=,S06, PRDE,actvstrat=,0.761362, actvprof=,9.974722, id=,S07, PRDE,actvstrat=,0.704352, actvprof=,9.562222, id=,S08, PRDE,actvstrat=,0.337171, actvprof=,7.150000, id=,S09, PRDE,actvstrat=,0.292445, actvprof=,7.357500, best_B_id=,B01, best_B_prof=,2.665000, best_B_strat=,-0.968511, best_S_id=,S06, best_S_prof=,9.974722, best_S_strat=,0.761362, 
t=,7200, id=,B00, PRDE,actvstrat=,0.052390, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.332936, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.011688, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.886115, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.069361, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.027406, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.230274, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.999550, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.267886, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.391094, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.417812, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.705649, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.538391, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.577861, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.862440, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.500860, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.494651, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.936025, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.901353, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.988994, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.052390, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.417812, 
t=,10800, id=,B00, PRDE,actvstrat=,0.052390, actvprof=,0.308607, id=,B01, PRDE,actvstrat=,0.332936, actvprof=,0.386384, id=,B02, PRDE,actvstrat=,0.011688, actvprof=,0.333884, id=,B03, PRDE,actvstrat=,0.886115, actvprof=,0.729434, id=,B04, PRDE,actvstrat=,-0.069361, actvprof=,0.231663, id=,B05, PRDE,actvstrat=,0.027406, actvprof=,0.346384, id=,B06, PRDE,actvstrat=,0.230274, actvprof=,0.368606, id=,B07, PRDE,actvstrat=,0.999550, actvprof=,0.266385, id=,B08, PRDE,actvstrat=,-0.267886, actvprof=,0.269718, id=,B09, PRDE,actvstrat=,0.391094, actvprof=,0.544159, id=,S00, PRDE,actvstrat=,-0.417812, actvprof=,4.517993, id=,S01, PRDE,actvstrat=,-0.705649, actvprof=,3.590783, id=,S02, PRDE,actvstrat=,-0.538391, actvprof=,4.404661, id=,S03, PRDE,actvstrat=,-0.577861, actvprof=,4.455494, id=,S04, PRDE,actvstrat=,-0.862440, actvprof=,1.156373, id=,S05, PRDE,actvstrat=,-0.500860, actvprof=,4.474382, id=,S06, PRDE,actvstrat=,0.494651, actvprof=,10.546798, id=,S07, PRDE,actvstrat=,-0.936025, actvprof=,0.174998, id=,S08, PRDE,actvstrat=,-0.901353, actvprof=,0.467494, id=,S09, PRDE,actvstrat=,-0.988994, actvprof=,0.825266, best_B_id=,B03, best_B_prof=,0.729434, best_B_strat=,0.886115, best_S_id=,S06, best_S_prof=,10.546798, best_S_strat=,0.494651, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.001702, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.649094, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.213492, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.018661, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.882990, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.092801, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.722942, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.348821, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.886359, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.053162, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.417812, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.297073, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.538391, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.200176, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.970560, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.644705, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.599336, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.020612, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.083521, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.608470, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.001702, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.417812, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.001702, actvprof=,2.316944, id=,B01, PRDE,actvstrat=,-0.649094, actvprof=,2.531944, id=,B02, PRDE,actvstrat=,0.213492, actvprof=,2.506944, id=,B03, PRDE,actvstrat=,0.018661, actvprof=,2.198056, id=,B04, PRDE,actvstrat=,-0.882990, actvprof=,3.515556, id=,B05, PRDE,actvstrat=,0.092801, actvprof=,2.256389, id=,B06, PRDE,actvstrat=,-0.722942, actvprof=,2.779444, id=,B07, PRDE,actvstrat=,-0.348821, actvprof=,2.112778, id=,B08, PRDE,actvstrat=,0.886359, actvprof=,2.182778, id=,B09, PRDE,actvstrat=,-0.053162, actvprof=,2.237778, id=,S00, PRDE,actvstrat=,-0.417812, actvprof=,2.838333, id=,S01, PRDE,actvstrat=,0.297073, actvprof=,5.849167, id=,S02, PRDE,actvstrat=,-0.538391, actvprof=,2.831944, id=,S03, PRDE,actvstrat=,0.200176, actvprof=,5.846389, id=,S04, PRDE,actvstrat=,-0.970560, actvprof=,2.165833, id=,S05, PRDE,actvstrat=,0.644705, actvprof=,8.193611, id=,S06, PRDE,actvstrat=,0.599336, actvprof=,8.094444, id=,S07, PRDE,actvstrat=,-0.020612, actvprof=,4.813333, id=,S08, PRDE,actvstrat=,0.083521, actvprof=,5.998056, id=,S09, PRDE,actvstrat=,0.608470, actvprof=,7.641389, best_B_id=,B04, best_B_prof=,3.515556, best_B_strat=,-0.882990, best_S_id=,S05, best_S_prof=,8.193611, best_S_strat=,0.644705, 
t=,21600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.348236, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.607240, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.495582, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.811188, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.093715, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.052059, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.373507, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.811188, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,1.179739, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.977514, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,1.142516, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.201961, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.861679, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.038348, id=,B06, PRDE,actvstrat=,-0.348236, actvprof=,1.803914, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.090293, id=,B08, PRDE,actvstrat=,-0.607240, actvprof=,2.079473, id=,B09, PRDE,actvstrat=,0.495582, actvprof=,2.513924, id=,S00, PRDE,actvstrat=,0.811188, actvprof=,12.608508, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.126738, id=,S02, PRDE,actvstrat=,-0.093715, actvprof=,5.966472, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,5.285073, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,12.715732, id=,S05, PRDE,actvstrat=,-0.052059, actvprof=,6.656481, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,12.726288, id=,S07, PRDE,actvstrat=,0.373507, actvprof=,9.602911, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,12.651287, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,5.505910, best_B_id=,B09, best_B_prof=,2.513924, best_B_strat=,0.495582, best_S_id=,S06, best_S_prof=,12.726288, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,1.033889, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.965833, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,1.152778, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.164722, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.889028, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.147083, id=,B06, PRDE,actvstrat=,-0.348236, actvprof=,1.858333, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.038333, id=,B08, PRDE,actvstrat=,-0.607240, actvprof=,2.197083, id=,B09, PRDE,actvstrat=,0.495582, actvprof=,2.326944, id=,S00, PRDE,actvstrat=,0.811188, actvprof=,12.632917, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.031944, id=,S02, PRDE,actvstrat=,-0.093715, actvprof=,6.072361, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,5.433056, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,12.711250, id=,S05, PRDE,actvstrat=,-0.052059, actvprof=,6.895694, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,12.650972, id=,S07, PRDE,actvstrat=,0.373507, actvprof=,9.481528, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,12.708889, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,5.507361, best_B_id=,B09, best_B_prof=,2.326944, best_B_strat=,0.495582, best_S_id=,S04, best_S_prof=,12.711250, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.712534, actvprof=,2.169903, id=,B01, PRDE,actvstrat=,-0.890527, actvprof=,3.023307, id=,B02, PRDE,actvstrat=,-0.665899, actvprof=,2.149346, id=,B03, PRDE,actvstrat=,0.827899, actvprof=,2.753841, id=,B04, PRDE,actvstrat=,-0.823894, actvprof=,2.524655, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,4.011168, id=,B06, PRDE,actvstrat=,-0.348236, actvprof=,1.883768, id=,B07, PRDE,actvstrat=,-0.348821, actvprof=,1.949885, id=,B08, PRDE,actvstrat=,0.521026, actvprof=,2.542156, id=,B09, PRDE,actvstrat=,-0.940296, actvprof=,3.337778, id=,S00, PRDE,actvstrat=,0.183036, actvprof=,5.668806, id=,S01, PRDE,actvstrat=,0.464578, actvprof=,7.155874, id=,S02, PRDE,actvstrat=,-0.330724, actvprof=,2.278523, id=,S03, PRDE,actvstrat=,0.581542, actvprof=,7.480068, id=,S04, PRDE,actvstrat=,0.383344, actvprof=,6.594716, id=,S05, PRDE,actvstrat=,-0.500860, actvprof=,2.179626, id=,S06, PRDE,actvstrat=,0.494651, actvprof=,7.136984, id=,S07, PRDE,actvstrat=,-0.577955, actvprof=,2.190183, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,9.661638, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,4.381198, best_B_id=,B05, best_B_prof=,4.011168, best_B_strat=,-1.000000, best_S_id=,S08, best_S_prof=,9.661638, best_S_strat=,1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.712534, actvprof=,2.235371, id=,B01, PRDE,actvstrat=,-0.890527, actvprof=,3.054850, id=,B02, PRDE,actvstrat=,-0.665899, actvprof=,2.168007, id=,B03, PRDE,actvstrat=,0.827899, actvprof=,2.766087, id=,B04, PRDE,actvstrat=,-0.823894, actvprof=,2.548162, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,4.098087, id=,B06, PRDE,actvstrat=,-0.348236, actvprof=,1.873967, id=,B07, PRDE,actvstrat=,-0.348821, actvprof=,1.900357, id=,B08, PRDE,actvstrat=,0.521026, actvprof=,2.647749, id=,B09, PRDE,actvstrat=,-0.940296, actvprof=,3.288748, id=,S00, PRDE,actvstrat=,0.183036, actvprof=,5.536064, id=,S01, PRDE,actvstrat=,0.464578, actvprof=,6.957790, id=,S02, PRDE,actvstrat=,-0.330724, actvprof=,2.373571, id=,S03, PRDE,actvstrat=,0.581542, actvprof=,7.413226, id=,S04, PRDE,actvstrat=,0.383344, actvprof=,6.386516, id=,S05, PRDE,actvstrat=,-0.500860, actvprof=,2.147034, id=,S06, PRDE,actvstrat=,0.494651, actvprof=,6.847230, id=,S07, PRDE,actvstrat=,-0.577955, actvprof=,2.085781, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,9.578038, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,4.541161, best_B_id=,B05, best_B_prof=,4.098087, best_B_strat=,-1.000000, best_S_id=,S08, best_S_prof=,9.578038, best_S_strat=,1.000000, 
