t=,1, id=,B00, PRDE,actvstrat=,-0.014631, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.122630, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.817452, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.404369, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.220793, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.962937, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.778038, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.101750, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.476345, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.245716, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.950474, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.117463, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.103019, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.066437, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.873496, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.298535, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.079946, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.271916, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.307517, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.014150, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.014631, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.950474, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.014631, actvprof=,4.114943, id=,B01, PRDE,actvstrat=,-0.122630, actvprof=,4.096888, id=,B02, PRDE,actvstrat=,0.817452, actvprof=,4.010778, id=,B03, PRDE,actvstrat=,-0.404369, actvprof=,4.284385, id=,B04, PRDE,actvstrat=,-0.220793, actvprof=,4.131332, id=,B05, PRDE,actvstrat=,0.962937, actvprof=,2.638574, id=,B06, PRDE,actvstrat=,0.778038, actvprof=,4.157442, id=,B07, PRDE,actvstrat=,0.101750, actvprof=,4.225497, id=,B08, PRDE,actvstrat=,-0.476345, actvprof=,4.767434, id=,B09, PRDE,actvstrat=,0.245716, actvprof=,4.341606, id=,S00, PRDE,actvstrat=,0.950474, actvprof=,7.737393, id=,S01, PRDE,actvstrat=,0.117463, actvprof=,6.283524, id=,S02, PRDE,actvstrat=,0.103019, actvprof=,6.285190, id=,S03, PRDE,actvstrat=,0.066437, actvprof=,6.518798, id=,S04, PRDE,actvstrat=,0.873496, actvprof=,8.737934, id=,S05, PRDE,actvstrat=,-0.298535, actvprof=,4.765767, id=,S06, PRDE,actvstrat=,0.079946, actvprof=,6.776017, id=,S07, PRDE,actvstrat=,0.271916, actvprof=,6.889071, id=,S08, PRDE,actvstrat=,0.307517, actvprof=,6.976570, id=,S09, PRDE,actvstrat=,0.014150, actvprof=,6.103804, best_B_id=,B08, best_B_prof=,4.767434, best_B_strat=,-0.476345, best_S_id=,S04, best_S_prof=,8.737934, best_S_strat=,0.873496, 
t=,7200, id=,B00, PRDE,actvstrat=,0.225087, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.379678, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.274001, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.107191, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.757278, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.175042, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.708028, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.379339, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.875617, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.558430, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.293757, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.374703, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.665978, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.554129, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.982761, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.821611, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.898968, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.574130, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.138321, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.226681, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.225087, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.293757, 
t=,10800, id=,B00, PRDE,actvstrat=,0.225087, actvprof=,1.504722, id=,B01, PRDE,actvstrat=,0.379678, actvprof=,1.741111, id=,B02, PRDE,actvstrat=,0.274001, actvprof=,1.702778, id=,B03, PRDE,actvstrat=,-0.107191, actvprof=,1.346944, id=,B04, PRDE,actvstrat=,0.757278, actvprof=,1.950278, id=,B05, PRDE,actvstrat=,-0.175042, actvprof=,1.218889, id=,B06, PRDE,actvstrat=,0.708028, actvprof=,1.968333, id=,B07, PRDE,actvstrat=,0.379339, actvprof=,1.452500, id=,B08, PRDE,actvstrat=,-0.875617, actvprof=,2.632778, id=,B09, PRDE,actvstrat=,0.558430, actvprof=,1.796389, id=,S00, PRDE,actvstrat=,-0.293757, actvprof=,4.283333, id=,S01, PRDE,actvstrat=,0.374703, actvprof=,8.254167, id=,S02, PRDE,actvstrat=,-0.665978, actvprof=,3.675556, id=,S03, PRDE,actvstrat=,-0.554129, actvprof=,4.181667, id=,S04, PRDE,actvstrat=,-0.982761, actvprof=,2.120278, id=,S05, PRDE,actvstrat=,0.821611, actvprof=,10.928889, id=,S06, PRDE,actvstrat=,-0.898968, actvprof=,0.846667, id=,S07, PRDE,actvstrat=,0.574130, actvprof=,9.224167, id=,S08, PRDE,actvstrat=,0.138321, actvprof=,7.838611, id=,S09, PRDE,actvstrat=,0.226681, actvprof=,7.776389, best_B_id=,B08, best_B_prof=,2.632778, best_B_strat=,-0.875617, best_S_id=,S05, best_S_prof=,10.928889, best_S_strat=,0.821611, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.014631, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.999220, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.009051, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.191916, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.220793, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.057184, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.607820, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.762669, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.646729, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.245716, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.470849, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.803073, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.224218, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.975863, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.213026, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.754160, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.605582, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.383301, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.736166, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.121126, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.014631, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.470849, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.014631, actvprof=,2.478923, id=,B01, PRDE,actvstrat=,-0.999220, actvprof=,4.065334, id=,B02, PRDE,actvstrat=,-0.009051, actvprof=,2.375033, id=,B03, PRDE,actvstrat=,0.191916, actvprof=,2.888651, id=,B04, PRDE,actvstrat=,-0.220793, actvprof=,2.384755, id=,B05, PRDE,actvstrat=,0.057184, actvprof=,2.547813, id=,B06, PRDE,actvstrat=,-0.607820, actvprof=,2.805595, id=,B07, PRDE,actvstrat=,-0.762669, actvprof=,3.265601, id=,B08, PRDE,actvstrat=,-0.646729, actvprof=,2.906429, id=,B09, PRDE,actvstrat=,0.245716, actvprof=,2.675315, id=,S00, PRDE,actvstrat=,0.470849, actvprof=,6.725093, id=,S01, PRDE,actvstrat=,-0.803073, actvprof=,1.037237, id=,S02, PRDE,actvstrat=,0.224218, actvprof=,5.827025, id=,S03, PRDE,actvstrat=,0.975863, actvprof=,8.854845, id=,S04, PRDE,actvstrat=,0.213026, actvprof=,5.487854, id=,S05, PRDE,actvstrat=,-0.754160, actvprof=,1.715302, id=,S06, PRDE,actvstrat=,0.605582, actvprof=,7.831498, id=,S07, PRDE,actvstrat=,-0.383301, actvprof=,2.743094, id=,S08, PRDE,actvstrat=,0.736166, actvprof=,8.569008, id=,S09, PRDE,actvstrat=,-0.121126, actvprof=,4.083390, best_B_id=,B01, best_B_prof=,4.065334, best_B_strat=,-0.999220, best_S_id=,S03, best_S_prof=,8.854845, best_S_strat=,0.975863, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.014631, actvprof=,2.338488, id=,B01, PRDE,actvstrat=,-0.999220, actvprof=,4.016278, id=,B02, PRDE,actvstrat=,-0.009051, actvprof=,2.450156, id=,B03, PRDE,actvstrat=,0.191916, actvprof=,2.873770, id=,B04, PRDE,actvstrat=,-0.220793, actvprof=,2.353905, id=,B05, PRDE,actvstrat=,0.057184, actvprof=,2.465156, id=,B06, PRDE,actvstrat=,-0.607820, actvprof=,2.784742, id=,B07, PRDE,actvstrat=,-0.762669, actvprof=,3.350995, id=,B08, PRDE,actvstrat=,-0.646729, actvprof=,2.896965, id=,B09, PRDE,actvstrat=,0.245716, actvprof=,2.610574, id=,S00, PRDE,actvstrat=,0.470849, actvprof=,6.820603, id=,S01, PRDE,actvstrat=,-0.803073, actvprof=,1.200981, id=,S02, PRDE,actvstrat=,0.224218, actvprof=,5.756568, id=,S03, PRDE,actvstrat=,0.975863, actvprof=,8.919506, id=,S04, PRDE,actvstrat=,0.213026, actvprof=,5.614206, id=,S05, PRDE,actvstrat=,-0.754160, actvprof=,1.528205, id=,S06, PRDE,actvstrat=,0.605582, actvprof=,7.748665, id=,S07, PRDE,actvstrat=,-0.383301, actvprof=,2.678352, id=,S08, PRDE,actvstrat=,0.736166, actvprof=,8.478531, id=,S09, PRDE,actvstrat=,-0.121126, actvprof=,3.869471, best_B_id=,B01, best_B_prof=,4.016278, best_B_strat=,-0.999220, best_S_id=,S03, best_S_prof=,8.919506, best_S_strat=,0.975863, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,1.461111, id=,B01, PRDE,actvstrat=,0.463996, actvprof=,2.615000, id=,B02, PRDE,actvstrat=,0.840363, actvprof=,2.275833, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,1.952222, id=,B04, PRDE,actvstrat=,-0.033249, actvprof=,2.233611, id=,B05, PRDE,actvstrat=,-0.211187, actvprof=,2.023611, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.147778, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.206667, id=,B08, PRDE,actvstrat=,0.395550, actvprof=,2.569444, id=,B09, PRDE,actvstrat=,0.235908, actvprof=,2.391667, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.875000, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.694444, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,11.043611, id=,S03, PRDE,actvstrat=,-0.168954, actvprof=,4.895278, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,5.563889, id=,S05, PRDE,actvstrat=,-0.416808, actvprof=,3.530556, id=,S06, PRDE,actvstrat=,0.632496, actvprof=,9.792222, id=,S07, PRDE,actvstrat=,0.606531, actvprof=,9.838056, id=,S08, PRDE,actvstrat=,0.627915, actvprof=,9.725000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,11.165000, best_B_id=,B01, best_B_prof=,2.615000, best_B_strat=,0.463996, best_S_id=,S09, best_S_prof=,11.165000, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,1.349185, id=,B01, PRDE,actvstrat=,0.463996, actvprof=,2.607814, id=,B02, PRDE,actvstrat=,0.840363, actvprof=,2.289754, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,1.979750, id=,B04, PRDE,actvstrat=,-0.033249, actvprof=,2.252809, id=,B05, PRDE,actvstrat=,-0.211187, actvprof=,2.017528, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.313768, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.100168, id=,B08, PRDE,actvstrat=,0.395550, actvprof=,2.611286, id=,B09, PRDE,actvstrat=,0.235908, actvprof=,2.355449, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.897165, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.663273, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,11.071959, id=,S03, PRDE,actvstrat=,-0.168954, actvprof=,4.769094, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,5.549383, id=,S05, PRDE,actvstrat=,-0.416808, actvprof=,3.500604, id=,S06, PRDE,actvstrat=,0.632496, actvprof=,9.829998, id=,S07, PRDE,actvstrat=,0.606531, actvprof=,9.828053, id=,S08, PRDE,actvstrat=,0.627915, actvprof=,9.664856, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,11.193905, best_B_id=,B08, best_B_prof=,2.611286, best_B_strat=,0.395550, best_S_id=,S09, best_S_prof=,11.193905, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.727453, actvprof=,3.739600, id=,B01, PRDE,actvstrat=,-0.650537, actvprof=,4.646582, id=,B02, PRDE,actvstrat=,0.019456, actvprof=,3.322083, id=,B03, PRDE,actvstrat=,0.424141, actvprof=,3.976555, id=,B04, PRDE,actvstrat=,0.536915, actvprof=,4.270178, id=,B05, PRDE,actvstrat=,0.363746, actvprof=,3.685154, id=,B06, PRDE,actvstrat=,-0.607820, actvprof=,4.158784, id=,B07, PRDE,actvstrat=,-0.494678, actvprof=,3.842938, id=,B08, PRDE,actvstrat=,-0.413783, actvprof=,3.721822, id=,B09, PRDE,actvstrat=,-0.000300, actvprof=,3.486256, id=,S00, PRDE,actvstrat=,0.839017, actvprof=,8.328403, id=,S01, PRDE,actvstrat=,0.359216, actvprof=,5.418559, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,8.260066, id=,S03, PRDE,actvstrat=,0.361303, actvprof=,5.983027, id=,S04, PRDE,actvstrat=,-0.138487, actvprof=,3.543203, id=,S05, PRDE,actvstrat=,-0.232929, actvprof=,2.709557, id=,S06, PRDE,actvstrat=,0.616537, actvprof=,7.266136, id=,S07, PRDE,actvstrat=,0.611897, actvprof=,7.498646, id=,S08, PRDE,actvstrat=,0.622234, actvprof=,7.187244, id=,S09, PRDE,actvstrat=,0.468557, actvprof=,6.381655, best_B_id=,B01, best_B_prof=,4.646582, best_B_strat=,-0.650537, best_S_id=,S00, best_S_prof=,8.328403, best_S_strat=,0.839017, 
t=,36000, id=,B00, PRDE,actvstrat=,0.727453, actvprof=,3.803968, id=,B01, PRDE,actvstrat=,-0.650537, actvprof=,4.650236, id=,B02, PRDE,actvstrat=,0.019456, actvprof=,3.273818, id=,B03, PRDE,actvstrat=,0.424141, actvprof=,4.015223, id=,B04, PRDE,actvstrat=,0.536915, actvprof=,4.245783, id=,B05, PRDE,actvstrat=,0.363746, actvprof=,3.871470, id=,B06, PRDE,actvstrat=,-0.607820, actvprof=,4.248283, id=,B07, PRDE,actvstrat=,-0.494678, actvprof=,3.740633, id=,B08, PRDE,actvstrat=,-0.413783, actvprof=,3.722716, id=,B09, PRDE,actvstrat=,-0.000300, actvprof=,3.534518, id=,S00, PRDE,actvstrat=,0.839017, actvprof=,8.530733, id=,S01, PRDE,actvstrat=,0.359216, actvprof=,5.560949, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,8.194754, id=,S03, PRDE,actvstrat=,0.361303, actvprof=,6.012070, id=,S04, PRDE,actvstrat=,-0.138487, actvprof=,3.337292, id=,S05, PRDE,actvstrat=,-0.232929, actvprof=,2.567415, id=,S06, PRDE,actvstrat=,0.616537, actvprof=,7.180150, id=,S07, PRDE,actvstrat=,0.611897, actvprof=,7.398071, id=,S08, PRDE,actvstrat=,0.622234, actvprof=,7.353625, id=,S09, PRDE,actvstrat=,0.468557, actvprof=,6.415967, best_B_id=,B01, best_B_prof=,4.650236, best_B_strat=,-0.650537, best_S_id=,S00, best_S_prof=,8.530733, best_S_strat=,0.839017, 
