t=,1, id=,B00, PRDE,actvstrat=,0.122552, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.364478, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.487777, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.485484, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.351368, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.937046, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.278103, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.671455, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.443257, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.460859, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.134561, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.867490, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.321717, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.738606, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.492390, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.135742, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.229238, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.148666, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.119915, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.404938, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.122552, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.134561, 
t=,3600, id=,B00, PRDE,actvstrat=,0.122552, actvprof=,1.815227, id=,B01, PRDE,actvstrat=,0.364478, actvprof=,1.961334, id=,B02, PRDE,actvstrat=,-0.487777, actvprof=,1.632455, id=,B03, PRDE,actvstrat=,0.485484, actvprof=,2.159107, id=,B04, PRDE,actvstrat=,-0.351368, actvprof=,1.555235, id=,B05, PRDE,actvstrat=,-0.937046, actvprof=,2.872698, id=,B06, PRDE,actvstrat=,-0.278103, actvprof=,1.613566, id=,B07, PRDE,actvstrat=,-0.671455, actvprof=,2.021611, id=,B08, PRDE,actvstrat=,0.443257, actvprof=,2.289381, id=,B09, PRDE,actvstrat=,0.460859, actvprof=,2.280770, id=,S00, PRDE,actvstrat=,0.134561, actvprof=,6.360101, id=,S01, PRDE,actvstrat=,-0.867490, actvprof=,0.736368, id=,S02, PRDE,actvstrat=,0.321717, actvprof=,7.222299, id=,S03, PRDE,actvstrat=,-0.738606, actvprof=,2.185217, id=,S04, PRDE,actvstrat=,0.492390, actvprof=,7.755896, id=,S05, PRDE,actvstrat=,0.135742, actvprof=,6.349268, id=,S06, PRDE,actvstrat=,-0.229238, actvprof=,3.807672, id=,S07, PRDE,actvstrat=,-0.148666, actvprof=,4.380989, id=,S08, PRDE,actvstrat=,0.119915, actvprof=,6.557318, id=,S09, PRDE,actvstrat=,0.404938, actvprof=,7.574790, best_B_id=,B05, best_B_prof=,2.872698, best_B_strat=,-0.937046, best_S_id=,S04, best_S_prof=,7.755896, best_S_strat=,0.492390, 
t=,7200, id=,B00, PRDE,actvstrat=,0.142145, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.356606, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.744686, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.655291, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.558141, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.944137, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.666827, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.752331, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.645169, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.148080, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.518344, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.903283, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.194367, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.145267, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.243130, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.738235, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.646075, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.096235, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.691365, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.836443, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.142145, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.518344, 
t=,10800, id=,B00, PRDE,actvstrat=,0.142145, actvprof=,2.364444, id=,B01, PRDE,actvstrat=,0.356606, actvprof=,2.458333, id=,B02, PRDE,actvstrat=,-0.744686, actvprof=,2.534167, id=,B03, PRDE,actvstrat=,-0.655291, actvprof=,2.249722, id=,B04, PRDE,actvstrat=,0.558141, actvprof=,2.581111, id=,B05, PRDE,actvstrat=,-0.944137, actvprof=,3.566944, id=,B06, PRDE,actvstrat=,-0.666827, actvprof=,2.235278, id=,B07, PRDE,actvstrat=,-0.752331, actvprof=,2.386389, id=,B08, PRDE,actvstrat=,-0.645169, actvprof=,2.100278, id=,B09, PRDE,actvstrat=,0.148080, actvprof=,2.241111, id=,S00, PRDE,actvstrat=,-0.518344, actvprof=,2.389722, id=,S01, PRDE,actvstrat=,-0.903283, actvprof=,0.439444, id=,S02, PRDE,actvstrat=,0.194367, actvprof=,5.714722, id=,S03, PRDE,actvstrat=,0.145267, actvprof=,5.626944, id=,S04, PRDE,actvstrat=,-0.243130, actvprof=,3.055278, id=,S05, PRDE,actvstrat=,0.738235, actvprof=,8.920000, id=,S06, PRDE,actvstrat=,0.646075, actvprof=,8.134444, id=,S07, PRDE,actvstrat=,-0.096235, actvprof=,4.099722, id=,S08, PRDE,actvstrat=,-0.691365, actvprof=,2.323056, id=,S09, PRDE,actvstrat=,0.836443, actvprof=,9.556667, best_B_id=,B05, best_B_prof=,3.566944, best_B_strat=,-0.944137, best_S_id=,S09, best_S_prof=,9.556667, best_S_strat=,0.836443, 
t=,14400, id=,B00, PRDE,actvstrat=,0.142145, actvprof=,2.215710, id=,B01, PRDE,actvstrat=,0.356606, actvprof=,2.349044, id=,B02, PRDE,actvstrat=,-0.744686, actvprof=,2.402933, id=,B03, PRDE,actvstrat=,-0.655291, actvprof=,2.218488, id=,B04, PRDE,actvstrat=,0.558141, actvprof=,2.574740, id=,B05, PRDE,actvstrat=,-0.944137, actvprof=,3.493358, id=,B06, PRDE,actvstrat=,-0.666827, actvprof=,2.110431, id=,B07, PRDE,actvstrat=,-0.752331, actvprof=,2.501545, id=,B08, PRDE,actvstrat=,-0.645169, actvprof=,2.101681, id=,B09, PRDE,actvstrat=,0.148080, actvprof=,2.183765, id=,S00, PRDE,actvstrat=,-0.518344, actvprof=,2.488906, id=,S01, PRDE,actvstrat=,-0.903283, actvprof=,0.410003, id=,S02, PRDE,actvstrat=,0.194367, actvprof=,5.825179, id=,S03, PRDE,actvstrat=,0.145267, actvprof=,5.538927, id=,S04, PRDE,actvstrat=,-0.243130, actvprof=,3.258773, id=,S05, PRDE,actvstrat=,0.738235, actvprof=,8.870200, id=,S06, PRDE,actvstrat=,0.646075, actvprof=,8.397281, id=,S07, PRDE,actvstrat=,-0.096235, actvprof=,4.130029, id=,S08, PRDE,actvstrat=,-0.691365, actvprof=,2.203488, id=,S09, PRDE,actvstrat=,0.836443, actvprof=,9.514927, best_B_id=,B05, best_B_prof=,3.493358, best_B_strat=,-0.944137, best_S_id=,S09, best_S_prof=,9.514927, best_S_strat=,0.836443, 
t=,18000, id=,B00, PRDE,actvstrat=,0.389619, actvprof=,1.896164, id=,B01, PRDE,actvstrat=,-0.755438, actvprof=,1.689491, id=,B02, PRDE,actvstrat=,-0.208997, actvprof=,1.470874, id=,B03, PRDE,actvstrat=,-0.190206, actvprof=,1.288647, id=,B04, PRDE,actvstrat=,0.558141, actvprof=,2.181172, id=,B05, PRDE,actvstrat=,-0.664322, actvprof=,1.653657, id=,B06, PRDE,actvstrat=,-0.827545, actvprof=,2.258674, id=,B07, PRDE,actvstrat=,-0.752331, actvprof=,1.882275, id=,B08, PRDE,actvstrat=,-0.461600, actvprof=,1.446707, id=,B09, PRDE,actvstrat=,-0.611014, actvprof=,1.485875, id=,S00, PRDE,actvstrat=,-0.555372, actvprof=,2.523403, id=,S01, PRDE,actvstrat=,-0.208367, actvprof=,2.897303, id=,S02, PRDE,actvstrat=,-0.891628, actvprof=,0.206672, id=,S03, PRDE,actvstrat=,0.145267, actvprof=,5.533209, id=,S04, PRDE,actvstrat=,-0.922318, actvprof=,0.397511, id=,S05, PRDE,actvstrat=,-0.138197, actvprof=,3.524820, id=,S06, PRDE,actvstrat=,-0.152652, actvprof=,3.495375, id=,S07, PRDE,actvstrat=,-0.240315, actvprof=,3.042307, id=,S08, PRDE,actvstrat=,0.884384, actvprof=,9.596933, id=,S09, PRDE,actvstrat=,0.408230, actvprof=,6.930470, best_B_id=,B06, best_B_prof=,2.258674, best_B_strat=,-0.827545, best_S_id=,S08, best_S_prof=,9.596933, best_S_strat=,0.884384, 
t=,21600, id=,B00, PRDE,actvstrat=,0.389619, actvprof=,1.942110, id=,B01, PRDE,actvstrat=,-0.755438, actvprof=,1.753080, id=,B02, PRDE,actvstrat=,-0.208997, actvprof=,1.467798, id=,B03, PRDE,actvstrat=,-0.190206, actvprof=,1.427520, id=,B04, PRDE,actvstrat=,0.558141, actvprof=,2.244892, id=,B05, PRDE,actvstrat=,-0.664322, actvprof=,1.680162, id=,B06, PRDE,actvstrat=,-0.827545, actvprof=,2.376144, id=,B07, PRDE,actvstrat=,-0.752331, actvprof=,1.845442, id=,B08, PRDE,actvstrat=,-0.461600, actvprof=,1.525160, id=,B09, PRDE,actvstrat=,-0.611014, actvprof=,1.520854, id=,S00, PRDE,actvstrat=,-0.555372, actvprof=,2.489062, id=,S01, PRDE,actvstrat=,-0.208367, actvprof=,3.104626, id=,S02, PRDE,actvstrat=,-0.891628, actvprof=,0.292782, id=,S03, PRDE,actvstrat=,0.145267, actvprof=,5.690635, id=,S04, PRDE,actvstrat=,-0.922318, actvprof=,0.352088, id=,S05, PRDE,actvstrat=,-0.138197, actvprof=,3.566994, id=,S06, PRDE,actvstrat=,-0.152652, actvprof=,3.531299, id=,S07, PRDE,actvstrat=,-0.240315, actvprof=,3.121154, id=,S08, PRDE,actvstrat=,0.884384, actvprof=,9.733191, id=,S09, PRDE,actvstrat=,0.408230, actvprof=,7.058015, best_B_id=,B06, best_B_prof=,2.376144, best_B_strat=,-0.827545, best_S_id=,S08, best_S_prof=,9.733191, best_S_strat=,0.884384, 
t=,25200, id=,B00, PRDE,actvstrat=,0.836810, actvprof=,1.757018, id=,B01, PRDE,actvstrat=,0.318759, actvprof=,1.618123, id=,B02, PRDE,actvstrat=,-0.051271, actvprof=,1.427837, id=,B03, PRDE,actvstrat=,0.524210, actvprof=,1.765351, id=,B04, PRDE,actvstrat=,-0.136134, actvprof=,1.245885, id=,B05, PRDE,actvstrat=,-0.969920, actvprof=,2.460103, id=,B06, PRDE,actvstrat=,-0.037769, actvprof=,1.442560, id=,B07, PRDE,actvstrat=,0.150042, actvprof=,1.377280, id=,B08, PRDE,actvstrat=,-0.254874, actvprof=,1.136436, id=,B09, PRDE,actvstrat=,-0.887320, actvprof=,2.357598, id=,S00, PRDE,actvstrat=,-0.861181, actvprof=,0.765310, id=,S01, PRDE,actvstrat=,-0.345576, actvprof=,3.086517, id=,S02, PRDE,actvstrat=,-0.402584, actvprof=,3.331528, id=,S03, PRDE,actvstrat=,0.015914, actvprof=,6.119422, id=,S04, PRDE,actvstrat=,0.128656, actvprof=,6.649166, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,4.081559, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,10.777949, id=,S07, PRDE,actvstrat=,-0.295299, actvprof=,3.345973, id=,S08, PRDE,actvstrat=,0.436803, actvprof=,8.139228, id=,S09, PRDE,actvstrat=,0.173426, actvprof=,6.584719, best_B_id=,B05, best_B_prof=,2.460103, best_B_strat=,-0.969920, best_S_id=,S06, best_S_prof=,10.777949, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.836810, actvprof=,1.859205, id=,B01, PRDE,actvstrat=,0.318759, actvprof=,1.648784, id=,B02, PRDE,actvstrat=,-0.051271, actvprof=,1.419752, id=,B03, PRDE,actvstrat=,0.524210, actvprof=,1.791565, id=,B04, PRDE,actvstrat=,-0.136134, actvprof=,1.190303, id=,B05, PRDE,actvstrat=,-0.969920, actvprof=,2.501163, id=,B06, PRDE,actvstrat=,-0.037769, actvprof=,1.396696, id=,B07, PRDE,actvstrat=,0.150042, actvprof=,1.394890, id=,B08, PRDE,actvstrat=,-0.254874, actvprof=,1.163774, id=,B09, PRDE,actvstrat=,-0.887320, actvprof=,2.369633, id=,S00, PRDE,actvstrat=,-0.861181, actvprof=,0.678486, id=,S01, PRDE,actvstrat=,-0.345576, actvprof=,3.322569, id=,S02, PRDE,actvstrat=,-0.402584, actvprof=,3.252846, id=,S03, PRDE,actvstrat=,0.015914, actvprof=,6.039709, id=,S04, PRDE,actvstrat=,0.128656, actvprof=,6.638194, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,4.066196, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,10.781614, id=,S07, PRDE,actvstrat=,-0.295299, actvprof=,3.480906, id=,S08, PRDE,actvstrat=,0.436803, actvprof=,8.243227, id=,S09, PRDE,actvstrat=,0.173426, actvprof=,6.461940, best_B_id=,B05, best_B_prof=,2.501163, best_B_strat=,-0.969920, best_S_id=,S06, best_S_prof=,10.781614, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.902964, actvprof=,2.891114, id=,B01, PRDE,actvstrat=,0.511660, actvprof=,2.308002, id=,B02, PRDE,actvstrat=,0.785367, actvprof=,2.327171, id=,B03, PRDE,actvstrat=,0.778220, actvprof=,2.360785, id=,B04, PRDE,actvstrat=,-0.034352, actvprof=,1.581265, id=,B05, PRDE,actvstrat=,-0.961416, actvprof=,3.080577, id=,B06, PRDE,actvstrat=,-0.666827, actvprof=,2.051588, id=,B07, PRDE,actvstrat=,0.150042, actvprof=,1.932966, id=,B08, PRDE,actvstrat=,0.041860, actvprof=,1.667940, id=,B09, PRDE,actvstrat=,-0.188608, actvprof=,1.572375, id=,S00, PRDE,actvstrat=,0.416668, actvprof=,7.357660, id=,S01, PRDE,actvstrat=,0.358306, actvprof=,7.377662, id=,S02, PRDE,actvstrat=,0.296945, actvprof=,7.469893, id=,S03, PRDE,actvstrat=,0.682562, actvprof=,9.239509, id=,S04, PRDE,actvstrat=,-0.981342, actvprof=,1.841846, id=,S05, PRDE,actvstrat=,0.738235, actvprof=,9.357854, id=,S06, PRDE,actvstrat=,0.512665, actvprof=,8.511939, id=,S07, PRDE,actvstrat=,-0.500595, actvprof=,3.084467, id=,S08, PRDE,actvstrat=,0.153933, actvprof=,7.000403, id=,S09, PRDE,actvstrat=,-0.899749, actvprof=,0.504216, best_B_id=,B05, best_B_prof=,3.080577, best_B_strat=,-0.961416, best_S_id=,S05, best_S_prof=,9.357854, best_S_strat=,0.738235, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.902964, actvprof=,2.866806, id=,B01, PRDE,actvstrat=,0.511660, actvprof=,2.272333, id=,B02, PRDE,actvstrat=,0.785367, actvprof=,2.299556, id=,B03, PRDE,actvstrat=,0.778220, actvprof=,2.342753, id=,B04, PRDE,actvstrat=,-0.034352, actvprof=,1.709528, id=,B05, PRDE,actvstrat=,-0.961416, actvprof=,2.982089, id=,B06, PRDE,actvstrat=,-0.666827, actvprof=,2.020098, id=,B07, PRDE,actvstrat=,0.150042, actvprof=,1.957595, id=,B08, PRDE,actvstrat=,0.041860, actvprof=,1.764947, id=,B09, PRDE,actvstrat=,-0.188608, actvprof=,1.569660, id=,S00, PRDE,actvstrat=,0.416668, actvprof=,7.645094, id=,S01, PRDE,actvstrat=,0.358306, actvprof=,7.449251, id=,S02, PRDE,actvstrat=,0.296945, actvprof=,7.328967, id=,S03, PRDE,actvstrat=,0.682562, actvprof=,9.340732, id=,S04, PRDE,actvstrat=,-0.981342, actvprof=,1.876063, id=,S05, PRDE,actvstrat=,0.738235, actvprof=,9.541853, id=,S06, PRDE,actvstrat=,0.512665, actvprof=,8.400408, id=,S07, PRDE,actvstrat=,-0.500595, actvprof=,3.037925, id=,S08, PRDE,actvstrat=,0.153933, actvprof=,6.724077, id=,S09, PRDE,actvstrat=,-0.899749, actvprof=,0.485440, best_B_id=,B05, best_B_prof=,2.982089, best_B_strat=,-0.961416, best_S_id=,S05, best_S_prof=,9.541853, best_S_strat=,0.738235, 
