t=,0, id=,B00, PRDE,actvstrat=,0.249259, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.449747, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.108217, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.409577, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.327574, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.269629, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.855393, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.721871, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.979755, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.135075, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.381431, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.652382, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.882869, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.909267, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.171251, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.444878, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.040043, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.864868, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.982013, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.211262, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.249259, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.381431, 
t=,3600, id=,B00, PRDE,actvstrat=,0.249259, actvprof=,3.080278, id=,B01, PRDE,actvstrat=,-0.449747, actvprof=,2.730833, id=,B02, PRDE,actvstrat=,0.108217, actvprof=,2.789444, id=,B03, PRDE,actvstrat=,-0.409577, actvprof=,2.596111, id=,B04, PRDE,actvstrat=,-0.327574, actvprof=,2.724722, id=,B05, PRDE,actvstrat=,0.269629, actvprof=,2.957222, id=,B06, PRDE,actvstrat=,-0.855393, actvprof=,4.141944, id=,B07, PRDE,actvstrat=,-0.721871, actvprof=,3.381389, id=,B08, PRDE,actvstrat=,-0.979755, actvprof=,3.768889, id=,B09, PRDE,actvstrat=,-0.135075, actvprof=,2.746111, id=,S00, PRDE,actvstrat=,-0.381431, actvprof=,2.112222, id=,S01, PRDE,actvstrat=,0.652382, actvprof=,7.500278, id=,S02, PRDE,actvstrat=,0.882869, actvprof=,8.788056, id=,S03, PRDE,actvstrat=,0.909267, actvprof=,9.059167, id=,S04, PRDE,actvstrat=,0.171251, actvprof=,5.153889, id=,S05, PRDE,actvstrat=,0.444878, actvprof=,6.255278, id=,S06, PRDE,actvstrat=,0.040043, actvprof=,5.061667, id=,S07, PRDE,actvstrat=,-0.864868, actvprof=,0.476944, id=,S08, PRDE,actvstrat=,-0.982013, actvprof=,2.138333, id=,S09, PRDE,actvstrat=,0.211262, actvprof=,5.048333, best_B_id=,B06, best_B_prof=,4.141944, best_B_strat=,-0.855393, best_S_id=,S03, best_S_prof=,9.059167, best_S_strat=,0.909267, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.101842, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.221461, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.440577, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.589365, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.469091, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.086120, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.014307, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.153890, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.880058, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.877863, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.861883, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.042454, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.650413, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.683224, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.460544, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.196202, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.737115, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.681825, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.193692, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.265216, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.101842, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.861883, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.101842, actvprof=,0.893321, id=,B01, PRDE,actvstrat=,-0.221461, actvprof=,0.790822, id=,B02, PRDE,actvstrat=,0.440577, actvprof=,1.201650, id=,B03, PRDE,actvstrat=,-0.589365, actvprof=,0.830266, id=,B04, PRDE,actvstrat=,0.469091, actvprof=,1.356648, id=,B05, PRDE,actvstrat=,0.086120, actvprof=,1.012486, id=,B06, PRDE,actvstrat=,0.014307, actvprof=,0.928320, id=,B07, PRDE,actvstrat=,0.153890, actvprof=,1.106096, id=,B08, PRDE,actvstrat=,0.880058, actvprof=,1.544145, id=,B09, PRDE,actvstrat=,-0.877863, actvprof=,1.744420, id=,S00, PRDE,actvstrat=,-0.861883, actvprof=,0.644991, id=,S01, PRDE,actvstrat=,-0.042454, actvprof=,5.825475, id=,S02, PRDE,actvstrat=,-0.650413, actvprof=,2.936904, id=,S03, PRDE,actvstrat=,-0.683224, actvprof=,2.999681, id=,S04, PRDE,actvstrat=,-0.460544, actvprof=,3.114679, id=,S05, PRDE,actvstrat=,-0.196202, actvprof=,4.209386, id=,S06, PRDE,actvstrat=,0.737115, actvprof=,10.549020, id=,S07, PRDE,actvstrat=,-0.681825, actvprof=,2.482188, id=,S08, PRDE,actvstrat=,0.193692, actvprof=,7.551840, id=,S09, PRDE,actvstrat=,-0.265216, actvprof=,3.876891, best_B_id=,B09, best_B_prof=,1.744420, best_B_strat=,-0.877863, best_S_id=,S06, best_S_prof=,10.549020, best_S_strat=,0.737115, 
t=,14400, id=,B00, PRDE,actvstrat=,0.400062, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.594215, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.890785, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.673510, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.063282, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.771070, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.271576, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.151555, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.504570, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.887279, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.354860, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.542252, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.765076, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.927629, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.088452, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.347834, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.737115, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.610941, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.085621, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.265216, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.400062, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.354860, 
t=,18000, id=,B00, PRDE,actvstrat=,0.400062, actvprof=,2.130278, id=,B01, PRDE,actvstrat=,0.594215, actvprof=,2.292222, id=,B02, PRDE,actvstrat=,-0.890785, actvprof=,2.959722, id=,B03, PRDE,actvstrat=,0.673510, actvprof=,2.326111, id=,B04, PRDE,actvstrat=,-0.063282, actvprof=,1.609167, id=,B05, PRDE,actvstrat=,0.771070, actvprof=,2.256389, id=,B06, PRDE,actvstrat=,-0.271576, actvprof=,1.714167, id=,B07, PRDE,actvstrat=,0.151555, actvprof=,1.720278, id=,B08, PRDE,actvstrat=,0.504570, actvprof=,2.365278, id=,B09, PRDE,actvstrat=,-0.887279, actvprof=,2.913333, id=,S00, PRDE,actvstrat=,0.354860, actvprof=,7.185000, id=,S01, PRDE,actvstrat=,0.542252, actvprof=,8.471944, id=,S02, PRDE,actvstrat=,0.765076, actvprof=,10.124444, id=,S03, PRDE,actvstrat=,0.927629, actvprof=,10.702222, id=,S04, PRDE,actvstrat=,-0.088452, actvprof=,4.836667, id=,S05, PRDE,actvstrat=,-0.347834, actvprof=,3.693056, id=,S06, PRDE,actvstrat=,0.737115, actvprof=,10.022500, id=,S07, PRDE,actvstrat=,-0.610941, actvprof=,2.712222, id=,S08, PRDE,actvstrat=,-0.085621, actvprof=,4.824722, id=,S09, PRDE,actvstrat=,-0.265216, actvprof=,3.518056, best_B_id=,B02, best_B_prof=,2.959722, best_B_strat=,-0.890785, best_S_id=,S03, best_S_prof=,10.702222, best_S_strat=,0.927629, 
t=,21600, id=,B00, PRDE,actvstrat=,0.998935, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.090822, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.447002, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.418323, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.595633, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.143339, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.874230, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.127630, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.173656, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.107812, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.938379, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.501343, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.311051, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.998935, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-1.000000, 
t=,25200, id=,B00, PRDE,actvstrat=,0.998935, actvprof=,1.135000, id=,B01, PRDE,actvstrat=,-0.090822, actvprof=,1.080278, id=,B02, PRDE,actvstrat=,0.447002, actvprof=,1.435278, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,1.672222, id=,B04, PRDE,actvstrat=,-0.418323, actvprof=,0.970556, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.213611, id=,B06, PRDE,actvstrat=,0.595633, actvprof=,1.777500, id=,B07, PRDE,actvstrat=,-0.143339, actvprof=,0.905833, id=,B08, PRDE,actvstrat=,-0.874230, actvprof=,1.303056, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.041389, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,7.887500, id=,S01, PRDE,actvstrat=,0.127630, actvprof=,7.462500, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.905000, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,7.723056, id=,S04, PRDE,actvstrat=,-0.173656, actvprof=,4.499444, id=,S05, PRDE,actvstrat=,-0.107812, actvprof=,5.297222, id=,S06, PRDE,actvstrat=,-0.938379, actvprof=,0.882222, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,7.992778, id=,S08, PRDE,actvstrat=,0.501343, actvprof=,9.437222, id=,S09, PRDE,actvstrat=,0.311051, actvprof=,8.111667, best_B_id=,B06, best_B_prof=,1.777500, best_B_strat=,0.595633, best_S_id=,S08, best_S_prof=,9.437222, best_S_strat=,0.501343, 
t=,28800, id=,B00, PRDE,actvstrat=,0.998935, actvprof=,1.064313, id=,B01, PRDE,actvstrat=,-0.090822, actvprof=,0.904451, id=,B02, PRDE,actvstrat=,0.447002, actvprof=,1.398760, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,1.594594, id=,B04, PRDE,actvstrat=,-0.418323, actvprof=,0.821256, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.123480, id=,B06, PRDE,actvstrat=,0.595633, actvprof=,1.608622, id=,B07, PRDE,actvstrat=,-0.143339, actvprof=,0.887506, id=,B08, PRDE,actvstrat=,-0.874230, actvprof=,1.277509, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.031396, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,7.885333, id=,S01, PRDE,actvstrat=,0.127630, actvprof=,7.439218, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.904360, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,7.643109, id=,S04, PRDE,actvstrat=,-0.173656, actvprof=,4.624199, id=,S05, PRDE,actvstrat=,-0.107812, actvprof=,5.438093, id=,S06, PRDE,actvstrat=,-0.938379, actvprof=,0.824034, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,7.986028, id=,S08, PRDE,actvstrat=,0.501343, actvprof=,9.608817, id=,S09, PRDE,actvstrat=,0.311051, actvprof=,8.146584, best_B_id=,B06, best_B_prof=,1.608622, best_B_strat=,0.595633, best_S_id=,S08, best_S_prof=,9.608817, best_S_strat=,0.501343, 
t=,32400, id=,B00, PRDE,actvstrat=,0.249259, actvprof=,2.019472, id=,B01, PRDE,actvstrat=,-0.540190, actvprof=,1.848637, id=,B02, PRDE,actvstrat=,-0.110398, actvprof=,1.917249, id=,B03, PRDE,actvstrat=,-0.648461, actvprof=,2.041417, id=,B04, PRDE,actvstrat=,0.306890, actvprof=,2.154752, id=,B05, PRDE,actvstrat=,0.777915, actvprof=,2.495868, id=,B06, PRDE,actvstrat=,0.186374, actvprof=,1.970583, id=,B07, PRDE,actvstrat=,0.577690, actvprof=,2.731149, id=,B08, PRDE,actvstrat=,-0.669850, actvprof=,2.398089, id=,B09, PRDE,actvstrat=,0.040224, actvprof=,1.840859, id=,S00, PRDE,actvstrat=,0.051579, actvprof=,5.513965, id=,S01, PRDE,actvstrat=,0.100990, actvprof=,5.763413, id=,S02, PRDE,actvstrat=,0.303051, actvprof=,7.393714, id=,S03, PRDE,actvstrat=,-0.483831, actvprof=,2.835317, id=,S04, PRDE,actvstrat=,-0.505493, actvprof=,2.753094, id=,S05, PRDE,actvstrat=,-0.107812, actvprof=,4.405617, id=,S06, PRDE,actvstrat=,0.737115, actvprof=,9.176794, id=,S07, PRDE,actvstrat=,-0.321205, actvprof=,3.428381, id=,S08, PRDE,actvstrat=,0.317532, actvprof=,7.093987, id=,S09, PRDE,actvstrat=,0.311051, actvprof=,7.040931, best_B_id=,B07, best_B_prof=,2.731149, best_B_strat=,0.577690, best_S_id=,S06, best_S_prof=,9.176794, best_S_strat=,0.737115, 
t=,36000, id=,B00, PRDE,actvstrat=,0.249259, actvprof=,1.992805, id=,B01, PRDE,actvstrat=,-0.540190, actvprof=,1.913082, id=,B02, PRDE,actvstrat=,-0.110398, actvprof=,1.817803, id=,B03, PRDE,actvstrat=,-0.648461, actvprof=,1.999056, id=,B04, PRDE,actvstrat=,0.306890, actvprof=,2.199058, id=,B05, PRDE,actvstrat=,0.777915, actvprof=,2.450451, id=,B06, PRDE,actvstrat=,0.186374, actvprof=,2.038501, id=,B07, PRDE,actvstrat=,0.577690, actvprof=,2.625175, id=,B08, PRDE,actvstrat=,-0.669850, actvprof=,2.255309, id=,B09, PRDE,actvstrat=,0.040224, actvprof=,1.777802, id=,S00, PRDE,actvstrat=,0.051579, actvprof=,5.536049, id=,S01, PRDE,actvstrat=,0.100990, actvprof=,5.920499, id=,S02, PRDE,actvstrat=,0.303051, actvprof=,7.187739, id=,S03, PRDE,actvstrat=,-0.483831, actvprof=,2.801844, id=,S04, PRDE,actvstrat=,-0.505493, actvprof=,2.869484, id=,S05, PRDE,actvstrat=,-0.107812, actvprof=,4.379783, id=,S06, PRDE,actvstrat=,0.737115, actvprof=,9.439020, id=,S07, PRDE,actvstrat=,-0.321205, actvprof=,3.327824, id=,S08, PRDE,actvstrat=,0.317532, actvprof=,6.995375, id=,S09, PRDE,actvstrat=,0.311051, actvprof=,6.685510, best_B_id=,B07, best_B_prof=,2.625175, best_B_strat=,0.577690, best_S_id=,S06, best_S_prof=,9.439020, best_S_strat=,0.737115, 
