t=,1, id=,B00, PRDE,actvstrat=,0.141704, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.318843, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.939168, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.559920, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.194127, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.409193, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.442625, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.851370, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.188522, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.630552, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.029623, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.524788, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.434891, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.570940, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.806389, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.209478, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.679284, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.826915, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.776933, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.820812, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.141704, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.029623, 
t=,3600, id=,B00, PRDE,actvstrat=,0.141704, actvprof=,2.766389, id=,B01, PRDE,actvstrat=,-0.318843, actvprof=,2.359444, id=,B02, PRDE,actvstrat=,0.939168, actvprof=,1.896389, id=,B03, PRDE,actvstrat=,-0.559920, actvprof=,2.802222, id=,B04, PRDE,actvstrat=,0.194127, actvprof=,2.728889, id=,B05, PRDE,actvstrat=,0.409193, actvprof=,2.890833, id=,B06, PRDE,actvstrat=,0.442625, actvprof=,3.097778, id=,B07, PRDE,actvstrat=,-0.851370, actvprof=,3.721389, id=,B08, PRDE,actvstrat=,0.188522, actvprof=,2.654722, id=,B09, PRDE,actvstrat=,0.630552, actvprof=,3.077778, id=,S00, PRDE,actvstrat=,-0.029623, actvprof=,5.505278, id=,S01, PRDE,actvstrat=,0.524788, actvprof=,8.194444, id=,S02, PRDE,actvstrat=,-0.434891, actvprof=,3.278611, id=,S03, PRDE,actvstrat=,-0.570940, actvprof=,3.253333, id=,S04, PRDE,actvstrat=,0.806389, actvprof=,9.822778, id=,S05, PRDE,actvstrat=,-0.209478, actvprof=,4.296389, id=,S06, PRDE,actvstrat=,-0.679284, actvprof=,2.527500, id=,S07, PRDE,actvstrat=,0.826915, actvprof=,9.564722, id=,S08, PRDE,actvstrat=,0.776933, actvprof=,9.700000, id=,S09, PRDE,actvstrat=,0.820812, actvprof=,9.727778, best_B_id=,B07, best_B_prof=,3.721389, best_B_strat=,-0.851370, best_S_id=,S04, best_S_prof=,9.822778, best_S_strat=,0.806389, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.929840, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.175100, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.779578, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.843860, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.589990, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.398928, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.964938, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.651918, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.508021, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.267888, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.484780, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.364702, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.111155, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.507458, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.001219, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.381443, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.693786, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.194189, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.049503, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.396656, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.929840, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.484780, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.929840, actvprof=,2.109137, id=,B01, PRDE,actvstrat=,-0.175100, actvprof=,0.795822, id=,B02, PRDE,actvstrat=,0.779578, actvprof=,1.774142, id=,B03, PRDE,actvstrat=,0.843860, actvprof=,1.704143, id=,B04, PRDE,actvstrat=,-0.589990, actvprof=,1.090540, id=,B05, PRDE,actvstrat=,-0.398928, actvprof=,0.906376, id=,B06, PRDE,actvstrat=,-0.964938, actvprof=,2.047194, id=,B07, PRDE,actvstrat=,0.651918, actvprof=,1.596089, id=,B08, PRDE,actvstrat=,0.508021, actvprof=,1.413591, id=,B09, PRDE,actvstrat=,0.267888, actvprof=,1.397758, id=,S00, PRDE,actvstrat=,0.484780, actvprof=,9.385981, id=,S01, PRDE,actvstrat=,0.364702, actvprof=,8.611825, id=,S02, PRDE,actvstrat=,0.111155, actvprof=,6.654352, id=,S03, PRDE,actvstrat=,-0.507458, actvprof=,3.579950, id=,S04, PRDE,actvstrat=,-0.001219, actvprof=,6.564353, id=,S05, PRDE,actvstrat=,-0.381443, actvprof=,3.456341, id=,S06, PRDE,actvstrat=,-0.693786, actvprof=,3.269399, id=,S07, PRDE,actvstrat=,0.194189, actvprof=,7.142401, id=,S08, PRDE,actvstrat=,0.049503, actvprof=,7.141290, id=,S09, PRDE,actvstrat=,-0.396656, actvprof=,3.647172, best_B_id=,B00, best_B_prof=,2.109137, best_B_strat=,-0.929840, best_S_id=,S00, best_S_prof=,9.385981, best_S_strat=,0.484780, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.404110, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.161186, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.993004, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.648516, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.560117, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.389641, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.836338, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.090710, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.900252, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.317498, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.196366, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.376437, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.807479, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.629629, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.169759, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.289993, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.887754, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.569837, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.163455, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.347080, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.404110, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.196366, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.404110, actvprof=,2.043946, id=,B01, PRDE,actvstrat=,-0.161186, actvprof=,2.076724, id=,B02, PRDE,actvstrat=,0.993004, actvprof=,1.039473, id=,B03, PRDE,actvstrat=,-0.648516, actvprof=,2.992861, id=,B04, PRDE,actvstrat=,-0.560117, actvprof=,1.992833, id=,B05, PRDE,actvstrat=,-0.389641, actvprof=,2.016445, id=,B06, PRDE,actvstrat=,0.836338, actvprof=,2.380899, id=,B07, PRDE,actvstrat=,0.090710, actvprof=,2.099225, id=,B08, PRDE,actvstrat=,0.900252, actvprof=,1.945610, id=,B09, PRDE,actvstrat=,0.317498, actvprof=,2.493958, id=,S00, PRDE,actvstrat=,0.196366, actvprof=,7.124087, id=,S01, PRDE,actvstrat=,0.376437, actvprof=,7.696047, id=,S02, PRDE,actvstrat=,0.807479, actvprof=,9.974999, id=,S03, PRDE,actvstrat=,0.629629, actvprof=,9.176366, id=,S04, PRDE,actvstrat=,-0.169759, actvprof=,4.162060, id=,S05, PRDE,actvstrat=,0.289993, actvprof=,7.368260, id=,S06, PRDE,actvstrat=,-0.887754, actvprof=,1.035862, id=,S07, PRDE,actvstrat=,0.569837, actvprof=,8.758577, id=,S08, PRDE,actvstrat=,-0.163455, actvprof=,4.542904, id=,S09, PRDE,actvstrat=,-0.347080, actvprof=,3.592322, best_B_id=,B03, best_B_prof=,2.992861, best_B_strat=,-0.648516, best_S_id=,S02, best_S_prof=,9.974999, best_S_strat=,0.807479, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.404110, actvprof=,2.036278, id=,B01, PRDE,actvstrat=,-0.161186, actvprof=,2.071001, id=,B02, PRDE,actvstrat=,0.993004, actvprof=,1.040153, id=,B03, PRDE,actvstrat=,-0.648516, actvprof=,2.759899, id=,B04, PRDE,actvstrat=,-0.560117, actvprof=,2.078918, id=,B05, PRDE,actvstrat=,-0.389641, actvprof=,1.886971, id=,B06, PRDE,actvstrat=,0.836338, actvprof=,2.427256, id=,B07, PRDE,actvstrat=,0.090710, actvprof=,2.085446, id=,B08, PRDE,actvstrat=,0.900252, actvprof=,1.979889, id=,B09, PRDE,actvstrat=,0.317498, actvprof=,2.497118, id=,S00, PRDE,actvstrat=,0.196366, actvprof=,7.070237, id=,S01, PRDE,actvstrat=,0.376437, actvprof=,7.547883, id=,S02, PRDE,actvstrat=,0.807479, actvprof=,10.111807, id=,S03, PRDE,actvstrat=,0.629629, actvprof=,9.028598, id=,S04, PRDE,actvstrat=,-0.169759, actvprof=,4.117557, id=,S05, PRDE,actvstrat=,0.289993, actvprof=,7.299685, id=,S06, PRDE,actvstrat=,-0.887754, actvprof=,0.990153, id=,S07, PRDE,actvstrat=,0.569837, actvprof=,8.872901, id=,S08, PRDE,actvstrat=,-0.163455, actvprof=,4.295199, id=,S09, PRDE,actvstrat=,-0.347080, actvprof=,3.615328, best_B_id=,B03, best_B_prof=,2.759899, best_B_strat=,-0.648516, best_S_id=,S02, best_S_prof=,10.111807, best_S_strat=,0.807479, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.461924, actvprof=,3.013973, id=,B01, PRDE,actvstrat=,0.604920, actvprof=,3.279813, id=,B02, PRDE,actvstrat=,0.148236, actvprof=,2.887580, id=,B03, PRDE,actvstrat=,-0.704736, actvprof=,3.745660, id=,B04, PRDE,actvstrat=,-0.834645, actvprof=,4.119559, id=,B05, PRDE,actvstrat=,-0.838373, actvprof=,4.458179, id=,B06, PRDE,actvstrat=,-0.385536, actvprof=,2.813689, id=,B07, PRDE,actvstrat=,0.449500, actvprof=,3.233145, id=,B08, PRDE,actvstrat=,0.872683, actvprof=,2.595350, id=,B09, PRDE,actvstrat=,0.264966, actvprof=,3.314259, id=,S00, PRDE,actvstrat=,-0.260736, actvprof=,2.954527, id=,S01, PRDE,actvstrat=,0.268876, actvprof=,6.123503, id=,S02, PRDE,actvstrat=,0.026076, actvprof=,5.261535, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.961221, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,9.145810, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,9.248312, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,9.440262, id=,S07, PRDE,actvstrat=,-0.534141, actvprof=,2.427290, id=,S08, PRDE,actvstrat=,0.394955, actvprof=,6.624628, id=,S09, PRDE,actvstrat=,0.616298, actvprof=,7.554377, best_B_id=,B05, best_B_prof=,4.458179, best_B_strat=,-0.838373, best_S_id=,S06, best_S_prof=,9.440262, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.461924, actvprof=,3.091571, id=,B01, PRDE,actvstrat=,0.604920, actvprof=,3.268657, id=,B02, PRDE,actvstrat=,0.148236, actvprof=,3.003931, id=,B03, PRDE,actvstrat=,-0.704736, actvprof=,3.747135, id=,B04, PRDE,actvstrat=,-0.834645, actvprof=,4.237976, id=,B05, PRDE,actvstrat=,-0.838373, actvprof=,4.277837, id=,B06, PRDE,actvstrat=,-0.385536, actvprof=,2.727399, id=,B07, PRDE,actvstrat=,0.449500, actvprof=,3.205183, id=,B08, PRDE,actvstrat=,0.872683, actvprof=,2.576980, id=,B09, PRDE,actvstrat=,0.264966, actvprof=,3.311713, id=,S00, PRDE,actvstrat=,-0.260736, actvprof=,3.060876, id=,S01, PRDE,actvstrat=,0.268876, actvprof=,5.980778, id=,S02, PRDE,actvstrat=,0.026076, actvprof=,5.324518, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.940471, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,9.266240, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,9.209989, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,9.199433, id=,S07, PRDE,actvstrat=,-0.534141, actvprof=,2.219197, id=,S08, PRDE,actvstrat=,0.394955, actvprof=,6.714815, id=,S09, PRDE,actvstrat=,0.616298, actvprof=,7.825525, best_B_id=,B05, best_B_prof=,4.277837, best_B_strat=,-0.838373, best_S_id=,S04, best_S_prof=,9.266240, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.345001, actvprof=,2.747653, id=,B01, PRDE,actvstrat=,-0.599826, actvprof=,2.974054, id=,B02, PRDE,actvstrat=,-0.675567, actvprof=,3.402967, id=,B03, PRDE,actvstrat=,-0.753213, actvprof=,3.771598, id=,B04, PRDE,actvstrat=,0.373529, actvprof=,3.241291, id=,B05, PRDE,actvstrat=,-0.593539, actvprof=,2.992944, id=,B06, PRDE,actvstrat=,0.513824, actvprof=,3.346297, id=,B07, PRDE,actvstrat=,-0.471406, actvprof=,2.819046, id=,B08, PRDE,actvstrat=,0.508021, actvprof=,3.179621, id=,B09, PRDE,actvstrat=,0.405427, actvprof=,3.078504, id=,S00, PRDE,actvstrat=,0.492557, actvprof=,7.428468, id=,S01, PRDE,actvstrat=,0.804590, actvprof=,8.657981, id=,S02, PRDE,actvstrat=,0.102917, actvprof=,4.749708, id=,S03, PRDE,actvstrat=,0.576021, actvprof=,6.851214, id=,S04, PRDE,actvstrat=,0.403785, actvprof=,6.101728, id=,S05, PRDE,actvstrat=,0.161545, actvprof=,5.140286, id=,S06, PRDE,actvstrat=,-0.017759, actvprof=,4.894161, id=,S07, PRDE,actvstrat=,-0.853025, actvprof=,0.703372, id=,S08, PRDE,actvstrat=,-0.410949, actvprof=,2.598200, id=,S09, PRDE,actvstrat=,0.829600, actvprof=,8.570198, best_B_id=,B03, best_B_prof=,3.771598, best_B_strat=,-0.753213, best_S_id=,S01, best_S_prof=,8.657981, best_S_strat=,0.804590, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.345001, actvprof=,2.682417, id=,B01, PRDE,actvstrat=,-0.599826, actvprof=,3.042424, id=,B02, PRDE,actvstrat=,-0.675567, actvprof=,3.327847, id=,B03, PRDE,actvstrat=,-0.753213, actvprof=,3.776884, id=,B04, PRDE,actvstrat=,0.373529, actvprof=,3.194789, id=,B05, PRDE,actvstrat=,-0.593539, actvprof=,3.105759, id=,B06, PRDE,actvstrat=,0.513824, actvprof=,3.304374, id=,B07, PRDE,actvstrat=,-0.471406, actvprof=,2.776169, id=,B08, PRDE,actvstrat=,0.508021, actvprof=,3.213539, id=,B09, PRDE,actvstrat=,0.405427, actvprof=,3.116732, id=,S00, PRDE,actvstrat=,0.492557, actvprof=,7.158482, id=,S01, PRDE,actvstrat=,0.804590, actvprof=,8.710598, id=,S02, PRDE,actvstrat=,0.102917, actvprof=,4.799267, id=,S03, PRDE,actvstrat=,0.576021, actvprof=,7.116120, id=,S04, PRDE,actvstrat=,0.403785, actvprof=,6.310965, id=,S05, PRDE,actvstrat=,0.161545, actvprof=,5.164830, id=,S06, PRDE,actvstrat=,-0.017759, actvprof=,4.733710, id=,S07, PRDE,actvstrat=,-0.853025, actvprof=,0.730015, id=,S08, PRDE,actvstrat=,-0.410949, actvprof=,2.496302, id=,S09, PRDE,actvstrat=,0.829600, actvprof=,8.696153, best_B_id=,B03, best_B_prof=,3.776884, best_B_strat=,-0.753213, best_S_id=,S01, best_S_prof=,8.710598, best_S_strat=,0.804590, 
