t=,0, id=,B00, PRDE,actvstrat=,0.385049, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.597222, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.536660, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.754087, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.283781, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.324753, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.996107, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.928263, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.041072, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.075499, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.826212, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.682830, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.453660, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.920261, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.730469, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.057638, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.345514, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.935098, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.024859, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.487408, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.385049, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.826212, 
t=,3600, id=,B00, PRDE,actvstrat=,0.385049, actvprof=,2.293579, id=,B01, PRDE,actvstrat=,-0.597222, actvprof=,2.080804, id=,B02, PRDE,actvstrat=,-0.536660, actvprof=,1.938584, id=,B03, PRDE,actvstrat=,-0.754087, actvprof=,2.419966, id=,B04, PRDE,actvstrat=,0.283781, actvprof=,2.072193, id=,B05, PRDE,actvstrat=,-0.324753, actvprof=,1.766087, id=,B06, PRDE,actvstrat=,-0.996107, actvprof=,3.139679, id=,B07, PRDE,actvstrat=,0.928263, actvprof=,1.801086, id=,B08, PRDE,actvstrat=,-0.041072, actvprof=,1.809975, id=,B09, PRDE,actvstrat=,0.075499, actvprof=,1.857752, id=,S00, PRDE,actvstrat=,-0.826212, actvprof=,1.263594, id=,S01, PRDE,actvstrat=,-0.682830, actvprof=,2.770517, id=,S02, PRDE,actvstrat=,0.453660, actvprof=,8.148776, id=,S03, PRDE,actvstrat=,-0.920261, actvprof=,0.761378, id=,S04, PRDE,actvstrat=,0.730469, actvprof=,9.574867, id=,S05, PRDE,actvstrat=,-0.057638, actvprof=,5.570756, id=,S06, PRDE,actvstrat=,-0.345514, actvprof=,3.357731, id=,S07, PRDE,actvstrat=,0.935098, actvprof=,10.296524, id=,S08, PRDE,actvstrat=,0.024859, actvprof=,6.166303, id=,S09, PRDE,actvstrat=,0.487408, actvprof=,8.108776, best_B_id=,B06, best_B_prof=,3.139679, best_B_strat=,-0.996107, best_S_id=,S07, best_S_prof=,10.296524, best_S_strat=,0.935098, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.880012, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.783708, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.434166, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.716685, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.455438, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.049343, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.581014, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.830376, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.472971, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.496758, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.615497, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.358193, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.316488, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.404558, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.551520, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.796373, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.237005, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.924149, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.048999, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.270170, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.880012, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.615497, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.880012, actvprof=,2.325898, id=,B01, PRDE,actvstrat=,0.783708, actvprof=,1.846162, id=,B02, PRDE,actvstrat=,-0.434166, actvprof=,1.116698, id=,B03, PRDE,actvstrat=,-0.716685, actvprof=,1.474208, id=,B04, PRDE,actvstrat=,0.455438, actvprof=,1.611711, id=,B05, PRDE,actvstrat=,0.049343, actvprof=,1.115864, id=,B06, PRDE,actvstrat=,0.581014, actvprof=,1.891441, id=,B07, PRDE,actvstrat=,-0.830376, actvprof=,1.771716, id=,B08, PRDE,actvstrat=,0.472971, actvprof=,1.741437, id=,B09, PRDE,actvstrat=,0.496758, actvprof=,1.727548, id=,S00, PRDE,actvstrat=,0.615497, actvprof=,9.326092, id=,S01, PRDE,actvstrat=,-0.358193, actvprof=,3.420373, id=,S02, PRDE,actvstrat=,-0.316488, actvprof=,3.840384, id=,S03, PRDE,actvstrat=,0.404558, actvprof=,8.201617, id=,S04, PRDE,actvstrat=,-0.551520, actvprof=,3.227312, id=,S05, PRDE,actvstrat=,-0.796373, actvprof=,1.385594, id=,S06, PRDE,actvstrat=,-0.237005, actvprof=,4.006778, id=,S07, PRDE,actvstrat=,0.924149, actvprof=,10.954749, id=,S08, PRDE,actvstrat=,0.048999, actvprof=,6.083225, id=,S09, PRDE,actvstrat=,-0.270170, actvprof=,4.044279, best_B_id=,B00, best_B_prof=,2.325898, best_B_strat=,-0.880012, best_S_id=,S07, best_S_prof=,10.954749, best_S_strat=,0.924149, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.880012, actvprof=,2.360172, id=,B01, PRDE,actvstrat=,0.783708, actvprof=,1.826414, id=,B02, PRDE,actvstrat=,-0.434166, actvprof=,1.098765, id=,B03, PRDE,actvstrat=,-0.716685, actvprof=,1.484465, id=,B04, PRDE,actvstrat=,0.455438, actvprof=,1.678773, id=,B05, PRDE,actvstrat=,0.049343, actvprof=,1.204461, id=,B06, PRDE,actvstrat=,0.581014, actvprof=,1.762663, id=,B07, PRDE,actvstrat=,-0.830376, actvprof=,1.832248, id=,B08, PRDE,actvstrat=,0.472971, actvprof=,1.706413, id=,B09, PRDE,actvstrat=,0.496758, actvprof=,1.670023, id=,S00, PRDE,actvstrat=,0.615497, actvprof=,9.264018, id=,S01, PRDE,actvstrat=,-0.358193, actvprof=,3.453798, id=,S02, PRDE,actvstrat=,-0.316488, actvprof=,3.553799, id=,S03, PRDE,actvstrat=,0.404558, actvprof=,8.222336, id=,S04, PRDE,actvstrat=,-0.551520, actvprof=,3.127682, id=,S05, PRDE,actvstrat=,-0.796373, actvprof=,1.518632, id=,S06, PRDE,actvstrat=,-0.237005, actvprof=,4.118391, id=,S07, PRDE,actvstrat=,0.924149, actvprof=,10.986125, id=,S08, PRDE,actvstrat=,0.048999, actvprof=,6.273143, id=,S09, PRDE,actvstrat=,-0.270170, actvprof=,4.003111, best_B_id=,B00, best_B_prof=,2.360172, best_B_strat=,-0.880012, best_S_id=,S07, best_S_prof=,10.986125, best_S_strat=,0.924149, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.224159, actvprof=,1.332018, id=,B01, PRDE,actvstrat=,-0.698941, actvprof=,1.605645, id=,B02, PRDE,actvstrat=,-0.923415, actvprof=,2.906550, id=,B03, PRDE,actvstrat=,-0.207240, actvprof=,1.412578, id=,B04, PRDE,actvstrat=,-0.704135, actvprof=,1.660926, id=,B05, PRDE,actvstrat=,-0.620002, actvprof=,1.601200, id=,B06, PRDE,actvstrat=,-0.653929, actvprof=,1.573143, id=,B07, PRDE,actvstrat=,0.737319, actvprof=,2.039002, id=,B08, PRDE,actvstrat=,0.473297, actvprof=,2.113173, id=,B09, PRDE,actvstrat=,0.125169, actvprof=,1.785655, id=,S00, PRDE,actvstrat=,0.980365, actvprof=,10.029724, id=,S01, PRDE,actvstrat=,-0.078005, actvprof=,4.391911, id=,S02, PRDE,actvstrat=,0.287493, actvprof=,6.411190, id=,S03, PRDE,actvstrat=,-0.862922, actvprof=,0.398911, id=,S04, PRDE,actvstrat=,-0.708650, actvprof=,2.230402, id=,S05, PRDE,actvstrat=,0.114719, actvprof=,5.783655, id=,S06, PRDE,actvstrat=,-0.237005, actvprof=,3.288794, id=,S07, PRDE,actvstrat=,-0.588934, actvprof=,2.568754, id=,S08, PRDE,actvstrat=,0.519256, actvprof=,7.820157, id=,S09, PRDE,actvstrat=,-0.773989, actvprof=,1.583421, best_B_id=,B02, best_B_prof=,2.906550, best_B_strat=,-0.923415, best_S_id=,S00, best_S_prof=,10.029724, best_S_strat=,0.980365, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.224159, actvprof=,1.428224, id=,B01, PRDE,actvstrat=,-0.698941, actvprof=,1.599200, id=,B02, PRDE,actvstrat=,-0.923415, actvprof=,3.041036, id=,B03, PRDE,actvstrat=,-0.207240, actvprof=,1.398918, id=,B04, PRDE,actvstrat=,-0.704135, actvprof=,1.723230, id=,B05, PRDE,actvstrat=,-0.620002, actvprof=,1.658785, id=,B06, PRDE,actvstrat=,-0.653929, actvprof=,1.658923, id=,B07, PRDE,actvstrat=,0.737319, actvprof=,2.148656, id=,B08, PRDE,actvstrat=,0.473297, actvprof=,2.060182, id=,B09, PRDE,actvstrat=,0.125169, actvprof=,1.762537, id=,S00, PRDE,actvstrat=,0.980365, actvprof=,9.904095, id=,S01, PRDE,actvstrat=,-0.078005, actvprof=,4.368841, id=,S02, PRDE,actvstrat=,0.287493, actvprof=,6.688334, id=,S03, PRDE,actvstrat=,-0.862922, actvprof=,0.462232, id=,S04, PRDE,actvstrat=,-0.708650, actvprof=,2.195185, id=,S05, PRDE,actvstrat=,0.114719, actvprof=,5.716091, id=,S06, PRDE,actvstrat=,-0.237005, actvprof=,3.362153, id=,S07, PRDE,actvstrat=,-0.588934, actvprof=,2.770891, id=,S08, PRDE,actvstrat=,0.519256, actvprof=,7.850580, id=,S09, PRDE,actvstrat=,-0.773989, actvprof=,1.492114, best_B_id=,B02, best_B_prof=,3.041036, best_B_strat=,-0.923415, best_S_id=,S00, best_S_prof=,9.904095, best_S_strat=,0.980365, 
t=,25200, id=,B00, PRDE,actvstrat=,0.808334, actvprof=,2.056560, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,1.124260, id=,B02, PRDE,actvstrat=,0.816124, actvprof=,2.312415, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.118149, id=,B04, PRDE,actvstrat=,-0.502329, actvprof=,2.019057, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.633747, id=,B06, PRDE,actvstrat=,-0.211066, actvprof=,1.874878, id=,B07, PRDE,actvstrat=,0.605493, actvprof=,2.516043, id=,B08, PRDE,actvstrat=,0.162682, actvprof=,2.236020, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,1.795705, id=,S00, PRDE,actvstrat=,-0.250702, actvprof=,4.452038, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.846793, id=,S02, PRDE,actvstrat=,-0.440451, actvprof=,4.018946, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,11.823763, id=,S04, PRDE,actvstrat=,0.284100, actvprof=,8.388755, id=,S05, PRDE,actvstrat=,0.552529, actvprof=,10.082785, id=,S06, PRDE,actvstrat=,0.782485, actvprof=,11.563186, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,4.553713, id=,S08, PRDE,actvstrat=,0.472078, actvprof=,8.999083, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,11.258994, best_B_id=,B07, best_B_prof=,2.516043, best_B_strat=,0.605493, best_S_id=,S03, best_S_prof=,11.823763, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.808334, actvprof=,2.174952, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,1.015320, id=,B02, PRDE,actvstrat=,0.816124, actvprof=,2.296762, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.091295, id=,B04, PRDE,actvstrat=,-0.502329, actvprof=,2.090504, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.742573, id=,B06, PRDE,actvstrat=,-0.211066, actvprof=,1.809798, id=,B07, PRDE,actvstrat=,0.605493, actvprof=,2.373293, id=,B08, PRDE,actvstrat=,0.162682, actvprof=,2.154951, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,1.766046, id=,S00, PRDE,actvstrat=,-0.250702, actvprof=,4.526161, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.997569, id=,S02, PRDE,actvstrat=,-0.440451, actvprof=,3.976555, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,11.588538, id=,S04, PRDE,actvstrat=,0.284100, actvprof=,8.409517, id=,S05, PRDE,actvstrat=,0.552529, actvprof=,9.796519, id=,S06, PRDE,actvstrat=,0.782485, actvprof=,11.440754, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,4.687556, id=,S08, PRDE,actvstrat=,0.472078, actvprof=,9.151631, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,11.558259, best_B_id=,B07, best_B_prof=,2.373293, best_B_strat=,0.605493, best_S_id=,S03, best_S_prof=,11.588538, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.302826, actvprof=,0.969525, id=,B01, PRDE,actvstrat=,0.383238, actvprof=,1.389838, id=,B02, PRDE,actvstrat=,-0.434166, actvprof=,1.093980, id=,B03, PRDE,actvstrat=,0.276103, actvprof=,1.267328, id=,B04, PRDE,actvstrat=,-0.502329, actvprof=,1.007306, id=,B05, PRDE,actvstrat=,0.658676, actvprof=,1.664305, id=,B06, PRDE,actvstrat=,-0.940955, actvprof=,2.082118, id=,B07, PRDE,actvstrat=,0.459082, actvprof=,1.389282, id=,B08, PRDE,actvstrat=,0.797145, actvprof=,1.727644, id=,B09, PRDE,actvstrat=,0.978357, actvprof=,0.756174, id=,S00, PRDE,actvstrat=,-0.526466, actvprof=,3.986999, id=,S01, PRDE,actvstrat=,0.659461, actvprof=,10.232242, id=,S02, PRDE,actvstrat=,0.072490, actvprof=,6.738895, id=,S03, PRDE,actvstrat=,-0.043753, actvprof=,6.294413, id=,S04, PRDE,actvstrat=,0.730469, actvprof=,10.678112, id=,S05, PRDE,actvstrat=,-0.201888, actvprof=,4.590105, id=,S06, PRDE,actvstrat=,-0.062403, actvprof=,5.549907, id=,S07, PRDE,actvstrat=,-0.791215, actvprof=,1.743756, id=,S08, PRDE,actvstrat=,-0.143818, actvprof=,4.958191, id=,S09, PRDE,actvstrat=,-0.413225, actvprof=,3.841431, best_B_id=,B06, best_B_prof=,2.082118, best_B_strat=,-0.940955, best_S_id=,S04, best_S_prof=,10.678112, best_S_strat=,0.730469, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.302826, actvprof=,0.859903, id=,B01, PRDE,actvstrat=,0.383238, actvprof=,1.346315, id=,B02, PRDE,actvstrat=,-0.434166, actvprof=,1.050468, id=,B03, PRDE,actvstrat=,0.276103, actvprof=,1.280201, id=,B04, PRDE,actvstrat=,-0.502329, actvprof=,1.035606, id=,B05, PRDE,actvstrat=,0.658676, actvprof=,1.688832, id=,B06, PRDE,actvstrat=,-0.940955, actvprof=,2.050377, id=,B07, PRDE,actvstrat=,0.459082, actvprof=,1.469794, id=,B08, PRDE,actvstrat=,0.797145, actvprof=,1.676054, id=,B09, PRDE,actvstrat=,0.978357, actvprof=,0.746008, id=,S00, PRDE,actvstrat=,-0.526466, actvprof=,3.811852, id=,S01, PRDE,actvstrat=,0.659461, actvprof=,10.213830, id=,S02, PRDE,actvstrat=,0.072490, actvprof=,6.963672, id=,S03, PRDE,actvstrat=,-0.043753, actvprof=,6.054044, id=,S04, PRDE,actvstrat=,0.730469, actvprof=,10.932754, id=,S05, PRDE,actvstrat=,-0.201888, actvprof=,4.580223, id=,S06, PRDE,actvstrat=,-0.062403, actvprof=,5.775142, id=,S07, PRDE,actvstrat=,-0.791215, actvprof=,1.684526, id=,S08, PRDE,actvstrat=,-0.143818, actvprof=,4.829540, id=,S09, PRDE,actvstrat=,-0.413225, actvprof=,3.887689, best_B_id=,B06, best_B_prof=,2.050377, best_B_strat=,-0.940955, best_S_id=,S04, best_S_prof=,10.932754, best_S_strat=,0.730469, 
