t=,3600, id=,B00, PRDE,actvstrat=,0.296190, actvprof=,1.974444, id=,B01, PRDE,actvstrat=,0.531789, actvprof=,2.047222, id=,B02, PRDE,actvstrat=,0.570041, actvprof=,2.080556, id=,B03, PRDE,actvstrat=,-0.465942, actvprof=,1.341111, id=,B04, PRDE,actvstrat=,-0.784520, actvprof=,2.292778, id=,B05, PRDE,actvstrat=,-0.496687, actvprof=,1.582222, id=,B06, PRDE,actvstrat=,0.161749, actvprof=,1.672222, id=,B07, PRDE,actvstrat=,0.263622, actvprof=,1.805278, id=,B08, PRDE,actvstrat=,0.946043, actvprof=,1.412778, id=,B09, PRDE,actvstrat=,-0.405637, actvprof=,1.251667, id=,S00, PRDE,actvstrat=,-0.474668, actvprof=,4.520833, id=,S01, PRDE,actvstrat=,0.502722, actvprof=,8.765833, id=,S02, PRDE,actvstrat=,0.767988, actvprof=,10.253889, id=,S03, PRDE,actvstrat=,-0.455366, actvprof=,4.165833, id=,S04, PRDE,actvstrat=,-0.467606, actvprof=,4.180833, id=,S05, PRDE,actvstrat=,0.058632, actvprof=,7.190556, id=,S06, PRDE,actvstrat=,-0.585158, actvprof=,4.100000, id=,S07, PRDE,actvstrat=,-0.374121, actvprof=,4.368889, id=,S08, PRDE,actvstrat=,-0.485617, actvprof=,4.390833, id=,S09, PRDE,actvstrat=,-0.670078, actvprof=,3.691111, best_B_id=,B04, best_B_prof=,2.292778, best_B_strat=,-0.784520, best_S_id=,S02, best_S_prof=,10.253889, best_S_strat=,0.767988, 
t=,7200, id=,B00, PRDE,actvstrat=,0.575031, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.920621, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.714474, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.707501, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.077691, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.326851, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.220773, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.847266, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.048632, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.382598, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.641305, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.295715, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.834869, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.902285, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.857840, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.685477, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.983313, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.857211, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.422081, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.373504, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.575031, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.641305, 
t=,10800, id=,B00, PRDE,actvstrat=,0.575031, actvprof=,2.518854, id=,B01, PRDE,actvstrat=,-0.920621, actvprof=,3.347454, id=,B02, PRDE,actvstrat=,0.714474, actvprof=,2.719684, id=,B03, PRDE,actvstrat=,-0.707501, actvprof=,2.524409, id=,B04, PRDE,actvstrat=,0.077691, actvprof=,2.130804, id=,B05, PRDE,actvstrat=,0.326851, actvprof=,2.419689, id=,B06, PRDE,actvstrat=,0.220773, actvprof=,2.125804, id=,B07, PRDE,actvstrat=,-0.847266, actvprof=,3.122179, id=,B08, PRDE,actvstrat=,-0.048632, actvprof=,1.686921, id=,B09, PRDE,actvstrat=,0.382598, actvprof=,2.331912, id=,S00, PRDE,actvstrat=,0.641305, actvprof=,9.268482, id=,S01, PRDE,actvstrat=,0.295715, actvprof=,7.206011, id=,S02, PRDE,actvstrat=,0.834869, actvprof=,10.349023, id=,S03, PRDE,actvstrat=,-0.902285, actvprof=,0.558326, id=,S04, PRDE,actvstrat=,-0.857840, actvprof=,0.933598, id=,S05, PRDE,actvstrat=,-0.685477, actvprof=,2.578020, id=,S06, PRDE,actvstrat=,0.983313, actvprof=,10.019305, id=,S07, PRDE,actvstrat=,0.857211, actvprof=,10.187914, id=,S08, PRDE,actvstrat=,-0.422081, actvprof=,3.349953, id=,S09, PRDE,actvstrat=,0.373504, actvprof=,7.420452, best_B_id=,B01, best_B_prof=,3.347454, best_B_strat=,-0.920621, best_S_id=,S02, best_S_prof=,10.349023, best_S_strat=,0.834869, 
t=,14400, id=,B00, PRDE,actvstrat=,0.673292, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.110488, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.134504, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.243972, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.018834, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.350455, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.367053, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.338685, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.604408, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.942340, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.963475, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.778049, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.781125, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.531060, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.353193, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.807799, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.330332, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.213942, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.782376, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.373504, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.673292, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.963475, 
t=,18000, id=,B00, PRDE,actvstrat=,0.673292, actvprof=,3.518889, id=,B01, PRDE,actvstrat=,0.110488, actvprof=,2.773611, id=,B02, PRDE,actvstrat=,-0.134504, actvprof=,2.697778, id=,B03, PRDE,actvstrat=,-0.243972, actvprof=,2.748889, id=,B04, PRDE,actvstrat=,-0.018834, actvprof=,2.778056, id=,B05, PRDE,actvstrat=,-0.350455, actvprof=,2.815556, id=,B06, PRDE,actvstrat=,0.367053, actvprof=,3.311944, id=,B07, PRDE,actvstrat=,-0.338685, actvprof=,2.848889, id=,B08, PRDE,actvstrat=,0.604408, actvprof=,3.131389, id=,B09, PRDE,actvstrat=,-0.942340, actvprof=,4.087778, id=,S00, PRDE,actvstrat=,0.963475, actvprof=,9.001111, id=,S01, PRDE,actvstrat=,-0.778049, actvprof=,1.587500, id=,S02, PRDE,actvstrat=,-0.781125, actvprof=,1.528611, id=,S03, PRDE,actvstrat=,0.531060, actvprof=,7.593889, id=,S04, PRDE,actvstrat=,-0.353193, actvprof=,2.940278, id=,S05, PRDE,actvstrat=,0.807799, actvprof=,8.752222, id=,S06, PRDE,actvstrat=,0.330332, actvprof=,6.176111, id=,S07, PRDE,actvstrat=,0.213942, actvprof=,5.885556, id=,S08, PRDE,actvstrat=,0.782376, actvprof=,8.930556, id=,S09, PRDE,actvstrat=,0.373504, actvprof=,6.669167, best_B_id=,B09, best_B_prof=,4.087778, best_B_strat=,-0.942340, best_S_id=,S00, best_S_prof=,9.001111, best_S_strat=,0.963475, 
t=,21600, id=,B00, PRDE,actvstrat=,0.673292, actvprof=,3.394167, id=,B01, PRDE,actvstrat=,0.110488, actvprof=,2.958889, id=,B02, PRDE,actvstrat=,-0.134504, actvprof=,2.836250, id=,B03, PRDE,actvstrat=,-0.243972, actvprof=,2.716806, id=,B04, PRDE,actvstrat=,-0.018834, actvprof=,2.852917, id=,B05, PRDE,actvstrat=,-0.350455, actvprof=,2.886250, id=,B06, PRDE,actvstrat=,0.367053, actvprof=,3.286389, id=,B07, PRDE,actvstrat=,-0.338685, actvprof=,2.933056, id=,B08, PRDE,actvstrat=,0.604408, actvprof=,3.205833, id=,B09, PRDE,actvstrat=,-0.942340, actvprof=,3.981806, id=,S00, PRDE,actvstrat=,0.963475, actvprof=,9.106667, id=,S01, PRDE,actvstrat=,-0.778049, actvprof=,1.665556, id=,S02, PRDE,actvstrat=,-0.781125, actvprof=,1.508333, id=,S03, PRDE,actvstrat=,0.531060, actvprof=,7.345417, id=,S04, PRDE,actvstrat=,-0.353193, actvprof=,2.946806, id=,S05, PRDE,actvstrat=,0.807799, actvprof=,8.913194, id=,S06, PRDE,actvstrat=,0.330332, actvprof=,6.254444, id=,S07, PRDE,actvstrat=,0.213942, actvprof=,5.924722, id=,S08, PRDE,actvstrat=,0.782376, actvprof=,8.808889, id=,S09, PRDE,actvstrat=,0.373504, actvprof=,6.729167, best_B_id=,B09, best_B_prof=,3.981806, best_B_strat=,-0.942340, best_S_id=,S00, best_S_prof=,9.106667, best_S_strat=,0.963475, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.160493, actvprof=,2.920914, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,3.800661, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,1.492819, id=,B03, PRDE,actvstrat=,-0.329611, actvprof=,3.256757, id=,B04, PRDE,actvstrat=,-0.717094, actvprof=,3.983166, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,3.876497, id=,B06, PRDE,actvstrat=,0.226491, actvprof=,3.466763, id=,B07, PRDE,actvstrat=,-0.114354, actvprof=,2.802856, id=,B08, PRDE,actvstrat=,-0.212003, actvprof=,3.243146, id=,B09, PRDE,actvstrat=,0.582128, actvprof=,3.616767, id=,S00, PRDE,actvstrat=,0.491055, actvprof=,7.770494, id=,S01, PRDE,actvstrat=,0.978988, actvprof=,9.093308, id=,S02, PRDE,actvstrat=,0.376779, actvprof=,6.956582, id=,S03, PRDE,actvstrat=,-0.820958, actvprof=,0.958916, id=,S04, PRDE,actvstrat=,0.375339, actvprof=,6.533237, id=,S05, PRDE,actvstrat=,0.855694, actvprof=,9.127754, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,9.567210, id=,S07, PRDE,actvstrat=,0.678064, actvprof=,8.158560, id=,S08, PRDE,actvstrat=,-0.333272, actvprof=,3.085919, id=,S09, PRDE,actvstrat=,-0.407157, actvprof=,2.623684, best_B_id=,B04, best_B_prof=,3.983166, best_B_strat=,-0.717094, best_S_id=,S06, best_S_prof=,9.567210, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.160493, actvprof=,2.967680, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,3.740191, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,1.476409, id=,B03, PRDE,actvstrat=,-0.329611, actvprof=,3.172127, id=,B04, PRDE,actvstrat=,-0.717094, actvprof=,4.111307, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,3.871026, id=,B06, PRDE,actvstrat=,0.226491, actvprof=,3.435603, id=,B07, PRDE,actvstrat=,-0.114354, actvprof=,2.905735, id=,B08, PRDE,actvstrat=,-0.212003, actvprof=,3.139766, id=,B09, PRDE,actvstrat=,0.582128, actvprof=,3.440603, id=,S00, PRDE,actvstrat=,0.491055, actvprof=,7.631634, id=,S01, PRDE,actvstrat=,0.978988, actvprof=,8.911374, id=,S02, PRDE,actvstrat=,0.376779, actvprof=,6.913985, id=,S03, PRDE,actvstrat=,-0.820958, actvprof=,1.041264, id=,S04, PRDE,actvstrat=,0.375339, actvprof=,6.735232, id=,S05, PRDE,actvstrat=,0.855694, actvprof=,9.106932, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,9.417214, id=,S07, PRDE,actvstrat=,0.678064, actvprof=,8.634703, id=,S08, PRDE,actvstrat=,-0.333272, actvprof=,2.947958, id=,S09, PRDE,actvstrat=,-0.407157, actvprof=,2.589480, best_B_id=,B04, best_B_prof=,4.111307, best_B_strat=,-0.717094, best_S_id=,S06, best_S_prof=,9.417214, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.786759, actvprof=,1.683172, id=,B01, PRDE,actvstrat=,0.278077, actvprof=,1.348427, id=,B02, PRDE,actvstrat=,-0.988639, actvprof=,1.490381, id=,B03, PRDE,actvstrat=,-0.304669, actvprof=,1.022015, id=,B04, PRDE,actvstrat=,-0.717094, actvprof=,1.850684, id=,B05, PRDE,actvstrat=,0.992964, actvprof=,0.522258, id=,B06, PRDE,actvstrat=,-0.390635, actvprof=,1.098410, id=,B07, PRDE,actvstrat=,-0.417323, actvprof=,1.107577, id=,B08, PRDE,actvstrat=,0.980416, actvprof=,0.607264, id=,B09, PRDE,actvstrat=,0.382598, actvprof=,1.467046, id=,S00, PRDE,actvstrat=,-0.776865, actvprof=,2.142093, id=,S01, PRDE,actvstrat=,-0.724218, actvprof=,2.669352, id=,S02, PRDE,actvstrat=,-0.328852, actvprof=,4.043336, id=,S03, PRDE,actvstrat=,-0.454012, actvprof=,3.909994, id=,S04, PRDE,actvstrat=,0.375339, actvprof=,9.013404, id=,S05, PRDE,actvstrat=,0.058632, actvprof=,7.361622, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,11.955275, id=,S07, PRDE,actvstrat=,0.857211, actvprof=,11.739426, id=,S08, PRDE,actvstrat=,-0.372773, actvprof=,4.575318, id=,S09, PRDE,actvstrat=,-0.419901, actvprof=,4.242517, best_B_id=,B04, best_B_prof=,1.850684, best_B_strat=,-0.717094, best_S_id=,S06, best_S_prof=,11.955275, best_S_strat=,1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,0.786759, actvprof=,1.739366, id=,B01, PRDE,actvstrat=,0.278077, actvprof=,1.304768, id=,B02, PRDE,actvstrat=,-0.988639, actvprof=,1.518386, id=,B03, PRDE,actvstrat=,-0.304669, actvprof=,1.051981, id=,B04, PRDE,actvstrat=,-0.717094, actvprof=,1.695476, id=,B05, PRDE,actvstrat=,0.992964, actvprof=,0.526129, id=,B06, PRDE,actvstrat=,-0.390635, actvprof=,1.115733, id=,B07, PRDE,actvstrat=,-0.417323, actvprof=,1.026286, id=,B08, PRDE,actvstrat=,0.980416, actvprof=,0.617521, id=,B09, PRDE,actvstrat=,0.382598, actvprof=,1.476162, id=,S00, PRDE,actvstrat=,-0.776865, actvprof=,1.926872, id=,S01, PRDE,actvstrat=,-0.724218, actvprof=,2.716900, id=,S02, PRDE,actvstrat=,-0.328852, actvprof=,4.070419, id=,S03, PRDE,actvstrat=,-0.454012, actvprof=,3.865968, id=,S04, PRDE,actvstrat=,0.375339, actvprof=,9.049759, id=,S05, PRDE,actvstrat=,0.058632, actvprof=,7.473454, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,11.951943, id=,S07, PRDE,actvstrat=,0.857211, actvprof=,11.869995, id=,S08, PRDE,actvstrat=,-0.372773, actvprof=,4.564186, id=,S09, PRDE,actvstrat=,-0.419901, actvprof=,4.152366, best_B_id=,B00, best_B_prof=,1.739366, best_B_strat=,0.786759, best_S_id=,S06, best_S_prof=,11.951943, best_S_strat=,1.000000, 
t=,39600, id=,B00, PRDE,actvstrat=,-0.079644, actvprof=,1.099829, id=,B01, PRDE,actvstrat=,0.938437, actvprof=,1.112053, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.665065, id=,B03, PRDE,actvstrat=,-0.962342, actvprof=,1.637104, id=,B04, PRDE,actvstrat=,0.285464, actvprof=,1.358465, id=,B05, PRDE,actvstrat=,0.306035, actvprof=,1.136777, id=,B06, PRDE,actvstrat=,0.837899, actvprof=,1.474588, id=,B07, PRDE,actvstrat=,-0.187846, actvprof=,1.004264, id=,B08, PRDE,actvstrat=,0.798298, actvprof=,1.497368, id=,B09, PRDE,actvstrat=,0.825117, actvprof=,1.511536, id=,S00, PRDE,actvstrat=,-0.929070, actvprof=,0.535052, id=,S01, PRDE,actvstrat=,0.174870, actvprof=,8.262748, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,12.522884, id=,S03, PRDE,actvstrat=,0.422378, actvprof=,9.148945, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,5.021599, id=,S05, PRDE,actvstrat=,-0.087790, actvprof=,5.973914, id=,S06, PRDE,actvstrat=,0.663897, actvprof=,10.874668, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,5.488589, id=,S08, PRDE,actvstrat=,0.540327, actvprof=,9.870960, id=,S09, PRDE,actvstrat=,-0.244618, actvprof=,5.300793, best_B_id=,B03, best_B_prof=,1.637104, best_B_strat=,-0.962342, best_S_id=,S02, best_S_prof=,12.522884, best_S_strat=,1.000000, 
