t=,1, id=,B00, PRDE,actvstrat=,0.278445, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.945530, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.880353, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.504315, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.461862, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.946665, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.277442, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.518867, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.651781, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.515271, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.017760, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.673178, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.489372, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.137005, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.753683, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.792378, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.650678, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.707417, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.464612, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.589277, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.278445, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.017760, 
t=,3600, id=,B00, PRDE,actvstrat=,0.278445, actvprof=,1.437222, id=,B01, PRDE,actvstrat=,0.945530, actvprof=,1.072222, id=,B02, PRDE,actvstrat=,-0.880353, actvprof=,2.290278, id=,B03, PRDE,actvstrat=,0.504315, actvprof=,1.603056, id=,B04, PRDE,actvstrat=,-0.461862, actvprof=,1.332778, id=,B05, PRDE,actvstrat=,0.946665, actvprof=,1.165833, id=,B06, PRDE,actvstrat=,-0.277442, actvprof=,1.267500, id=,B07, PRDE,actvstrat=,0.518867, actvprof=,1.691667, id=,B08, PRDE,actvstrat=,0.651781, actvprof=,1.848889, id=,B09, PRDE,actvstrat=,0.515271, actvprof=,1.782222, id=,S00, PRDE,actvstrat=,-0.017760, actvprof=,7.493889, id=,S01, PRDE,actvstrat=,0.673178, actvprof=,10.553611, id=,S02, PRDE,actvstrat=,-0.489372, actvprof=,3.951111, id=,S03, PRDE,actvstrat=,-0.137005, actvprof=,5.691389, id=,S04, PRDE,actvstrat=,-0.753683, actvprof=,3.156944, id=,S05, PRDE,actvstrat=,-0.792378, actvprof=,2.248333, id=,S06, PRDE,actvstrat=,0.650678, actvprof=,10.552500, id=,S07, PRDE,actvstrat=,-0.707417, actvprof=,3.378333, id=,S08, PRDE,actvstrat=,0.464612, actvprof=,9.496667, id=,S09, PRDE,actvstrat=,0.589277, actvprof=,10.296667, best_B_id=,B02, best_B_prof=,2.290278, best_B_strat=,-0.880353, best_S_id=,S01, best_S_prof=,10.553611, best_S_strat=,0.673178, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.545192, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.339318, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.601029, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.178570, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.479369, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.833617, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.905683, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.037967, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.139865, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.501020, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.039919, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.165216, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.102619, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.234059, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.857518, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.063688, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.209387, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.964995, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.253542, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.020944, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.545192, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.039919, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.545192, actvprof=,2.761466, id=,B01, PRDE,actvstrat=,0.339318, actvprof=,2.945082, id=,B02, PRDE,actvstrat=,0.601029, actvprof=,2.868691, id=,B03, PRDE,actvstrat=,0.178570, actvprof=,2.360621, id=,B04, PRDE,actvstrat=,-0.479369, actvprof=,2.732576, id=,B05, PRDE,actvstrat=,0.833617, actvprof=,2.478680, id=,B06, PRDE,actvstrat=,0.905683, actvprof=,2.001167, id=,B07, PRDE,actvstrat=,0.037967, actvprof=,2.432290, id=,B08, PRDE,actvstrat=,0.139865, actvprof=,2.642851, id=,B09, PRDE,actvstrat=,-0.501020, actvprof=,2.549237, id=,S00, PRDE,actvstrat=,0.039919, actvprof=,6.300731, id=,S01, PRDE,actvstrat=,-0.165216, actvprof=,4.204006, id=,S02, PRDE,actvstrat=,-0.102619, actvprof=,4.868469, id=,S03, PRDE,actvstrat=,0.234059, actvprof=,6.873524, id=,S04, PRDE,actvstrat=,0.857518, actvprof=,10.016389, id=,S05, PRDE,actvstrat=,-0.063688, actvprof=,5.330981, id=,S06, PRDE,actvstrat=,-0.209387, actvprof=,3.947332, id=,S07, PRDE,actvstrat=,0.964995, actvprof=,9.994722, id=,S08, PRDE,actvstrat=,0.253542, actvprof=,7.256035, id=,S09, PRDE,actvstrat=,-0.020944, actvprof=,5.482097, best_B_id=,B01, best_B_prof=,2.945082, best_B_strat=,0.339318, best_S_id=,S04, best_S_prof=,10.016389, best_S_strat=,0.857518, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.545192, actvprof=,2.709343, id=,B01, PRDE,actvstrat=,0.339318, actvprof=,2.794761, id=,B02, PRDE,actvstrat=,0.601029, actvprof=,2.966291, id=,B03, PRDE,actvstrat=,0.178570, actvprof=,2.316004, id=,B04, PRDE,actvstrat=,-0.479369, actvprof=,2.642120, id=,B05, PRDE,actvstrat=,0.833617, actvprof=,2.471701, id=,B06, PRDE,actvstrat=,0.905683, actvprof=,1.931971, id=,B07, PRDE,actvstrat=,0.037967, actvprof=,2.266976, id=,B08, PRDE,actvstrat=,0.139865, actvprof=,2.481423, id=,B09, PRDE,actvstrat=,-0.501020, actvprof=,2.456840, id=,S00, PRDE,actvstrat=,0.039919, actvprof=,6.371755, id=,S01, PRDE,actvstrat=,-0.165216, actvprof=,4.262698, id=,S02, PRDE,actvstrat=,-0.102619, actvprof=,4.899512, id=,S03, PRDE,actvstrat=,0.234059, actvprof=,6.844262, id=,S04, PRDE,actvstrat=,0.857518, actvprof=,10.023473, id=,S05, PRDE,actvstrat=,-0.063688, actvprof=,5.340908, id=,S06, PRDE,actvstrat=,-0.209387, actvprof=,3.994361, id=,S07, PRDE,actvstrat=,0.964995, actvprof=,10.231531, id=,S08, PRDE,actvstrat=,0.253542, actvprof=,6.999681, id=,S09, PRDE,actvstrat=,-0.020944, actvprof=,5.528966, best_B_id=,B02, best_B_prof=,2.966291, best_B_strat=,0.601029, best_S_id=,S07, best_S_prof=,10.231531, best_S_strat=,0.964995, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.989389, actvprof=,2.522257, id=,B01, PRDE,actvstrat=,-0.995388, actvprof=,3.011708, id=,B02, PRDE,actvstrat=,-0.102156, actvprof=,1.716413, id=,B03, PRDE,actvstrat=,0.649420, actvprof=,2.385033, id=,B04, PRDE,actvstrat=,-0.207730, actvprof=,1.575300, id=,B05, PRDE,actvstrat=,0.129552, actvprof=,1.815025, id=,B06, PRDE,actvstrat=,-0.285394, actvprof=,1.576133, id=,B07, PRDE,actvstrat=,-0.485919, actvprof=,1.797525, id=,B08, PRDE,actvstrat=,0.371359, actvprof=,2.269198, id=,B09, PRDE,actvstrat=,0.471817, actvprof=,2.332532, id=,S00, PRDE,actvstrat=,-0.097582, actvprof=,4.930624, id=,S01, PRDE,actvstrat=,0.673178, actvprof=,9.285685, id=,S02, PRDE,actvstrat=,-0.892622, actvprof=,0.498340, id=,S03, PRDE,actvstrat=,0.839777, actvprof=,10.103474, id=,S04, PRDE,actvstrat=,0.547252, actvprof=,8.288171, id=,S05, PRDE,actvstrat=,-0.063688, actvprof=,5.242295, id=,S06, PRDE,actvstrat=,0.127126, actvprof=,6.480923, id=,S07, PRDE,actvstrat=,-0.567758, actvprof=,3.110599, id=,S08, PRDE,actvstrat=,-0.281457, actvprof=,3.398381, id=,S09, PRDE,actvstrat=,-0.020944, actvprof=,5.883693, best_B_id=,B01, best_B_prof=,3.011708, best_B_strat=,-0.995388, best_S_id=,S03, best_S_prof=,10.103474, best_S_strat=,0.839777, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.989389, actvprof=,2.563526, id=,B01, PRDE,actvstrat=,-0.995388, actvprof=,2.941311, id=,B02, PRDE,actvstrat=,-0.102156, actvprof=,1.713230, id=,B03, PRDE,actvstrat=,0.649420, actvprof=,2.465190, id=,B04, PRDE,actvstrat=,-0.207730, actvprof=,1.642534, id=,B05, PRDE,actvstrat=,0.129552, actvprof=,1.770592, id=,B06, PRDE,actvstrat=,-0.285394, actvprof=,1.598783, id=,B07, PRDE,actvstrat=,-0.485919, actvprof=,1.827538, id=,B08, PRDE,actvstrat=,0.371359, actvprof=,2.254353, id=,B09, PRDE,actvstrat=,0.471817, actvprof=,2.255047, id=,S00, PRDE,actvstrat=,-0.097582, actvprof=,4.973576, id=,S01, PRDE,actvstrat=,0.673178, actvprof=,9.204775, id=,S02, PRDE,actvstrat=,-0.892622, actvprof=,0.523900, id=,S03, PRDE,actvstrat=,0.839777, actvprof=,10.268269, id=,S04, PRDE,actvstrat=,0.547252, actvprof=,8.505177, id=,S05, PRDE,actvstrat=,-0.063688, actvprof=,5.368584, id=,S06, PRDE,actvstrat=,0.127126, actvprof=,6.293326, id=,S07, PRDE,actvstrat=,-0.567758, actvprof=,3.129510, id=,S08, PRDE,actvstrat=,-0.281457, actvprof=,3.487017, id=,S09, PRDE,actvstrat=,-0.020944, actvprof=,5.737620, best_B_id=,B01, best_B_prof=,2.941311, best_B_strat=,-0.995388, best_S_id=,S03, best_S_prof=,10.268269, best_S_strat=,0.839777, 
t=,25200, id=,B00, PRDE,actvstrat=,0.209369, actvprof=,2.617887, id=,B01, PRDE,actvstrat=,-0.990972, actvprof=,2.787616, id=,B02, PRDE,actvstrat=,0.561087, actvprof=,3.106796, id=,B03, PRDE,actvstrat=,0.287090, actvprof=,2.916233, id=,B04, PRDE,actvstrat=,-0.531840, actvprof=,2.603997, id=,B05, PRDE,actvstrat=,0.974503, actvprof=,1.282831, id=,B06, PRDE,actvstrat=,0.709918, actvprof=,2.796228, id=,B07, PRDE,actvstrat=,-0.693508, actvprof=,3.025959, id=,B08, PRDE,actvstrat=,0.139865, actvprof=,2.778171, id=,B09, PRDE,actvstrat=,-0.468883, actvprof=,2.447880, id=,S00, PRDE,actvstrat=,0.554667, actvprof=,8.298957, id=,S01, PRDE,actvstrat=,0.766587, actvprof=,9.674570, id=,S02, PRDE,actvstrat=,0.637291, actvprof=,8.821201, id=,S03, PRDE,actvstrat=,-0.061658, actvprof=,5.171604, id=,S04, PRDE,actvstrat=,-0.729883, actvprof=,1.919802, id=,S05, PRDE,actvstrat=,0.944171, actvprof=,9.760962, id=,S06, PRDE,actvstrat=,-0.644226, actvprof=,2.441768, id=,S07, PRDE,actvstrat=,0.155939, actvprof=,6.489159, id=,S08, PRDE,actvstrat=,0.528800, actvprof=,8.650083, id=,S09, PRDE,actvstrat=,0.128974, actvprof=,6.967790, best_B_id=,B02, best_B_prof=,3.106796, best_B_strat=,0.561087, best_S_id=,S05, best_S_prof=,9.760962, best_S_strat=,0.944171, 
t=,28800, id=,B00, PRDE,actvstrat=,0.209369, actvprof=,2.636583, id=,B01, PRDE,actvstrat=,-0.990972, actvprof=,2.863949, id=,B02, PRDE,actvstrat=,0.561087, actvprof=,2.930617, id=,B03, PRDE,actvstrat=,0.287090, actvprof=,2.794364, id=,B04, PRDE,actvstrat=,-0.531840, actvprof=,2.563387, id=,B05, PRDE,actvstrat=,0.974503, actvprof=,1.251693, id=,B06, PRDE,actvstrat=,0.709918, actvprof=,2.843254, id=,B07, PRDE,actvstrat=,-0.693508, actvprof=,3.103954, id=,B08, PRDE,actvstrat=,0.139865, actvprof=,2.591721, id=,B09, PRDE,actvstrat=,-0.468883, actvprof=,2.473246, id=,S00, PRDE,actvstrat=,0.554667, actvprof=,8.611846, id=,S01, PRDE,actvstrat=,0.766587, actvprof=,9.903817, id=,S02, PRDE,actvstrat=,0.637291, actvprof=,8.752682, id=,S03, PRDE,actvstrat=,-0.061658, actvprof=,5.230109, id=,S04, PRDE,actvstrat=,-0.729883, actvprof=,2.082960, id=,S05, PRDE,actvstrat=,0.944171, actvprof=,9.872011, id=,S06, PRDE,actvstrat=,-0.644226, actvprof=,2.573248, id=,S07, PRDE,actvstrat=,0.155939, actvprof=,6.414578, id=,S08, PRDE,actvstrat=,0.528800, actvprof=,8.351702, id=,S09, PRDE,actvstrat=,0.128974, actvprof=,6.689584, best_B_id=,B07, best_B_prof=,3.103954, best_B_strat=,-0.693508, best_S_id=,S01, best_S_prof=,9.903817, best_S_strat=,0.766587, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.545192, actvprof=,0.785610, id=,B01, PRDE,actvstrat=,-0.990972, actvprof=,0.935065, id=,B02, PRDE,actvstrat=,0.561087, actvprof=,1.149802, id=,B03, PRDE,actvstrat=,0.930967, actvprof=,0.831169, id=,B04, PRDE,actvstrat=,-0.479369, actvprof=,0.729495, id=,B05, PRDE,actvstrat=,0.960432, actvprof=,0.633377, id=,B06, PRDE,actvstrat=,0.120270, actvprof=,0.658379, id=,B07, PRDE,actvstrat=,-0.314082, actvprof=,0.674491, id=,B08, PRDE,actvstrat=,0.933369, actvprof=,0.898674, id=,B09, PRDE,actvstrat=,0.887664, actvprof=,1.071185, id=,S00, PRDE,actvstrat=,0.554667, actvprof=,10.996875, id=,S01, PRDE,actvstrat=,0.766587, actvprof=,12.366414, id=,S02, PRDE,actvstrat=,0.637291, actvprof=,11.710813, id=,S03, PRDE,actvstrat=,-0.916466, actvprof=,0.322800, id=,S04, PRDE,actvstrat=,-0.729883, actvprof=,3.268838, id=,S05, PRDE,actvstrat=,-0.096459, actvprof=,6.585457, id=,S06, PRDE,actvstrat=,-0.579590, actvprof=,4.181957, id=,S07, PRDE,actvstrat=,-0.921167, actvprof=,0.337523, id=,S08, PRDE,actvstrat=,0.226285, actvprof=,9.187027, id=,S09, PRDE,actvstrat=,0.134762, actvprof=,8.546982, best_B_id=,B02, best_B_prof=,1.149802, best_B_strat=,0.561087, best_S_id=,S01, best_S_prof=,12.366414, best_S_strat=,0.766587, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.545192, actvprof=,0.793500, id=,B01, PRDE,actvstrat=,-0.990972, actvprof=,0.904476, id=,B02, PRDE,actvstrat=,0.561087, actvprof=,1.018508, id=,B03, PRDE,actvstrat=,0.930967, actvprof=,0.851002, id=,B04, PRDE,actvstrat=,-0.479369, actvprof=,0.741554, id=,B05, PRDE,actvstrat=,0.960432, actvprof=,0.619466, id=,B06, PRDE,actvstrat=,0.120270, actvprof=,0.693219, id=,B07, PRDE,actvstrat=,-0.314082, actvprof=,0.697385, id=,B08, PRDE,actvstrat=,0.933369, actvprof=,0.864752, id=,B09, PRDE,actvstrat=,0.887664, actvprof=,1.026702, id=,S00, PRDE,actvstrat=,0.554667, actvprof=,11.055939, id=,S01, PRDE,actvstrat=,0.766587, actvprof=,12.365152, id=,S02, PRDE,actvstrat=,0.637291, actvprof=,11.664711, id=,S03, PRDE,actvstrat=,-0.916466, actvprof=,0.329039, id=,S04, PRDE,actvstrat=,-0.729883, actvprof=,3.302476, id=,S05, PRDE,actvstrat=,-0.096459, actvprof=,6.505226, id=,S06, PRDE,actvstrat=,-0.579590, actvprof=,4.049029, id=,S07, PRDE,actvstrat=,-0.921167, actvprof=,0.402653, id=,S08, PRDE,actvstrat=,0.226285, actvprof=,8.958367, id=,S09, PRDE,actvstrat=,0.134762, actvprof=,8.315011, best_B_id=,B09, best_B_prof=,1.026702, best_B_strat=,0.887664, best_S_id=,S01, best_S_prof=,12.365152, best_S_strat=,0.766587, 
