t=,0, id=,B00, PRDE,actvstrat=,-0.745421, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.851235, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.782001, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.004883, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.001862, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.046998, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.172931, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.304089, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.903878, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.600238, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.311338, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.422328, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.789987, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.918959, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.579747, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.942379, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.345556, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.432885, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.449540, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.280418, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.745421, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.311338, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.745421, actvprof=,2.881349, id=,B01, PRDE,actvstrat=,-0.851235, actvprof=,3.576617, id=,B02, PRDE,actvstrat=,0.782001, actvprof=,2.907182, id=,B03, PRDE,actvstrat=,-0.004883, actvprof=,2.646630, id=,B04, PRDE,actvstrat=,-0.001862, actvprof=,2.329134, id=,B05, PRDE,actvstrat=,-0.046998, actvprof=,2.381078, id=,B06, PRDE,actvstrat=,0.172931, actvprof=,2.658296, id=,B07, PRDE,actvstrat=,-0.304089, actvprof=,2.295524, id=,B08, PRDE,actvstrat=,-0.903878, actvprof=,3.863002, id=,B09, PRDE,actvstrat=,-0.600238, actvprof=,2.645797, id=,S00, PRDE,actvstrat=,-0.311338, actvprof=,2.829683, id=,S01, PRDE,actvstrat=,-0.422328, actvprof=,2.612741, id=,S02, PRDE,actvstrat=,0.789987, actvprof=,8.805711, id=,S03, PRDE,actvstrat=,-0.918959, actvprof=,0.934987, id=,S04, PRDE,actvstrat=,0.579747, actvprof=,7.449063, id=,S05, PRDE,actvstrat=,0.942379, actvprof=,9.456258, id=,S06, PRDE,actvstrat=,0.345556, actvprof=,6.492965, id=,S07, PRDE,actvstrat=,0.432885, actvprof=,6.825183, id=,S08, PRDE,actvstrat=,-0.449540, actvprof=,2.350801, id=,S09, PRDE,actvstrat=,0.280418, actvprof=,6.256858, best_B_id=,B08, best_B_prof=,3.863002, best_B_strat=,-0.903878, best_S_id=,S05, best_S_prof=,9.456258, best_S_strat=,0.942379, 
t=,7200, id=,B00, PRDE,actvstrat=,0.491987, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.305357, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.009263, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.225448, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.315864, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.120030, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.800249, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.612386, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.094828, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.854073, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.619118, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.718254, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.363722, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.753960, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.050285, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.849255, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.770031, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.017101, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.602938, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.086552, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.491987, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.619118, 
t=,10800, id=,B00, PRDE,actvstrat=,0.491987, actvprof=,1.477222, id=,B01, PRDE,actvstrat=,0.305357, actvprof=,1.214167, id=,B02, PRDE,actvstrat=,-0.009263, actvprof=,1.032222, id=,B03, PRDE,actvstrat=,0.225448, actvprof=,1.143889, id=,B04, PRDE,actvstrat=,0.315864, actvprof=,1.150000, id=,B05, PRDE,actvstrat=,0.120030, actvprof=,1.057222, id=,B06, PRDE,actvstrat=,-0.800249, actvprof=,1.577778, id=,B07, PRDE,actvstrat=,0.612386, actvprof=,1.630278, id=,B08, PRDE,actvstrat=,-0.094828, actvprof=,0.714722, id=,B09, PRDE,actvstrat=,0.854073, actvprof=,1.607778, id=,S00, PRDE,actvstrat=,-0.619118, actvprof=,2.791111, id=,S01, PRDE,actvstrat=,0.718254, actvprof=,10.586944, id=,S02, PRDE,actvstrat=,0.363722, actvprof=,7.879722, id=,S03, PRDE,actvstrat=,-0.753960, actvprof=,2.096389, id=,S04, PRDE,actvstrat=,0.050285, actvprof=,7.074444, id=,S05, PRDE,actvstrat=,-0.849255, actvprof=,0.966667, id=,S06, PRDE,actvstrat=,-0.770031, actvprof=,1.973333, id=,S07, PRDE,actvstrat=,0.017101, actvprof=,6.842500, id=,S08, PRDE,actvstrat=,-0.602938, actvprof=,3.075556, id=,S09, PRDE,actvstrat=,0.086552, actvprof=,6.796944, best_B_id=,B07, best_B_prof=,1.630278, best_B_strat=,0.612386, best_S_id=,S01, best_S_prof=,10.586944, best_S_strat=,0.718254, 
t=,14400, id=,B00, PRDE,actvstrat=,0.491987, actvprof=,1.459048, id=,B01, PRDE,actvstrat=,0.305357, actvprof=,1.228628, id=,B02, PRDE,actvstrat=,-0.009263, actvprof=,0.989458, id=,B03, PRDE,actvstrat=,0.225448, actvprof=,1.159322, id=,B04, PRDE,actvstrat=,0.315864, actvprof=,1.159877, id=,B05, PRDE,actvstrat=,0.120030, actvprof=,1.038626, id=,B06, PRDE,actvstrat=,-0.800249, actvprof=,1.560438, id=,B07, PRDE,actvstrat=,0.612386, actvprof=,1.553216, id=,B08, PRDE,actvstrat=,-0.094828, actvprof=,0.814734, id=,B09, PRDE,actvstrat=,0.854073, actvprof=,1.549744, id=,S00, PRDE,actvstrat=,-0.619118, actvprof=,2.871707, id=,S01, PRDE,actvstrat=,0.718254, actvprof=,10.570425, id=,S02, PRDE,actvstrat=,0.363722, actvprof=,8.069140, id=,S03, PRDE,actvstrat=,-0.753960, actvprof=,2.238087, id=,S04, PRDE,actvstrat=,0.050285, actvprof=,7.014125, id=,S05, PRDE,actvstrat=,-0.849255, actvprof=,1.066126, id=,S06, PRDE,actvstrat=,-0.770031, actvprof=,1.925305, id=,S07, PRDE,actvstrat=,0.017101, actvprof=,6.730788, id=,S08, PRDE,actvstrat=,-0.602938, actvprof=,3.161988, id=,S09, PRDE,actvstrat=,0.086552, actvprof=,6.940096, best_B_id=,B06, best_B_prof=,1.560438, best_B_strat=,-0.800249, best_S_id=,S01, best_S_prof=,10.570425, best_S_strat=,0.718254, 
t=,18000, id=,B00, PRDE,actvstrat=,0.985235, actvprof=,0.917816, id=,B01, PRDE,actvstrat=,0.691054, actvprof=,3.030126, id=,B02, PRDE,actvstrat=,0.689696, actvprof=,2.621498, id=,B03, PRDE,actvstrat=,0.077147, actvprof=,2.367043, id=,B04, PRDE,actvstrat=,0.028791, actvprof=,2.222315, id=,B05, PRDE,actvstrat=,-0.622431, actvprof=,3.128741, id=,B06, PRDE,actvstrat=,0.359399, actvprof=,2.809006, id=,B07, PRDE,actvstrat=,-0.692430, actvprof=,3.430976, id=,B08, PRDE,actvstrat=,-0.013736, actvprof=,2.125644, id=,B09, PRDE,actvstrat=,0.420827, actvprof=,2.624554, id=,S00, PRDE,actvstrat=,-0.080222, actvprof=,4.887704, id=,S01, PRDE,actvstrat=,0.346458, actvprof=,7.422531, id=,S02, PRDE,actvstrat=,0.363722, actvprof=,7.402808, id=,S03, PRDE,actvstrat=,0.820690, actvprof=,10.343209, id=,S04, PRDE,actvstrat=,0.570034, actvprof=,8.676195, id=,S05, PRDE,actvstrat=,0.942379, actvprof=,10.544050, id=,S06, PRDE,actvstrat=,0.345556, actvprof=,7.687265, id=,S07, PRDE,actvstrat=,0.351438, actvprof=,7.800603, id=,S08, PRDE,actvstrat=,-0.884925, actvprof=,0.935595, id=,S09, PRDE,actvstrat=,-0.649960, actvprof=,2.937345, best_B_id=,B07, best_B_prof=,3.430976, best_B_strat=,-0.692430, best_S_id=,S05, best_S_prof=,10.544050, best_S_strat=,0.942379, 
t=,21600, id=,B00, PRDE,actvstrat=,0.985235, actvprof=,0.897935, id=,B01, PRDE,actvstrat=,0.691054, actvprof=,2.955895, id=,B02, PRDE,actvstrat=,0.689696, actvprof=,2.686306, id=,B03, PRDE,actvstrat=,0.077147, actvprof=,2.179629, id=,B04, PRDE,actvstrat=,0.028791, actvprof=,2.201990, id=,B05, PRDE,actvstrat=,-0.622431, actvprof=,3.086175, id=,B06, PRDE,actvstrat=,0.359399, actvprof=,2.704362, id=,B07, PRDE,actvstrat=,-0.692430, actvprof=,3.354237, id=,B08, PRDE,actvstrat=,-0.013736, actvprof=,2.155739, id=,B09, PRDE,actvstrat=,0.420827, actvprof=,2.702695, id=,S00, PRDE,actvstrat=,-0.080222, actvprof=,4.924269, id=,S01, PRDE,actvstrat=,0.346458, actvprof=,7.343486, id=,S02, PRDE,actvstrat=,0.363722, actvprof=,7.433488, id=,S03, PRDE,actvstrat=,0.820690, actvprof=,10.424106, id=,S04, PRDE,actvstrat=,0.570034, actvprof=,8.838656, id=,S05, PRDE,actvstrat=,0.942379, actvprof=,10.423550, id=,S06, PRDE,actvstrat=,0.345556, actvprof=,7.548629, id=,S07, PRDE,actvstrat=,0.351438, actvprof=,7.704883, id=,S08, PRDE,actvstrat=,-0.884925, actvprof=,0.886546, id=,S09, PRDE,actvstrat=,-0.649960, actvprof=,2.838254, best_B_id=,B07, best_B_prof=,3.354237, best_B_strat=,-0.692430, best_S_id=,S03, best_S_prof=,10.424106, best_S_strat=,0.820690, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.118414, actvprof=,1.634257, id=,B01, PRDE,actvstrat=,-0.496404, actvprof=,1.608700, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,1.923718, id=,B03, PRDE,actvstrat=,0.854080, actvprof=,2.016501, id=,B04, PRDE,actvstrat=,0.996661, actvprof=,0.833380, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.892550, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.960387, id=,B07, PRDE,actvstrat=,0.284811, actvprof=,1.756764, id=,B08, PRDE,actvstrat=,-0.343047, actvprof=,1.467304, id=,B09, PRDE,actvstrat=,-0.383728, actvprof=,1.683149, id=,S00, PRDE,actvstrat=,-0.010959, actvprof=,6.655092, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.272793, id=,S02, PRDE,actvstrat=,-0.333916, actvprof=,3.652147, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,11.626757, id=,S04, PRDE,actvstrat=,-0.218903, actvprof=,4.238569, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,5.001945, id=,S06, PRDE,actvstrat=,0.008425, actvprof=,6.776765, id=,S07, PRDE,actvstrat=,0.354415, actvprof=,8.631035, id=,S08, PRDE,actvstrat=,0.695772, actvprof=,10.618923, id=,S09, PRDE,actvstrat=,0.162583, actvprof=,7.265126, best_B_id=,B03, best_B_prof=,2.016501, best_B_strat=,0.854080, best_S_id=,S03, best_S_prof=,11.626757, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.118414, actvprof=,1.471430, id=,B01, PRDE,actvstrat=,-0.496404, actvprof=,1.635184, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,1.876580, id=,B03, PRDE,actvstrat=,0.854080, actvprof=,1.873246, id=,B04, PRDE,actvstrat=,0.996661, actvprof=,0.814189, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.908775, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.890747, id=,B07, PRDE,actvstrat=,0.284811, actvprof=,1.784772, id=,B08, PRDE,actvstrat=,-0.343047, actvprof=,1.498236, id=,B09, PRDE,actvstrat=,-0.383728, actvprof=,1.556154, id=,S00, PRDE,actvstrat=,-0.010959, actvprof=,6.527126, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.224867, id=,S02, PRDE,actvstrat=,-0.333916, actvprof=,3.718020, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,11.613517, id=,S04, PRDE,actvstrat=,-0.218903, actvprof=,4.178727, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,5.162366, id=,S06, PRDE,actvstrat=,0.008425, actvprof=,6.865191, id=,S07, PRDE,actvstrat=,0.354415, actvprof=,8.515514, id=,S08, PRDE,actvstrat=,0.695772, actvprof=,10.561543, id=,S09, PRDE,actvstrat=,0.162583, actvprof=,7.681741, best_B_id=,B06, best_B_prof=,1.890747, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,11.613517, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.407721, actvprof=,0.925620, id=,B01, PRDE,actvstrat=,-0.496404, actvprof=,0.820613, id=,B02, PRDE,actvstrat=,-0.074017, actvprof=,0.833669, id=,B03, PRDE,actvstrat=,0.854080, actvprof=,1.666782, id=,B04, PRDE,actvstrat=,-0.279801, actvprof=,0.867282, id=,B05, PRDE,actvstrat=,0.856259, actvprof=,1.480658, id=,B06, PRDE,actvstrat=,-0.269939, actvprof=,1.008403, id=,B07, PRDE,actvstrat=,-0.161077, actvprof=,0.875894, id=,B08, PRDE,actvstrat=,-0.985089, actvprof=,1.480658, id=,B09, PRDE,actvstrat=,0.923460, actvprof=,1.095632, id=,S00, PRDE,actvstrat=,-0.619118, actvprof=,3.261060, id=,S01, PRDE,actvstrat=,0.495985, actvprof=,9.436489, id=,S02, PRDE,actvstrat=,-0.566636, actvprof=,3.257171, id=,S03, PRDE,actvstrat=,-0.753960, actvprof=,2.415723, id=,S04, PRDE,actvstrat=,-0.189420, actvprof=,4.800333, id=,S05, PRDE,actvstrat=,-0.781081, actvprof=,1.803736, id=,S06, PRDE,actvstrat=,0.955530, actvprof=,12.076950, id=,S07, PRDE,actvstrat=,0.017101, actvprof=,7.114939, id=,S08, PRDE,actvstrat=,0.129687, actvprof=,7.368845, id=,S09, PRDE,actvstrat=,-0.882134, actvprof=,0.458365, best_B_id=,B03, best_B_prof=,1.666782, best_B_strat=,0.854080, best_S_id=,S06, best_S_prof=,12.076950, best_S_strat=,0.955530, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.407721, actvprof=,0.940449, id=,B01, PRDE,actvstrat=,-0.496404, actvprof=,0.877530, id=,B02, PRDE,actvstrat=,-0.074017, actvprof=,0.858224, id=,B03, PRDE,actvstrat=,0.854080, actvprof=,1.517830, id=,B04, PRDE,actvstrat=,-0.279801, actvprof=,0.866002, id=,B05, PRDE,actvstrat=,0.856259, actvprof=,1.489357, id=,B06, PRDE,actvstrat=,-0.269939, actvprof=,0.923643, id=,B07, PRDE,actvstrat=,-0.161077, actvprof=,0.928782, id=,B08, PRDE,actvstrat=,-0.985089, actvprof=,1.476301, id=,B09, PRDE,actvstrat=,0.923460, actvprof=,1.119483, id=,S00, PRDE,actvstrat=,-0.619118, actvprof=,3.279003, id=,S01, PRDE,actvstrat=,0.495985, actvprof=,9.366436, id=,S02, PRDE,actvstrat=,-0.566636, actvprof=,3.206917, id=,S03, PRDE,actvstrat=,-0.753960, actvprof=,2.351193, id=,S04, PRDE,actvstrat=,-0.189420, actvprof=,4.757110, id=,S05, PRDE,actvstrat=,-0.781081, actvprof=,1.846314, id=,S06, PRDE,actvstrat=,0.955530, actvprof=,11.960415, id=,S07, PRDE,actvstrat=,0.017101, actvprof=,7.035522, id=,S08, PRDE,actvstrat=,0.129687, actvprof=,7.544706, id=,S09, PRDE,actvstrat=,-0.882134, actvprof=,0.445849, best_B_id=,B03, best_B_prof=,1.517830, best_B_strat=,0.854080, best_S_id=,S06, best_S_prof=,11.960415, best_S_strat=,0.955530, 
