t=,3600, id=,B00, PRDE,actvstrat=,0.461022, actvprof=,3.691111, id=,B01, PRDE,actvstrat=,0.190185, actvprof=,3.251389, id=,B02, PRDE,actvstrat=,-0.826518, actvprof=,3.933889, id=,B03, PRDE,actvstrat=,0.113011, actvprof=,3.282500, id=,B04, PRDE,actvstrat=,-0.378873, actvprof=,2.891944, id=,B05, PRDE,actvstrat=,-0.413091, actvprof=,3.126944, id=,B06, PRDE,actvstrat=,-0.736007, actvprof=,3.931667, id=,B07, PRDE,actvstrat=,-0.023995, actvprof=,2.906389, id=,B08, PRDE,actvstrat=,0.454371, actvprof=,3.333889, id=,B09, PRDE,actvstrat=,-0.042130, actvprof=,3.063333, id=,S00, PRDE,actvstrat=,0.823536, actvprof=,8.536389, id=,S01, PRDE,actvstrat=,-0.450163, actvprof=,2.896944, id=,S02, PRDE,actvstrat=,-0.132200, actvprof=,3.775556, id=,S03, PRDE,actvstrat=,0.098648, actvprof=,5.503611, id=,S04, PRDE,actvstrat=,0.504891, actvprof=,7.359722, id=,S05, PRDE,actvstrat=,-0.684883, actvprof=,2.661111, id=,S06, PRDE,actvstrat=,0.637435, actvprof=,7.958889, id=,S07, PRDE,actvstrat=,0.807442, actvprof=,8.541389, id=,S08, PRDE,actvstrat=,-0.617042, actvprof=,2.661111, id=,S09, PRDE,actvstrat=,0.135246, actvprof=,5.781111, best_B_id=,B02, best_B_prof=,3.933889, best_B_strat=,-0.826518, best_S_id=,S07, best_S_prof=,8.541389, best_S_strat=,0.807442, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.997731, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.264456, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.948552, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.653618, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.239654, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.258401, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.976016, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.178243, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.109489, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.103071, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.493860, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.041702, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.813245, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.405888, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.753936, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.740137, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.801289, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.234445, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.213105, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.770939, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.997731, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.493860, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.997731, actvprof=,4.547992, id=,B01, PRDE,actvstrat=,0.264456, actvprof=,2.878571, id=,B02, PRDE,actvstrat=,-0.948552, actvprof=,3.372175, id=,B03, PRDE,actvstrat=,-0.653618, actvprof=,3.134679, id=,B04, PRDE,actvstrat=,-0.239654, actvprof=,2.431911, id=,B05, PRDE,actvstrat=,-0.258401, actvprof=,2.394967, id=,B06, PRDE,actvstrat=,-0.976016, actvprof=,3.699393, id=,B07, PRDE,actvstrat=,-0.178243, actvprof=,2.246080, id=,B08, PRDE,actvstrat=,-0.109489, actvprof=,2.721907, id=,B09, PRDE,actvstrat=,0.103071, actvprof=,2.694685, id=,S00, PRDE,actvstrat=,0.493860, actvprof=,7.034069, id=,S01, PRDE,actvstrat=,0.041702, actvprof=,5.350481, id=,S02, PRDE,actvstrat=,0.813245, actvprof=,8.828211, id=,S03, PRDE,actvstrat=,-0.405888, actvprof=,2.982736, id=,S04, PRDE,actvstrat=,-0.753936, actvprof=,1.578589, id=,S05, PRDE,actvstrat=,0.740137, actvprof=,8.605992, id=,S06, PRDE,actvstrat=,0.801289, actvprof=,8.805711, id=,S07, PRDE,actvstrat=,-0.234445, actvprof=,3.218566, id=,S08, PRDE,actvstrat=,0.213105, actvprof=,5.878807, id=,S09, PRDE,actvstrat=,-0.770939, actvprof=,1.704421, best_B_id=,B00, best_B_prof=,4.547992, best_B_strat=,-0.997731, best_S_id=,S02, best_S_prof=,8.828211, best_S_strat=,0.813245, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.777779, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.845691, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.695303, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.033281, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.355238, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.949720, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.372986, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.518583, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.109489, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.558438, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.601457, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.744727, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.174214, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.692305, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.756435, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.637464, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.964579, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.211337, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.371898, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.174097, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.777779, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.601457, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.777779, actvprof=,2.720278, id=,B01, PRDE,actvstrat=,0.845691, actvprof=,2.088611, id=,B02, PRDE,actvstrat=,-0.695303, actvprof=,2.381944, id=,B03, PRDE,actvstrat=,-0.033281, actvprof=,1.623889, id=,B04, PRDE,actvstrat=,-0.355238, actvprof=,1.807222, id=,B05, PRDE,actvstrat=,0.949720, actvprof=,1.373889, id=,B06, PRDE,actvstrat=,-0.372986, actvprof=,1.697500, id=,B07, PRDE,actvstrat=,0.518583, actvprof=,2.382778, id=,B08, PRDE,actvstrat=,-0.109489, actvprof=,1.690278, id=,B09, PRDE,actvstrat=,-0.558438, actvprof=,1.951667, id=,S00, PRDE,actvstrat=,0.601457, actvprof=,8.968889, id=,S01, PRDE,actvstrat=,0.744727, actvprof=,9.676389, id=,S02, PRDE,actvstrat=,-0.174214, actvprof=,4.429167, id=,S03, PRDE,actvstrat=,-0.692305, actvprof=,2.862778, id=,S04, PRDE,actvstrat=,-0.756435, actvprof=,2.302500, id=,S05, PRDE,actvstrat=,0.637464, actvprof=,8.897222, id=,S06, PRDE,actvstrat=,-0.964579, actvprof=,1.703333, id=,S07, PRDE,actvstrat=,-0.211337, actvprof=,4.098889, id=,S08, PRDE,actvstrat=,0.371898, actvprof=,7.885278, id=,S09, PRDE,actvstrat=,-0.174097, actvprof=,3.990833, best_B_id=,B00, best_B_prof=,2.720278, best_B_strat=,-0.777779, best_S_id=,S01, best_S_prof=,9.676389, best_S_strat=,0.744727, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.777779, actvprof=,2.514202, id=,B01, PRDE,actvstrat=,0.845691, actvprof=,2.187253, id=,B02, PRDE,actvstrat=,-0.695303, actvprof=,2.351005, id=,B03, PRDE,actvstrat=,-0.033281, actvprof=,1.702524, id=,B04, PRDE,actvstrat=,-0.355238, actvprof=,1.691273, id=,B05, PRDE,actvstrat=,0.949720, actvprof=,1.415436, id=,B06, PRDE,actvstrat=,-0.372986, actvprof=,1.636273, id=,B07, PRDE,actvstrat=,0.518583, actvprof=,2.257948, id=,B08, PRDE,actvstrat=,-0.109489, actvprof=,1.627245, id=,B09, PRDE,actvstrat=,-0.558438, actvprof=,1.885582, id=,S00, PRDE,actvstrat=,0.601457, actvprof=,8.758733, id=,S01, PRDE,actvstrat=,0.744727, actvprof=,9.849998, id=,S02, PRDE,actvstrat=,-0.174214, actvprof=,4.336449, id=,S03, PRDE,actvstrat=,-0.692305, actvprof=,2.678926, id=,S04, PRDE,actvstrat=,-0.756435, actvprof=,2.225170, id=,S05, PRDE,actvstrat=,0.637464, actvprof=,8.976514, id=,S06, PRDE,actvstrat=,-0.964579, actvprof=,1.707107, id=,S07, PRDE,actvstrat=,-0.211337, actvprof=,4.048806, id=,S08, PRDE,actvstrat=,0.371898, actvprof=,7.715802, id=,S09, PRDE,actvstrat=,-0.174097, actvprof=,4.257004, best_B_id=,B00, best_B_prof=,2.514202, best_B_strat=,-0.777779, best_S_id=,S01, best_S_prof=,9.849998, best_S_strat=,0.744727, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,3.177310, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,3.438707, id=,B02, PRDE,actvstrat=,-0.596552, actvprof=,3.807050, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.849496, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.824495, id=,B05, PRDE,actvstrat=,0.201546, actvprof=,3.597322, id=,B06, PRDE,actvstrat=,-0.563525, actvprof=,3.734270, id=,B07, PRDE,actvstrat=,0.220733, actvprof=,3.247590, id=,B08, PRDE,actvstrat=,-0.321657, actvprof=,3.320926, id=,B09, PRDE,actvstrat=,0.295485, actvprof=,3.285091, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,9.799717, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.402345, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.389289, id=,S03, PRDE,actvstrat=,-0.998830, actvprof=,4.380122, id=,S04, PRDE,actvstrat=,-0.304988, actvprof=,3.026195, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,9.451651, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,9.628879, id=,S07, PRDE,actvstrat=,0.217854, actvprof=,6.320453, id=,S08, PRDE,actvstrat=,0.130559, actvprof=,6.141004, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,9.825273, best_B_id=,B02, best_B_prof=,3.807050, best_B_strat=,-0.596552, best_S_id=,S09, best_S_prof=,9.825273, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,3.179744, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,3.364468, id=,B02, PRDE,actvstrat=,-0.596552, actvprof=,3.698498, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.760151, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.697790, id=,B05, PRDE,actvstrat=,0.201546, actvprof=,3.299051, id=,B06, PRDE,actvstrat=,-0.563525, actvprof=,3.577803, id=,B07, PRDE,actvstrat=,0.220733, actvprof=,3.328773, id=,B08, PRDE,actvstrat=,-0.321657, actvprof=,3.156827, id=,B09, PRDE,actvstrat=,0.295485, actvprof=,3.201967, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,9.876596, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.375169, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.508781, id=,S03, PRDE,actvstrat=,-0.998830, actvprof=,4.330030, id=,S04, PRDE,actvstrat=,-0.304988, actvprof=,3.065438, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,9.834513, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,9.910208, id=,S07, PRDE,actvstrat=,0.217854, actvprof=,6.214349, id=,S08, PRDE,actvstrat=,0.130559, actvprof=,6.225182, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,9.939791, best_B_id=,B02, best_B_prof=,3.698498, best_B_strat=,-0.596552, best_S_id=,S09, best_S_prof=,9.939791, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.178790, actvprof=,1.092823, id=,B01, PRDE,actvstrat=,0.249495, actvprof=,0.974207, id=,B02, PRDE,actvstrat=,-0.260993, actvprof=,0.795866, id=,B03, PRDE,actvstrat=,0.747676, actvprof=,1.357834, id=,B04, PRDE,actvstrat=,0.364486, actvprof=,1.068100, id=,B05, PRDE,actvstrat=,0.665360, actvprof=,1.418948, id=,B06, PRDE,actvstrat=,-0.093065, actvprof=,0.786422, id=,B07, PRDE,actvstrat=,-0.514027, actvprof=,0.773366, id=,B08, PRDE,actvstrat=,0.796182, actvprof=,1.499785, id=,B09, PRDE,actvstrat=,-0.123416, actvprof=,0.714752, id=,S00, PRDE,actvstrat=,0.804351, actvprof=,11.025182, id=,S01, PRDE,actvstrat=,-0.194789, actvprof=,4.468242, id=,S02, PRDE,actvstrat=,-0.807994, actvprof=,1.010042, id=,S03, PRDE,actvstrat=,-0.906015, actvprof=,0.324180, id=,S04, PRDE,actvstrat=,-0.572097, actvprof=,3.359029, id=,S05, PRDE,actvstrat=,-0.074652, actvprof=,5.724127, id=,S06, PRDE,actvstrat=,0.132041, actvprof=,7.296415, id=,S07, PRDE,actvstrat=,-0.083826, actvprof=,5.427726, id=,S08, PRDE,actvstrat=,-0.427997, actvprof=,3.808770, id=,S09, PRDE,actvstrat=,-0.442679, actvprof=,3.454311, best_B_id=,B08, best_B_prof=,1.499785, best_B_strat=,0.796182, best_S_id=,S00, best_S_prof=,11.025182, best_S_strat=,0.804351, 
t=,36000, id=,B00, PRDE,actvstrat=,0.178790, actvprof=,0.995583, id=,B01, PRDE,actvstrat=,0.249495, actvprof=,0.939471, id=,B02, PRDE,actvstrat=,-0.260993, actvprof=,0.734604, id=,B03, PRDE,actvstrat=,0.747676, actvprof=,1.423373, id=,B04, PRDE,actvstrat=,0.364486, actvprof=,1.089752, id=,B05, PRDE,actvstrat=,0.665360, actvprof=,1.393094, id=,B06, PRDE,actvstrat=,-0.093065, actvprof=,0.769605, id=,B07, PRDE,actvstrat=,-0.514027, actvprof=,0.882525, id=,B08, PRDE,actvstrat=,0.796182, actvprof=,1.472958, id=,B09, PRDE,actvstrat=,-0.123416, actvprof=,0.761827, id=,S00, PRDE,actvstrat=,0.804351, actvprof=,11.247951, id=,S01, PRDE,actvstrat=,-0.194789, actvprof=,4.474291, id=,S02, PRDE,actvstrat=,-0.807994, actvprof=,1.152393, id=,S03, PRDE,actvstrat=,-0.906015, actvprof=,0.282369, id=,S04, PRDE,actvstrat=,-0.572097, actvprof=,3.113975, id=,S05, PRDE,actvstrat=,-0.074652, actvprof=,5.562377, id=,S06, PRDE,actvstrat=,0.132041, actvprof=,7.168116, id=,S07, PRDE,actvstrat=,-0.083826, actvprof=,5.331815, id=,S08, PRDE,actvstrat=,-0.427997, actvprof=,3.754965, id=,S09, PRDE,actvstrat=,-0.442679, actvprof=,3.550515, best_B_id=,B08, best_B_prof=,1.472958, best_B_strat=,0.796182, best_S_id=,S00, best_S_prof=,11.247951, best_S_strat=,0.804351, 
t=,39600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.107785, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.129731, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.100840, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.052226, id=,B04, PRDE,actvstrat=,0.638091, actvprof=,0.070560, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.134732, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.051670, id=,B07, PRDE,actvstrat=,-0.775500, actvprof=,0.094173, id=,B08, PRDE,actvstrat=,-0.856814, actvprof=,0.088339, id=,B09, PRDE,actvstrat=,-0.071401, actvprof=,0.056115, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,1.909577, id=,S01, PRDE,actvstrat=,-0.866866, actvprof=,1.243420, id=,S02, PRDE,actvstrat=,-0.655438, actvprof=,4.361970, id=,S03, PRDE,actvstrat=,0.089720, actvprof=,9.539829, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,14.807139, id=,S05, PRDE,actvstrat=,-0.646256, actvprof=,4.944788, id=,S06, PRDE,actvstrat=,-0.954660, actvprof=,0.040558, id=,S07, PRDE,actvstrat=,-0.832697, actvprof=,1.727898, id=,S08, PRDE,actvstrat=,-0.261837, actvprof=,6.231544, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,15.089103, best_B_id=,B05, best_B_prof=,0.134732, best_B_strat=,-1.000000, best_S_id=,S09, best_S_prof=,15.089103, best_S_strat=,1.000000, 
