t=,0, id=,B00, PRDE,actvstrat=,0.800849, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.984594, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.139602, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.505238, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.676936, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.891877, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.039941, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.437007, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.213384, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.346443, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.026193, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.176972, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.694184, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.677858, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.207575, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.392503, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.358783, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.236037, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.342587, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.375583, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.800849, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.026193, 
t=,3600, id=,B00, PRDE,actvstrat=,0.800849, actvprof=,2.978806, id=,B01, PRDE,actvstrat=,-0.984594, actvprof=,3.299631, id=,B02, PRDE,actvstrat=,0.139602, actvprof=,2.602428, id=,B03, PRDE,actvstrat=,-0.505238, actvprof=,2.411600, id=,B04, PRDE,actvstrat=,0.676936, actvprof=,3.021861, id=,B05, PRDE,actvstrat=,-0.891877, actvprof=,3.500736, id=,B06, PRDE,actvstrat=,-0.039941, actvprof=,2.537707, id=,B07, PRDE,actvstrat=,0.437007, actvprof=,3.074637, id=,B08, PRDE,actvstrat=,-0.213384, actvprof=,2.354657, id=,B09, PRDE,actvstrat=,-0.346443, actvprof=,2.443543, id=,S00, PRDE,actvstrat=,0.026193, actvprof=,6.683148, id=,S01, PRDE,actvstrat=,-0.176972, actvprof=,5.732341, id=,S02, PRDE,actvstrat=,-0.694184, actvprof=,3.670176, id=,S03, PRDE,actvstrat=,0.677858, actvprof=,9.262520, id=,S04, PRDE,actvstrat=,0.207575, actvprof=,7.587289, id=,S05, PRDE,actvstrat=,-0.392503, actvprof=,4.482653, id=,S06, PRDE,actvstrat=,0.358783, actvprof=,7.747563, id=,S07, PRDE,actvstrat=,-0.236037, actvprof=,5.053193, id=,S08, PRDE,actvstrat=,-0.342587, actvprof=,4.793478, id=,S09, PRDE,actvstrat=,0.375583, actvprof=,7.981723, best_B_id=,B05, best_B_prof=,3.500736, best_B_strat=,-0.891877, best_S_id=,S03, best_S_prof=,9.262520, best_S_strat=,0.677858, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.558267, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.929060, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.695396, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.771523, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.118824, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.191447, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.745061, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.971832, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.073071, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.531648, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.066087, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.419059, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.317480, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.555648, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.763845, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.720190, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.005062, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.147264, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.402444, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.156358, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.558267, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.066087, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.558267, actvprof=,3.185423, id=,B01, PRDE,actvstrat=,0.929060, actvprof=,2.409900, id=,B02, PRDE,actvstrat=,-0.695396, actvprof=,3.461522, id=,B03, PRDE,actvstrat=,-0.771523, actvprof=,3.889838, id=,B04, PRDE,actvstrat=,-0.118824, actvprof=,2.967932, id=,B05, PRDE,actvstrat=,-0.191447, actvprof=,2.991820, id=,B06, PRDE,actvstrat=,-0.745061, actvprof=,3.897060, id=,B07, PRDE,actvstrat=,0.971832, actvprof=,1.898254, id=,B08, PRDE,actvstrat=,0.073071, actvprof=,2.890991, id=,B09, PRDE,actvstrat=,-0.531648, actvprof=,3.132369, id=,S00, PRDE,actvstrat=,-0.066087, actvprof=,4.867853, id=,S01, PRDE,actvstrat=,-0.419059, actvprof=,3.001264, id=,S02, PRDE,actvstrat=,-0.317480, actvprof=,3.579573, id=,S03, PRDE,actvstrat=,0.555648, actvprof=,7.726067, id=,S04, PRDE,actvstrat=,0.763845, actvprof=,8.518812, id=,S05, PRDE,actvstrat=,0.720190, actvprof=,8.404094, id=,S06, PRDE,actvstrat=,-0.005062, actvprof=,5.360054, id=,S07, PRDE,actvstrat=,0.147264, actvprof=,5.895032, id=,S08, PRDE,actvstrat=,0.402444, actvprof=,6.894990, id=,S09, PRDE,actvstrat=,0.156358, actvprof=,6.001139, best_B_id=,B06, best_B_prof=,3.897060, best_B_strat=,-0.745061, best_S_id=,S04, best_S_prof=,8.518812, best_S_strat=,0.763845, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.542027, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.616477, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.820374, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.771523, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.185319, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.569910, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.817580, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.428062, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.003121, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.115779, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.367135, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.290084, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.948570, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.857706, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.518984, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.611492, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.578842, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.482487, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.595313, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.156358, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.542027, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.367135, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.542027, actvprof=,1.660278, id=,B01, PRDE,actvstrat=,-0.616477, actvprof=,2.025556, id=,B02, PRDE,actvstrat=,-0.820374, actvprof=,2.397222, id=,B03, PRDE,actvstrat=,-0.771523, actvprof=,2.211944, id=,B04, PRDE,actvstrat=,0.185319, actvprof=,2.293056, id=,B05, PRDE,actvstrat=,-0.569910, actvprof=,1.752222, id=,B06, PRDE,actvstrat=,-0.817580, actvprof=,2.215556, id=,B07, PRDE,actvstrat=,-0.428062, actvprof=,1.587500, id=,B08, PRDE,actvstrat=,-0.003121, actvprof=,1.976111, id=,B09, PRDE,actvstrat=,-0.115779, actvprof=,1.771667, id=,S00, PRDE,actvstrat=,-0.367135, actvprof=,2.510833, id=,S01, PRDE,actvstrat=,-0.290084, actvprof=,2.720833, id=,S02, PRDE,actvstrat=,-0.948570, actvprof=,0.801389, id=,S03, PRDE,actvstrat=,0.857706, actvprof=,8.850833, id=,S04, PRDE,actvstrat=,-0.518984, actvprof=,2.191389, id=,S05, PRDE,actvstrat=,-0.611492, actvprof=,2.105833, id=,S06, PRDE,actvstrat=,0.578842, actvprof=,6.939167, id=,S07, PRDE,actvstrat=,-0.482487, actvprof=,2.269444, id=,S08, PRDE,actvstrat=,-0.595313, actvprof=,2.375000, id=,S09, PRDE,actvstrat=,0.156358, actvprof=,5.455278, best_B_id=,B02, best_B_prof=,2.397222, best_B_strat=,-0.820374, best_S_id=,S03, best_S_prof=,8.850833, best_S_strat=,0.857706, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.542027, actvprof=,1.719444, id=,B01, PRDE,actvstrat=,-0.616477, actvprof=,1.970556, id=,B02, PRDE,actvstrat=,-0.820374, actvprof=,2.338472, id=,B03, PRDE,actvstrat=,-0.771523, actvprof=,2.178333, id=,B04, PRDE,actvstrat=,0.185319, actvprof=,2.218750, id=,B05, PRDE,actvstrat=,-0.569910, actvprof=,1.752083, id=,B06, PRDE,actvstrat=,-0.817580, actvprof=,2.455556, id=,B07, PRDE,actvstrat=,-0.428062, actvprof=,1.662778, id=,B08, PRDE,actvstrat=,-0.003121, actvprof=,1.937500, id=,B09, PRDE,actvstrat=,-0.115779, actvprof=,1.776528, id=,S00, PRDE,actvstrat=,-0.367135, actvprof=,2.626389, id=,S01, PRDE,actvstrat=,-0.290084, actvprof=,2.782083, id=,S02, PRDE,actvstrat=,-0.948570, actvprof=,0.755972, id=,S03, PRDE,actvstrat=,0.857706, actvprof=,8.964028, id=,S04, PRDE,actvstrat=,-0.518984, actvprof=,2.288611, id=,S05, PRDE,actvstrat=,-0.611492, actvprof=,2.081528, id=,S06, PRDE,actvstrat=,0.578842, actvprof=,7.196944, id=,S07, PRDE,actvstrat=,-0.482487, actvprof=,2.463750, id=,S08, PRDE,actvstrat=,-0.595313, actvprof=,2.284722, id=,S09, PRDE,actvstrat=,0.156358, actvprof=,5.323750, best_B_id=,B06, best_B_prof=,2.455556, best_B_strat=,-0.817580, best_S_id=,S03, best_S_prof=,8.964028, best_S_strat=,0.857706, 
t=,25200, id=,B00, PRDE,actvstrat=,0.039680, actvprof=,1.780858, id=,B01, PRDE,actvstrat=,-0.959774, actvprof=,2.992819, id=,B02, PRDE,actvstrat=,-0.392585, actvprof=,1.955027, id=,B03, PRDE,actvstrat=,0.527945, actvprof=,2.543646, id=,B04, PRDE,actvstrat=,0.418289, actvprof=,2.509479, id=,B05, PRDE,actvstrat=,-0.169815, actvprof=,1.938916, id=,B06, PRDE,actvstrat=,0.206609, actvprof=,2.029195, id=,B07, PRDE,actvstrat=,0.613666, actvprof=,2.443367, id=,B08, PRDE,actvstrat=,0.688382, actvprof=,2.438367, id=,B09, PRDE,actvstrat=,-0.531648, actvprof=,1.974194, id=,S00, PRDE,actvstrat=,0.112173, actvprof=,6.667870, id=,S01, PRDE,actvstrat=,-0.854594, actvprof=,0.756122, id=,S02, PRDE,actvstrat=,0.747404, actvprof=,9.939305, id=,S03, PRDE,actvstrat=,-0.091456, actvprof=,4.872012, id=,S04, PRDE,actvstrat=,0.147596, actvprof=,6.633148, id=,S05, PRDE,actvstrat=,-0.239899, actvprof=,3.950333, id=,S06, PRDE,actvstrat=,0.933045, actvprof=,10.544591, id=,S07, PRDE,actvstrat=,-0.945671, actvprof=,0.648342, id=,S08, PRDE,actvstrat=,0.783324, actvprof=,10.402089, id=,S09, PRDE,actvstrat=,-0.003154, actvprof=,5.692579, best_B_id=,B01, best_B_prof=,2.992819, best_B_strat=,-0.959774, best_S_id=,S06, best_S_prof=,10.544591, best_S_strat=,0.933045, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.181156, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.929060, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.436045, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.527945, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.149617, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.446523, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.883529, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.919653, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.096039, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.606951, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.320700, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.085805, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.976893, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.012725, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.653253, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.446357, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.003921, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.580143, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.647584, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.313113, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.181156, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.320700, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.181156, actvprof=,1.819242, id=,B01, PRDE,actvstrat=,0.929060, actvprof=,1.377280, id=,B02, PRDE,actvstrat=,0.436045, actvprof=,2.003139, id=,B03, PRDE,actvstrat=,0.527945, actvprof=,1.979527, id=,B04, PRDE,actvstrat=,-0.149617, actvprof=,1.740628, id=,B05, PRDE,actvstrat=,-0.446523, actvprof=,1.771463, id=,B06, PRDE,actvstrat=,0.883529, actvprof=,1.882023, id=,B07, PRDE,actvstrat=,0.919653, actvprof=,1.490618, id=,B08, PRDE,actvstrat=,0.096039, actvprof=,1.624234, id=,B09, PRDE,actvstrat=,-0.606951, actvprof=,2.032307, id=,S00, PRDE,actvstrat=,-0.320700, actvprof=,3.779324, id=,S01, PRDE,actvstrat=,0.085805, actvprof=,6.553606, id=,S02, PRDE,actvstrat=,0.976893, actvprof=,11.135742, id=,S03, PRDE,actvstrat=,0.012725, actvprof=,6.733892, id=,S04, PRDE,actvstrat=,0.653253, actvprof=,9.852633, id=,S05, PRDE,actvstrat=,-0.446357, actvprof=,3.922941, id=,S06, PRDE,actvstrat=,0.003921, actvprof=,6.510271, id=,S07, PRDE,actvstrat=,0.580143, actvprof=,9.696793, id=,S08, PRDE,actvstrat=,-0.647584, actvprof=,2.880398, id=,S09, PRDE,actvstrat=,-0.313113, actvprof=,4.106282, best_B_id=,B09, best_B_prof=,2.032307, best_B_strat=,-0.606951, best_S_id=,S02, best_S_prof=,11.135742, best_S_strat=,0.976893, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.181156, actvprof=,1.630289, id=,B01, PRDE,actvstrat=,0.929060, actvprof=,1.371121, id=,B02, PRDE,actvstrat=,0.436045, actvprof=,2.033903, id=,B03, PRDE,actvstrat=,0.527945, actvprof=,2.068625, id=,B04, PRDE,actvstrat=,-0.149617, actvprof=,1.637789, id=,B05, PRDE,actvstrat=,-0.446523, actvprof=,1.835291, id=,B06, PRDE,actvstrat=,0.883529, actvprof=,1.812374, id=,B07, PRDE,actvstrat=,0.919653, actvprof=,1.444038, id=,B08, PRDE,actvstrat=,0.096039, actvprof=,1.673762, id=,B09, PRDE,actvstrat=,-0.606951, actvprof=,2.180015, id=,S00, PRDE,actvstrat=,-0.320700, actvprof=,3.796971, id=,S01, PRDE,actvstrat=,0.085805, actvprof=,6.635185, id=,S02, PRDE,actvstrat=,0.976893, actvprof=,11.153827, id=,S03, PRDE,actvstrat=,0.012725, actvprof=,6.626990, id=,S04, PRDE,actvstrat=,0.653253, actvprof=,9.984236, id=,S05, PRDE,actvstrat=,-0.446357, actvprof=,3.823777, id=,S06, PRDE,actvstrat=,0.003921, actvprof=,6.534351, id=,S07, PRDE,actvstrat=,0.580143, actvprof=,9.731734, id=,S08, PRDE,actvstrat=,-0.647584, actvprof=,3.048771, id=,S09, PRDE,actvstrat=,-0.313113, actvprof=,4.010861, best_B_id=,B09, best_B_prof=,2.180015, best_B_strat=,-0.606951, best_S_id=,S02, best_S_prof=,11.153827, best_S_strat=,0.976893, 
