t=,0, id=,B00, PRDE,actvstrat=,0.925836, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.355456, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.181695, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.042606, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.307924, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.830281, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.779835, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.105092, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.834798, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.652510, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.709714, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.527997, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.247277, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.920255, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.102480, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.051423, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.258977, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.814623, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.466653, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.958079, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.925836, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.709714, 
t=,3600, id=,B00, PRDE,actvstrat=,0.925836, actvprof=,1.211928, id=,B01, PRDE,actvstrat=,0.355456, actvprof=,1.452758, id=,B02, PRDE,actvstrat=,0.181695, actvprof=,1.210261, id=,B03, PRDE,actvstrat=,-0.042606, actvprof=,1.051930, id=,B04, PRDE,actvstrat=,0.307924, actvprof=,1.247760, id=,B05, PRDE,actvstrat=,0.830281, actvprof=,1.549145, id=,B06, PRDE,actvstrat=,0.779835, actvprof=,1.582200, id=,B07, PRDE,actvstrat=,-0.105092, actvprof=,1.041374, id=,B08, PRDE,actvstrat=,0.834798, actvprof=,1.538312, id=,B09, PRDE,actvstrat=,-0.652510, actvprof=,1.375259, id=,S00, PRDE,actvstrat=,0.709714, actvprof=,11.388453, id=,S01, PRDE,actvstrat=,-0.527997, actvprof=,4.268830, id=,S02, PRDE,actvstrat=,0.247277, actvprof=,8.782656, id=,S03, PRDE,actvstrat=,0.920255, actvprof=,11.945945, id=,S04, PRDE,actvstrat=,-0.102480, actvprof=,6.444910, id=,S05, PRDE,actvstrat=,-0.051423, actvprof=,6.957126, id=,S06, PRDE,actvstrat=,-0.258977, actvprof=,5.099096, id=,S07, PRDE,actvstrat=,-0.814623, actvprof=,2.436911, id=,S08, PRDE,actvstrat=,-0.466653, actvprof=,4.747990, id=,S09, PRDE,actvstrat=,-0.958079, actvprof=,1.043874, best_B_id=,B06, best_B_prof=,1.582200, best_B_strat=,0.779835, best_S_id=,S03, best_S_prof=,11.945945, best_S_strat=,0.920255, 
t=,7200, id=,B00, PRDE,actvstrat=,0.628307, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.194524, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.516515, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.246485, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.813489, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.850907, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.863187, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.504739, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.808014, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.777492, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.271896, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.227829, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.837589, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.320356, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.838048, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.552315, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.529534, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.416523, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.312536, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.833528, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.628307, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.271896, 
t=,10800, id=,B00, PRDE,actvstrat=,0.628307, actvprof=,1.708841, id=,B01, PRDE,actvstrat=,-0.194524, actvprof=,0.935807, id=,B02, PRDE,actvstrat=,0.516515, actvprof=,1.594956, id=,B03, PRDE,actvstrat=,0.246485, actvprof=,1.366073, id=,B04, PRDE,actvstrat=,0.813489, actvprof=,1.639677, id=,B05, PRDE,actvstrat=,-0.850907, actvprof=,2.045221, id=,B06, PRDE,actvstrat=,-0.863187, actvprof=,1.926891, id=,B07, PRDE,actvstrat=,-0.504739, actvprof=,1.048304, id=,B08, PRDE,actvstrat=,0.808014, actvprof=,1.759118, id=,B09, PRDE,actvstrat=,-0.777492, actvprof=,1.485237, id=,S00, PRDE,actvstrat=,-0.271896, actvprof=,4.167106, id=,S01, PRDE,actvstrat=,0.227829, actvprof=,7.647843, id=,S02, PRDE,actvstrat=,-0.837589, actvprof=,0.848032, id=,S03, PRDE,actvstrat=,0.320356, actvprof=,7.993945, id=,S04, PRDE,actvstrat=,0.838048, actvprof=,11.009416, id=,S05, PRDE,actvstrat=,-0.552315, actvprof=,3.453515, id=,S06, PRDE,actvstrat=,0.529534, actvprof=,8.886975, id=,S07, PRDE,actvstrat=,-0.416523, actvprof=,3.247132, id=,S08, PRDE,actvstrat=,0.312536, actvprof=,7.289242, id=,S09, PRDE,actvstrat=,-0.833528, actvprof=,1.033582, best_B_id=,B05, best_B_prof=,2.045221, best_B_strat=,-0.850907, best_S_id=,S04, best_S_prof=,11.009416, best_S_strat=,0.838048, 
t=,14400, id=,B00, PRDE,actvstrat=,0.628307, actvprof=,1.737500, id=,B01, PRDE,actvstrat=,-0.194524, actvprof=,0.963333, id=,B02, PRDE,actvstrat=,0.516515, actvprof=,1.594861, id=,B03, PRDE,actvstrat=,0.246485, actvprof=,1.363472, id=,B04, PRDE,actvstrat=,0.813489, actvprof=,1.702361, id=,B05, PRDE,actvstrat=,-0.850907, actvprof=,1.984028, id=,B06, PRDE,actvstrat=,-0.863187, actvprof=,1.975000, id=,B07, PRDE,actvstrat=,-0.504739, actvprof=,1.052083, id=,B08, PRDE,actvstrat=,0.808014, actvprof=,1.755556, id=,B09, PRDE,actvstrat=,-0.777492, actvprof=,1.413750, id=,S00, PRDE,actvstrat=,-0.271896, actvprof=,3.821111, id=,S01, PRDE,actvstrat=,0.227829, actvprof=,7.707500, id=,S02, PRDE,actvstrat=,-0.837589, actvprof=,0.922083, id=,S03, PRDE,actvstrat=,0.320356, actvprof=,7.930833, id=,S04, PRDE,actvstrat=,0.838048, actvprof=,11.073472, id=,S05, PRDE,actvstrat=,-0.552315, actvprof=,3.300556, id=,S06, PRDE,actvstrat=,0.529534, actvprof=,8.915139, id=,S07, PRDE,actvstrat=,-0.416523, actvprof=,3.252361, id=,S08, PRDE,actvstrat=,0.312536, actvprof=,7.299028, id=,S09, PRDE,actvstrat=,-0.833528, actvprof=,1.113750, best_B_id=,B05, best_B_prof=,1.984028, best_B_strat=,-0.850907, best_S_id=,S04, best_S_prof=,11.073472, best_S_strat=,0.838048, 
t=,18000, id=,B00, PRDE,actvstrat=,0.040468, actvprof=,0.711121, id=,B01, PRDE,actvstrat=,-0.194524, actvprof=,0.483896, id=,B02, PRDE,actvstrat=,-0.854112, actvprof=,1.398908, id=,B03, PRDE,actvstrat=,0.925333, actvprof=,1.052792, id=,B04, PRDE,actvstrat=,0.471922, actvprof=,1.014459, id=,B05, PRDE,actvstrat=,-0.407244, actvprof=,0.481673, id=,B06, PRDE,actvstrat=,-0.483570, actvprof=,0.469729, id=,B07, PRDE,actvstrat=,0.514233, actvprof=,0.941124, id=,B08, PRDE,actvstrat=,-0.058709, actvprof=,0.563341, id=,B09, PRDE,actvstrat=,0.911566, actvprof=,1.133627, id=,S00, PRDE,actvstrat=,-0.433691, actvprof=,3.767275, id=,S01, PRDE,actvstrat=,-0.900634, actvprof=,0.428062, id=,S02, PRDE,actvstrat=,0.231491, actvprof=,8.016222, id=,S03, PRDE,actvstrat=,-0.128830, actvprof=,5.016459, id=,S04, PRDE,actvstrat=,-0.422107, actvprof=,4.036445, id=,S05, PRDE,actvstrat=,-0.132769, actvprof=,5.175627, id=,S06, PRDE,actvstrat=,-0.753648, actvprof=,2.199197, id=,S07, PRDE,actvstrat=,-0.208238, actvprof=,4.177002, id=,S08, PRDE,actvstrat=,0.365921, actvprof=,8.730121, id=,S09, PRDE,actvstrat=,-0.365100, actvprof=,4.137002, best_B_id=,B02, best_B_prof=,1.398908, best_B_strat=,-0.854112, best_S_id=,S08, best_S_prof=,8.730121, best_S_strat=,0.365921, 
t=,21600, id=,B00, PRDE,actvstrat=,0.040468, actvprof=,0.676116, id=,B01, PRDE,actvstrat=,-0.194524, actvprof=,0.521531, id=,B02, PRDE,actvstrat=,-0.854112, actvprof=,1.338759, id=,B03, PRDE,actvstrat=,0.925333, actvprof=,1.089313, id=,B04, PRDE,actvstrat=,0.471922, actvprof=,1.055007, id=,B05, PRDE,actvstrat=,-0.407244, actvprof=,0.507920, id=,B06, PRDE,actvstrat=,-0.483570, actvprof=,0.505420, id=,B07, PRDE,actvstrat=,0.514233, actvprof=,1.020285, id=,B08, PRDE,actvstrat=,-0.058709, actvprof=,0.569865, id=,B09, PRDE,actvstrat=,0.911566, actvprof=,1.168064, id=,S00, PRDE,actvstrat=,-0.433691, actvprof=,4.029889, id=,S01, PRDE,actvstrat=,-0.900634, actvprof=,0.384308, id=,S02, PRDE,actvstrat=,0.231491, actvprof=,8.170335, id=,S03, PRDE,actvstrat=,-0.128830, actvprof=,4.956007, id=,S04, PRDE,actvstrat=,-0.422107, actvprof=,3.986972, id=,S05, PRDE,actvstrat=,-0.132769, actvprof=,5.155869, id=,S06, PRDE,actvstrat=,-0.753648, actvprof=,2.184321, id=,S07, PRDE,actvstrat=,-0.208238, actvprof=,4.327808, id=,S08, PRDE,actvstrat=,0.365921, actvprof=,8.592143, id=,S09, PRDE,actvstrat=,-0.365100, actvprof=,4.027111, best_B_id=,B02, best_B_prof=,1.338759, best_B_strat=,-0.854112, best_S_id=,S08, best_S_prof=,8.592143, best_S_strat=,0.365921, 
t=,25200, id=,B00, PRDE,actvstrat=,0.550752, actvprof=,2.964290, id=,B01, PRDE,actvstrat=,0.296287, actvprof=,2.736781, id=,B02, PRDE,actvstrat=,0.281151, actvprof=,2.722058, id=,B03, PRDE,actvstrat=,-0.594407, actvprof=,2.788450, id=,B04, PRDE,actvstrat=,0.456454, actvprof=,2.929011, id=,B05, PRDE,actvstrat=,0.104077, actvprof=,2.498437, id=,B06, PRDE,actvstrat=,-0.069043, actvprof=,2.476770, id=,B07, PRDE,actvstrat=,0.711534, actvprof=,2.772338, id=,B08, PRDE,actvstrat=,-0.677036, actvprof=,3.057627, id=,B09, PRDE,actvstrat=,0.202843, actvprof=,2.825673, id=,S00, PRDE,actvstrat=,-0.428931, actvprof=,3.024293, id=,S01, PRDE,actvstrat=,0.227829, actvprof=,6.391100, id=,S02, PRDE,actvstrat=,0.464509, actvprof=,7.208356, id=,S03, PRDE,actvstrat=,0.320356, actvprof=,6.874175, id=,S04, PRDE,actvstrat=,0.570569, actvprof=,8.145895, id=,S05, PRDE,actvstrat=,0.639517, actvprof=,8.689251, id=,S06, PRDE,actvstrat=,-0.340613, actvprof=,3.120963, id=,S07, PRDE,actvstrat=,-0.416523, actvprof=,3.118185, id=,S08, PRDE,actvstrat=,0.897444, actvprof=,9.662069, id=,S09, PRDE,actvstrat=,0.539260, actvprof=,7.842549, best_B_id=,B08, best_B_prof=,3.057627, best_B_strat=,-0.677036, best_S_id=,S08, best_S_prof=,9.662069, best_S_strat=,0.897444, 
t=,28800, id=,B00, PRDE,actvstrat=,0.550752, actvprof=,2.869921, id=,B01, PRDE,actvstrat=,0.296287, actvprof=,2.678806, id=,B02, PRDE,actvstrat=,0.281151, actvprof=,2.687973, id=,B03, PRDE,actvstrat=,-0.594407, actvprof=,2.787419, id=,B04, PRDE,actvstrat=,0.456454, actvprof=,2.835059, id=,B05, PRDE,actvstrat=,0.104077, actvprof=,2.438245, id=,B06, PRDE,actvstrat=,-0.069043, actvprof=,2.414634, id=,B07, PRDE,actvstrat=,0.711534, actvprof=,2.776586, id=,B08, PRDE,actvstrat=,-0.677036, actvprof=,3.134371, id=,B09, PRDE,actvstrat=,0.202843, actvprof=,2.620193, id=,S00, PRDE,actvstrat=,-0.428931, actvprof=,2.807142, id=,S01, PRDE,actvstrat=,0.227829, actvprof=,6.488052, id=,S02, PRDE,actvstrat=,0.464509, actvprof=,7.228067, id=,S03, PRDE,actvstrat=,0.320356, actvprof=,6.812781, id=,S04, PRDE,actvstrat=,0.570569, actvprof=,8.102669, id=,S05, PRDE,actvstrat=,0.639517, actvprof=,8.697265, id=,S06, PRDE,actvstrat=,-0.340613, actvprof=,3.064092, id=,S07, PRDE,actvstrat=,-0.416523, actvprof=,2.924644, id=,S08, PRDE,actvstrat=,0.897444, actvprof=,9.665479, id=,S09, PRDE,actvstrat=,0.539260, actvprof=,7.846275, best_B_id=,B08, best_B_prof=,3.134371, best_B_strat=,-0.677036, best_S_id=,S08, best_S_prof=,9.665479, best_S_strat=,0.897444, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.611447, actvprof=,1.761209, id=,B01, PRDE,actvstrat=,0.831755, actvprof=,1.959276, id=,B02, PRDE,actvstrat=,-0.108369, actvprof=,1.397022, id=,B03, PRDE,actvstrat=,0.363856, actvprof=,1.904828, id=,B04, PRDE,actvstrat=,0.792093, actvprof=,2.128729, id=,B05, PRDE,actvstrat=,0.472531, actvprof=,2.169287, id=,B06, PRDE,actvstrat=,-0.069043, actvprof=,1.448692, id=,B07, PRDE,actvstrat=,0.092233, actvprof=,1.393689, id=,B08, PRDE,actvstrat=,0.808014, actvprof=,2.169287, id=,B09, PRDE,actvstrat=,-0.777492, actvprof=,2.285127, id=,S00, PRDE,actvstrat=,-0.554805, actvprof=,3.251292, id=,S01, PRDE,actvstrat=,0.368788, actvprof=,8.061281, id=,S02, PRDE,actvstrat=,-0.113179, actvprof=,4.827768, id=,S03, PRDE,actvstrat=,0.800916, actvprof=,10.432524, id=,S04, PRDE,actvstrat=,-0.051476, actvprof=,5.409189, id=,S05, PRDE,actvstrat=,0.057450, actvprof=,6.401745, id=,S06, PRDE,actvstrat=,-0.978352, actvprof=,1.821490, id=,S07, PRDE,actvstrat=,0.492025, actvprof=,8.377688, id=,S08, PRDE,actvstrat=,-0.540002, actvprof=,2.640147, id=,S09, PRDE,actvstrat=,0.539260, actvprof=,9.053003, best_B_id=,B09, best_B_prof=,2.285127, best_B_strat=,-0.777492, best_S_id=,S03, best_S_prof=,10.432524, best_S_strat=,0.800916, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.611447, actvprof=,1.820328, id=,B01, PRDE,actvstrat=,0.831755, actvprof=,2.033945, id=,B02, PRDE,actvstrat=,-0.108369, actvprof=,1.446985, id=,B03, PRDE,actvstrat=,0.363856, actvprof=,1.855607, id=,B04, PRDE,actvstrat=,0.792093, actvprof=,2.153810, id=,B05, PRDE,actvstrat=,0.472531, actvprof=,2.114781, id=,B06, PRDE,actvstrat=,-0.069043, actvprof=,1.458374, id=,B07, PRDE,actvstrat=,0.092233, actvprof=,1.495319, id=,B08, PRDE,actvstrat=,0.808014, actvprof=,2.147699, id=,B09, PRDE,actvstrat=,-0.777492, actvprof=,2.363121, id=,S00, PRDE,actvstrat=,-0.554805, actvprof=,3.260229, id=,S01, PRDE,actvstrat=,0.368788, actvprof=,7.972583, id=,S02, PRDE,actvstrat=,-0.113179, actvprof=,4.655129, id=,S03, PRDE,actvstrat=,0.800916, actvprof=,10.684880, id=,S04, PRDE,actvstrat=,-0.051476, actvprof=,5.531265, id=,S05, PRDE,actvstrat=,0.057450, actvprof=,6.233784, id=,S06, PRDE,actvstrat=,-0.978352, actvprof=,1.885747, id=,S07, PRDE,actvstrat=,0.492025, actvprof=,8.571210, id=,S08, PRDE,actvstrat=,-0.540002, actvprof=,3.021056, id=,S09, PRDE,actvstrat=,0.539260, actvprof=,8.885247, best_B_id=,B09, best_B_prof=,2.363121, best_B_strat=,-0.777492, best_S_id=,S03, best_S_prof=,10.684880, best_S_strat=,0.800916, 
