t=,3600, id=,B00, PRDE,actvstrat=,-0.330879, actvprof=,1.040541, id=,B01, PRDE,actvstrat=,-0.676258, actvprof=,1.830530, id=,B02, PRDE,actvstrat=,-0.006273, actvprof=,1.219150, id=,B03, PRDE,actvstrat=,0.884617, actvprof=,1.613311, id=,B04, PRDE,actvstrat=,0.392261, actvprof=,1.518034, id=,B05, PRDE,actvstrat=,0.966039, actvprof=,0.983320, id=,B06, PRDE,actvstrat=,0.412760, actvprof=,1.596367, id=,B07, PRDE,actvstrat=,0.973046, actvprof=,0.853599, id=,B08, PRDE,actvstrat=,0.469782, actvprof=,1.621644, id=,B09, PRDE,actvstrat=,-0.347996, actvprof=,1.227483, id=,S00, PRDE,actvstrat=,-0.817956, actvprof=,2.508021, id=,S01, PRDE,actvstrat=,-0.152277, actvprof=,6.402967, id=,S02, PRDE,actvstrat=,-0.585318, actvprof=,5.201039, id=,S03, PRDE,actvstrat=,0.589726, actvprof=,10.762073, id=,S04, PRDE,actvstrat=,0.885790, actvprof=,11.807336, id=,S05, PRDE,actvstrat=,0.191855, actvprof=,8.964042, id=,S06, PRDE,actvstrat=,0.199208, actvprof=,8.672380, id=,S07, PRDE,actvstrat=,-0.959568, actvprof=,1.555534, id=,S08, PRDE,actvstrat=,-0.668458, actvprof=,4.492438, id=,S09, PRDE,actvstrat=,-0.792417, actvprof=,3.151345, best_B_id=,B01, best_B_prof=,1.830530, best_B_strat=,-0.676258, best_S_id=,S04, best_S_prof=,11.807336, best_S_strat=,0.885790, 
t=,7200, id=,B00, PRDE,actvstrat=,0.271376, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.215787, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.442865, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.237806, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.585335, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.308936, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.847675, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.929215, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.252289, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.281305, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.261707, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.770490, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.468438, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.828216, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.486645, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.745793, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.739195, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.561387, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.191059, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.024659, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.271376, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.261707, 
t=,10800, id=,B00, PRDE,actvstrat=,0.271376, actvprof=,3.341574, id=,B01, PRDE,actvstrat=,-0.215787, actvprof=,2.846032, id=,B02, PRDE,actvstrat=,-0.442865, actvprof=,3.240188, id=,B03, PRDE,actvstrat=,-0.237806, actvprof=,2.862143, id=,B04, PRDE,actvstrat=,-0.585335, actvprof=,3.559901, id=,B05, PRDE,actvstrat=,-0.308936, actvprof=,2.805200, id=,B06, PRDE,actvstrat=,-0.847675, actvprof=,4.155162, id=,B07, PRDE,actvstrat=,-0.929215, actvprof=,4.442377, id=,B08, PRDE,actvstrat=,-0.252289, actvprof=,2.935196, id=,B09, PRDE,actvstrat=,0.281305, actvprof=,3.388517, id=,S00, PRDE,actvstrat=,0.261707, actvprof=,5.101803, id=,S01, PRDE,actvstrat=,0.770490, actvprof=,7.725341, id=,S02, PRDE,actvstrat=,-0.468438, actvprof=,2.121886, id=,S03, PRDE,actvstrat=,0.828216, actvprof=,8.100331, id=,S04, PRDE,actvstrat=,-0.486645, actvprof=,1.883003, id=,S05, PRDE,actvstrat=,0.745793, actvprof=,7.812005, id=,S06, PRDE,actvstrat=,-0.739195, actvprof=,1.505792, id=,S07, PRDE,actvstrat=,0.561387, actvprof=,6.728146, id=,S08, PRDE,actvstrat=,0.191059, actvprof=,4.643204, id=,S09, PRDE,actvstrat=,0.024659, actvprof=,4.510986, best_B_id=,B07, best_B_prof=,4.442377, best_B_strat=,-0.929215, best_S_id=,S03, best_S_prof=,8.100331, best_S_strat=,0.828216, 
t=,14400, id=,B00, PRDE,actvstrat=,0.564445, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.231544, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.689977, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.372948, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.047391, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.507127, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.291654, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.392750, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.946696, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.295737, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.847011, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.969349, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.362476, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.222918, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.233788, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.791833, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.182381, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.355751, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.404753, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.793740, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.564445, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.847011, 
t=,18000, id=,B00, PRDE,actvstrat=,0.564445, actvprof=,3.133056, id=,B01, PRDE,actvstrat=,-0.231544, actvprof=,2.720278, id=,B02, PRDE,actvstrat=,-0.689977, actvprof=,3.177778, id=,B03, PRDE,actvstrat=,0.372948, actvprof=,2.968889, id=,B04, PRDE,actvstrat=,0.047391, actvprof=,2.593889, id=,B05, PRDE,actvstrat=,0.507127, actvprof=,3.220278, id=,B06, PRDE,actvstrat=,-0.291654, actvprof=,2.554167, id=,B07, PRDE,actvstrat=,0.392750, actvprof=,2.913333, id=,B08, PRDE,actvstrat=,0.946696, actvprof=,1.869444, id=,B09, PRDE,actvstrat=,-0.295737, actvprof=,2.617500, id=,S00, PRDE,actvstrat=,0.847011, actvprof=,10.010833, id=,S01, PRDE,actvstrat=,-0.969349, actvprof=,2.331111, id=,S02, PRDE,actvstrat=,-0.362476, actvprof=,3.405278, id=,S03, PRDE,actvstrat=,0.222918, actvprof=,6.342222, id=,S04, PRDE,actvstrat=,0.233788, actvprof=,6.274167, id=,S05, PRDE,actvstrat=,0.791833, actvprof=,9.364722, id=,S06, PRDE,actvstrat=,0.182381, actvprof=,5.764722, id=,S07, PRDE,actvstrat=,-0.355751, actvprof=,3.084722, id=,S08, PRDE,actvstrat=,0.404753, actvprof=,7.448056, id=,S09, PRDE,actvstrat=,0.793740, actvprof=,9.138889, best_B_id=,B05, best_B_prof=,3.220278, best_B_strat=,0.507127, best_S_id=,S00, best_S_prof=,10.010833, best_S_strat=,0.847011, 
t=,21600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.267843, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.540017, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.447714, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.201477, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.187967, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.876591, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.738726, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.197597, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,1.000000, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.769466, id=,B01, PRDE,actvstrat=,0.267843, actvprof=,1.308370, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.855302, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.835857, id=,B04, PRDE,actvstrat=,0.540017, actvprof=,1.250868, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.897247, id=,B06, PRDE,actvstrat=,0.447714, actvprof=,1.355038, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.810856, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.960027, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.835023, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,13.273702, id=,S01, PRDE,actvstrat=,0.201477, actvprof=,8.469680, id=,S02, PRDE,actvstrat=,0.187967, actvprof=,8.249951, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,12.928415, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,6.015723, id=,S05, PRDE,actvstrat=,-0.876591, actvprof=,1.051696, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,6.128504, id=,S07, PRDE,actvstrat=,0.738726, actvprof=,12.663130, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,5.881830, id=,S09, PRDE,actvstrat=,0.197597, actvprof=,8.439679, best_B_id=,B06, best_B_prof=,1.355038, best_B_strat=,0.447714, best_S_id=,S00, best_S_prof=,13.273702, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.346189, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.267843, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.278694, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.546983, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.432434, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.068033, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.558549, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.392750, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.733170, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.279191, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.509394, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.473662, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.585318, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.974942, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.161761, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.417461, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.737525, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.932590, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.910765, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.406909, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.346189, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.509394, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.346189, actvprof=,1.074489, id=,B01, PRDE,actvstrat=,0.267843, actvprof=,1.350056, id=,B02, PRDE,actvstrat=,0.278694, actvprof=,1.692571, id=,B03, PRDE,actvstrat=,0.546983, actvprof=,1.666181, id=,B04, PRDE,actvstrat=,0.432434, actvprof=,1.665347, id=,B05, PRDE,actvstrat=,0.068033, actvprof=,1.401169, id=,B06, PRDE,actvstrat=,0.558549, actvprof=,1.993694, id=,B07, PRDE,actvstrat=,0.392750, actvprof=,1.747573, id=,B08, PRDE,actvstrat=,-0.733170, actvprof=,2.065919, id=,B09, PRDE,actvstrat=,0.279191, actvprof=,1.429782, id=,S00, PRDE,actvstrat=,0.509394, actvprof=,9.202606, id=,S01, PRDE,actvstrat=,0.473662, actvprof=,8.419517, id=,S02, PRDE,actvstrat=,-0.585318, actvprof=,2.804561, id=,S03, PRDE,actvstrat=,0.974942, actvprof=,10.652666, id=,S04, PRDE,actvstrat=,0.161761, actvprof=,6.681390, id=,S05, PRDE,actvstrat=,0.417461, actvprof=,8.255622, id=,S06, PRDE,actvstrat=,-0.737525, actvprof=,1.983972, id=,S07, PRDE,actvstrat=,-0.932590, actvprof=,0.503077, id=,S08, PRDE,actvstrat=,-0.910765, actvprof=,0.270011, id=,S09, PRDE,actvstrat=,-0.406909, actvprof=,3.209300, best_B_id=,B08, best_B_prof=,2.065919, best_B_strat=,-0.733170, best_S_id=,S03, best_S_prof=,10.652666, best_S_strat=,0.974942, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.346189, actvprof=,1.159060, id=,B01, PRDE,actvstrat=,0.267843, actvprof=,1.429067, id=,B02, PRDE,actvstrat=,0.278694, actvprof=,1.684630, id=,B03, PRDE,actvstrat=,0.546983, actvprof=,1.709492, id=,B04, PRDE,actvstrat=,0.432434, actvprof=,1.765605, id=,B05, PRDE,actvstrat=,0.068033, actvprof=,1.321426, id=,B06, PRDE,actvstrat=,0.558549, actvprof=,1.957138, id=,B07, PRDE,actvstrat=,0.392750, actvprof=,1.677130, id=,B08, PRDE,actvstrat=,-0.733170, actvprof=,2.008806, id=,B09, PRDE,actvstrat=,0.279191, actvprof=,1.571155, id=,S00, PRDE,actvstrat=,0.509394, actvprof=,9.109281, id=,S01, PRDE,actvstrat=,0.473662, actvprof=,8.434123, id=,S02, PRDE,actvstrat=,-0.585318, actvprof=,2.800633, id=,S03, PRDE,actvstrat=,0.974942, actvprof=,10.852107, id=,S04, PRDE,actvstrat=,0.161761, actvprof=,6.584905, id=,S05, PRDE,actvstrat=,0.417461, actvprof=,8.138698, id=,S06, PRDE,actvstrat=,-0.737525, actvprof=,2.089641, id=,S07, PRDE,actvstrat=,-0.932590, actvprof=,0.538904, id=,S08, PRDE,actvstrat=,-0.910765, actvprof=,0.304453, id=,S09, PRDE,actvstrat=,-0.406909, actvprof=,3.221201, best_B_id=,B08, best_B_prof=,2.008806, best_B_strat=,-0.733170, best_S_id=,S03, best_S_prof=,10.852107, best_S_strat=,0.974942, 
t=,39600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,1.097051, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,1.226230, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,2.033253, id=,B03, PRDE,actvstrat=,0.922568, actvprof=,2.077146, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,1.043435, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.011765, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.883516, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.807120, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.937036, id=,B09, PRDE,actvstrat=,-0.892599, actvprof=,1.403470, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,3.795369, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,12.421763, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,12.736238, id=,S03, PRDE,actvstrat=,0.411599, actvprof=,10.021252, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.878710, id=,S05, PRDE,actvstrat=,0.496118, actvprof=,10.251552, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,12.704568, id=,S07, PRDE,actvstrat=,0.864348, actvprof=,12.806245, id=,S08, PRDE,actvstrat=,-0.738737, actvprof=,3.077799, id=,S09, PRDE,actvstrat=,0.501211, actvprof=,10.285722, best_B_id=,B03, best_B_prof=,2.077146, best_B_strat=,0.922568, best_S_id=,S07, best_S_prof=,12.806245, best_S_strat=,0.864348, 
