t=,0, id=,B00, PRDE,actvstrat=,0.922846, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.432283, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.951424, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.233072, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.822291, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.129116, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.847690, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.123543, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.133257, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.070002, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.473364, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.337170, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.163846, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.982699, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.063502, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.472867, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.491632, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.793956, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.676482, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.405082, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.922846, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.473364, 
t=,3600, id=,B00, PRDE,actvstrat=,0.922846, actvprof=,1.525833, id=,B01, PRDE,actvstrat=,-0.432283, actvprof=,1.396389, id=,B02, PRDE,actvstrat=,-0.951424, actvprof=,2.553056, id=,B03, PRDE,actvstrat=,0.233072, actvprof=,1.599722, id=,B04, PRDE,actvstrat=,0.822291, actvprof=,2.103056, id=,B05, PRDE,actvstrat=,0.129116, actvprof=,1.582500, id=,B06, PRDE,actvstrat=,-0.847690, actvprof=,2.203889, id=,B07, PRDE,actvstrat=,0.123543, actvprof=,1.465556, id=,B08, PRDE,actvstrat=,-0.133257, actvprof=,1.487500, id=,B09, PRDE,actvstrat=,-0.070002, actvprof=,1.450556, id=,S00, PRDE,actvstrat=,-0.473364, actvprof=,4.040000, id=,S01, PRDE,actvstrat=,-0.337170, actvprof=,4.209167, id=,S02, PRDE,actvstrat=,-0.163846, actvprof=,4.951667, id=,S03, PRDE,actvstrat=,0.982699, actvprof=,11.022778, id=,S04, PRDE,actvstrat=,-0.063502, actvprof=,6.375000, id=,S05, PRDE,actvstrat=,-0.472867, actvprof=,4.138056, id=,S06, PRDE,actvstrat=,0.491632, actvprof=,8.888056, id=,S07, PRDE,actvstrat=,-0.793956, actvprof=,2.328056, id=,S08, PRDE,actvstrat=,-0.676482, actvprof=,3.684444, id=,S09, PRDE,actvstrat=,0.405082, actvprof=,8.639167, best_B_id=,B02, best_B_prof=,2.553056, best_B_strat=,-0.951424, best_S_id=,S03, best_S_prof=,11.022778, best_S_strat=,0.982699, 
t=,7200, id=,B00, PRDE,actvstrat=,0.722641, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.015854, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.926107, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.345122, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.563060, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.684492, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.956577, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.573040, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.940239, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.052837, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.617142, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.316341, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.445454, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.840853, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.859005, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.826736, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.701899, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.116852, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.853911, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.305318, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.722641, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.617142, 
t=,10800, id=,B00, PRDE,actvstrat=,0.722641, actvprof=,1.319444, id=,B01, PRDE,actvstrat=,-0.015854, actvprof=,0.831667, id=,B02, PRDE,actvstrat=,0.926107, actvprof=,1.034444, id=,B03, PRDE,actvstrat=,0.345122, actvprof=,1.029444, id=,B04, PRDE,actvstrat=,-0.563060, actvprof=,0.977778, id=,B05, PRDE,actvstrat=,0.684492, actvprof=,1.394722, id=,B06, PRDE,actvstrat=,0.956577, actvprof=,0.667500, id=,B07, PRDE,actvstrat=,0.573040, actvprof=,1.185833, id=,B08, PRDE,actvstrat=,-0.940239, actvprof=,1.713611, id=,B09, PRDE,actvstrat=,0.052837, actvprof=,0.777500, id=,S00, PRDE,actvstrat=,0.617142, actvprof=,10.610000, id=,S01, PRDE,actvstrat=,-0.316341, actvprof=,4.459722, id=,S02, PRDE,actvstrat=,-0.445454, actvprof=,4.308889, id=,S03, PRDE,actvstrat=,0.840853, actvprof=,12.177778, id=,S04, PRDE,actvstrat=,-0.859005, actvprof=,0.894444, id=,S05, PRDE,actvstrat=,-0.826736, actvprof=,1.813611, id=,S06, PRDE,actvstrat=,0.701899, actvprof=,11.527222, id=,S07, PRDE,actvstrat=,0.116852, actvprof=,7.667500, id=,S08, PRDE,actvstrat=,-0.853911, actvprof=,1.137500, id=,S09, PRDE,actvstrat=,0.305318, actvprof=,9.449167, best_B_id=,B08, best_B_prof=,1.713611, best_B_strat=,-0.940239, best_S_id=,S03, best_S_prof=,12.177778, best_S_strat=,0.840853, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.722526, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.079414, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.905500, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.905073, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.672490, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.951429, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.119354, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.555592, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.093776, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.319516, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.932472, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.509463, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.502870, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.576926, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.885589, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.509758, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.315252, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.116852, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.910088, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.509505, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.722526, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.932472, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.722526, actvprof=,4.154722, id=,B01, PRDE,actvstrat=,-0.079414, actvprof=,2.996667, id=,B02, PRDE,actvstrat=,0.905500, actvprof=,2.344444, id=,B03, PRDE,actvstrat=,0.905073, actvprof=,2.245833, id=,B04, PRDE,actvstrat=,-0.672490, actvprof=,3.737500, id=,B05, PRDE,actvstrat=,0.951429, actvprof=,1.682222, id=,B06, PRDE,actvstrat=,0.119354, actvprof=,2.855833, id=,B07, PRDE,actvstrat=,0.555592, actvprof=,3.393611, id=,B08, PRDE,actvstrat=,-0.093776, actvprof=,3.105000, id=,B09, PRDE,actvstrat=,-0.319516, actvprof=,2.904444, id=,S00, PRDE,actvstrat=,0.932472, actvprof=,9.908056, id=,S01, PRDE,actvstrat=,-0.509463, actvprof=,3.037222, id=,S02, PRDE,actvstrat=,-0.502870, actvprof=,3.235000, id=,S03, PRDE,actvstrat=,0.576926, actvprof=,8.453056, id=,S04, PRDE,actvstrat=,0.885589, actvprof=,9.846111, id=,S05, PRDE,actvstrat=,0.509758, actvprof=,8.672778, id=,S06, PRDE,actvstrat=,-0.315252, actvprof=,3.687778, id=,S07, PRDE,actvstrat=,0.116852, actvprof=,5.981111, id=,S08, PRDE,actvstrat=,0.910088, actvprof=,9.969722, id=,S09, PRDE,actvstrat=,0.509505, actvprof=,8.255556, best_B_id=,B00, best_B_prof=,4.154722, best_B_strat=,-0.722526, best_S_id=,S08, best_S_prof=,9.969722, best_S_strat=,0.910088, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.722526, actvprof=,4.081528, id=,B01, PRDE,actvstrat=,-0.079414, actvprof=,2.825417, id=,B02, PRDE,actvstrat=,0.905500, actvprof=,2.277083, id=,B03, PRDE,actvstrat=,0.905073, actvprof=,2.227778, id=,B04, PRDE,actvstrat=,-0.672490, actvprof=,3.725694, id=,B05, PRDE,actvstrat=,0.951429, actvprof=,1.616528, id=,B06, PRDE,actvstrat=,0.119354, actvprof=,2.940833, id=,B07, PRDE,actvstrat=,0.555592, actvprof=,3.413056, id=,B08, PRDE,actvstrat=,-0.093776, actvprof=,3.070694, id=,B09, PRDE,actvstrat=,-0.319516, actvprof=,3.088333, id=,S00, PRDE,actvstrat=,0.932472, actvprof=,9.876667, id=,S01, PRDE,actvstrat=,-0.509463, actvprof=,3.083889, id=,S02, PRDE,actvstrat=,-0.502870, actvprof=,2.977778, id=,S03, PRDE,actvstrat=,0.576926, actvprof=,8.536667, id=,S04, PRDE,actvstrat=,0.885589, actvprof=,9.944722, id=,S05, PRDE,actvstrat=,0.509758, actvprof=,8.447917, id=,S06, PRDE,actvstrat=,-0.315252, actvprof=,3.550417, id=,S07, PRDE,actvstrat=,0.116852, actvprof=,6.297917, id=,S08, PRDE,actvstrat=,0.910088, actvprof=,9.938333, id=,S09, PRDE,actvstrat=,0.509505, actvprof=,8.334306, best_B_id=,B00, best_B_prof=,4.081528, best_B_strat=,-0.722526, best_S_id=,S04, best_S_prof=,9.944722, best_S_strat=,0.885589, 
t=,25200, id=,B00, PRDE,actvstrat=,0.700133, actvprof=,1.878464, id=,B01, PRDE,actvstrat=,-0.559424, actvprof=,1.652893, id=,B02, PRDE,actvstrat=,-0.457107, actvprof=,1.376484, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.494201, id=,B04, PRDE,actvstrat=,0.270552, actvprof=,1.553441, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.407528, id=,B06, PRDE,actvstrat=,0.608969, actvprof=,1.722342, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.585874, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.101188, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,1.228974, id=,S00, PRDE,actvstrat=,-0.760537, actvprof=,2.531565, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,12.985902, id=,S02, PRDE,actvstrat=,0.592537, actvprof=,11.163831, id=,S03, PRDE,actvstrat=,-0.419908, actvprof=,4.105841, id=,S04, PRDE,actvstrat=,0.366769, actvprof=,9.851517, id=,S05, PRDE,actvstrat=,-0.937530, actvprof=,0.506980, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,12.543927, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,12.727551, id=,S08, PRDE,actvstrat=,0.669923, actvprof=,11.409126, id=,S09, PRDE,actvstrat=,-0.726557, actvprof=,3.067713, best_B_id=,B00, best_B_prof=,1.878464, best_B_strat=,0.700133, best_S_id=,S01, best_S_prof=,12.985902, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.700133, actvprof=,1.842577, id=,B01, PRDE,actvstrat=,-0.559424, actvprof=,1.757434, id=,B02, PRDE,actvstrat=,-0.457107, actvprof=,1.373529, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.446130, id=,B04, PRDE,actvstrat=,0.270552, actvprof=,1.541036, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.465714, id=,B06, PRDE,actvstrat=,0.608969, actvprof=,1.633262, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.509049, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.158798, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,1.230885, id=,S00, PRDE,actvstrat=,-0.760537, actvprof=,2.459547, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,12.859841, id=,S02, PRDE,actvstrat=,0.592537, actvprof=,11.236302, id=,S03, PRDE,actvstrat=,-0.419908, actvprof=,4.217676, id=,S04, PRDE,actvstrat=,0.366769, actvprof=,9.810270, id=,S05, PRDE,actvstrat=,-0.937530, actvprof=,0.465158, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,12.792061, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,12.670389, id=,S08, PRDE,actvstrat=,0.669923, actvprof=,11.505896, id=,S09, PRDE,actvstrat=,-0.726557, actvprof=,3.150548, best_B_id=,B00, best_B_prof=,1.842577, best_B_strat=,0.700133, best_S_id=,S01, best_S_prof=,12.859841, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.722641, actvprof=,1.551818, id=,B01, PRDE,actvstrat=,-0.438801, actvprof=,0.943147, id=,B02, PRDE,actvstrat=,0.536640, actvprof=,1.495701, id=,B03, PRDE,actvstrat=,0.491731, actvprof=,1.345409, id=,B04, PRDE,actvstrat=,0.055339, actvprof=,0.959816, id=,B05, PRDE,actvstrat=,-0.818939, actvprof=,1.804898, id=,B06, PRDE,actvstrat=,0.943460, actvprof=,1.077883, id=,B07, PRDE,actvstrat=,-0.350426, actvprof=,0.968150, id=,B08, PRDE,actvstrat=,-0.148758, actvprof=,0.912033, id=,B09, PRDE,actvstrat=,-0.979943, actvprof=,2.006862, id=,S00, PRDE,actvstrat=,-0.143339, actvprof=,4.579612, id=,S01, PRDE,actvstrat=,-0.964304, actvprof=,0.652563, id=,S02, PRDE,actvstrat=,-0.617046, actvprof=,3.026405, id=,S03, PRDE,actvstrat=,0.595500, actvprof=,9.657050, id=,S04, PRDE,actvstrat=,0.016076, actvprof=,6.952620, id=,S05, PRDE,actvstrat=,-0.916401, actvprof=,0.375314, id=,S06, PRDE,actvstrat=,0.900033, actvprof=,11.653633, id=,S07, PRDE,actvstrat=,0.476396, actvprof=,9.205062, id=,S08, PRDE,actvstrat=,0.338675, actvprof=,8.295807, id=,S09, PRDE,actvstrat=,-0.911217, actvprof=,0.387260, best_B_id=,B09, best_B_prof=,2.006862, best_B_strat=,-0.979943, best_S_id=,S06, best_S_prof=,11.653633, best_S_strat=,0.900033, 
t=,36000, id=,B00, PRDE,actvstrat=,0.722641, actvprof=,1.627162, id=,B01, PRDE,actvstrat=,-0.438801, actvprof=,0.965880, id=,B02, PRDE,actvstrat=,0.536640, actvprof=,1.523824, id=,B03, PRDE,actvstrat=,0.491731, actvprof=,1.454237, id=,B04, PRDE,actvstrat=,0.055339, actvprof=,0.967269, id=,B05, PRDE,actvstrat=,-0.818939, actvprof=,1.795504, id=,B06, PRDE,actvstrat=,0.943460, actvprof=,1.082275, id=,B07, PRDE,actvstrat=,-0.350426, actvprof=,0.983242, id=,B08, PRDE,actvstrat=,-0.148758, actvprof=,1.013938, id=,B09, PRDE,actvstrat=,-0.979943, actvprof=,1.942317, id=,S00, PRDE,actvstrat=,-0.143339, actvprof=,4.797455, id=,S01, PRDE,actvstrat=,-0.964304, actvprof=,0.688922, id=,S02, PRDE,actvstrat=,-0.617046, actvprof=,3.051815, id=,S03, PRDE,actvstrat=,0.595500, actvprof=,9.717139, id=,S04, PRDE,actvstrat=,0.016076, actvprof=,6.740328, id=,S05, PRDE,actvstrat=,-0.916401, actvprof=,0.335711, id=,S06, PRDE,actvstrat=,0.900033, actvprof=,11.824047, id=,S07, PRDE,actvstrat=,0.476396, actvprof=,9.221559, id=,S08, PRDE,actvstrat=,0.338675, actvprof=,8.384435, id=,S09, PRDE,actvstrat=,-0.911217, actvprof=,0.430715, best_B_id=,B09, best_B_prof=,1.942317, best_B_strat=,-0.979943, best_S_id=,S06, best_S_prof=,11.824047, best_S_strat=,0.900033, 
