t=,1, id=,B00, PRDE,actvstrat=,0.243915, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.313801, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.799159, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.252121, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.906252, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.172520, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.413944, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.178951, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.423540, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.515901, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.664440, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.216973, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.956149, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.092654, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.160150, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.233422, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.667105, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.078253, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.561922, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.616611, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.243915, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.664440, 
t=,3600, id=,B00, PRDE,actvstrat=,0.243915, actvprof=,1.123889, id=,B01, PRDE,actvstrat=,-0.313801, actvprof=,0.753889, id=,B02, PRDE,actvstrat=,0.799159, actvprof=,1.745556, id=,B03, PRDE,actvstrat=,0.252121, actvprof=,1.162222, id=,B04, PRDE,actvstrat=,-0.906252, actvprof=,2.063889, id=,B05, PRDE,actvstrat=,-0.172520, actvprof=,0.873333, id=,B06, PRDE,actvstrat=,-0.413944, actvprof=,0.770556, id=,B07, PRDE,actvstrat=,0.178951, actvprof=,1.129167, id=,B08, PRDE,actvstrat=,-0.423540, actvprof=,0.667500, id=,B09, PRDE,actvstrat=,0.515901, actvprof=,1.510833, id=,S00, PRDE,actvstrat=,-0.664440, actvprof=,2.900278, id=,S01, PRDE,actvstrat=,-0.216973, actvprof=,4.173611, id=,S02, PRDE,actvstrat=,-0.956149, actvprof=,0.688056, id=,S03, PRDE,actvstrat=,0.092654, actvprof=,6.854167, id=,S04, PRDE,actvstrat=,0.160150, actvprof=,7.389444, id=,S05, PRDE,actvstrat=,-0.233422, actvprof=,4.249444, id=,S06, PRDE,actvstrat=,-0.667105, actvprof=,2.955000, id=,S07, PRDE,actvstrat=,-0.078253, actvprof=,5.768611, id=,S08, PRDE,actvstrat=,-0.561922, actvprof=,3.379722, id=,S09, PRDE,actvstrat=,-0.616611, actvprof=,3.174167, best_B_id=,B04, best_B_prof=,2.063889, best_B_strat=,-0.906252, best_S_id=,S04, best_S_prof=,7.389444, best_S_strat=,0.160150, 
t=,7200, id=,B00, PRDE,actvstrat=,0.842652, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.573768, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.286272, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.780241, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.434156, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.134374, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.098304, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.905003, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.819368, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.203150, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.730841, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.249278, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.091513, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.879418, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.480930, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.002973, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.484615, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.714313, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.849639, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.509267, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.842652, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.730841, 
t=,10800, id=,B00, PRDE,actvstrat=,0.842652, actvprof=,2.162192, id=,B01, PRDE,actvstrat=,0.573768, actvprof=,1.880252, id=,B02, PRDE,actvstrat=,-0.286272, actvprof=,1.298593, id=,B03, PRDE,actvstrat=,-0.780241, actvprof=,2.076360, id=,B04, PRDE,actvstrat=,-0.434156, actvprof=,1.238594, id=,B05, PRDE,actvstrat=,-0.134374, actvprof=,1.181372, id=,B06, PRDE,actvstrat=,-0.098304, actvprof=,1.333037, id=,B07, PRDE,actvstrat=,0.905003, actvprof=,1.730254, id=,B08, PRDE,actvstrat=,-0.819368, actvprof=,2.385800, id=,B09, PRDE,actvstrat=,-0.203150, actvprof=,1.165817, id=,S00, PRDE,actvstrat=,-0.730841, actvprof=,2.482466, id=,S01, PRDE,actvstrat=,-0.249278, actvprof=,3.835225, id=,S02, PRDE,actvstrat=,0.091513, actvprof=,6.771295, id=,S03, PRDE,actvstrat=,-0.879418, actvprof=,0.766100, id=,S04, PRDE,actvstrat=,0.480930, actvprof=,8.522937, id=,S05, PRDE,actvstrat=,0.002973, actvprof=,6.025472, id=,S06, PRDE,actvstrat=,-0.484615, actvprof=,3.144956, id=,S07, PRDE,actvstrat=,0.714313, actvprof=,9.756253, id=,S08, PRDE,actvstrat=,-0.849639, actvprof=,0.788322, id=,S09, PRDE,actvstrat=,0.509267, actvprof=,8.431550, best_B_id=,B08, best_B_prof=,2.385800, best_B_strat=,-0.819368, best_S_id=,S07, best_S_prof=,9.756253, best_S_strat=,0.714313, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.600004, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.732739, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.197962, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.780241, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.479814, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.498084, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.553985, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.196552, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.077770, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.444863, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.488493, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.249278, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.804359, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.120001, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.480930, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.632910, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.851303, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.262577, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.626485, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.011843, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.600004, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.488493, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.600004, actvprof=,3.605556, id=,B01, PRDE,actvstrat=,-0.732739, actvprof=,3.709444, id=,B02, PRDE,actvstrat=,0.197962, actvprof=,3.489444, id=,B03, PRDE,actvstrat=,-0.780241, actvprof=,4.331944, id=,B04, PRDE,actvstrat=,-0.479814, actvprof=,3.107778, id=,B05, PRDE,actvstrat=,0.498084, actvprof=,3.615278, id=,B06, PRDE,actvstrat=,-0.553985, actvprof=,3.496944, id=,B07, PRDE,actvstrat=,0.196552, actvprof=,3.340000, id=,B08, PRDE,actvstrat=,-0.077770, actvprof=,3.178333, id=,B09, PRDE,actvstrat=,-0.444863, actvprof=,3.049167, id=,S00, PRDE,actvstrat=,0.488493, actvprof=,6.415833, id=,S01, PRDE,actvstrat=,-0.249278, actvprof=,2.993056, id=,S02, PRDE,actvstrat=,0.804359, actvprof=,7.870278, id=,S03, PRDE,actvstrat=,-0.120001, actvprof=,2.971944, id=,S04, PRDE,actvstrat=,0.480930, actvprof=,6.257500, id=,S05, PRDE,actvstrat=,0.632910, actvprof=,7.074167, id=,S06, PRDE,actvstrat=,0.851303, actvprof=,8.123333, id=,S07, PRDE,actvstrat=,0.262577, actvprof=,5.296389, id=,S08, PRDE,actvstrat=,-0.626485, actvprof=,2.037500, id=,S09, PRDE,actvstrat=,0.011843, actvprof=,4.391667, best_B_id=,B03, best_B_prof=,4.331944, best_B_strat=,-0.780241, best_S_id=,S06, best_S_prof=,8.123333, best_S_strat=,0.851303, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.981147, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.842182, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.127388, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.571616, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.155122, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.337929, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.136162, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.328465, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.333068, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.855061, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.440880, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.883642, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.366892, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.628223, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.620800, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.428631, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.417844, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.405577, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.554186, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.286415, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.981147, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.440880, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.981147, actvprof=,2.698926, id=,B01, PRDE,actvstrat=,-0.842182, actvprof=,2.366977, id=,B02, PRDE,actvstrat=,-0.127388, actvprof=,1.573633, id=,B03, PRDE,actvstrat=,0.571616, actvprof=,2.032528, id=,B04, PRDE,actvstrat=,-0.155122, actvprof=,1.478632, id=,B05, PRDE,actvstrat=,0.337929, actvprof=,1.947527, id=,B06, PRDE,actvstrat=,0.136162, actvprof=,1.713635, id=,B07, PRDE,actvstrat=,0.328465, actvprof=,1.746413, id=,B08, PRDE,actvstrat=,0.333068, actvprof=,1.876693, id=,B09, PRDE,actvstrat=,-0.855061, actvprof=,2.480034, id=,S00, PRDE,actvstrat=,-0.440880, actvprof=,3.112821, id=,S01, PRDE,actvstrat=,0.883642, actvprof=,10.367366, id=,S02, PRDE,actvstrat=,0.366892, actvprof=,7.723441, id=,S03, PRDE,actvstrat=,0.628223, actvprof=,8.995403, id=,S04, PRDE,actvstrat=,0.620800, actvprof=,9.034014, id=,S05, PRDE,actvstrat=,-0.428631, actvprof=,3.350602, id=,S06, PRDE,actvstrat=,-0.417844, actvprof=,2.959763, id=,S07, PRDE,actvstrat=,-0.405577, actvprof=,2.988375, id=,S08, PRDE,actvstrat=,-0.554186, actvprof=,3.083654, id=,S09, PRDE,actvstrat=,-0.286415, actvprof=,3.315046, best_B_id=,B00, best_B_prof=,2.698926, best_B_strat=,-0.981147, best_S_id=,S01, best_S_prof=,10.367366, best_S_strat=,0.883642, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.981147, actvprof=,2.647083, id=,B01, PRDE,actvstrat=,-0.842182, actvprof=,2.358056, id=,B02, PRDE,actvstrat=,-0.127388, actvprof=,1.469028, id=,B03, PRDE,actvstrat=,0.571616, actvprof=,2.118333, id=,B04, PRDE,actvstrat=,-0.155122, actvprof=,1.438056, id=,B05, PRDE,actvstrat=,0.337929, actvprof=,2.046528, id=,B06, PRDE,actvstrat=,0.136162, actvprof=,1.690972, id=,B07, PRDE,actvstrat=,0.328465, actvprof=,1.821528, id=,B08, PRDE,actvstrat=,0.333068, actvprof=,1.821389, id=,B09, PRDE,actvstrat=,-0.855061, actvprof=,2.521111, id=,S00, PRDE,actvstrat=,-0.440880, actvprof=,3.243056, id=,S01, PRDE,actvstrat=,0.883642, actvprof=,10.409722, id=,S02, PRDE,actvstrat=,0.366892, actvprof=,7.639167, id=,S03, PRDE,actvstrat=,0.628223, actvprof=,9.005972, id=,S04, PRDE,actvstrat=,0.620800, actvprof=,9.154861, id=,S05, PRDE,actvstrat=,-0.428631, actvprof=,3.134444, id=,S06, PRDE,actvstrat=,-0.417844, actvprof=,3.048194, id=,S07, PRDE,actvstrat=,-0.405577, actvprof=,2.922500, id=,S08, PRDE,actvstrat=,-0.554186, actvprof=,2.840000, id=,S09, PRDE,actvstrat=,-0.286415, actvprof=,3.370000, best_B_id=,B00, best_B_prof=,2.647083, best_B_strat=,-0.981147, best_S_id=,S01, best_S_prof=,10.409722, best_S_strat=,0.883642, 
t=,32400, id=,B00, PRDE,actvstrat=,0.895325, actvprof=,1.354204, id=,B01, PRDE,actvstrat=,0.485363, actvprof=,1.750326, id=,B02, PRDE,actvstrat=,0.943500, actvprof=,1.120864, id=,B03, PRDE,actvstrat=,0.952851, actvprof=,1.058363, id=,B04, PRDE,actvstrat=,-0.374282, actvprof=,1.263368, id=,B05, PRDE,actvstrat=,-0.311779, actvprof=,1.025862, id=,B06, PRDE,actvstrat=,-0.977692, actvprof=,1.713103, id=,B07, PRDE,actvstrat=,0.155542, actvprof=,1.321426, id=,B08, PRDE,actvstrat=,0.236719, actvprof=,1.375872, id=,B09, PRDE,actvstrat=,-0.136429, actvprof=,1.168366, id=,S00, PRDE,actvstrat=,-0.035782, actvprof=,6.721576, id=,S01, PRDE,actvstrat=,-0.298112, actvprof=,4.157615, id=,S02, PRDE,actvstrat=,0.586393, actvprof=,10.199728, id=,S03, PRDE,actvstrat=,0.628223, actvprof=,10.232784, id=,S04, PRDE,actvstrat=,-0.470482, actvprof=,3.655379, id=,S05, PRDE,actvstrat=,-0.383595, actvprof=,4.334009, id=,S06, PRDE,actvstrat=,0.629793, actvprof=,10.798356, id=,S07, PRDE,actvstrat=,-0.315376, actvprof=,4.300119, id=,S08, PRDE,actvstrat=,0.047383, actvprof=,7.421039, id=,S09, PRDE,actvstrat=,-0.408410, actvprof=,4.118726, best_B_id=,B01, best_B_prof=,1.750326, best_B_strat=,0.485363, best_S_id=,S06, best_S_prof=,10.798356, best_S_strat=,0.629793, 
t=,36000, id=,B00, PRDE,actvstrat=,0.895325, actvprof=,1.373075, id=,B01, PRDE,actvstrat=,0.485363, actvprof=,1.695857, id=,B02, PRDE,actvstrat=,0.943500, actvprof=,1.185572, id=,B03, PRDE,actvstrat=,0.952851, actvprof=,1.095432, id=,B04, PRDE,actvstrat=,-0.374282, actvprof=,1.192794, id=,B05, PRDE,actvstrat=,-0.311779, actvprof=,1.108765, id=,B06, PRDE,actvstrat=,-0.977692, actvprof=,1.714052, id=,B07, PRDE,actvstrat=,0.155542, actvprof=,1.334880, id=,B08, PRDE,actvstrat=,0.236719, actvprof=,1.503632, id=,B09, PRDE,actvstrat=,-0.136429, actvprof=,1.199739, id=,S00, PRDE,actvstrat=,-0.035782, actvprof=,6.585647, id=,S01, PRDE,actvstrat=,-0.298112, actvprof=,4.148113, id=,S02, PRDE,actvstrat=,0.586393, actvprof=,10.291115, id=,S03, PRDE,actvstrat=,0.628223, actvprof=,10.502090, id=,S04, PRDE,actvstrat=,-0.470482, actvprof=,3.721441, id=,S05, PRDE,actvstrat=,-0.383595, actvprof=,4.210197, id=,S06, PRDE,actvstrat=,0.629793, actvprof=,10.796956, id=,S07, PRDE,actvstrat=,-0.315376, actvprof=,4.231725, id=,S08, PRDE,actvstrat=,0.047383, actvprof=,7.309268, id=,S09, PRDE,actvstrat=,-0.408410, actvprof=,4.056306, best_B_id=,B06, best_B_prof=,1.714052, best_B_strat=,-0.977692, best_S_id=,S06, best_S_prof=,10.796956, best_S_strat=,0.629793, 
