t=,1, id=,B00, PRDE,actvstrat=,0.135089, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.481164, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.262855, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.536976, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.769830, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.393518, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.465729, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.299295, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.313406, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.732178, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.896170, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.438646, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.873248, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.244776, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.099438, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.339366, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.850394, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.566292, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.475693, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.376305, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.135089, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.896170, 
t=,3600, id=,B00, PRDE,actvstrat=,0.135089, actvprof=,0.974167, id=,B01, PRDE,actvstrat=,0.481164, actvprof=,1.321111, id=,B02, PRDE,actvstrat=,-0.262855, actvprof=,0.760833, id=,B03, PRDE,actvstrat=,0.536976, actvprof=,1.545278, id=,B04, PRDE,actvstrat=,0.769830, actvprof=,1.685556, id=,B05, PRDE,actvstrat=,0.393518, actvprof=,1.228611, id=,B06, PRDE,actvstrat=,-0.465729, actvprof=,0.706389, id=,B07, PRDE,actvstrat=,-0.299295, actvprof=,0.775833, id=,B08, PRDE,actvstrat=,0.313406, actvprof=,1.132222, id=,B09, PRDE,actvstrat=,0.732178, actvprof=,1.702500, id=,S00, PRDE,actvstrat=,-0.896170, actvprof=,1.113056, id=,S01, PRDE,actvstrat=,-0.438646, actvprof=,5.553333, id=,S02, PRDE,actvstrat=,-0.873248, actvprof=,1.327222, id=,S03, PRDE,actvstrat=,-0.244776, actvprof=,5.814444, id=,S04, PRDE,actvstrat=,0.099438, actvprof=,7.994444, id=,S05, PRDE,actvstrat=,-0.339366, actvprof=,5.761389, id=,S06, PRDE,actvstrat=,-0.850394, actvprof=,1.895000, id=,S07, PRDE,actvstrat=,0.566292, actvprof=,10.187778, id=,S08, PRDE,actvstrat=,-0.475693, actvprof=,5.332500, id=,S09, PRDE,actvstrat=,-0.376305, actvprof=,5.632778, best_B_id=,B09, best_B_prof=,1.702500, best_B_strat=,0.732178, best_S_id=,S07, best_S_prof=,10.187778, best_S_strat=,0.566292, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.405277, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.116154, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.084695, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.410604, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.877098, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.970748, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.536139, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.460010, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.385553, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.827153, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.203083, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.091968, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.474039, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.810213, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.258696, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.829251, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.484450, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.081174, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.989356, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.197151, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.405277, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.203083, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.405277, actvprof=,1.360000, id=,B01, PRDE,actvstrat=,-0.116154, actvprof=,1.506944, id=,B02, PRDE,actvstrat=,-0.084695, actvprof=,1.680000, id=,B03, PRDE,actvstrat=,-0.410604, actvprof=,1.506667, id=,B04, PRDE,actvstrat=,0.877098, actvprof=,1.921667, id=,B05, PRDE,actvstrat=,-0.970748, actvprof=,2.600833, id=,B06, PRDE,actvstrat=,0.536139, actvprof=,2.326389, id=,B07, PRDE,actvstrat=,-0.460010, actvprof=,1.406389, id=,B08, PRDE,actvstrat=,0.385553, actvprof=,1.974167, id=,B09, PRDE,actvstrat=,-0.827153, actvprof=,2.259722, id=,S00, PRDE,actvstrat=,0.203083, actvprof=,7.353889, id=,S01, PRDE,actvstrat=,-0.091968, actvprof=,5.148611, id=,S02, PRDE,actvstrat=,-0.474039, actvprof=,3.899167, id=,S03, PRDE,actvstrat=,0.810213, actvprof=,10.047778, id=,S04, PRDE,actvstrat=,-0.258696, actvprof=,4.221389, id=,S05, PRDE,actvstrat=,-0.829251, actvprof=,1.668333, id=,S06, PRDE,actvstrat=,-0.484450, actvprof=,3.962500, id=,S07, PRDE,actvstrat=,-0.081174, actvprof=,5.282222, id=,S08, PRDE,actvstrat=,-0.989356, actvprof=,2.744167, id=,S09, PRDE,actvstrat=,0.197151, actvprof=,7.329167, best_B_id=,B05, best_B_prof=,2.600833, best_B_strat=,-0.970748, best_S_id=,S03, best_S_prof=,10.047778, best_S_strat=,0.810213, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.405277, actvprof=,1.360436, id=,B01, PRDE,actvstrat=,-0.116154, actvprof=,1.418631, id=,B02, PRDE,actvstrat=,-0.084695, actvprof=,1.517660, id=,B03, PRDE,actvstrat=,-0.410604, actvprof=,1.391547, id=,B04, PRDE,actvstrat=,0.877098, actvprof=,1.872109, id=,B05, PRDE,actvstrat=,-0.970748, actvprof=,2.486562, id=,B06, PRDE,actvstrat=,0.536139, actvprof=,2.140308, id=,B07, PRDE,actvstrat=,-0.460010, actvprof=,1.445159, id=,B08, PRDE,actvstrat=,0.385553, actvprof=,1.814053, id=,B09, PRDE,actvstrat=,-0.827153, actvprof=,2.151697, id=,S00, PRDE,actvstrat=,0.203083, actvprof=,7.261490, id=,S01, PRDE,actvstrat=,-0.091968, actvprof=,5.148544, id=,S02, PRDE,actvstrat=,-0.474039, actvprof=,3.795886, id=,S03, PRDE,actvstrat=,0.810213, actvprof=,10.125974, id=,S04, PRDE,actvstrat=,-0.258696, actvprof=,4.097418, id=,S05, PRDE,actvstrat=,-0.829251, actvprof=,1.546549, id=,S06, PRDE,actvstrat=,-0.484450, actvprof=,3.752830, id=,S07, PRDE,actvstrat=,-0.081174, actvprof=,5.096321, id=,S08, PRDE,actvstrat=,-0.989356, actvprof=,2.471840, id=,S09, PRDE,actvstrat=,0.197151, actvprof=,7.105932, best_B_id=,B05, best_B_prof=,2.486562, best_B_strat=,-0.970748, best_S_id=,S03, best_S_prof=,10.125974, best_S_strat=,0.810213, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.917094, actvprof=,3.800436, id=,B01, PRDE,actvstrat=,0.070847, actvprof=,2.391766, id=,B02, PRDE,actvstrat=,0.075504, actvprof=,2.332319, id=,B03, PRDE,actvstrat=,-0.570119, actvprof=,2.606220, id=,B04, PRDE,actvstrat=,-0.304843, actvprof=,2.097310, id=,B05, PRDE,actvstrat=,0.846389, actvprof=,2.681501, id=,B06, PRDE,actvstrat=,-0.592143, actvprof=,2.380933, id=,B07, PRDE,actvstrat=,-0.861279, actvprof=,3.507368, id=,B08, PRDE,actvstrat=,-0.080469, actvprof=,2.422879, id=,B09, PRDE,actvstrat=,-0.082654, actvprof=,2.370932, id=,S00, PRDE,actvstrat=,0.815218, actvprof=,9.151215, id=,S01, PRDE,actvstrat=,-0.136113, actvprof=,3.952109, id=,S02, PRDE,actvstrat=,0.650650, actvprof=,7.937553, id=,S03, PRDE,actvstrat=,-0.463283, actvprof=,2.635110, id=,S04, PRDE,actvstrat=,0.336549, actvprof=,6.601942, id=,S05, PRDE,actvstrat=,0.715745, actvprof=,8.635082, id=,S06, PRDE,actvstrat=,-0.583651, actvprof=,2.361487, id=,S07, PRDE,actvstrat=,0.418105, actvprof=,7.055294, id=,S08, PRDE,actvstrat=,-0.475693, actvprof=,2.889287, id=,S09, PRDE,actvstrat=,-0.652335, actvprof=,2.259261, best_B_id=,B00, best_B_prof=,3.800436, best_B_strat=,-0.917094, best_S_id=,S00, best_S_prof=,9.151215, best_S_strat=,0.815218, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.917094, actvprof=,3.696466, id=,B01, PRDE,actvstrat=,0.070847, actvprof=,2.395883, id=,B02, PRDE,actvstrat=,0.075504, actvprof=,2.371855, id=,B03, PRDE,actvstrat=,-0.570119, actvprof=,2.506024, id=,B04, PRDE,actvstrat=,-0.304843, actvprof=,2.133378, id=,B05, PRDE,actvstrat=,0.846389, actvprof=,2.645472, id=,B06, PRDE,actvstrat=,-0.592143, actvprof=,2.479496, id=,B07, PRDE,actvstrat=,-0.861279, actvprof=,3.509518, id=,B08, PRDE,actvstrat=,-0.080469, actvprof=,2.418384, id=,B09, PRDE,actvstrat=,-0.082654, actvprof=,2.320465, id=,S00, PRDE,actvstrat=,0.815218, actvprof=,9.053244, id=,S01, PRDE,actvstrat=,-0.136113, actvprof=,3.840080, id=,S02, PRDE,actvstrat=,0.650650, actvprof=,8.170309, id=,S03, PRDE,actvstrat=,-0.463283, actvprof=,2.740335, id=,S04, PRDE,actvstrat=,0.336549, actvprof=,6.428884, id=,S05, PRDE,actvstrat=,0.715745, actvprof=,8.586984, id=,S06, PRDE,actvstrat=,-0.583651, actvprof=,2.398939, id=,S07, PRDE,actvstrat=,0.418105, actvprof=,6.910283, id=,S08, PRDE,actvstrat=,-0.475693, actvprof=,2.866171, id=,S09, PRDE,actvstrat=,-0.652335, actvprof=,2.396161, best_B_id=,B00, best_B_prof=,3.696466, best_B_strat=,-0.917094, best_S_id=,S00, best_S_prof=,9.053244, best_S_strat=,0.815218, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.418362, id=,B01, PRDE,actvstrat=,-0.938331, actvprof=,1.189249, id=,B02, PRDE,actvstrat=,-0.977241, actvprof=,1.235086, id=,B03, PRDE,actvstrat=,0.906882, actvprof=,0.971179, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.459754, id=,B05, PRDE,actvstrat=,-0.609166, actvprof=,0.923120, id=,B06, PRDE,actvstrat=,0.525213, actvprof=,1.159247, id=,B07, PRDE,actvstrat=,-0.320245, actvprof=,0.611709, id=,B08, PRDE,actvstrat=,0.774644, actvprof=,1.151191, id=,B09, PRDE,actvstrat=,0.156416, actvprof=,0.697826, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,13.111188, id=,S01, PRDE,actvstrat=,-0.606884, actvprof=,4.129176, id=,S02, PRDE,actvstrat=,0.000562, actvprof=,7.906938, id=,S03, PRDE,actvstrat=,-0.699321, actvprof=,3.659421, id=,S04, PRDE,actvstrat=,-0.354990, actvprof=,4.690604, id=,S05, PRDE,actvstrat=,-0.633545, actvprof=,4.011667, id=,S06, PRDE,actvstrat=,0.916138, actvprof=,12.979512, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,2.919369, id=,S08, PRDE,actvstrat=,-0.613446, actvprof=,3.868880, id=,S09, PRDE,actvstrat=,0.635209, actvprof=,11.511911, best_B_id=,B02, best_B_prof=,1.235086, best_B_strat=,-0.977241, best_S_id=,S00, best_S_prof=,13.111188, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.392514, id=,B01, PRDE,actvstrat=,-0.938331, actvprof=,1.358519, id=,B02, PRDE,actvstrat=,-0.977241, actvprof=,1.295462, id=,B03, PRDE,actvstrat=,0.906882, actvprof=,1.027397, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.427793, id=,B05, PRDE,actvstrat=,-0.609166, actvprof=,0.857808, id=,B06, PRDE,actvstrat=,0.525213, actvprof=,1.081982, id=,B07, PRDE,actvstrat=,-0.320245, actvprof=,0.622244, id=,B08, PRDE,actvstrat=,0.774644, actvprof=,1.149623, id=,B09, PRDE,actvstrat=,0.156416, actvprof=,0.729331, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,12.891142, id=,S01, PRDE,actvstrat=,-0.606884, actvprof=,4.310844, id=,S02, PRDE,actvstrat=,0.000562, actvprof=,7.837494, id=,S03, PRDE,actvstrat=,-0.699321, actvprof=,3.715962, id=,S04, PRDE,actvstrat=,-0.354990, actvprof=,5.007674, id=,S05, PRDE,actvstrat=,-0.633545, actvprof=,4.158894, id=,S06, PRDE,actvstrat=,0.916138, actvprof=,13.106844, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,3.098996, id=,S08, PRDE,actvstrat=,-0.613446, actvprof=,3.905552, id=,S09, PRDE,actvstrat=,0.635209, actvprof=,11.393312, best_B_id=,B01, best_B_prof=,1.358519, best_B_strat=,-0.938331, best_S_id=,S06, best_S_prof=,13.106844, best_S_strat=,0.916138, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.601749, actvprof=,1.499549, id=,B01, PRDE,actvstrat=,0.381661, actvprof=,2.012084, id=,B02, PRDE,actvstrat=,-0.688641, actvprof=,1.750399, id=,B03, PRDE,actvstrat=,-0.654569, actvprof=,1.613723, id=,B04, PRDE,actvstrat=,-0.349556, actvprof=,1.325648, id=,B05, PRDE,actvstrat=,-0.711538, actvprof=,1.628169, id=,B06, PRDE,actvstrat=,-0.758343, actvprof=,2.068477, id=,B07, PRDE,actvstrat=,-0.762797, actvprof=,1.826794, id=,B08, PRDE,actvstrat=,-0.080469, actvprof=,1.628169, id=,B09, PRDE,actvstrat=,0.384517, actvprof=,2.032363, id=,S00, PRDE,actvstrat=,-0.310864, actvprof=,2.643795, id=,S01, PRDE,actvstrat=,-0.579319, actvprof=,2.157928, id=,S02, PRDE,actvstrat=,-0.172379, actvprof=,3.197722, id=,S03, PRDE,actvstrat=,-0.643424, actvprof=,2.328217, id=,S04, PRDE,actvstrat=,-0.112677, actvprof=,3.783040, id=,S05, PRDE,actvstrat=,-0.857699, actvprof=,0.504757, id=,S06, PRDE,actvstrat=,-0.101828, actvprof=,3.667755, id=,S07, PRDE,actvstrat=,-0.048951, actvprof=,4.696437, id=,S08, PRDE,actvstrat=,0.196918, actvprof=,6.107924, id=,S09, PRDE,actvstrat=,0.746445, actvprof=,8.641989, best_B_id=,B06, best_B_prof=,2.068477, best_B_strat=,-0.758343, best_S_id=,S09, best_S_prof=,8.641989, best_S_strat=,0.746445, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.601749, actvprof=,1.499924, id=,B01, PRDE,actvstrat=,0.381661, actvprof=,2.027307, id=,B02, PRDE,actvstrat=,-0.688641, actvprof=,1.757712, id=,B03, PRDE,actvstrat=,-0.654569, actvprof=,1.612984, id=,B04, PRDE,actvstrat=,-0.349556, actvprof=,1.407975, id=,B05, PRDE,actvstrat=,-0.711538, actvprof=,1.698404, id=,B06, PRDE,actvstrat=,-0.758343, actvprof=,2.024390, id=,B07, PRDE,actvstrat=,-0.762797, actvprof=,1.774796, id=,B08, PRDE,actvstrat=,-0.080469, actvprof=,1.613401, id=,B09, PRDE,actvstrat=,0.384517, actvprof=,2.122033, id=,S00, PRDE,actvstrat=,-0.310864, actvprof=,2.782755, id=,S01, PRDE,actvstrat=,-0.579319, actvprof=,2.329542, id=,S02, PRDE,actvstrat=,-0.172379, actvprof=,3.290970, id=,S03, PRDE,actvstrat=,-0.643424, actvprof=,2.238843, id=,S04, PRDE,actvstrat=,-0.112677, actvprof=,3.777380, id=,S05, PRDE,actvstrat=,-0.857699, actvprof=,0.486409, id=,S06, PRDE,actvstrat=,-0.101828, actvprof=,3.830298, id=,S07, PRDE,actvstrat=,-0.048951, actvprof=,4.602970, id=,S08, PRDE,actvstrat=,0.196918, actvprof=,5.878162, id=,S09, PRDE,actvstrat=,0.746445, actvprof=,8.701613, best_B_id=,B09, best_B_prof=,2.122033, best_B_strat=,0.384517, best_S_id=,S09, best_S_prof=,8.701613, best_S_strat=,0.746445, 
