t=,3600, id=,B00, PRDE,actvstrat=,0.094301, actvprof=,1.835556, id=,B01, PRDE,actvstrat=,0.908321, actvprof=,1.698333, id=,B02, PRDE,actvstrat=,0.198204, actvprof=,1.795000, id=,B03, PRDE,actvstrat=,0.907315, actvprof=,1.760833, id=,B04, PRDE,actvstrat=,-0.695197, actvprof=,2.315000, id=,B05, PRDE,actvstrat=,-0.520785, actvprof=,1.852222, id=,B06, PRDE,actvstrat=,0.118069, actvprof=,1.687500, id=,B07, PRDE,actvstrat=,0.928783, actvprof=,1.531111, id=,B08, PRDE,actvstrat=,0.471802, actvprof=,2.113056, id=,B09, PRDE,actvstrat=,-0.685167, actvprof=,2.115556, id=,S00, PRDE,actvstrat=,0.493303, actvprof=,9.326944, id=,S01, PRDE,actvstrat=,0.051842, actvprof=,7.179722, id=,S02, PRDE,actvstrat=,0.610703, actvprof=,10.283611, id=,S03, PRDE,actvstrat=,-0.438890, actvprof=,4.350000, id=,S04, PRDE,actvstrat=,-0.436835, actvprof=,4.998889, id=,S05, PRDE,actvstrat=,-0.279020, actvprof=,4.930833, id=,S06, PRDE,actvstrat=,0.919160, actvprof=,11.128889, id=,S07, PRDE,actvstrat=,0.424968, actvprof=,9.144444, id=,S08, PRDE,actvstrat=,-0.716316, actvprof=,3.543889, id=,S09, PRDE,actvstrat=,-0.913931, actvprof=,1.341944, best_B_id=,B04, best_B_prof=,2.315000, best_B_strat=,-0.695197, best_S_id=,S06, best_S_prof=,11.128889, best_S_strat=,0.919160, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.927907, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.675716, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.813109, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.016909, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.594059, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.379984, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.006588, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.944452, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.444942, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.738404, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.748972, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.340190, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.986299, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.169274, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.682620, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.418644, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.532902, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.030426, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.797491, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.467165, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.927907, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.748972, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.927907, actvprof=,0.983001, id=,B01, PRDE,actvstrat=,0.675716, actvprof=,0.673296, id=,B02, PRDE,actvstrat=,0.813109, actvprof=,0.736070, id=,B03, PRDE,actvstrat=,-0.016909, actvprof=,0.316927, id=,B04, PRDE,actvstrat=,0.594059, actvprof=,0.667741, id=,B05, PRDE,actvstrat=,0.379984, actvprof=,0.449975, id=,B06, PRDE,actvstrat=,-0.006588, actvprof=,0.305539, id=,B07, PRDE,actvstrat=,0.944452, actvprof=,0.700517, id=,B08, PRDE,actvstrat=,0.444942, actvprof=,0.521082, id=,B09, PRDE,actvstrat=,0.738404, actvprof=,0.769679, id=,S00, PRDE,actvstrat=,-0.748972, actvprof=,3.231209, id=,S01, PRDE,actvstrat=,-0.340190, actvprof=,4.818621, id=,S02, PRDE,actvstrat=,-0.986299, actvprof=,0.783012, id=,S03, PRDE,actvstrat=,0.169274, actvprof=,8.149825, id=,S04, PRDE,actvstrat=,-0.682620, actvprof=,3.909505, id=,S05, PRDE,actvstrat=,0.418644, actvprof=,9.906116, id=,S06, PRDE,actvstrat=,-0.532902, actvprof=,4.330871, id=,S07, PRDE,actvstrat=,0.030426, actvprof=,7.626799, id=,S08, PRDE,actvstrat=,-0.797491, actvprof=,2.087106, id=,S09, PRDE,actvstrat=,-0.467165, actvprof=,5.163324, best_B_id=,B00, best_B_prof=,0.983001, best_B_strat=,-0.927907, best_S_id=,S05, best_S_prof=,9.906116, best_S_strat=,0.418644, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.927907, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.257695, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.198204, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.497003, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.710846, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.089273, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.966474, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.094943, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.360945, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.703625, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.104476, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.958842, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.837022, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.953756, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.957319, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.418644, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.298490, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.030426, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.178630, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.467165, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.927907, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.104476, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.927907, actvprof=,1.835505, id=,B01, PRDE,actvstrat=,0.257695, actvprof=,1.188578, id=,B02, PRDE,actvstrat=,0.198204, actvprof=,0.922474, id=,B03, PRDE,actvstrat=,-0.497003, actvprof=,0.844143, id=,B04, PRDE,actvstrat=,0.710846, actvprof=,1.627177, id=,B05, PRDE,actvstrat=,-0.089273, actvprof=,0.946085, id=,B06, PRDE,actvstrat=,0.966474, actvprof=,0.856365, id=,B07, PRDE,actvstrat=,0.094943, actvprof=,0.854976, id=,B08, PRDE,actvstrat=,-0.360945, actvprof=,0.695536, id=,B09, PRDE,actvstrat=,-0.703625, actvprof=,0.935252, id=,S00, PRDE,actvstrat=,0.104476, actvprof=,6.985362, id=,S01, PRDE,actvstrat=,-0.958842, actvprof=,0.610261, id=,S02, PRDE,actvstrat=,-0.837022, actvprof=,1.277187, id=,S03, PRDE,actvstrat=,-0.953756, actvprof=,0.487764, id=,S04, PRDE,actvstrat=,-0.957319, actvprof=,0.586373, id=,S05, PRDE,actvstrat=,0.418644, actvprof=,8.901975, id=,S06, PRDE,actvstrat=,0.298490, actvprof=,7.966723, id=,S07, PRDE,actvstrat=,0.030426, actvprof=,6.935085, id=,S08, PRDE,actvstrat=,0.178630, actvprof=,7.655343, id=,S09, PRDE,actvstrat=,-0.467165, actvprof=,3.619622, best_B_id=,B00, best_B_prof=,1.835505, best_B_strat=,-0.927907, best_S_id=,S05, best_S_prof=,8.901975, best_S_strat=,0.418644, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.927907, actvprof=,1.933889, id=,B01, PRDE,actvstrat=,0.257695, actvprof=,1.085694, id=,B02, PRDE,actvstrat=,0.198204, actvprof=,0.961250, id=,B03, PRDE,actvstrat=,-0.497003, actvprof=,0.815972, id=,B04, PRDE,actvstrat=,0.710846, actvprof=,1.585139, id=,B05, PRDE,actvstrat=,-0.089273, actvprof=,0.888333, id=,B06, PRDE,actvstrat=,0.966474, actvprof=,0.864861, id=,B07, PRDE,actvstrat=,0.094943, actvprof=,0.886667, id=,B08, PRDE,actvstrat=,-0.360945, actvprof=,0.705833, id=,B09, PRDE,actvstrat=,-0.703625, actvprof=,1.020694, id=,S00, PRDE,actvstrat=,0.104476, actvprof=,7.057778, id=,S01, PRDE,actvstrat=,-0.958842, actvprof=,0.624861, id=,S02, PRDE,actvstrat=,-0.837022, actvprof=,1.315694, id=,S03, PRDE,actvstrat=,-0.953756, actvprof=,0.565694, id=,S04, PRDE,actvstrat=,-0.957319, actvprof=,0.666806, id=,S05, PRDE,actvstrat=,0.418644, actvprof=,8.952222, id=,S06, PRDE,actvstrat=,0.298490, actvprof=,7.984444, id=,S07, PRDE,actvstrat=,0.030426, actvprof=,6.878611, id=,S08, PRDE,actvstrat=,0.178630, actvprof=,7.646250, id=,S09, PRDE,actvstrat=,-0.467165, actvprof=,3.614861, best_B_id=,B00, best_B_prof=,1.933889, best_B_strat=,-0.927907, best_S_id=,S05, best_S_prof=,8.952222, best_S_strat=,0.418644, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.235541, actvprof=,1.439187, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,1.452798, id=,B02, PRDE,actvstrat=,0.746974, actvprof=,2.268643, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.320574, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,2.049473, id=,B05, PRDE,actvstrat=,-0.568589, actvprof=,1.426131, id=,B06, PRDE,actvstrat=,0.690226, actvprof=,2.147252, id=,B07, PRDE,actvstrat=,-0.788362, actvprof=,1.805581, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.062251, id=,B09, PRDE,actvstrat=,-0.017624, actvprof=,1.393075, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.388978, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,11.445437, id=,S02, PRDE,actvstrat=,0.475827, actvprof=,8.779566, id=,S03, PRDE,actvstrat=,-0.144533, actvprof=,4.840623, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,6.573702, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,6.486757, id=,S06, PRDE,actvstrat=,0.023906, actvprof=,6.468423, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,6.127307, id=,S08, PRDE,actvstrat=,-0.039256, actvprof=,5.934527, id=,S09, PRDE,actvstrat=,0.010317, actvprof=,6.546480, best_B_id=,B02, best_B_prof=,2.268643, best_B_strat=,0.746974, best_S_id=,S01, best_S_prof=,11.445437, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.235541, actvprof=,1.347509, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,1.423621, id=,B02, PRDE,actvstrat=,0.746974, actvprof=,2.155154, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.302787, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,2.110154, id=,B05, PRDE,actvstrat=,-0.568589, actvprof=,1.367648, id=,B06, PRDE,actvstrat=,0.690226, actvprof=,2.118765, id=,B07, PRDE,actvstrat=,-0.788362, actvprof=,1.693067, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.040570, id=,B09, PRDE,actvstrat=,-0.017624, actvprof=,1.395843, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.595324, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,11.494663, id=,S02, PRDE,actvstrat=,0.475827, actvprof=,8.839645, id=,S03, PRDE,actvstrat=,-0.144533, actvprof=,4.633504, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,6.516156, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,6.699630, id=,S06, PRDE,actvstrat=,0.023906, actvprof=,6.581712, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,6.502823, id=,S08, PRDE,actvstrat=,-0.039256, actvprof=,5.742679, id=,S09, PRDE,actvstrat=,0.010317, actvprof=,6.694908, best_B_id=,B02, best_B_prof=,2.155154, best_B_strat=,0.746974, best_S_id=,S01, best_S_prof=,11.494663, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.540824, actvprof=,2.418922, id=,B01, PRDE,actvstrat=,0.908321, actvprof=,2.137530, id=,B02, PRDE,actvstrat=,0.519222, actvprof=,2.796706, id=,B03, PRDE,actvstrat=,0.907315, actvprof=,2.268643, id=,B04, PRDE,actvstrat=,-0.196356, actvprof=,2.107251, id=,B05, PRDE,actvstrat=,-0.520785, actvprof=,2.430867, id=,B06, PRDE,actvstrat=,-0.307114, actvprof=,2.262254, id=,B07, PRDE,actvstrat=,-0.396466, actvprof=,2.557536, id=,B08, PRDE,actvstrat=,-0.748123, actvprof=,3.075876, id=,B09, PRDE,actvstrat=,0.204479, actvprof=,2.567536, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.047292, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,9.797914, id=,S02, PRDE,actvstrat=,0.610703, actvprof=,8.100113, id=,S03, PRDE,actvstrat=,0.668653, actvprof=,8.533174, id=,S04, PRDE,actvstrat=,-0.576346, actvprof=,2.790872, id=,S05, PRDE,actvstrat=,-0.891300, actvprof=,0.636953, id=,S06, PRDE,actvstrat=,0.919160, actvprof=,10.163752, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,5.044237, id=,S08, PRDE,actvstrat=,0.359573, actvprof=,6.974819, id=,S09, PRDE,actvstrat=,-0.926044, actvprof=,0.488896, best_B_id=,B08, best_B_prof=,3.075876, best_B_strat=,-0.748123, best_S_id=,S06, best_S_prof=,10.163752, best_S_strat=,0.919160, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.540824, actvprof=,2.611286, id=,B01, PRDE,actvstrat=,0.908321, actvprof=,2.096279, id=,B02, PRDE,actvstrat=,0.519222, actvprof=,2.757399, id=,B03, PRDE,actvstrat=,0.907315, actvprof=,2.289337, id=,B04, PRDE,actvstrat=,-0.196356, actvprof=,2.148919, id=,B05, PRDE,actvstrat=,-0.520785, actvprof=,2.384061, id=,B06, PRDE,actvstrat=,-0.307114, actvprof=,2.306004, id=,B07, PRDE,actvstrat=,-0.396466, actvprof=,2.453367, id=,B08, PRDE,actvstrat=,-0.748123, actvprof=,3.163099, id=,B09, PRDE,actvstrat=,0.204479, actvprof=,2.577258, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.270351, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,9.705829, id=,S02, PRDE,actvstrat=,0.610703, actvprof=,8.244281, id=,S03, PRDE,actvstrat=,0.668653, actvprof=,8.611370, id=,S04, PRDE,actvstrat=,-0.576346, actvprof=,2.621981, id=,S05, PRDE,actvstrat=,-0.891300, actvprof=,0.638064, id=,S06, PRDE,actvstrat=,0.919160, actvprof=,10.053056, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,5.206739, id=,S08, PRDE,actvstrat=,0.359573, actvprof=,7.048848, id=,S09, PRDE,actvstrat=,-0.926044, actvprof=,0.635842, best_B_id=,B08, best_B_prof=,3.163099, best_B_strat=,-0.748123, best_S_id=,S06, best_S_prof=,10.053056, best_S_strat=,0.919160, 
t=,39600, id=,B00, PRDE,actvstrat=,-0.540824, actvprof=,4.633249, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,3.997111, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,2.022584, id=,B03, PRDE,actvstrat=,-0.113710, actvprof=,4.017390, id=,B04, PRDE,actvstrat=,-0.938558, actvprof=,4.158507, id=,B05, PRDE,actvstrat=,0.251619, actvprof=,4.291568, id=,B06, PRDE,actvstrat=,-0.307114, actvprof=,4.245455, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.315096, id=,B08, PRDE,actvstrat=,-0.062927, actvprof=,4.102949, id=,B09, PRDE,actvstrat=,-0.239727, actvprof=,4.311013, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,9.065100, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.505702, id=,S02, PRDE,actvstrat=,0.586309, actvprof=,7.420309, id=,S03, PRDE,actvstrat=,0.951141, actvprof=,9.142048, id=,S04, PRDE,actvstrat=,-0.511274, actvprof=,2.685945, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,9.328166, id=,S06, PRDE,actvstrat=,0.919160, actvprof=,9.546787, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,9.149548, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,3.265969, id=,S09, PRDE,actvstrat=,-0.827421, actvprof=,1.155326, best_B_id=,B00, best_B_prof=,4.633249, best_B_strat=,-0.540824, best_S_id=,S06, best_S_prof=,9.546787, best_S_strat=,0.919160, 
