t=,1, id=,B00, PRDE,actvstrat=,0.985520, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.136838, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.679686, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.255298, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.835615, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.911403, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.768285, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.792786, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.608143, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.153962, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.335366, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.105380, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.279208, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.761539, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.621205, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.237632, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.930665, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.706374, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.705022, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.645104, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.985520, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.335366, 
t=,3600, id=,B00, PRDE,actvstrat=,0.985520, actvprof=,0.853056, id=,B01, PRDE,actvstrat=,0.136838, actvprof=,1.286944, id=,B02, PRDE,actvstrat=,-0.679686, actvprof=,1.478611, id=,B03, PRDE,actvstrat=,0.255298, actvprof=,1.415000, id=,B04, PRDE,actvstrat=,-0.835615, actvprof=,2.035278, id=,B05, PRDE,actvstrat=,0.911403, actvprof=,1.467222, id=,B06, PRDE,actvstrat=,0.768285, actvprof=,1.763333, id=,B07, PRDE,actvstrat=,0.792786, actvprof=,1.680000, id=,B08, PRDE,actvstrat=,-0.608143, actvprof=,1.286667, id=,B09, PRDE,actvstrat=,-0.153962, actvprof=,1.174167, id=,S00, PRDE,actvstrat=,-0.335366, actvprof=,5.992778, id=,S01, PRDE,actvstrat=,-0.105380, actvprof=,7.100556, id=,S02, PRDE,actvstrat=,0.279208, actvprof=,9.202778, id=,S03, PRDE,actvstrat=,0.761539, actvprof=,11.256667, id=,S04, PRDE,actvstrat=,-0.621205, actvprof=,4.955833, id=,S05, PRDE,actvstrat=,0.237632, actvprof=,8.991389, id=,S06, PRDE,actvstrat=,-0.930665, actvprof=,1.471111, id=,S07, PRDE,actvstrat=,-0.706374, actvprof=,4.208056, id=,S08, PRDE,actvstrat=,-0.705022, actvprof=,4.849444, id=,S09, PRDE,actvstrat=,-0.645104, actvprof=,5.442222, best_B_id=,B04, best_B_prof=,2.035278, best_B_strat=,-0.835615, best_S_id=,S03, best_S_prof=,11.256667, best_S_strat=,0.761539, 
t=,7200, id=,B00, PRDE,actvstrat=,0.669999, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.298316, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.397512, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.540588, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.209122, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.367257, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.114580, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.555049, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.656542, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.806486, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.871442, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.440169, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.731704, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.136667, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.011443, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.596258, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.225818, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.492483, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.657646, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.411505, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.669999, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.871442, 
t=,10800, id=,B00, PRDE,actvstrat=,0.669999, actvprof=,1.999972, id=,B01, PRDE,actvstrat=,0.298316, actvprof=,1.550812, id=,B02, PRDE,actvstrat=,-0.397512, actvprof=,1.164706, id=,B03, PRDE,actvstrat=,0.540588, actvprof=,1.876918, id=,B04, PRDE,actvstrat=,0.209122, actvprof=,1.520812, id=,B05, PRDE,actvstrat=,0.367257, actvprof=,1.663310, id=,B06, PRDE,actvstrat=,-0.114580, actvprof=,1.157206, id=,B07, PRDE,actvstrat=,-0.555049, actvprof=,1.346926, id=,B08, PRDE,actvstrat=,-0.656542, actvprof=,1.382481, id=,B09, PRDE,actvstrat=,-0.806486, actvprof=,1.824697, id=,S00, PRDE,actvstrat=,-0.871442, actvprof=,0.681102, id=,S01, PRDE,actvstrat=,0.440169, actvprof=,8.231552, id=,S02, PRDE,actvstrat=,-0.731704, actvprof=,2.171359, id=,S03, PRDE,actvstrat=,-0.136667, actvprof=,4.442161, id=,S04, PRDE,actvstrat=,0.011443, actvprof=,6.159914, id=,S05, PRDE,actvstrat=,0.596258, actvprof=,8.838211, id=,S06, PRDE,actvstrat=,0.225818, actvprof=,6.766017, id=,S07, PRDE,actvstrat=,-0.492483, actvprof=,3.188845, id=,S08, PRDE,actvstrat=,-0.657646, actvprof=,2.488299, id=,S09, PRDE,actvstrat=,-0.411505, actvprof=,3.054958, best_B_id=,B00, best_B_prof=,1.999972, best_B_strat=,0.669999, best_S_id=,S05, best_S_prof=,8.838211, best_S_strat=,0.596258, 
t=,14400, id=,B00, PRDE,actvstrat=,0.669999, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.057753, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.738407, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.157587, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.546937, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.367257, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.387216, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.308802, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.729338, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.806486, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.982901, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.658504, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.156719, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.046046, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.011443, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.596258, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.721639, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.768697, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.097989, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.411505, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.669999, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.982901, 
t=,18000, id=,B00, PRDE,actvstrat=,0.669999, actvprof=,2.655315, id=,B01, PRDE,actvstrat=,-0.057753, actvprof=,1.858637, id=,B02, PRDE,actvstrat=,0.738407, actvprof=,2.613370, id=,B03, PRDE,actvstrat=,-0.157587, actvprof=,1.929749, id=,B04, PRDE,actvstrat=,-0.546937, actvprof=,1.895860, id=,B05, PRDE,actvstrat=,0.367257, actvprof=,2.393922, id=,B06, PRDE,actvstrat=,-0.387216, actvprof=,2.072807, id=,B07, PRDE,actvstrat=,-0.308802, actvprof=,1.978361, id=,B08, PRDE,actvstrat=,-0.729338, actvprof=,2.666981, id=,B09, PRDE,actvstrat=,-0.806486, actvprof=,3.144488, id=,S00, PRDE,actvstrat=,0.982901, actvprof=,9.672079, id=,S01, PRDE,actvstrat=,0.658504, actvprof=,8.301504, id=,S02, PRDE,actvstrat=,-0.156719, actvprof=,3.586439, id=,S03, PRDE,actvstrat=,0.046046, actvprof=,5.438131, id=,S04, PRDE,actvstrat=,0.011443, actvprof=,5.596744, id=,S05, PRDE,actvstrat=,0.596258, actvprof=,7.905943, id=,S06, PRDE,actvstrat=,-0.721639, actvprof=,1.705301, id=,S07, PRDE,actvstrat=,-0.768697, actvprof=,1.718913, id=,S08, PRDE,actvstrat=,-0.097989, actvprof=,4.218670, id=,S09, PRDE,actvstrat=,-0.411505, actvprof=,2.647815, best_B_id=,B09, best_B_prof=,3.144488, best_B_strat=,-0.806486, best_S_id=,S00, best_S_prof=,9.672079, best_S_strat=,0.982901, 
t=,21600, id=,B00, PRDE,actvstrat=,0.669999, actvprof=,2.583768, id=,B01, PRDE,actvstrat=,-0.057753, actvprof=,1.902374, id=,B02, PRDE,actvstrat=,0.738407, actvprof=,2.536129, id=,B03, PRDE,actvstrat=,-0.157587, actvprof=,1.996403, id=,B04, PRDE,actvstrat=,-0.546937, actvprof=,2.052098, id=,B05, PRDE,actvstrat=,0.367257, actvprof=,2.407239, id=,B06, PRDE,actvstrat=,-0.387216, actvprof=,2.049320, id=,B07, PRDE,actvstrat=,-0.308802, actvprof=,1.920291, id=,B08, PRDE,actvstrat=,-0.729338, actvprof=,2.749186, id=,B09, PRDE,actvstrat=,-0.806486, actvprof=,3.050438, id=,S00, PRDE,actvstrat=,0.982901, actvprof=,9.652706, id=,S01, PRDE,actvstrat=,0.658504, actvprof=,8.317141, id=,S02, PRDE,actvstrat=,-0.156719, actvprof=,3.681831, id=,S03, PRDE,actvstrat=,0.046046, actvprof=,5.503788, id=,S04, PRDE,actvstrat=,0.011443, actvprof=,5.555733, id=,S05, PRDE,actvstrat=,0.596258, actvprof=,8.099084, id=,S06, PRDE,actvstrat=,-0.721639, actvprof=,1.844735, id=,S07, PRDE,actvstrat=,-0.768697, actvprof=,1.561122, id=,S08, PRDE,actvstrat=,-0.097989, actvprof=,4.129612, id=,S09, PRDE,actvstrat=,-0.411505, actvprof=,2.729741, best_B_id=,B09, best_B_prof=,3.050438, best_B_strat=,-0.806486, best_S_id=,S00, best_S_prof=,9.652706, best_S_strat=,0.982901, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.157131, actvprof=,2.575663, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,2.839007, id=,B02, PRDE,actvstrat=,0.007494, actvprof=,2.402878, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.674750, id=,B04, PRDE,actvstrat=,-0.268769, actvprof=,2.826229, id=,B05, PRDE,actvstrat=,-0.705467, actvprof=,3.973499, id=,B06, PRDE,actvstrat=,0.671165, actvprof=,3.152909, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.905315, id=,B08, PRDE,actvstrat=,0.448003, actvprof=,2.980124, id=,B09, PRDE,actvstrat=,0.340620, actvprof=,3.208189, id=,S00, PRDE,actvstrat=,-0.319459, actvprof=,3.502368, id=,S01, PRDE,actvstrat=,-0.237414, actvprof=,4.285179, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,10.879342, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,10.775171, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,10.945734, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,10.846841, id=,S06, PRDE,actvstrat=,-0.880358, actvprof=,0.885592, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,10.812673, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,1.807575, id=,S09, PRDE,actvstrat=,0.134583, actvprof=,6.902788, best_B_id=,B05, best_B_prof=,3.973499, best_B_strat=,-0.705467, best_S_id=,S04, best_S_prof=,10.945734, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.157131, actvprof=,2.743668, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,2.793530, id=,B02, PRDE,actvstrat=,0.007494, actvprof=,2.516997, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.827656, id=,B04, PRDE,actvstrat=,-0.268769, actvprof=,2.787280, id=,B05, PRDE,actvstrat=,-0.705467, actvprof=,3.871192, id=,B06, PRDE,actvstrat=,0.671165, actvprof=,3.097287, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.875296, id=,B08, PRDE,actvstrat=,0.448003, actvprof=,3.002979, id=,B09, PRDE,actvstrat=,0.340620, actvprof=,3.176316, id=,S00, PRDE,actvstrat=,-0.319459, actvprof=,3.866608, id=,S01, PRDE,actvstrat=,-0.237414, actvprof=,4.105224, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,10.878143, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,10.809253, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,10.741890, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,10.835920, id=,S06, PRDE,actvstrat=,-0.880358, actvprof=,0.774877, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,11.032174, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,2.058793, id=,S09, PRDE,actvstrat=,0.134583, actvprof=,6.895838, best_B_id=,B05, best_B_prof=,3.871192, best_B_strat=,-0.705467, best_S_id=,S07, best_S_prof=,11.032174, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.014972, actvprof=,2.995958, id=,B01, PRDE,actvstrat=,0.298316, actvprof=,3.389586, id=,B02, PRDE,actvstrat=,0.073372, actvprof=,3.007070, id=,B03, PRDE,actvstrat=,-0.835147, actvprof=,4.576302, id=,B04, PRDE,actvstrat=,0.209122, actvprof=,3.337917, id=,B05, PRDE,actvstrat=,-0.705467, actvprof=,4.402406, id=,B06, PRDE,actvstrat=,0.671165, actvprof=,3.244857, id=,B07, PRDE,actvstrat=,0.151615, actvprof=,2.982624, id=,B08, PRDE,actvstrat=,-0.656542, actvprof=,4.114894, id=,B09, PRDE,actvstrat=,0.394792, actvprof=,3.449866, id=,S00, PRDE,actvstrat=,0.158291, actvprof=,5.563843, id=,S01, PRDE,actvstrat=,0.391464, actvprof=,6.570274, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,8.922594, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,9.177049, id=,S04, PRDE,actvstrat=,0.978069, actvprof=,9.035654, id=,S05, PRDE,actvstrat=,0.925638, actvprof=,9.378446, id=,S06, PRDE,actvstrat=,0.225818, actvprof=,6.248871, id=,S07, PRDE,actvstrat=,-0.548214, actvprof=,2.435101, id=,S08, PRDE,actvstrat=,-0.657646, actvprof=,1.829243, id=,S09, PRDE,actvstrat=,-0.178498, actvprof=,3.630429, best_B_id=,B03, best_B_prof=,4.576302, best_B_strat=,-0.835147, best_S_id=,S05, best_S_prof=,9.378446, best_S_strat=,0.925638, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.014972, actvprof=,2.942978, id=,B01, PRDE,actvstrat=,0.298316, actvprof=,3.460905, id=,B02, PRDE,actvstrat=,0.073372, actvprof=,3.036452, id=,B03, PRDE,actvstrat=,-0.835147, actvprof=,4.679959, id=,B04, PRDE,actvstrat=,0.209122, actvprof=,3.266457, id=,B05, PRDE,actvstrat=,-0.705467, actvprof=,4.227866, id=,B06, PRDE,actvstrat=,0.671165, actvprof=,3.301041, id=,B07, PRDE,actvstrat=,0.151615, actvprof=,3.189928, id=,B08, PRDE,actvstrat=,-0.656542, actvprof=,4.170642, id=,B09, PRDE,actvstrat=,0.394792, actvprof=,3.483961, id=,S00, PRDE,actvstrat=,0.158291, actvprof=,5.548727, id=,S01, PRDE,actvstrat=,0.391464, actvprof=,6.706806, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,8.929908, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,9.123523, id=,S04, PRDE,actvstrat=,0.978069, actvprof=,9.000049, id=,S05, PRDE,actvstrat=,0.925638, actvprof=,9.339778, id=,S06, PRDE,actvstrat=,0.225818, actvprof=,6.167490, id=,S07, PRDE,actvstrat=,-0.548214, actvprof=,2.289214, id=,S08, PRDE,actvstrat=,-0.657646, actvprof=,2.021709, id=,S09, PRDE,actvstrat=,-0.178498, actvprof=,3.436877, best_B_id=,B03, best_B_prof=,4.679959, best_B_strat=,-0.835147, best_S_id=,S05, best_S_prof=,9.339778, best_S_strat=,0.925638, 
