t=,0, id=,B00, PRDE,actvstrat=,-0.770578, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.358309, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.546153, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.688064, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.592000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.250114, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.775575, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.104927, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.795987, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.397176, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.619592, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.043735, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.124441, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.207607, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.978135, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.996548, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.426425, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.767579, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.828065, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.500569, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.770578, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.619592, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.770578, actvprof=,2.658611, id=,B01, PRDE,actvstrat=,-0.358309, actvprof=,1.882778, id=,B02, PRDE,actvstrat=,-0.546153, actvprof=,2.056667, id=,B03, PRDE,actvstrat=,-0.688064, actvprof=,2.569444, id=,B04, PRDE,actvstrat=,0.592000, actvprof=,2.747222, id=,B05, PRDE,actvstrat=,0.250114, actvprof=,2.358889, id=,B06, PRDE,actvstrat=,-0.775575, actvprof=,2.646667, id=,B07, PRDE,actvstrat=,-0.104927, actvprof=,2.038056, id=,B08, PRDE,actvstrat=,0.795987, actvprof=,2.813889, id=,B09, PRDE,actvstrat=,-0.397176, actvprof=,1.882778, id=,S00, PRDE,actvstrat=,0.619592, actvprof=,7.944722, id=,S01, PRDE,actvstrat=,0.043735, actvprof=,5.442500, id=,S02, PRDE,actvstrat=,-0.124441, actvprof=,3.512222, id=,S03, PRDE,actvstrat=,0.207607, actvprof=,5.893056, id=,S04, PRDE,actvstrat=,-0.978135, actvprof=,2.214722, id=,S05, PRDE,actvstrat=,-0.996548, actvprof=,4.572222, id=,S06, PRDE,actvstrat=,-0.426425, actvprof=,2.663333, id=,S07, PRDE,actvstrat=,-0.767579, actvprof=,2.174722, id=,S08, PRDE,actvstrat=,0.828065, actvprof=,9.204444, id=,S09, PRDE,actvstrat=,0.500569, actvprof=,7.167500, best_B_id=,B08, best_B_prof=,2.813889, best_B_strat=,0.795987, best_S_id=,S08, best_S_prof=,9.204444, best_S_strat=,0.828065, 
t=,7200, id=,B00, PRDE,actvstrat=,0.126895, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.443768, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.471491, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.541055, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.119211, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.052465, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.646029, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.573950, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.766105, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.885925, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.734189, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.374104, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.492838, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.025384, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.113186, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.318272, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.581439, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.266915, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.196616, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.118491, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.126895, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.734189, 
t=,10800, id=,B00, PRDE,actvstrat=,0.126895, actvprof=,1.033597, id=,B01, PRDE,actvstrat=,0.443768, actvprof=,1.184428, id=,B02, PRDE,actvstrat=,0.471491, actvprof=,1.234150, id=,B03, PRDE,actvstrat=,-0.541055, actvprof=,0.941376, id=,B04, PRDE,actvstrat=,0.119211, actvprof=,1.144429, id=,B05, PRDE,actvstrat=,-0.052465, actvprof=,1.041374, id=,B06, PRDE,actvstrat=,0.646029, actvprof=,1.514423, id=,B07, PRDE,actvstrat=,0.573950, actvprof=,1.416647, id=,B08, PRDE,actvstrat=,0.766105, actvprof=,1.508868, id=,B09, PRDE,actvstrat=,0.885925, actvprof=,1.303871, id=,S00, PRDE,actvstrat=,-0.734189, actvprof=,2.504965, id=,S01, PRDE,actvstrat=,0.374104, actvprof=,8.993208, id=,S02, PRDE,actvstrat=,0.492838, actvprof=,9.449869, id=,S03, PRDE,actvstrat=,0.025384, actvprof=,6.792961, id=,S04, PRDE,actvstrat=,0.113186, actvprof=,7.535729, id=,S05, PRDE,actvstrat=,-0.318272, actvprof=,4.162442, id=,S06, PRDE,actvstrat=,-0.581439, actvprof=,3.442174, id=,S07, PRDE,actvstrat=,-0.266915, actvprof=,4.011889, id=,S08, PRDE,actvstrat=,-0.196616, actvprof=,4.869655, id=,S09, PRDE,actvstrat=,0.118491, actvprof=,7.335176, best_B_id=,B06, best_B_prof=,1.514423, best_B_strat=,0.646029, best_S_id=,S02, best_S_prof=,9.449869, best_S_strat=,0.492838, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.387948, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.369256, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.372994, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.851898, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.513053, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.175697, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.657942, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.975620, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.369773, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.182248, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.706127, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.729497, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.958069, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.029744, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.459149, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.504649, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.789695, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.075236, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.043226, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.828747, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.387948, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.706127, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.387948, actvprof=,0.785267, id=,B01, PRDE,actvstrat=,-0.369256, actvprof=,0.817211, id=,B02, PRDE,actvstrat=,0.372994, actvprof=,1.241372, id=,B03, PRDE,actvstrat=,0.851898, actvprof=,1.466646, id=,B04, PRDE,actvstrat=,0.513053, actvprof=,1.317759, id=,B05, PRDE,actvstrat=,-0.175697, actvprof=,0.840822, id=,B06, PRDE,actvstrat=,0.657942, actvprof=,1.430258, id=,B07, PRDE,actvstrat=,-0.975620, actvprof=,1.799142, id=,B08, PRDE,actvstrat=,-0.369773, actvprof=,0.753045, id=,B09, PRDE,actvstrat=,0.182248, actvprof=,0.982486, id=,S00, PRDE,actvstrat=,-0.706127, actvprof=,2.858016, id=,S01, PRDE,actvstrat=,0.729497, actvprof=,10.568464, id=,S02, PRDE,actvstrat=,-0.958069, actvprof=,0.457216, id=,S03, PRDE,actvstrat=,0.029744, actvprof=,6.844627, id=,S04, PRDE,actvstrat=,-0.459149, actvprof=,3.843002, id=,S05, PRDE,actvstrat=,0.504649, actvprof=,9.183761, id=,S06, PRDE,actvstrat=,-0.789695, actvprof=,1.717476, id=,S07, PRDE,actvstrat=,-0.075236, actvprof=,5.685754, id=,S08, PRDE,actvstrat=,-0.043226, actvprof=,5.966028, id=,S09, PRDE,actvstrat=,-0.828747, actvprof=,1.174150, best_B_id=,B07, best_B_prof=,1.799142, best_B_strat=,-0.975620, best_S_id=,S01, best_S_prof=,10.568464, best_S_strat=,0.729497, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.387948, actvprof=,0.796817, id=,B01, PRDE,actvstrat=,-0.369256, actvprof=,0.844317, id=,B02, PRDE,actvstrat=,0.372994, actvprof=,1.209183, id=,B03, PRDE,actvstrat=,0.851898, actvprof=,1.434048, id=,B04, PRDE,actvstrat=,0.513053, actvprof=,1.360852, id=,B05, PRDE,actvstrat=,-0.175697, actvprof=,0.789039, id=,B06, PRDE,actvstrat=,0.657942, actvprof=,1.461409, id=,B07, PRDE,actvstrat=,-0.975620, actvprof=,1.799469, id=,B08, PRDE,actvstrat=,-0.369773, actvprof=,0.749177, id=,B09, PRDE,actvstrat=,0.182248, actvprof=,0.985153, id=,S00, PRDE,actvstrat=,-0.706127, actvprof=,2.839484, id=,S01, PRDE,actvstrat=,0.729497, actvprof=,10.711677, id=,S02, PRDE,actvstrat=,-0.958069, actvprof=,0.502090, id=,S03, PRDE,actvstrat=,0.029744, actvprof=,6.776900, id=,S04, PRDE,actvstrat=,-0.459149, actvprof=,3.693801, id=,S05, PRDE,actvstrat=,0.504649, actvprof=,9.039848, id=,S06, PRDE,actvstrat=,-0.789695, actvprof=,1.698079, id=,S07, PRDE,actvstrat=,-0.075236, actvprof=,5.558272, id=,S08, PRDE,actvstrat=,-0.043226, actvprof=,6.138141, id=,S09, PRDE,actvstrat=,-0.828747, actvprof=,1.257517, best_B_id=,B07, best_B_prof=,1.799469, best_B_strat=,-0.975620, best_S_id=,S01, best_S_prof=,10.711677, best_S_strat=,0.729497, 
t=,25200, id=,B00, PRDE,actvstrat=,0.982588, actvprof=,0.678103, id=,B01, PRDE,actvstrat=,-0.390483, actvprof=,1.063963, id=,B02, PRDE,actvstrat=,-0.574725, actvprof=,1.025071, id=,B03, PRDE,actvstrat=,0.680609, actvprof=,1.674005, id=,B04, PRDE,actvstrat=,0.592000, actvprof=,1.614001, id=,B05, PRDE,actvstrat=,-0.173809, actvprof=,0.996458, id=,B06, PRDE,actvstrat=,-0.499634, actvprof=,0.957844, id=,B07, PRDE,actvstrat=,-0.340360, actvprof=,0.856171, id=,B08, PRDE,actvstrat=,0.766105, actvprof=,1.697618, id=,B09, PRDE,actvstrat=,0.262115, actvprof=,1.120078, id=,S00, PRDE,actvstrat=,-0.780993, actvprof=,1.844295, id=,S01, PRDE,actvstrat=,0.586683, actvprof=,9.497882, id=,S02, PRDE,actvstrat=,0.442879, actvprof=,8.750052, id=,S03, PRDE,actvstrat=,-0.954709, actvprof=,0.774220, id=,S04, PRDE,actvstrat=,0.347676, actvprof=,8.327801, id=,S05, PRDE,actvstrat=,-0.729595, actvprof=,2.735190, id=,S06, PRDE,actvstrat=,-0.581439, actvprof=,3.878047, id=,S07, PRDE,actvstrat=,0.569470, actvprof=,9.460379, id=,S08, PRDE,actvstrat=,-0.859844, actvprof=,0.668102, id=,S09, PRDE,actvstrat=,-0.310532, actvprof=,4.007223, best_B_id=,B08, best_B_prof=,1.697618, best_B_strat=,0.766105, best_S_id=,S01, best_S_prof=,9.497882, best_S_strat=,0.586683, 
t=,28800, id=,B00, PRDE,actvstrat=,0.982588, actvprof=,0.648217, id=,B01, PRDE,actvstrat=,-0.390483, actvprof=,0.995590, id=,B02, PRDE,actvstrat=,-0.574725, actvprof=,1.159207, id=,B03, PRDE,actvstrat=,0.680609, actvprof=,1.677142, id=,B04, PRDE,actvstrat=,0.592000, actvprof=,1.542692, id=,B05, PRDE,actvstrat=,-0.173809, actvprof=,0.921282, id=,B06, PRDE,actvstrat=,-0.499634, actvprof=,0.963228, id=,B07, PRDE,actvstrat=,-0.340360, actvprof=,0.840446, id=,B08, PRDE,actvstrat=,0.766105, actvprof=,1.775895, id=,B09, PRDE,actvstrat=,0.262115, actvprof=,1.211709, id=,S00, PRDE,actvstrat=,-0.780993, actvprof=,1.947151, id=,S01, PRDE,actvstrat=,0.586683, actvprof=,9.590333, id=,S02, PRDE,actvstrat=,0.442879, actvprof=,8.844890, id=,S03, PRDE,actvstrat=,-0.954709, actvprof=,0.821973, id=,S04, PRDE,actvstrat=,0.347676, actvprof=,8.320289, id=,S05, PRDE,actvstrat=,-0.729595, actvprof=,2.774402, id=,S06, PRDE,actvstrat=,-0.581439, actvprof=,3.811799, id=,S07, PRDE,actvstrat=,0.569470, actvprof=,9.506719, id=,S08, PRDE,actvstrat=,-0.859844, actvprof=,0.838501, id=,S09, PRDE,actvstrat=,-0.310532, actvprof=,3.932914, best_B_id=,B08, best_B_prof=,1.775895, best_B_strat=,0.766105, best_S_id=,S01, best_S_prof=,9.590333, best_S_strat=,0.586683, 
t=,32400, id=,B00, PRDE,actvstrat=,0.186622, actvprof=,1.424841, id=,B01, PRDE,actvstrat=,-0.844371, actvprof=,2.215185, id=,B02, PRDE,actvstrat=,-0.574725, actvprof=,1.345390, id=,B03, PRDE,actvstrat=,0.772813, actvprof=,1.879323, id=,B04, PRDE,actvstrat=,0.592000, actvprof=,1.832097, id=,B05, PRDE,actvstrat=,0.659941, actvprof=,1.839042, id=,B06, PRDE,actvstrat=,-0.275738, actvprof=,0.925077, id=,B07, PRDE,actvstrat=,0.637707, actvprof=,1.737089, id=,B08, PRDE,actvstrat=,0.085871, actvprof=,1.220102, id=,B09, PRDE,actvstrat=,-0.948663, actvprof=,2.578270, id=,S00, PRDE,actvstrat=,-0.336052, actvprof=,3.294441, id=,S01, PRDE,actvstrat=,0.374104, actvprof=,8.245687, id=,S02, PRDE,actvstrat=,0.907701, actvprof=,11.129261, id=,S03, PRDE,actvstrat=,-0.095178, actvprof=,4.775120, id=,S04, PRDE,actvstrat=,0.113186, actvprof=,6.555824, id=,S05, PRDE,actvstrat=,-0.656114, actvprof=,2.681335, id=,S06, PRDE,actvstrat=,-0.581439, actvprof=,2.772453, id=,S07, PRDE,actvstrat=,-0.855139, actvprof=,0.683946, id=,S08, PRDE,actvstrat=,0.828065, actvprof=,10.692280, id=,S09, PRDE,actvstrat=,0.334421, actvprof=,7.868433, best_B_id=,B09, best_B_prof=,2.578270, best_B_strat=,-0.948663, best_S_id=,S02, best_S_prof=,11.129261, best_S_strat=,0.907701, 
t=,36000, id=,B00, PRDE,actvstrat=,0.186622, actvprof=,1.429067, id=,B01, PRDE,actvstrat=,-0.844371, actvprof=,2.310203, id=,B02, PRDE,actvstrat=,-0.574725, actvprof=,1.336704, id=,B03, PRDE,actvstrat=,0.772813, actvprof=,1.871996, id=,B04, PRDE,actvstrat=,0.592000, actvprof=,1.750465, id=,B05, PRDE,actvstrat=,0.659941, actvprof=,1.885608, id=,B06, PRDE,actvstrat=,-0.275738, actvprof=,1.113086, id=,B07, PRDE,actvstrat=,0.637707, actvprof=,1.821578, id=,B08, PRDE,actvstrat=,0.085871, actvprof=,1.267535, id=,B09, PRDE,actvstrat=,-0.948663, actvprof=,2.540626, id=,S00, PRDE,actvstrat=,-0.336052, actvprof=,3.572738, id=,S01, PRDE,actvstrat=,0.374104, actvprof=,8.245785, id=,S02, PRDE,actvstrat=,0.907701, actvprof=,11.169616, id=,S03, PRDE,actvstrat=,-0.095178, actvprof=,4.687214, id=,S04, PRDE,actvstrat=,0.113186, actvprof=,6.559766, id=,S05, PRDE,actvstrat=,-0.656114, actvprof=,2.774522, id=,S06, PRDE,actvstrat=,-0.581439, actvprof=,3.130504, id=,S07, PRDE,actvstrat=,-0.855139, actvprof=,0.675435, id=,S08, PRDE,actvstrat=,0.828065, actvprof=,10.856552, id=,S09, PRDE,actvstrat=,0.334421, actvprof=,7.758688, best_B_id=,B09, best_B_prof=,2.540626, best_B_strat=,-0.948663, best_S_id=,S02, best_S_prof=,11.169616, best_S_strat=,0.907701, 
