t=,3600, id=,B00, PRDE,actvstrat=,-0.359406, actvprof=,2.422778, id=,B01, PRDE,actvstrat=,0.625839, actvprof=,3.061667, id=,B02, PRDE,actvstrat=,-0.234727, actvprof=,2.226389, id=,B03, PRDE,actvstrat=,0.551768, actvprof=,2.776667, id=,B04, PRDE,actvstrat=,0.162209, actvprof=,2.423889, id=,B05, PRDE,actvstrat=,0.523780, actvprof=,2.900556, id=,B06, PRDE,actvstrat=,0.339362, actvprof=,2.743333, id=,B07, PRDE,actvstrat=,0.890888, actvprof=,2.271944, id=,B08, PRDE,actvstrat=,-0.091183, actvprof=,2.272500, id=,B09, PRDE,actvstrat=,0.251727, actvprof=,2.540556, id=,S00, PRDE,actvstrat=,0.624318, actvprof=,8.879722, id=,S01, PRDE,actvstrat=,-0.632047, actvprof=,2.920000, id=,S02, PRDE,actvstrat=,0.108593, actvprof=,5.977500, id=,S03, PRDE,actvstrat=,0.786565, actvprof=,9.828056, id=,S04, PRDE,actvstrat=,0.277847, actvprof=,7.134722, id=,S05, PRDE,actvstrat=,0.755061, actvprof=,9.705556, id=,S06, PRDE,actvstrat=,-0.730574, actvprof=,2.371944, id=,S07, PRDE,actvstrat=,-0.787524, actvprof=,1.851667, id=,S08, PRDE,actvstrat=,0.501759, actvprof=,8.543889, id=,S09, PRDE,actvstrat=,0.542376, actvprof=,8.680000, best_B_id=,B01, best_B_prof=,3.061667, best_B_strat=,0.625839, best_S_id=,S03, best_S_prof=,9.828056, best_S_strat=,0.786565, 
t=,7200, id=,B00, PRDE,actvstrat=,0.377622, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.991149, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.582053, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.373224, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.905736, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.300800, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.023856, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.143205, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.333014, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.021928, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.977921, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.013630, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.593549, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.417034, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.109175, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.607581, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.280245, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.904003, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.776496, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.094417, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.377622, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.977921, 
t=,10800, id=,B00, PRDE,actvstrat=,0.377622, actvprof=,1.333333, id=,B01, PRDE,actvstrat=,-0.991149, actvprof=,1.758056, id=,B02, PRDE,actvstrat=,-0.582053, actvprof=,1.043333, id=,B03, PRDE,actvstrat=,-0.373224, actvprof=,0.906944, id=,B04, PRDE,actvstrat=,0.905736, actvprof=,1.321389, id=,B05, PRDE,actvstrat=,0.300800, actvprof=,1.460000, id=,B06, PRDE,actvstrat=,-0.023856, actvprof=,1.178611, id=,B07, PRDE,actvstrat=,0.143205, actvprof=,1.152778, id=,B08, PRDE,actvstrat=,-0.333014, actvprof=,0.883333, id=,B09, PRDE,actvstrat=,0.021928, actvprof=,1.020833, id=,S00, PRDE,actvstrat=,-0.977921, actvprof=,1.552222, id=,S01, PRDE,actvstrat=,-0.013630, actvprof=,6.216111, id=,S02, PRDE,actvstrat=,0.593549, actvprof=,9.521111, id=,S03, PRDE,actvstrat=,-0.417034, actvprof=,3.870833, id=,S04, PRDE,actvstrat=,-0.109175, actvprof=,4.992778, id=,S05, PRDE,actvstrat=,0.607581, actvprof=,9.722500, id=,S06, PRDE,actvstrat=,-0.280245, actvprof=,4.435833, id=,S07, PRDE,actvstrat=,-0.904003, actvprof=,0.487500, id=,S08, PRDE,actvstrat=,-0.776496, actvprof=,2.042778, id=,S09, PRDE,actvstrat=,-0.094417, actvprof=,5.077500, best_B_id=,B01, best_B_prof=,1.758056, best_B_strat=,-0.991149, best_S_id=,S05, best_S_prof=,9.722500, best_S_strat=,0.607581, 
t=,14400, id=,B00, PRDE,actvstrat=,0.377622, actvprof=,1.313472, id=,B01, PRDE,actvstrat=,-0.991149, actvprof=,1.691389, id=,B02, PRDE,actvstrat=,-0.582053, actvprof=,1.067917, id=,B03, PRDE,actvstrat=,-0.373224, actvprof=,0.941250, id=,B04, PRDE,actvstrat=,0.905736, actvprof=,1.394167, id=,B05, PRDE,actvstrat=,0.300800, actvprof=,1.444167, id=,B06, PRDE,actvstrat=,-0.023856, actvprof=,1.129722, id=,B07, PRDE,actvstrat=,0.143205, actvprof=,1.102083, id=,B08, PRDE,actvstrat=,-0.333014, actvprof=,0.977083, id=,B09, PRDE,actvstrat=,0.021928, actvprof=,1.038472, id=,S00, PRDE,actvstrat=,-0.977921, actvprof=,1.619722, id=,S01, PRDE,actvstrat=,-0.013630, actvprof=,6.386111, id=,S02, PRDE,actvstrat=,0.593549, actvprof=,9.585972, id=,S03, PRDE,actvstrat=,-0.417034, actvprof=,3.655556, id=,S04, PRDE,actvstrat=,-0.109175, actvprof=,5.099444, id=,S05, PRDE,actvstrat=,0.607581, actvprof=,9.855417, id=,S06, PRDE,actvstrat=,-0.280245, actvprof=,4.159444, id=,S07, PRDE,actvstrat=,-0.904003, actvprof=,0.557500, id=,S08, PRDE,actvstrat=,-0.776496, actvprof=,2.038194, id=,S09, PRDE,actvstrat=,-0.094417, actvprof=,5.131806, best_B_id=,B01, best_B_prof=,1.691389, best_B_strat=,-0.991149, best_S_id=,S05, best_S_prof=,9.855417, best_S_strat=,0.607581, 
t=,18000, id=,B00, PRDE,actvstrat=,0.469635, actvprof=,1.675070, id=,B01, PRDE,actvstrat=,0.935303, actvprof=,1.278387, id=,B02, PRDE,actvstrat=,-0.305704, actvprof=,1.200883, id=,B03, PRDE,actvstrat=,-0.789793, actvprof=,1.701460, id=,B04, PRDE,actvstrat=,0.051286, actvprof=,1.353945, id=,B05, PRDE,actvstrat=,0.828828, actvprof=,1.759240, id=,B06, PRDE,actvstrat=,0.354684, actvprof=,1.588122, id=,B07, PRDE,actvstrat=,-0.774130, actvprof=,1.627290, id=,B08, PRDE,actvstrat=,-0.907584, actvprof=,2.346487, id=,B09, PRDE,actvstrat=,-0.898361, actvprof=,2.284817, id=,S00, PRDE,actvstrat=,-0.223616, actvprof=,4.307679, id=,S01, PRDE,actvstrat=,0.620975, actvprof=,9.357334, id=,S02, PRDE,actvstrat=,0.108953, actvprof=,7.028904, id=,S03, PRDE,actvstrat=,-0.654837, actvprof=,2.778171, id=,S04, PRDE,actvstrat=,-0.865509, actvprof=,0.692251, id=,S05, PRDE,actvstrat=,0.749428, actvprof=,10.094309, id=,S06, PRDE,actvstrat=,0.867419, actvprof=,11.187133, id=,S07, PRDE,actvstrat=,-0.787524, actvprof=,1.633124, id=,S08, PRDE,actvstrat=,0.501759, actvprof=,8.849258, id=,S09, PRDE,actvstrat=,-0.593886, actvprof=,2.681501, best_B_id=,B08, best_B_prof=,2.346487, best_B_strat=,-0.907584, best_S_id=,S06, best_S_prof=,11.187133, best_S_strat=,0.867419, 
t=,21600, id=,B00, PRDE,actvstrat=,0.469635, actvprof=,1.718635, id=,B01, PRDE,actvstrat=,0.935303, actvprof=,1.293351, id=,B02, PRDE,actvstrat=,-0.305704, actvprof=,1.208350, id=,B03, PRDE,actvstrat=,-0.789793, actvprof=,1.698357, id=,B04, PRDE,actvstrat=,0.051286, actvprof=,1.333352, id=,B05, PRDE,actvstrat=,0.828828, actvprof=,1.762524, id=,B06, PRDE,actvstrat=,0.354684, actvprof=,1.549466, id=,B07, PRDE,actvstrat=,-0.774130, actvprof=,1.669190, id=,B08, PRDE,actvstrat=,-0.907584, actvprof=,2.374339, id=,B09, PRDE,actvstrat=,-0.898361, actvprof=,2.346005, id=,S00, PRDE,actvstrat=,-0.223616, actvprof=,4.161030, id=,S01, PRDE,actvstrat=,0.620975, actvprof=,9.494299, id=,S02, PRDE,actvstrat=,0.108953, actvprof=,6.863568, id=,S03, PRDE,actvstrat=,-0.654837, actvprof=,2.747538, id=,S04, PRDE,actvstrat=,-0.865509, actvprof=,0.637231, id=,S05, PRDE,actvstrat=,0.749428, actvprof=,10.219447, id=,S06, PRDE,actvstrat=,0.867419, actvprof=,11.217795, id=,S07, PRDE,actvstrat=,-0.787524, actvprof=,1.851137, id=,S08, PRDE,actvstrat=,0.501759, actvprof=,8.663176, id=,S09, PRDE,actvstrat=,-0.593886, actvprof=,3.081154, best_B_id=,B08, best_B_prof=,2.374339, best_B_strat=,-0.907584, best_S_id=,S06, best_S_prof=,11.217795, best_S_strat=,0.867419, 
t=,25200, id=,B00, PRDE,actvstrat=,0.954237, actvprof=,2.573127, id=,B01, PRDE,actvstrat=,-0.729307, actvprof=,5.650435, id=,B02, PRDE,actvstrat=,0.317214, actvprof=,5.125142, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,3.996500, id=,B04, PRDE,actvstrat=,0.359331, actvprof=,4.934859, id=,B05, PRDE,actvstrat=,-0.620375, actvprof=,5.717381, id=,B06, PRDE,actvstrat=,0.977012, actvprof=,2.222284, id=,B07, PRDE,actvstrat=,0.619068, actvprof=,4.612906, id=,B08, PRDE,actvstrat=,-0.407069, actvprof=,5.002083, id=,B09, PRDE,actvstrat=,-0.138349, actvprof=,4.657352, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,8.742743, id=,S01, PRDE,actvstrat=,-0.801845, actvprof=,1.114475, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,8.825523, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,8.977194, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,8.572460, id=,S05, PRDE,actvstrat=,0.838023, actvprof=,9.632212, id=,S06, PRDE,actvstrat=,-0.099939, actvprof=,3.959832, id=,S07, PRDE,actvstrat=,0.946023, actvprof=,9.075530, id=,S08, PRDE,actvstrat=,-0.365575, actvprof=,2.613128, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,8.664685, best_B_id=,B05, best_B_prof=,5.717381, best_B_strat=,-0.620375, best_S_id=,S05, best_S_prof=,9.632212, best_S_strat=,0.838023, 
t=,28800, id=,B00, PRDE,actvstrat=,0.954237, actvprof=,2.598285, id=,B01, PRDE,actvstrat=,-0.729307, actvprof=,5.557554, id=,B02, PRDE,actvstrat=,0.317214, actvprof=,4.987673, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,4.152783, id=,B04, PRDE,actvstrat=,0.359331, actvprof=,4.981284, id=,B05, PRDE,actvstrat=,-0.620375, actvprof=,5.764089, id=,B06, PRDE,actvstrat=,0.977012, actvprof=,2.164936, id=,B07, PRDE,actvstrat=,0.619068, actvprof=,4.689052, id=,B08, PRDE,actvstrat=,-0.407069, actvprof=,5.154623, id=,B09, PRDE,actvstrat=,-0.138349, actvprof=,4.767249, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,8.593354, id=,S01, PRDE,actvstrat=,-0.801845, actvprof=,1.223376, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,8.853780, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,8.757665, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,8.586826, id=,S05, PRDE,actvstrat=,0.838023, actvprof=,9.533803, id=,S06, PRDE,actvstrat=,-0.099939, actvprof=,4.095420, id=,S07, PRDE,actvstrat=,0.946023, actvprof=,9.176985, id=,S08, PRDE,actvstrat=,-0.365575, actvprof=,2.755651, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,8.576270, best_B_id=,B05, best_B_prof=,5.764089, best_B_strat=,-0.620375, best_S_id=,S05, best_S_prof=,9.533803, best_S_strat=,0.838023, 
t=,32400, id=,B00, PRDE,actvstrat=,0.377622, actvprof=,2.382176, id=,B01, PRDE,actvstrat=,-0.991149, actvprof=,2.192435, id=,B02, PRDE,actvstrat=,-0.234727, actvprof=,1.847402, id=,B03, PRDE,actvstrat=,-0.364723, actvprof=,2.037976, id=,B04, PRDE,actvstrat=,0.937161, actvprof=,1.326796, id=,B05, PRDE,actvstrat=,0.928895, actvprof=,1.567930, id=,B06, PRDE,actvstrat=,-0.721292, actvprof=,2.736655, id=,B07, PRDE,actvstrat=,0.143205, actvprof=,1.761560, id=,B08, PRDE,actvstrat=,0.913684, actvprof=,1.537094, id=,B09, PRDE,actvstrat=,0.251727, actvprof=,2.176601, id=,S00, PRDE,actvstrat=,-0.338132, actvprof=,3.688970, id=,S01, PRDE,actvstrat=,0.442293, actvprof=,8.588057, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,11.365272, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,11.047185, id=,S04, PRDE,actvstrat=,0.589138, actvprof=,9.472588, id=,S05, PRDE,actvstrat=,-0.320651, actvprof=,3.376439, id=,S06, PRDE,actvstrat=,0.236381, actvprof=,7.399608, id=,S07, PRDE,actvstrat=,0.267557, actvprof=,7.714361, id=,S08, PRDE,actvstrat=,-0.431947, actvprof=,3.542011, id=,S09, PRDE,actvstrat=,-0.094417, actvprof=,5.114386, best_B_id=,B06, best_B_prof=,2.736655, best_B_strat=,-0.721292, best_S_id=,S02, best_S_prof=,11.365272, best_S_strat=,1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,0.377622, actvprof=,2.409145, id=,B01, PRDE,actvstrat=,-0.991149, actvprof=,2.069962, id=,B02, PRDE,actvstrat=,-0.234727, actvprof=,1.869813, id=,B03, PRDE,actvstrat=,-0.364723, actvprof=,2.155383, id=,B04, PRDE,actvstrat=,0.937161, actvprof=,1.366733, id=,B05, PRDE,actvstrat=,0.928895, actvprof=,1.547853, id=,B06, PRDE,actvstrat=,-0.721292, actvprof=,2.919586, id=,B07, PRDE,actvstrat=,0.143205, actvprof=,1.857451, id=,B08, PRDE,actvstrat=,0.913684, actvprof=,1.610634, id=,B09, PRDE,actvstrat=,0.251727, actvprof=,2.308584, id=,S00, PRDE,actvstrat=,-0.338132, actvprof=,3.620870, id=,S01, PRDE,actvstrat=,0.442293, actvprof=,8.584445, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,11.249852, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,11.004424, id=,S04, PRDE,actvstrat=,0.589138, actvprof=,9.580327, id=,S05, PRDE,actvstrat=,-0.320651, actvprof=,3.701152, id=,S06, PRDE,actvstrat=,0.236381, actvprof=,7.566896, id=,S07, PRDE,actvstrat=,0.267557, actvprof=,7.871355, id=,S08, PRDE,actvstrat=,-0.431947, actvprof=,3.396832, id=,S09, PRDE,actvstrat=,-0.094417, actvprof=,5.335398, best_B_id=,B06, best_B_prof=,2.919586, best_B_strat=,-0.721292, best_S_id=,S02, best_S_prof=,11.249852, best_S_strat=,1.000000, 
t=,39600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,1.701507, id=,B01, PRDE,actvstrat=,-0.986436, actvprof=,2.361275, id=,B02, PRDE,actvstrat=,0.441496, actvprof=,3.732759, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.883186, id=,B04, PRDE,actvstrat=,0.145058, actvprof=,3.721647, id=,B05, PRDE,actvstrat=,-0.906598, actvprof=,3.317453, id=,B06, PRDE,actvstrat=,-0.460599, actvprof=,4.060560, id=,B07, PRDE,actvstrat=,0.934687, actvprof=,2.627682, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.796514, id=,B09, PRDE,actvstrat=,0.618646, actvprof=,3.918050, id=,S00, PRDE,actvstrat=,0.667891, actvprof=,9.800681, id=,S01, PRDE,actvstrat=,0.830662, actvprof=,11.283561, id=,S02, PRDE,actvstrat=,0.537684, actvprof=,9.253698, id=,S03, PRDE,actvstrat=,-0.418380, actvprof=,3.405236, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,10.914647, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,10.314883, id=,S06, PRDE,actvstrat=,0.865112, actvprof=,11.487187, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,10.427946, id=,S08, PRDE,actvstrat=,0.304914, actvprof=,7.687756, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,2.978540, best_B_id=,B06, best_B_prof=,4.060560, best_B_strat=,-0.460599, best_S_id=,S06, best_S_prof=,11.487187, best_S_strat=,0.865112, 
