t=,0, id=,B00, PRDE,actvstrat=,-0.032671, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.379591, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.315218, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.955221, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.599216, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.495702, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.071304, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.252042, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.317113, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.911976, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.599450, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.583226, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.598045, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.171377, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.676816, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.746536, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.995997, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.680179, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.965582, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.413835, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.032671, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.599450, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.032671, actvprof=,3.511944, id=,B01, PRDE,actvstrat=,0.379591, actvprof=,3.603333, id=,B02, PRDE,actvstrat=,0.315218, actvprof=,3.526389, id=,B03, PRDE,actvstrat=,-0.955221, actvprof=,4.365000, id=,B04, PRDE,actvstrat=,0.599216, actvprof=,3.628889, id=,B05, PRDE,actvstrat=,0.495702, actvprof=,3.737778, id=,B06, PRDE,actvstrat=,0.071304, actvprof=,3.148333, id=,B07, PRDE,actvstrat=,-0.252042, actvprof=,3.383333, id=,B08, PRDE,actvstrat=,-0.317113, actvprof=,3.137222, id=,B09, PRDE,actvstrat=,-0.911976, actvprof=,4.151667, id=,S00, PRDE,actvstrat=,0.599450, actvprof=,7.719722, id=,S01, PRDE,actvstrat=,-0.583226, actvprof=,2.553056, id=,S02, PRDE,actvstrat=,0.598045, actvprof=,7.746389, id=,S03, PRDE,actvstrat=,0.171377, actvprof=,5.920556, id=,S04, PRDE,actvstrat=,-0.676816, actvprof=,2.197500, id=,S05, PRDE,actvstrat=,0.746536, actvprof=,8.581111, id=,S06, PRDE,actvstrat=,0.995997, actvprof=,8.576667, id=,S07, PRDE,actvstrat=,0.680179, actvprof=,7.970556, id=,S08, PRDE,actvstrat=,0.965582, actvprof=,8.855278, id=,S09, PRDE,actvstrat=,-0.413835, actvprof=,3.151944, best_B_id=,B03, best_B_prof=,4.365000, best_B_strat=,-0.955221, best_S_id=,S08, best_S_prof=,8.855278, best_S_strat=,0.965582, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.684437, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.480918, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.537710, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.467362, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.927332, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.656607, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.273794, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.109840, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.515369, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.772581, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.875701, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.245720, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.606701, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.134054, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.237373, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.738480, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.319976, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.398413, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.487036, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.205938, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.684437, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.875701, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.684437, actvprof=,1.449444, id=,B01, PRDE,actvstrat=,0.480918, actvprof=,1.712222, id=,B02, PRDE,actvstrat=,-0.537710, actvprof=,1.169444, id=,B03, PRDE,actvstrat=,-0.467362, actvprof=,0.991111, id=,B04, PRDE,actvstrat=,-0.927332, actvprof=,2.358611, id=,B05, PRDE,actvstrat=,0.656607, actvprof=,1.942500, id=,B06, PRDE,actvstrat=,0.273794, actvprof=,1.554167, id=,B07, PRDE,actvstrat=,-0.109840, actvprof=,1.136111, id=,B08, PRDE,actvstrat=,0.515369, actvprof=,1.759167, id=,B09, PRDE,actvstrat=,0.772581, actvprof=,1.826944, id=,S00, PRDE,actvstrat=,-0.875701, actvprof=,0.761389, id=,S01, PRDE,actvstrat=,0.245720, actvprof=,7.667778, id=,S02, PRDE,actvstrat=,-0.606701, actvprof=,2.971944, id=,S03, PRDE,actvstrat=,0.134054, actvprof=,6.732778, id=,S04, PRDE,actvstrat=,0.237373, actvprof=,7.607778, id=,S05, PRDE,actvstrat=,0.738480, actvprof=,10.131667, id=,S06, PRDE,actvstrat=,0.319976, actvprof=,7.276111, id=,S07, PRDE,actvstrat=,-0.398413, actvprof=,3.375556, id=,S08, PRDE,actvstrat=,-0.487036, actvprof=,3.046944, id=,S09, PRDE,actvstrat=,-0.205938, actvprof=,3.972778, best_B_id=,B04, best_B_prof=,2.358611, best_B_strat=,-0.927332, best_S_id=,S05, best_S_prof=,10.131667, best_S_strat=,0.738480, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.684437, actvprof=,1.435139, id=,B01, PRDE,actvstrat=,0.480918, actvprof=,1.682222, id=,B02, PRDE,actvstrat=,-0.537710, actvprof=,1.210000, id=,B03, PRDE,actvstrat=,-0.467362, actvprof=,1.013056, id=,B04, PRDE,actvstrat=,-0.927332, actvprof=,2.469028, id=,B05, PRDE,actvstrat=,0.656607, actvprof=,1.830139, id=,B06, PRDE,actvstrat=,0.273794, actvprof=,1.469444, id=,B07, PRDE,actvstrat=,-0.109840, actvprof=,1.247917, id=,B08, PRDE,actvstrat=,0.515369, actvprof=,1.665000, id=,B09, PRDE,actvstrat=,0.772581, actvprof=,1.876389, id=,S00, PRDE,actvstrat=,-0.875701, actvprof=,0.664583, id=,S01, PRDE,actvstrat=,0.245720, actvprof=,7.557500, id=,S02, PRDE,actvstrat=,-0.606701, actvprof=,2.918611, id=,S03, PRDE,actvstrat=,0.134054, actvprof=,6.644583, id=,S04, PRDE,actvstrat=,0.237373, actvprof=,7.345972, id=,S05, PRDE,actvstrat=,0.738480, actvprof=,10.185833, id=,S06, PRDE,actvstrat=,0.319976, actvprof=,7.434444, id=,S07, PRDE,actvstrat=,-0.398413, actvprof=,3.348194, id=,S08, PRDE,actvstrat=,-0.487036, actvprof=,3.124722, id=,S09, PRDE,actvstrat=,-0.205938, actvprof=,4.021667, best_B_id=,B04, best_B_prof=,2.469028, best_B_strat=,-0.927332, best_S_id=,S05, best_S_prof=,10.185833, best_S_strat=,0.738480, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.032671, actvprof=,1.100571, id=,B01, PRDE,actvstrat=,0.379591, actvprof=,1.475298, id=,B02, PRDE,actvstrat=,-0.163828, actvprof=,0.964180, id=,B03, PRDE,actvstrat=,-0.955221, actvprof=,2.161697, id=,B04, PRDE,actvstrat=,-0.927332, actvprof=,2.132530, id=,B05, PRDE,actvstrat=,0.449236, actvprof=,1.616411, id=,B06, PRDE,actvstrat=,0.625757, actvprof=,1.649190, id=,B07, PRDE,actvstrat=,-0.695866, actvprof=,1.244462, id=,B08, PRDE,actvstrat=,0.515369, actvprof=,1.713635, id=,B09, PRDE,actvstrat=,0.935025, actvprof=,1.193350, id=,S00, PRDE,actvstrat=,0.430294, actvprof=,8.613731, id=,S01, PRDE,actvstrat=,-0.507988, actvprof=,3.365880, id=,S02, PRDE,actvstrat=,-0.204682, actvprof=,4.063112, id=,S03, PRDE,actvstrat=,0.441107, actvprof=,8.379283, id=,S04, PRDE,actvstrat=,0.411291, actvprof=,8.934013, id=,S05, PRDE,actvstrat=,0.738480, actvprof=,10.810706, id=,S06, PRDE,actvstrat=,0.231237, actvprof=,7.417881, id=,S07, PRDE,actvstrat=,-0.849521, actvprof=,0.812234, id=,S08, PRDE,actvstrat=,-0.639084, actvprof=,3.329491, id=,S09, PRDE,actvstrat=,-0.205938, actvprof=,4.045612, best_B_id=,B03, best_B_prof=,2.161697, best_B_strat=,-0.955221, best_S_id=,S05, best_S_prof=,10.810706, best_S_strat=,0.738480, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.032671, actvprof=,1.121119, id=,B01, PRDE,actvstrat=,0.379591, actvprof=,1.386260, id=,B02, PRDE,actvstrat=,-0.163828, actvprof=,1.055424, id=,B03, PRDE,actvstrat=,-0.955221, actvprof=,2.249877, id=,B04, PRDE,actvstrat=,-0.927332, actvprof=,2.104598, id=,B05, PRDE,actvstrat=,0.449236, actvprof=,1.580705, id=,B06, PRDE,actvstrat=,0.625757, actvprof=,1.669456, id=,B07, PRDE,actvstrat=,-0.695866, actvprof=,1.293203, id=,B08, PRDE,actvstrat=,0.515369, actvprof=,1.635845, id=,B09, PRDE,actvstrat=,0.935025, actvprof=,1.234314, id=,S00, PRDE,actvstrat=,0.430294, actvprof=,8.654227, id=,S01, PRDE,actvstrat=,-0.507988, actvprof=,3.406135, id=,S02, PRDE,actvstrat=,-0.204682, actvprof=,4.310724, id=,S03, PRDE,actvstrat=,0.441107, actvprof=,8.464781, id=,S04, PRDE,actvstrat=,0.411291, actvprof=,8.720477, id=,S05, PRDE,actvstrat=,0.738480, actvprof=,10.620352, id=,S06, PRDE,actvstrat=,0.231237, actvprof=,7.465607, id=,S07, PRDE,actvstrat=,-0.849521, actvprof=,0.907784, id=,S08, PRDE,actvstrat=,-0.639084, actvprof=,3.088771, id=,S09, PRDE,actvstrat=,-0.205938, actvprof=,4.308641, best_B_id=,B03, best_B_prof=,2.249877, best_B_strat=,-0.955221, best_S_id=,S05, best_S_prof=,10.620352, best_S_strat=,0.738480, 
t=,25200, id=,B00, PRDE,actvstrat=,0.272303, actvprof=,4.733268, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,3.303565, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,3.511340, id=,B03, PRDE,actvstrat=,-0.215036, actvprof=,4.748267, id=,B04, PRDE,actvstrat=,0.647244, actvprof=,4.969931, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.803017, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.454688, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.413286, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.509687, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,2.601908, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,2.925515, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,9.939584, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.716907, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,9.825975, id=,S04, PRDE,actvstrat=,0.717088, actvprof=,9.500424, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,9.712365, id=,S06, PRDE,actvstrat=,0.331473, actvprof=,7.470730, id=,S07, PRDE,actvstrat=,0.889475, actvprof=,10.397356, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,9.636533, id=,S09, PRDE,actvstrat=,-0.018011, actvprof=,5.712976, best_B_id=,B04, best_B_prof=,4.969931, best_B_strat=,0.647244, best_S_id=,S07, best_S_prof=,10.397356, best_S_strat=,0.889475, 
t=,28800, id=,B00, PRDE,actvstrat=,0.272303, actvprof=,5.097571, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,3.552410, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,3.610328, id=,B03, PRDE,actvstrat=,-0.215036, actvprof=,4.714093, id=,B04, PRDE,actvstrat=,0.647244, actvprof=,5.177711, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.791567, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.657954, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.586716, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.587536, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,2.638231, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,3.045181, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,9.831803, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.788928, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,9.480409, id=,S04, PRDE,actvstrat=,0.717088, actvprof=,9.302213, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,9.565966, id=,S06, PRDE,actvstrat=,0.331473, actvprof=,7.141210, id=,S07, PRDE,actvstrat=,0.889475, actvprof=,10.299865, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,9.497493, id=,S09, PRDE,actvstrat=,-0.018011, actvprof=,5.701051, best_B_id=,B04, best_B_prof=,5.177711, best_B_strat=,0.647244, best_S_id=,S07, best_S_prof=,10.299865, best_S_strat=,0.889475, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.586813, actvprof=,3.554642, id=,B01, PRDE,actvstrat=,0.983206, actvprof=,1.322018, id=,B02, PRDE,actvstrat=,-0.290123, actvprof=,2.857659, id=,B03, PRDE,actvstrat=,0.560900, actvprof=,3.183232, id=,B04, PRDE,actvstrat=,-0.384622, actvprof=,3.095728, id=,B05, PRDE,actvstrat=,0.013268, actvprof=,2.509862, id=,B06, PRDE,actvstrat=,0.071304, actvprof=,2.651814, id=,B07, PRDE,actvstrat=,-0.542856, actvprof=,3.159620, id=,B08, PRDE,actvstrat=,-0.861348, actvprof=,4.254403, id=,B09, PRDE,actvstrat=,0.801899, actvprof=,2.884327, id=,S00, PRDE,actvstrat=,-0.492195, actvprof=,2.983499, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,9.445247, id=,S02, PRDE,actvstrat=,0.598045, actvprof=,8.199067, id=,S03, PRDE,actvstrat=,-0.614013, actvprof=,2.260959, id=,S04, PRDE,actvstrat=,-0.454580, actvprof=,2.800711, id=,S05, PRDE,actvstrat=,0.379401, actvprof=,7.139563, id=,S06, PRDE,actvstrat=,0.319976, actvprof=,6.652036, id=,S07, PRDE,actvstrat=,0.680179, actvprof=,8.936885, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,9.278293, id=,S09, PRDE,actvstrat=,-0.018011, actvprof=,5.080004, best_B_id=,B08, best_B_prof=,4.254403, best_B_strat=,-0.861348, best_S_id=,S01, best_S_prof=,9.445247, best_S_strat=,1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.586813, actvprof=,3.553571, id=,B01, PRDE,actvstrat=,0.983206, actvprof=,1.349065, id=,B02, PRDE,actvstrat=,-0.290123, actvprof=,2.696464, id=,B03, PRDE,actvstrat=,0.560900, actvprof=,3.164116, id=,B04, PRDE,actvstrat=,-0.384622, actvprof=,3.033418, id=,B05, PRDE,actvstrat=,0.013268, actvprof=,2.459513, id=,B06, PRDE,actvstrat=,0.071304, actvprof=,2.702297, id=,B07, PRDE,actvstrat=,-0.542856, actvprof=,3.192311, id=,B08, PRDE,actvstrat=,-0.861348, actvprof=,4.097336, id=,B09, PRDE,actvstrat=,0.801899, actvprof=,2.775216, id=,S00, PRDE,actvstrat=,-0.492195, actvprof=,2.789522, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,9.485125, id=,S02, PRDE,actvstrat=,0.598045, actvprof=,8.237868, id=,S03, PRDE,actvstrat=,-0.614013, actvprof=,2.510486, id=,S04, PRDE,actvstrat=,-0.454580, actvprof=,2.843551, id=,S05, PRDE,actvstrat=,0.379401, actvprof=,7.175060, id=,S06, PRDE,actvstrat=,0.319976, actvprof=,6.813661, id=,S07, PRDE,actvstrat=,0.680179, actvprof=,8.788300, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,9.394011, id=,S09, PRDE,actvstrat=,-0.018011, actvprof=,5.319453, best_B_id=,B08, best_B_prof=,4.097336, best_B_strat=,-0.861348, best_S_id=,S01, best_S_prof=,9.485125, best_S_strat=,1.000000, 
