t=,1, id=,B00, PRDE,actvstrat=,-0.322753, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.870017, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.977977, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.055363, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.052164, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.592541, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.671987, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.946968, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.232739, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.299708, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.134088, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.898687, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.903835, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.237262, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.780025, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.370226, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.114526, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.175159, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.502420, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.374869, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.322753, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.134088, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.322753, actvprof=,4.524444, id=,B01, PRDE,actvstrat=,-0.870017, actvprof=,5.066667, id=,B02, PRDE,actvstrat=,-0.977977, actvprof=,4.961944, id=,B03, PRDE,actvstrat=,-0.055363, actvprof=,4.525000, id=,B04, PRDE,actvstrat=,0.052164, actvprof=,4.733611, id=,B05, PRDE,actvstrat=,0.592541, actvprof=,4.940556, id=,B06, PRDE,actvstrat=,-0.671987, actvprof=,4.858333, id=,B07, PRDE,actvstrat=,-0.946968, actvprof=,5.163611, id=,B08, PRDE,actvstrat=,0.232739, actvprof=,4.653611, id=,B09, PRDE,actvstrat=,-0.299708, actvprof=,4.334167, id=,S00, PRDE,actvstrat=,-0.134088, actvprof=,4.338611, id=,S01, PRDE,actvstrat=,0.898687, actvprof=,7.527778, id=,S02, PRDE,actvstrat=,0.903835, actvprof=,6.948889, id=,S03, PRDE,actvstrat=,-0.237262, actvprof=,3.724444, id=,S04, PRDE,actvstrat=,0.780025, actvprof=,7.549167, id=,S05, PRDE,actvstrat=,0.370226, actvprof=,6.313611, id=,S06, PRDE,actvstrat=,-0.114526, actvprof=,4.405833, id=,S07, PRDE,actvstrat=,0.175159, actvprof=,5.653611, id=,S08, PRDE,actvstrat=,0.502420, actvprof=,6.816111, id=,S09, PRDE,actvstrat=,-0.374869, actvprof=,3.693333, best_B_id=,B07, best_B_prof=,5.163611, best_B_strat=,-0.946968, best_S_id=,S04, best_S_prof=,7.549167, best_S_strat=,0.780025, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.685670, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.767403, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.845109, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.909180, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.899290, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.678009, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.321354, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.614088, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.441426, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.741429, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.006098, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.015036, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.604497, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.403106, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.755769, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.732116, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.383370, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.464105, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.173290, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.406792, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.685670, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.006098, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.685670, actvprof=,1.558867, id=,B01, PRDE,actvstrat=,0.767403, actvprof=,2.112748, id=,B02, PRDE,actvstrat=,0.845109, actvprof=,2.027472, id=,B03, PRDE,actvstrat=,-0.909180, actvprof=,2.526632, id=,B04, PRDE,actvstrat=,0.899290, actvprof=,1.764698, id=,B05, PRDE,actvstrat=,-0.678009, actvprof=,1.711643, id=,B06, PRDE,actvstrat=,-0.321354, actvprof=,1.094707, id=,B07, PRDE,actvstrat=,-0.614088, actvprof=,1.466369, id=,B08, PRDE,actvstrat=,-0.441426, actvprof=,1.486090, id=,B09, PRDE,actvstrat=,-0.741429, actvprof=,1.864141, id=,S00, PRDE,actvstrat=,0.006098, actvprof=,6.826016, id=,S01, PRDE,actvstrat=,-0.015036, actvprof=,6.603519, id=,S02, PRDE,actvstrat=,-0.604497, actvprof=,4.133276, id=,S03, PRDE,actvstrat=,-0.403106, actvprof=,4.343829, id=,S04, PRDE,actvstrat=,-0.755769, actvprof=,2.298857, id=,S05, PRDE,actvstrat=,0.732116, actvprof=,9.929307, id=,S06, PRDE,actvstrat=,-0.383370, actvprof=,4.421050, id=,S07, PRDE,actvstrat=,-0.464105, actvprof=,4.212441, id=,S08, PRDE,actvstrat=,0.173290, actvprof=,7.414897, id=,S09, PRDE,actvstrat=,-0.406792, actvprof=,4.157998, best_B_id=,B03, best_B_prof=,2.526632, best_B_strat=,-0.909180, best_S_id=,S05, best_S_prof=,9.929307, best_S_strat=,0.732116, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.807030, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.206361, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.622351, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.053368, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.582822, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.280474, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.643307, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.834532, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.109477, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.213829, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.716676, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.785337, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.534276, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.904629, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.176766, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.723246, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.399453, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.464105, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.802963, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.609843, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.807030, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.716676, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.807030, actvprof=,2.544444, id=,B01, PRDE,actvstrat=,-0.206361, actvprof=,1.623333, id=,B02, PRDE,actvstrat=,0.622351, actvprof=,2.402222, id=,B03, PRDE,actvstrat=,-0.053368, actvprof=,1.857500, id=,B04, PRDE,actvstrat=,0.582822, actvprof=,2.562500, id=,B05, PRDE,actvstrat=,0.280474, actvprof=,2.083889, id=,B06, PRDE,actvstrat=,0.643307, actvprof=,2.522500, id=,B07, PRDE,actvstrat=,-0.834532, actvprof=,3.041944, id=,B08, PRDE,actvstrat=,0.109477, actvprof=,1.863333, id=,B09, PRDE,actvstrat=,-0.213829, actvprof=,1.826667, id=,S00, PRDE,actvstrat=,-0.716676, actvprof=,2.732778, id=,S01, PRDE,actvstrat=,-0.785337, actvprof=,2.053333, id=,S02, PRDE,actvstrat=,0.534276, actvprof=,8.644722, id=,S03, PRDE,actvstrat=,0.904629, actvprof=,10.190556, id=,S04, PRDE,actvstrat=,-0.176766, actvprof=,4.168889, id=,S05, PRDE,actvstrat=,-0.723246, actvprof=,2.895833, id=,S06, PRDE,actvstrat=,-0.399453, actvprof=,3.732500, id=,S07, PRDE,actvstrat=,-0.464105, actvprof=,3.638611, id=,S08, PRDE,actvstrat=,0.802963, actvprof=,9.945000, id=,S09, PRDE,actvstrat=,0.609843, actvprof=,8.936111, best_B_id=,B07, best_B_prof=,3.041944, best_B_strat=,-0.834532, best_S_id=,S03, best_S_prof=,10.190556, best_S_strat=,0.904629, 
t=,21600, id=,B00, PRDE,actvstrat=,0.202071, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.704470, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.621304, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.493816, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.614082, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.064945, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.174096, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.254791, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.250726, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.231717, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.244686, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.231718, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.303299, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.410327, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.252937, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.168654, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.979086, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.400080, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.202071, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.231717, 
t=,25200, id=,B00, PRDE,actvstrat=,0.202071, actvprof=,1.591411, id=,B01, PRDE,actvstrat=,0.704470, actvprof=,2.117807, id=,B02, PRDE,actvstrat=,-0.621304, actvprof=,1.527243, id=,B03, PRDE,actvstrat=,-0.493816, actvprof=,1.338907, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,2.538091, id=,B05, PRDE,actvstrat=,0.614082, actvprof=,2.053917, id=,B06, PRDE,actvstrat=,0.064945, actvprof=,1.436131, id=,B07, PRDE,actvstrat=,0.174096, actvprof=,1.607800, id=,B08, PRDE,actvstrat=,0.254791, actvprof=,1.716413, id=,B09, PRDE,actvstrat=,-0.250726, actvprof=,1.385297, id=,S00, PRDE,actvstrat=,0.231717, actvprof=,7.297879, id=,S01, PRDE,actvstrat=,0.244686, actvprof=,7.235934, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,5.608967, id=,S03, PRDE,actvstrat=,0.231718, actvprof=,7.289268, id=,S04, PRDE,actvstrat=,-0.303299, actvprof=,3.978944, id=,S05, PRDE,actvstrat=,-0.410327, actvprof=,4.032000, id=,S06, PRDE,actvstrat=,-0.252937, actvprof=,4.474507, id=,S07, PRDE,actvstrat=,0.168654, actvprof=,6.991486, id=,S08, PRDE,actvstrat=,-0.979086, actvprof=,1.866970, id=,S09, PRDE,actvstrat=,-0.400080, actvprof=,3.911999, best_B_id=,B04, best_B_prof=,2.538091, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,7.297879, best_S_strat=,0.231717, 
t=,28800, id=,B00, PRDE,actvstrat=,0.202071, actvprof=,1.553066, id=,B01, PRDE,actvstrat=,0.704470, actvprof=,2.076959, id=,B02, PRDE,actvstrat=,-0.621304, actvprof=,1.518622, id=,B03, PRDE,actvstrat=,-0.493816, actvprof=,1.386676, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,2.438072, id=,B05, PRDE,actvstrat=,0.614082, actvprof=,1.978208, id=,B06, PRDE,actvstrat=,0.064945, actvprof=,1.408899, id=,B07, PRDE,actvstrat=,0.174096, actvprof=,1.579594, id=,B08, PRDE,actvstrat=,0.254791, actvprof=,1.686956, id=,B09, PRDE,actvstrat=,-0.250726, actvprof=,1.170703, id=,S00, PRDE,actvstrat=,0.231717, actvprof=,7.271995, id=,S01, PRDE,actvstrat=,0.244686, actvprof=,7.459080, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,5.706151, id=,S03, PRDE,actvstrat=,0.231718, actvprof=,7.193939, id=,S04, PRDE,actvstrat=,-0.303299, actvprof=,3.926416, id=,S05, PRDE,actvstrat=,-0.410327, actvprof=,4.064056, id=,S06, PRDE,actvstrat=,-0.252937, actvprof=,4.492392, id=,S07, PRDE,actvstrat=,0.168654, actvprof=,6.963521, id=,S08, PRDE,actvstrat=,-0.979086, actvprof=,1.882791, id=,S09, PRDE,actvstrat=,-0.400080, actvprof=,3.809054, best_B_id=,B04, best_B_prof=,2.438072, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,7.459080, best_S_strat=,0.244686, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.676108, actvprof=,3.215322, id=,B01, PRDE,actvstrat=,-0.881801, actvprof=,3.856720, id=,B02, PRDE,actvstrat=,-0.671507, actvprof=,3.694774, id=,B03, PRDE,actvstrat=,-0.304391, actvprof=,2.428645, id=,B04, PRDE,actvstrat=,0.107831, actvprof=,2.829762, id=,B05, PRDE,actvstrat=,0.087741, actvprof=,2.608092, id=,B06, PRDE,actvstrat=,0.256217, actvprof=,3.176711, id=,B07, PRDE,actvstrat=,-0.343958, actvprof=,2.702815, id=,B08, PRDE,actvstrat=,0.254791, actvprof=,3.023653, id=,B09, PRDE,actvstrat=,0.578424, actvprof=,3.308379, id=,S00, PRDE,actvstrat=,0.231717, actvprof=,5.589522, id=,S01, PRDE,actvstrat=,-0.015036, actvprof=,4.551174, id=,S02, PRDE,actvstrat=,0.903835, actvprof=,8.884012, id=,S03, PRDE,actvstrat=,0.231718, actvprof=,5.875359, id=,S04, PRDE,actvstrat=,-0.711816, actvprof=,1.957805, id=,S05, PRDE,actvstrat=,-0.383923, actvprof=,2.563369, id=,S06, PRDE,actvstrat=,-0.999885, actvprof=,4.988958, id=,S07, PRDE,actvstrat=,0.684872, actvprof=,7.666218, id=,S08, PRDE,actvstrat=,0.173290, actvprof=,5.021736, id=,S09, PRDE,actvstrat=,0.609843, actvprof=,7.680384, best_B_id=,B01, best_B_prof=,3.856720, best_B_strat=,-0.881801, best_S_id=,S02, best_S_prof=,8.884012, best_S_strat=,0.903835, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.676108, actvprof=,3.140621, id=,B01, PRDE,actvstrat=,-0.881801, actvprof=,3.930221, id=,B02, PRDE,actvstrat=,-0.671507, actvprof=,3.325903, id=,B03, PRDE,actvstrat=,-0.304391, actvprof=,2.546303, id=,B04, PRDE,actvstrat=,0.107831, actvprof=,2.781586, id=,B05, PRDE,actvstrat=,0.087741, actvprof=,2.693806, id=,B06, PRDE,actvstrat=,0.256217, actvprof=,3.060480, id=,B07, PRDE,actvstrat=,-0.343958, actvprof=,2.620749, id=,B08, PRDE,actvstrat=,0.254791, actvprof=,3.069231, id=,B09, PRDE,actvstrat=,0.578424, actvprof=,3.286180, id=,S00, PRDE,actvstrat=,0.231717, actvprof=,5.754564, id=,S01, PRDE,actvstrat=,-0.015036, actvprof=,4.523150, id=,S02, PRDE,actvstrat=,0.903835, actvprof=,9.052133, id=,S03, PRDE,actvstrat=,0.231718, actvprof=,5.590533, id=,S04, PRDE,actvstrat=,-0.711816, actvprof=,1.897123, id=,S05, PRDE,actvstrat=,-0.383923, actvprof=,2.575609, id=,S06, PRDE,actvstrat=,-0.999885, actvprof=,4.864546, id=,S07, PRDE,actvstrat=,0.684872, actvprof=,7.831135, id=,S08, PRDE,actvstrat=,0.173290, actvprof=,5.278721, id=,S09, PRDE,actvstrat=,0.609843, actvprof=,7.679188, best_B_id=,B01, best_B_prof=,3.930221, best_B_strat=,-0.881801, best_S_id=,S02, best_S_prof=,9.052133, best_S_strat=,0.903835, 
