t=,1, id=,B00, PRDE,actvstrat=,0.483232, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.712159, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.464386, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.338595, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.414465, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.139297, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.883077, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.211208, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.300408, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.508236, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.987515, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.371751, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.735310, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.405737, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.841781, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.796256, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.622483, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.898518, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.125652, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.591367, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.483232, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.987515, 
t=,3600, id=,B00, PRDE,actvstrat=,0.483232, actvprof=,3.115235, id=,B01, PRDE,actvstrat=,-0.712159, actvprof=,3.332731, id=,B02, PRDE,actvstrat=,0.464386, actvprof=,3.065235, id=,B03, PRDE,actvstrat=,-0.338595, actvprof=,2.677463, id=,B04, PRDE,actvstrat=,-0.414465, actvprof=,2.566353, id=,B05, PRDE,actvstrat=,0.139297, actvprof=,2.722462, id=,B06, PRDE,actvstrat=,-0.883077, actvprof=,4.254663, id=,B07, PRDE,actvstrat=,0.211208, actvprof=,2.864682, id=,B08, PRDE,actvstrat=,-0.300408, actvprof=,2.589131, id=,B09, PRDE,actvstrat=,-0.508236, actvprof=,2.747462, id=,S00, PRDE,actvstrat=,0.987515, actvprof=,8.853488, id=,S01, PRDE,actvstrat=,-0.371751, actvprof=,3.709393, id=,S02, PRDE,actvstrat=,-0.735310, actvprof=,2.698574, id=,S03, PRDE,actvstrat=,-0.405737, actvprof=,3.672727, id=,S04, PRDE,actvstrat=,0.841781, actvprof=,9.035152, id=,S05, PRDE,actvstrat=,-0.796256, actvprof=,2.185247, id=,S06, PRDE,actvstrat=,0.622483, actvprof=,8.089332, id=,S07, PRDE,actvstrat=,-0.898518, actvprof=,1.213872, id=,S08, PRDE,actvstrat=,0.125652, actvprof=,6.071860, id=,S09, PRDE,actvstrat=,0.591367, actvprof=,7.889335, best_B_id=,B06, best_B_prof=,4.254663, best_B_strat=,-0.883077, best_S_id=,S04, best_S_prof=,9.035152, best_S_strat=,0.841781, 
t=,7200, id=,B00, PRDE,actvstrat=,0.818042, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.319918, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.038732, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.106835, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.146323, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.097621, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.540199, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.001022, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.878091, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.370927, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.018364, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.270772, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.627821, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.802447, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.987101, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.809661, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.571518, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.827876, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.346419, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.845512, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.818042, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.018364, 
t=,10800, id=,B00, PRDE,actvstrat=,0.818042, actvprof=,3.374398, id=,B01, PRDE,actvstrat=,0.319918, actvprof=,3.501340, id=,B02, PRDE,actvstrat=,0.038732, actvprof=,3.040236, id=,B03, PRDE,actvstrat=,-0.106835, actvprof=,3.181622, id=,B04, PRDE,actvstrat=,-0.146323, actvprof=,3.015236, id=,B05, PRDE,actvstrat=,0.097621, actvprof=,2.939404, id=,B06, PRDE,actvstrat=,-0.540199, actvprof=,3.446063, id=,B07, PRDE,actvstrat=,0.001022, actvprof=,2.934681, id=,B08, PRDE,actvstrat=,-0.878091, actvprof=,4.670768, id=,B09, PRDE,actvstrat=,0.370927, actvprof=,3.519396, id=,S00, PRDE,actvstrat=,0.018364, actvprof=,5.273260, id=,S01, PRDE,actvstrat=,-0.270772, actvprof=,2.812461, id=,S02, PRDE,actvstrat=,0.627821, actvprof=,7.751281, id=,S03, PRDE,actvstrat=,0.802447, actvprof=,8.964598, id=,S04, PRDE,actvstrat=,0.987101, actvprof=,8.797933, id=,S05, PRDE,actvstrat=,0.809661, actvprof=,9.016819, id=,S06, PRDE,actvstrat=,-0.571518, actvprof=,2.510798, id=,S07, PRDE,actvstrat=,-0.827876, actvprof=,0.976098, id=,S08, PRDE,actvstrat=,0.346419, actvprof=,6.386856, id=,S09, PRDE,actvstrat=,0.845512, actvprof=,8.974320, best_B_id=,B08, best_B_prof=,4.670768, best_B_strat=,-0.878091, best_S_id=,S05, best_S_prof=,9.016819, best_S_strat=,0.809661, 
t=,14400, id=,B00, PRDE,actvstrat=,0.517651, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.687113, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.390369, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.559957, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.696452, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.861969, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.245984, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.731632, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.640799, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.655564, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.070625, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.222414, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.446137, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.802447, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.780179, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.889007, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.636442, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.550312, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.436979, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.138627, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.517651, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.070625, 
t=,18000, id=,B00, PRDE,actvstrat=,0.517651, actvprof=,2.667778, id=,B01, PRDE,actvstrat=,0.687113, actvprof=,2.678056, id=,B02, PRDE,actvstrat=,-0.390369, actvprof=,1.993611, id=,B03, PRDE,actvstrat=,0.559957, actvprof=,2.494444, id=,B04, PRDE,actvstrat=,-0.696452, actvprof=,2.586111, id=,B05, PRDE,actvstrat=,-0.861969, actvprof=,3.468333, id=,B06, PRDE,actvstrat=,-0.245984, actvprof=,1.904722, id=,B07, PRDE,actvstrat=,-0.731632, actvprof=,2.635278, id=,B08, PRDE,actvstrat=,0.640799, actvprof=,2.565000, id=,B09, PRDE,actvstrat=,0.655564, actvprof=,2.643611, id=,S00, PRDE,actvstrat=,0.070625, actvprof=,5.396111, id=,S01, PRDE,actvstrat=,-0.222414, actvprof=,3.465000, id=,S02, PRDE,actvstrat=,-0.446137, actvprof=,2.914444, id=,S03, PRDE,actvstrat=,0.802447, actvprof=,9.780278, id=,S04, PRDE,actvstrat=,0.780179, actvprof=,9.539444, id=,S05, PRDE,actvstrat=,-0.889007, actvprof=,0.680556, id=,S06, PRDE,actvstrat=,0.636442, actvprof=,8.580556, id=,S07, PRDE,actvstrat=,0.550312, actvprof=,7.939167, id=,S08, PRDE,actvstrat=,0.436979, actvprof=,7.375556, id=,S09, PRDE,actvstrat=,0.138627, actvprof=,5.914167, best_B_id=,B05, best_B_prof=,3.468333, best_B_strat=,-0.861969, best_S_id=,S03, best_S_prof=,9.780278, best_S_strat=,0.802447, 
t=,21600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.614257, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.734528, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.398103, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.229953, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.897629, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.657724, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,1.000000, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.408922, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,2.513646, id=,B02, PRDE,actvstrat=,0.614257, actvprof=,3.368380, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,2.280865, id=,B04, PRDE,actvstrat=,-0.734528, actvprof=,3.313102, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,2.790317, id=,B06, PRDE,actvstrat=,-0.398103, actvprof=,3.100876, id=,B07, PRDE,actvstrat=,0.229953, actvprof=,3.209211, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.408922, id=,B09, PRDE,actvstrat=,0.897629, actvprof=,3.058654, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.802372, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,10.602369, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.396172, id=,S03, PRDE,actvstrat=,-0.657724, actvprof=,2.801428, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,4.692010, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,4.544785, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,10.601258, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,4.731455, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,4.459784, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,10.716816, best_B_id=,B02, best_B_prof=,3.368380, best_B_strat=,0.614257, best_S_id=,S00, best_S_prof=,10.802372, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.305694, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,2.265972, id=,B02, PRDE,actvstrat=,0.614257, actvprof=,3.057639, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,2.262917, id=,B04, PRDE,actvstrat=,-0.734528, actvprof=,3.038333, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,2.465139, id=,B06, PRDE,actvstrat=,-0.398103, actvprof=,2.726389, id=,B07, PRDE,actvstrat=,0.229953, actvprof=,2.913472, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.355556, id=,B09, PRDE,actvstrat=,0.897629, actvprof=,2.784444, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.976667, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,11.046528, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.445833, id=,S03, PRDE,actvstrat=,-0.657724, actvprof=,2.552778, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,4.767639, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,4.705972, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,10.790139, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,4.724722, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,4.655972, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,11.091528, best_B_id=,B02, best_B_prof=,3.057639, best_B_strat=,0.614257, best_S_id=,S09, best_S_prof=,11.091528, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.813048, actvprof=,3.181843, id=,B01, PRDE,actvstrat=,-0.639803, actvprof=,2.545419, id=,B02, PRDE,actvstrat=,-0.118788, actvprof=,2.209012, id=,B03, PRDE,actvstrat=,0.590153, actvprof=,2.506250, id=,B04, PRDE,actvstrat=,0.044377, actvprof=,2.000389, id=,B05, PRDE,actvstrat=,0.551357, actvprof=,2.596255, id=,B06, PRDE,actvstrat=,0.122829, actvprof=,2.184566, id=,B07, PRDE,actvstrat=,0.487315, actvprof=,2.274571, id=,B08, PRDE,actvstrat=,0.791307, actvprof=,2.410967, id=,B09, PRDE,actvstrat=,0.578708, actvprof=,2.487638, id=,S00, PRDE,actvstrat=,0.014016, actvprof=,5.878382, id=,S01, PRDE,actvstrat=,0.979754, actvprof=,10.362242, id=,S02, PRDE,actvstrat=,-0.838597, actvprof=,0.889494, id=,S03, PRDE,actvstrat=,0.788731, actvprof=,10.088060, id=,S04, PRDE,actvstrat=,-0.657997, actvprof=,2.821268, id=,S05, PRDE,actvstrat=,0.657224, actvprof=,9.219401, id=,S06, PRDE,actvstrat=,0.876225, actvprof=,10.344464, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,3.728818, id=,S08, PRDE,actvstrat=,-0.530560, actvprof=,2.593755, id=,S09, PRDE,actvstrat=,0.784655, actvprof=,9.904439, best_B_id=,B00, best_B_prof=,3.181843, best_B_strat=,-0.813048, best_S_id=,S01, best_S_prof=,10.362242, best_S_strat=,0.979754, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.813048, actvprof=,3.257452, id=,B01, PRDE,actvstrat=,-0.639803, actvprof=,2.604100, id=,B02, PRDE,actvstrat=,-0.118788, actvprof=,2.162560, id=,B03, PRDE,actvstrat=,0.590153, actvprof=,2.562016, id=,B04, PRDE,actvstrat=,0.044377, actvprof=,2.120476, id=,B05, PRDE,actvstrat=,0.551357, actvprof=,2.691880, id=,B06, PRDE,actvstrat=,0.122829, actvprof=,2.249646, id=,B07, PRDE,actvstrat=,0.487315, actvprof=,2.340204, id=,B08, PRDE,actvstrat=,0.791307, actvprof=,2.452568, id=,B09, PRDE,actvstrat=,0.578708, actvprof=,2.676324, id=,S00, PRDE,actvstrat=,0.014016, actvprof=,5.668352, id=,S01, PRDE,actvstrat=,0.979754, actvprof=,10.393205, id=,S02, PRDE,actvstrat=,-0.838597, actvprof=,0.915720, id=,S03, PRDE,actvstrat=,0.788731, actvprof=,10.138059, id=,S04, PRDE,actvstrat=,-0.657997, actvprof=,2.703964, id=,S05, PRDE,actvstrat=,0.657224, actvprof=,9.212061, id=,S06, PRDE,actvstrat=,0.876225, actvprof=,10.236257, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,3.818717, id=,S08, PRDE,actvstrat=,-0.530560, actvprof=,2.617850, id=,S09, PRDE,actvstrat=,0.784655, actvprof=,9.936665, best_B_id=,B00, best_B_prof=,3.257452, best_B_strat=,-0.813048, best_S_id=,S01, best_S_prof=,10.393205, best_S_strat=,0.979754, 
