t=,0, id=,B00, PRDE,actvstrat=,-0.364751, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.987523, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.793264, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.913700, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.071128, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.937489, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.283260, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.345689, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.420526, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.790064, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.159526, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.473568, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.545026, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.018545, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.938140, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.768648, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.814178, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.974605, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.800572, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.603349, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.364751, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.159526, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.364751, actvprof=,2.268889, id=,B01, PRDE,actvstrat=,0.987523, actvprof=,0.962778, id=,B02, PRDE,actvstrat=,-0.793264, actvprof=,3.284167, id=,B03, PRDE,actvstrat=,0.913700, actvprof=,2.071667, id=,B04, PRDE,actvstrat=,0.071128, actvprof=,2.143611, id=,B05, PRDE,actvstrat=,-0.937489, actvprof=,3.390556, id=,B06, PRDE,actvstrat=,0.283260, actvprof=,2.603056, id=,B07, PRDE,actvstrat=,0.345689, actvprof=,2.699444, id=,B08, PRDE,actvstrat=,0.420526, actvprof=,2.692778, id=,B09, PRDE,actvstrat=,-0.790064, actvprof=,3.346111, id=,S00, PRDE,actvstrat=,-0.159526, actvprof=,4.430556, id=,S01, PRDE,actvstrat=,-0.473568, actvprof=,4.108611, id=,S02, PRDE,actvstrat=,0.545026, actvprof=,8.961389, id=,S03, PRDE,actvstrat=,0.018545, actvprof=,6.585000, id=,S04, PRDE,actvstrat=,0.938140, actvprof=,10.552222, id=,S05, PRDE,actvstrat=,0.768648, actvprof=,10.286111, id=,S06, PRDE,actvstrat=,0.814178, actvprof=,10.398889, id=,S07, PRDE,actvstrat=,0.974605, actvprof=,10.185000, id=,S08, PRDE,actvstrat=,-0.800572, actvprof=,1.542222, id=,S09, PRDE,actvstrat=,-0.603349, actvprof=,3.375833, best_B_id=,B05, best_B_prof=,3.390556, best_B_strat=,-0.937489, best_S_id=,S04, best_S_prof=,10.552222, best_S_strat=,0.938140, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.002101, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.647672, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.254823, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.316659, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.553629, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.031765, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.174780, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.601018, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.282351, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.942150, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.050570, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.593517, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.944167, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.579273, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.920338, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.366943, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.974698, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.876317, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.616097, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.625889, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.002101, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.050570, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.002101, actvprof=,2.642463, id=,B01, PRDE,actvstrat=,-0.647672, actvprof=,3.572173, id=,B02, PRDE,actvstrat=,0.254823, actvprof=,2.979403, id=,B03, PRDE,actvstrat=,-0.316659, actvprof=,2.628852, id=,B04, PRDE,actvstrat=,0.553629, actvprof=,3.169123, id=,B05, PRDE,actvstrat=,-0.031765, actvprof=,2.545520, id=,B06, PRDE,actvstrat=,-0.174780, actvprof=,2.640241, id=,B07, PRDE,actvstrat=,-0.601018, actvprof=,3.301343, id=,B08, PRDE,actvstrat=,0.282351, actvprof=,2.958570, id=,B09, PRDE,actvstrat=,0.942150, actvprof=,1.645255, id=,S00, PRDE,actvstrat=,0.050570, actvprof=,5.432147, id=,S01, PRDE,actvstrat=,0.593517, actvprof=,8.580159, id=,S02, PRDE,actvstrat=,0.944167, actvprof=,9.730698, id=,S03, PRDE,actvstrat=,-0.579273, actvprof=,2.253858, id=,S04, PRDE,actvstrat=,-0.920338, actvprof=,0.746101, id=,S05, PRDE,actvstrat=,-0.366943, actvprof=,2.422466, id=,S06, PRDE,actvstrat=,0.974698, actvprof=,9.405147, id=,S07, PRDE,actvstrat=,0.876317, actvprof=,9.655699, id=,S08, PRDE,actvstrat=,0.616097, actvprof=,8.357106, id=,S09, PRDE,actvstrat=,-0.625889, actvprof=,2.443577, best_B_id=,B01, best_B_prof=,3.572173, best_B_strat=,-0.647672, best_S_id=,S02, best_S_prof=,9.730698, best_S_strat=,0.944167, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.002101, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.599551, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.105347, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.568246, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.553629, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.179051, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.779967, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.583331, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.282351, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.551041, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.058179, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.487447, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.895433, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.018545, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.734234, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.091060, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.659881, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.936698, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.468184, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.898000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.002101, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.058179, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.002101, actvprof=,2.822222, id=,B01, PRDE,actvstrat=,-0.599551, actvprof=,3.335278, id=,B02, PRDE,actvstrat=,-0.105347, actvprof=,2.719444, id=,B03, PRDE,actvstrat=,0.568246, actvprof=,3.275833, id=,B04, PRDE,actvstrat=,0.553629, actvprof=,3.096944, id=,B05, PRDE,actvstrat=,-0.179051, actvprof=,2.681111, id=,B06, PRDE,actvstrat=,0.779967, actvprof=,2.967222, id=,B07, PRDE,actvstrat=,0.583331, actvprof=,3.186111, id=,B08, PRDE,actvstrat=,0.282351, actvprof=,3.126667, id=,B09, PRDE,actvstrat=,-0.551041, actvprof=,2.898333, id=,S00, PRDE,actvstrat=,-0.058179, actvprof=,4.785000, id=,S01, PRDE,actvstrat=,-0.487447, actvprof=,2.505833, id=,S02, PRDE,actvstrat=,0.895433, actvprof=,9.728611, id=,S03, PRDE,actvstrat=,0.018545, actvprof=,5.303889, id=,S04, PRDE,actvstrat=,0.734234, actvprof=,8.852222, id=,S05, PRDE,actvstrat=,0.091060, actvprof=,5.449444, id=,S06, PRDE,actvstrat=,0.659881, actvprof=,8.451389, id=,S07, PRDE,actvstrat=,-0.936698, actvprof=,1.286667, id=,S08, PRDE,actvstrat=,0.468184, actvprof=,7.454444, id=,S09, PRDE,actvstrat=,0.898000, actvprof=,9.562222, best_B_id=,B01, best_B_prof=,3.335278, best_B_strat=,-0.599551, best_S_id=,S02, best_S_prof=,9.728611, best_S_strat=,0.895433, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.002101, actvprof=,2.662222, id=,B01, PRDE,actvstrat=,-0.599551, actvprof=,3.247083, id=,B02, PRDE,actvstrat=,-0.105347, actvprof=,2.675833, id=,B03, PRDE,actvstrat=,0.568246, actvprof=,3.223889, id=,B04, PRDE,actvstrat=,0.553629, actvprof=,3.056806, id=,B05, PRDE,actvstrat=,-0.179051, actvprof=,2.622222, id=,B06, PRDE,actvstrat=,0.779967, actvprof=,3.051667, id=,B07, PRDE,actvstrat=,0.583331, actvprof=,3.159444, id=,B08, PRDE,actvstrat=,0.282351, actvprof=,3.114583, id=,B09, PRDE,actvstrat=,-0.551041, actvprof=,2.978472, id=,S00, PRDE,actvstrat=,-0.058179, actvprof=,4.642778, id=,S01, PRDE,actvstrat=,-0.487447, actvprof=,2.602778, id=,S02, PRDE,actvstrat=,0.895433, actvprof=,9.630833, id=,S03, PRDE,actvstrat=,0.018545, actvprof=,5.290694, id=,S04, PRDE,actvstrat=,0.734234, actvprof=,8.874583, id=,S05, PRDE,actvstrat=,0.091060, actvprof=,5.516250, id=,S06, PRDE,actvstrat=,0.659881, actvprof=,8.470556, id=,S07, PRDE,actvstrat=,-0.936698, actvprof=,1.068472, id=,S08, PRDE,actvstrat=,0.468184, actvprof=,7.439722, id=,S09, PRDE,actvstrat=,0.898000, actvprof=,9.637778, best_B_id=,B01, best_B_prof=,3.247083, best_B_strat=,-0.599551, best_S_id=,S09, best_S_prof=,9.637778, best_S_strat=,0.898000, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.327505, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.293337, id=,B02, PRDE,actvstrat=,-0.354021, actvprof=,0.593342, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.343894, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.309449, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.327782, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.320838, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.276115, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.309171, id=,B09, PRDE,actvstrat=,0.665401, actvprof=,0.717510, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,7.376214, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,7.357324, id=,S02, PRDE,actvstrat=,-0.074308, actvprof=,7.602883, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,7.535105, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,14.079084, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,14.228531, id=,S06, PRDE,actvstrat=,-0.318970, actvprof=,5.270907, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,7.616495, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,7.517604, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,7.153710, best_B_id=,B09, best_B_prof=,0.717510, best_B_strat=,0.665401, best_S_id=,S05, best_S_prof=,14.228531, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.333891, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.317502, id=,B02, PRDE,actvstrat=,-0.354021, actvprof=,0.592921, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.363475, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.344725, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.313613, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.309308, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.273196, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.387503, id=,B09, PRDE,actvstrat=,0.665401, actvprof=,0.706949, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,7.379079, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,7.533386, id=,S02, PRDE,actvstrat=,-0.074308, actvprof=,7.541025, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,7.478663, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,13.984125, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,14.084542, id=,S06, PRDE,actvstrat=,-0.318970, actvprof=,5.472677, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,7.628386, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,7.517274, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,7.216161, best_B_id=,B09, best_B_prof=,0.706949, best_B_strat=,0.665401, best_S_id=,S05, best_S_prof=,14.084542, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.002101, actvprof=,3.015639, id=,B01, PRDE,actvstrat=,-0.283823, actvprof=,2.857302, id=,B02, PRDE,actvstrat=,-0.354685, actvprof=,2.905914, id=,B03, PRDE,actvstrat=,0.957962, actvprof=,2.040057, id=,B04, PRDE,actvstrat=,-0.773528, actvprof=,3.883719, id=,B05, PRDE,actvstrat=,0.114199, actvprof=,3.156754, id=,B06, PRDE,actvstrat=,0.078905, actvprof=,2.757299, id=,B07, PRDE,actvstrat=,-0.196057, actvprof=,3.100919, id=,B08, PRDE,actvstrat=,-0.276576, actvprof=,2.536459, id=,B09, PRDE,actvstrat=,0.037375, actvprof=,3.000361, id=,S00, PRDE,actvstrat=,0.073546, actvprof=,5.064307, id=,S01, PRDE,actvstrat=,-0.183548, actvprof=,2.834801, id=,S02, PRDE,actvstrat=,0.944167, actvprof=,8.980805, id=,S03, PRDE,actvstrat=,0.251026, actvprof=,5.746826, id=,S04, PRDE,actvstrat=,-0.161812, actvprof=,2.991750, id=,S05, PRDE,actvstrat=,0.837062, actvprof=,8.790800, id=,S06, PRDE,actvstrat=,-0.402529, actvprof=,2.565627, id=,S07, PRDE,actvstrat=,0.150064, actvprof=,5.296258, id=,S08, PRDE,actvstrat=,0.617653, actvprof=,7.667157, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,4.742910, best_B_id=,B04, best_B_prof=,3.883719, best_B_strat=,-0.773528, best_S_id=,S02, best_S_prof=,8.980805, best_S_strat=,0.944167, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.002101, actvprof=,2.944069, id=,B01, PRDE,actvstrat=,-0.283823, actvprof=,2.850734, id=,B02, PRDE,actvstrat=,-0.354685, actvprof=,2.963513, id=,B03, PRDE,actvstrat=,0.957962, actvprof=,2.020445, id=,B04, PRDE,actvstrat=,-0.773528, actvprof=,3.986166, id=,B05, PRDE,actvstrat=,0.114199, actvprof=,3.037126, id=,B06, PRDE,actvstrat=,0.078905, actvprof=,2.949624, id=,B07, PRDE,actvstrat=,-0.196057, actvprof=,3.071015, id=,B08, PRDE,actvstrat=,-0.276576, actvprof=,2.619342, id=,B09, PRDE,actvstrat=,0.037375, actvprof=,2.930318, id=,S00, PRDE,actvstrat=,0.073546, actvprof=,5.206461, id=,S01, PRDE,actvstrat=,-0.183548, actvprof=,2.974347, id=,S02, PRDE,actvstrat=,0.944167, actvprof=,8.936930, id=,S03, PRDE,actvstrat=,0.251026, actvprof=,5.758413, id=,S04, PRDE,actvstrat=,-0.161812, actvprof=,3.012681, id=,S05, PRDE,actvstrat=,0.837062, actvprof=,8.964430, id=,S06, PRDE,actvstrat=,-0.402529, actvprof=,2.573925, id=,S07, PRDE,actvstrat=,0.150064, actvprof=,5.421186, id=,S08, PRDE,actvstrat=,0.617653, actvprof=,7.599967, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,4.691593, best_B_id=,B04, best_B_prof=,3.986166, best_B_strat=,-0.773528, best_S_id=,S05, best_S_prof=,8.964430, best_S_strat=,0.837062, 
