t=,1, id=,B00, PRDE,actvstrat=,0.927055, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.618996, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.634992, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.892760, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.517898, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.736468, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.901698, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.187584, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.173265, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.803532, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.530542, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.577672, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.645743, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.051859, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.085676, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.836142, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.717338, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.116978, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.099574, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.230431, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.927055, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.530542, 
t=,3600, id=,B00, PRDE,actvstrat=,0.927055, actvprof=,1.371944, id=,B01, PRDE,actvstrat=,-0.618996, actvprof=,1.307500, id=,B02, PRDE,actvstrat=,0.634992, actvprof=,1.907222, id=,B03, PRDE,actvstrat=,0.892760, actvprof=,1.488889, id=,B04, PRDE,actvstrat=,0.517898, actvprof=,1.792778, id=,B05, PRDE,actvstrat=,0.736468, actvprof=,1.725000, id=,B06, PRDE,actvstrat=,-0.901698, actvprof=,2.347500, id=,B07, PRDE,actvstrat=,-0.187584, actvprof=,1.181389, id=,B08, PRDE,actvstrat=,0.173265, actvprof=,1.347222, id=,B09, PRDE,actvstrat=,0.803532, actvprof=,1.793889, id=,S00, PRDE,actvstrat=,0.530542, actvprof=,10.519167, id=,S01, PRDE,actvstrat=,0.577672, actvprof=,10.780833, id=,S02, PRDE,actvstrat=,0.645743, actvprof=,10.784167, id=,S03, PRDE,actvstrat=,0.051859, actvprof=,7.913889, id=,S04, PRDE,actvstrat=,-0.085676, actvprof=,6.522778, id=,S05, PRDE,actvstrat=,-0.836142, actvprof=,1.816389, id=,S06, PRDE,actvstrat=,-0.717338, actvprof=,3.606944, id=,S07, PRDE,actvstrat=,-0.116978, actvprof=,6.329722, id=,S08, PRDE,actvstrat=,0.099574, actvprof=,8.365556, id=,S09, PRDE,actvstrat=,-0.230431, actvprof=,5.297222, best_B_id=,B06, best_B_prof=,2.347500, best_B_strat=,-0.901698, best_S_id=,S02, best_S_prof=,10.784167, best_S_strat=,0.645743, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.411968, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.836607, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.245735, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.258939, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.057065, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.813153, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.621519, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.561176, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.543546, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.498433, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.640088, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.968105, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.532886, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.632825, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.659693, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.767891, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.405362, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.756005, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.986195, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.748342, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.411968, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.640088, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.411968, actvprof=,0.789455, id=,B01, PRDE,actvstrat=,-0.836607, actvprof=,1.319741, id=,B02, PRDE,actvstrat=,-0.245735, actvprof=,0.884735, id=,B03, PRDE,actvstrat=,0.258939, actvprof=,1.373630, id=,B04, PRDE,actvstrat=,-0.057065, actvprof=,1.027514, id=,B05, PRDE,actvstrat=,-0.813153, actvprof=,1.158072, id=,B06, PRDE,actvstrat=,-0.621519, actvprof=,0.950013, id=,B07, PRDE,actvstrat=,0.561176, actvprof=,1.627523, id=,B08, PRDE,actvstrat=,-0.543546, actvprof=,0.821123, id=,B09, PRDE,actvstrat=,-0.498433, actvprof=,1.044181, id=,S00, PRDE,actvstrat=,-0.640088, actvprof=,2.610036, id=,S01, PRDE,actvstrat=,-0.968105, actvprof=,0.860845, id=,S02, PRDE,actvstrat=,-0.532886, actvprof=,2.954208, id=,S03, PRDE,actvstrat=,-0.632825, actvprof=,2.461979, id=,S04, PRDE,actvstrat=,-0.659693, actvprof=,2.558924, id=,S05, PRDE,actvstrat=,-0.767891, actvprof=,1.843081, id=,S06, PRDE,actvstrat=,-0.405362, actvprof=,3.201156, id=,S07, PRDE,actvstrat=,0.756005, actvprof=,9.662079, id=,S08, PRDE,actvstrat=,-0.986195, actvprof=,1.759469, id=,S09, PRDE,actvstrat=,-0.748342, actvprof=,2.203919, best_B_id=,B07, best_B_prof=,1.627523, best_B_strat=,0.561176, best_S_id=,S07, best_S_prof=,9.662079, best_S_strat=,0.756005, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.411968, actvprof=,0.771255, id=,B01, PRDE,actvstrat=,-0.836607, actvprof=,1.287370, id=,B02, PRDE,actvstrat=,-0.245735, actvprof=,0.849867, id=,B03, PRDE,actvstrat=,0.258939, actvprof=,1.324037, id=,B04, PRDE,actvstrat=,-0.057065, actvprof=,1.036674, id=,B05, PRDE,actvstrat=,-0.813153, actvprof=,1.171814, id=,B06, PRDE,actvstrat=,-0.621519, actvprof=,0.904590, id=,B07, PRDE,actvstrat=,0.561176, actvprof=,1.587650, id=,B08, PRDE,actvstrat=,-0.543546, actvprof=,0.874312, id=,B09, PRDE,actvstrat=,-0.498433, actvprof=,0.879312, id=,S00, PRDE,actvstrat=,-0.640088, actvprof=,2.592101, id=,S01, PRDE,actvstrat=,-0.968105, actvprof=,0.834728, id=,S02, PRDE,actvstrat=,-0.532886, actvprof=,2.925715, id=,S03, PRDE,actvstrat=,-0.632825, actvprof=,2.635852, id=,S04, PRDE,actvstrat=,-0.659693, actvprof=,2.514879, id=,S05, PRDE,actvstrat=,-0.767891, actvprof=,1.771123, id=,S06, PRDE,actvstrat=,-0.405362, actvprof=,3.115022, id=,S07, PRDE,actvstrat=,0.756005, actvprof=,9.513261, id=,S08, PRDE,actvstrat=,-0.986195, actvprof=,1.660012, id=,S09, PRDE,actvstrat=,-0.748342, actvprof=,2.039597, best_B_id=,B07, best_B_prof=,1.587650, best_B_strat=,0.561176, best_S_id=,S07, best_S_prof=,9.513261, best_S_strat=,0.756005, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.195717, actvprof=,1.844218, id=,B01, PRDE,actvstrat=,-0.774632, actvprof=,2.325898, id=,B02, PRDE,actvstrat=,-0.543405, actvprof=,1.863385, id=,B03, PRDE,actvstrat=,0.612962, actvprof=,2.346454, id=,B04, PRDE,actvstrat=,-0.057065, actvprof=,1.831162, id=,B05, PRDE,actvstrat=,-0.838958, actvprof=,2.807578, id=,B06, PRDE,actvstrat=,-0.981338, actvprof=,3.014528, id=,B07, PRDE,actvstrat=,-0.565444, actvprof=,1.918942, id=,B08, PRDE,actvstrat=,-0.037269, actvprof=,1.694214, id=,B09, PRDE,actvstrat=,0.788165, actvprof=,2.171449, id=,S00, PRDE,actvstrat=,-0.709955, actvprof=,1.885608, id=,S01, PRDE,actvstrat=,0.213550, actvprof=,6.244618, id=,S02, PRDE,actvstrat=,0.013416, actvprof=,5.589600, id=,S03, PRDE,actvstrat=,0.580161, actvprof=,8.421901, id=,S04, PRDE,actvstrat=,-0.769423, actvprof=,1.626434, id=,S05, PRDE,actvstrat=,0.641651, actvprof=,8.520514, id=,S06, PRDE,actvstrat=,-0.426480, actvprof=,2.804522, id=,S07, PRDE,actvstrat=,0.943330, actvprof=,9.909442, id=,S08, PRDE,actvstrat=,-0.143713, actvprof=,3.659268, id=,S09, PRDE,actvstrat=,-0.230431, actvprof=,3.455652, best_B_id=,B06, best_B_prof=,3.014528, best_B_strat=,-0.981338, best_S_id=,S07, best_S_prof=,9.909442, best_S_strat=,0.943330, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.195717, actvprof=,1.844053, id=,B01, PRDE,actvstrat=,-0.774632, actvprof=,2.347533, id=,B02, PRDE,actvstrat=,-0.543405, actvprof=,1.843498, id=,B03, PRDE,actvstrat=,0.612962, actvprof=,2.359061, id=,B04, PRDE,actvstrat=,-0.057065, actvprof=,1.839470, id=,B05, PRDE,actvstrat=,-0.838958, actvprof=,2.889901, id=,B06, PRDE,actvstrat=,-0.981338, actvprof=,3.079348, id=,B07, PRDE,actvstrat=,-0.565444, actvprof=,1.829748, id=,B08, PRDE,actvstrat=,-0.037269, actvprof=,1.743913, id=,B09, PRDE,actvstrat=,0.788165, actvprof=,2.346560, id=,S00, PRDE,actvstrat=,-0.709955, actvprof=,2.059056, id=,S01, PRDE,actvstrat=,0.213550, actvprof=,6.124530, id=,S02, PRDE,actvstrat=,0.013416, actvprof=,5.805358, id=,S03, PRDE,actvstrat=,0.580161, actvprof=,8.314838, id=,S04, PRDE,actvstrat=,-0.769423, actvprof=,1.530160, id=,S05, PRDE,actvstrat=,0.641651, actvprof=,8.520257, id=,S06, PRDE,actvstrat=,-0.426480, actvprof=,2.788233, id=,S07, PRDE,actvstrat=,0.943330, actvprof=,9.839442, id=,S08, PRDE,actvstrat=,-0.143713, actvprof=,3.828803, id=,S09, PRDE,actvstrat=,-0.230431, actvprof=,3.356158, best_B_id=,B06, best_B_prof=,3.079348, best_B_strat=,-0.981338, best_S_id=,S07, best_S_prof=,9.839442, best_S_strat=,0.943330, 
t=,25200, id=,B00, PRDE,actvstrat=,0.581842, actvprof=,1.603700, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,1.295905, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,1.280349, id=,B03, PRDE,actvstrat=,-0.205695, actvprof=,0.826435, id=,B04, PRDE,actvstrat=,-0.099569, actvprof=,0.950053, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.225068, id=,B06, PRDE,actvstrat=,-0.124854, actvprof=,0.996444, id=,B07, PRDE,actvstrat=,-0.544824, actvprof=,1.152564, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.714262, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.206456, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,7.457081, id=,S01, PRDE,actvstrat=,-0.806035, actvprof=,1.883438, id=,S02, PRDE,actvstrat=,-0.830219, actvprof=,1.626479, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,7.755709, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,11.674537, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,7.872104, id=,S06, PRDE,actvstrat=,-0.594723, actvprof=,3.938830, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,7.507362, id=,S08, PRDE,actvstrat=,0.426806, actvprof=,9.043836, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,7.682649, best_B_id=,B08, best_B_prof=,1.714262, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,11.674537, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.581842, actvprof=,1.527126, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,1.314481, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,1.196005, id=,B03, PRDE,actvstrat=,-0.205695, actvprof=,0.917803, id=,B04, PRDE,actvstrat=,-0.099569, actvprof=,0.920859, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.200172, id=,B06, PRDE,actvstrat=,-0.124854, actvprof=,0.989194, id=,B07, PRDE,actvstrat=,-0.544824, actvprof=,1.003361, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.573516, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.181283, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,7.814245, id=,S01, PRDE,actvstrat=,-0.806035, actvprof=,1.926442, id=,S02, PRDE,actvstrat=,-0.830219, actvprof=,1.672824, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,7.605211, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,11.869219, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,7.865635, id=,S06, PRDE,actvstrat=,-0.594723, actvprof=,4.013445, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,7.653268, id=,S08, PRDE,actvstrat=,0.426806, actvprof=,8.851357, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,7.573405, best_B_id=,B08, best_B_prof=,1.573516, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,11.869219, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.078917, actvprof=,1.228940, id=,B01, PRDE,actvstrat=,-0.842204, actvprof=,1.878412, id=,B02, PRDE,actvstrat=,0.731519, actvprof=,1.863411, id=,B03, PRDE,actvstrat=,0.476044, actvprof=,1.634513, id=,B04, PRDE,actvstrat=,0.318999, actvprof=,1.412559, id=,B05, PRDE,actvstrat=,-0.867503, actvprof=,2.047585, id=,B06, PRDE,actvstrat=,-0.626734, actvprof=,1.388669, id=,B07, PRDE,actvstrat=,-0.717138, actvprof=,1.376446, id=,B08, PRDE,actvstrat=,0.701989, actvprof=,1.895912, id=,B09, PRDE,actvstrat=,0.086352, actvprof=,1.327833, id=,S00, PRDE,actvstrat=,-0.307591, actvprof=,3.769602, id=,S01, PRDE,actvstrat=,-0.003419, actvprof=,6.159423, id=,S02, PRDE,actvstrat=,-0.975027, actvprof=,1.075600, id=,S03, PRDE,actvstrat=,-0.970647, actvprof=,1.114491, id=,S04, PRDE,actvstrat=,0.777080, actvprof=,10.152367, id=,S05, PRDE,actvstrat=,-0.981105, actvprof=,1.522841, id=,S06, PRDE,actvstrat=,0.289338, actvprof=,7.408920, id=,S07, PRDE,actvstrat=,0.787818, actvprof=,10.247927, id=,S08, PRDE,actvstrat=,0.178691, actvprof=,6.942234, id=,S09, PRDE,actvstrat=,-0.499298, actvprof=,3.177355, best_B_id=,B05, best_B_prof=,2.047585, best_B_strat=,-0.867503, best_S_id=,S07, best_S_prof=,10.247927, best_S_strat=,0.787818, 
t=,36000, id=,B00, PRDE,actvstrat=,0.078917, actvprof=,1.211570, id=,B01, PRDE,actvstrat=,-0.842204, actvprof=,1.945762, id=,B02, PRDE,actvstrat=,0.731519, actvprof=,1.879510, id=,B03, PRDE,actvstrat=,0.476044, actvprof=,1.635335, id=,B04, PRDE,actvstrat=,0.318999, actvprof=,1.507552, id=,B05, PRDE,actvstrat=,-0.867503, actvprof=,2.086184, id=,B06, PRDE,actvstrat=,-0.626734, actvprof=,1.299073, id=,B07, PRDE,actvstrat=,-0.717138, actvprof=,1.426716, id=,B08, PRDE,actvstrat=,0.701989, actvprof=,1.983958, id=,B09, PRDE,actvstrat=,0.086352, actvprof=,1.293100, id=,S00, PRDE,actvstrat=,-0.307591, actvprof=,3.626376, id=,S01, PRDE,actvstrat=,-0.003419, actvprof=,6.113685, id=,S02, PRDE,actvstrat=,-0.975027, actvprof=,1.211153, id=,S03, PRDE,actvstrat=,-0.970647, actvprof=,1.055037, id=,S04, PRDE,actvstrat=,0.777080, actvprof=,10.341470, id=,S05, PRDE,actvstrat=,-0.981105, actvprof=,1.671308, id=,S06, PRDE,actvstrat=,0.289338, actvprof=,7.352755, id=,S07, PRDE,actvstrat=,0.787818, actvprof=,10.360638, id=,S08, PRDE,actvstrat=,0.178691, actvprof=,6.910796, id=,S09, PRDE,actvstrat=,-0.499298, actvprof=,3.134831, best_B_id=,B05, best_B_prof=,2.086184, best_B_strat=,-0.867503, best_S_id=,S07, best_S_prof=,10.360638, best_S_strat=,0.787818, 
