t=,1, id=,B00, PRDE,actvstrat=,0.804858, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.348792, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.121306, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.021096, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.283821, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.679565, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.826155, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.597358, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.266557, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.856753, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.640276, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.002073, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.346923, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.459994, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.574779, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.671214, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.426809, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.894010, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.935347, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.414888, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.804858, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.640276, 
t=,3600, id=,B00, PRDE,actvstrat=,0.804858, actvprof=,2.521041, id=,B01, PRDE,actvstrat=,0.348792, actvprof=,2.565207, id=,B02, PRDE,actvstrat=,0.121306, actvprof=,2.281603, id=,B03, PRDE,actvstrat=,0.021096, actvprof=,2.102164, id=,B04, PRDE,actvstrat=,0.283821, actvprof=,2.260771, id=,B05, PRDE,actvstrat=,0.679565, actvprof=,2.670759, id=,B06, PRDE,actvstrat=,-0.826155, actvprof=,3.116025, id=,B07, PRDE,actvstrat=,-0.597358, actvprof=,2.278270, id=,B08, PRDE,actvstrat=,0.266557, actvprof=,2.252715, id=,B09, PRDE,actvstrat=,-0.856753, actvprof=,3.266020, id=,S00, PRDE,actvstrat=,0.640276, actvprof=,9.046693, id=,S01, PRDE,actvstrat=,-0.002073, actvprof=,5.450126, id=,S02, PRDE,actvstrat=,0.346923, actvprof=,6.968973, id=,S03, PRDE,actvstrat=,0.459994, actvprof=,7.641732, id=,S04, PRDE,actvstrat=,0.574779, actvprof=,8.216994, id=,S05, PRDE,actvstrat=,0.671214, actvprof=,9.026138, id=,S06, PRDE,actvstrat=,-0.426809, actvprof=,2.521319, id=,S07, PRDE,actvstrat=,0.894010, actvprof=,10.153885, id=,S08, PRDE,actvstrat=,-0.935347, actvprof=,0.915808, id=,S09, PRDE,actvstrat=,-0.414888, actvprof=,3.096858, best_B_id=,B09, best_B_prof=,3.266020, best_B_strat=,-0.856753, best_S_id=,S07, best_S_prof=,10.153885, best_S_strat=,0.894010, 
t=,7200, id=,B00, PRDE,actvstrat=,0.321348, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.903290, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.439520, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.582672, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.062338, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.167124, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.016545, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.729157, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.461883, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.044899, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.605805, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.688673, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.628788, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.434164, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.479183, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.081194, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.641229, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.378228, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.597420, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.058299, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.321348, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.605805, 
t=,10800, id=,B00, PRDE,actvstrat=,0.321348, actvprof=,2.896667, id=,B01, PRDE,actvstrat=,0.903290, actvprof=,2.231667, id=,B02, PRDE,actvstrat=,-0.439520, actvprof=,2.421667, id=,B03, PRDE,actvstrat=,-0.582672, actvprof=,2.576111, id=,B04, PRDE,actvstrat=,-0.062338, actvprof=,2.444722, id=,B05, PRDE,actvstrat=,0.167124, actvprof=,2.899167, id=,B06, PRDE,actvstrat=,-0.016545, actvprof=,2.350000, id=,B07, PRDE,actvstrat=,-0.729157, actvprof=,3.407500, id=,B08, PRDE,actvstrat=,0.461883, actvprof=,2.768611, id=,B09, PRDE,actvstrat=,-0.044899, actvprof=,2.535278, id=,S00, PRDE,actvstrat=,0.605805, actvprof=,8.151389, id=,S01, PRDE,actvstrat=,-0.688673, actvprof=,2.208611, id=,S02, PRDE,actvstrat=,-0.628788, actvprof=,2.549444, id=,S03, PRDE,actvstrat=,0.434164, actvprof=,6.943611, id=,S04, PRDE,actvstrat=,0.479183, actvprof=,7.325000, id=,S05, PRDE,actvstrat=,-0.081194, actvprof=,4.010000, id=,S06, PRDE,actvstrat=,0.641229, actvprof=,8.143889, id=,S07, PRDE,actvstrat=,0.378228, actvprof=,6.603611, id=,S08, PRDE,actvstrat=,0.597420, actvprof=,7.922778, id=,S09, PRDE,actvstrat=,-0.058299, actvprof=,4.743611, best_B_id=,B07, best_B_prof=,3.407500, best_B_strat=,-0.729157, best_S_id=,S00, best_S_prof=,8.151389, best_S_strat=,0.605805, 
t=,14400, id=,B00, PRDE,actvstrat=,0.321348, actvprof=,2.811806, id=,B01, PRDE,actvstrat=,0.903290, actvprof=,2.268889, id=,B02, PRDE,actvstrat=,-0.439520, actvprof=,2.505972, id=,B03, PRDE,actvstrat=,-0.582672, actvprof=,2.620972, id=,B04, PRDE,actvstrat=,-0.062338, actvprof=,2.537500, id=,B05, PRDE,actvstrat=,0.167124, actvprof=,2.722083, id=,B06, PRDE,actvstrat=,-0.016545, actvprof=,2.310972, id=,B07, PRDE,actvstrat=,-0.729157, actvprof=,3.303194, id=,B08, PRDE,actvstrat=,0.461883, actvprof=,2.884583, id=,B09, PRDE,actvstrat=,-0.044899, actvprof=,2.573611, id=,S00, PRDE,actvstrat=,0.605805, actvprof=,8.144861, id=,S01, PRDE,actvstrat=,-0.688673, actvprof=,2.129028, id=,S02, PRDE,actvstrat=,-0.628788, actvprof=,2.460833, id=,S03, PRDE,actvstrat=,0.434164, actvprof=,7.301389, id=,S04, PRDE,actvstrat=,0.479183, actvprof=,7.239861, id=,S05, PRDE,actvstrat=,-0.081194, actvprof=,3.988472, id=,S06, PRDE,actvstrat=,0.641229, actvprof=,8.162361, id=,S07, PRDE,actvstrat=,0.378228, actvprof=,6.615972, id=,S08, PRDE,actvstrat=,0.597420, actvprof=,7.831389, id=,S09, PRDE,actvstrat=,-0.058299, actvprof=,4.864028, best_B_id=,B07, best_B_prof=,3.303194, best_B_strat=,-0.729157, best_S_id=,S06, best_S_prof=,8.162361, best_S_strat=,0.641229, 
t=,18000, id=,B00, PRDE,actvstrat=,0.472821, actvprof=,3.812222, id=,B01, PRDE,actvstrat=,0.166892, actvprof=,3.572222, id=,B02, PRDE,actvstrat=,-0.707595, actvprof=,4.128889, id=,B03, PRDE,actvstrat=,-0.442849, actvprof=,3.552500, id=,B04, PRDE,actvstrat=,0.481266, actvprof=,4.065000, id=,B05, PRDE,actvstrat=,0.919824, actvprof=,2.793889, id=,B06, PRDE,actvstrat=,-0.708454, actvprof=,4.514444, id=,B07, PRDE,actvstrat=,0.663564, actvprof=,3.971389, id=,B08, PRDE,actvstrat=,-0.491890, actvprof=,3.762778, id=,B09, PRDE,actvstrat=,-0.586977, actvprof=,3.816667, id=,S00, PRDE,actvstrat=,0.490174, actvprof=,6.665000, id=,S01, PRDE,actvstrat=,-0.348561, actvprof=,2.589722, id=,S02, PRDE,actvstrat=,0.522753, actvprof=,6.765278, id=,S03, PRDE,actvstrat=,0.721561, actvprof=,7.751389, id=,S04, PRDE,actvstrat=,0.200563, actvprof=,5.128611, id=,S05, PRDE,actvstrat=,-0.972540, actvprof=,2.954722, id=,S06, PRDE,actvstrat=,0.885872, actvprof=,8.564167, id=,S07, PRDE,actvstrat=,0.711583, actvprof=,7.867222, id=,S08, PRDE,actvstrat=,0.597420, actvprof=,7.233611, id=,S09, PRDE,actvstrat=,0.792449, actvprof=,8.334722, best_B_id=,B06, best_B_prof=,4.514444, best_B_strat=,-0.708454, best_S_id=,S06, best_S_prof=,8.564167, best_S_strat=,0.885872, 
t=,21600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.508285, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.493480, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.125831, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.134772, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.034044, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.615140, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.182151, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.371313, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.498870, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.696376, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.492939, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.462680, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.305839, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.006837, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.906874, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.249199, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.280120, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.696376, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,4.353515, id=,B01, PRDE,actvstrat=,0.508285, actvprof=,3.673764, id=,B02, PRDE,actvstrat=,-0.493480, actvprof=,3.216523, id=,B03, PRDE,actvstrat=,-0.125831, actvprof=,3.197078, id=,B04, PRDE,actvstrat=,-0.134772, actvprof=,3.021237, id=,B05, PRDE,actvstrat=,-0.034044, actvprof=,3.007903, id=,B06, PRDE,actvstrat=,-0.615140, actvprof=,3.546537, id=,B07, PRDE,actvstrat=,-0.182151, actvprof=,3.120963, id=,B08, PRDE,actvstrat=,-0.371313, actvprof=,3.006514, id=,B09, PRDE,actvstrat=,0.498870, actvprof=,3.511535, id=,S00, PRDE,actvstrat=,0.696376, actvprof=,7.543092, id=,S01, PRDE,actvstrat=,0.492939, actvprof=,6.399156, id=,S02, PRDE,actvstrat=,-0.462680, actvprof=,1.995639, id=,S03, PRDE,actvstrat=,-0.305839, actvprof=,2.310096, id=,S04, PRDE,actvstrat=,-0.006837, actvprof=,4.018501, id=,S05, PRDE,actvstrat=,0.906874, actvprof=,8.737864, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,4.042391, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,8.257566, id=,S08, PRDE,actvstrat=,0.249199, actvprof=,5.354945, id=,S09, PRDE,actvstrat=,0.280120, actvprof=,5.688848, best_B_id=,B00, best_B_prof=,4.353515, best_B_strat=,-1.000000, best_S_id=,S05, best_S_prof=,8.737864, best_S_strat=,0.906874, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,4.450232, id=,B01, PRDE,actvstrat=,0.508285, actvprof=,3.597853, id=,B02, PRDE,actvstrat=,-0.493480, actvprof=,3.355625, id=,B03, PRDE,actvstrat=,-0.125831, actvprof=,3.205345, id=,B04, PRDE,actvstrat=,-0.134772, actvprof=,2.930339, id=,B05, PRDE,actvstrat=,-0.034044, actvprof=,3.118815, id=,B06, PRDE,actvstrat=,-0.615140, actvprof=,3.448405, id=,B07, PRDE,actvstrat=,-0.182151, actvprof=,3.106454, id=,B08, PRDE,actvstrat=,-0.371313, actvprof=,3.140621, id=,B09, PRDE,actvstrat=,0.498870, actvprof=,3.580630, id=,S00, PRDE,actvstrat=,0.696376, actvprof=,7.583630, id=,S01, PRDE,actvstrat=,0.492939, actvprof=,6.369716, id=,S02, PRDE,actvstrat=,-0.462680, actvprof=,2.117822, id=,S03, PRDE,actvstrat=,-0.305839, actvprof=,2.284492, id=,S04, PRDE,actvstrat=,-0.006837, actvprof=,4.026195, id=,S05, PRDE,actvstrat=,0.906874, actvprof=,8.662542, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,4.112725, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,8.192948, id=,S08, PRDE,actvstrat=,0.249199, actvprof=,5.164274, id=,S09, PRDE,actvstrat=,0.280120, actvprof=,5.597617, best_B_id=,B00, best_B_prof=,4.450232, best_B_strat=,-1.000000, best_S_id=,S05, best_S_prof=,8.662542, best_S_strat=,0.906874, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.817637, actvprof=,4.878957, id=,B01, PRDE,actvstrat=,-0.102541, actvprof=,3.575605, id=,B02, PRDE,actvstrat=,-0.044926, actvprof=,3.915610, id=,B03, PRDE,actvstrat=,-0.457786, actvprof=,3.897554, id=,B04, PRDE,actvstrat=,-0.062338, actvprof=,3.484771, id=,B05, PRDE,actvstrat=,-0.506947, actvprof=,3.683384, id=,B06, PRDE,actvstrat=,-0.615140, actvprof=,4.300338, id=,B07, PRDE,actvstrat=,-0.182151, actvprof=,3.230323, id=,B08, PRDE,actvstrat=,-0.139040, actvprof=,3.559772, id=,B09, PRDE,actvstrat=,0.259430, actvprof=,3.947833, id=,S00, PRDE,actvstrat=,0.605805, actvprof=,6.502590, id=,S01, PRDE,actvstrat=,0.675496, actvprof=,6.753983, id=,S02, PRDE,actvstrat=,-0.998755, actvprof=,4.493674, id=,S03, PRDE,actvstrat=,0.010150, actvprof=,4.005889, id=,S04, PRDE,actvstrat=,-0.456682, actvprof=,1.577800, id=,S05, PRDE,actvstrat=,0.862192, actvprof=,7.819275, id=,S06, PRDE,actvstrat=,0.641229, actvprof=,6.401478, id=,S07, PRDE,actvstrat=,-0.609492, actvprof=,1.771413, id=,S08, PRDE,actvstrat=,-0.057224, actvprof=,3.395325, id=,S09, PRDE,actvstrat=,0.998088, actvprof=,7.494549, best_B_id=,B00, best_B_prof=,4.878957, best_B_strat=,-0.817637, best_S_id=,S05, best_S_prof=,7.819275, best_S_strat=,0.862192, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.817637, actvprof=,4.881457, id=,B01, PRDE,actvstrat=,-0.102541, actvprof=,3.609772, id=,B02, PRDE,actvstrat=,-0.044926, actvprof=,3.659634, id=,B03, PRDE,actvstrat=,-0.457786, actvprof=,3.794497, id=,B04, PRDE,actvstrat=,-0.062338, actvprof=,3.453242, id=,B05, PRDE,actvstrat=,-0.506947, actvprof=,3.716024, id=,B06, PRDE,actvstrat=,-0.615140, actvprof=,4.395894, id=,B07, PRDE,actvstrat=,-0.182151, actvprof=,3.325463, id=,B08, PRDE,actvstrat=,-0.139040, actvprof=,3.638662, id=,B09, PRDE,actvstrat=,0.259430, actvprof=,3.862137, id=,S00, PRDE,actvstrat=,0.605805, actvprof=,6.525507, id=,S01, PRDE,actvstrat=,0.675496, actvprof=,6.834262, id=,S02, PRDE,actvstrat=,-0.998755, actvprof=,4.505479, id=,S03, PRDE,actvstrat=,0.010150, actvprof=,4.013111, id=,S04, PRDE,actvstrat=,-0.456682, actvprof=,1.759608, id=,S05, PRDE,actvstrat=,0.862192, actvprof=,7.838859, id=,S06, PRDE,actvstrat=,0.641229, actvprof=,6.441478, id=,S07, PRDE,actvstrat=,-0.609492, actvprof=,1.668773, id=,S08, PRDE,actvstrat=,-0.057224, actvprof=,3.342546, id=,S09, PRDE,actvstrat=,0.998088, actvprof=,7.412603, best_B_id=,B00, best_B_prof=,4.881457, best_B_strat=,-0.817637, best_S_id=,S05, best_S_prof=,7.838859, best_S_strat=,0.862192, 
