t=,0, id=,B00, PRDE,actvstrat=,-0.120460, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.562533, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.895897, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.227870, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.303451, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.845204, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.331976, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.468468, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.927537, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.950001, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.930707, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.927825, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.425337, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.102700, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.146194, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.676976, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.211434, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.879799, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.731294, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.233291, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.120460, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.930707, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.120460, actvprof=,1.821111, id=,B01, PRDE,actvstrat=,-0.562533, actvprof=,2.255278, id=,B02, PRDE,actvstrat=,0.895897, actvprof=,1.873056, id=,B03, PRDE,actvstrat=,0.227870, actvprof=,2.038056, id=,B04, PRDE,actvstrat=,-0.303451, actvprof=,1.670556, id=,B05, PRDE,actvstrat=,0.845204, actvprof=,2.118333, id=,B06, PRDE,actvstrat=,-0.331976, actvprof=,1.722500, id=,B07, PRDE,actvstrat=,-0.468468, actvprof=,1.897778, id=,B08, PRDE,actvstrat=,-0.927537, actvprof=,2.951667, id=,B09, PRDE,actvstrat=,-0.950001, actvprof=,3.041667, id=,S00, PRDE,actvstrat=,0.930707, actvprof=,10.469167, id=,S01, PRDE,actvstrat=,-0.927825, actvprof=,0.616667, id=,S02, PRDE,actvstrat=,-0.425337, actvprof=,3.667222, id=,S03, PRDE,actvstrat=,0.102700, actvprof=,6.280833, id=,S04, PRDE,actvstrat=,0.146194, actvprof=,6.571111, id=,S05, PRDE,actvstrat=,-0.676976, actvprof=,2.616667, id=,S06, PRDE,actvstrat=,0.211434, actvprof=,6.810556, id=,S07, PRDE,actvstrat=,0.879799, actvprof=,10.598611, id=,S08, PRDE,actvstrat=,-0.731294, actvprof=,2.162778, id=,S09, PRDE,actvstrat=,0.233291, actvprof=,6.771944, best_B_id=,B09, best_B_prof=,3.041667, best_B_strat=,-0.950001, best_S_id=,S07, best_S_prof=,10.598611, best_S_strat=,0.879799, 
t=,7200, id=,B00, PRDE,actvstrat=,0.174354, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.844096, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.524187, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.312325, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.198842, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.677727, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.306246, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.487409, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.604243, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.200129, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.090271, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.128584, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.498780, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.831750, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.954212, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.675815, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.923055, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.109151, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.396257, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.486669, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.174354, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.090271, 
t=,10800, id=,B00, PRDE,actvstrat=,0.174354, actvprof=,2.283024, id=,B01, PRDE,actvstrat=,-0.844096, actvprof=,3.065235, id=,B02, PRDE,actvstrat=,0.524187, actvprof=,2.846905, id=,B03, PRDE,actvstrat=,-0.312325, actvprof=,2.042194, id=,B04, PRDE,actvstrat=,0.198842, actvprof=,2.456355, id=,B05, PRDE,actvstrat=,0.677727, actvprof=,2.793572, id=,B06, PRDE,actvstrat=,-0.306246, actvprof=,1.913862, id=,B07, PRDE,actvstrat=,-0.487409, actvprof=,2.469132, id=,B08, PRDE,actvstrat=,-0.604243, actvprof=,2.400800, id=,B09, PRDE,actvstrat=,-0.200129, actvprof=,2.229969, id=,S00, PRDE,actvstrat=,0.090271, actvprof=,5.549923, id=,S01, PRDE,actvstrat=,-0.128584, actvprof=,3.805225, id=,S02, PRDE,actvstrat=,0.498780, actvprof=,7.831558, id=,S03, PRDE,actvstrat=,0.831750, actvprof=,9.634033, id=,S04, PRDE,actvstrat=,0.954212, actvprof=,9.499035, id=,S05, PRDE,actvstrat=,-0.675815, actvprof=,2.584686, id=,S06, PRDE,actvstrat=,-0.923055, actvprof=,0.648880, id=,S07, PRDE,actvstrat=,0.109151, actvprof=,5.604644, id=,S08, PRDE,actvstrat=,-0.396257, actvprof=,3.155790, id=,S09, PRDE,actvstrat=,-0.486669, actvprof=,3.139679, best_B_id=,B01, best_B_prof=,3.065235, best_B_strat=,-0.844096, best_S_id=,S03, best_S_prof=,9.634033, best_S_strat=,0.831750, 
t=,14400, id=,B00, PRDE,actvstrat=,0.389145, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.772346, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.612847, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.042776, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.992160, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.752561, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.903598, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.416612, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.707340, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.991643, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.795323, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.146675, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.739552, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.019903, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.774055, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.090561, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.347573, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.231280, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.339200, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.132550, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.389145, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.795323, 
t=,18000, id=,B00, PRDE,actvstrat=,0.389145, actvprof=,0.590547, id=,B01, PRDE,actvstrat=,-0.772346, actvprof=,0.683602, id=,B02, PRDE,actvstrat=,-0.612847, actvprof=,0.423883, id=,B03, PRDE,actvstrat=,-0.042776, actvprof=,0.457216, id=,B04, PRDE,actvstrat=,0.992160, actvprof=,0.328329, id=,B05, PRDE,actvstrat=,0.752561, actvprof=,0.976375, id=,B06, PRDE,actvstrat=,0.903598, actvprof=,0.870266, id=,B07, PRDE,actvstrat=,0.416612, actvprof=,0.626102, id=,B08, PRDE,actvstrat=,-0.707340, actvprof=,0.614714, id=,B09, PRDE,actvstrat=,0.991643, actvprof=,0.271663, id=,S00, PRDE,actvstrat=,-0.795323, actvprof=,2.059971, id=,S01, PRDE,actvstrat=,-0.146675, actvprof=,5.926584, id=,S02, PRDE,actvstrat=,-0.739552, actvprof=,3.070513, id=,S03, PRDE,actvstrat=,-0.019903, actvprof=,7.668505, id=,S04, PRDE,actvstrat=,-0.774055, actvprof=,2.551353, id=,S05, PRDE,actvstrat=,-0.090561, actvprof=,6.782961, id=,S06, PRDE,actvstrat=,-0.347573, actvprof=,4.911321, id=,S07, PRDE,actvstrat=,0.231280, actvprof=,9.456535, id=,S08, PRDE,actvstrat=,-0.339200, actvprof=,5.088818, id=,S09, PRDE,actvstrat=,-0.132550, actvprof=,6.039916, best_B_id=,B05, best_B_prof=,0.976375, best_B_strat=,0.752561, best_S_id=,S07, best_S_prof=,9.456535, best_S_strat=,0.231280, 
t=,21600, id=,B00, PRDE,actvstrat=,0.389145, actvprof=,0.638750, id=,B01, PRDE,actvstrat=,-0.772346, actvprof=,0.742222, id=,B02, PRDE,actvstrat=,-0.612847, actvprof=,0.415139, id=,B03, PRDE,actvstrat=,-0.042776, actvprof=,0.456389, id=,B04, PRDE,actvstrat=,0.992160, actvprof=,0.336806, id=,B05, PRDE,actvstrat=,0.752561, actvprof=,0.960278, id=,B06, PRDE,actvstrat=,0.903598, actvprof=,0.880417, id=,B07, PRDE,actvstrat=,0.416612, actvprof=,0.594722, id=,B08, PRDE,actvstrat=,-0.707340, actvprof=,0.629722, id=,B09, PRDE,actvstrat=,0.991643, actvprof=,0.289861, id=,S00, PRDE,actvstrat=,-0.795323, actvprof=,2.066806, id=,S01, PRDE,actvstrat=,-0.146675, actvprof=,5.944861, id=,S02, PRDE,actvstrat=,-0.739552, actvprof=,3.044167, id=,S03, PRDE,actvstrat=,-0.019903, actvprof=,7.828333, id=,S04, PRDE,actvstrat=,-0.774055, actvprof=,2.696944, id=,S05, PRDE,actvstrat=,-0.090561, actvprof=,6.823333, id=,S06, PRDE,actvstrat=,-0.347573, actvprof=,5.016250, id=,S07, PRDE,actvstrat=,0.231280, actvprof=,9.155000, id=,S08, PRDE,actvstrat=,-0.339200, actvprof=,5.107778, id=,S09, PRDE,actvstrat=,-0.132550, actvprof=,6.161111, best_B_id=,B05, best_B_prof=,0.960278, best_B_strat=,0.752561, best_S_id=,S07, best_S_prof=,9.155000, best_S_strat=,0.231280, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,1.658889, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,1.619444, id=,B02, PRDE,actvstrat=,-0.062844, actvprof=,3.348611, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.730000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.843889, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.311389, id=,B06, PRDE,actvstrat=,0.183442, actvprof=,3.674444, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.435000, id=,B08, PRDE,actvstrat=,-0.539020, actvprof=,3.795000, id=,B09, PRDE,actvstrat=,0.052080, actvprof=,3.571944, id=,S00, PRDE,actvstrat=,0.703719, actvprof=,10.276667, id=,S01, PRDE,actvstrat=,-0.091610, actvprof=,5.464722, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,10.964167, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.728333, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,11.157500, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,10.937778, id=,S06, PRDE,actvstrat=,0.520669, actvprof=,9.664167, id=,S07, PRDE,actvstrat=,-0.038011, actvprof=,6.281389, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,3.789722, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,10.991389, best_B_id=,B08, best_B_prof=,3.795000, best_B_strat=,-0.539020, best_S_id=,S04, best_S_prof=,11.157500, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,1.717500, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,1.989167, id=,B02, PRDE,actvstrat=,-0.062844, actvprof=,3.582778, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,2.006528, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.930278, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.130972, id=,B06, PRDE,actvstrat=,0.183442, actvprof=,3.702917, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.340417, id=,B08, PRDE,actvstrat=,-0.539020, actvprof=,3.974722, id=,B09, PRDE,actvstrat=,0.052080, actvprof=,3.531806, id=,S00, PRDE,actvstrat=,0.703719, actvprof=,10.345000, id=,S01, PRDE,actvstrat=,-0.091610, actvprof=,5.317778, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,10.982778, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.757222, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,10.747500, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,10.771944, id=,S06, PRDE,actvstrat=,0.520669, actvprof=,9.318472, id=,S07, PRDE,actvstrat=,-0.038011, actvprof=,5.923611, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,3.874306, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,10.887639, best_B_id=,B08, best_B_prof=,3.974722, best_B_strat=,-0.539020, best_S_id=,S02, best_S_prof=,10.982778, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.365238, actvprof=,1.961944, id=,B01, PRDE,actvstrat=,0.372305, actvprof=,1.817500, id=,B02, PRDE,actvstrat=,0.317863, actvprof=,1.906111, id=,B03, PRDE,actvstrat=,0.905873, actvprof=,1.733333, id=,B04, PRDE,actvstrat=,-0.004630, actvprof=,1.395000, id=,B05, PRDE,actvstrat=,-0.314693, actvprof=,1.426944, id=,B06, PRDE,actvstrat=,0.496408, actvprof=,2.003889, id=,B07, PRDE,actvstrat=,0.713598, actvprof=,2.357222, id=,B08, PRDE,actvstrat=,-0.831911, actvprof=,2.594722, id=,B09, PRDE,actvstrat=,-0.724567, actvprof=,2.058889, id=,S00, PRDE,actvstrat=,0.488318, actvprof=,8.580278, id=,S01, PRDE,actvstrat=,-0.128584, actvprof=,4.570833, id=,S02, PRDE,actvstrat=,0.185039, actvprof=,6.867222, id=,S03, PRDE,actvstrat=,-0.125680, actvprof=,4.682778, id=,S04, PRDE,actvstrat=,-0.785325, actvprof=,1.321667, id=,S05, PRDE,actvstrat=,0.898232, actvprof=,10.905000, id=,S06, PRDE,actvstrat=,-0.072948, actvprof=,5.148056, id=,S07, PRDE,actvstrat=,-0.082095, actvprof=,5.222500, id=,S08, PRDE,actvstrat=,0.371744, actvprof=,8.039444, id=,S09, PRDE,actvstrat=,0.233291, actvprof=,6.784444, best_B_id=,B08, best_B_prof=,2.594722, best_B_strat=,-0.831911, best_S_id=,S05, best_S_prof=,10.905000, best_S_strat=,0.898232, 
t=,36000, id=,B00, PRDE,actvstrat=,0.365238, actvprof=,1.958638, id=,B01, PRDE,actvstrat=,0.372305, actvprof=,1.774469, id=,B02, PRDE,actvstrat=,0.317863, actvprof=,1.922527, id=,B03, PRDE,actvstrat=,0.905873, actvprof=,1.654051, id=,B04, PRDE,actvstrat=,-0.004630, actvprof=,1.438631, id=,B05, PRDE,actvstrat=,-0.314693, actvprof=,1.471687, id=,B06, PRDE,actvstrat=,0.496408, actvprof=,2.057112, id=,B07, PRDE,actvstrat=,0.713598, actvprof=,2.287254, id=,B08, PRDE,actvstrat=,-0.831911, actvprof=,2.598508, id=,B09, PRDE,actvstrat=,-0.724567, actvprof=,2.101001, id=,S00, PRDE,actvstrat=,0.488318, actvprof=,8.650953, id=,S01, PRDE,actvstrat=,-0.128584, actvprof=,4.292837, id=,S02, PRDE,actvstrat=,0.185039, actvprof=,6.832595, id=,S03, PRDE,actvstrat=,-0.125680, actvprof=,4.727705, id=,S04, PRDE,actvstrat=,-0.785325, actvprof=,1.371963, id=,S05, PRDE,actvstrat=,0.898232, actvprof=,10.951819, id=,S06, PRDE,actvstrat=,-0.072948, actvprof=,5.268268, id=,S07, PRDE,actvstrat=,-0.082095, actvprof=,5.078126, id=,S08, PRDE,actvstrat=,0.371744, actvprof=,8.041223, id=,S09, PRDE,actvstrat=,0.233291, actvprof=,6.866206, best_B_id=,B08, best_B_prof=,2.598508, best_B_strat=,-0.831911, best_S_id=,S05, best_S_prof=,10.951819, best_S_strat=,0.898232, 
