t=,3600, id=,B00, PRDE,actvstrat=,0.227954, actvprof=,1.311908, id=,B01, PRDE,actvstrat=,0.749336, actvprof=,1.743840, id=,B02, PRDE,actvstrat=,0.978312, actvprof=,0.614427, id=,B03, PRDE,actvstrat=,-0.002245, actvprof=,1.166634, id=,B04, PRDE,actvstrat=,0.431432, actvprof=,1.600511, id=,B05, PRDE,actvstrat=,-0.997043, actvprof=,1.572734, id=,B06, PRDE,actvstrat=,0.639584, actvprof=,1.653843, id=,B07, PRDE,actvstrat=,0.236437, actvprof=,1.232188, id=,B08, PRDE,actvstrat=,0.774572, actvprof=,1.683287, id=,B09, PRDE,actvstrat=,0.566460, actvprof=,1.605511, id=,S00, PRDE,actvstrat=,-0.393619, actvprof=,4.742646, id=,S01, PRDE,actvstrat=,0.847528, actvprof=,11.901058, id=,S02, PRDE,actvstrat=,0.037751, actvprof=,7.840893, id=,S03, PRDE,actvstrat=,-0.542168, actvprof=,4.071276, id=,S04, PRDE,actvstrat=,-0.745724, actvprof=,3.013527, id=,S05, PRDE,actvstrat=,0.802020, actvprof=,11.896892, id=,S06, PRDE,actvstrat=,0.081902, actvprof=,7.915613, id=,S07, PRDE,actvstrat=,0.109418, actvprof=,7.931169, id=,S08, PRDE,actvstrat=,0.162985, actvprof=,8.372545, id=,S09, PRDE,actvstrat=,-0.444169, actvprof=,4.104886, best_B_id=,B01, best_B_prof=,1.743840, best_B_strat=,0.749336, best_S_id=,S01, best_S_prof=,11.901058, best_S_strat=,0.847528, 
t=,7200, id=,B00, PRDE,actvstrat=,0.807492, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.870003, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.210990, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.176583, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.751850, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.271840, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.920410, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.476169, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.019307, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.901373, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.099153, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.834398, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.539326, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.052439, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.331516, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.930587, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.994257, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.685851, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.071874, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.571643, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.807492, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.099153, 
t=,10800, id=,B00, PRDE,actvstrat=,0.807492, actvprof=,2.507535, id=,B01, PRDE,actvstrat=,0.870003, actvprof=,2.253087, id=,B02, PRDE,actvstrat=,0.210990, actvprof=,2.604758, id=,B03, PRDE,actvstrat=,0.176583, actvprof=,2.443367, id=,B04, PRDE,actvstrat=,-0.751850, actvprof=,3.501715, id=,B05, PRDE,actvstrat=,0.271840, actvprof=,2.735871, id=,B06, PRDE,actvstrat=,-0.920410, actvprof=,3.441159, id=,B07, PRDE,actvstrat=,-0.476169, actvprof=,2.655315, id=,B08, PRDE,actvstrat=,0.019307, actvprof=,2.487257, id=,B09, PRDE,actvstrat=,0.901373, actvprof=,2.015028, id=,S00, PRDE,actvstrat=,0.099153, actvprof=,6.175086, id=,S01, PRDE,actvstrat=,-0.834398, actvprof=,1.071126, id=,S02, PRDE,actvstrat=,0.539326, actvprof=,8.498451, id=,S03, PRDE,actvstrat=,0.052439, actvprof=,6.468701, id=,S04, PRDE,actvstrat=,-0.331516, actvprof=,3.387825, id=,S05, PRDE,actvstrat=,0.930587, actvprof=,10.530702, id=,S06, PRDE,actvstrat=,0.994257, actvprof=,10.173475, id=,S07, PRDE,actvstrat=,0.685851, actvprof=,9.397908, id=,S08, PRDE,actvstrat=,0.071874, actvprof=,6.470923, id=,S09, PRDE,actvstrat=,0.571643, actvprof=,8.493174, best_B_id=,B04, best_B_prof=,3.501715, best_B_strat=,-0.751850, best_S_id=,S05, best_S_prof=,10.530702, best_S_strat=,0.930587, 
t=,14400, id=,B00, PRDE,actvstrat=,0.807492, actvprof=,2.511545, id=,B01, PRDE,actvstrat=,0.870003, actvprof=,2.242099, id=,B02, PRDE,actvstrat=,0.210990, actvprof=,2.715019, id=,B03, PRDE,actvstrat=,0.176583, actvprof=,2.518351, id=,B04, PRDE,actvstrat=,-0.751850, actvprof=,3.609886, id=,B05, PRDE,actvstrat=,0.271840, actvprof=,2.605713, id=,B06, PRDE,actvstrat=,-0.920410, actvprof=,3.364190, id=,B07, PRDE,actvstrat=,-0.476169, actvprof=,2.642379, id=,B08, PRDE,actvstrat=,0.019307, actvprof=,2.297794, id=,B09, PRDE,actvstrat=,0.901373, actvprof=,2.051125, id=,S00, PRDE,actvstrat=,0.099153, actvprof=,6.358794, id=,S01, PRDE,actvstrat=,-0.834398, actvprof=,1.072230, id=,S02, PRDE,actvstrat=,0.539326, actvprof=,8.636032, id=,S03, PRDE,actvstrat=,0.052439, actvprof=,6.394628, id=,S04, PRDE,actvstrat=,-0.331516, actvprof=,3.447246, id=,S05, PRDE,actvstrat=,0.930587, actvprof=,10.431739, id=,S06, PRDE,actvstrat=,0.994257, actvprof=,10.175348, id=,S07, PRDE,actvstrat=,0.685851, actvprof=,9.524511, id=,S08, PRDE,actvstrat=,0.071874, actvprof=,6.282544, id=,S09, PRDE,actvstrat=,0.571643, actvprof=,8.763950, best_B_id=,B04, best_B_prof=,3.609886, best_B_strat=,-0.751850, best_S_id=,S05, best_S_prof=,10.431739, best_S_strat=,0.930587, 
t=,18000, id=,B00, PRDE,actvstrat=,0.605885, actvprof=,2.747260, id=,B01, PRDE,actvstrat=,-0.757423, actvprof=,2.786705, id=,B02, PRDE,actvstrat=,0.033130, actvprof=,2.276143, id=,B03, PRDE,actvstrat=,0.280544, actvprof=,2.138919, id=,B04, PRDE,actvstrat=,0.641704, actvprof=,2.685037, id=,B05, PRDE,actvstrat=,0.265285, actvprof=,2.376700, id=,B06, PRDE,actvstrat=,-0.217751, actvprof=,2.175864, id=,B07, PRDE,actvstrat=,0.331176, actvprof=,2.389478, id=,B08, PRDE,actvstrat=,-0.382575, actvprof=,2.104196, id=,B09, PRDE,actvstrat=,-0.893617, actvprof=,3.595050, id=,S00, PRDE,actvstrat=,0.231325, actvprof=,6.309532, id=,S01, PRDE,actvstrat=,-0.123452, actvprof=,4.103113, id=,S02, PRDE,actvstrat=,-0.891841, actvprof=,0.595286, id=,S03, PRDE,actvstrat=,-0.478873, actvprof=,2.583647, id=,S04, PRDE,actvstrat=,0.512259, actvprof=,7.855665, id=,S05, PRDE,actvstrat=,0.707860, actvprof=,8.676509, id=,S06, PRDE,actvstrat=,0.983506, actvprof=,9.824859, id=,S07, PRDE,actvstrat=,-0.602376, actvprof=,2.435312, id=,S08, PRDE,actvstrat=,0.850676, actvprof=,9.667356, id=,S09, PRDE,actvstrat=,0.064795, actvprof=,6.274532, best_B_id=,B09, best_B_prof=,3.595050, best_B_strat=,-0.893617, best_S_id=,S06, best_S_prof=,9.824859, best_S_strat=,0.983506, 
t=,21600, id=,B00, PRDE,actvstrat=,0.605885, actvprof=,2.727538, id=,B01, PRDE,actvstrat=,-0.757423, actvprof=,3.030042, id=,B02, PRDE,actvstrat=,0.033130, actvprof=,2.148780, id=,B03, PRDE,actvstrat=,0.280544, actvprof=,2.281976, id=,B04, PRDE,actvstrat=,0.641704, actvprof=,2.750177, id=,B05, PRDE,actvstrat=,0.265285, actvprof=,2.446840, id=,B06, PRDE,actvstrat=,-0.217751, actvprof=,2.175447, id=,B07, PRDE,actvstrat=,0.331176, actvprof=,2.393922, id=,B08, PRDE,actvstrat=,-0.382575, actvprof=,2.104751, id=,B09, PRDE,actvstrat=,-0.893617, actvprof=,3.612967, id=,S00, PRDE,actvstrat=,0.231325, actvprof=,6.391755, id=,S01, PRDE,actvstrat=,-0.123452, actvprof=,3.955749, id=,S02, PRDE,actvstrat=,-0.891841, actvprof=,0.607647, id=,S03, PRDE,actvstrat=,-0.478873, actvprof=,2.830873, id=,S04, PRDE,actvstrat=,0.512259, actvprof=,8.012334, id=,S05, PRDE,actvstrat=,0.707860, actvprof=,8.812206, id=,S06, PRDE,actvstrat=,0.983506, actvprof=,9.775969, id=,S07, PRDE,actvstrat=,-0.602376, actvprof=,2.486562, id=,S08, PRDE,actvstrat=,0.850676, actvprof=,9.753052, id=,S09, PRDE,actvstrat=,0.064795, actvprof=,5.958138, best_B_id=,B09, best_B_prof=,3.612967, best_B_strat=,-0.893617, best_S_id=,S06, best_S_prof=,9.775969, best_S_strat=,0.983506, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.268272, actvprof=,1.792575, id=,B01, PRDE,actvstrat=,-0.166394, actvprof=,1.783685, id=,B02, PRDE,actvstrat=,-0.313066, actvprof=,1.854800, id=,B03, PRDE,actvstrat=,0.133571, actvprof=,2.024529, id=,B04, PRDE,actvstrat=,-0.021435, actvprof=,1.663125, id=,B05, PRDE,actvstrat=,-0.908275, actvprof=,2.947345, id=,B06, PRDE,actvstrat=,-0.548728, actvprof=,1.871745, id=,B07, PRDE,actvstrat=,0.863757, actvprof=,2.297596, id=,B08, PRDE,actvstrat=,-0.420624, actvprof=,1.628679, id=,B09, PRDE,actvstrat=,-0.493560, actvprof=,1.871467, id=,S00, PRDE,actvstrat=,-0.187095, actvprof=,3.538759, id=,S01, PRDE,actvstrat=,0.344536, actvprof=,6.568885, id=,S02, PRDE,actvstrat=,-0.721117, actvprof=,1.818687, id=,S03, PRDE,actvstrat=,-0.668018, actvprof=,2.073975, id=,S04, PRDE,actvstrat=,-0.331516, actvprof=,2.547328, id=,S05, PRDE,actvstrat=,0.559786, actvprof=,7.926441, id=,S06, PRDE,actvstrat=,0.706625, actvprof=,8.837590, id=,S07, PRDE,actvstrat=,-0.259827, actvprof=,2.804561, id=,S08, PRDE,actvstrat=,0.347913, actvprof=,6.911677, id=,S09, PRDE,actvstrat=,-0.485725, actvprof=,2.661500, best_B_id=,B05, best_B_prof=,2.947345, best_B_strat=,-0.908275, best_S_id=,S06, best_S_prof=,8.837590, best_S_strat=,0.706625, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.268272, actvprof=,1.636145, id=,B01, PRDE,actvstrat=,-0.166394, actvprof=,1.758787, id=,B02, PRDE,actvstrat=,-0.313066, actvprof=,1.727536, id=,B03, PRDE,actvstrat=,0.133571, actvprof=,1.951013, id=,B04, PRDE,actvstrat=,-0.021435, actvprof=,1.703508, id=,B05, PRDE,actvstrat=,-0.908275, actvprof=,3.028674, id=,B06, PRDE,actvstrat=,-0.548728, actvprof=,1.799343, id=,B07, PRDE,actvstrat=,0.863757, actvprof=,2.248658, id=,B08, PRDE,actvstrat=,-0.420624, actvprof=,1.715452, id=,B09, PRDE,actvstrat=,-0.493560, actvprof=,1.761703, id=,S00, PRDE,actvstrat=,-0.187095, actvprof=,3.402154, id=,S01, PRDE,actvstrat=,0.344536, actvprof=,6.685556, id=,S02, PRDE,actvstrat=,-0.721117, actvprof=,1.799482, id=,S03, PRDE,actvstrat=,-0.668018, actvprof=,1.995597, id=,S04, PRDE,actvstrat=,-0.331516, actvprof=,2.680473, id=,S05, PRDE,actvstrat=,0.559786, actvprof=,7.921554, id=,S06, PRDE,actvstrat=,0.706625, actvprof=,8.605457, id=,S07, PRDE,actvstrat=,-0.259827, actvprof=,2.808947, id=,S08, PRDE,actvstrat=,0.347913, actvprof=,6.838615, id=,S09, PRDE,actvstrat=,-0.485725, actvprof=,2.666028, best_B_id=,B05, best_B_prof=,3.028674, best_B_strat=,-0.908275, best_S_id=,S06, best_S_prof=,8.605457, best_S_strat=,0.706625, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.268272, actvprof=,2.253427, id=,B01, PRDE,actvstrat=,-0.758445, actvprof=,2.869842, id=,B02, PRDE,actvstrat=,-0.338246, actvprof=,2.392322, id=,B03, PRDE,actvstrat=,0.133571, actvprof=,2.555940, id=,B04, PRDE,actvstrat=,0.411439, actvprof=,2.915955, id=,B05, PRDE,actvstrat=,-0.053418, actvprof=,2.562329, id=,B06, PRDE,actvstrat=,0.497114, actvprof=,2.870397, id=,B07, PRDE,actvstrat=,-0.404399, actvprof=,2.412323, id=,B08, PRDE,actvstrat=,-0.540846, actvprof=,2.689001, id=,B09, PRDE,actvstrat=,-0.893617, actvprof=,3.577927, id=,S00, PRDE,actvstrat=,-0.031970, actvprof=,4.199619, id=,S01, PRDE,actvstrat=,0.490686, actvprof=,6.923900, id=,S02, PRDE,actvstrat=,0.046408, actvprof=,4.768254, id=,S03, PRDE,actvstrat=,-0.623684, actvprof=,2.147312, id=,S04, PRDE,actvstrat=,-0.331516, actvprof=,2.440657, id=,S05, PRDE,actvstrat=,0.345132, actvprof=,5.983305, id=,S06, PRDE,actvstrat=,0.551124, actvprof=,7.372252, id=,S07, PRDE,actvstrat=,0.652123, actvprof=,7.655319, id=,S08, PRDE,actvstrat=,-0.046596, actvprof=,4.117672, id=,S09, PRDE,actvstrat=,0.370884, actvprof=,6.073309, best_B_id=,B09, best_B_prof=,3.577927, best_B_strat=,-0.893617, best_S_id=,S07, best_S_prof=,7.655319, best_S_strat=,0.652123, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.268272, actvprof=,2.384788, id=,B01, PRDE,actvstrat=,-0.758445, actvprof=,3.043557, id=,B02, PRDE,actvstrat=,-0.338246, actvprof=,2.444651, id=,B03, PRDE,actvstrat=,0.133571, actvprof=,2.577849, id=,B04, PRDE,actvstrat=,0.411439, actvprof=,2.998972, id=,B05, PRDE,actvstrat=,-0.053418, actvprof=,2.566460, id=,B06, PRDE,actvstrat=,0.497114, actvprof=,2.896053, id=,B07, PRDE,actvstrat=,-0.404399, actvprof=,2.408122, id=,B08, PRDE,actvstrat=,-0.540846, actvprof=,2.648685, id=,B09, PRDE,actvstrat=,-0.893617, actvprof=,3.586905, id=,S00, PRDE,actvstrat=,-0.031970, actvprof=,4.215950, id=,S01, PRDE,actvstrat=,0.490686, actvprof=,6.774494, id=,S02, PRDE,actvstrat=,0.046408, actvprof=,4.852913, id=,S03, PRDE,actvstrat=,-0.623684, actvprof=,2.097558, id=,S04, PRDE,actvstrat=,-0.331516, actvprof=,2.393678, id=,S05, PRDE,actvstrat=,0.345132, actvprof=,5.995167, id=,S06, PRDE,actvstrat=,0.551124, actvprof=,7.210617, id=,S07, PRDE,actvstrat=,0.652123, actvprof=,7.654796, id=,S08, PRDE,actvstrat=,-0.046596, actvprof=,4.300675, id=,S09, PRDE,actvstrat=,0.370884, actvprof=,5.905858, best_B_id=,B09, best_B_prof=,3.586905, best_B_strat=,-0.893617, best_S_id=,S07, best_S_prof=,7.654796, best_S_strat=,0.652123, 
t=,39600, id=,B00, PRDE,actvstrat=,-0.502487, actvprof=,1.397875, id=,B01, PRDE,actvstrat=,-0.166394, actvprof=,1.342038, id=,B02, PRDE,actvstrat=,-0.164697, actvprof=,1.113133, id=,B03, PRDE,actvstrat=,-0.566379, actvprof=,1.297035, id=,B04, PRDE,actvstrat=,-0.882157, actvprof=,2.413501, id=,B05, PRDE,actvstrat=,0.520576, actvprof=,1.911244, id=,B06, PRDE,actvstrat=,-0.602306, actvprof=,1.407320, id=,B07, PRDE,actvstrat=,0.415108, actvprof=,1.818460, id=,B08, PRDE,actvstrat=,-0.002628, actvprof=,1.291201, id=,B09, PRDE,actvstrat=,0.730094, actvprof=,2.255434, id=,S00, PRDE,actvstrat=,0.075673, actvprof=,6.407667, id=,S01, PRDE,actvstrat=,0.344536, actvprof=,7.276339, id=,S02, PRDE,actvstrat=,-0.463255, actvprof=,2.553233, id=,S03, PRDE,actvstrat=,-0.617954, actvprof=,2.521008, id=,S04, PRDE,actvstrat=,-0.801505, actvprof=,1.360928, id=,S05, PRDE,actvstrat=,-0.894704, actvprof=,0.233072, id=,S06, PRDE,actvstrat=,0.595238, actvprof=,8.630322, id=,S07, PRDE,actvstrat=,-0.197519, actvprof=,3.313286, id=,S08, PRDE,actvstrat=,0.766340, actvprof=,9.754288, id=,S09, PRDE,actvstrat=,-0.571830, actvprof=,2.906869, best_B_id=,B04, best_B_prof=,2.413501, best_B_strat=,-0.882157, best_S_id=,S08, best_S_prof=,9.754288, best_S_strat=,0.766340, 
