t=,0, id=,B00, PRDE,actvstrat=,0.443877, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.203213, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.110649, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.469775, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.378545, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.874872, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.342861, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.917884, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.035349, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.726783, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.321083, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.855588, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.283998, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.715952, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.430333, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.740665, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.075159, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.132590, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.149527, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.419054, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.443877, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.321083, 
t=,3600, id=,B00, PRDE,actvstrat=,0.443877, actvprof=,2.480278, id=,B01, PRDE,actvstrat=,-0.203213, actvprof=,1.846667, id=,B02, PRDE,actvstrat=,-0.110649, actvprof=,2.093056, id=,B03, PRDE,actvstrat=,0.469775, actvprof=,2.512778, id=,B04, PRDE,actvstrat=,-0.378545, actvprof=,1.865000, id=,B05, PRDE,actvstrat=,0.874872, actvprof=,2.209167, id=,B06, PRDE,actvstrat=,0.342861, actvprof=,2.494722, id=,B07, PRDE,actvstrat=,-0.917884, actvprof=,3.263889, id=,B08, PRDE,actvstrat=,-0.035349, actvprof=,1.932778, id=,B09, PRDE,actvstrat=,-0.726783, actvprof=,2.545556, id=,S00, PRDE,actvstrat=,-0.321083, actvprof=,3.659444, id=,S01, PRDE,actvstrat=,-0.855588, actvprof=,1.115556, id=,S02, PRDE,actvstrat=,-0.283998, actvprof=,4.446111, id=,S03, PRDE,actvstrat=,0.715952, actvprof=,9.300556, id=,S04, PRDE,actvstrat=,-0.430333, actvprof=,3.679722, id=,S05, PRDE,actvstrat=,0.740665, actvprof=,9.651667, id=,S06, PRDE,actvstrat=,0.075159, actvprof=,6.220556, id=,S07, PRDE,actvstrat=,0.132590, actvprof=,6.188889, id=,S08, PRDE,actvstrat=,-0.149527, actvprof=,4.564722, id=,S09, PRDE,actvstrat=,0.419054, actvprof=,7.928889, best_B_id=,B07, best_B_prof=,3.263889, best_B_strat=,-0.917884, best_S_id=,S05, best_S_prof=,9.651667, best_S_strat=,0.740665, 
t=,7200, id=,B00, PRDE,actvstrat=,0.185517, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.486346, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.765949, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.018141, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.391316, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.583932, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.394335, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.636404, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.341808, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.396491, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.855668, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.615443, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.029250, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.750635, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.603595, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.749374, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.472578, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.009879, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.613502, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.158729, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.185517, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.855668, 
t=,10800, id=,B00, PRDE,actvstrat=,0.185517, actvprof=,3.225789, id=,B01, PRDE,actvstrat=,0.486346, actvprof=,3.174400, id=,B02, PRDE,actvstrat=,0.765949, actvprof=,3.166623, id=,B03, PRDE,actvstrat=,-0.018141, actvprof=,2.717462, id=,B04, PRDE,actvstrat=,-0.391316, actvprof=,2.916904, id=,B05, PRDE,actvstrat=,-0.583932, actvprof=,3.540229, id=,B06, PRDE,actvstrat=,0.394335, actvprof=,3.254399, id=,B07, PRDE,actvstrat=,0.636404, actvprof=,3.274677, id=,B08, PRDE,actvstrat=,0.341808, actvprof=,3.503840, id=,B09, PRDE,actvstrat=,-0.396491, actvprof=,2.881904, id=,S00, PRDE,actvstrat=,0.855668, actvprof=,9.561812, id=,S01, PRDE,actvstrat=,0.615443, actvprof=,8.090165, id=,S02, PRDE,actvstrat=,0.029250, actvprof=,5.696032, id=,S03, PRDE,actvstrat=,-0.750635, actvprof=,2.048583, id=,S04, PRDE,actvstrat=,0.603595, actvprof=,7.936001, id=,S05, PRDE,actvstrat=,0.749374, actvprof=,8.611547, id=,S06, PRDE,actvstrat=,0.472578, actvprof=,7.306565, id=,S07, PRDE,actvstrat=,0.009879, actvprof=,5.224094, id=,S08, PRDE,actvstrat=,0.613502, actvprof=,8.277663, id=,S09, PRDE,actvstrat=,-0.158729, actvprof=,3.856613, best_B_id=,B05, best_B_prof=,3.540229, best_B_strat=,-0.583932, best_S_id=,S00, best_S_prof=,9.561812, best_S_strat=,0.855668, 
t=,14400, id=,B00, PRDE,actvstrat=,0.143790, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.421420, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.539110, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.742712, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.391316, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.762510, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.835252, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.636404, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.331516, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.619033, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.987620, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.417954, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.419972, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.987742, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.083300, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.846146, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.621761, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.236189, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.330940, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.491432, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.143790, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.987620, 
t=,18000, id=,B00, PRDE,actvstrat=,0.143790, actvprof=,1.971444, id=,B01, PRDE,actvstrat=,0.421420, actvprof=,2.280341, id=,B02, PRDE,actvstrat=,-0.539110, actvprof=,1.826440, id=,B03, PRDE,actvstrat=,-0.742712, actvprof=,2.499236, id=,B04, PRDE,actvstrat=,-0.391316, actvprof=,1.616712, id=,B05, PRDE,actvstrat=,-0.762510, actvprof=,2.291453, id=,B06, PRDE,actvstrat=,-0.835252, actvprof=,2.925081, id=,B07, PRDE,actvstrat=,0.636404, actvprof=,2.449512, id=,B08, PRDE,actvstrat=,0.331516, actvprof=,2.077280, id=,B09, PRDE,actvstrat=,0.619033, actvprof=,2.374233, id=,S00, PRDE,actvstrat=,0.987620, actvprof=,10.185005, id=,S01, PRDE,actvstrat=,-0.417954, actvprof=,2.362010, id=,S02, PRDE,actvstrat=,0.419972, actvprof=,7.518820, id=,S03, PRDE,actvstrat=,-0.987742, actvprof=,2.050335, id=,S04, PRDE,actvstrat=,0.083300, actvprof=,5.816550, id=,S05, PRDE,actvstrat=,0.846146, actvprof=,10.004167, id=,S06, PRDE,actvstrat=,-0.621761, actvprof=,2.474235, id=,S07, PRDE,actvstrat=,-0.236189, actvprof=,3.448985, id=,S08, PRDE,actvstrat=,0.330940, actvprof=,7.127420, id=,S09, PRDE,actvstrat=,-0.491432, actvprof=,2.791744, best_B_id=,B06, best_B_prof=,2.925081, best_B_strat=,-0.835252, best_S_id=,S00, best_S_prof=,10.185005, best_S_strat=,0.987620, 
t=,21600, id=,B00, PRDE,actvstrat=,0.143790, actvprof=,2.034473, id=,B01, PRDE,actvstrat=,0.421420, actvprof=,2.247809, id=,B02, PRDE,actvstrat=,-0.539110, actvprof=,1.929332, id=,B03, PRDE,actvstrat=,-0.742712, actvprof=,2.431839, id=,B04, PRDE,actvstrat=,-0.391316, actvprof=,1.660579, id=,B05, PRDE,actvstrat=,-0.762510, actvprof=,2.344338, id=,B06, PRDE,actvstrat=,-0.835252, actvprof=,2.939207, id=,B07, PRDE,actvstrat=,0.636404, actvprof=,2.347255, id=,B08, PRDE,actvstrat=,0.331516, actvprof=,2.181558, id=,B09, PRDE,actvstrat=,0.619033, actvprof=,2.424478, id=,S00, PRDE,actvstrat=,0.987620, actvprof=,10.049723, id=,S01, PRDE,actvstrat=,-0.417954, actvprof=,2.551285, id=,S02, PRDE,actvstrat=,0.419972, actvprof=,7.561633, id=,S03, PRDE,actvstrat=,-0.987742, actvprof=,2.052251, id=,S04, PRDE,actvstrat=,0.083300, actvprof=,5.706607, id=,S05, PRDE,actvstrat=,0.846146, actvprof=,9.862220, id=,S06, PRDE,actvstrat=,-0.621761, actvprof=,2.529063, id=,S07, PRDE,actvstrat=,-0.236189, actvprof=,3.383380, id=,S08, PRDE,actvstrat=,0.330940, actvprof=,7.051070, id=,S09, PRDE,actvstrat=,-0.491432, actvprof=,2.968513, best_B_id=,B06, best_B_prof=,2.939207, best_B_strat=,-0.835252, best_S_id=,S00, best_S_prof=,10.049723, best_S_strat=,0.987620, 
t=,25200, id=,B00, PRDE,actvstrat=,0.515646, actvprof=,2.660666, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.914760, id=,B02, PRDE,actvstrat=,-0.688774, actvprof=,2.910121, id=,B03, PRDE,actvstrat=,-0.141536, actvprof=,1.980360, id=,B04, PRDE,actvstrat=,-0.072223, actvprof=,2.123422, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.817617, id=,B06, PRDE,actvstrat=,0.367587, actvprof=,2.179813, id=,B07, PRDE,actvstrat=,0.405938, actvprof=,2.677056, id=,B08, PRDE,actvstrat=,0.554373, actvprof=,2.807339, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,2.777338, id=,S00, PRDE,actvstrat=,0.601385, actvprof=,8.753976, id=,S01, PRDE,actvstrat=,0.401866, actvprof=,7.605039, id=,S02, PRDE,actvstrat=,0.487450, actvprof=,8.398405, id=,S03, PRDE,actvstrat=,0.611180, actvprof=,9.191494, id=,S04, PRDE,actvstrat=,0.650601, actvprof=,9.296221, id=,S05, PRDE,actvstrat=,-0.684182, actvprof=,2.656500, id=,S06, PRDE,actvstrat=,-0.509829, actvprof=,3.307638, id=,S07, PRDE,actvstrat=,-0.672350, actvprof=,2.932067, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,10.400433, id=,S09, PRDE,actvstrat=,0.511132, actvprof=,8.191452, best_B_id=,B02, best_B_prof=,2.910121, best_B_strat=,-0.688774, best_S_id=,S08, best_S_prof=,10.400433, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.515646, actvprof=,2.685213, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.965582, id=,B02, PRDE,actvstrat=,-0.688774, actvprof=,2.976333, id=,B03, PRDE,actvstrat=,-0.141536, actvprof=,2.052140, id=,B04, PRDE,actvstrat=,-0.072223, actvprof=,2.037695, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.845773, id=,B06, PRDE,actvstrat=,0.367587, actvprof=,2.308675, id=,B07, PRDE,actvstrat=,0.405938, actvprof=,2.524237, id=,B08, PRDE,actvstrat=,0.554373, actvprof=,2.719103, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,2.827162, id=,S00, PRDE,actvstrat=,0.601385, actvprof=,8.879274, id=,S01, PRDE,actvstrat=,0.401866, actvprof=,7.645907, id=,S02, PRDE,actvstrat=,0.487450, actvprof=,8.510931, id=,S03, PRDE,actvstrat=,0.611180, actvprof=,9.059835, id=,S04, PRDE,actvstrat=,0.650601, actvprof=,9.334704, id=,S05, PRDE,actvstrat=,-0.684182, actvprof=,2.702020, id=,S06, PRDE,actvstrat=,-0.509829, actvprof=,3.201756, id=,S07, PRDE,actvstrat=,-0.672350, actvprof=,2.800356, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,10.310981, id=,S09, PRDE,actvstrat=,0.511132, actvprof=,8.348287, best_B_id=,B02, best_B_prof=,2.976333, best_B_strat=,-0.688774, best_S_id=,S08, best_S_prof=,10.310981, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.628901, actvprof=,2.890201, id=,B01, PRDE,actvstrat=,0.421420, actvprof=,2.635461, id=,B02, PRDE,actvstrat=,-0.675422, actvprof=,2.991319, id=,B03, PRDE,actvstrat=,0.663632, actvprof=,2.839642, id=,B04, PRDE,actvstrat=,-0.451489, actvprof=,2.375721, id=,B05, PRDE,actvstrat=,-0.879101, actvprof=,3.501076, id=,B06, PRDE,actvstrat=,-0.906758, actvprof=,3.716369, id=,B07, PRDE,actvstrat=,0.812785, actvprof=,2.725467, id=,B08, PRDE,actvstrat=,0.977645, actvprof=,1.197583, id=,B09, PRDE,actvstrat=,0.571438, actvprof=,3.010209, id=,S00, PRDE,actvstrat=,0.414223, actvprof=,7.813043, id=,S01, PRDE,actvstrat=,0.460860, actvprof=,7.920828, id=,S02, PRDE,actvstrat=,0.029250, actvprof=,6.282103, id=,S03, PRDE,actvstrat=,0.184049, actvprof=,6.888812, id=,S04, PRDE,actvstrat=,0.833047, actvprof=,10.256546, id=,S05, PRDE,actvstrat=,0.929591, actvprof=,10.075422, id=,S06, PRDE,actvstrat=,0.614200, actvprof=,9.017848, id=,S07, PRDE,actvstrat=,-0.895153, actvprof=,0.702271, id=,S08, PRDE,actvstrat=,-0.667525, actvprof=,2.741579, id=,S09, PRDE,actvstrat=,0.954701, actvprof=,10.225432, best_B_id=,B06, best_B_prof=,3.716369, best_B_strat=,-0.906758, best_S_id=,S04, best_S_prof=,10.256546, best_S_strat=,0.833047, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.628901, actvprof=,2.762735, id=,B01, PRDE,actvstrat=,0.421420, actvprof=,2.682038, id=,B02, PRDE,actvstrat=,-0.675422, actvprof=,2.977603, id=,B03, PRDE,actvstrat=,0.663632, actvprof=,2.840654, id=,B04, PRDE,actvstrat=,-0.451489, actvprof=,2.396889, id=,B05, PRDE,actvstrat=,-0.879101, actvprof=,3.498594, id=,B06, PRDE,actvstrat=,-0.906758, actvprof=,3.685545, id=,B07, PRDE,actvstrat=,0.812785, actvprof=,2.648148, id=,B08, PRDE,actvstrat=,0.977645, actvprof=,1.131706, id=,B09, PRDE,actvstrat=,0.571438, actvprof=,2.941491, id=,S00, PRDE,actvstrat=,0.414223, actvprof=,7.761519, id=,S01, PRDE,actvstrat=,0.460860, actvprof=,8.051391, id=,S02, PRDE,actvstrat=,0.029250, actvprof=,6.020626, id=,S03, PRDE,actvstrat=,0.184049, actvprof=,6.475780, id=,S04, PRDE,actvstrat=,0.833047, actvprof=,10.091462, id=,S05, PRDE,actvstrat=,0.929591, actvprof=,10.228550, id=,S06, PRDE,actvstrat=,0.614200, actvprof=,9.018924, id=,S07, PRDE,actvstrat=,-0.895153, actvprof=,0.637105, id=,S08, PRDE,actvstrat=,-0.667525, actvprof=,2.647175, id=,S09, PRDE,actvstrat=,0.954701, actvprof=,10.249939, best_B_id=,B06, best_B_prof=,3.685545, best_B_strat=,-0.906758, best_S_id=,S09, best_S_prof=,10.249939, best_S_strat=,0.954701, 
