t=,1, id=,B00, PRDE,actvstrat=,-0.772138, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.854542, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.277364, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.652247, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.854962, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.002944, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.843835, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.911216, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.172622, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.716997, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.833872, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.509628, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.464587, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.294254, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.180730, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.277346, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.852003, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.484169, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.015606, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.814090, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.772138, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.833872, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.772138, actvprof=,2.377467, id=,B01, PRDE,actvstrat=,-0.854542, actvprof=,2.667741, id=,B02, PRDE,actvstrat=,0.277364, actvprof=,1.733865, id=,B03, PRDE,actvstrat=,0.652247, actvprof=,2.343301, id=,B04, PRDE,actvstrat=,0.854962, actvprof=,2.045527, id=,B05, PRDE,actvstrat=,-0.002944, actvprof=,1.579423, id=,B06, PRDE,actvstrat=,0.843835, actvprof=,2.203858, id=,B07, PRDE,actvstrat=,-0.911216, actvprof=,2.716629, id=,B08, PRDE,actvstrat=,0.172622, actvprof=,1.894418, id=,B09, PRDE,actvstrat=,0.716997, actvprof=,2.251913, id=,S00, PRDE,actvstrat=,0.833872, actvprof=,10.864571, id=,S01, PRDE,actvstrat=,0.509628, actvprof=,9.242372, id=,S02, PRDE,actvstrat=,0.464587, actvprof=,8.871543, id=,S03, PRDE,actvstrat=,0.294254, actvprof=,8.287385, id=,S04, PRDE,actvstrat=,-0.180730, actvprof=,4.635769, id=,S05, PRDE,actvstrat=,-0.277346, actvprof=,4.805211, id=,S06, PRDE,actvstrat=,0.852003, actvprof=,10.845683, id=,S07, PRDE,actvstrat=,-0.484169, actvprof=,3.729948, id=,S08, PRDE,actvstrat=,-0.015606, actvprof=,6.194358, id=,S09, PRDE,actvstrat=,-0.814090, actvprof=,1.752198, best_B_id=,B07, best_B_prof=,2.716629, best_B_strat=,-0.911216, best_S_id=,S00, best_S_prof=,10.864571, best_S_strat=,0.833872, 
t=,7200, id=,B00, PRDE,actvstrat=,0.629280, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.225630, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.436706, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.657126, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.839707, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.333078, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.416773, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.924467, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.218596, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.785151, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.231696, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.576364, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.884477, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.570908, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.586752, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.925906, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.433055, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.870159, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.475417, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.646755, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.629280, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.231696, 
t=,10800, id=,B00, PRDE,actvstrat=,0.629280, actvprof=,0.780011, id=,B01, PRDE,actvstrat=,-0.225630, actvprof=,0.364727, id=,B02, PRDE,actvstrat=,-0.436706, actvprof=,0.371950, id=,B03, PRDE,actvstrat=,0.657126, actvprof=,0.922513, id=,B04, PRDE,actvstrat=,0.839707, actvprof=,0.995847, id=,B05, PRDE,actvstrat=,-0.333078, actvprof=,0.356116, id=,B06, PRDE,actvstrat=,0.416773, actvprof=,0.738344, id=,B07, PRDE,actvstrat=,-0.924467, actvprof=,1.198072, id=,B08, PRDE,actvstrat=,0.218596, actvprof=,0.540841, id=,B09, PRDE,actvstrat=,0.785151, actvprof=,0.990569, id=,S00, PRDE,actvstrat=,-0.231696, actvprof=,5.040348, id=,S01, PRDE,actvstrat=,-0.576364, actvprof=,4.084223, id=,S02, PRDE,actvstrat=,-0.884477, actvprof=,0.507229, id=,S03, PRDE,actvstrat=,-0.570908, actvprof=,3.661718, id=,S04, PRDE,actvstrat=,-0.586752, actvprof=,4.350060, id=,S05, PRDE,actvstrat=,-0.925906, actvprof=,0.197781, id=,S06, PRDE,actvstrat=,0.433055, actvprof=,9.875970, id=,S07, PRDE,actvstrat=,-0.870159, actvprof=,0.747510, id=,S08, PRDE,actvstrat=,-0.475417, actvprof=,4.023389, id=,S09, PRDE,actvstrat=,0.646755, actvprof=,10.986819, best_B_id=,B07, best_B_prof=,1.198072, best_B_strat=,-0.924467, best_S_id=,S09, best_S_prof=,10.986819, best_S_strat=,0.646755, 
t=,14400, id=,B00, PRDE,actvstrat=,0.629280, actvprof=,0.807089, id=,B01, PRDE,actvstrat=,-0.225630, actvprof=,0.382225, id=,B02, PRDE,actvstrat=,-0.436706, actvprof=,0.325558, id=,B03, PRDE,actvstrat=,0.657126, actvprof=,0.928479, id=,B04, PRDE,actvstrat=,0.839707, actvprof=,1.014451, id=,B05, PRDE,actvstrat=,-0.333078, actvprof=,0.345419, id=,B06, PRDE,actvstrat=,0.416773, actvprof=,0.748061, id=,B07, PRDE,actvstrat=,-0.924467, actvprof=,1.155564, id=,B08, PRDE,actvstrat=,0.218596, actvprof=,0.549726, id=,B09, PRDE,actvstrat=,0.785151, actvprof=,0.987090, id=,S00, PRDE,actvstrat=,-0.231696, actvprof=,4.942812, id=,S01, PRDE,actvstrat=,-0.576364, actvprof=,4.038361, id=,S02, PRDE,actvstrat=,-0.884477, actvprof=,0.554309, id=,S03, PRDE,actvstrat=,-0.570908, actvprof=,3.703081, id=,S04, PRDE,actvstrat=,-0.586752, actvprof=,4.130862, id=,S05, PRDE,actvstrat=,-0.925906, actvprof=,0.220002, id=,S06, PRDE,actvstrat=,0.433055, actvprof=,9.771873, id=,S07, PRDE,actvstrat=,-0.870159, actvprof=,0.799311, id=,S08, PRDE,actvstrat=,-0.475417, actvprof=,4.173501, id=,S09, PRDE,actvstrat=,0.646755, actvprof=,11.111466, best_B_id=,B07, best_B_prof=,1.155564, best_B_strat=,-0.924467, best_S_id=,S09, best_S_prof=,11.111466, best_S_strat=,0.646755, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.603859, actvprof=,1.646157, id=,B01, PRDE,actvstrat=,0.336853, actvprof=,2.078113, id=,B02, PRDE,actvstrat=,-0.057892, actvprof=,1.472819, id=,B03, PRDE,actvstrat=,-0.157162, actvprof=,1.340315, id=,B04, PRDE,actvstrat=,0.188620, actvprof=,1.622267, id=,B05, PRDE,actvstrat=,-0.726496, actvprof=,2.029501, id=,B06, PRDE,actvstrat=,-0.628529, actvprof=,1.769771, id=,B07, PRDE,actvstrat=,-0.037070, actvprof=,1.675047, id=,B08, PRDE,actvstrat=,-0.382650, actvprof=,1.682825, id=,B09, PRDE,actvstrat=,0.743861, actvprof=,2.352288, id=,S00, PRDE,actvstrat=,-0.275346, actvprof=,3.585933, id=,S01, PRDE,actvstrat=,-0.441695, actvprof=,2.892303, id=,S02, PRDE,actvstrat=,0.149572, actvprof=,6.282675, id=,S03, PRDE,actvstrat=,0.275191, actvprof=,6.680463, id=,S04, PRDE,actvstrat=,0.318150, actvprof=,6.824634, id=,S05, PRDE,actvstrat=,-0.392383, actvprof=,3.060085, id=,S06, PRDE,actvstrat=,0.230856, actvprof=,6.305175, id=,S07, PRDE,actvstrat=,-0.133273, actvprof=,4.092336, id=,S08, PRDE,actvstrat=,-0.726037, actvprof=,2.001167, id=,S09, PRDE,actvstrat=,-0.681266, actvprof=,2.474513, best_B_id=,B09, best_B_prof=,2.352288, best_B_strat=,0.743861, best_S_id=,S04, best_S_prof=,6.824634, best_S_strat=,0.318150, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.603859, actvprof=,1.617950, id=,B01, PRDE,actvstrat=,0.336853, actvprof=,1.808927, id=,B02, PRDE,actvstrat=,-0.057892, actvprof=,1.446419, id=,B03, PRDE,actvstrat=,-0.157162, actvprof=,1.274193, id=,B04, PRDE,actvstrat=,0.188620, actvprof=,1.736703, id=,B05, PRDE,actvstrat=,-0.726496, actvprof=,1.998236, id=,B06, PRDE,actvstrat=,-0.628529, actvprof=,1.736147, id=,B07, PRDE,actvstrat=,-0.037070, actvprof=,1.633645, id=,B08, PRDE,actvstrat=,-0.382650, actvprof=,1.548921, id=,B09, PRDE,actvstrat=,0.743861, actvprof=,2.279770, id=,S00, PRDE,actvstrat=,-0.275346, actvprof=,3.321875, id=,S01, PRDE,actvstrat=,-0.441695, actvprof=,2.913116, id=,S02, PRDE,actvstrat=,0.149572, actvprof=,6.168045, id=,S03, PRDE,actvstrat=,0.275191, actvprof=,6.846670, id=,S04, PRDE,actvstrat=,0.318150, actvprof=,6.823753, id=,S05, PRDE,actvstrat=,-0.392383, actvprof=,3.083536, id=,S06, PRDE,actvstrat=,0.230856, actvprof=,6.349577, id=,S07, PRDE,actvstrat=,-0.133273, actvprof=,4.042168, id=,S08, PRDE,actvstrat=,-0.726037, actvprof=,1.992125, id=,S09, PRDE,actvstrat=,-0.681266, actvprof=,2.457273, best_B_id=,B09, best_B_prof=,2.279770, best_B_strat=,0.743861, best_S_id=,S03, best_S_prof=,6.846670, best_S_strat=,0.275191, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.610037, actvprof=,1.067559, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.636424, id=,B02, PRDE,actvstrat=,-0.469304, actvprof=,0.706984, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.599478, id=,B04, PRDE,actvstrat=,0.686591, actvprof=,1.656481, id=,B05, PRDE,actvstrat=,0.663651, actvprof=,1.539252, id=,B06, PRDE,actvstrat=,-0.235435, actvprof=,0.950331, id=,B07, PRDE,actvstrat=,0.629113, actvprof=,1.370909, id=,B08, PRDE,actvstrat=,-0.197651, actvprof=,0.877827, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.613645, id=,S00, PRDE,actvstrat=,-0.362725, actvprof=,4.714151, id=,S01, PRDE,actvstrat=,0.434779, actvprof=,9.624146, id=,S02, PRDE,actvstrat=,0.467598, actvprof=,9.685260, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,6.540363, id=,S04, PRDE,actvstrat=,0.235963, actvprof=,8.470193, id=,S05, PRDE,actvstrat=,-0.949928, actvprof=,0.891994, id=,S06, PRDE,actvstrat=,0.358878, actvprof=,9.016612, id=,S07, PRDE,actvstrat=,-0.081069, actvprof=,5.881993, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,6.178677, id=,S09, PRDE,actvstrat=,-0.236852, actvprof=,5.026390, best_B_id=,B04, best_B_prof=,1.656481, best_B_strat=,0.686591, best_S_id=,S02, best_S_prof=,9.685260, best_S_strat=,0.467598, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.610037, actvprof=,1.067259, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.615299, id=,B02, PRDE,actvstrat=,-0.469304, actvprof=,0.816417, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.597104, id=,B04, PRDE,actvstrat=,0.686591, actvprof=,1.558110, id=,B05, PRDE,actvstrat=,0.663651, actvprof=,1.525192, id=,B06, PRDE,actvstrat=,-0.235435, actvprof=,0.909615, id=,B07, PRDE,actvstrat=,0.629113, actvprof=,1.387687, id=,B08, PRDE,actvstrat=,-0.197651, actvprof=,0.895170, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.602521, id=,S00, PRDE,actvstrat=,-0.362725, actvprof=,4.678357, id=,S01, PRDE,actvstrat=,0.434779, actvprof=,9.410743, id=,S02, PRDE,actvstrat=,0.467598, actvprof=,9.621029, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,6.256328, id=,S04, PRDE,actvstrat=,0.235963, actvprof=,8.363207, id=,S05, PRDE,actvstrat=,-0.949928, actvprof=,0.791694, id=,S06, PRDE,actvstrat=,0.358878, actvprof=,9.089621, id=,S07, PRDE,actvstrat=,-0.081069, actvprof=,6.040488, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,6.124796, id=,S09, PRDE,actvstrat=,-0.236852, actvprof=,4.896420, best_B_id=,B04, best_B_prof=,1.558110, best_B_strat=,0.686591, best_S_id=,S02, best_S_prof=,9.621029, best_S_strat=,0.467598, 
t=,32400, id=,B00, PRDE,actvstrat=,0.376423, actvprof=,2.225247, id=,B01, PRDE,actvstrat=,-0.854542, actvprof=,2.675019, id=,B02, PRDE,actvstrat=,0.643338, actvprof=,2.319424, id=,B03, PRDE,actvstrat=,-0.519199, actvprof=,1.597955, id=,B04, PRDE,actvstrat=,0.158133, actvprof=,2.017724, id=,B05, PRDE,actvstrat=,-0.461414, actvprof=,1.714913, id=,B06, PRDE,actvstrat=,-0.503896, actvprof=,1.692688, id=,B07, PRDE,actvstrat=,-0.958810, actvprof=,3.179242, id=,B08, PRDE,actvstrat=,-0.244263, actvprof=,1.888265, id=,B09, PRDE,actvstrat=,0.026897, actvprof=,1.793533, id=,S00, PRDE,actvstrat=,-0.730553, actvprof=,1.760473, id=,S01, PRDE,actvstrat=,-0.375709, actvprof=,2.653073, id=,S02, PRDE,actvstrat=,0.516960, actvprof=,7.756695, id=,S03, PRDE,actvstrat=,-0.694416, actvprof=,1.834370, id=,S04, PRDE,actvstrat=,-0.014452, actvprof=,5.130848, id=,S05, PRDE,actvstrat=,0.063154, actvprof=,5.596177, id=,S06, PRDE,actvstrat=,0.358878, actvprof=,6.405990, id=,S07, PRDE,actvstrat=,0.651022, actvprof=,8.518446, id=,S08, PRDE,actvstrat=,0.290572, actvprof=,6.605734, id=,S09, PRDE,actvstrat=,-0.431803, actvprof=,2.508612, best_B_id=,B07, best_B_prof=,3.179242, best_B_strat=,-0.958810, best_S_id=,S07, best_S_prof=,8.518446, best_S_strat=,0.651022, 
t=,36000, id=,B00, PRDE,actvstrat=,0.376423, actvprof=,2.315871, id=,B01, PRDE,actvstrat=,-0.854542, actvprof=,2.698401, id=,B02, PRDE,actvstrat=,0.643338, actvprof=,2.378515, id=,B03, PRDE,actvstrat=,-0.519199, actvprof=,1.672906, id=,B04, PRDE,actvstrat=,0.158133, actvprof=,1.945565, id=,B05, PRDE,actvstrat=,-0.461414, actvprof=,1.644987, id=,B06, PRDE,actvstrat=,-0.503896, actvprof=,1.757634, id=,B07, PRDE,actvstrat=,-0.958810, actvprof=,3.120238, id=,B08, PRDE,actvstrat=,-0.244263, actvprof=,1.770274, id=,B09, PRDE,actvstrat=,0.026897, actvprof=,1.728882, id=,S00, PRDE,actvstrat=,-0.730553, actvprof=,1.798610, id=,S01, PRDE,actvstrat=,-0.375709, actvprof=,2.680621, id=,S02, PRDE,actvstrat=,0.516960, actvprof=,7.668225, id=,S03, PRDE,actvstrat=,-0.694416, actvprof=,2.033766, id=,S04, PRDE,actvstrat=,-0.014452, actvprof=,5.242067, id=,S05, PRDE,actvstrat=,0.063154, actvprof=,5.612373, id=,S06, PRDE,actvstrat=,0.358878, actvprof=,6.610088, id=,S07, PRDE,actvstrat=,0.651022, actvprof=,8.520651, id=,S08, PRDE,actvstrat=,0.290572, actvprof=,6.443409, id=,S09, PRDE,actvstrat=,-0.431803, actvprof=,2.606727, best_B_id=,B07, best_B_prof=,3.120238, best_B_strat=,-0.958810, best_S_id=,S07, best_S_prof=,8.520651, best_S_strat=,0.651022, 
