t=,1, id=,B00, PRDE,actvstrat=,-0.523510, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.189748, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.905230, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.355564, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.248597, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.507457, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.654985, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.962167, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.501624, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.410335, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.954085, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.946765, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.875290, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.121058, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.058010, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.313556, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.204487, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.130557, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.467351, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.137485, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.523510, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.954085, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.523510, actvprof=,1.544423, id=,B01, PRDE,actvstrat=,-0.189748, actvprof=,1.613589, id=,B02, PRDE,actvstrat=,0.905230, actvprof=,1.738587, id=,B03, PRDE,actvstrat=,-0.355564, actvprof=,1.456369, id=,B04, PRDE,actvstrat=,0.248597, actvprof=,1.784142, id=,B05, PRDE,actvstrat=,0.507457, actvprof=,1.883585, id=,B06, PRDE,actvstrat=,0.654985, actvprof=,2.268857, id=,B07, PRDE,actvstrat=,0.962167, actvprof=,1.092207, id=,B08, PRDE,actvstrat=,-0.501624, actvprof=,1.625255, id=,B09, PRDE,actvstrat=,-0.410335, actvprof=,1.533868, id=,S00, PRDE,actvstrat=,-0.954085, actvprof=,0.913598, id=,S01, PRDE,actvstrat=,-0.946765, actvprof=,0.960542, id=,S02, PRDE,actvstrat=,0.875290, actvprof=,11.197900, id=,S03, PRDE,actvstrat=,0.121058, actvprof=,6.665185, id=,S04, PRDE,actvstrat=,0.058010, actvprof=,6.660741, id=,S05, PRDE,actvstrat=,-0.313556, actvprof=,3.887168, id=,S06, PRDE,actvstrat=,0.204487, actvprof=,7.499340, id=,S07, PRDE,actvstrat=,-0.130557, actvprof=,5.521590, id=,S08, PRDE,actvstrat=,0.467351, actvprof=,8.772100, id=,S09, PRDE,actvstrat=,0.137485, actvprof=,6.646574, best_B_id=,B06, best_B_prof=,2.268857, best_B_strat=,0.654985, best_S_id=,S02, best_S_prof=,11.197900, best_S_strat=,0.875290, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.610745, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.010634, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.270600, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.564178, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.150343, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.500503, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.936746, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.764363, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.354274, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.217223, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.811222, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.081128, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.176481, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.706045, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.315957, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.551130, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.022188, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.894181, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.383079, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.234225, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.610745, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.811222, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.610745, actvprof=,2.604686, id=,B01, PRDE,actvstrat=,0.010634, actvprof=,1.955251, id=,B02, PRDE,actvstrat=,0.270600, actvprof=,2.393300, id=,B03, PRDE,actvstrat=,0.564178, actvprof=,2.763573, id=,B04, PRDE,actvstrat=,-0.150343, actvprof=,2.056360, id=,B05, PRDE,actvstrat=,-0.500503, actvprof=,2.038861, id=,B06, PRDE,actvstrat=,0.936746, actvprof=,1.726643, id=,B07, PRDE,actvstrat=,0.764363, actvprof=,2.496354, id=,B08, PRDE,actvstrat=,-0.354274, actvprof=,1.814419, id=,B09, PRDE,actvstrat=,-0.217223, actvprof=,1.910807, id=,S00, PRDE,actvstrat=,0.811222, actvprof=,10.040416, id=,S01, PRDE,actvstrat=,-0.081128, actvprof=,4.974375, id=,S02, PRDE,actvstrat=,-0.176481, actvprof=,3.624672, id=,S03, PRDE,actvstrat=,0.706045, actvprof=,9.427369, id=,S04, PRDE,actvstrat=,0.315957, actvprof=,6.743240, id=,S05, PRDE,actvstrat=,-0.551130, actvprof=,2.764684, id=,S06, PRDE,actvstrat=,0.022188, actvprof=,5.901585, id=,S07, PRDE,actvstrat=,-0.894181, actvprof=,0.616380, id=,S08, PRDE,actvstrat=,0.383079, actvprof=,7.306287, id=,S09, PRDE,actvstrat=,0.234225, actvprof=,6.750740, best_B_id=,B03, best_B_prof=,2.763573, best_B_strat=,0.564178, best_S_id=,S00, best_S_prof=,10.040416, best_S_strat=,0.811222, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.051866, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.447022, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.590118, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.607882, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.372351, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.261551, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.923282, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.781225, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.799490, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.894457, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.062569, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.146151, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.718471, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.078558, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.014235, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.045341, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.094257, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.908625, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.568217, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.147610, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.051866, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.062569, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.051866, actvprof=,1.708032, id=,B01, PRDE,actvstrat=,-0.447022, actvprof=,1.475535, id=,B02, PRDE,actvstrat=,-0.590118, actvprof=,1.639977, id=,B03, PRDE,actvstrat=,0.607882, actvprof=,2.153859, id=,B04, PRDE,actvstrat=,-0.372351, actvprof=,1.319704, id=,B05, PRDE,actvstrat=,-0.261551, actvprof=,1.453869, id=,B06, PRDE,actvstrat=,-0.923282, actvprof=,2.890238, id=,B07, PRDE,actvstrat=,-0.781225, actvprof=,1.941640, id=,B08, PRDE,actvstrat=,-0.799490, actvprof=,2.019139, id=,B09, PRDE,actvstrat=,0.894457, actvprof=,1.948306, id=,S00, PRDE,actvstrat=,0.062569, actvprof=,5.466591, id=,S01, PRDE,actvstrat=,-0.146151, actvprof=,3.589395, id=,S02, PRDE,actvstrat=,0.718471, actvprof=,9.300982, id=,S03, PRDE,actvstrat=,-0.078558, actvprof=,4.347162, id=,S04, PRDE,actvstrat=,-0.014235, actvprof=,5.109373, id=,S05, PRDE,actvstrat=,-0.045341, actvprof=,4.728268, id=,S06, PRDE,actvstrat=,0.094257, actvprof=,5.903807, id=,S07, PRDE,actvstrat=,-0.908625, actvprof=,0.468605, id=,S08, PRDE,actvstrat=,-0.568217, actvprof=,2.492743, id=,S09, PRDE,actvstrat=,0.147610, actvprof=,5.930751, best_B_id=,B06, best_B_prof=,2.890238, best_B_strat=,-0.923282, best_S_id=,S02, best_S_prof=,9.300982, best_S_strat=,0.718471, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.051866, actvprof=,1.620417, id=,B01, PRDE,actvstrat=,-0.447022, actvprof=,1.511528, id=,B02, PRDE,actvstrat=,-0.590118, actvprof=,1.627917, id=,B03, PRDE,actvstrat=,0.607882, actvprof=,2.154167, id=,B04, PRDE,actvstrat=,-0.372351, actvprof=,1.450556, id=,B05, PRDE,actvstrat=,-0.261551, actvprof=,1.423472, id=,B06, PRDE,actvstrat=,-0.923282, actvprof=,2.850833, id=,B07, PRDE,actvstrat=,-0.781225, actvprof=,2.041944, id=,B08, PRDE,actvstrat=,-0.799490, actvprof=,2.137361, id=,B09, PRDE,actvstrat=,0.894457, actvprof=,1.966111, id=,S00, PRDE,actvstrat=,0.062569, actvprof=,5.365972, id=,S01, PRDE,actvstrat=,-0.146151, actvprof=,3.735000, id=,S02, PRDE,actvstrat=,0.718471, actvprof=,9.187222, id=,S03, PRDE,actvstrat=,-0.078558, actvprof=,4.444444, id=,S04, PRDE,actvstrat=,-0.014235, actvprof=,4.973194, id=,S05, PRDE,actvstrat=,-0.045341, actvprof=,4.787222, id=,S06, PRDE,actvstrat=,0.094257, actvprof=,5.915972, id=,S07, PRDE,actvstrat=,-0.908625, actvprof=,0.518194, id=,S08, PRDE,actvstrat=,-0.568217, actvprof=,2.629028, id=,S09, PRDE,actvstrat=,0.147610, actvprof=,5.915000, best_B_id=,B06, best_B_prof=,2.850833, best_B_strat=,-0.923282, best_S_id=,S02, best_S_prof=,9.187222, best_S_strat=,0.718471, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.792789, id=,B01, PRDE,actvstrat=,-0.834475, actvprof=,2.607258, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,1.961138, id=,B03, PRDE,actvstrat=,-0.218045, actvprof=,1.684746, id=,B04, PRDE,actvstrat=,0.289103, actvprof=,1.862526, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.657787, id=,B06, PRDE,actvstrat=,-0.286108, actvprof=,1.475854, id=,B07, PRDE,actvstrat=,0.302563, actvprof=,1.908915, id=,B08, PRDE,actvstrat=,0.211761, actvprof=,1.817247, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,2.215586, id=,S00, PRDE,actvstrat=,-0.384524, actvprof=,4.625064, id=,S01, PRDE,actvstrat=,-0.607944, actvprof=,3.229212, id=,S02, PRDE,actvstrat=,0.310339, actvprof=,8.285671, id=,S03, PRDE,actvstrat=,-0.609183, actvprof=,3.193655, id=,S04, PRDE,actvstrat=,-0.855263, actvprof=,0.983069, id=,S05, PRDE,actvstrat=,-0.411610, actvprof=,3.573105, id=,S06, PRDE,actvstrat=,0.936239, actvprof=,11.517104, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,11.728774, id=,S08, PRDE,actvstrat=,0.779904, actvprof=,11.502104, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,11.535160, best_B_id=,B01, best_B_prof=,2.607258, best_B_strat=,-0.834475, best_S_id=,S07, best_S_prof=,11.728774, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.738200, id=,B01, PRDE,actvstrat=,-0.834475, actvprof=,2.671546, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,1.996403, id=,B03, PRDE,actvstrat=,-0.218045, actvprof=,1.717651, id=,B04, PRDE,actvstrat=,0.289103, actvprof=,1.927374, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.642088, id=,B06, PRDE,actvstrat=,-0.286108, actvprof=,1.606539, id=,B07, PRDE,actvstrat=,0.302563, actvprof=,1.890291, id=,B08, PRDE,actvstrat=,0.211761, actvprof=,1.809318, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,2.051820, id=,S00, PRDE,actvstrat=,-0.384524, actvprof=,4.320863, id=,S01, PRDE,actvstrat=,-0.607944, actvprof=,3.347107, id=,S02, PRDE,actvstrat=,0.310339, actvprof=,8.414781, id=,S03, PRDE,actvstrat=,-0.609183, actvprof=,3.090716, id=,S04, PRDE,actvstrat=,-0.855263, actvprof=,1.065424, id=,S05, PRDE,actvstrat=,-0.411610, actvprof=,3.569608, id=,S06, PRDE,actvstrat=,0.936239, actvprof=,11.804110, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,11.648275, id=,S08, PRDE,actvstrat=,0.779904, actvprof=,11.233411, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,11.510635, best_B_id=,B01, best_B_prof=,2.671546, best_B_strat=,-0.834475, best_S_id=,S06, best_S_prof=,11.804110, best_S_strat=,0.936239, 
t=,32400, id=,B00, PRDE,actvstrat=,0.131511, actvprof=,2.013667, id=,B01, PRDE,actvstrat=,0.318767, actvprof=,2.042001, id=,B02, PRDE,actvstrat=,0.270600, actvprof=,2.120059, id=,B03, PRDE,actvstrat=,-0.159189, actvprof=,1.678936, id=,B04, PRDE,actvstrat=,-0.150343, actvprof=,1.780327, id=,B05, PRDE,actvstrat=,-0.543533, actvprof=,2.003945, id=,B06, PRDE,actvstrat=,0.981512, actvprof=,0.969194, id=,B07, PRDE,actvstrat=,0.764363, actvprof=,2.301731, id=,B08, PRDE,actvstrat=,0.012332, actvprof=,1.723659, id=,B09, PRDE,actvstrat=,0.084194, actvprof=,1.813384, id=,S00, PRDE,actvstrat=,-0.384524, actvprof=,3.285647, id=,S01, PRDE,actvstrat=,-0.081128, actvprof=,5.056252, id=,S02, PRDE,actvstrat=,0.235804, actvprof=,6.716575, id=,S03, PRDE,actvstrat=,0.330410, actvprof=,7.784938, id=,S04, PRDE,actvstrat=,-0.713460, actvprof=,2.248674, id=,S05, PRDE,actvstrat=,0.760346, actvprof=,10.076947, id=,S06, PRDE,actvstrat=,-0.122130, actvprof=,4.652907, id=,S07, PRDE,actvstrat=,0.681458, actvprof=,9.450263, id=,S08, PRDE,actvstrat=,0.007338, actvprof=,5.987389, id=,S09, PRDE,actvstrat=,-0.247067, actvprof=,3.762327, best_B_id=,B07, best_B_prof=,2.301731, best_B_strat=,0.764363, best_S_id=,S05, best_S_prof=,10.076947, best_S_strat=,0.760346, 
t=,36000, id=,B00, PRDE,actvstrat=,0.131511, actvprof=,1.889332, id=,B01, PRDE,actvstrat=,0.318767, actvprof=,2.047528, id=,B02, PRDE,actvstrat=,0.270600, actvprof=,2.215447, id=,B03, PRDE,actvstrat=,-0.159189, actvprof=,1.667384, id=,B04, PRDE,actvstrat=,-0.150343, actvprof=,1.748497, id=,B05, PRDE,actvstrat=,-0.543533, actvprof=,2.080584, id=,B06, PRDE,actvstrat=,0.981512, actvprof=,1.026959, id=,B07, PRDE,actvstrat=,0.764363, actvprof=,2.366561, id=,B08, PRDE,actvstrat=,0.012332, actvprof=,1.702801, id=,B09, PRDE,actvstrat=,0.084194, actvprof=,1.877387, id=,S00, PRDE,actvstrat=,-0.384524, actvprof=,3.242128, id=,S01, PRDE,actvstrat=,-0.081128, actvprof=,4.914652, id=,S02, PRDE,actvstrat=,0.235804, actvprof=,6.751205, id=,S03, PRDE,actvstrat=,0.330410, actvprof=,7.582466, id=,S04, PRDE,actvstrat=,-0.713460, actvprof=,2.461423, id=,S05, PRDE,actvstrat=,0.760346, actvprof=,10.128891, id=,S06, PRDE,actvstrat=,-0.122130, actvprof=,4.500340, id=,S07, PRDE,actvstrat=,0.681458, actvprof=,9.334574, id=,S08, PRDE,actvstrat=,0.007338, actvprof=,6.057167, id=,S09, PRDE,actvstrat=,-0.247067, actvprof=,3.927971, best_B_id=,B07, best_B_prof=,2.366561, best_B_strat=,0.764363, best_S_id=,S05, best_S_prof=,10.128891, best_S_strat=,0.760346, 
