B00, 100
B00, Trade, 4319289.843, 87, B00, S04, 1
B00, Trade, 4319295.893, 72, S03, B00, 1
B00, Trade, 4319302.393, 79, B00, S01, 1
B00, Trade, 4319308.843, 91, B00, S01, 1
B00, Trade, 4319310.893, 115, S04, B00, 1
B00, Trade, 4319312.843, 118, S05, B00, 1
B00, Trade, 4319326.593, 110, B00, S09, 1
B00, Trade, 4319330.143, 133, B00, S06, 1
B00, Trade, 4319336.693, 119, B00, S04, 1
B00, Trade, 4319346.493, 80, S04, B00, 1
B00, Trade, 4319351.093, 70, S04, B00, 1
B00, Trade, 4319355.643, 99, B00, S04, 1
B00, Trade, 4319362.893, 95, S03, B00, 1
B00, Trade, 4319368.743, 113, S02, B00, 1
B00, Trade, 4319371.843, 109, B00, S09, 1
B00, Trade, 4319377.793, 104, B00, S04, 1
B00, Trade, 4319379.993, 100, B00, S01, 1
B00, Trade, 4319387.343, 113, B00, S00, 1
B00, Trade, 4319391.643, 106, B00, S00, 1
B00, Trade, 4319404.293, 126, S06, B00, 1
B00, Trade, 4319427.793, 108, S04, B00, 1
B00, Trade, 4319435.793, 124, B00, S05, 1
B00, Trade, 4319447.593, 137, B00, S09, 1
B00, Trade, 4319461.193, 115, B00, S04, 1
B00, Trade, 4319464.043, 90, S04, B00, 1
B00, Trade, 4319467.543, 126, B00, S08, 1
B00, Trade, 4319473.893, 99, B00, S06, 1
B00, Trade, 4319477.543, 88, S02, B00, 1
B00, Trade, 4319497.993, 132, S07, B00, 1
B00, Trade, 4319502.643, 78, S04, B00, 1
B00, Trade, 4319505.893, 115, B00, S03, 1
B00, Trade, 4319511.593, 98, B00, S06, 1
B00, Trade, 4319514.943, 123, S00, B00, 1
B00, Trade, 4319528.093, 137, S05, B00, 1
B00, Trade, 4319534.393, 89, B00, S08, 1
B00, Trade, 4319541.843, 124, B00, S04, 1
B00, Trade, 4319546.743, 122, B00, S04, 1
B00, Trade, 4319550.343, 115, B00, S01, 1
B00, Trade, 4319556.043, 121, B00, S01, 1
B00, Trade, 4319559.293, 131, B00, S03, 1
B00, Trade, 4319568.893, 73, B00, S00, 1
B00, Trade, 4319577.293, 90, S07, B00, 1
B00, Trade, 4319581.193, 111, S08, B00, 1
B00, Trade, 4319588.443, 97, B00, S02, 1
B00, Trade, 4319597.943, 79, B00, S06, 1
B00, Trade, 4319602.043, 97, B00, S02, 1
B00, Trade, 4319607.543, 127, B00, S08, 1
B00, Trade, 4319615.243, 117, S01, B00, 1
B00, Trade, 4319622.493, 124, S06, B00, 1
B00, Trade, 4319627.143, 94, S00, B00, 1
B00, Trade, 4319632.643, 89, B00, S04, 1
B00, Trade, 4319646.643, 119, B00, S09, 1
B00, Trade, 4319653.243, 115, B00, S07, 1
B00, Trade, 4319656.993, 128, B00, S01, 1
B00, Trade, 4319675.393, 94, S00, B00, 1
B00, Trade, 4319679.643, 119, B00, S00, 1
B00, Trade, 4319686.343, 135, B00, S05, 1
B00, Trade, 4319692.343, 86, S04, B00, 1
B00, Trade, 4319696.443, 85, B00, S03, 1
B00, Trade, 4319705.143, 86, B00, S04, 1
B00, Trade, 4319710.243, 94, B00, S05, 1
B00, Trade, 4319716.093, 130, B00, S05, 1
B00, Trade, 4319726.743, 69, B00, S09, 1
B00, Trade, 4319731.793, 96, S06, B00, 1
B00, Trade, 4319744.543, 127, B00, S01, 1
B00, Trade, 4319750.593, 112, S05, B00, 1
B00, Trade, 4319758.343, 118, B00, S08, 1
B00, Trade, 4319763.543, 135, B00, S02, 1
B00, Trade, 4319774.693, 90, B00, S02, 1
B00, Trade, 4319780.943, 127, B00, S01, 1
B00, Trade, 4319787.793, 119, S06, B00, 1
B00, Trade, 4319799.943, 103, B00, S00, 1
B00, Trade, 4319801.893, 106, S07, B00, 1
B00, Trade, 4319806.393, 116, B00, S08, 1
B00, Trade, 4319816.743, 118, B00, S06, 1
B00, Trade, 4319818.393, 97, S02, B00, 1
B00, Trade, 4319833.043, 125, S03, B00, 1
B00, Trade, 4319842.493, 120, B00, S09, 1
B00, Trade, 4319847.543, 104, S02, B00, 1
B00, Trade, 4319857.143, 136, B00, S04, 1
B00, Trade, 4319876.293, 128, B00, S02, 1
B00, Trade, 4319882.443, 105, S06, B00, 1
B00, Trade, 4319885.993, 86, S07, B00, 1
B00, Trade, 4319896.493, 91, B00, S05, 1
B00, Trade, 4319903.243, 113, S03, B00, 1
B00, Trade, 4319909.193, 124, B00, S08, 1
B00, Trade, 4319914.493, 102, B00, S02, 1
B00, Trade, 4319921.243, 68, S03, B00, 1
B00, Trade, 4319925.443, 139, B00, S06, 1
B00, Trade, 4319932.043, 128, B00, S08, 1
B00, Trade, 4319939.493, 120, S00, B00, 1
B00, Trade, 4319941.193, 139, B00, S08, 1
B00, Trade, 4319949.543, 133, B00, S08, 1
B00, Trade, 4319954.393, 139, B00, S03, 1
B00, Trade, 4319960.593, 91, S02, B00, 1
B00, Trade, 4319969.393, 107, B00, S01, 1
B00, Trade, 4319974.243, 76, S04, B00, 1
B00, Trade, 4319976.043, 80, S02, B00, 1
B00, Trade, 4319982.343, 72, S07, B00, 1
B00, Trade, 4319992.993, 102, B00, S03, 1
B01, 100
B01, Trade, 4319409.443, 140, B01, S02, 1
B01, Trade, 4319411.793, 132, B01, S07, 1
B01, Trade, 4319419.193, 98, S02, B01, 1
B01, Trade, 4319426.643, 125, B01, S04, 1
B01, Trade, 4319430.293, 131, S01, B01, 1
B01, Trade, 4319440.843, 111, S08, B01, 1
B01, Trade, 4319445.993, 130, S09, B01, 1
B01, Trade, 4319450.343, 108, B01, S06, 1
B01, Trade, 4319457.193, 111, S00, B01, 1
B01, Trade, 4319459.443, 112, B01, S08, 1
B01, Trade, 4319466.843, 135, B01, S02, 1
B01, Trade, 4319474.593, 123, B01, S04, 1
B01, Trade, 4319479.943, 125, S01, B01, 1
B01, Trade, 4319490.943, 135, B01, S03, 1
B01, Trade, 4319494.793, 113, B01, S06, 1
B01, Trade, 4319501.443, 104, B01, S06, 1
B01, Trade, 4319504.743, 111, S07, B01, 1
B01, Trade, 4319507.143, 138, B01, S01, 1
B01, Trade, 4319515.843, 85, B01, S06, 1
B01, Trade, 4319520.143, 99, B01, S03, 1
B01, Trade, 4319527.643, 104, B01, S02, 1
B01, Trade, 4319535.193, 108, B01, S06, 1
B01, Trade, 4319542.093, 118, S08, B01, 1
B01, Trade, 4319547.343, 117, B01, S03, 1
B01, Trade, 4319553.843, 110, S09, B01, 1
B01, Trade, 4319558.043, 123, B01, S01, 1
B01, Trade, 4319566.793, 88, S02, B01, 1
B01, Trade, 4319570.393, 114, S05, B01, 1
B01, Trade, 4319574.543, 124, B01, S00, 1
B01, Trade, 4319583.593, 103, S02, B01, 1
B01, Trade, 4319587.843, 118, S09, B01, 1
B01, Trade, 4319591.143, 111, S07, B01, 1
B01, Trade, 4319600.093, 113, B01, S05, 1
B01, Trade, 4319602.793, 93, S01, B01, 1
B01, Trade, 4319607.843, 101, B01, S02, 1
B01, Trade, 4319611.243, 137, B01, S04, 1
B01, Trade, 4319616.493, 94, S05, B01, 1
B01, Trade, 4319624.593, 109, B01, S05, 1
B01, Trade, 4319629.243, 66, S04, B01, 1
B01, Trade, 4319635.993, 95, S01, B01, 1
B01, Trade, 4319639.793, 99, S06, B01, 1
B01, Trade, 4319646.893, 136, S04, B01, 1
B01, Trade, 4319652.893, 132, S01, B01, 1
B01, Trade, 4319656.443, 140, B01, S00, 1
B01, Trade, 4319668.243, 136, B01, S00, 1
B01, Trade, 4319669.443, 108, B01, S02, 1
B01, Trade, 4319674.943, 140, S07, B01, 1
B01, Trade, 4319677.343, 89, S09, B01, 1
B01, Trade, 4319683.693, 113, B01, S04, 1
B01, Trade, 4319688.793, 88, B01, S08, 1
B01, Trade, 4319694.593, 123, B01, S01, 1
B01, Trade, 4319700.993, 111, B01, S04, 1
B01, Trade, 4319704.043, 138, B01, S05, 1
B01, Trade, 4319708.543, 126, B01, S08, 1
B01, Trade, 4319714.593, 116, B01, S04, 1
B01, Trade, 4319718.393, 133, B01, S09, 1
B01, Trade, 4319722.893, 117, B01, S07, 1
B01, Trade, 4319728.993, 112, S07, B01, 1
B01, Trade, 4319736.343, 96, S04, B01, 1
B01, Trade, 4319747.443, 96, B01, S04, 1
B01, Trade, 4319750.743, 117, S06, B01, 1
B01, Trade, 4319756.743, 132, B01, S09, 1
B01, Trade, 4319762.743, 131, B01, S04, 1
B01, Trade, 4319767.293, 110, S06, B01, 1
B01, Trade, 4319769.643, 66, S04, B01, 1
B01, Trade, 4319778.393, 140, B01, S08, 1
B01, Trade, 4319786.093, 136, B01, S08, 1
B01, Trade, 4319790.893, 113, B01, S02, 1
B01, Trade, 4319807.643, 116, B01, S09, 1
B01, Trade, 4319810.593, 140, B01, S09, 1
B01, Trade, 4319815.193, 139, B01, S02, 1
B01, Trade, 4319821.943, 128, B01, S03, 1
B01, Trade, 4319831.343, 111, S06, B01, 1
B01, Trade, 4319837.543, 139, B01, S07, 1
B01, Trade, 4319844.093, 118, S04, B01, 1
B01, Trade, 4319852.293, 119, B01, S06, 1
B01, Trade, 4319854.793, 114, B01, S03, 1
B01, Trade, 4319864.293, 85, B01, S08, 1
B01, Trade, 4319870.793, 82, B01, S05, 1
B01, Trade, 4319878.843, 127, B01, S04, 1
B01, Trade, 4319888.493, 138, B01, S02, 1
B01, Trade, 4319891.793, 91, B01, S03, 1
B01, Trade, 4319896.893, 112, B01, S09, 1
B01, Trade, 4319899.643, 134, B01, S00, 1
B01, Trade, 4319906.343, 132, B01, S08, 1
B01, Trade, 4319910.543, 119, S07, B01, 1
B01, Trade, 4319917.243, 99, S04, B01, 1
B01, Trade, 4319922.393, 135, B01, S09, 1
B01, Trade, 4319929.093, 107, B01, S09, 1
B01, Trade, 4319933.843, 84, B01, S04, 1
B01, Trade, 4319935.393, 108, B01, S06, 1
B01, Trade, 4319948.943, 113, B01, S02, 1
B01, Trade, 4319952.743, 60, S09, B01, 1
B01, Trade, 4319957.993, 103, S04, B01, 1
B01, Trade, 4319964.343, 121, B01, S02, 1
B01, Trade, 4319969.993, 136, B01, S05, 1
B01, Trade, 4319971.393, 139, B01, S09, 1
B01, Trade, 4319979.393, 131, S00, B01, 1
B01, Trade, 4319981.743, 101, S03, B01, 1
B01, Trade, 4319998.893, 101, B01, S07, 1
B02, 100
B02, Trade, 4319197.943, 97, B02, S04, 1
B02, Trade, 4319205.243, 134, B02, S06, 1
B02, Trade, 4319217.993, 115, B02, S04, 1
B02, Trade, 4319219.843, 138, B02, S08, 1
B02, Trade, 4319223.443, 130, B02, S09, 1
B02, Trade, 4319232.743, 115, B02, S06, 1
B02, Trade, 4319236.843, 94, B02, S04, 1
B02, Trade, 4319243.343, 62, S02, B02, 1
B02, Trade, 4319256.943, 128, B02, S06, 1
B02, Trade, 4319266.143, 138, B02, S08, 1
B02, Trade, 4319267.393, 136, S00, B02, 1
B02, Trade, 4319273.293, 103, S05, B02, 1
B02, Trade, 4319280.943, 117, B02, S04, 1
B02, Trade, 4319286.443, 111, B02, S02, 1
B02, Trade, 4319294.893, 96, B02, S04, 1
B02, Trade, 4319298.493, 84, B02, S01, 1
B02, Trade, 4319305.093, 99, B02, S06, 1
B02, Trade, 4319315.943, 84, B02, S09, 1
B02, Trade, 4319317.343, 74, B02, S03, 1
B02, Trade, 4319321.843, 121, B02, S02, 1
B02, Trade, 4319332.893, 112, B02, S05, 1
B02, Trade, 4319337.743, 102, B02, S03, 1
B02, Trade, 4319341.493, 122, B02, S02, 1
B02, Trade, 4319348.243, 136, B02, S02, 1
B02, Trade, 4319363.843, 91, B02, S05, 1
B02, Trade, 4319366.743, 123, B02, S01, 1
B02, Trade, 4319370.993, 138, B02, S04, 1
B02, Trade, 4319397.043, 122, S00, B02, 1
B02, Trade, 4319404.093, 122, B02, S02, 1
B02, Trade, 4319407.443, 74, S09, B02, 1
B02, Trade, 4319412.693, 132, B02, S04, 1
B02, Trade, 4319423.043, 71, B02, S09, 1
B02, Trade, 4319434.893, 92, S02, B02, 1
B02, Trade, 4319451.093, 134, B02, S02, 1
B02, Trade, 4319458.343, 101, B02, S03, 1
B02, Trade, 4319463.543, 122, B02, S06, 1
B02, Trade, 4319483.143, 133, B02, S04, 1
B02, Trade, 4319488.293, 107, S05, B02, 1
B02, Trade, 4319497.443, 131, B02, S04, 1
B02, Trade, 4319514.893, 102, B02, S09, 1
B02, Trade, 4319520.593, 103, B02, S05, 1
B02, Trade, 4319529.293, 71, B02, S03, 1
B02, Trade, 4319530.893, 114, B02, S04, 1
B02, Trade, 4319538.643, 134, B02, S02, 1
B02, Trade, 4319553.493, 79, S04, B02, 1
B02, Trade, 4319567.193, 130, B02, S09, 1
B02, Trade, 4319571.293, 85, S06, B02, 1
B02, Trade, 4319586.593, 111, B02, S00, 1
B02, Trade, 4319588.243, 115, S06, B02, 1
B02, Trade, 4319596.843, 109, B02, S00, 1
B02, Trade, 4319610.093, 138, S03, B02, 1
B02, Trade, 4319612.443, 92, S00, B02, 1
B02, Trade, 4319619.243, 119, S04, B02, 1
B02, Trade, 4319623.543, 136, B02, S08, 1
B02, Trade, 4319628.493, 139, B02, S05, 1
B02, Trade, 4319633.293, 63, B02, S02, 1
B02, Trade, 4319638.093, 73, S08, B02, 1
B02, Trade, 4319645.743, 121, B02, S05, 1
B02, Trade, 4319658.193, 121, B02, S04, 1
B02, Trade, 4319661.043, 133, B02, S02, 1
B02, Trade, 4319671.543, 116, S09, B02, 1
B02, Trade, 4319692.143, 121, B02, S00, 1
B02, Trade, 4319696.243, 117, S09, B02, 1
B02, Trade, 4319699.643, 124, B02, S04, 1
B02, Trade, 4319702.143, 123, B02, S01, 1
B02, Trade, 4319711.393, 94, B02, S02, 1
B02, Trade, 4319719.543, 132, B02, S04, 1
B02, Trade, 4319725.093, 86, B02, S09, 1
B02, Trade, 4319728.343, 131, B02, S08, 1
B02, Trade, 4319733.893, 110, S02, B02, 1
B02, Trade, 4319752.843, 123, B02, S04, 1
B02, Trade, 4319759.293, 90, S05, B02, 1
B02, Trade, 4319765.543, 98, B02, S09, 1
B02, Trade, 4319786.943, 83, S02, B02, 1
B02, Trade, 4319796.743, 84, S08, B02, 1
B02, Trade, 4319801.743, 68, S08, B02, 1
B02, Trade, 4319807.193, 92, B02, S01, 1
B02, Trade, 4319824.043, 77, B02, S05, 1
B02, Trade, 4319859.243, 122, B02, S00, 1
B02, Trade, 4319859.993, 112, B02, S06, 1
B02, Trade, 4319866.493, 85, S09, B02, 1
B02, Trade, 4319874.393, 133, B02, S09, 1
B02, Trade, 4319886.393, 114, S08, B02, 1
B02, Trade, 4319888.993, 96, B02, S04, 1
B02, Trade, 4319896.593, 107, S04, B02, 1
B02, Trade, 4319909.643, 106, S09, B02, 1
B02, Trade, 4319920.293, 115, B02, S04, 1
B02, Trade, 4319923.443, 118, S01, B02, 1
B02, Trade, 4319927.143, 88, S02, B02, 1
B02, Trade, 4319934.693, 92, S02, B02, 1
B02, Trade, 4319942.593, 87, B02, S02, 1
B02, Trade, 4319948.043, 76, B02, S05, 1
B02, Trade, 4319955.243, 131, B02, S01, 1
B02, Trade, 4319962.543, 134, B02, S09, 1
B02, Trade, 4319969.743, 97, B02, S08, 1
B02, Trade, 4319974.493, 70, B02, S03, 1
B02, Trade, 4319980.893, 105, S06, B02, 1
B02, Trade, 4319986.943, 114, B02, S00, 1
B02, Trade, 4319992.293, 135, B02, S01, 1
B02, Trade, 4319997.943, 123, B02, S04, 1
B03, 100
B03, Trade, 4319155.293, 126, S03, B03, 1
B03, Trade, 4319167.093, 118, B03, S01, 1
B03, Trade, 4319169.293, 122, S04, B03, 1
B03, Trade, 4319172.993, 118, B03, S00, 1
B03, Trade, 4319180.593, 128, B03, S02, 1
B03, Trade, 4319185.593, 132, B03, S08, 1
B03, Trade, 4319188.793, 94, S05, B03, 1
B03, Trade, 4319200.293, 126, B03, S01, 1
B03, Trade, 4319203.643, 122, B03, S03, 1
B03, Trade, 4319207.843, 114, B03, S00, 1
B03, Trade, 4319227.793, 140, B03, S06, 1
B03, Trade, 4319239.643, 119, B03, S02, 1
B03, Trade, 4319242.943, 93, B03, S00, 1
B03, Trade, 4319248.593, 128, B03, S06, 1
B03, Trade, 4319258.543, 95, B03, S00, 1
B03, Trade, 4319261.543, 125, B03, S01, 1
B03, Trade, 4319265.043, 111, S06, B03, 1
B03, Trade, 4319276.043, 104, S02, B03, 1
B03, Trade, 4319285.143, 60, S02, B03, 1
B03, Trade, 4319298.893, 124, B03, S08, 1
B03, Trade, 4319303.293, 133, B03, S02, 1
B03, Trade, 4319329.393, 139, B03, S07, 1
B03, Trade, 4319338.793, 97, B03, S09, 1
B03, Trade, 4319345.493, 87, B03, S02, 1
B03, Trade, 4319353.093, 139, B03, S08, 1
B03, Trade, 4319372.193, 106, B03, S08, 1
B03, Trade, 4319385.693, 121, B03, S09, 1
B03, Trade, 4319388.893, 101, B03, S01, 1
B03, Trade, 4319395.343, 140, B03, S01, 1
B03, Trade, 4319406.943, 95, B03, S02, 1
B03, Trade, 4319411.043, 125, B03, S03, 1
B03, Trade, 4319418.193, 93, B03, S03, 1
B03, Trade, 4319421.243, 122, B03, S07, 1
B03, Trade, 4319432.493, 112, B03, S09, 1
B03, Trade, 4319439.093, 136, B03, S03, 1
B03, Trade, 4319444.643, 117, S01, B03, 1
B03, Trade, 4319451.393, 140, B03, S00, 1
B03, Trade, 4319453.943, 94, B03, S08, 1
B03, Trade, 4319456.743, 109, B03, S09, 1
B03, Trade, 4319461.393, 94, B03, S09, 1
B03, Trade, 4319470.043, 120, B03, S07, 1
B03, Trade, 4319474.793, 95, B03, S02, 1
B03, Trade, 4319480.093, 86, S09, B03, 1
B03, Trade, 4319483.893, 130, B03, S06, 1
B03, Trade, 4319487.043, 76, B03, S01, 1
B03, Trade, 4319498.693, 129, B03, S00, 1
B03, Trade, 4319511.243, 93, B03, S01, 1
B03, Trade, 4319522.793, 129, B03, S04, 1
B03, Trade, 4319528.743, 109, S00, B03, 1
B03, Trade, 4319535.343, 111, B03, S02, 1
B03, Trade, 4319539.143, 130, B03, S04, 1
B03, Trade, 4319549.643, 113, B03, S05, 1
B03, Trade, 4319561.993, 90, S03, B03, 1
B03, Trade, 4319571.543, 104, S08, B03, 1
B03, Trade, 4319575.093, 90, S04, B03, 1
B03, Trade, 4319606.943, 136, B03, S01, 1
B03, Trade, 4319614.143, 115, B03, S09, 1
B03, Trade, 4319621.743, 104, B03, S02, 1
B03, Trade, 4319628.993, 74, B03, S02, 1
B03, Trade, 4319633.143, 104, B03, S08, 1
B03, Trade, 4319640.093, 133, B03, S08, 1
B03, Trade, 4319649.243, 97, B03, S01, 1
B03, Trade, 4319666.143, 130, B03, S04, 1
B03, Trade, 4319683.393, 121, B03, S09, 1
B03, Trade, 4319690.293, 134, B03, S02, 1
B03, Trade, 4319700.043, 134, B03, S06, 1
B03, Trade, 4319706.793, 99, B03, S02, 1
B03, Trade, 4319714.893, 138, B03, S06, 1
B03, Trade, 4319724.593, 105, S00, B03, 1
B03, Trade, 4319742.543, 135, B03, S05, 1
B03, Trade, 4319757.743, 126, B03, S04, 1
B03, Trade, 4319761.843, 135, S03, B03, 1
B03, Trade, 4319784.393, 78, B03, S09, 1
B03, Trade, 4319787.143, 94, S08, B03, 1
B03, Trade, 4319788.793, 140, B03, S00, 1
B03, Trade, 4319794.143, 103, B03, S05, 1
B03, Trade, 4319800.393, 104, S09, B03, 1
B03, Trade, 4319806.793, 80, S04, B03, 1
B03, Trade, 4319818.543, 64, S01, B03, 1
B03, Trade, 4319818.793, 71, B03, S05, 1
B03, Trade, 4319826.593, 136, B03, S08, 1
B03, Trade, 4319835.393, 140, B03, S08, 1
B03, Trade, 4319842.943, 120, B03, S05, 1
B03, Trade, 4319853.443, 116, B03, S09, 1
B03, Trade, 4319860.193, 100, B03, S08, 1
B03, Trade, 4319866.743, 91, S00, B03, 1
B03, Trade, 4319875.393, 124, B03, S03, 1
B03, Trade, 4319888.643, 102, B03, S02, 1
B03, Trade, 4319891.893, 111, B03, S05, 1
B03, Trade, 4319901.843, 132, B03, S02, 1
B03, Trade, 4319905.993, 108, B03, S04, 1
B03, Trade, 4319932.443, 129, S07, B03, 1
B03, Trade, 4319939.693, 97, B03, S01, 1
B03, Trade, 4319947.243, 93, B03, S04, 1
B03, Trade, 4319959.543, 136, B03, S01, 1
B03, Trade, 4319963.743, 121, B03, S01, 1
B03, Trade, 4319972.193, 94, B03, S00, 1
B03, Trade, 4319984.543, 140, B03, S02, 1
B03, Trade, 4319991.543, 111, S04, B03, 1
B03, Trade, 4319997.393, 129, S00, B03, 1
B04, 100
B04, Trade, 4319167.193, 130, S05, B04, 1
B04, Trade, 4319170.193, 129, B04, S03, 1
B04, Trade, 4319177.643, 119, B04, S04, 1
B04, Trade, 4319187.693, 116, B04, S05, 1
B04, Trade, 4319193.293, 82, B04, S08, 1
B04, Trade, 4319198.643, 120, B04, S00, 1
B04, Trade, 4319207.093, 116, B04, S09, 1
B04, Trade, 4319212.643, 140, B04, S09, 1
B04, Trade, 4319225.843, 133, B04, S04, 1
B04, Trade, 4319229.693, 124, S07, B04, 1
B04, Trade, 4319265.793, 84, B04, S03, 1
B04, Trade, 4319274.193, 106, B04, S04, 1
B04, Trade, 4319293.893, 103, S05, B04, 1
B04, Trade, 4319301.143, 116, B04, S09, 1
B04, Trade, 4319315.293, 111, B04, S04, 1
B04, Trade, 4319323.143, 133, B04, S09, 1
B04, Trade, 4319330.993, 88, B04, S04, 1
B04, Trade, 4319336.393, 132, S00, B04, 1
B04, Trade, 4319341.743, 109, B04, S03, 1
B04, Trade, 4319345.943, 64, B04, S05, 1
B04, Trade, 4319354.293, 120, B04, S00, 1
B04, Trade, 4319362.643, 84, B04, S02, 1
B04, Trade, 4319368.093, 138, B04, S04, 1
B04, Trade, 4319391.243, 118, S02, B04, 1
B04, Trade, 4319396.493, 112, B04, S07, 1
B04, Trade, 4319401.393, 112, B04, S08, 1
B04, Trade, 4319412.343, 108, B04, S01, 1
B04, Trade, 4319422.943, 115, B04, S02, 1
B04, Trade, 4319433.843, 130, B04, S04, 1
B04, Trade, 4319441.443, 93, S07, B04, 1
B04, Trade, 4319443.043, 127, B04, S02, 1
B04, Trade, 4319452.493, 124, B04, S01, 1
B04, Trade, 4319462.393, 134, B04, S05, 1
B04, Trade, 4319472.193, 137, B04, S02, 1
B04, Trade, 4319475.893, 109, B04, S06, 1
B04, Trade, 4319486.943, 121, B04, S02, 1
B04, Trade, 4319498.193, 74, B04, S08, 1
B04, Trade, 4319510.693, 89, B04, S00, 1
B04, Trade, 4319516.993, 129, S08, B04, 1
B04, Trade, 4319523.793, 121, B04, S00, 1
B04, Trade, 4319525.793, 106, B04, S01, 1
B04, Trade, 4319531.643, 89, B04, S08, 1
B04, Trade, 4319542.943, 114, B04, S05, 1
B04, Trade, 4319555.393, 107, B04, S05, 1
B04, Trade, 4319560.143, 109, S06, B04, 1
B04, Trade, 4319568.093, 96, B04, S09, 1
B04, Trade, 4319576.493, 92, B04, S09, 1
B04, Trade, 4319584.743, 92, B04, S02, 1
B04, Trade, 4319593.443, 140, B04, S04, 1
B04, Trade, 4319597.493, 125, B04, S09, 1
B04, Trade, 4319600.743, 139, B04, S07, 1
B04, Trade, 4319603.493, 96, S09, B04, 1
B04, Trade, 4319616.093, 121, B04, S08, 1
B04, Trade, 4319625.893, 78, S06, B04, 1
B04, Trade, 4319630.343, 107, S06, B04, 1
B04, Trade, 4319639.293, 108, S03, B04, 1
B04, Trade, 4319641.643, 124, B04, S04, 1
B04, Trade, 4319649.693, 79, B04, S04, 1
B04, Trade, 4319653.543, 107, B04, S03, 1
B04, Trade, 4319660.593, 138, B04, S01, 1
B04, Trade, 4319668.943, 125, B04, S05, 1
B04, Trade, 4319673.443, 117, B04, S08, 1
