t=,0, id=,B00, PRDE,actvstrat=,-0.806628, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.402540, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.108174, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.784180, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.007270, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.436436, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.719213, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.083580, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.733289, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.328158, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.027373, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.799017, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.355231, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.707677, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.771447, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.434042, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.706725, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.983481, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.640210, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.599491, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.806628, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.027373, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.806628, actvprof=,3.410833, id=,B01, PRDE,actvstrat=,0.402540, actvprof=,2.877500, id=,B02, PRDE,actvstrat=,0.108174, actvprof=,2.446111, id=,B03, PRDE,actvstrat=,0.784180, actvprof=,2.866667, id=,B04, PRDE,actvstrat=,-0.007270, actvprof=,2.458056, id=,B05, PRDE,actvstrat=,0.436436, actvprof=,3.000278, id=,B06, PRDE,actvstrat=,-0.719213, actvprof=,2.868889, id=,B07, PRDE,actvstrat=,0.083580, actvprof=,2.421944, id=,B08, PRDE,actvstrat=,0.733289, actvprof=,3.013056, id=,B09, PRDE,actvstrat=,-0.328158, actvprof=,2.205556, id=,S00, PRDE,actvstrat=,-0.027373, actvprof=,5.228889, id=,S01, PRDE,actvstrat=,0.799017, actvprof=,9.389444, id=,S02, PRDE,actvstrat=,0.355231, actvprof=,6.679722, id=,S03, PRDE,actvstrat=,0.707677, actvprof=,8.783056, id=,S04, PRDE,actvstrat=,0.771447, actvprof=,9.020556, id=,S05, PRDE,actvstrat=,0.434042, actvprof=,7.369722, id=,S06, PRDE,actvstrat=,-0.706725, actvprof=,2.143333, id=,S07, PRDE,actvstrat=,-0.983481, actvprof=,2.772222, id=,S08, PRDE,actvstrat=,-0.640210, actvprof=,2.450556, id=,S09, PRDE,actvstrat=,0.599491, actvprof=,8.526944, best_B_id=,B00, best_B_prof=,3.410833, best_B_strat=,-0.806628, best_S_id=,S01, best_S_prof=,9.389444, best_S_strat=,0.799017, 
t=,7200, id=,B00, PRDE,actvstrat=,0.861863, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.897956, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.427565, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.057731, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.176522, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.687611, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.756105, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.805080, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.792675, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.298586, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.326935, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.521476, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.499951, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.309085, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.519126, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.420994, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.072721, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.445234, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.007665, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.055786, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.861863, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.326935, 
t=,10800, id=,B00, PRDE,actvstrat=,0.861863, actvprof=,1.945197, id=,B01, PRDE,actvstrat=,0.897956, actvprof=,1.809647, id=,B02, PRDE,actvstrat=,-0.427565, actvprof=,1.565213, id=,B03, PRDE,actvstrat=,0.057731, actvprof=,1.464383, id=,B04, PRDE,actvstrat=,0.176522, actvprof=,1.678263, id=,B05, PRDE,actvstrat=,0.687611, actvprof=,2.055192, id=,B06, PRDE,actvstrat=,-0.756105, actvprof=,2.084635, id=,B07, PRDE,actvstrat=,0.805080, actvprof=,2.001028, id=,B08, PRDE,actvstrat=,-0.792675, actvprof=,2.442120, id=,B09, PRDE,actvstrat=,0.298586, actvprof=,1.439940, id=,S00, PRDE,actvstrat=,-0.326935, actvprof=,3.518742, id=,S01, PRDE,actvstrat=,0.521476, actvprof=,8.689638, id=,S02, PRDE,actvstrat=,0.499951, actvprof=,9.104343, id=,S03, PRDE,actvstrat=,0.309085, actvprof=,7.620516, id=,S04, PRDE,actvstrat=,0.519126, actvprof=,9.293779, id=,S05, PRDE,actvstrat=,0.420994, actvprof=,8.521867, id=,S06, PRDE,actvstrat=,-0.072721, actvprof=,5.337000, id=,S07, PRDE,actvstrat=,-0.445234, actvprof=,3.328472, id=,S08, PRDE,actvstrat=,0.007665, actvprof=,6.835826, id=,S09, PRDE,actvstrat=,-0.055786, actvprof=,5.282835, best_B_id=,B08, best_B_prof=,2.442120, best_B_strat=,-0.792675, best_S_id=,S04, best_S_prof=,9.293779, best_S_strat=,0.519126, 
t=,14400, id=,B00, PRDE,actvstrat=,0.861863, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.070904, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.427565, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.608754, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.329654, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.566427, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.481967, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.037565, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.728011, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.951489, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.326935, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.849622, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.499951, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.019255, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.856604, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.101617, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.667545, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.835139, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.007665, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.037720, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.861863, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.326935, 
t=,18000, id=,B00, PRDE,actvstrat=,0.861863, actvprof=,1.764747, id=,B01, PRDE,actvstrat=,-0.070904, actvprof=,1.228628, id=,B02, PRDE,actvstrat=,-0.427565, actvprof=,1.265018, id=,B03, PRDE,actvstrat=,-0.608754, actvprof=,1.595578, id=,B04, PRDE,actvstrat=,-0.329654, actvprof=,1.156683, id=,B05, PRDE,actvstrat=,0.566427, actvprof=,1.865859, id=,B06, PRDE,actvstrat=,-0.481967, actvprof=,1.443631, id=,B07, PRDE,actvstrat=,0.037565, actvprof=,1.346130, id=,B08, PRDE,actvstrat=,-0.728011, actvprof=,2.123085, id=,B09, PRDE,actvstrat=,0.951489, actvprof=,1.203350, id=,S00, PRDE,actvstrat=,-0.326935, actvprof=,3.589772, id=,S01, PRDE,actvstrat=,-0.849622, actvprof=,0.837789, id=,S02, PRDE,actvstrat=,0.499951, actvprof=,9.124571, id=,S03, PRDE,actvstrat=,0.019255, actvprof=,6.455090, id=,S04, PRDE,actvstrat=,-0.856604, actvprof=,0.759455, id=,S05, PRDE,actvstrat=,-0.101617, actvprof=,5.472854, id=,S06, PRDE,actvstrat=,-0.667545, actvprof=,2.747538, id=,S07, PRDE,actvstrat=,0.835139, actvprof=,10.755149, id=,S08, PRDE,actvstrat=,0.007665, actvprof=,5.930360, id=,S09, PRDE,actvstrat=,-0.037720, actvprof=,5.957861, best_B_id=,B08, best_B_prof=,2.123085, best_B_strat=,-0.728011, best_S_id=,S07, best_S_prof=,10.755149, best_S_strat=,0.835139, 
t=,21600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.120692, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.353834, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.234365, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.695178, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.514307, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.266969, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.876949, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.223371, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.899209, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.273508, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.514307, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.567524, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.521688, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.250288, id=,B03, PRDE,actvstrat=,-0.120692, actvprof=,0.501132, id=,B04, PRDE,actvstrat=,-0.353834, actvprof=,0.557523, id=,B05, PRDE,actvstrat=,0.234365, actvprof=,0.687251, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.314458, id=,B07, PRDE,actvstrat=,0.695178, actvprof=,0.895037, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.241955, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,0.557801, id=,S00, PRDE,actvstrat=,-0.514307, actvprof=,5.141325, id=,S01, PRDE,actvstrat=,0.266969, actvprof=,10.122644, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,13.994750, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,14.033085, id=,S04, PRDE,actvstrat=,-0.876949, actvprof=,0.613637, id=,S05, PRDE,actvstrat=,0.223371, actvprof=,9.585955, id=,S06, PRDE,actvstrat=,-0.899209, actvprof=,0.460575, id=,S07, PRDE,actvstrat=,-0.273508, actvprof=,5.301332, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,2.169257, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,14.019473, best_B_id=,B07, best_B_prof=,0.895037, best_B_strat=,0.695178, best_S_id=,S03, best_S_prof=,14.033085, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.527789, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.475149, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.234866, id=,B03, PRDE,actvstrat=,-0.120692, actvprof=,0.464176, id=,B04, PRDE,actvstrat=,-0.353834, actvprof=,0.529455, id=,B05, PRDE,actvstrat=,0.234365, actvprof=,0.595012, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.238338, id=,B07, PRDE,actvstrat=,0.695178, actvprof=,0.784877, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.228616, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,0.528900, id=,S00, PRDE,actvstrat=,-0.514307, actvprof=,5.096912, id=,S01, PRDE,actvstrat=,0.266969, actvprof=,9.987847, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,14.081821, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,14.076682, id=,S04, PRDE,actvstrat=,-0.876949, actvprof=,0.631541, id=,S05, PRDE,actvstrat=,0.223371, actvprof=,9.655757, id=,S06, PRDE,actvstrat=,-0.899209, actvprof=,0.436676, id=,S07, PRDE,actvstrat=,-0.273508, actvprof=,5.376640, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,2.009486, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,14.107794, best_B_id=,B07, best_B_prof=,0.784877, best_B_strat=,0.695178, best_S_id=,S09, best_S_prof=,14.107794, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.570205, actvprof=,1.175882, id=,B01, PRDE,actvstrat=,-0.935092, actvprof=,1.842021, id=,B02, PRDE,actvstrat=,-0.931115, actvprof=,1.817854, id=,B03, PRDE,actvstrat=,-0.608754, actvprof=,0.771421, id=,B04, PRDE,actvstrat=,0.577408, actvprof=,1.158104, id=,B05, PRDE,actvstrat=,0.687611, actvprof=,1.223662, id=,B06, PRDE,actvstrat=,0.031316, actvprof=,0.823090, id=,B07, PRDE,actvstrat=,0.751178, actvprof=,1.327555, id=,B08, PRDE,actvstrat=,0.531561, actvprof=,1.220329, id=,B09, PRDE,actvstrat=,0.951489, actvprof=,0.859480, id=,S00, PRDE,actvstrat=,-0.514307, actvprof=,3.838493, id=,S01, PRDE,actvstrat=,0.067401, actvprof=,7.142242, id=,S02, PRDE,actvstrat=,-0.828687, actvprof=,1.172271, id=,S03, PRDE,actvstrat=,0.385371, actvprof=,9.059266, id=,S04, PRDE,actvstrat=,-0.118317, actvprof=,5.626623, id=,S05, PRDE,actvstrat=,0.420994, actvprof=,9.048433, id=,S06, PRDE,actvstrat=,0.524465, actvprof=,9.842355, id=,S07, PRDE,actvstrat=,0.260613, actvprof=,8.236454, id=,S08, PRDE,actvstrat=,-0.286349, actvprof=,4.156840, id=,S09, PRDE,actvstrat=,-0.055786, actvprof=,6.105254, best_B_id=,B01, best_B_prof=,1.842021, best_B_strat=,-0.935092, best_S_id=,S06, best_S_prof=,9.842355, best_S_strat=,0.524465, 
t=,36000, id=,B00, PRDE,actvstrat=,0.570205, actvprof=,1.176283, id=,B01, PRDE,actvstrat=,-0.935092, actvprof=,1.803522, id=,B02, PRDE,actvstrat=,-0.931115, actvprof=,1.741021, id=,B03, PRDE,actvstrat=,-0.608754, actvprof=,0.864746, id=,B04, PRDE,actvstrat=,0.577408, actvprof=,1.183088, id=,B05, PRDE,actvstrat=,0.687611, actvprof=,1.239340, id=,B06, PRDE,actvstrat=,0.031316, actvprof=,0.813356, id=,B07, PRDE,actvstrat=,0.751178, actvprof=,1.401150, id=,B08, PRDE,actvstrat=,0.531561, actvprof=,1.220867, id=,B09, PRDE,actvstrat=,0.951489, actvprof=,0.866969, id=,S00, PRDE,actvstrat=,-0.514307, actvprof=,3.821495, id=,S01, PRDE,actvstrat=,0.067401, actvprof=,7.270063, id=,S02, PRDE,actvstrat=,-0.828687, actvprof=,1.162949, id=,S03, PRDE,actvstrat=,0.385371, actvprof=,9.050113, id=,S04, PRDE,actvstrat=,-0.118317, actvprof=,5.652101, id=,S05, PRDE,actvstrat=,0.420994, actvprof=,9.120670, id=,S06, PRDE,actvstrat=,0.524465, actvprof=,9.846662, id=,S07, PRDE,actvstrat=,0.260613, actvprof=,8.265646, id=,S08, PRDE,actvstrat=,-0.286349, actvprof=,4.265952, id=,S09, PRDE,actvstrat=,-0.055786, actvprof=,6.091697, best_B_id=,B01, best_B_prof=,1.803522, best_B_strat=,-0.935092, best_S_id=,S06, best_S_prof=,9.846662, best_S_strat=,0.524465, 
